* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 24, 24 1:20:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop DUSK 1124 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.827 -97.3627
0.368865 40.859 -97.5269
0.371538 40.905 -97.7697
0.374230 40.963 -98.0692
0.376942 41.027 -98.4066
0.379673 41.096 -98.7682
0.382424 41.168 -99.1448
0.385196 41.242 -99.5309
0.387987 41.317 -99.9232
0.390798 41.393 -100.3199
0.393630 41.470 -100.7198
0.396483 41.547 -101.1224
0.399356 41.625 -101.5273
0.402250 41.704 -101.9344
0.405165 41.783 -102.3433
0.408101 41.863 -102.7540
0.411058 41.943 -103.1664
0.414037 42.024 -103.5803
0.417037 42.105 -103.9957
0.420059 42.187 -104.4123
0.423103 42.270 -104.8302
0.426169 42.353 -105.2492
0.429257 42.437 -105.6693
0.432368 42.521 -106.0902
0.435501 42.606 -106.5120
0.438656 42.692 -106.9345
0.441835 42.778 -107.3577
0.445037 42.865 -107.7814
0.448262 42.953 -108.2056
0.451510 43.041 -108.6301
0.454782 43.130 -109.0550
0.458077 43.219 -109.4802
0.461397 43.309 -109.9055
0.464740 43.400 -110.3309
0.468108 43.491 -110.7563
0.471500 43.583 -111.1818
0.474917 43.676 -111.6071
0.478358 43.770 -112.0324
0.481825 43.864 -112.4574
0.485316 43.959 -112.8823
0.488833 44.054 -113.3069
0.492375 44.150 -113.7312
0.495943 44.247 -114.1551
0.499537 44.345 -114.5788
0.503157 44.443 -115.0020
0.506803 44.542 -115.4249
0.510475 44.642 -115.8473
0.514175 44.742 -116.2694
0.517900 44.843 -116.6910
0.521653 44.945 -117.1122
0.525434 45.048 -117.5330
0.529241 45.151 -117.9533
0.533076 45.255 -118.3733
0.536939 45.360 -118.7928
0.540830 45.466 -119.2120
0.544749 45.572 -119.6308
0.548696 45.679 -120.0492
0.552673 45.787 -120.4673
0.556677 45.896 -120.8852
0.560711 46.006 -121.3027
0.564774 46.116 -121.7201
0.568867 46.227 -122.1373
0.572989 46.339 -122.5543
0.577141 46.452 -122.9712
0.581324 46.565 -123.3881
0.585536 46.680 -123.8050
0.589779 46.795 -124.2219
0.594053 46.911 -124.6389
0.598358 47.028 -125.0560
0.602694 47.146 -125.4733
0.607061 47.264 -125.8909
0.611460 47.384 -126.3089
0.615891 47.504 -126.7272
0.620354 47.625 -127.1459
0.624849 47.747 -127.5652
0.629377 47.870 -127.9850
0.633938 47.994 -128.4055
0.638532 48.119 -128.8267
0.643159 48.245 -129.2487
0.647819 48.371 -129.6715
0.652514 48.499 -130.0953
0.657242 48.627 -130.5200
0.662005 48.756 -130.9458
0.666802 48.887 -131.3728
0.671634 49.018 -131.8009
0.676501 49.150 -132.2303
0.681403 49.283 -132.6611
0.686341 49.417 -133.0933
0.691314 49.552 -133.5269
0.696324 49.688 -133.9621
0.701370 49.825 -134.3988
0.706452 49.962 -134.8369
0.711571 50.100 -135.2764
0.716728 50.238 -135.7169
0.721921 50.375 -136.1579
0.727153 50.512 -136.5988
0.732422 50.646 -137.0385
0.737729 50.779 -137.4757
0.743075 50.911 -137.9093
0.748460 51.041 -138.3384
0.753883 51.171 -138.7622
0.759346 51.301 -139.1805
0.764849 51.430 -139.5930
0.770391 51.560 -139.9997
0.775974 51.690 -140.4007
0.781597 51.820 -140.7962
0.787261 51.951 -141.1864
0.792966 52.082 -141.5713
0.798712 52.213 -141.9513
0.804500 52.344 -142.3265
0.810329 52.476 -142.6972
0.816201 52.609 -143.0635
0.822116 52.741 -143.4258
0.828073 52.874 -143.7843
0.834074 53.008 -144.1391
0.840118 53.141 -144.4905
0.846206 53.275 -144.8388
0.852338 53.410 -145.1842
0.858514 53.544 -145.5269
0.864735 53.679 -145.8671
0.871001 53.815 -146.2052
0.877313 53.950 -146.5412
0.883670 54.086 -146.8756
0.890074 54.222 -147.2085
0.896524 54.359 -147.5401
0.903020 54.496 -147.8707
0.909564 54.633 -148.2004
0.916155 54.771 -148.5296
0.922794 54.908 -148.8585
0.929481 55.046 -149.1873
0.936216 55.185 -149.5162
0.943000 55.323 -149.8454
0.949834 55.462 -150.1752
0.956717 55.601 -150.5058
0.963649 55.741 -150.8374
0.970632 55.880 -151.1702
0.977666 56.020 -151.5045
0.984750 56.161 -151.8404
0.991886 56.301 -152.1782
0.999074 56.442 -152.5181
1.006314 56.583 -152.8602
1.013606 56.724 -153.2049
1.020951 56.866 -153.5523
1.028349 57.008 -153.9026
1.035801 57.150 -154.2559
1.043307 57.292 -154.6126
1.050867 57.434 -154.9726
1.058482 57.577 -155.3362
1.066152 57.720 -155.7033
1.073878 57.863 -156.0739
1.081660 58.007 -156.4476
1.089498 58.150 -156.8241
1.097393 58.293 -157.2025
1.105345 58.437 -157.5820
1.113355 58.580 -157.9615
1.121423 58.724 -158.3401
1.129549 58.867 -158.7174
1.137734 59.010 -159.0930
1.145979 59.153 -159.4667
1.154283 59.295 -159.8385
1.162647 59.438 -160.2083
1.171072 59.580 -160.5764
1.179558 59.722 -160.9428
1.188106 59.864 -161.3076
1.196715 60.005 -161.6710
1.205387 60.147 -162.0332
1.214122 60.288 -162.3943
1.222920 60.430 -162.7545
1.231782 60.571 -163.1140
1.240708 60.712 -163.4729
1.249699 60.853 -163.8314
1.258754 60.993 -164.1897
1.267876 61.134 -164.5479
1.277063 61.275 -164.9063
1.286318 61.415 -165.2651
1.295639 61.556 -165.6243
1.305027 61.696 -165.9843
1.314484 61.837 -166.3452
1.324009 61.977 -166.7071
1.333604 62.118 -167.0703
1.343268 62.259 -167.4351
1.353002 62.399 -167.8014
1.362806 62.540 -168.1697
1.372681 62.681 -168.5400
1.382628 62.823 -168.9126
1.392647 62.964 -169.2876
1.402739 63.105 -169.6651
1.412904 63.247 -170.0454
1.423142 63.389 -170.4284
1.433455 63.532 -170.8141
1.443843 63.674 -171.2023
1.454305 63.817 -171.5925
1.464844 63.960 -171.9843
1.475459 64.103 -172.3767
1.486150 64.245 -172.7691
1.496920 64.388 -173.1609
1.507767 64.530 -173.5518
1.518693 64.672 -173.9415
1.529698 64.813 -174.3302
1.540783 64.954 -174.7179
1.551948 65.095 -175.1049
1.563194 65.236 -175.4913
1.574521 65.376 -175.8776
1.585931 65.516 -176.2638
1.597423 65.656 -176.6504
1.608999 65.795 -177.0376
1.620658 65.934 -177.4258
1.632402 66.073 -177.8152
1.644232 66.212 -178.2061
1.656146 66.350 -178.5988
1.668147 66.489 -178.9938
1.680235 66.627 -179.3912
1.692411 66.765 -179.7915
1.704675 66.902 179.8052
1.717028 67.040 179.3984
1.729470 67.178 178.9878
1.742003 67.315 178.5731
1.754626 67.453 178.1541
1.767341 67.590 177.7303
1.780147 67.728 177.3018
1.793047 67.865 176.8682
1.806040 68.003 176.4295
1.819128 68.140 175.9859
1.832310 68.277 175.5377
1.845587 68.414 175.0854
1.858961 68.551 174.6296
1.872432 68.687 174.1707
1.886001 68.823 173.7092
1.899667 68.958 173.2455
1.913433 69.093 172.7798
1.927299 69.228 172.3123
1.941265 69.361 171.8432
1.955332 69.495 171.3726
1.969501 69.628 170.9004
1.983773 69.760 170.4269
1.998148 69.892 169.9519
2.012627 70.024 169.4756
2.027212 70.155 168.9978
2.041902 70.286 168.5185
2.056698 70.417 168.0377
2.071602 70.547 167.5551
2.086614 70.677 167.0709
2.101734 70.807 166.5847
2.116964 70.936 166.0964
2.132304 71.065 165.6059
2.147756 71.194 165.1129
2.163320 71.323 164.6172
2.178996 71.452 164.1186
2.194786 71.580 163.6169
2.210690 71.707 163.1119
2.226710 71.835 162.6036
2.242845 71.961 162.0921
2.259098 72.087 161.5776
2.275468 72.212 161.0602
2.291957 72.337 160.5404
2.308566 72.461 160.0184
2.325295 72.584 159.4944
2.342145 72.707 158.9688
2.359117 72.829 158.4418
2.376212 72.951 157.9136
2.393431 73.072 157.3845
2.410775 73.192 156.8544
2.428244 73.312 156.3238
2.445840 73.432 155.7925
2.463564 73.551 155.2606
2.481416 73.670 154.7282
2.499397 73.788 154.1952
2.517509 73.906 153.6613
2.535752 74.023 153.1263
2.554127 74.140 152.5898
2.572635 74.256 152.0513
2.591277 74.372 151.5103
2.610055 74.487 150.9665
2.628968 74.601 150.4199
2.648019 74.715 149.8706
2.667208 74.827 149.3189
2.686535 74.939 148.7653
2.706003 75.050 148.2099
2.725612 75.161 147.6534
2.745363 75.270 147.0962
2.765257 75.379 146.5386
2.785295 75.488 145.9811
2.805478 75.596 145.4239
2.825808 75.703 144.8674
2.846285 75.810 144.3118
2.866910 75.916 143.7570
2.887685 76.022 143.2031
2.908611 76.127 142.6497
2.929688 76.232 142.0962
2.950917 76.336 141.5421
2.972301 76.440 140.9869
2.993839 76.542 140.4301
3.015534 76.644 139.8718
3.037386 76.745 139.3121
3.059396 76.845 138.7512
3.081565 76.944 138.1898
3.103896 77.043 137.6281
3.126388 77.141 137.0668
3.149043 77.238 136.5064
3.171862 77.335 135.9473
3.194847 77.431 135.3900
3.217998 77.527 134.8347
3.241317 77.622 134.2816
3.264805 77.717 133.7306
3.288463 77.812 133.1816
3.312293 77.905 132.6339
3.336295 77.999 132.0872
3.360471 78.091 131.5409
3.384822 78.183 130.9948
3.409350 78.274 130.4489
3.434056 78.365 129.9033
3.458940 78.454 129.3584
3.484005 78.544 128.8143
3.509252 78.632 128.2716
3.534681 78.721 127.7305
3.560295 78.809 127.1913
3.586094 78.896 126.6544
3.612081 78.984 126.1199
3.638255 79.071 125.5878
3.664620 79.158 125.0579
3.691175 79.244 124.5299
3.717923 79.330 124.0035
3.744864 79.416 123.4785
3.772001 79.501 122.9546
3.799335 79.585 122.4318
3.826866 79.669 121.9100
3.854597 79.753 121.3893
3.882529 79.837 120.8699
3.910664 79.920 120.3517
3.939002 80.004 119.8350
3.967546 80.087 119.3196
3.996296 80.170 118.8058
4.025255 80.253 118.2935
4.054423 80.336 117.7826
4.083804 80.418 117.2729
4.113396 80.501 116.7643
4.143204 80.583 116.2565
4.173227 80.665 115.7493
4.203468 80.747 115.2426
4.233928 80.828 114.7361
4.264609 80.910 114.2296
4.295512 80.992 113.7229
4.326639 81.073 113.2159
4.357992 81.154 112.7084
4.389572 81.236 112.2004
4.421380 81.317 111.6918
4.453419 81.398 111.1826
4.485691 81.479 110.6726
4.518196 81.560 110.1618
4.550936 81.641 109.6500
4.583914 81.721 109.1370
4.617131 81.802 108.6227
4.650589 81.882 108.1067
4.684289 81.962 107.5889
4.718233 82.042 107.0690
4.752424 82.121 106.5468
4.786862 82.200 106.0222
4.821549 82.279 105.4952
4.856488 82.358 104.9656
4.891680 82.436 104.4335
4.927127 82.514 103.8992
4.962831 82.591 103.3625
4.998794 82.668 102.8236
5.035017 82.745 102.2823
5.071503 82.821 101.7388
5.108253 82.896 101.1926
5.145270 82.970 100.6436
5.182555 83.044 100.0916
5.220110 83.118 99.5367
5.257937 83.190 98.9790
5.296038 83.262 98.4189
5.334415 83.333 97.8569
5.373071 83.404 97.2932
5.412006 83.473 96.7283
5.451224 83.541 96.1623
5.490725 83.609 95.5951
5.530514 83.676 95.0264
5.570590 83.741 94.4562
5.610957 83.806 93.8847
5.651616 83.869 93.3122
5.692570 83.932 92.7393
5.733821 83.993 92.1667
5.775370 84.054 91.5949
5.817221 84.113 91.0245
5.859375 84.171 90.4555
5.901834 84.229 89.8878
5.944602 84.285 89.3214
5.987679 84.340 88.7564
6.031068 84.394 88.1931
6.074771 84.447 87.6320
6.118792 84.499 87.0739
6.163131 84.550 86.5192
6.207792 84.601 85.9683
6.252776 84.650 85.4213
6.298086 84.699 84.8781
6.343725 84.747 84.3387
6.389694 84.794 83.8031
6.435996 84.840 83.2716
6.482634 84.885 82.7443
6.529610 84.931 82.2215
6.576926 84.975 81.7034
6.624585 85.019 81.1901
