* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2024 7:19:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop DUSK XBass L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 105.860 -9.1419
20.507813 105.814 -9.4712
20.874023 105.709 -10.2806
21.240234 105.657 -10.9889
21.606445 105.659 -11.7099
21.972656 105.671 -12.6604
22.338867 105.646 -13.8236
22.705078 105.556 -15.0292
23.071289 105.395 -16.0496
23.437500 105.189 -16.7046
23.803711 104.988 -16.9716
24.169922 104.836 -17.0161
24.536133 104.756 -17.1130
24.902344 104.733 -17.4991
25.268555 104.735 -18.2526
25.634766 104.728 -19.2766
26.000977 104.698 -20.3832
26.367188 104.652 -21.4122
26.733399 104.606 -22.3063
27.099610 104.574 -23.1041
27.465821 104.553 -23.8665
27.832032 104.531 -24.5964
28.198243 104.495 -25.2188
28.564454 104.441 -25.6355
28.930665 104.378 -25.8153
29.296876 104.317 -25.8453
29.663087 104.259 -25.9006
30.029298 104.192 -26.1481
30.395509 104.101 -26.6525
30.761720 103.973 -27.3479
31.127931 103.816 -28.0874
31.494142 103.650 -28.7324
31.860353 103.503 -29.2206
32.226563 103.393 -29.5749
32.592774 103.319 -29.8591
32.958985 103.270 -30.1214
33.325196 103.227 -30.3702
33.691407 103.178 -30.5928
34.057618 103.119 -30.7913
34.423829 103.053 -31.0001
34.790040 102.981 -31.2719
35.156251 102.903 -31.6417
35.522462 102.817 -32.1019
35.888673 102.726 -32.6034
36.254884 102.632 -33.0848
36.621095 102.543 -33.5066
36.987306 102.466 -33.8673
37.353517 102.400 -34.1926
37.719728 102.341 -34.5080
38.085939 102.281 -34.8150
38.452150 102.216 -35.0918
38.818361 102.148 -35.3148
39.184572 102.083 -35.4862
39.550783 102.029 -35.6439
39.916994 101.985 -35.8435
40.283205 101.947 -36.1225
40.649416 101.907 -36.4722
41.015627 101.857 -36.8372
41.381838 101.798 -37.1450
41.748049 101.734 -37.3457
42.114260 101.673 -37.4379
42.480471 101.619 -37.4637
42.846682 101.572 -37.4810
43.212893 101.527 -37.5323
43.579103 101.477 -37.6308
43.945314 101.420 -37.7667
44.311525 101.354 -37.9231
44.677736 101.280 -38.0854
45.043947 101.197 -38.2388
45.410158 101.108 -38.3629
45.776369 101.015 -38.4337
46.142580 100.924 -38.4388
46.508791 100.844 -38.3947
46.875002 100.782 -38.3509
47.241213 100.739 -38.3722
47.607424 100.711 -38.5070
47.973635 100.687 -38.7603
48.339846 100.659 -39.0912
48.706057 100.624 -39.4345
49.072268 100.584 -39.7347
49.438479 100.544 -39.9702
49.804690 100.508 -40.1536
50.170901 100.476 -40.3115
50.537112 100.444 -40.4595
50.903323 100.408 -40.5896
51.269534 100.364 -40.6776
51.635745 100.312 -40.7047
52.001956 100.255 -40.6762
52.368167 100.195 -40.6266
52.734378 100.135 -40.6061
53.100589 100.071 -40.6592
53.466800 100.005 -40.8077
53.833011 99.936 -41.0449
54.199222 99.868 -41.3425
54.565432 99.805 -41.6624
54.931643 99.753 -41.9664
55.297854 99.710 -42.2208
55.664065 99.674 -42.3982
56.030276 99.640 -42.4802
56.396487 99.602 -42.4613
56.762698 99.557 -42.3537
57.128909 99.502 -42.1880
57.495120 99.442 -42.0077
57.861331 99.378 -41.8584
58.227542 99.316 -41.7750
58.593753 99.259 -41.7716
58.959964 99.212 -41.8385
59.326175 99.175 -41.9461
59.692386 99.148 -42.0549
60.058597 99.126 -42.1273
60.424808 99.106 -42.1392
60.791019 99.081 -42.0863
61.157230 99.048 -41.9849
61.523441 99.004 -41.8674
61.889652 98.948 -41.7721
62.255863 98.884 -41.7334
62.622074 98.815 -41.7720
62.988285 98.748 -41.8897
63.354496 98.689 -42.0689
63.720707 98.641 -42.2772
64.086918 98.606 -42.4751
64.453129 98.582 -42.6264
64.819340 98.565 -42.7075
65.185551 98.550 -42.7134
65.551762 98.531 -42.6583
65.917972 98.504 -42.5710
66.284183 98.466 -42.4853
66.650394 98.419 -42.4296
67.016605 98.365 -42.4197
67.382816 98.310 -42.4553
67.749027 98.258 -42.5225
68.115238 98.215 -42.6000
68.481449 98.182 -42.6653
68.847660 98.158 -42.7006
69.213871 98.140 -42.6956
69.580082 98.121 -42.6484
69.946293 98.098 -42.5653
70.312504 98.067 -42.4587
70.678715 98.027 -42.3452
71.044926 97.980 -42.2420
71.411137 97.928 -42.1637
71.777348 97.874 -42.1186
72.143559 97.822 -42.1078
72.509770 97.771 -42.1258
72.875981 97.724 -42.1637
73.242192 97.679 -42.2124
73.608403 97.636 -42.2656
73.974614 97.595 -42.3206
74.340825 97.555 -42.3770
74.707036 97.518 -42.4343
75.073247 97.484 -42.4899
75.439458 97.453 -42.5379
75.805669 97.425 -42.5695
76.171880 97.398 -42.5748
76.538091 97.372 -42.5455
76.904301 97.344 -42.4780
77.270512 97.312 -42.3752
77.636723 97.277 -42.2477
78.002934 97.237 -42.1121
78.369145 97.194 -41.9875
78.735356 97.150 -41.8908
79.101567 97.106 -41.8322
79.467778 97.063 -41.8126
79.833989 97.024 -41.8234
80.200200 96.988 -41.8498
80.566411 96.956 -41.8752
80.932622 96.927 -41.8865
81.298833 96.902 -41.8766
81.665044 96.878 -41.8458
82.031255 96.854 -41.7994
82.397466 96.831 -41.7445
82.763677 96.805 -41.6874
83.129888 96.778 -41.6315
83.496099 96.749 -41.5772
83.862310 96.719 -41.5226
84.228521 96.689 -41.4649
84.594732 96.659 -41.4013
84.960943 96.629 -41.3309
85.327154 96.599 -41.2550
85.693365 96.569 -41.1786
86.059576 96.539 -41.1098
86.425787 96.508 -41.0589
86.791998 96.475 -41.0352
87.158209 96.441 -41.0447
87.524420 96.406 -41.0880
87.890631 96.370 -41.1605
88.256841 96.334 -41.2533
88.623052 96.299 -41.3550
88.989263 96.265 -41.4526
89.355474 96.232 -41.5325
89.721685 96.201 -41.5811
90.087896 96.171 -41.5875
90.454107 96.142 -41.5454
90.820318 96.114 -41.4564
91.186529 96.090 -41.3299
91.552740 96.067 -41.1811
91.918951 96.047 -41.0264
92.285162 96.026 -40.8796
92.651373 96.006 -40.7483
93.017584 95.983 -40.6344
93.383795 95.959 -40.5355
93.750006 95.932 -40.4476
94.116217 95.904 -40.3676
94.482428 95.877 -40.2944
94.848639 95.851 -40.2286
95.214850 95.828 -40.1716
95.581061 95.806 -40.1243
95.947272 95.787 -40.0854
96.313483 95.770 -40.0514
96.679694 95.754 -40.0174
97.045905 95.738 -39.9783
97.412116 95.721 -39.9315
97.778327 95.704 -39.8774
98.144538 95.687 -39.8193
98.510749 95.668 -39.7615
98.876960 95.647 -39.7068
99.243170 95.625 -39.6547
99.609381 95.600 -39.6020
99.975592 95.573 -39.5441
100.341803 95.545 -39.4773
100.708014 95.516 -39.4006
101.074225 95.487 -39.3165
101.440436 95.457 -39.2299
101.806647 95.427 -39.1464
102.172858 95.395 -39.0707
102.539069 95.364 -39.0056
102.905280 95.331 -38.9513
103.271491 95.299 -38.9058
103.637702 95.267 -38.8652
104.003913 95.237 -38.8253
104.370124 95.209 -38.7820
104.736335 95.183 -38.7325
105.102546 95.160 -38.6761
105.468757 95.140 -38.6138
105.834968 95.121 -38.5481
106.201179 95.103 -38.4820
106.567390 95.086 -38.4185
106.933601 95.069 -38.3599
107.299812 95.053 -38.3074
107.666023 95.037 -38.2607
108.032234 95.022 -38.2175
108.398445 95.007 -38.1730
108.764656 94.992 -38.1198
109.130867 94.975 -38.0495
109.497078 94.957 -37.9550
109.863289 94.939 -37.8336
110.229500 94.919 -37.6899
110.595710 94.899 -37.5361
110.961921 94.878 -37.3898
111.328132 94.857 -37.2692
111.694343 94.834 -37.1869
112.060554 94.808 -37.1463
112.426765 94.780 -37.1405
112.792976 94.748 -37.1547
113.159187 94.716 -37.1711
113.525398 94.683 -37.1739
113.891609 94.653 -37.1529
114.257820 94.625 -37.1047
114.624031 94.601 -37.0317
114.990242 94.580 -36.9403
115.356453 94.562 -36.8388
115.722664 94.547 -36.7350
116.088875 94.533 -36.6349
116.455086 94.520 -36.5416
116.821297 94.507 -36.4552
117.187508 94.494 -36.3736
117.553719 94.480 -36.2937
117.919930 94.464 -36.2136
118.286141 94.446 -36.1331
118.652352 94.427 -36.0540
119.018563 94.406 -35.9792
119.384774 94.384 -35.9113
119.750985 94.361 -35.8515
120.117196 94.338 -35.7991
120.483407 94.316 -35.7516
120.849618 94.295 -35.7052
121.215829 94.276 -35.6561
121.582040 94.260 -35.6011
121.948250 94.245 -35.5378
122.314461 94.232 -35.4657
122.680672 94.219 -35.3856
123.046883 94.206 -35.2999
123.413094 94.193 -35.2121
123.779305 94.178 -35.1255
124.145516 94.163 -35.0433
124.511727 94.146 -34.9668
124.877938 94.129 -34.8959
125.244149 94.111 -34.8286
125.610360 94.093 -34.7620
125.976571 94.076 -34.6927
126.342782 94.058 -34.6180
126.708993 94.041 -34.5362
127.075204 94.025 -34.4474
127.441415 94.009 -34.3528
127.807626 93.994 -34.2549
128.173837 93.979 -34.1569
128.540048 93.965 -34.0617
128.906259 93.951 -33.9720
129.272470 93.938 -33.8898
129.638681 93.924 -33.8158
130.004892 93.911 -33.7501
130.371103 93.897 -33.6912
130.737314 93.883 -33.6373
131.103525 93.869 -33.5856
131.469736 93.854 -33.5334
131.835947 93.840 -33.4779
132.202158 93.826 -33.4170
132.568369 93.812 -33.3493
132.934579 93.798 -33.2744
133.300790 93.784 -33.1932
133.667001 93.771 -33.1079
134.033212 93.757 -33.0214
134.399423 93.745 -32.9371
134.765634 93.733 -32.8581
135.131845 93.721 -32.7863
135.498056 93.711 -32.7220
135.864267 93.702 -32.6636
136.230478 93.693 -32.6083
136.596689 93.686 -32.5520
136.962900 93.679 -32.4906
137.329111 93.672 -32.4208
137.695322 93.665 -32.3404
138.061533 93.656 -32.2491
138.427744 93.645 -32.1485
138.793955 93.633 -32.0419
139.160166 93.618 -31.9336
139.526377 93.602 -31.8285
139.892588 93.585 -31.7310
140.258799 93.566 -31.6442
140.625010 93.547 -31.5694
140.991221 93.527 -31.5063
141.357432 93.507 -31.4529
141.723643 93.487 -31.4062
142.089854 93.468 -31.3629
142.456065 93.448 -31.3198
142.822276 93.429 -31.2745
143.188487 93.410 -31.2254
143.554698 93.391 -31.1716
143.920909 93.373 -31.1128
144.287119 93.355 -31.0492
144.653330 93.338 -30.9811
145.019541 93.323 -30.9092
145.385752 93.308 -30.8343
145.751963 93.294 -30.7575
146.118174 93.282 -30.6800
146.484385 93.270 -30.6033
146.850596 93.259 -30.5285
147.216807 93.249 -30.4568
147.583018 93.239 -30.3889
147.949229 93.228 -30.3251
148.315440 93.217 -30.2653
148.681651 93.206 -30.2089
149.047862 93.194 -30.1551
149.414073 93.182 -30.1028
149.780284 93.170 -30.0510
150.146495 93.159 -29.9987
150.512706 93.147 -29.9449
150.878917 93.135 -29.8886
151.245128 93.125 -29.8289
151.611339 93.114 -29.7651
151.977550 93.104 -29.6961
152.343761 93.094 -29.6216
152.709972 93.084 -29.5410
153.076183 93.075 -29.4544
153.442394 93.064 -29.3622
153.808605 93.053 -29.2655
154.174816 93.042 -29.1654
154.541027 93.029 -29.0635
154.907238 93.016 -28.9611
155.273448 93.002 -28.8599
155.639659 92.987 -28.7611
156.005870 92.973 -28.6657
156.372081 92.959 -28.5746
156.738292 92.946 -28.4882
157.104503 92.935 -28.4066
157.470714 92.924 -28.3294
157.836925 92.915 -28.2560
158.203136 92.907 -28.1853
158.569347 92.900 -28.1162
158.935558 92.893 -28.0476
159.301769 92.886 -27.9787
159.667980 92.879 -27.9090
160.034191 92.871 -27.8382
160.400402 92.863 -27.7663
160.766613 92.854 -27.6938
161.132824 92.844 -27.6210
161.499035 92.834 -27.5487
161.865246 92.823 -27.4774
162.231457 92.812 -27.4078
