* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:26:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KATO - L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.023 -161.9969
20.507813 89.958 -161.2726
20.874023 90.026 -160.6252
21.240234 90.207 -160.7169
21.606445 90.398 -161.7279
21.972656 90.494 -163.2778
22.338867 90.465 -164.7123
22.705078 90.331 -165.3437
23.071289 90.184 -164.8922
23.437500 90.126 -163.6887
23.803711 90.186 -162.4638
24.169922 90.309 -161.8367
24.536133 90.411 -161.9023
24.902344 90.437 -162.3191
25.268555 90.399 -162.6705
25.634766 90.346 -162.7147
26.000977 90.325 -162.5228
26.367188 90.348 -162.3761
26.733399 90.389 -162.4202
27.099610 90.412 -162.6326
27.465821 90.401 -162.8617
27.832032 90.370 -162.9301
28.198243 90.344 -162.8581
28.564454 90.337 -162.7731
28.930665 90.341 -162.7907
29.296876 90.343 -162.9518
29.663087 90.329 -163.1499
30.029298 90.305 -163.2695
30.395509 90.289 -163.2873
30.761720 90.287 -163.2351
31.127931 90.298 -163.2105
31.494142 90.312 -163.2703
31.860353 90.314 -163.3774
32.226563 90.301 -163.4626
32.592774 90.281 -163.4688
32.958985 90.262 -163.3900
33.325196 90.256 -163.2835
33.691407 90.260 -163.1978
34.057618 90.271 -163.1720
34.423829 90.278 -163.2169
34.790040 90.277 -163.2813
35.156251 90.267 -163.3266
35.522462 90.250 -163.3220
35.888673 90.233 -163.2501
36.254884 90.219 -163.1417
36.621095 90.212 -163.0264
36.987306 90.209 -162.9320
37.353517 90.210 -162.8890
37.719728 90.208 -162.8761
38.085939 90.203 -162.8775
38.452150 90.192 -162.8808
38.818361 90.178 -162.8584
39.184572 90.163 -162.8089
39.550783 90.148 -162.7307
39.916994 90.134 -162.6217
40.283205 90.123 -162.5006
40.649416 90.116 -162.3760
41.015627 90.112 -162.2615
41.381838 90.110 -162.1713
41.748049 90.108 -162.1025
42.114260 90.104 -162.0514
42.480471 90.099 -162.0104
42.846682 90.092 -161.9563
43.212893 90.083 -161.8881
43.579103 90.075 -161.8049
43.945314 90.065 -161.7078
44.311525 90.057 -161.6083
44.677736 90.048 -161.5038
45.043947 90.039 -161.3944
45.410158 90.031 -161.2891
45.776369 90.024 -161.1802
46.142580 90.019 -161.0786
46.508791 90.016 -160.9940
46.875002 90.011 -160.9243
47.241213 90.003 -160.8644
47.607424 89.993 -160.8015
47.973635 89.982 -160.7274
48.339846 89.975 -160.6452
48.706057 89.969 -160.5677
49.072268 89.963 -160.5074
49.438479 89.952 -160.4716
49.804690 89.937 -160.4301
50.170901 89.920 -160.3688
50.537112 89.902 -160.2878
50.903323 89.887 -160.2018
51.269534 89.875 -160.1349
51.635745 89.862 -160.0855
52.001956 89.849 -160.0350
52.368167 89.838 -159.9673
52.734378 89.830 -159.8680
53.100589 89.827 -159.7547
53.466800 89.827 -159.6600
53.833011 89.827 -159.5979
54.199222 89.819 -159.5642
54.565432 89.802 -159.5337
54.931643 89.778 -159.4802
55.297854 89.752 -159.3998
55.664065 89.729 -159.3063
56.030276 89.711 -159.2238
56.396487 89.696 -159.1711
56.762698 89.682 -159.1342
57.128909 89.667 -159.0942
57.495120 89.650 -159.0346
57.861331 89.635 -158.9458
58.227542 89.622 -158.8395
58.593753 89.612 -158.7284
58.959964 89.603 -158.6197
59.326175 89.593 -158.5157
59.692386 89.584 -158.4121
60.058597 89.574 -158.3082
60.424808 89.564 -158.2084
60.791019 89.553 -158.1091
61.157230 89.540 -158.0094
61.523441 89.525 -157.9049
61.889652 89.510 -157.7898
62.255863 89.495 -157.6738
62.622074 89.483 -157.5632
62.988285 89.473 -157.4647
63.354496 89.466 -157.3697
63.720707 89.457 -157.2803
64.086918 89.447 -157.1894
64.453129 89.435 -157.0986
64.819340 89.424 -157.0025
65.185551 89.415 -156.9181
65.551762 89.407 -156.8580
65.917972 89.398 -156.8209
66.284183 89.385 -156.7946
66.650394 89.370 -156.7575
67.016605 89.355 -156.6900
67.382816 89.341 -156.5873
67.749027 89.331 -156.4505
68.115238 89.323 -156.2967
68.481449 89.317 -156.1454
68.847660 89.309 -156.0078
69.213871 89.298 -155.8889
69.580082 89.283 -155.7863
69.946293 89.265 -155.6943
70.312504 89.249 -155.6123
70.678715 89.234 -155.5349
71.044926 89.222 -155.4632
71.411137 89.210 -155.4017
71.777348 89.198 -155.3460
72.143559 89.182 -155.2897
72.509770 89.161 -155.2220
72.875981 89.138 -155.1341
73.242192 89.114 -155.0267
73.608403 89.093 -154.9161
73.974614 89.077 -154.8248
74.340825 89.065 -154.7744
74.707036 89.056 -154.7575
75.073247 89.045 -154.7551
75.439458 89.033 -154.7423
75.805669 89.020 -154.7002
76.171880 89.009 -154.6267
76.538091 89.000 -154.5339
76.904301 88.991 -154.4379
77.270512 88.981 -154.3494
77.636723 88.968 -154.2663
78.002934 88.953 -154.1802
78.369145 88.935 -154.0941
78.735356 88.919 -154.0017
79.101567 88.904 -153.9153
79.467778 88.891 -153.8503
79.833989 88.879 -153.8172
80.200200 88.865 -153.8155
80.566411 88.849 -153.8283
80.932622 88.831 -153.8285
81.298833 88.812 -153.7925
81.665044 88.796 -153.7106
82.031255 88.786 -153.5932
82.397466 88.783 -153.4644
82.763677 88.781 -153.3515
83.129888 88.775 -153.2643
83.496099 88.761 -153.1919
83.862310 88.740 -153.1134
84.228521 88.718 -153.0257
84.594732 88.700 -152.9442
84.960943 88.687 -152.8938
85.327154 88.675 -152.8887
85.693365 88.661 -152.9023
86.059576 88.645 -152.8849
86.425787 88.630 -152.7926
86.791998 88.619 -152.6367
87.158209 88.616 -152.4688
87.524420 88.614 -152.3483
87.890631 88.602 -152.2941
88.256841 88.575 -152.2784
88.623052 88.534 -152.2363
88.989263 88.493 -152.1291
89.355474 88.465 -151.9770
89.721685 88.456 -151.8573
90.087896 88.460 -151.8302
90.454107 88.462 -151.8903
90.820318 88.452 -151.9571
91.186529 88.429 -151.9400
91.552740 88.403 -151.7974
91.918951 88.384 -151.5675
92.285162 88.375 -151.3405
92.651373 88.371 -151.1925
93.017584 88.362 -151.1358
93.383795 88.343 -151.1281
93.750006 88.318 -151.1045
94.116217 88.295 -151.0388
94.482428 88.279 -150.9488
94.848639 88.271 -150.8643
95.214850 88.265 -150.7999
95.581061 88.255 -150.7447
95.947272 88.239 -150.6769
96.313483 88.217 -150.5799
96.679694 88.195 -150.4698
97.045905 88.174 -150.3713
97.412116 88.155 -150.3101
97.778327 88.137 -150.2707
98.144538 88.121 -150.2394
98.510749 88.106 -150.2047
98.876960 88.091 -150.1645
99.243170 88.075 -150.1073
99.609381 88.056 -150.0188
99.975592 88.037 -149.8932
100.341803 88.020 -149.7541
100.708014 88.006 -149.6324
101.074225 87.991 -149.5629
101.440436 87.972 -149.5486
101.806647 87.943 -149.5513
102.172858 87.906 -149.5168
102.539069 87.871 -149.4121
102.905280 87.846 -149.2518
103.271491 87.833 -149.0874
103.637702 87.826 -148.9706
104.003913 87.815 -148.9074
104.370124 87.793 -148.8636
104.736335 87.762 -148.7865
105.102546 87.729 -148.6634
105.468757 87.700 -148.5246
105.834968 87.675 -148.4100
106.201179 87.649 -148.3240
106.567390 87.618 -148.2307
106.933601 87.583 -148.0824
107.299812 87.552 -147.8724
107.666023 87.531 -147.6347
108.032234 87.517 -147.4353
108.398445 87.500 -147.3100
108.764656 87.472 -147.2306
109.130867 87.431 -147.1219
109.497078 87.390 -146.9223
109.863289 87.362 -146.6372
110.229500 87.354 -146.3402
110.595710 87.361 -146.1234
110.961921 87.365 -146.0201
111.328132 87.349 -145.9722
111.694343 87.305 -145.8629
112.060554 87.242 -145.5846
112.426765 87.177 -145.1003
112.792976 87.129 -144.4668
113.159187 87.107 -143.8043
113.525398 87.110 -143.2318
113.891609 87.123 -142.8089
114.257820 87.135 -142.5167
114.624031 87.137 -142.2793
114.990242 87.131 -142.0066
115.356453 87.127 -141.6520
115.722664 87.139 -141.2181
116.088875 87.174 -140.7746
116.455086 87.230 -140.4044
116.821297 87.293 -140.1681
117.187508 87.351 -140.0272
117.553719 87.395 -139.9068
117.919930 87.426 -139.7481
118.286141 87.439 -139.6129
118.652352 87.453 -139.4847
119.018563 87.472 -139.4039
119.384774 87.501 -139.3369
119.750985 87.520 -139.3327
120.117196 87.531 -139.3394
120.483407 87.541 -139.3225
120.849618 87.557 -139.2798
121.215829 87.584 -139.2612
121.582040 87.613 -139.3138
121.948250 87.632 -139.4363
122.314461 87.632 -139.5737
122.680672 87.616 -139.6584
123.046883 87.593 -139.6564
123.413094 87.575 -139.5918
123.779305 87.567 -139.5191
124.145516 87.569 -139.4900
124.511727 87.575 -139.5182
124.877938 87.580 -139.5809
125.244149 87.582 -139.6442
125.610360 87.584 -139.6813
125.976571 87.587 -139.6885
126.342782 87.590 -139.6736
126.708993 87.592 -139.6567
127.075204 87.589 -139.6441
127.441415 87.580 -139.6331
127.807626 87.565 -139.6136
128.173837 87.545 -139.5778
128.540048 87.523 -139.5239
128.906259 87.504 -139.4598
129.272470 87.488 -139.4024
129.638681 87.477 -139.3689
130.004892 87.468 -139.3662
130.371103 87.458 -139.3812
130.737314 87.447 -139.3916
131.103525 87.434 -139.3757
131.469736 87.423 -139.3295
131.835947 87.413 -139.2614
132.202158 87.405 -139.1905
132.568369 87.394 -139.1304
132.934579 87.379 -139.0793
133.300790 87.358 -139.0241
133.667001 87.337 -138.9523
134.033212 87.318 -138.8666
134.399423 87.305 -138.7790
134.765634 87.298 -138.7052
135.131845 87.294 -138.6486
135.498056 87.291 -138.6034
135.864267 87.287 -138.5614
136.230478 87.281 -138.5207
136.596689 87.271 -138.4771
136.962900 87.257 -138.4225
137.329111 87.240 -138.3453
137.695322 87.222 -138.2450
138.061533 87.207 -138.1330
138.427744 87.196 -138.0323
138.793955 87.188 -137.9575
139.160166 87.181 -137.9098
139.526377 87.171 -137.8714
139.892588 87.159 -137.8191
140.258799 87.147 -137.7409
140.625010 87.136 -137.6482
140.991221 87.126 -137.5575
141.357432 87.116 -137.4743
141.723643 87.102 -137.3844
142.089854 87.085 -137.2746
142.456065 87.070 -137.1495
142.822276 87.060 -137.0319
143.188487 87.052 -136.9505
143.554698 87.044 -136.9167
143.920909 87.032 -136.9118
144.287119 87.015 -136.9014
144.653330 86.996 -136.8496
145.019541 86.980 -136.7530
145.385752 86.971 -136.6344
145.751963 86.966 -136.5318
146.118174 86.960 -136.4607
146.484385 86.949 -136.4100
146.850596 86.933 -136.3509
147.216807 86.913 -136.2629
147.583018 86.897 -136.1421
147.949229 86.886 -136.0039
148.315440 86.882 -135.8692
148.681651 86.882 -135.7636
149.047862 86.882 -135.6943
149.414073 86.875 -135.6501
149.780284 86.862 -135.5994
150.146495 86.844 -135.5128
150.512706 86.827 -135.3778
150.878917 86.817 -135.2097
151.245128 86.815 -135.0446
151.611339 86.818 -134.9154
151.977550 86.819 -134.8294
152.343761 86.814 -134.7621
152.709972 86.800 -134.6814
153.076183 86.780 -134.5726
153.442394 86.761 -134.4550
153.808605 86.745 -134.3639
154.174816 86.729 -134.3222
154.541027 86.710 -134.3172
154.907238 86.688 -134.3077
155.273448 86.670 -134.2589
155.639659 86.659 -134.1599
156.005870 86.658 -134.0366
156.372081 86.660 -133.9192
156.738292 86.659 -133.8252
157.104503 86.648 -133.7375
157.470714 86.629 -133.6310
157.836925 86.608 -133.4932
158.203136 86.591 -133.3494
158.569347 86.582 -133.2413
158.935558 86.577 -133.1904
159.301769 86.571 -133.1726
159.667980 86.560 -133.1398
160.034191 86.548 -133.0486
160.400402 86.541 -132.8961
160.766613 86.539 -132.7081
161.132824 86.541 -132.5341
161.499035 86.542 -132.4096
161.865246 86.536 -132.3398
162.231457 86.523 -132.3005
162.597668 86.502 -132.2589
