* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 9, 24 11:52:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Kadenz KATO S R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.173 22.2518
0.368865 44.197 22.2605
0.371538 44.234 22.2738
0.374230 44.279 22.2908
0.376942 44.329 22.3108
0.379673 44.383 22.3332
0.382424 44.440 22.3579
0.385196 44.498 22.3844
0.387987 44.556 22.4127
0.390798 44.616 22.4427
0.393630 44.676 22.4744
0.396483 44.737 22.5076
0.399356 44.798 22.5422
0.402250 44.859 22.5784
0.405165 44.921 22.6160
0.408101 44.984 22.6550
0.411058 45.046 22.6953
0.414037 45.110 22.7368
0.417037 45.174 22.7797
0.420059 45.238 22.8237
0.423103 45.303 22.8688
0.426169 45.368 22.9150
0.429257 45.433 22.9623
0.432368 45.500 23.0105
0.435501 45.566 23.0597
0.438656 45.633 23.1097
0.441835 45.701 23.1605
0.445037 45.769 23.2120
0.448262 45.838 23.2642
0.451510 45.907 23.3170
0.454782 45.976 23.3703
0.458077 46.046 23.4241
0.461397 46.117 23.4784
0.464740 46.188 23.5329
0.468108 46.260 23.5877
0.471500 46.332 23.6427
0.474917 46.405 23.6978
0.478358 46.478 23.7529
0.481825 46.552 23.8080
0.485316 46.626 23.8630
0.488833 46.701 23.9178
0.492375 46.776 23.9723
0.495943 46.852 24.0264
0.499537 46.928 24.0801
0.503157 47.005 24.1333
0.506803 47.083 24.1859
0.510475 47.161 24.2378
0.514175 47.240 24.2889
0.517900 47.319 24.3392
0.521653 47.399 24.3886
0.525434 47.479 24.4369
0.529241 47.560 24.4841
0.533076 47.642 24.5301
0.536939 47.724 24.5748
0.540830 47.807 24.6182
0.544749 47.890 24.6601
0.548696 47.974 24.7004
0.552673 48.059 24.7392
0.556677 48.144 24.7762
0.560711 48.230 24.8114
0.564774 48.316 24.8447
0.568867 48.403 24.8760
0.572989 48.491 24.9053
0.577141 48.579 24.9324
0.581324 48.668 24.9574
0.585536 48.758 24.9799
0.589779 48.848 25.0001
0.594053 48.939 25.0179
0.598358 49.030 25.0330
0.602694 49.123 25.0455
0.607061 49.216 25.0553
0.611460 49.309 25.0623
0.615891 49.404 25.0664
0.620354 49.498 25.0675
0.624849 49.594 25.0657
0.629377 49.690 25.0607
0.633938 49.787 25.0525
0.638532 49.885 25.0411
0.643159 49.984 25.0264
0.647819 50.083 25.0082
0.652514 50.183 24.9867
0.657242 50.283 24.9616
0.662005 50.385 24.9329
0.666802 50.487 24.9006
0.671634 50.590 24.8645
0.676501 50.693 24.8247
0.681403 50.797 24.7811
0.686341 50.902 24.7337
0.691314 51.008 24.6823
0.696324 51.115 24.6270
0.701370 51.222 24.5678
0.706452 51.330 24.5047
0.711571 51.438 24.4379
0.716728 51.547 24.3676
0.721921 51.656 24.2943
0.727153 51.765 24.2184
0.732422 51.874 24.1409
0.737729 51.982 24.0628
0.743075 52.091 23.9850
0.748460 52.199 23.9081
0.753883 52.307 23.8327
0.759346 52.416 23.7590
0.764849 52.525 23.6871
0.770391 52.635 23.6168
0.775974 52.745 23.5481
0.781597 52.856 23.4808
0.787261 52.968 23.4147
0.792966 53.080 23.3496
0.798712 53.192 23.2853
0.804500 53.306 23.2216
0.810329 53.420 23.1582
0.816201 53.535 23.0950
0.822116 53.650 23.0318
0.828073 53.766 22.9682
0.834074 53.882 22.9043
0.840118 53.999 22.8396
0.846206 54.117 22.7742
0.852338 54.235 22.7076
0.858514 54.354 22.6398
0.864735 54.473 22.5706
0.871001 54.593 22.4997
0.877313 54.714 22.4270
0.883670 54.835 22.3524
0.890074 54.956 22.2755
0.896524 55.078 22.1963
0.903020 55.201 22.1145
0.909564 55.324 22.0300
0.916155 55.448 21.9427
0.922794 55.572 21.8522
0.929481 55.697 21.7586
0.936216 55.822 21.6616
0.943000 55.948 21.5610
0.949834 56.074 21.4567
0.956717 56.201 21.3486
0.963649 56.328 21.2364
0.970632 56.455 21.1201
0.977666 56.583 20.9995
0.984750 56.712 20.8744
0.991886 56.840 20.7447
0.999074 56.970 20.6102
1.006314 57.099 20.4708
1.013606 57.229 20.3264
1.020951 57.359 20.1769
1.028349 57.490 20.0221
1.035801 57.620 19.8618
1.043307 57.752 19.6961
1.050867 57.883 19.5248
1.058482 58.015 19.3480
1.066152 58.146 19.1656
1.073878 58.279 18.9778
1.081660 58.411 18.7850
1.089498 58.543 18.5879
1.097393 58.676 18.3872
1.105345 58.809 18.1840
1.113355 58.942 17.9792
1.121423 59.075 17.7739
1.129549 59.209 17.5685
1.137734 59.342 17.3634
1.145979 59.476 17.1587
1.154283 59.610 16.9543
1.162647 59.745 16.7502
1.171072 59.879 16.5462
1.179558 60.014 16.3421
1.188106 60.149 16.1379
1.196715 60.284 15.9331
1.205387 60.419 15.7278
1.214122 60.554 15.5216
1.222920 60.690 15.3144
1.231782 60.826 15.1059
1.240708 60.962 14.8960
1.249699 61.098 14.6845
1.258754 61.234 14.4711
1.267876 61.371 14.2558
1.277063 61.508 14.0382
1.286318 61.645 13.8182
1.295639 61.782 13.5956
1.305027 61.919 13.3702
1.314484 62.056 13.1419
1.324009 62.194 12.9103
1.333604 62.332 12.6754
1.343268 62.470 12.4370
1.353002 62.608 12.1948
1.362806 62.747 11.9487
1.372681 62.885 11.6985
1.382628 63.024 11.4440
1.392647 63.163 11.1851
1.402739 63.303 10.9217
1.412904 63.442 10.6536
1.423142 63.582 10.3808
1.433455 63.722 10.1036
1.443843 63.861 9.8221
1.454305 64.002 9.5370
1.464844 64.142 9.2489
1.475459 64.282 8.9588
1.486150 64.422 8.6676
1.496920 64.562 8.3759
1.507767 64.703 8.0842
1.518693 64.842 7.7926
1.529698 64.982 7.5011
1.540783 65.122 7.2096
1.551948 65.262 6.9177
1.563194 65.401 6.6253
1.574521 65.540 6.3321
1.585931 65.679 6.0377
1.597423 65.819 5.7418
1.608999 65.958 5.4442
1.620658 66.096 5.1444
1.632402 66.235 4.8423
1.644232 66.374 4.5374
1.656146 66.513 4.2295
1.668147 66.651 3.9183
1.680235 66.790 3.6034
1.692411 66.928 3.2845
1.704675 67.066 2.9613
1.717028 67.205 2.6335
1.729470 67.343 2.3008
1.742003 67.482 1.9629
1.754626 67.620 1.6196
1.767341 67.759 1.2706
1.780147 67.897 0.9157
1.793047 68.035 0.5550
1.806040 68.174 0.1884
1.819128 68.312 -0.1837
1.832310 68.451 -0.5609
1.845587 68.589 -0.9424
1.858961 68.727 -1.3277
1.872432 68.864 -1.7160
1.886001 69.001 -2.1070
1.899667 69.138 -2.5003
1.913433 69.275 -2.8958
1.927299 69.411 -3.2933
1.941265 69.547 -3.6928
1.955332 69.682 -4.0943
1.969501 69.817 -4.4978
1.983773 69.952 -4.9034
1.998148 70.087 -5.3112
2.012627 70.221 -5.7212
2.027212 70.354 -6.1335
2.041902 70.488 -6.5483
2.056698 70.621 -6.9658
2.071602 70.755 -7.3860
2.086614 70.887 -7.8091
2.101734 71.020 -8.2354
2.116964 71.153 -8.6649
2.132304 71.285 -9.0979
2.147756 71.417 -9.5345
2.163320 71.549 -9.9749
2.178996 71.681 -10.4192
2.194786 71.812 -10.8672
2.210690 71.944 -11.3190
2.226710 72.074 -11.7743
2.242845 72.204 -12.2330
2.259098 72.334 -12.6946
2.275468 72.463 -13.1591
2.291957 72.592 -13.6262
2.308566 72.720 -14.0956
2.325295 72.848 -14.5673
2.342145 72.975 -15.0411
2.359117 73.101 -15.5168
2.376212 73.227 -15.9944
2.393431 73.353 -16.4738
2.410775 73.478 -16.9551
2.428244 73.603 -17.4380
2.445840 73.727 -17.9228
2.463564 73.851 -18.4094
2.481416 73.975 -18.8979
2.499397 74.098 -19.3885
2.517509 74.221 -19.8812
2.535752 74.344 -20.3763
2.554127 74.466 -20.8741
2.572635 74.588 -21.3747
2.591277 74.709 -21.8784
2.610055 74.829 -22.3852
2.628968 74.949 -22.8951
2.648019 75.069 -23.4079
2.667208 75.187 -23.9234
2.686535 75.305 -24.4413
2.706003 75.423 -24.9613
2.725612 75.539 -25.4831
2.745363 75.655 -26.0065
2.765257 75.771 -26.5312
2.785295 75.886 -27.0571
2.805478 76.000 -27.5839
2.825808 76.114 -28.1115
2.846285 76.228 -28.6399
2.866910 76.341 -29.1690
2.887685 76.454 -29.6991
2.908611 76.566 -30.2304
2.929688 76.678 -30.7631
2.950917 76.789 -31.2978
2.972301 76.899 -31.8348
2.993839 77.009 -32.3742
3.015534 77.118 -32.9160
3.037386 77.226 -33.4600
3.059396 77.334 -34.0060
3.081565 77.441 -34.5536
3.103896 77.547 -35.1025
3.126388 77.652 -35.6523
3.149043 77.757 -36.2026
3.171862 77.862 -36.7533
3.194847 77.966 -37.3039
3.217998 78.069 -37.8544
3.241317 78.172 -38.4048
3.264805 78.275 -38.9551
3.288463 78.377 -39.5057
3.312293 78.478 -40.0569
3.336295 78.579 -40.6093
3.360471 78.679 -41.1630
3.384822 78.778 -41.7183
3.409350 78.876 -42.2750
3.434056 78.974 -42.8329
3.458940 79.072 -43.3917
3.484005 79.168 -43.9511
3.509252 79.264 -44.5108
3.534681 79.359 -45.0704
3.560295 79.454 -45.6297
3.586094 79.549 -46.1886
3.612081 79.643 -46.7469
3.638255 79.736 -47.3049
3.664620 79.829 -47.8627
3.691175 79.921 -48.4208
3.717923 80.013 -48.9796
3.744864 80.104 -49.5392
3.772001 80.194 -50.0996
3.799335 80.284 -50.6609
3.826866 80.373 -51.2226
3.854597 80.461 -51.7846
3.882529 80.549 -52.3465
3.910664 80.636 -52.9082
3.939002 80.723 -53.4693
3.967546 80.809 -54.0299
3.996296 80.895 -54.5899
4.025255 80.980 -55.1495
4.054423 81.065 -55.7090
4.083804 81.149 -56.2688
4.113396 81.233 -56.8291
4.143204 81.316 -57.3898
4.173227 81.398 -57.9510
4.203468 81.480 -58.5123
4.233928 81.561 -59.0737
4.264609 81.641 -59.6348
4.295512 81.721 -60.1955
4.326639 81.801 -60.7556
4.357992 81.880 -61.3152
4.389572 81.958 -61.8744
4.421380 82.036 -62.4336
4.453419 82.113 -62.9930
4.485691 82.190 -63.5527
4.518196 82.265 -64.1127
4.550936 82.341 -64.6729
4.583914 82.415 -65.2330
4.617131 82.489 -65.7927
4.650589 82.563 -66.3518
4.684289 82.635 -66.9101
4.718233 82.708 -67.4676
4.752424 82.779 -68.0244
4.786862 82.850 -68.5806
4.821549 82.920 -69.1366
4.856488 82.990 -69.6925
4.891680 83.059 -70.2481
4.927127 83.127 -70.8033
4.962831 83.194 -71.3578
4.998794 83.261 -71.9111
5.035017 83.327 -72.4631
5.071503 83.392 -73.0134
5.108253 83.457 -73.5620
5.145270 83.521 -74.1092
5.182555 83.585 -74.6551
5.220110 83.647 -75.1998
5.257937 83.709 -75.7432
5.296038 83.770 -76.2853
5.334415 83.831 -76.8254
5.373071 83.891 -77.3634
5.412006 83.950 -77.8989
5.451224 84.008 -78.4315
5.490725 84.066 -78.9613
5.530514 84.124 -79.4884
5.570590 84.180 -80.0128
5.610957 84.236 -80.5347
5.651616 84.292 -81.0539
5.692570 84.347 -81.5702
5.733821 84.401 -82.0834
5.775370 84.455 -82.5932
5.817221 84.508 -83.0993
5.859375 84.561 -83.6016
5.901834 84.614 -84.1002
5.944602 84.666 -84.5952
5.987679 84.718 -85.0866
6.031068 84.769 -85.5746
6.074771 84.821 -86.0591
6.118792 84.872 -86.5402
6.163131 84.922 -87.0177
6.207792 84.973 -87.4917
6.252776 85.024 -87.9621
6.298086 85.074 -88.4290
6.343725 85.124 -88.8926
6.389694 85.175 -89.3532
6.435996 85.225 -89.8111
6.482634 85.275 -90.2665
6.529610 85.326 -90.7197
6.576926 85.376 -91.1708
6.624585 85.427 -91.6199
6.672590 85.478 -92.0673
6.720942 85.529 -92.5132
