* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 10:55:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Kadenz R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 51.454 21.1246
0.368865 51.478 21.1558
0.371538 51.513 21.2024
0.374230 51.556 21.2606
0.376942 51.605 21.3274
0.379673 51.657 21.4003
0.382424 51.712 21.4779
0.385196 51.767 21.5592
0.387987 51.824 21.6436
0.390798 51.882 21.7308
0.393630 51.940 21.8206
0.396483 51.998 21.9129
0.399356 52.057 22.0075
0.402250 52.117 22.1045
0.405165 52.176 22.2038
0.408101 52.237 22.3052
0.411058 52.297 22.4088
0.414037 52.359 22.5145
0.417037 52.420 22.6222
0.420059 52.482 22.7319
0.423103 52.545 22.8435
0.426169 52.608 22.9570
0.429257 52.671 23.0722
0.432368 52.735 23.1892
0.435501 52.799 23.3078
0.438656 52.864 23.4280
0.441835 52.929 23.5497
0.445037 52.995 23.6728
0.448262 53.061 23.7972
0.451510 53.128 23.9228
0.454782 53.195 24.0496
0.458077 53.263 24.1775
0.461397 53.331 24.3064
0.464740 53.400 24.4361
0.468108 53.469 24.5667
0.471500 53.539 24.6979
0.474917 53.609 24.8297
0.478358 53.679 24.9620
0.481825 53.751 25.0946
0.485316 53.822 25.2276
0.488833 53.895 25.3607
0.492375 53.967 25.4938
0.495943 54.041 25.6269
0.499537 54.114 25.7598
0.503157 54.189 25.8924
0.506803 54.264 26.0246
0.510475 54.339 26.1563
0.514175 54.415 26.2873
0.517900 54.492 26.4175
0.521653 54.569 26.5468
0.525434 54.646 26.6751
0.529241 54.725 26.8022
0.533076 54.803 26.9280
0.536939 54.883 27.0524
0.540830 54.963 27.1753
0.544749 55.043 27.2965
0.548696 55.124 27.4158
0.552673 55.206 27.5333
0.556677 55.288 27.6487
0.560711 55.371 27.7618
0.564774 55.454 27.8727
0.568867 55.538 27.9811
0.572989 55.623 28.0869
0.577141 55.708 28.1900
0.581324 55.794 28.2902
0.585536 55.881 28.3875
0.589779 55.968 28.4816
0.594053 56.056 28.5725
0.598358 56.144 28.6601
0.602694 56.233 28.7442
0.607061 56.323 28.8247
0.611460 56.413 28.9015
0.615891 56.504 28.9744
0.620354 56.596 29.0434
0.624849 56.689 29.1083
0.629377 56.782 29.1690
0.633938 56.875 29.2255
0.638532 56.970 29.2775
0.643159 57.065 29.3251
0.647819 57.160 29.3680
0.652514 57.257 29.4063
0.657242 57.354 29.4397
0.662005 57.452 29.4683
0.666802 57.550 29.4919
0.671634 57.650 29.5104
0.676501 57.750 29.5238
0.681403 57.850 29.5320
0.686341 57.952 29.5349
0.691314 58.054 29.5324
0.696324 58.157 29.5247
0.701370 58.261 29.5115
0.706452 58.365 29.4931
0.711571 58.470 29.4695
0.716728 58.576 29.4412
0.721921 58.682 29.4087
0.727153 58.789 29.3727
0.732422 58.897 29.3344
0.737729 59.005 29.2951
0.743075 59.114 29.2561
0.748460 59.224 29.2181
0.753883 59.334 29.1820
0.759346 59.445 29.1479
0.764849 59.557 29.1159
0.770391 59.671 29.0858
0.775974 59.785 29.0575
0.781597 59.900 29.0308
0.787261 60.015 29.0053
0.792966 60.132 28.9808
0.798712 60.250 28.9570
0.804500 60.369 28.9335
0.810329 60.489 28.9101
0.816201 60.609 28.8865
0.822116 60.731 28.8623
0.828073 60.853 28.8374
0.834074 60.976 28.8114
0.840118 61.100 28.7841
0.846206 61.225 28.7551
0.852338 61.351 28.7243
0.858514 61.478 28.6913
0.864735 61.605 28.6559
0.871001 61.733 28.6179
0.877313 61.863 28.5769
0.883670 61.992 28.5328
0.890074 62.123 28.4853
0.896524 62.254 28.4342
0.903020 62.387 28.3793
0.909564 62.519 28.3202
0.916155 62.653 28.2569
0.922794 62.787 28.1890
0.929481 62.922 28.1165
0.936216 63.057 28.0390
0.943000 63.193 27.9563
0.949834 63.330 27.8683
0.956717 63.467 27.7748
0.963649 63.605 27.6756
0.970632 63.743 27.5705
0.977666 63.882 27.4592
0.984750 64.021 27.3417
0.991886 64.160 27.2178
0.999074 64.300 27.0872
1.006314 64.440 26.9499
1.013606 64.580 26.8056
1.020951 64.721 26.6542
1.028349 64.862 26.4956
1.035801 65.003 26.3296
1.043307 65.144 26.1561
1.050867 65.285 25.9751
1.058482 65.426 25.7865
1.066152 65.568 25.5905
1.073878 65.709 25.3872
1.081660 65.850 25.1773
1.089498 65.992 24.9614
1.097393 66.133 24.7407
1.105345 66.274 24.5165
1.113355 66.415 24.2902
1.121423 66.557 24.0630
1.129549 66.699 23.8356
1.137734 66.840 23.6083
1.145979 66.982 23.3815
1.154283 67.124 23.1550
1.162647 67.267 22.9288
1.171072 67.409 22.7027
1.179558 67.552 22.4764
1.188106 67.695 22.2498
1.196715 67.838 22.0227
1.205387 67.981 21.7946
1.214122 68.125 21.5655
1.222920 68.268 21.3351
1.231782 68.412 21.1031
1.240708 68.556 20.8692
1.249699 68.700 20.6333
1.258754 68.844 20.3952
1.267876 68.989 20.1544
1.277063 69.133 19.9109
1.286318 69.278 19.6644
1.295639 69.423 19.4146
1.305027 69.568 19.1614
1.314484 69.713 18.9044
1.324009 69.858 18.6434
1.333604 70.004 18.3783
1.343268 70.149 18.1087
1.353002 70.295 17.8344
1.362806 70.441 17.5553
1.372681 70.587 17.2710
1.382628 70.733 16.9814
1.392647 70.879 16.6863
1.402739 71.026 16.3855
1.412904 71.172 16.0789
1.423142 71.319 15.7664
1.433455 71.466 15.4483
1.443843 71.613 15.1248
1.454305 71.760 14.7966
1.464844 71.907 14.4645
1.475459 72.054 14.1296
1.486150 72.201 13.7931
1.496920 72.347 13.4557
1.507767 72.494 13.1180
1.518693 72.640 12.7801
1.529698 72.786 12.4422
1.540783 72.932 12.1041
1.551948 73.077 11.7655
1.563194 73.222 11.4262
1.574521 73.368 11.0860
1.585931 73.512 10.7444
1.597423 73.657 10.4011
1.608999 73.801 10.0559
1.620658 73.946 9.7083
1.632402 74.090 9.3581
1.644232 74.234 9.0049
1.656146 74.377 8.6483
1.668147 74.521 8.2880
1.680235 74.664 7.9236
1.692411 74.808 7.5549
1.704675 74.951 7.1814
1.717028 75.094 6.8027
1.729470 75.237 6.4187
1.742003 75.380 6.0288
1.754626 75.523 5.6329
1.767341 75.666 5.2306
1.780147 75.808 4.8216
1.793047 75.951 4.4060
1.806040 76.094 3.9838
1.819128 76.236 3.5551
1.832310 76.379 3.1206
1.845587 76.521 2.6808
1.858961 76.663 2.2365
1.872432 76.804 1.7885
1.886001 76.945 1.3371
1.899667 77.086 0.8829
1.913433 77.226 0.4262
1.927299 77.365 -0.0330
1.941265 77.504 -0.4944
1.955332 77.643 -0.9580
1.969501 77.781 -1.4238
1.983773 77.918 -1.8917
1.998148 78.056 -2.3618
2.012627 78.192 -2.8341
2.027212 78.329 -3.3087
2.041902 78.465 -3.7858
2.056698 78.600 -4.2653
2.071602 78.736 -4.7475
2.086614 78.871 -5.2326
2.101734 79.006 -5.7207
2.116964 79.140 -6.2121
2.132304 79.274 -6.7070
2.147756 79.408 -7.2055
2.163320 79.542 -7.7080
2.178996 79.676 -8.2146
2.194786 79.809 -8.7254
2.210690 79.941 -9.2405
2.226710 80.073 -9.7598
2.242845 80.205 -10.2831
2.259098 80.336 -10.8101
2.275468 80.466 -11.3405
2.291957 80.595 -11.8739
2.308566 80.724 -12.4102
2.325295 80.852 -12.9489
2.342145 80.980 -13.4898
2.359117 81.107 -14.0328
2.376212 81.233 -14.5775
2.393431 81.359 -15.1238
2.410775 81.484 -15.6716
2.428244 81.608 -16.2209
2.445840 81.732 -16.7715
2.463564 81.856 -17.3234
2.481416 81.979 -17.8769
2.499397 82.102 -18.4318
2.517509 82.224 -18.9886
2.535752 82.346 -19.5475
2.554127 82.467 -20.1089
2.572635 82.588 -20.6733
2.591277 82.708 -21.2412
2.610055 82.828 -21.8126
2.628968 82.946 -22.3878
2.648019 83.064 -22.9663
2.667208 83.181 -23.5479
2.686535 83.297 -24.1323
2.706003 83.412 -24.7188
2.725612 83.526 -25.3072
2.745363 83.640 -25.8969
2.765257 83.753 -26.4876
2.785295 83.866 -27.0789
2.805478 83.977 -27.6704
2.825808 84.089 -28.2619
2.846285 84.199 -28.8533
2.866910 84.309 -29.4445
2.887685 84.419 -30.0358
2.908611 84.527 -30.6275
2.929688 84.636 -31.2201
2.950917 84.743 -31.8144
2.972301 84.850 -32.4108
2.993839 84.955 -33.0098
3.015534 85.060 -33.6114
3.037386 85.164 -34.2152
3.059396 85.267 -34.8210
3.081565 85.370 -35.4283
3.103896 85.471 -36.0364
3.126388 85.572 -36.6447
3.149043 85.672 -37.2529
3.171862 85.771 -37.8603
3.194847 85.870 -38.4666
3.217998 85.968 -39.0715
3.241317 86.065 -39.6748
3.264805 86.162 -40.2767
3.288463 86.258 -40.8777
3.312293 86.353 -41.4783
3.336295 86.448 -42.0793
3.360471 86.542 -42.6810
3.384822 86.635 -43.2837
3.409350 86.727 -43.8873
3.434056 86.818 -44.4916
3.458940 86.909 -45.0960
3.484005 86.998 -45.7001
3.509252 87.087 -46.3034
3.534681 87.176 -46.9053
3.560295 87.263 -47.5055
3.586094 87.350 -48.1036
3.612081 87.437 -48.6994
3.638255 87.523 -49.2930
3.664620 87.609 -49.8848
3.691175 87.693 -50.4754
3.717923 87.778 -51.0651
3.744864 87.861 -51.6543
3.772001 87.944 -52.2432
3.799335 88.026 -52.8316
3.826866 88.107 -53.4193
3.854597 88.188 -54.0059
3.882529 88.268 -54.5912
3.910664 88.347 -55.1746
3.939002 88.426 -55.7559
3.967546 88.505 -56.3349
3.996296 88.583 -56.9116
4.025255 88.661 -57.4860
4.054423 88.738 -58.0585
4.083804 88.815 -58.6294
4.113396 88.891 -59.1991
4.143204 88.967 -59.7676
4.173227 89.042 -60.3350
4.203468 89.117 -60.9013
4.233928 89.191 -61.4662
4.264609 89.264 -62.0297
4.295512 89.338 -62.5915
4.326639 89.411 -63.1515
4.357992 89.483 -63.7098
4.389572 89.556 -64.2665
4.421380 89.628 -64.8216
4.453419 89.699 -65.3755
4.485691 89.770 -65.9283
4.518196 89.841 -66.4801
4.550936 89.911 -67.0311
4.583914 89.981 -67.5811
4.617131 90.051 -68.1301
4.650589 90.120 -68.6782
4.684289 90.189 -69.2252
4.718233 90.258 -69.7713
4.752424 90.326 -70.3165
4.786862 90.394 -70.8609
4.821549 90.461 -71.4048
4.856488 90.529 -71.9483
4.891680 90.595 -72.4914
4.927127 90.662 -73.0341
4.962831 90.728 -73.5764
4.998794 90.794 -74.1182
5.035017 90.859 -74.6595
5.071503 90.924 -75.2005
5.108253 90.988 -75.7410
5.145270 91.052 -76.2814
5.182555 91.116 -76.8217
5.220110 91.179 -77.3620
5.257937 91.242 -77.9024
5.296038 91.304 -78.4427
5.334415 91.366 -78.9828
5.373071 91.427 -79.5226
5.412006 91.488 -80.0620
5.451224 91.548 -80.6009
5.490725 91.608 -81.1395
5.530514 91.667 -81.6778
5.570590 91.726 -82.2160
5.610957 91.784 -82.7540
5.651616 91.842 -83.2919
5.692570 91.899 -83.8293
5.733821 91.956 -84.3660
5.775370 92.012 -84.9019
5.817221 92.067 -85.4368
5.859375 92.122 -85.9707
5.901834 92.176 -86.5037
5.944602 92.230 -87.0359
5.987679 92.283 -87.5672
6.031068 92.335 -88.0976
6.074771 92.387 -88.6268
6.118792 92.438 -89.1546
6.163131 92.489 -89.6808
6.207792 92.539 -90.2053
6.252776 92.589 -90.7281
6.298086 92.638 -91.2493
6.343725 92.687 -91.7688
6.389694 92.735 -92.2867
6.435996 92.782 -92.8028
6.482634 92.829 -93.3170
6.529610 92.876 -93.8292
6.576926 92.922 -94.3392
6.624585 92.967 -94.8470
6.672590 93.012 -95.3528
6.720942 93.057 -95.8566
6.769645 93.101 -96.3583
