* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 24, 2023 8:55:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Kato May L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.609 47.7590
20.507813 85.652 47.4443
20.874023 85.758 46.6542
21.240234 85.851 45.9514
21.606445 85.922 45.3251
21.972656 85.978 44.6442
22.338867 86.013 43.8820
22.705078 86.034 43.0503
23.071289 86.049 42.1628
23.437500 86.073 41.2224
23.803711 86.114 40.2189
24.169922 86.168 39.1608
24.536133 86.225 38.1106
24.902344 86.277 37.1818
25.268555 86.323 36.4843
25.634766 86.374 36.0469
26.000977 86.440 35.7737
26.367188 86.525 35.4772
26.733399 86.613 34.9765
27.099610 86.684 34.1952
27.465821 86.719 33.1948
27.832032 86.719 32.1259
28.198243 86.699 31.1367
28.564454 86.681 30.2985
28.930665 86.683 29.5910
29.296876 86.709 28.9463
29.663087 86.751 28.3092
30.029298 86.796 27.6687
30.395509 86.836 27.0441
30.761720 86.868 26.4511
31.127931 86.895 25.8817
31.494142 86.917 25.3146
31.860353 86.933 24.7378
32.226563 86.944 24.1581
32.592774 86.954 23.5860
32.958985 86.968 23.0111
33.325196 86.990 22.3963
33.691407 87.017 21.7008
34.057618 87.040 20.9189
34.423829 87.052 20.1010
34.790040 87.050 19.3386
35.156251 87.041 18.7174
35.522462 87.037 18.2702
35.888673 87.047 17.9607
36.254884 87.073 17.7071
36.621095 87.108 17.4291
36.987306 87.141 17.0847
37.353517 87.164 16.6769
37.719728 87.175 16.2336
38.085939 87.178 15.7795
38.452150 87.179 15.3217
38.818361 87.183 14.8535
39.184572 87.192 14.3671
39.550783 87.204 13.8649
39.916994 87.217 13.3600
40.283205 87.228 12.8692
40.649416 87.235 12.4057
41.015627 87.238 11.9751
41.381838 87.239 11.5752
41.748049 87.237 11.1981
42.114260 87.236 10.8323
42.480471 87.237 10.4648
42.846682 87.240 10.0851
43.212893 87.246 9.6892
43.579103 87.254 9.2806
43.945314 87.261 8.8681
44.311525 87.269 8.4606
44.677736 87.276 8.0631
45.043947 87.282 7.6761
45.410158 87.288 7.2978
45.776369 87.292 6.9277
46.142580 87.293 6.5669
46.508791 87.294 6.2164
46.875002 87.294 5.8744
47.241213 87.294 5.5363
47.607424 87.294 5.1965
47.973635 87.294 4.8521
48.339846 87.294 4.5046
48.706057 87.293 4.1580
49.072268 87.292 3.8160
49.438479 87.290 3.4792
49.804690 87.289 3.1448
50.170901 87.288 2.8097
50.537112 87.287 2.4723
50.903323 87.286 2.1337
51.269534 87.285 1.7966
51.635745 87.285 1.4622
52.001956 87.286 1.1297
52.368167 87.288 0.7971
52.734378 87.289 0.4641
53.100589 87.288 0.1344
53.466800 87.284 -0.1856
53.833011 87.278 -0.4896
54.199222 87.271 -0.7759
54.565432 87.265 -1.0490
54.931643 87.261 -1.3172
55.297854 87.258 -1.5884
55.664065 87.256 -1.8663
56.030276 87.254 -2.1504
56.396487 87.251 -2.4380
56.762698 87.246 -2.7282
57.128909 87.239 -3.0221
57.495120 87.230 -3.3212
57.861331 87.220 -3.6249
58.227542 87.209 -3.9294
58.593753 87.200 -4.2300
58.959964 87.195 -4.5236
59.326175 87.194 -4.8092
59.692386 87.196 -5.0857
60.058597 87.198 -5.3490
60.424808 87.197 -5.5929
60.791019 87.192 -5.8141
61.157230 87.184 -6.0186
61.523441 87.173 -6.2238
61.889652 87.162 -6.4527
62.255863 87.150 -6.7222
62.622074 87.137 -7.0324
62.988285 87.123 -7.3643
63.354496 87.109 -7.6877
63.720707 87.097 -7.9757
64.086918 87.089 -8.2164
64.453129 87.087 -8.4165
64.819340 87.089 -8.5946
65.185551 87.092 -8.7701
65.551762 87.094 -8.9547
65.917972 87.093 -9.1507
66.284183 87.090 -9.3559
66.650394 87.086 -9.5688
67.016605 87.081 -9.7911
67.382816 87.073 -10.0241
67.749027 87.057 -10.2616
68.115238 87.031 -10.4863
68.481449 86.991 -10.6725
68.847660 86.941 -10.7967
69.213871 86.887 -10.8519
69.580082 86.839 -10.8576
69.946293 86.807 -10.8593
70.312504 86.798 -10.9151
70.678715 86.812 -11.0752
71.044926 86.843 -11.3621
71.411137 86.880 -11.7619
71.777348 86.915 -12.2295
72.143559 86.942 -12.7057
72.509770 86.956 -13.1374
72.875981 86.959 -13.4936
73.242192 86.954 -13.7705
73.608403 86.943 -13.9867
73.974614 86.929 -14.1712
74.340825 86.914 -14.3509
74.707036 86.899 -14.5423
75.073247 86.884 -14.7479
75.439458 86.869 -14.9602
75.805669 86.856 -15.1675
76.171880 86.845 -15.3601
76.538091 86.836 -15.5339
76.904301 86.830 -15.6911
77.270512 86.825 -15.8374
77.636723 86.821 -15.9791
78.002934 86.817 -16.1216
78.369145 86.811 -16.2693
78.735356 86.804 -16.4264
79.101567 86.797 -16.5975
79.467778 86.790 -16.7865
79.833989 86.781 -16.9943
80.200200 86.771 -17.2172
80.566411 86.760 -17.4464
80.932622 86.748 -17.6708
81.298833 86.734 -17.8805
81.665044 86.721 -18.0702
82.031255 86.709 -18.2402
82.397466 86.699 -18.3955
82.763677 86.689 -18.5426
83.129888 86.679 -18.6873
83.496099 86.670 -18.8334
83.862310 86.660 -18.9825
84.228521 86.651 -19.1353
84.594732 86.642 -19.2919
84.960943 86.633 -19.4519
85.327154 86.625 -19.6143
85.693365 86.617 -19.7764
86.059576 86.609 -19.9349
86.425787 86.600 -20.0862
86.791998 86.589 -20.2284
87.158209 86.577 -20.3625
87.524420 86.565 -20.4934
87.890631 86.553 -20.6287
88.256841 86.543 -20.7768
88.623052 86.534 -20.9442
88.989263 86.525 -21.1323
89.355474 86.517 -21.3365
89.721685 86.508 -21.5473
90.087896 86.499 -21.7527
90.454107 86.489 -21.9422
90.820318 86.478 -22.1098
91.186529 86.468 -22.2552
91.552740 86.458 -22.3828
91.918951 86.449 -22.5002
92.285162 86.441 -22.6153
92.651373 86.434 -22.7343
93.017584 86.427 -22.8603
93.383795 86.420 -22.9936
93.750006 86.414 -23.1312
94.116217 86.408 -23.2689
94.482428 86.402 -23.4022
94.848639 86.395 -23.5280
95.214850 86.389 -23.6453
95.581061 86.382 -23.7557
95.947272 86.375 -23.8626
96.313483 86.367 -23.9701
96.679694 86.359 -24.0819
97.045905 86.350 -24.2005
97.412116 86.342 -24.3271
97.778327 86.333 -24.4614
98.144538 86.324 -24.6021
98.510749 86.314 -24.7472
98.876960 86.304 -24.8947
99.243170 86.293 -25.0429
99.609381 86.281 -25.1909
99.975592 86.269 -25.3389
100.341803 86.256 -25.4873
100.708014 86.242 -25.6366
101.074225 86.228 -25.7864
101.440436 86.214 -25.9354
101.806647 86.200 -26.0817
102.172858 86.187 -26.2238
102.539069 86.174 -26.3606
102.905280 86.163 -26.4923
103.271491 86.152 -26.6196
103.637702 86.142 -26.7435
104.003913 86.134 -26.8653
104.370124 86.126 -26.9862
104.736335 86.120 -27.1073
105.102546 86.115 -27.2301
105.468757 86.110 -27.3555
105.834968 86.106 -27.4838
106.201179 86.101 -27.6137
106.567390 86.095 -27.7433
106.933601 86.088 -27.8700
107.299812 86.080 -27.9919
107.666023 86.071 -28.1089
108.032234 86.063 -28.2219
108.398445 86.054 -28.3333
108.764656 86.046 -28.4450
109.130867 86.039 -28.5582
109.497078 86.032 -28.6725
109.863289 86.025 -28.7865
110.229500 86.017 -28.8987
110.595710 86.010 -29.0083
110.961921 86.002 -29.1159
111.328132 85.993 -29.2232
111.694343 85.985 -29.3324
112.060554 85.976 -29.4456
112.426765 85.968 -29.5639
112.792976 85.960 -29.6870
113.159187 85.952 -29.8136
113.525398 85.943 -29.9412
113.891609 85.935 -30.0670
114.257820 85.927 -30.1886
114.624031 85.918 -30.3041
114.990242 85.909 -30.4131
115.356453 85.900 -30.5169
115.722664 85.891 -30.6177
116.088875 85.882 -30.7190
116.455086 85.873 -30.8237
116.821297 85.864 -30.9341
117.187508 85.855 -31.0509
117.553719 85.846 -31.1731
117.919930 85.835 -31.2987
118.286141 85.825 -31.4251
118.652352 85.813 -31.5501
119.018563 85.801 -31.6727
119.384774 85.787 -31.7925
119.750985 85.772 -31.9100
120.117196 85.756 -32.0259
120.483407 85.739 -32.1410
120.849618 85.720 -32.2554
121.215829 85.701 -32.3694
121.582040 85.681 -32.4828
121.948250 85.662 -32.5956
122.314461 85.643 -32.7081
122.680672 85.625 -32.8205
123.046883 85.609 -32.9334
123.413094 85.595 -33.0476
123.779305 85.584 -33.1642
124.145516 85.574 -33.2842
124.511727 85.567 -33.4079
124.877938 85.560 -33.5352
125.244149 85.556 -33.6646
125.610360 85.551 -33.7936
125.976571 85.548 -33.9190
126.342782 85.545 -34.0375
126.708993 85.542 -34.1461
127.075204 85.539 -34.2428
127.441415 85.536 -34.3271
127.807626 85.533 -34.3995
128.173837 85.530 -34.4618
128.540048 85.526 -34.5165
128.906259 85.522 -34.5669
129.272470 85.516 -34.6162
129.638681 85.509 -34.6674
130.004892 85.502 -34.7233
130.371103 85.493 -34.7854
130.737314 85.484 -34.8547
131.103525 85.474 -34.9309
131.469736 85.464 -35.0131
131.835947 85.454 -35.0999
132.202158 85.444 -35.1893
132.568369 85.435 -35.2796
132.934579 85.425 -35.3691
133.300790 85.416 -35.4568
133.667001 85.407 -35.5418
134.033212 85.399 -35.6240
134.399423 85.390 -35.7034
134.765634 85.382 -35.7807
135.131845 85.373 -35.8564
135.498056 85.364 -35.9311
135.864267 85.355 -36.0054
136.230478 85.345 -36.0797
136.596689 85.335 -36.1539
136.962900 85.325 -36.2284
137.329111 85.315 -36.3029
137.695322 85.304 -36.3774
138.061533 85.294 -36.4521
138.427744 85.284 -36.5267
138.793955 85.275 -36.6013
139.160166 85.265 -36.6761
139.526377 85.256 -36.7512
139.892588 85.247 -36.8269
140.258799 85.238 -36.9036
140.625010 85.229 -36.9815
140.991221 85.219 -37.0607
141.357432 85.209 -37.1409
141.723643 85.199 -37.2217
142.089854 85.187 -37.3022
142.456065 85.175 -37.3813
142.822276 85.163 -37.4583
143.188487 85.150 -37.5324
143.554698 85.138 -37.6035
143.920909 85.125 -37.6716
144.287119 85.112 -37.7373
144.653330 85.099 -37.8014
145.019541 85.087 -37.8646
145.385752 85.075 -37.9274
145.751963 85.064 -37.9903
146.118174 85.054 -38.0532
146.484385 85.043 -38.1158
146.850596 85.034 -38.1775
147.216807 85.025 -38.2378
147.583018 85.016 -38.2962
147.949229 85.007 -38.3525
148.315440 84.999 -38.4064
148.681651 84.990 -38.4582
149.047862 84.980 -38.5082
149.414073 84.970 -38.5568
149.780284 84.960 -38.6041
150.146495 84.948 -38.6503
150.512706 84.936 -38.6953
150.878917 84.924 -38.7388
151.245128 84.911 -38.7804
151.611339 84.898 -38.8195
151.977550 84.885 -38.8560
152.343761 84.871 -38.8896
152.709972 84.858 -38.9204
153.076183 84.845 -38.9487
153.442394 84.832 -38.9746
153.808605 84.819 -38.9983
154.174816 84.806 -39.0197
154.541027 84.794 -39.0388
154.907238 84.783 -39.0550
155.273448 84.772 -39.0681
155.639659 84.761 -39.0778
156.005870 84.751 -39.0836
156.372081 84.742 -39.0854
156.738292 84.733 -39.0834
157.104503 84.725 -39.0777
157.470714 84.717 -39.0687
157.836925 84.709 -39.0572
158.203136 84.703 -39.0437
158.569347 84.697 -39.0293
158.935558 84.692 -39.0148
159.301769 84.688 -39.0007
159.667980 84.685 -38.9876
160.034191 84.683 -38.9759
160.400402 84.682 -38.9660
160.766613 84.682 -38.9584
161.132824 84.682 -38.9538
161.499035 84.683 -38.9529
161.865246 84.685 -38.9567
162.231457 84.687 -38.9657
162.597668 84.690 -38.9802
162.963879 84.692 -39.0003
163.330090 84.696 -39.0258
163.696301 84.699 -39.0566
164.062512 84.703 -39.0928
164.428723 84.707 -39.1346
164.794934 84.712 -39.1828
