* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 8:56:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.040 -168.3003
20.507813 93.028 -168.2903
20.874023 92.996 -168.2930
21.240234 92.961 -168.3945
21.606445 92.926 -168.6324
21.972656 92.894 -168.9793
22.338867 92.867 -169.3589
22.705078 92.851 -169.6835
23.071289 92.850 -169.8987
23.437500 92.865 -170.0040
23.803711 92.890 -170.0360
24.169922 92.913 -170.0377
24.536133 92.926 -170.0361
24.902344 92.923 -170.0372
25.268555 92.907 -170.0370
25.634766 92.885 -170.0360
26.000977 92.866 -170.0462
26.367188 92.853 -170.0822
26.733399 92.846 -170.1470
27.099610 92.840 -170.2271
27.465821 92.833 -170.2977
27.832032 92.823 -170.3366
28.198243 92.809 -170.3394
28.564454 92.794 -170.3228
28.930665 92.778 -170.3139
29.296876 92.762 -170.3334
29.663087 92.745 -170.3848
30.029298 92.727 -170.4548
30.395509 92.709 -170.5242
30.761720 92.693 -170.5789
31.127931 92.677 -170.6174
31.494142 92.663 -170.6484
31.860353 92.649 -170.6820
32.226563 92.635 -170.7230
32.592774 92.619 -170.7689
32.958985 92.603 -170.8132
33.325196 92.588 -170.8492
33.691407 92.577 -170.8742
34.057618 92.568 -170.8896
34.423829 92.561 -170.8979
34.790040 92.553 -170.8998
35.156251 92.542 -170.8947
35.522462 92.526 -170.8824
35.888673 92.507 -170.8659
36.254884 92.486 -170.8506
36.621095 92.463 -170.8418
36.987306 92.440 -170.8415
37.353517 92.419 -170.8474
37.719728 92.400 -170.8544
38.085939 92.383 -170.8577
38.452150 92.369 -170.8553
38.818361 92.356 -170.8466
39.184572 92.344 -170.8324
39.550783 92.331 -170.8129
39.916994 92.317 -170.7887
40.283205 92.302 -170.7605
40.649416 92.286 -170.7296
41.015627 92.269 -170.6974
41.381838 92.252 -170.6653
41.748049 92.236 -170.6345
42.114260 92.220 -170.6054
42.480471 92.205 -170.5777
42.846682 92.190 -170.5499
43.212893 92.175 -170.5209
43.579103 92.160 -170.4911
43.945314 92.144 -170.4638
44.311525 92.129 -170.4440
44.677736 92.114 -170.4353
45.043947 92.098 -170.4362
45.410158 92.082 -170.4390
45.776369 92.066 -170.4326
46.142580 92.050 -170.4085
46.508791 92.034 -170.3646
46.875002 92.018 -170.3057
47.241213 92.001 -170.2404
47.607424 91.984 -170.1772
47.973635 91.966 -170.1244
48.339846 91.948 -170.0900
48.706057 91.931 -170.0796
49.072268 91.916 -170.0903
49.438479 91.901 -170.1042
49.804690 91.887 -170.0896
50.170901 91.876 -170.0141
50.537112 91.869 -169.8637
50.903323 91.869 -169.6564
51.269534 91.875 -169.4388
51.635745 91.882 -169.2656
52.001956 91.881 -169.1726
52.368167 91.867 -169.1609
52.734378 91.837 -169.2004
53.100589 91.795 -169.2499
53.466800 91.748 -169.2791
53.833011 91.704 -169.2797
54.199222 91.671 -169.2601
54.565432 91.647 -169.2315
54.931643 91.630 -169.1974
55.297854 91.617 -169.1524
55.664065 91.605 -169.0896
56.030276 91.592 -169.0090
56.396487 91.578 -168.9186
56.762698 91.562 -168.8299
57.128909 91.544 -168.7505
57.495120 91.525 -168.6804
57.861331 91.504 -168.6145
58.227542 91.484 -168.5470
58.593753 91.465 -168.4753
58.959964 91.448 -168.4002
59.326175 91.433 -168.3233
59.692386 91.417 -168.2452
60.058597 91.402 -168.1652
60.424808 91.385 -168.0823
60.791019 91.369 -167.9968
61.157230 91.352 -167.9104
61.523441 91.335 -167.8251
61.889652 91.318 -167.7414
62.255863 91.302 -167.6584
62.622074 91.285 -167.5739
62.988285 91.269 -167.4866
63.354496 91.253 -167.3962
63.720707 91.237 -167.3044
64.086918 91.221 -167.2134
64.453129 91.204 -167.1249
64.819340 91.188 -167.0390
65.185551 91.172 -166.9550
65.551762 91.156 -166.8715
65.917972 91.139 -166.7875
66.284183 91.123 -166.7025
66.650394 91.106 -166.6163
67.016605 91.090 -166.5289
67.382816 91.073 -166.4400
67.749027 91.055 -166.3493
68.115238 91.037 -166.2568
68.481449 91.019 -166.1632
68.847660 91.001 -166.0694
69.213871 90.982 -165.9761
69.580082 90.963 -165.8832
69.946293 90.944 -165.7901
70.312504 90.926 -165.6960
70.678715 90.908 -165.6006
71.044926 90.891 -165.5043
71.411137 90.875 -165.4076
71.777348 90.860 -165.3109
72.143559 90.846 -165.2138
72.509770 90.831 -165.1154
72.875981 90.817 -165.0147
73.242192 90.803 -164.9116
73.608403 90.789 -164.8064
73.974614 90.774 -164.7001
74.340825 90.760 -164.5934
74.707036 90.746 -164.4868
75.073247 90.731 -164.3806
75.439458 90.716 -164.2750
75.805669 90.701 -164.1703
76.171880 90.685 -164.0665
76.538091 90.670 -163.9635
76.904301 90.654 -163.8602
77.270512 90.638 -163.7555
77.636723 90.622 -163.6480
78.002934 90.605 -163.5374
78.369145 90.590 -163.4238
78.735356 90.574 -163.3085
79.101567 90.559 -163.1926
79.467778 90.544 -163.0771
79.833989 90.529 -162.9627
80.200200 90.514 -162.8494
80.566411 90.500 -162.7370
80.932622 90.486 -162.6248
81.298833 90.473 -162.5121
81.665044 90.460 -162.3976
82.031255 90.447 -162.2802
82.397466 90.433 -162.1588
82.763677 90.419 -162.0328
83.129888 90.404 -161.9028
83.496099 90.389 -161.7701
83.862310 90.373 -161.6368
84.228521 90.358 -161.5055
84.594732 90.342 -161.3782
84.960943 90.327 -161.2564
85.327154 90.312 -161.1404
85.693365 90.297 -161.0296
86.059576 90.282 -160.9227
86.425787 90.266 -160.8179
86.791998 90.250 -160.7138
87.158209 90.234 -160.6094
87.524420 90.219 -160.5043
87.890631 90.204 -160.3988
88.256841 90.190 -160.2928
88.623052 90.178 -160.1857
88.989263 90.166 -160.0759
89.355474 90.155 -159.9609
89.721685 90.143 -159.8379
90.087896 90.131 -159.7048
90.454107 90.118 -159.5615
90.820318 90.105 -159.4097
91.186529 90.090 -159.2529
91.552740 90.075 -159.0954
91.918951 90.059 -158.9407
92.285162 90.044 -158.7911
92.651373 90.029 -158.6470
93.017584 90.014 -158.5076
93.383795 90.000 -158.3712
93.750006 89.987 -158.2362
94.116217 89.974 -158.1009
94.482428 89.962 -157.9644
94.848639 89.950 -157.8263
95.214850 89.937 -157.6867
95.581061 89.924 -157.5462
95.947272 89.911 -157.4059
96.313483 89.897 -157.2669
96.679694 89.884 -157.1304
97.045905 89.871 -156.9969
97.412116 89.858 -156.8664
97.778327 89.845 -156.7381
98.144538 89.833 -156.6110
98.510749 89.820 -156.4835
98.876960 89.808 -156.3544
99.243170 89.795 -156.2229
99.609381 89.781 -156.0887
99.975592 89.768 -155.9517
100.341803 89.755 -155.8125
100.708014 89.742 -155.6716
101.074225 89.730 -155.5294
101.440436 89.718 -155.3864
101.806647 89.706 -155.2426
102.172858 89.695 -155.0983
102.539069 89.684 -154.9538
102.905280 89.672 -154.8092
103.271491 89.661 -154.6652
103.637702 89.650 -154.5222
104.003913 89.639 -154.3810
104.370124 89.627 -154.2414
104.736335 89.616 -154.1034
105.102546 89.604 -153.9662
105.468757 89.592 -153.8289
105.834968 89.579 -153.6905
106.201179 89.566 -153.5503
106.567390 89.552 -153.4079
106.933601 89.537 -153.2635
107.299812 89.522 -153.1177
107.666023 89.508 -152.9715
108.032234 89.493 -152.8258
108.398445 89.479 -152.6819
108.764656 89.465 -152.5402
109.130867 89.452 -152.4010
109.497078 89.440 -152.2636
109.863289 89.428 -152.1272
110.229500 89.417 -151.9910
110.595710 89.406 -151.8543
110.961921 89.395 -151.7170
111.328132 89.385 -151.5791
111.694343 89.375 -151.4408
112.060554 89.365 -151.3024
112.426765 89.355 -151.1637
112.792976 89.346 -151.0247
113.159187 89.336 -150.8853
113.525398 89.327 -150.7457
113.891609 89.317 -150.6061
114.257820 89.307 -150.4669
114.624031 89.297 -150.3284
114.990242 89.286 -150.1905
115.356453 89.275 -150.0530
115.722664 89.263 -149.9152
116.088875 89.252 -149.7761
116.455086 89.240 -149.6345
116.821297 89.228 -149.4895
117.187508 89.217 -149.3407
117.553719 89.207 -149.1884
117.919930 89.197 -149.0335
118.286141 89.188 -148.8774
118.652352 89.179 -148.7217
119.018563 89.171 -148.5674
119.384774 89.164 -148.4149
119.750985 89.156 -148.2639
120.117196 89.149 -148.1134
120.483407 89.142 -147.9619
120.849618 89.135 -147.8076
121.215829 89.127 -147.6494
121.582040 89.119 -147.4870
121.948250 89.111 -147.3210
122.314461 89.102 -147.1529
122.680672 89.091 -146.9848
123.046883 89.080 -146.8190
123.413094 89.067 -146.6571
123.779305 89.053 -146.5005
124.145516 89.039 -146.3499
124.511727 89.025 -146.2055
124.877938 89.011 -146.0671
125.244149 88.997 -145.9341
125.610360 88.984 -145.8054
125.976571 88.972 -145.6795
126.342782 88.960 -145.5545
126.708993 88.948 -145.4282
127.075204 88.937 -145.2988
127.441415 88.925 -145.1646
127.807626 88.914 -145.0250
128.173837 88.903 -144.8800
128.540048 88.892 -144.7301
128.906259 88.881 -144.5767
129.272470 88.870 -144.4212
129.638681 88.859 -144.2651
130.004892 88.848 -144.1097
130.371103 88.838 -143.9558
130.737314 88.827 -143.8040
131.103525 88.816 -143.6539
131.469736 88.805 -143.5052
131.835947 88.794 -143.3570
132.202158 88.783 -143.2086
132.568369 88.772 -143.0593
132.934579 88.762 -142.9085
133.300790 88.751 -142.7560
133.667001 88.740 -142.6017
134.033212 88.730 -142.4458
134.399423 88.720 -142.2885
134.765634 88.709 -142.1301
135.131845 88.699 -141.9708
135.498056 88.690 -141.8107
135.864267 88.680 -141.6496
136.230478 88.671 -141.4874
136.596689 88.662 -141.3239
136.962900 88.654 -141.1589
137.329111 88.645 -140.9926
137.695322 88.636 -140.8252
138.061533 88.628 -140.6575
138.427744 88.619 -140.4901
138.793955 88.609 -140.3240
139.160166 88.600 -140.1598
139.526377 88.590 -139.9978
139.892588 88.581 -139.8377
140.258799 88.572 -139.6790
140.625010 88.563 -139.5205
140.991221 88.554 -139.3612
141.357432 88.546 -139.2000
141.723643 88.539 -139.0361
142.089854 88.532 -138.8693
142.456065 88.525 -138.7001
142.822276 88.519 -138.5293
143.188487 88.513 -138.3581
143.554698 88.506 -138.1880
143.920909 88.500 -138.0202
144.287119 88.494 -137.8557
144.653330 88.487 -137.6946
145.019541 88.481 -137.5368
145.385752 88.474 -137.3816
145.751963 88.467 -137.2283
146.118174 88.460 -137.0757
146.484385 88.453 -136.9234
146.850596 88.446 -136.7706
147.216807 88.438 -136.6172
147.583018 88.431 -136.4632
147.949229 88.423 -136.3086
148.315440 88.415 -136.1536
148.681651 88.407 -135.9983
149.047862 88.398 -135.8429
149.414073 88.390 -135.6874
149.780284 88.381 -135.5320
150.146495 88.372 -135.3766
150.512706 88.363 -135.2215
150.878917 88.353 -135.0665
151.245128 88.344 -134.9119
151.611339 88.335 -134.7579
151.977550 88.325 -134.6049
152.343761 88.316 -134.4530
152.709972 88.307 -134.3026
153.076183 88.297 -134.1538
153.442394 88.288 -134.0066
153.808605 88.278 -133.8608
154.174816 88.269 -133.7162
154.541027 88.260 -133.5725
154.907238 88.251 -133.4292
155.273448 88.243 -133.2861
155.639659 88.235 -133.1430
156.005870 88.227 -132.9998
156.372081 88.220 -132.8565
156.738292 88.213 -132.7129
157.104503 88.207 -132.5692
157.470714 88.201 -132.4250
157.836925 88.195 -132.2805
158.203136 88.189 -132.1354
158.569347 88.184 -131.9895
158.935558 88.178 -131.8428
159.301769 88.173 -131.6950
159.667980 88.168 -131.5462
160.034191 88.163 -131.3964
160.400402 88.158 -131.2456
160.766613 88.153 -131.0941
161.132824 88.147 -130.9422
161.499035 88.141 -130.7904
161.865246 88.135 -130.6392
162.231457 88.128 -130.4892
162.597668 88.121 -130.3411
