* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:00:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.746 176.4949
20.507813 93.737 176.3803
20.874023 93.714 176.0740
21.240234 93.697 175.7507
21.606445 93.691 175.4190
21.972656 93.696 175.0656
22.338867 93.709 174.7126
22.705078 93.723 174.3925
23.071289 93.734 174.1315
23.437500 93.738 173.9424
23.803711 93.733 173.8207
24.169922 93.721 173.7447
24.536133 93.703 173.6803
24.902344 93.682 173.5905
25.268555 93.660 173.4483
25.634766 93.637 173.2448
26.000977 93.615 172.9877
26.367188 93.594 172.6970
26.733399 93.576 172.3969
27.099610 93.561 172.1062
27.465821 93.549 171.8356
27.832032 93.538 171.5888
28.198243 93.528 171.3635
28.564454 93.518 171.1534
28.930665 93.504 170.9520
29.296876 93.488 170.7550
29.663087 93.470 170.5611
30.029298 93.450 170.3707
30.395509 93.431 170.1839
30.761720 93.413 170.0001
31.127931 93.397 169.8172
31.494142 93.383 169.6329
31.860353 93.371 169.4475
32.226563 93.359 169.2643
32.592774 93.347 169.0875
32.958985 93.334 168.9209
33.325196 93.320 168.7661
33.691407 93.306 168.6215
34.057618 93.291 168.4828
34.423829 93.276 168.3449
34.790040 93.260 168.2053
35.156251 93.244 168.0651
35.522462 93.228 167.9268
35.888673 93.211 167.7923
36.254884 93.196 167.6611
36.621095 93.180 167.5308
36.987306 93.163 167.3985
37.353517 93.145 167.2634
37.719728 93.126 167.1272
38.085939 93.104 166.9927
38.452150 93.082 166.8621
38.818361 93.060 166.7351
39.184572 93.040 166.6095
39.550783 93.023 166.4824
39.916994 93.008 166.3528
40.283205 92.993 166.2226
40.649416 92.978 166.0967
41.015627 92.961 165.9792
41.381838 92.943 165.8715
41.748049 92.924 165.7708
42.114260 92.906 165.6724
42.480471 92.888 165.5726
42.846682 92.871 165.4704
43.212893 92.855 165.3677
43.579103 92.839 165.2669
43.945314 92.822 165.1696
44.311525 92.804 165.0765
44.677736 92.784 164.9873
45.043947 92.762 164.9004
45.410158 92.741 164.8122
45.776369 92.721 164.7176
46.142580 92.704 164.6126
46.508791 92.688 164.4990
46.875002 92.673 164.3862
47.241213 92.657 164.2880
47.607424 92.640 164.2148
47.973635 92.621 164.1645
48.339846 92.602 164.1223
48.706057 92.581 164.0688
49.072268 92.558 163.9925
49.438479 92.534 163.8972
49.804690 92.513 163.7962
50.170901 92.499 163.6994
50.537112 92.497 163.6016
50.903323 92.505 163.4862
51.269534 92.518 163.3396
51.635745 92.527 163.1688
52.001956 92.522 163.0056
52.368167 92.500 162.8927
52.734378 92.463 162.8596
53.100589 92.419 162.9038
53.466800 92.375 162.9906
53.833011 92.337 163.0707
54.199222 92.305 163.1055
54.565432 92.279 163.0830
54.931643 92.255 163.0175
55.297854 92.233 162.9358
55.664065 92.214 162.8606
56.030276 92.197 162.8023
56.396487 92.182 162.7592
56.762698 92.167 162.7252
57.128909 92.151 162.6951
57.495120 92.133 162.6663
57.861331 92.113 162.6374
58.227542 92.093 162.6064
58.593753 92.074 162.5711
58.959964 92.055 162.5307
59.326175 92.037 162.4875
59.692386 92.019 162.4462
60.058597 92.002 162.4110
60.424808 91.984 162.3835
60.791019 91.966 162.3616
61.157230 91.948 162.3412
61.523441 91.930 162.3182
61.889652 91.911 162.2912
62.255863 91.891 162.2618
62.622074 91.872 162.2335
62.988285 91.852 162.2098
63.354496 91.834 162.1927
63.720707 91.817 162.1824
64.086918 91.800 162.1793
64.453129 91.785 162.1842
64.819340 91.769 162.1984
65.185551 91.752 162.2222
65.551762 91.736 162.2526
65.917972 91.720 162.2833
66.284183 91.704 162.3059
66.650394 91.688 162.3137
67.016605 91.671 162.3034
67.382816 91.654 162.2765
67.749027 91.636 162.2377
68.115238 91.617 162.1928
68.481449 91.599 162.1472
68.847660 91.581 162.1049
69.213871 91.564 162.0690
69.580082 91.546 162.0419
69.946293 91.529 162.0246
70.312504 91.512 162.0164
70.678715 91.495 162.0147
71.044926 91.478 162.0160
71.411137 91.462 162.0168
71.777348 91.446 162.0154
72.143559 91.430 162.0114
72.509770 91.413 162.0051
72.875981 91.398 161.9969
73.242192 91.382 161.9870
73.608403 91.366 161.9753
73.974614 91.349 161.9632
74.340825 91.331 161.9531
74.707036 91.312 161.9483
75.073247 91.292 161.9522
75.439458 91.271 161.9665
75.805669 91.251 161.9908
76.171880 91.232 162.0222
76.538091 91.215 162.0563
76.904301 91.200 162.0886
77.270512 91.187 162.1154
77.636723 91.175 162.1351
78.002934 91.164 162.1481
78.369145 91.152 162.1562
78.735356 91.140 162.1620
79.101567 91.126 162.1676
79.467778 91.111 162.1742
79.833989 91.095 162.1819
80.200200 91.079 162.1902
80.566411 91.062 162.1985
80.932622 91.045 162.2066
81.298833 91.029 162.2143
81.665044 91.013 162.2221
82.031255 90.997 162.2308
82.397466 90.981 162.2414
82.763677 90.965 162.2551
83.129888 90.949 162.2729
83.496099 90.932 162.2950
83.862310 90.915 162.3210
84.228521 90.897 162.3492
84.594732 90.880 162.3772
84.960943 90.863 162.4028
85.327154 90.847 162.4247
85.693365 90.831 162.4431
86.059576 90.816 162.4600
86.425787 90.801 162.4779
86.791998 90.786 162.4990
87.158209 90.771 162.5247
87.524420 90.756 162.5558
87.890631 90.739 162.5927
88.256841 90.721 162.6368
88.623052 90.701 162.6897
88.989263 90.680 162.7520
89.355474 90.660 162.8221
89.721685 90.640 162.8951
90.087896 90.624 162.9634
90.454107 90.610 163.0196
90.820318 90.598 163.0588
91.186529 90.588 163.0809
91.552740 90.578 163.0901
91.918951 90.567 163.0934
92.285162 90.555 163.0978
92.651373 90.543 163.1079
93.017584 90.530 163.1259
93.383795 90.517 163.1514
93.750006 90.504 163.1830
94.116217 90.491 163.2192
94.482428 90.478 163.2592
94.848639 90.466 163.3025
95.214850 90.453 163.3485
95.581061 90.441 163.3967
95.947272 90.428 163.4462
96.313483 90.415 163.4961
96.679694 90.402 163.5457
97.045905 90.389 163.5943
97.412116 90.375 163.6416
97.778327 90.361 163.6873
98.144538 90.346 163.7317
98.510749 90.332 163.7750
98.876960 90.319 163.8177
99.243170 90.305 163.8602
99.609381 90.292 163.9027
99.975592 90.280 163.9456
100.341803 90.267 163.9891
100.708014 90.254 164.0339
101.074225 90.241 164.0803
101.440436 90.228 164.1290
101.806647 90.214 164.1797
102.172858 90.200 164.2319
102.539069 90.186 164.2847
102.905280 90.172 164.3371
103.271491 90.157 164.3890
103.637702 90.142 164.4404
104.003913 90.127 164.4923
104.370124 90.112 164.5453
104.736335 90.097 164.6000
105.102546 90.083 164.6563
105.468757 90.070 164.7136
105.834968 90.057 164.7709
106.201179 90.046 164.8274
106.567390 90.034 164.8822
106.933601 90.023 164.9348
107.299812 90.013 164.9852
107.666023 90.002 165.0337
108.032234 89.990 165.0811
108.398445 89.979 165.1284
108.764656 89.967 165.1767
109.130867 89.954 165.2271
109.497078 89.942 165.2802
109.863289 89.928 165.3359
110.229500 89.915 165.3938
110.595710 89.902 165.4532
110.961921 89.889 165.5129
111.328132 89.877 165.5717
111.694343 89.864 165.6288
112.060554 89.852 165.6834
112.426765 89.841 165.7352
112.792976 89.829 165.7846
113.159187 89.817 165.8322
113.525398 89.805 165.8793
113.891609 89.793 165.9274
114.257820 89.780 165.9781
114.624031 89.768 166.0329
114.990242 89.755 166.0923
115.356453 89.743 166.1564
115.722664 89.731 166.2242
116.088875 89.720 166.2943
116.455086 89.710 166.3653
116.821297 89.700 166.4358
117.187508 89.690 166.5052
117.553719 89.679 166.5736
117.919930 89.668 166.6414
118.286141 89.657 166.7090
118.652352 89.646 166.7768
119.018563 89.634 166.8447
119.384774 89.622 166.9119
119.750985 89.609 166.9775
120.117196 89.597 167.0403
120.483407 89.585 167.0995
120.849618 89.573 167.1550
121.215829 89.560 167.2075
121.582040 89.548 167.2583
121.948250 89.536 167.3098
122.314461 89.524 167.3643
122.680672 89.511 167.4241
123.046883 89.499 167.4905
123.413094 89.487 167.5640
123.779305 89.474 167.6435
124.145516 89.461 167.7269
124.511727 89.449 167.8114
124.877938 89.436 167.8942
125.244149 89.423 167.9728
125.610360 89.411 168.0460
125.976571 89.399 168.1140
126.342782 89.388 168.1780
126.708993 89.377 168.2402
127.075204 89.367 168.3029
127.441415 89.357 168.3681
127.807626 89.348 168.4366
128.173837 89.338 168.5085
128.540048 89.329 168.5826
128.906259 89.319 168.6573
129.272470 89.309 168.7307
129.638681 89.299 168.8014
130.004892 89.288 168.8685
130.371103 89.278 168.9320
130.737314 89.267 168.9926
131.103525 89.256 169.0517
131.469736 89.246 169.1108
131.835947 89.236 169.1714
132.202158 89.227 169.2344
132.568369 89.217 169.3007
132.934579 89.209 169.3705
133.300790 89.200 169.4435
133.667001 89.191 169.5195
134.033212 89.181 169.5977
134.399423 89.172 169.6777
134.765634 89.162 169.7588
135.131845 89.151 169.8406
135.498056 89.141 169.9226
135.864267 89.130 170.0045
136.230478 89.120 170.0861
136.596689 89.109 170.1671
136.962900 89.098 170.2473
137.329111 89.087 170.3264
137.695322 89.076 170.4043
138.061533 89.066 170.4809
138.427744 89.055 170.5565
138.793955 89.045 170.6312
139.160166 89.035 170.7055
139.526377 89.025 170.7801
139.892588 89.015 170.8555
140.258799 89.006 170.9322
140.625010 88.997 171.0105
140.991221 88.988 171.0905
141.357432 88.980 171.1721
141.723643 88.972 171.2552
142.089854 88.964 171.3394
142.456065 88.957 171.4243
142.822276 88.950 171.5098
143.188487 88.943 171.5953
143.554698 88.936 171.6808
143.920909 88.929 171.7659
144.287119 88.922 171.8505
144.653330 88.914 171.9346
145.019541 88.907 172.0179
145.385752 88.900 172.1004
145.751963 88.892 172.1821
146.118174 88.884 172.2629
146.484385 88.876 172.3428
146.850596 88.868 172.4217
147.216807 88.860 172.4996
147.583018 88.852 172.5765
147.949229 88.844 172.6525
148.315440 88.836 172.7278
148.681651 88.828 172.8024
149.047862 88.819 172.8767
149.414073 88.811 172.9509
149.780284 88.802 173.0254
150.146495 88.793 173.1006
150.512706 88.784 173.1768
150.878917 88.775 173.2546
151.245128 88.766 173.3342
151.611339 88.757 173.4161
151.977550 88.748 173.5003
152.343761 88.739 173.5870
152.709972 88.731 173.6759
153.076183 88.722 173.7666
153.442394 88.714 173.8585
153.808605 88.705 173.9511
154.174816 88.697 174.0437
154.541027 88.689 174.1355
154.907238 88.680 174.2263
155.273448 88.672 174.3155
155.639659 88.663 174.4029
156.005870 88.654 174.4886
156.372081 88.646 174.5727
156.738292 88.637 174.6553
157.104503 88.627 174.7369
157.470714 88.618 174.8177
157.836925 88.609 174.8981
158.203136 88.600 174.9786
158.569347 88.592 175.0593
158.935558 88.583 175.1405
159.301769 88.575 175.2223
159.667980 88.567 175.3046
160.034191 88.559 175.3874
160.400402 88.552 175.4703
160.766613 88.544 175.5530
161.132824 88.537 175.6351
161.499035 88.529 175.7163
161.865246 88.522 175.7963
162.231457 88.514 175.8749
162.597668 88.506 175.9519
162.963879 88.498 176.0275
163.330090 88.490 176.1015
163.696301 88.482 176.1744
164.062512 88.475 176.2463
164.428723 88.467 176.3176
164.794934 88.459 176.3884
165.161145 88.452 176.4593
165.527356 88.445 176.5304
165.893567 88.437 176.6021
166.259778 88.431 176.6746
166.625988 88.424 176.7482
166.992199 88.417 176.8230
167.358410 88.410 176.8989
167.724621 88.403 176.9761
168.090832 88.397 177.0544
168.457043 88.390 177.1338
168.823254 88.383 177.2141
169.189465 88.376 177.2953
169.555676 88.369 177.3774
169.921887 88.362 177.4603
170.288098 88.355 177.5441
170.654309 88.348 177.6287
171.020520 88.341 177.7142
171.386731 88.335 177.8004
171.752942 88.328 177.8874
172.119153 88.321 177.9748
172.485364 88.315 178.0622
172.851575 88.309 178.1495
