* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 2:53:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan CX31993 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.758 -164.9610
20.507813 89.760 -165.1912
20.874023 89.757 -165.8098
21.240234 89.732 -166.4501
21.606445 89.693 -167.0507
21.972656 89.664 -167.6378
22.338867 89.661 -168.2554
22.705078 89.685 -168.9583
23.071289 89.716 -169.7281
23.437500 89.729 -170.4255
23.803711 89.716 -170.8665
24.169922 89.690 -170.9846
24.536133 89.673 -170.9536
24.902344 89.667 -171.1428
25.268555 89.644 -171.8953
25.634766 89.559 -173.2769
26.000977 89.388 -174.9769
26.367188 89.150 -176.4418
26.733399 88.923 -177.1878
27.099610 88.810 -177.1132
27.465821 88.874 -176.5719
27.832032 89.086 -176.1166
28.198243 89.344 -176.1123
28.564454 89.543 -176.5413
28.930665 89.632 -177.1114
29.296876 89.617 -177.5216
29.663087 89.542 -177.6724
30.029298 89.463 -177.6988
30.395509 89.410 -177.8364
30.761720 89.386 -178.2340
31.127931 89.375 -178.8536
31.494142 89.363 -179.5161
31.860353 89.350 179.9629
32.226563 89.340 179.6565
32.592774 89.338 179.5027
32.958985 89.339 179.3676
33.325196 89.333 179.1350
33.691407 89.314 178.7592
34.057618 89.285 178.2619
34.423829 89.255 177.6989
34.790040 89.234 177.1342
35.156251 89.223 176.6398
35.522462 89.217 176.3058
35.888673 89.208 176.2297
36.254884 89.196 176.4711
36.621095 89.189 176.9902
36.987306 89.195 177.6185
37.353517 89.217 178.1020
37.719728 89.240 178.2084
38.085939 89.242 177.8391
38.452150 89.207 177.0765
38.818361 89.133 176.1376
39.184572 89.040 175.2621
39.550783 88.954 174.6025
39.916994 88.901 174.1767
40.283205 88.885 173.9044
40.649416 88.893 173.6885
41.015627 88.904 173.4788
41.381838 88.901 173.2797
41.748049 88.883 173.1107
42.114260 88.854 172.9664
42.480471 88.826 172.8119
42.846682 88.802 172.6105
43.212893 88.782 172.3568
43.579103 88.765 172.0809
43.945314 88.749 171.8253
44.311525 88.734 171.6133
44.677736 88.719 171.4368
45.043947 88.701 171.2687
45.410158 88.678 171.0844
45.776369 88.647 170.8749
46.142580 88.611 170.6439
46.508791 88.575 170.3983
46.875002 88.542 170.1448
47.241213 88.516 169.8937
47.607424 88.496 169.6637
47.973635 88.480 169.4772
48.339846 88.468 169.3474
48.706057 88.459 169.2657
49.072268 88.453 169.2034
49.438479 88.447 169.1251
49.804690 88.437 169.0081
50.170901 88.421 168.8526
50.537112 88.399 168.6774
50.903323 88.373 168.5057
51.269534 88.346 168.3521
51.635745 88.322 168.2165
52.001956 88.302 168.0888
52.368167 88.285 167.9572
52.734378 88.267 167.8142
53.100589 88.248 167.6601
53.466800 88.227 167.5006
53.833011 88.203 167.3442
54.199222 88.178 167.1992
54.565432 88.153 167.0699
54.931643 88.129 166.9554
55.297854 88.108 166.8485
55.664065 88.089 166.7384
56.030276 88.071 166.6160
56.396487 88.052 166.4790
56.762698 88.031 166.3337
57.128909 88.008 166.1922
57.495120 87.985 166.0655
57.861331 87.963 165.9578
58.227542 87.943 165.8643
58.593753 87.926 165.7744
58.959964 87.912 165.6779
59.326175 87.897 165.5701
59.692386 87.881 165.4535
60.058597 87.863 165.3344
60.424808 87.843 165.2184
60.791019 87.822 165.1081
61.157230 87.801 165.0023
61.523441 87.780 164.8995
61.889652 87.758 164.7991
62.255863 87.735 164.7028
62.622074 87.712 164.6125
62.988285 87.689 164.5286
63.354496 87.666 164.4493
63.720707 87.645 164.3713
64.086918 87.626 164.2924
64.453129 87.610 164.2124
64.819340 87.594 164.1328
65.185551 87.580 164.0563
65.551762 87.565 163.9844
65.917972 87.549 163.9166
66.284183 87.532 163.8502
66.650394 87.513 163.7811
67.016605 87.492 163.7041
67.382816 87.471 163.6146
67.749027 87.450 163.5092
68.115238 87.429 163.3882
68.481449 87.409 163.2561
68.847660 87.390 163.1222
69.213871 87.371 162.9978
69.580082 87.352 162.8931
69.946293 87.333 162.8130
70.312504 87.313 162.7559
70.678715 87.292 162.7144
71.044926 87.270 162.6789
71.411137 87.247 162.6410
71.777348 87.224 162.5963
72.143559 87.200 162.5441
72.509770 87.178 162.4861
72.875981 87.158 162.4243
73.242192 87.141 162.3612
73.608403 87.126 162.2992
73.974614 87.112 162.2414
74.340825 87.098 162.1909
74.707036 87.083 162.1497
75.073247 87.066 162.1170
75.439458 87.047 162.0892
75.805669 87.027 162.0613
76.171880 87.005 162.0287
76.538091 86.984 161.9896
76.904301 86.963 161.9450
77.270512 86.942 161.8976
77.636723 86.924 161.8502
78.002934 86.906 161.8040
78.369145 86.891 161.7584
78.735356 86.876 161.7115
79.101567 86.860 161.6618
79.467778 86.844 161.6089
79.833989 86.827 161.5539
80.200200 86.809 161.4984
80.566411 86.790 161.4440
80.932622 86.771 161.3913
81.298833 86.752 161.3403
81.665044 86.734 161.2907
82.031255 86.717 161.2426
82.397466 86.701 161.1966
82.763677 86.685 161.1533
83.129888 86.669 161.1131
83.496099 86.653 161.0754
83.862310 86.637 161.0392
84.228521 86.620 161.0035
84.594732 86.603 160.9683
84.960943 86.585 160.9346
85.327154 86.567 160.9040
85.693365 86.549 160.8777
86.059576 86.530 160.8558
86.425787 86.511 160.8365
86.791998 86.492 160.8172
87.158209 86.473 160.7954
87.524420 86.455 160.7693
87.890631 86.437 160.7387
88.256841 86.419 160.7039
88.623052 86.403 160.6656
88.989263 86.388 160.6245
89.355474 86.373 160.5815
89.721685 86.359 160.5384
90.087896 86.345 160.4973
90.454107 86.329 160.4612
90.820318 86.312 160.4319
91.186529 86.294 160.4101
91.552740 86.276 160.3941
91.918951 86.258 160.3810
92.285162 86.241 160.3677
92.651373 86.224 160.3524
93.017584 86.208 160.3351
93.383795 86.192 160.3175
93.750006 86.176 160.3021
94.116217 86.160 160.2909
94.482428 86.143 160.2845
94.848639 86.124 160.2821
95.214850 86.105 160.2814
95.581061 86.085 160.2802
95.947272 86.065 160.2765
96.313483 86.045 160.2695
96.679694 86.027 160.2598
97.045905 86.010 160.2486
97.412116 85.994 160.2379
97.778327 85.980 160.2294
98.144538 85.966 160.2245
98.510749 85.952 160.2231
98.876960 85.937 160.2247
99.243170 85.920 160.2277
99.609381 85.902 160.2299
99.975592 85.883 160.2296
100.341803 85.863 160.2257
100.708014 85.843 160.2187
101.074225 85.823 160.2109
101.440436 85.805 160.2065
101.806647 85.788 160.2108
102.172858 85.773 160.2288
102.539069 85.762 160.2626
102.905280 85.754 160.3108
103.271491 85.749 160.3674
103.637702 85.747 160.4236
104.003913 85.745 160.4703
104.370124 85.742 160.5005
104.736335 85.736 160.5118
105.102546 85.725 160.5068
105.468757 85.707 160.4921
105.834968 85.683 160.4770
106.201179 85.655 160.4705
106.567390 85.624 160.4802
106.933601 85.592 160.5096
107.299812 85.563 160.5576
107.666023 85.538 160.6182
108.032234 85.517 160.6824
108.398445 85.500 160.7397
108.764656 85.486 160.7815
109.130867 85.474 160.8025
109.497078 85.462 160.8016
109.863289 85.450 160.7816
110.229500 85.438 160.7469
110.595710 85.426 160.7032
110.961921 85.415 160.6564
111.328132 85.406 160.6121
111.694343 85.397 160.5755
112.060554 85.390 160.5515
112.426765 85.384 160.5435
112.792976 85.377 160.5528
113.159187 85.370 160.5783
113.525398 85.362 160.6168
113.891609 85.354 160.6636
114.257820 85.344 160.7136
114.624031 85.335 160.7624
114.990242 85.326 160.8068
115.356453 85.318 160.8451
115.722664 85.310 160.8769
116.088875 85.303 160.9028
116.455086 85.297 160.9243
116.821297 85.290 160.9424
117.187508 85.282 160.9579
117.553719 85.274 160.9706
117.919930 85.264 160.9795
118.286141 85.254 160.9829
118.652352 85.243 160.9796
119.018563 85.232 160.9689
119.384774 85.220 160.9514
119.750985 85.208 160.9283
120.117196 85.195 160.9019
120.483407 85.182 160.8745
120.849618 85.168 160.8477
121.215829 85.154 160.8224
121.582040 85.140 160.7982
121.948250 85.126 160.7734
122.314461 85.112 160.7461
122.680672 85.099 160.7141
123.046883 85.086 160.6759
123.413094 85.073 160.6315
123.779305 85.061 160.5822
124.145516 85.049 160.5309
124.511727 85.037 160.4818
124.877938 85.025 160.4393
125.244149 85.014 160.4076
125.610360 85.002 160.3900
125.976571 84.990 160.3882
126.342782 84.978 160.4020
126.708993 84.965 160.4294
127.075204 84.953 160.4670
127.441415 84.940 160.5100
127.807626 84.928 160.5535
128.173837 84.914 160.5927
128.540048 84.901 160.6242
128.906259 84.887 160.6458
129.272470 84.872 160.6573
129.638681 84.857 160.6596
130.004892 84.843 160.6549
130.371103 84.828 160.6459
130.737314 84.815 160.6350
131.103525 84.801 160.6244
131.469736 84.788 160.6154
131.835947 84.776 160.6087
132.202158 84.764 160.6045
132.568369 84.752 160.6024
132.934579 84.741 160.6021
133.300790 84.729 160.6035
133.667001 84.717 160.6065
134.033212 84.704 160.6119
134.399423 84.692 160.6203
134.765634 84.679 160.6325
135.131845 84.666 160.6492
135.498056 84.653 160.6705
135.864267 84.639 160.6962
136.230478 84.625 160.7255
136.596689 84.610 160.7576
136.962900 84.596 160.7921
137.329111 84.581 160.8291
137.695322 84.567 160.8693
138.061533 84.553 160.9140
138.427744 84.539 160.9648
138.793955 84.526 161.0226
139.160166 84.514 161.0879
139.526377 84.501 161.1595
139.892588 84.490 161.2351
140.258799 84.477 161.3112
140.625010 84.465 161.3835
140.991221 84.452 161.4482
141.357432 84.438 161.5021
141.723643 84.423 161.5437
142.089854 84.407 161.5729
142.456065 84.390 161.5913
142.822276 84.372 161.6017
143.188487 84.354 161.6075
143.554698 84.336 161.6118
143.920909 84.318 161.6175
144.287119 84.301 161.6263
144.653330 84.284 161.6394
145.019541 84.268 161.6568
145.385752 84.252 161.6784
145.751963 84.238 161.7039
146.118174 84.224 161.7332
146.484385 84.211 161.7666
146.850596 84.198 161.8047
147.216807 84.186 161.8481
147.583018 84.174 161.8976
147.949229 84.162 161.9534
148.315440 84.151 162.0156
148.681651 84.139 162.0839
149.047862 84.129 162.1581
149.414073 84.118 162.2378
149.780284 84.108 162.3226
150.146495 84.098 162.4125
150.512706 84.088 162.5074
150.878917 84.078 162.6074
151.245128 84.067 162.7125
151.611339 84.056 162.8224
151.977550 84.045 162.9366
152.343761 84.033 163.0543
152.709972 84.022 163.1742
153.076183 84.012 163.2945
153.442394 84.002 163.4133
153.808605 83.994 163.5284
154.174816 83.988 163.6382
154.541027 83.984 163.7412
154.907238 83.981 163.8369
155.273448 83.980 163.9251
155.639659 83.981 164.0067
156.005870 83.982 164.0829
156.372081 83.985 164.1552
156.738292 83.988 164.2247
157.104503 83.991 164.2925
157.470714 83.994 164.3589
157.836925 83.996 164.4240
158.203136 83.999 164.4869
158.569347 84.001 164.5469
158.935558 84.003 164.6026
159.301769 84.005 164.6530
159.667980 84.006 164.6968
160.034191 84.007 164.7334
160.400402 84.008 164.7623
160.766613 84.009 164.7833
161.132824 84.009 164.7968
161.499035 84.009 164.8035
161.865246 84.008 164.8047
162.231457 84.007 164.8020
162.597668 84.005 164.7974
162.963879 84.002 164.7929
163.330090 83.999 164.7908
163.696301 83.996 164.7932
164.062512 83.992 164.8019
164.428723 83.989 164.8182
164.794934 83.986 164.8425
165.161145 83.983 164.8749
165.527356 83.981 164.9144
165.893567 83.979 164.9597
166.259778 83.977 165.0088
166.625988 83.976 165.0595
166.992199 83.975 165.1096
167.358410 83.975 165.1570
167.724621 83.974 165.2000
168.090832 83.974 165.2371
168.457043 83.975 165.2671
168.823254 83.976 165.2893
169.189465 83.979 165.3032
169.555676 83.982 165.3083
169.921887 83.986 165.3042
170.288098 83.992 165.2908
170.654309 84.000 165.2680
171.020520 84.008 165.2361
171.386731 84.018 165.1957
171.752942 84.030 165.1482
