* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 24, 2023 8:48:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May Standard L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.508 48.7887
20.507813 85.533 48.4763
20.874023 85.589 47.6395
21.240234 85.618 46.8013
21.606445 85.621 46.1127
21.972656 85.623 45.6161
22.338867 85.645 45.2646
22.705078 85.692 44.8743
23.071289 85.740 44.2605
23.437500 85.758 43.4196
23.803711 85.733 42.5684
24.169922 85.699 41.9861
24.536133 85.722 41.7603
24.902344 85.852 41.6620
25.268555 86.068 41.3085
25.634766 86.285 40.5084
26.000977 86.401 39.4953
26.367188 86.370 38.8453
26.733399 86.222 39.0990
27.099610 86.062 40.3062
27.465821 86.003 41.8376
27.832032 86.081 42.7040
28.198243 86.229 42.1885
28.564454 86.349 40.2826
28.930665 86.384 37.6200
29.296876 86.341 35.0513
29.663087 86.276 33.1870
30.029298 86.252 32.1622
30.395509 86.292 31.7085
30.761720 86.371 31.4384
31.127931 86.440 31.1086
31.494142 86.470 30.6848
31.860353 86.461 30.2299
32.226563 86.438 29.7767
32.592774 86.423 29.3059
32.958985 86.423 28.8157
33.325196 86.434 28.3745
33.691407 86.452 28.0814
34.057618 86.481 27.9655
34.423829 86.521 27.9246
34.790040 86.564 27.7746
35.156251 86.592 27.3752
35.522462 86.586 26.7283
35.888673 86.544 25.9708
36.254884 86.486 25.2745
36.621095 86.442 24.7337
36.987306 86.433 24.3277
37.353517 86.460 23.9703
37.719728 86.503 23.5968
38.085939 86.536 23.2093
38.452150 86.546 22.8556
38.818361 86.533 22.5712
39.184572 86.508 22.3416
39.550783 86.481 22.1123
39.916994 86.459 21.8318
40.283205 86.443 21.4867
40.649416 86.433 21.1051
41.015627 86.427 20.7301
41.381838 86.427 20.3919
41.748049 86.430 20.0955
42.114260 86.434 19.8289
42.480471 86.435 19.5776
42.846682 86.431 19.3325
43.212893 86.422 19.0894
43.579103 86.411 18.8447
43.945314 86.399 18.5933
44.311525 86.390 18.3306
44.677736 86.382 18.0552
45.043947 86.374 17.7712
45.410158 86.366 17.4865
45.776369 86.356 17.2112
46.142580 86.344 16.9533
46.508791 86.331 16.7158
46.875002 86.318 16.4951
47.241213 86.306 16.2816
47.607424 86.295 16.0639
47.973635 86.285 15.8335
48.339846 86.277 15.5879
48.706057 86.269 15.3314
49.072268 86.262 15.0744
49.438479 86.255 14.8337
49.804690 86.245 14.6320
50.170901 86.232 14.4929
50.537112 86.217 14.4313
50.903323 86.202 14.4399
51.269534 86.189 14.4821
51.635745 86.180 14.4983
52.001956 86.174 14.4266
52.368167 86.166 14.2291
52.734378 86.152 13.9098
53.100589 86.133 13.5122
53.466800 86.112 13.1002
53.833011 86.094 12.7307
54.199222 86.086 12.4338
54.565432 86.088 12.2100
54.931643 86.098 12.0408
55.297854 86.106 11.9051
55.664065 86.107 11.7891
56.030276 86.094 11.6868
56.396487 86.067 11.5951
56.762698 86.030 11.5074
57.128909 85.989 11.4126
57.495120 85.949 11.2970
57.861331 85.917 11.1483
58.227542 85.894 10.9589
58.593753 85.878 10.7288
58.959964 85.866 10.4697
59.326175 85.852 10.2071
59.692386 85.833 9.9761
60.058597 85.810 9.8103
60.424808 85.786 9.7247
60.791019 85.767 9.7053
61.157230 85.758 9.7120
61.523441 85.756 9.6988
61.889652 85.755 9.6403
62.255863 85.746 9.5475
62.622074 85.725 9.4610
62.988285 85.692 9.4236
63.354496 85.656 9.4484
63.720707 85.625 9.5032
64.086918 85.608 9.5226
64.453129 85.604 9.4428
64.819340 85.608 9.2361
65.185551 85.614 8.9273
65.551762 85.615 8.5807
65.917972 85.611 8.2691
66.284183 85.604 8.0413
66.650394 85.596 7.9064
67.016605 85.589 7.8402
67.382816 85.581 7.8035
67.749027 85.570 7.7633
68.115238 85.557 7.7043
68.481449 85.542 7.6305
68.847660 85.527 7.5614
69.213871 85.514 7.5245
69.580082 85.505 7.5480
69.946293 85.499 7.6506
70.312504 85.496 7.8318
70.678715 85.494 8.0647
71.044926 85.489 8.2992
71.411137 85.479 8.4751
71.777348 85.459 8.5422
72.143559 85.428 8.4774
72.509770 85.385 8.2907
72.875981 85.335 8.0171
73.242192 85.285 7.7014
73.608403 85.242 7.3829
73.974614 85.210 7.0867
74.340825 85.191 6.8248
74.707036 85.180 6.6009
75.073247 85.173 6.4153
75.439458 85.165 6.2665
75.805669 85.155 6.1505
76.171880 85.142 6.0609
76.538091 85.125 5.9900
76.904301 85.108 5.9317
77.270512 85.091 5.8834
77.636723 85.075 5.8451
78.002934 85.061 5.8170
78.369145 85.049 5.7968
78.735356 85.036 5.7791
79.101567 85.023 5.7572
79.467778 85.009 5.7261
79.833989 84.991 5.6848
80.200200 84.972 5.6363
80.566411 84.951 5.5853
80.932622 84.929 5.5358
81.298833 84.909 5.4890
81.665044 84.890 5.4435
82.031255 84.872 5.3961
82.397466 84.854 5.3439
82.763677 84.836 5.2854
83.129888 84.819 5.2215
83.496099 84.801 5.1547
83.862310 84.784 5.0890
84.228521 84.769 5.0290
84.594732 84.756 4.9780
84.960943 84.745 4.9375
85.327154 84.736 4.9060
85.693365 84.728 4.8793
86.059576 84.720 4.8521
86.425787 84.711 4.8202
86.791998 84.701 4.7821
87.158209 84.689 4.7405
87.524420 84.678 4.7017
87.890631 84.667 4.6733
88.256841 84.658 4.6620
88.623052 84.650 4.6718
88.989263 84.643 4.7018
89.355474 84.636 4.7467
89.721685 84.628 4.7972
90.087896 84.617 4.8421
90.454107 84.603 4.8706
90.820318 84.585 4.8751
91.186529 84.563 4.8533
91.552740 84.539 4.8084
91.918951 84.515 4.7485
92.285162 84.492 4.6835
92.651373 84.472 4.6231
93.017584 84.455 4.5744
93.383795 84.440 4.5418
93.750006 84.427 4.5271
94.116217 84.415 4.5299
94.482428 84.402 4.5482
94.848639 84.389 4.5776
95.214850 84.376 4.6119
95.581061 84.363 4.6436
95.947272 84.351 4.6656
96.313483 84.340 4.6736
96.679694 84.328 4.6680
97.045905 84.315 4.6532
97.412116 84.300 4.6366
97.778327 84.283 4.6252
98.144538 84.264 4.6232
98.510749 84.243 4.6312
98.876960 84.221 4.6463
99.243170 84.198 4.6643
99.609381 84.176 4.6809
99.975592 84.154 4.6934
100.341803 84.134 4.7002
100.708014 84.115 4.7018
101.074225 84.097 4.7005
101.440436 84.082 4.7001
101.806647 84.069 4.7059
102.172858 84.058 4.7226
102.539069 84.050 4.7525
102.905280 84.043 4.7943
103.271491 84.037 4.8432
103.637702 84.031 4.8929
104.003913 84.025 4.9391
104.370124 84.016 4.9804
104.736335 84.006 5.0194
105.102546 83.993 5.0598
105.468757 83.980 5.1040
105.834968 83.969 5.1514
106.201179 83.960 5.1987
106.567390 83.954 5.2418
106.933601 83.949 5.2781
107.299812 83.945 5.3074
107.666023 83.939 5.3314
108.032234 83.931 5.3521
108.398445 83.919 5.3704
108.764656 83.902 5.3854
109.130867 83.882 5.3955
109.497078 83.859 5.3992
109.863289 83.834 5.3961
110.229500 83.809 5.3867
110.595710 83.784 5.3728
110.961921 83.761 5.3572
111.328132 83.741 5.3434
111.694343 83.723 5.3354
112.060554 83.708 5.3373
112.426765 83.695 5.3518
112.792976 83.684 5.3790
113.159187 83.675 5.4162
113.525398 83.667 5.4581
113.891609 83.659 5.4986
114.257820 83.651 5.5335
114.624031 83.643 5.5614
114.990242 83.634 5.5845
115.356453 83.624 5.6069
115.722664 83.613 5.6334
116.088875 83.601 5.6673
116.455086 83.589 5.7099
116.821297 83.577 5.7603
117.187508 83.564 5.8165
117.553719 83.550 5.8762
117.919930 83.535 5.9374
118.286141 83.518 5.9990
118.652352 83.499 6.0604
119.018563 83.480 6.1210
119.384774 83.459 6.1803
119.750985 83.439 6.2378
120.117196 83.419 6.2932
120.483407 83.400 6.3463
120.849618 83.382 6.3973
121.215829 83.365 6.4466
121.582040 83.348 6.4941
121.948250 83.332 6.5397
122.314461 83.317 6.5831
122.680672 83.302 6.6236
123.046883 83.287 6.6611
123.413094 83.272 6.6957
123.779305 83.256 6.7279
124.145516 83.241 6.7587
124.511727 83.226 6.7888
124.877938 83.212 6.8190
125.244149 83.198 6.8496
125.610360 83.184 6.8809
125.976571 83.172 6.9135
126.342782 83.161 6.9486
126.708993 83.150 6.9879
127.075204 83.141 7.0335
127.441415 83.132 7.0874
127.807626 83.123 7.1509
128.173837 83.115 7.2242
128.540048 83.105 7.3058
128.906259 83.095 7.3930
129.272470 83.083 7.4821
129.638681 83.070 7.5690
130.004892 83.056 7.6504
130.371103 83.041 7.7246
130.737314 83.025 7.7916
131.103525 83.009 7.8535
131.469736 82.993 7.9138
131.835947 82.977 7.9762
132.202158 82.961 8.0437
132.568369 82.945 8.1175
132.934579 82.929 8.1966
133.300790 82.913 8.2785
133.667001 82.896 8.3596
134.033212 82.879 8.4365
134.399423 82.862 8.5074
134.765634 82.847 8.5722
135.131845 82.832 8.6331
135.498056 82.818 8.6940
135.864267 82.804 8.7595
136.230478 82.791 8.8340
136.596689 82.777 8.9206
136.962900 82.761 9.0204
137.329111 82.745 9.1327
137.695322 82.726 9.2547
138.061533 82.706 9.3829
138.427744 82.685 9.5139
138.793955 82.663 9.6449
139.160166 82.643 9.7746
139.526377 82.624 9.9032
139.892588 82.607 10.0323
140.258799 82.592 10.1642
140.625010 82.578 10.3012
140.991221 82.566 10.4450
141.357432 82.553 10.5963
141.723643 82.541 10.7543
142.089854 82.528 10.9168
142.456065 82.514 11.0804
142.822276 82.499 11.2411
143.188487 82.485 11.3950
143.554698 82.471 11.5387
143.920909 82.458 11.6701
144.287119 82.447 11.7890
144.653330 82.438 11.8972
145.019541 82.430 11.9982
145.385752 82.424 12.0969
145.751963 82.420 12.1989
146.118174 82.416 12.3094
146.484385 82.414 12.4328
146.850596 82.413 12.5717
147.216807 82.413 12.7269
147.583018 82.414 12.8977
147.949229 82.415 13.0817
148.315440 82.418 13.2759
148.681651 82.422 13.4769
149.047862 82.427 13.6816
149.414073 82.433 13.8874
149.780284 82.440 14.0926
150.146495 82.448 14.2958
150.512706 82.457 14.4957
150.878917 82.467 14.6912
151.245128 82.478 14.8804
151.611339 82.489 15.0609
151.977550 82.502 15.2296
152.343761 82.514 15.3832
152.709972 82.528 15.5186
153.076183 82.542 15.6332
153.442394 82.557 15.7258
153.808605 82.571 15.7966
154.174816 82.586 15.8472
154.541027 82.602 15.8802
154.907238 82.617 15.8991
155.273448 82.633 15.9075
155.639659 82.648 15.9087
156.005870 82.663 15.9057
156.372081 82.677 15.9005
156.738292 82.690 15.8945
157.104503 82.703 15.8885
157.470714 82.714 15.8827
157.836925 82.723 15.8769
158.203136 82.732 15.8706
158.569347 82.739 15.8635
158.935558 82.744 15.8552
159.301769 82.748 15.8453
159.667980 82.752 15.8337
160.034191 82.754 15.8205
160.400402 82.755 15.8057
160.766613 82.755 15.7898
161.132824 82.755 15.7729
161.499035 82.753 15.7553
161.865246 82.751 15.7371
162.231457 82.749 15.7184
162.597668 82.745 15.6990
162.963879 82.742 15.6788
163.330090 82.738 15.6576
163.696301 82.734 15.6354
164.062512 82.729 15.6126
164.428723 82.724 15.5898
164.794934 82.719 15.5676
165.161145 82.714 15.5471
165.527356 82.708 15.5292
165.893567 82.702 15.5146
166.259778 82.695 15.5038
166.625988 82.688 15.4970
166.992199 82.680 15.4940
167.358410 82.671 15.4947
167.724621 82.663 15.4988
168.090832 82.653 15.5060
168.457043 82.644 15.5160
168.823254 82.634 15.5287
169.189465 82.625 15.5441
169.555676 82.615 15.5622
169.921887 82.606 15.5830
170.288098 82.598 15.6067
170.654309 82.589 15.6331
171.020520 82.581 15.6623
171.386731 82.573 15.6939
171.752942 82.566 15.7277
172.119153 82.558 15.7631
172.485364 82.551 15.7993
172.851575 82.544 15.8356
