* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:05:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May herbert L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 78.257 47.7066
20.507813 78.249 47.3478
20.874023 78.219 46.3128
21.240234 78.171 45.1437
21.606445 78.154 44.1783
21.972656 78.232 43.5800
22.338867 78.412 43.2424
22.705078 78.620 42.9548
23.071289 78.750 42.7058
23.437500 78.735 42.7411
23.803711 78.597 43.2308
24.169922 78.438 43.8240
24.536133 78.363 43.6128
24.902344 78.396 41.7585
25.268555 78.475 38.3552
25.634766 78.540 34.7677
26.000977 78.634 32.9916
26.367188 78.950 34.2518
26.733399 79.671 37.8815
27.099610 80.694 41.6890
27.465821 81.670 43.6149
27.832032 82.295 43.0343
28.198243 82.414 40.7167
28.564454 82.003 38.0547
28.930665 81.142 36.3563
29.296876 80.039 36.2495
29.663087 79.051 37.2614
30.029298 78.530 38.0833
30.395509 78.526 37.5930
30.761720 78.784 35.7412
31.127931 79.041 33.4821
31.494142 79.175 31.9873
31.860353 79.189 31.9078
32.226563 79.155 33.0834
32.592774 79.150 34.6855
32.958985 79.198 35.6579
33.325196 79.257 35.2451
33.691407 79.253 33.3628
34.057618 79.126 30.6661
34.423829 78.871 28.3083
34.790040 78.559 27.4317
35.156251 78.346 28.5274
35.522462 78.399 31.0462
35.888673 78.748 33.6679
36.254884 79.241 35.1293
36.621095 79.680 34.9544
36.987306 79.947 33.5499
37.353517 80.021 31.7528
37.719728 79.959 30.2785
38.085939 79.851 29.4071
38.452150 79.769 29.0038
38.818361 79.739 28.7726
39.184572 79.738 28.5293
39.550783 79.740 28.2951
39.916994 79.739 28.1832
40.283205 79.749 28.2243
40.649416 79.787 28.3005
41.015627 79.848 28.2308
41.381838 79.908 27.9145
41.748049 79.941 27.4053
42.114260 79.939 26.8658
42.480471 79.916 26.4539
42.846682 79.897 26.2274
43.212893 79.906 26.1242
43.579103 79.953 26.0158
43.945314 80.028 25.7892
44.311525 80.106 25.4094
44.677736 80.165 24.9356
45.043947 80.190 24.4888
45.410158 80.180 24.1900
45.776369 80.149 24.0969
46.142580 80.115 24.1718
46.508791 80.095 24.3001
46.875002 80.094 24.3523
47.241213 80.106 24.2535
47.607424 80.121 24.0148
47.973635 80.137 23.7109
48.339846 80.152 23.4236
48.706057 80.171 23.1937
49.072268 80.195 23.0112
49.438479 80.219 22.8417
49.804690 80.237 22.6602
50.170901 80.245 22.4665
50.537112 80.244 22.2752
50.903323 80.241 22.0956
51.269534 80.244 21.9235
51.635745 80.255 21.7503
52.001956 80.275 21.5784
52.368167 80.300 21.4256
52.734378 80.328 21.3119
53.100589 80.357 21.2373
53.466800 80.384 21.1714
53.833011 80.405 21.0663
54.199222 80.411 20.8857
54.565432 80.398 20.6325
54.931643 80.363 20.3517
55.297854 80.316 20.1053
55.664065 80.273 19.9324
56.030276 80.249 19.8223
56.396487 80.256 19.7196
56.762698 80.290 19.5587
57.128909 80.341 19.3050
57.495120 80.393 18.9760
57.861331 80.436 18.6281
58.227542 80.466 18.3230
58.593753 80.486 18.0952
58.959964 80.503 17.9409
59.326175 80.518 17.8311
59.692386 80.535 17.7341
60.058597 80.550 17.6317
60.424808 80.562 17.5203
60.791019 80.571 17.4032
61.157230 80.576 17.2821
61.523441 80.577 17.1555
61.889652 80.575 17.0215
62.255863 80.570 16.8804
62.622074 80.565 16.7335
62.988285 80.561 16.5809
63.354496 80.559 16.4218
63.720707 80.559 16.2585
64.086918 80.558 16.0987
64.453129 80.557 15.9530
64.819340 80.555 15.8252
65.185551 80.555 15.7021
65.551762 80.560 15.5528
65.917972 80.569 15.3402
66.284183 80.581 15.0441
66.650394 80.591 14.6807
67.016605 80.597 14.3070
67.382816 80.602 14.0018
67.749027 80.613 13.8307
68.115238 80.641 13.8103
68.481449 80.691 13.8955
68.847660 80.760 13.9970
69.213871 80.837 14.0236
69.580082 80.904 13.9258
69.946293 80.945 13.7174
70.312504 80.952 13.4618
70.678715 80.928 13.2341
71.044926 80.883 13.0811
71.411137 80.831 13.0030
71.777348 80.781 12.9642
72.143559 80.740 12.9246
72.509770 80.708 12.8663
72.875981 80.682 12.8015
73.242192 80.666 12.7563
73.608403 80.663 12.7461
73.974614 80.674 12.7598
74.340825 80.701 12.7632
74.707036 80.738 12.7182
75.073247 80.777 12.6025
75.439458 80.812 12.4182
75.805669 80.841 12.1840
76.171880 80.864 11.9192
76.538091 80.887 11.6304
76.904301 80.914 11.3100
77.270512 80.945 10.9469
77.636723 80.977 10.5421
78.002934 81.004 10.1195
78.369145 81.019 9.7233
78.735356 81.020 9.4036
79.101567 81.006 9.1966
79.467778 80.982 9.1084
79.833989 80.951 9.1125
80.200200 80.918 9.1605
80.566411 80.887 9.2021
80.932622 80.860 9.2019
81.298833 80.839 9.1464
81.665044 80.830 9.0396
82.031255 80.835 8.8920
82.397466 80.856 8.7113
82.763677 80.891 8.5023
83.129888 80.933 8.2726
83.496099 80.975 8.0390
83.862310 81.006 7.8279
84.228521 81.024 7.6668
84.594732 81.027 7.5720
84.960943 81.018 7.5394
85.327154 81.004 7.5442
85.693365 80.990 7.5503
86.059576 80.979 7.5249
86.425787 80.974 7.4521
86.791998 80.973 7.3401
87.158209 80.975 7.2188
87.524420 80.978 7.1310
87.890631 80.979 7.1179
88.256841 80.978 7.2040
88.623052 80.977 7.3852
88.989263 80.979 7.6247
89.355474 80.983 7.8591
89.721685 80.991 8.0158
90.087896 81.000 8.0340
90.454107 81.008 7.8839
90.820318 81.013 7.5744
91.186529 81.013 7.1482
91.552740 81.010 6.6659
91.918951 81.007 6.1881
92.285162 81.004 5.7604
92.651373 81.004 5.4079
93.017584 81.004 5.1359
93.383795 81.004 4.9361
93.750006 81.002 4.7923
94.116217 80.998 4.6850
94.482428 80.992 4.5945
94.848639 80.986 4.5031
95.214850 80.981 4.3978
95.581061 80.980 4.2719
95.947272 80.981 4.1261
96.313483 80.986 3.9671
96.679694 80.992 3.8054
97.045905 80.998 3.6513
97.412116 81.004 3.5117
97.778327 81.009 3.3886
98.144538 81.013 3.2776
98.510749 81.016 3.1701
98.876960 81.020 3.0547
99.243170 81.024 2.9212
99.609381 81.029 2.7633
99.975592 81.034 2.5811
100.341803 81.038 2.3810
100.708014 81.040 2.1747
101.074225 81.039 1.9756
101.440436 81.036 1.7955
101.806647 81.030 1.6414
102.172858 81.023 1.5134
102.539069 81.016 1.4052
102.905280 81.011 1.3069
103.271491 81.010 1.2077
103.637702 81.012 1.0997
104.003913 81.019 0.9800
104.370124 81.030 0.8508
104.736335 81.043 0.7180
105.102546 81.060 0.5882
105.468757 81.077 0.4659
105.834968 81.094 0.3517
106.201179 81.109 0.2427
106.567390 81.121 0.1337
106.933601 81.128 0.0197
107.299812 81.130 -0.1020
107.666023 81.125 -0.2320
108.032234 81.115 -0.3692
108.398445 81.100 -0.5123
108.764656 81.084 -0.6615
109.130867 81.067 -0.8184
109.497078 81.051 -0.9854
109.863289 81.037 -1.1636
110.229500 81.026 -1.3516
110.595710 81.018 -1.5447
110.961921 81.013 -1.7350
111.328132 81.010 -1.9131
111.694343 81.009 -2.0699
112.060554 81.009 -2.1983
112.426765 81.010 -2.2949
112.792976 81.012 -2.3610
113.159187 81.013 -2.4023
113.525398 81.015 -2.4286
113.891609 81.018 -2.4522
114.257820 81.023 -2.4855
114.624031 81.029 -2.5388
114.990242 81.037 -2.6183
115.356453 81.047 -2.7250
115.722664 81.057 -2.8548
116.088875 81.068 -3.0000
116.455086 81.077 -3.1508
116.821297 81.085 -3.2978
117.187508 81.091 -3.4338
117.553719 81.095 -3.5544
117.919930 81.098 -3.6589
118.286141 81.100 -3.7498
118.652352 81.103 -3.8323
119.018563 81.106 -3.9128
119.384774 81.111 -3.9982
119.750985 81.117 -4.0952
120.117196 81.124 -4.2091
120.483407 81.132 -4.3440
120.849618 81.141 -4.5025
121.215829 81.150 -4.6850
121.582040 81.160 -4.8902
121.948250 81.169 -5.1141
122.314461 81.177 -5.3504
122.680672 81.183 -5.5898
123.046883 81.187 -5.8214
123.413094 81.187 -6.0339
123.779305 81.184 -6.2175
124.145516 81.177 -6.3662
124.511727 81.168 -6.4792
124.877938 81.156 -6.5611
125.244149 81.144 -6.6209
125.610360 81.133 -6.6698
125.976571 81.122 -6.7187
126.342782 81.113 -6.7761
126.708993 81.105 -6.8472
127.075204 81.100 -6.9334
127.441415 81.095 -7.0332
127.807626 81.092 -7.1435
128.173837 81.089 -7.2608
128.540048 81.087 -7.3816
128.906259 81.084 -7.5032
129.272470 81.082 -7.6240
129.638681 81.078 -7.7430
130.004892 81.075 -7.8599
130.371103 81.071 -7.9747
130.737314 81.068 -8.0873
131.103525 81.066 -8.1977
131.469736 81.064 -8.3055
131.835947 81.064 -8.4101
132.202158 81.064 -8.5113
132.568369 81.066 -8.6090
132.934579 81.067 -8.7038
133.300790 81.069 -8.7969
133.667001 81.070 -8.8903
134.033212 81.071 -8.9867
134.399423 81.071 -9.0890
134.765634 81.070 -9.1996
135.131845 81.069 -9.3206
135.498056 81.067 -9.4527
135.864267 81.065 -9.5953
136.230478 81.062 -9.7468
136.596689 81.059 -9.9047
136.962900 81.055 -10.0662
137.329111 81.051 -10.2288
137.695322 81.047 -10.3906
138.061533 81.044 -10.5508
138.427744 81.040 -10.7092
138.793955 81.037 -10.8666
139.160166 81.034 -11.0240
139.526377 81.033 -11.1825
139.892588 81.033 -11.3432
140.258799 81.034 -11.5065
140.625010 81.037 -11.6722
140.991221 81.041 -11.8394
141.357432 81.046 -12.0058
141.723643 81.051 -12.1686
142.089854 81.055 -12.3242
142.456065 81.057 -12.4694
142.822276 81.057 -12.6018
143.188487 81.054 -12.7209
143.554698 81.049 -12.8283
143.920909 81.041 -12.9274
144.287119 81.032 -13.0232
144.653330 81.022 -13.1210
145.019541 81.012 -13.2250
145.385752 81.002 -13.3382
145.751963 80.993 -13.4611
146.118174 80.986 -13.5919
146.484385 80.980 -13.7274
146.850596 80.975 -13.8633
147.216807 80.973 -13.9949
147.583018 80.971 -14.1188
147.949229 80.971 -14.2325
148.315440 80.972 -14.3349
148.681651 80.973 -14.4267
149.047862 80.975 -14.5091
149.414073 80.976 -14.5842
149.780284 80.976 -14.6544
150.146495 80.976 -14.7219
150.512706 80.976 -14.7887
150.878917 80.975 -14.8567
151.245128 80.973 -14.9275
151.611339 80.971 -15.0024
151.977550 80.970 -15.0822
152.343761 80.968 -15.1675
152.709972 80.966 -15.2588
153.076183 80.964 -15.3557
153.442394 80.962 -15.4582
153.808605 80.960 -15.5654
154.174816 80.958 -15.6768
154.541027 80.955 -15.7916
154.907238 80.952 -15.9089
155.273448 80.948 -16.0280
155.639659 80.944 -16.1485
156.005870 80.940 -16.2700
156.372081 80.936 -16.3924
156.738292 80.932 -16.5158
157.104503 80.928 -16.6401
157.470714 80.924 -16.7653
157.836925 80.921 -16.8914
158.203136 80.918 -17.0176
158.569347 80.915 -17.1431
158.935558 80.913 -17.2664
159.301769 80.911 -17.3862
159.667980 80.910 -17.5011
160.034191 80.909 -17.6100
160.400402 80.907 -17.7123
160.766613 80.906 -17.8080
161.132824 80.904 -17.8979
161.499035 80.901 -17.9833
161.865246 80.897 -18.0659
162.231457 80.893 -18.1475
162.597668 80.887 -18.2297
162.963879 80.880 -18.3141
163.330090 80.873 -18.4016
163.696301 80.864 -18.4926
164.062512 80.855 -18.5873
164.428723 80.846 -18.6854
164.794934 80.836 -18.7863
165.161145 80.827 -18.8894
165.527356 80.819 -18.9944
165.893567 80.811 -19.1006
166.259778 80.804 -19.2079
166.625988 80.798 -19.3160
166.992199 80.793 -19.4244
167.358410 80.789 -19.5330
167.724621 80.785 -19.6412
168.090832 80.782 -19.7489
168.457043 80.779 -19.8558
