* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:11:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May nodsp L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.697 52.3317
20.507813 91.727 51.8788
20.874023 91.802 50.6857
21.240234 91.872 49.4908
21.606445 91.937 48.3580
21.972656 92.005 47.2214
22.338867 92.077 46.1007
22.705078 92.149 45.0160
23.071289 92.220 43.9732
23.437500 92.286 42.9781
23.803711 92.348 42.0274
24.169922 92.403 41.1082
24.536133 92.452 40.2019
24.902344 92.494 39.2916
25.268555 92.529 38.3708
25.634766 92.556 37.4455
26.000977 92.577 36.5293
26.367188 92.596 35.6323
26.733399 92.618 34.7536
27.099610 92.645 33.8815
27.465821 92.678 33.0031
27.832032 92.715 32.1139
28.198243 92.751 31.2226
28.564454 92.783 30.3464
28.930665 92.812 29.5012
29.296876 92.835 28.6927
29.663087 92.855 27.9153
30.029298 92.873 27.1559
30.395509 92.888 26.4022
30.761720 92.901 25.6484
31.127931 92.911 24.8975
31.494142 92.918 24.1592
31.860353 92.925 23.4438
32.226563 92.931 22.7571
32.592774 92.938 22.0962
32.958985 92.946 21.4507
33.325196 92.955 20.8087
33.691407 92.962 20.1659
34.057618 92.967 19.5307
34.423829 92.970 18.9219
34.790040 92.973 18.3575
35.156251 92.979 17.8424
35.522462 92.992 17.3619
35.888673 93.012 16.8869
36.254884 93.035 16.3877
36.621095 93.058 15.8489
36.987306 93.076 15.2750
37.353517 93.089 14.6853
37.719728 93.096 14.1032
38.085939 93.101 13.5443
38.452150 93.107 13.0124
38.818361 93.115 12.4987
39.184572 93.128 11.9865
39.550783 93.142 11.4554
39.916994 93.156 10.8889
40.283205 93.164 10.2827
40.649416 93.164 9.6524
41.015627 93.153 9.0319
41.381838 93.135 8.4616
41.748049 93.115 7.9669
42.114260 93.101 7.5405
42.480471 93.097 7.1417
42.846682 93.102 6.7153
43.212893 93.108 6.2224
43.579103 93.108 5.6626
43.945314 93.097 5.0735
44.311525 93.077 4.5070
44.677736 93.055 3.9975
45.043947 93.039 3.5431
45.410158 93.035 3.1124
45.776369 93.040 2.6685
46.142580 93.048 2.1962
46.508791 93.051 1.7108
46.875002 93.045 1.2460
47.241213 93.033 0.8299
47.607424 93.017 0.4665
47.973635 93.003 0.1342
48.339846 92.994 -0.2001
48.706057 92.987 -0.5620
49.072268 92.982 -0.9580
49.438479 92.975 -1.3768
49.804690 92.967 -1.8000
50.170901 92.956 -2.2121
50.537112 92.945 -2.6065
50.903323 92.934 -2.9838
51.269534 92.922 -3.3480
51.635745 92.911 -3.7045
52.001956 92.899 -4.0589
52.368167 92.887 -4.4166
52.734378 92.876 -4.7815
53.100589 92.864 -5.1530
53.466800 92.850 -5.5253
53.833011 92.837 -5.8896
54.199222 92.823 -6.2387
54.565432 92.811 -6.5711
54.931643 92.801 -6.8918
55.297854 92.792 -7.2084
55.664065 92.783 -7.5264
56.030276 92.772 -7.8451
56.396487 92.758 -8.1591
56.762698 92.741 -8.4625
57.128909 92.722 -8.7538
57.495120 92.703 -9.0372
57.861331 92.685 -9.3208
58.227542 92.669 -9.6119
58.593753 92.654 -9.9127
58.959964 92.641 -10.2203
59.326175 92.627 -10.5281
59.692386 92.613 -10.8304
60.058597 92.599 -11.1249
60.424808 92.585 -11.4129
60.791019 92.570 -11.6976
61.157230 92.555 -11.9820
61.523441 92.539 -12.2670
61.889652 92.524 -12.5516
62.255863 92.508 -12.8340
62.622074 92.494 -13.1130
62.988285 92.481 -13.3883
63.354496 92.467 -13.6600
63.720707 92.454 -13.9286
64.086918 92.438 -14.1945
64.453129 92.422 -14.4594
64.819340 92.405 -14.7268
65.185551 92.388 -15.0024
65.551762 92.372 -15.2920
65.917972 92.358 -15.5976
66.284183 92.344 -15.9152
66.650394 92.329 -16.2336
67.016605 92.314 -16.5383
67.382816 92.297 -16.8169
67.749027 92.280 -17.0640
68.115238 92.262 -17.2831
68.481449 92.244 -17.4849
68.847660 92.226 -17.6813
69.213871 92.207 -17.8819
69.580082 92.188 -18.0906
69.946293 92.168 -18.3076
70.312504 92.149 -18.5307
70.678715 92.131 -18.7584
71.044926 92.115 -18.9900
71.411137 92.100 -19.2246
71.777348 92.087 -19.4605
72.143559 92.073 -19.6948
72.509770 92.058 -19.9247
72.875981 92.043 -20.1486
73.242192 92.027 -20.3668
73.608403 92.010 -20.5813
73.974614 91.994 -20.7942
74.340825 91.977 -21.0074
74.707036 91.959 -21.2212
75.073247 91.942 -21.4353
75.439458 91.924 -21.6491
75.805669 91.906 -21.8619
76.171880 91.889 -22.0737
76.538091 91.872 -22.2843
76.904301 91.856 -22.4938
77.270512 91.840 -22.7018
77.636723 91.824 -22.9075
78.002934 91.809 -23.1104
78.369145 91.793 -23.3093
78.735356 91.776 -23.5037
79.101567 91.759 -23.6931
79.467778 91.741 -23.8779
79.833989 91.723 -24.0591
80.200200 91.704 -24.2384
80.566411 91.685 -24.4178
80.932622 91.667 -24.5986
81.298833 91.649 -24.7814
81.665044 91.631 -24.9652
82.031255 91.614 -25.1485
82.397466 91.597 -25.3293
82.763677 91.580 -25.5065
83.129888 91.563 -25.6797
83.496099 91.546 -25.8495
83.862310 91.530 -26.0168
84.228521 91.514 -26.1824
84.594732 91.497 -26.3468
84.960943 91.480 -26.5102
85.327154 91.464 -26.6729
85.693365 91.448 -26.8352
86.059576 91.432 -26.9971
86.425787 91.416 -27.1588
86.791998 91.400 -27.3198
87.158209 91.385 -27.4793
87.524420 91.369 -27.6363
87.890631 91.353 -27.7901
88.256841 91.337 -27.9400
88.623052 91.320 -28.0860
88.989263 91.303 -28.2285
89.355474 91.286 -28.3681
89.721685 91.269 -28.5062
90.087896 91.251 -28.6440
90.454107 91.234 -28.7827
90.820318 91.217 -28.9231
91.186529 91.201 -29.0654
91.552740 91.184 -29.2093
91.918951 91.167 -29.3539
92.285162 91.151 -29.4985
92.651373 91.135 -29.6426
93.017584 91.118 -29.7857
93.383795 91.102 -29.9276
93.750006 91.086 -30.0679
94.116217 91.070 -30.2065
94.482428 91.054 -30.3428
94.848639 91.037 -30.4767
95.214850 91.021 -30.6080
95.581061 91.004 -30.7368
95.947272 90.987 -30.8636
96.313483 90.971 -30.9888
96.679694 90.954 -31.1130
97.045905 90.938 -31.2366
97.412116 90.922 -31.3602
97.778327 90.906 -31.4840
98.144538 90.890 -31.6081
98.510749 90.875 -31.7322
98.876960 90.860 -31.8561
99.243170 90.844 -31.9793
99.609381 90.829 -32.1018
99.975592 90.813 -32.2236
100.341803 90.797 -32.3452
100.708014 90.780 -32.4672
101.074225 90.763 -32.5899
101.440436 90.745 -32.7134
101.806647 90.727 -32.8368
102.172858 90.708 -32.9591
102.539069 90.689 -33.0787
102.905280 90.670 -33.1944
103.271491 90.650 -33.3054
103.637702 90.631 -33.4117
104.003913 90.611 -33.5143
104.370124 90.592 -33.6151
104.736335 90.574 -33.7168
105.102546 90.556 -33.8223
105.468757 90.539 -33.9344
105.834968 90.523 -34.0550
106.201179 90.508 -34.1841
106.567390 90.493 -34.3201
106.933601 90.480 -34.4597
107.299812 90.467 -34.5981
107.666023 90.454 -34.7306
108.032234 90.441 -34.8537
108.398445 90.429 -34.9650
108.764656 90.416 -35.0646
109.130867 90.404 -35.1538
109.497078 90.391 -35.2351
109.863289 90.379 -35.3114
110.229500 90.366 -35.3854
110.595710 90.354 -35.4594
110.961921 90.341 -35.5350
111.328132 90.329 -35.6132
111.694343 90.317 -35.6942
112.060554 90.304 -35.7778
112.426765 90.290 -35.8634
112.792976 90.276 -35.9505
113.159187 90.262 -36.0385
113.525398 90.247 -36.1272
113.891609 90.232 -36.2161
114.257820 90.217 -36.3050
114.624031 90.202 -36.3934
114.990242 90.187 -36.4808
115.356453 90.173 -36.5668
115.722664 90.159 -36.6514
116.088875 90.145 -36.7349
116.455086 90.131 -36.8180
116.821297 90.117 -36.9019
117.187508 90.102 -36.9877
117.553719 90.087 -37.0763
117.919930 90.072 -37.1681
118.286141 90.057 -37.2629
118.652352 90.042 -37.3600
119.018563 90.026 -37.4581
119.384774 90.011 -37.5561
119.750985 89.996 -37.6529
120.117196 89.980 -37.7477
120.483407 89.965 -37.8402
120.849618 89.948 -37.9306
121.215829 89.932 -38.0191
121.582040 89.915 -38.1063
121.948250 89.898 -38.1927
122.314461 89.881 -38.2787
122.680672 89.865 -38.3643
123.046883 89.850 -38.4492
123.413094 89.835 -38.5331
123.779305 89.822 -38.6157
124.145516 89.811 -38.6969
124.511727 89.800 -38.7769
124.877938 89.790 -38.8559
125.244149 89.780 -38.9341
125.610360 89.769 -39.0117
125.976571 89.758 -39.0885
126.342782 89.746 -39.1646
126.708993 89.733 -39.2397
127.075204 89.719 -39.3142
127.441415 89.704 -39.3883
127.807626 89.688 -39.4625
128.173837 89.673 -39.5371
128.540048 89.657 -39.6125
128.906259 89.642 -39.6885
129.272470 89.627 -39.7649
129.638681 89.612 -39.8412
130.004892 89.598 -39.9169
130.371103 89.584 -39.9915
130.737314 89.570 -40.0649
131.103525 89.556 -40.1368
131.469736 89.541 -40.2073
131.835947 89.526 -40.2765
132.202158 89.511 -40.3446
132.568369 89.496 -40.4116
132.934579 89.480 -40.4776
133.300790 89.464 -40.5426
133.667001 89.448 -40.6066
134.033212 89.432 -40.6693
134.399423 89.416 -40.7304
134.765634 89.401 -40.7897
135.131845 89.386 -40.8468
135.498056 89.371 -40.9014
135.864267 89.357 -40.9534
136.230478 89.343 -41.0027
136.596689 89.329 -41.0496
136.962900 89.315 -41.0945
137.329111 89.301 -41.1379
137.695322 89.287 -41.1805
138.061533 89.274 -41.2229
138.427744 89.261 -41.2656
138.793955 89.248 -41.3088
139.160166 89.236 -41.3530
139.526377 89.225 -41.3983
139.892588 89.214 -41.4449
140.258799 89.202 -41.4932
140.625010 89.191 -41.5435
140.991221 89.179 -41.5961
141.357432 89.167 -41.6510
141.723643 89.154 -41.7078
142.089854 89.141 -41.7657
142.456065 89.128 -41.8237
142.822276 89.114 -41.8805
143.188487 89.100 -41.9350
143.554698 89.087 -41.9863
143.920909 89.073 -42.0342
144.287119 89.060 -42.0790
144.653330 89.046 -42.1213
145.019541 89.032 -42.1623
145.385752 89.018 -42.2027
145.751963 89.003 -42.2433
146.118174 88.988 -42.2844
146.484385 88.972 -42.3256
146.850596 88.956 -42.3664
147.216807 88.940 -42.4062
147.583018 88.924 -42.4440
147.949229 88.908 -42.4792
148.315440 88.893 -42.5116
148.681651 88.878 -42.5409
149.047862 88.863 -42.5676
149.414073 88.850 -42.5918
149.780284 88.836 -42.6143
150.146495 88.823 -42.6355
150.512706 88.811 -42.6558
150.878917 88.799 -42.6756
151.245128 88.787 -42.6949
151.611339 88.775 -42.7136
151.977550 88.763 -42.7315
152.343761 88.751 -42.7483
152.709972 88.739 -42.7636
153.076183 88.727 -42.7773
153.442394 88.715 -42.7892
153.808605 88.704 -42.7993
154.174816 88.692 -42.8078
154.541027 88.681 -42.8147
154.907238 88.671 -42.8205
155.273448 88.660 -42.8254
155.639659 88.650 -42.8296
156.005870 88.641 -42.8335
156.372081 88.631 -42.8373
156.738292 88.622 -42.8412
157.104503 88.614 -42.8454
157.470714 88.605 -42.8502
157.836925 88.597 -42.8556
158.203136 88.589 -42.8619
158.569347 88.581 -42.8693
158.935558 88.573 -42.8780
159.301769 88.565 -42.8883
159.667980 88.558 -42.9002
160.034191 88.551 -42.9141
160.400402 88.544 -42.9301
160.766613 88.538 -42.9483
161.132824 88.532 -42.9688
161.499035 88.528 -42.9918
161.865246 88.523 -43.0173
162.231457 88.520 -43.0452
162.597668 88.517 -43.0752
162.963879 88.514 -43.1074
163.330090 88.512 -43.1413
163.696301 88.510 -43.1766
164.062512 88.508 -43.2131
164.428723 88.506 -43.2505
