* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 3, 24 8:03:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Nekocake L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.975 90.1108
0.368865 46.999 89.9736
0.371538 47.034 89.7701
0.374230 47.078 89.5177
0.376942 47.128 89.2318
0.379673 47.181 88.9234
0.382424 47.236 88.5998
0.385196 47.292 88.2657
0.387987 47.350 87.9238
0.390798 47.408 87.5754
0.393630 47.467 87.2215
0.396483 47.526 86.8625
0.399356 47.586 86.4988
0.402250 47.646 86.1306
0.405165 47.707 85.7579
0.408101 47.768 85.3809
0.411058 47.829 84.9997
0.414037 47.891 84.6145
0.417037 47.954 84.2252
0.420059 48.017 83.8320
0.423103 48.080 83.4351
0.426169 48.144 83.0345
0.429257 48.208 82.6302
0.432368 48.273 82.2226
0.435501 48.338 81.8115
0.438656 48.404 81.3972
0.441835 48.470 80.9798
0.445037 48.536 80.5594
0.448262 48.603 80.1360
0.451510 48.671 79.7098
0.454782 48.739 79.2810
0.458077 48.808 78.8495
0.461397 48.877 78.4156
0.464740 48.946 77.9793
0.468108 49.016 77.5407
0.471500 49.087 77.1000
0.474917 49.158 76.6572
0.478358 49.230 76.2125
0.481825 49.302 75.7660
0.485316 49.375 75.3176
0.488833 49.448 74.8677
0.492375 49.521 74.4161
0.495943 49.596 73.9631
0.499537 49.670 73.5086
0.503157 49.746 73.0529
0.506803 49.822 72.5959
0.510475 49.898 72.1377
0.514175 49.975 71.6784
0.517900 50.053 71.2181
0.521653 50.131 70.7568
0.525434 50.209 70.2945
0.529241 50.289 69.8315
0.533076 50.368 69.3675
0.536939 50.449 68.9028
0.540830 50.530 68.4374
0.544749 50.611 67.9712
0.548696 50.693 67.5043
0.552673 50.776 67.0368
0.556677 50.860 66.5686
0.560711 50.944 66.0997
0.564774 51.028 65.6303
0.568867 51.113 65.1602
0.572989 51.199 64.6894
0.577141 51.286 64.2181
0.581324 51.373 63.7460
0.585536 51.460 63.2733
0.589779 51.549 62.7999
0.594053 51.638 62.3257
0.598358 51.727 61.8508
0.602694 51.817 61.3751
0.607061 51.908 60.8985
0.611460 52.000 60.4211
0.615891 52.092 59.9426
0.620354 52.185 59.4632
0.624849 52.279 58.9827
0.629377 52.373 58.5011
0.633938 52.468 58.0182
0.638532 52.563 57.5341
0.643159 52.660 57.0486
0.647819 52.757 56.5616
0.652514 52.854 56.0732
0.657242 52.953 55.5830
0.662005 53.052 55.0911
0.666802 53.152 54.5974
0.671634 53.252 54.1018
0.676501 53.354 53.6041
0.681403 53.456 53.1042
0.686341 53.559 52.6021
0.691314 53.662 52.0976
0.696324 53.766 51.5906
0.701370 53.871 51.0810
0.706452 53.977 50.5688
0.711571 54.083 50.0541
0.716728 54.189 49.5368
0.721921 54.295 49.0173
0.727153 54.402 48.4961
0.732422 54.507 47.9739
0.737729 54.613 47.4514
0.743075 54.718 46.9298
0.748460 54.822 46.4098
0.753883 54.927 45.8919
0.759346 55.032 45.3767
0.764849 55.138 44.8645
0.770391 55.244 44.3554
0.775974 55.350 43.8496
0.781597 55.457 43.3470
0.787261 55.565 42.8479
0.792966 55.673 42.3521
0.798712 55.782 41.8597
0.804500 55.891 41.3706
0.810329 56.001 40.8849
0.816201 56.111 40.4023
0.822116 56.222 39.9230
0.828073 56.333 39.4467
0.834074 56.445 38.9735
0.840118 56.558 38.5032
0.846206 56.670 38.0357
0.852338 56.784 37.5709
0.858514 56.898 37.1087
0.864735 57.012 36.6489
0.871001 57.127 36.1913
0.877313 57.243 35.7359
0.883670 57.359 35.2825
0.890074 57.475 34.8309
0.896524 57.592 34.3810
0.903020 57.710 33.9325
0.909564 57.827 33.4853
0.916155 57.946 33.0391
0.922794 58.064 32.5939
0.929481 58.183 32.1494
0.936216 58.303 31.7053
0.943000 58.423 31.2615
0.949834 58.543 30.8178
0.956717 58.664 30.3740
0.963649 58.785 29.9297
0.970632 58.906 29.4849
0.977666 59.028 29.0392
0.984750 59.150 28.5925
0.991886 59.272 28.1445
0.999074 59.394 27.6949
1.006314 59.517 27.2435
1.013606 59.640 26.7901
1.020951 59.764 26.3344
1.028349 59.887 25.8761
1.035801 60.011 25.4151
1.043307 60.135 24.9510
1.050867 60.259 24.4837
1.058482 60.383 24.0129
1.066152 60.508 23.5385
1.073878 60.632 23.0603
1.081660 60.757 22.5786
1.089498 60.882 22.0934
1.097393 61.006 21.6052
1.105345 61.131 21.1147
1.113355 61.256 20.6224
1.121423 61.381 20.1291
1.129549 61.506 19.6353
1.137734 61.631 19.1414
1.145979 61.756 18.6475
1.154283 61.881 18.1540
1.162647 62.006 17.6608
1.171072 62.131 17.1682
1.179558 62.256 16.6761
1.188106 62.381 16.1847
1.196715 62.506 15.6938
1.205387 62.631 15.2035
1.214122 62.757 14.7139
1.222920 62.882 14.2248
1.231782 63.007 13.7363
1.240708 63.133 13.2483
1.249699 63.258 12.7608
1.258754 63.383 12.2737
1.267876 63.509 11.7869
1.277063 63.635 11.3004
1.286318 63.760 10.8141
1.295639 63.886 10.3278
1.305027 64.012 9.8415
1.314484 64.138 9.3551
1.324009 64.264 8.8684
1.333604 64.390 8.3813
1.343268 64.516 7.8937
1.353002 64.642 7.4054
1.362806 64.769 6.9162
1.372681 64.895 6.4261
1.382628 65.022 5.9349
1.392647 65.149 5.4423
1.402739 65.276 4.9483
1.412904 65.403 4.4527
1.423142 65.530 3.9554
1.433455 65.658 3.4564
1.443843 65.786 2.9556
1.454305 65.913 2.4533
1.464844 66.041 1.9497
1.475459 66.169 1.4453
1.486150 66.297 0.9405
1.496920 66.424 0.4357
1.507767 66.552 -0.0689
1.518693 66.679 -0.5730
1.529698 66.806 -1.0768
1.540783 66.932 -1.5801
1.551948 67.059 -2.0832
1.563194 67.185 -2.5860
1.574521 67.311 -3.0888
1.585931 67.437 -3.5917
1.597423 67.563 -4.0949
1.608999 67.688 -4.5985
1.620658 67.814 -5.1029
1.632402 67.939 -5.6082
1.644232 68.064 -6.1147
1.656146 68.188 -6.6226
1.668147 68.313 -7.1323
1.680235 68.437 -7.6438
1.692411 68.562 -8.1577
1.704675 68.686 -8.6741
1.717028 68.810 -9.1934
1.729470 68.934 -9.7159
1.742003 69.058 -10.2419
1.754626 69.182 -10.7718
1.767341 69.306 -11.3060
1.780147 69.430 -11.8446
1.793047 69.553 -12.3881
1.806040 69.677 -12.9366
1.819128 69.800 -13.4903
1.832310 69.924 -14.0493
1.845587 70.047 -14.6133
1.858961 70.170 -15.1822
1.872432 70.292 -15.7555
1.886001 70.414 -16.3328
1.899667 70.535 -16.9137
1.913433 70.657 -17.4979
1.927299 70.777 -18.0850
1.941265 70.897 -18.6746
1.955332 71.017 -19.2664
1.969501 71.137 -19.8601
1.983773 71.255 -20.4557
1.998148 71.374 -21.0527
2.012627 71.492 -21.6511
2.027212 71.610 -22.2508
2.041902 71.727 -22.8517
2.056698 71.844 -23.4536
2.071602 71.961 -24.0567
2.086614 72.077 -24.6609
2.101734 72.193 -25.2662
2.116964 72.309 -25.8729
2.132304 72.424 -26.4811
2.147756 72.539 -27.0912
2.163320 72.654 -27.7033
2.178996 72.768 -28.3182
2.194786 72.882 -28.9363
2.210690 72.996 -29.5581
2.226710 73.109 -30.1842
2.242845 73.221 -30.8146
2.259098 73.333 -31.4494
2.275468 73.444 -32.0884
2.291957 73.554 -32.7310
2.308566 73.664 -33.3769
2.325295 73.773 -34.0255
2.342145 73.882 -34.6765
2.359117 73.989 -35.3293
2.376212 74.097 -35.9835
2.393431 74.203 -36.6387
2.410775 74.309 -37.2946
2.428244 74.415 -37.9509
2.445840 74.519 -38.6073
2.463564 74.624 -39.2636
2.481416 74.727 -39.9198
2.499397 74.831 -40.5760
2.517509 74.933 -41.2323
2.535752 75.036 -41.8894
2.554127 75.137 -42.5479
2.572635 75.238 -43.2087
2.591277 75.338 -43.8727
2.610055 75.438 -44.5406
2.628968 75.536 -45.2125
2.648019 75.634 -45.8885
2.667208 75.731 -46.5681
2.686535 75.827 -47.2509
2.706003 75.922 -47.9362
2.725612 76.016 -48.6235
2.745363 76.110 -49.3119
2.765257 76.203 -50.0009
2.785295 76.295 -50.6898
2.805478 76.386 -51.3781
2.825808 76.476 -52.0654
2.846285 76.566 -52.7512
2.866910 76.655 -53.4356
2.887685 76.744 -54.1185
2.908611 76.832 -54.8007
2.929688 76.919 -55.4828
2.950917 77.005 -56.1660
2.972301 77.091 -56.8512
2.993839 77.175 -57.5391
3.015534 77.259 -58.2298
3.037386 77.341 -58.9232
3.059396 77.423 -59.6188
3.081565 77.503 -60.3159
3.103896 77.583 -61.0138
3.126388 77.662 -61.7116
3.149043 77.740 -62.4087
3.171862 77.817 -63.1041
3.194847 77.893 -63.7973
3.217998 77.969 -64.4878
3.241317 78.044 -65.1752
3.264805 78.118 -65.8598
3.288463 78.192 -66.5421
3.312293 78.265 -67.2227
3.336295 78.337 -67.9028
3.360471 78.408 -68.5832
3.384822 78.478 -69.2640
3.409350 78.547 -69.9455
3.434056 78.615 -70.6274
3.458940 78.682 -71.3091
3.484005 78.749 -71.9900
3.509252 78.814 -72.6696
3.534681 78.879 -73.3471
3.560295 78.944 -74.0219
3.586094 79.007 -74.6935
3.612081 79.070 -75.3617
3.638255 79.133 -76.0265
3.664620 79.194 -76.6883
3.691175 79.256 -77.3476
3.717923 79.316 -78.0052
3.744864 79.375 -78.6616
3.772001 79.434 -79.3169
3.799335 79.492 -79.9712
3.826866 79.549 -80.6242
3.854597 79.606 -81.2757
3.882529 79.662 -81.9251
3.910664 79.717 -82.5721
3.939002 79.772 -83.2163
3.967546 79.827 -83.8574
3.996296 79.881 -84.4953
4.025255 79.934 -85.1301
4.054423 79.987 -85.7621
4.083804 80.040 -86.3918
4.113396 80.092 -87.0194
4.143204 80.143 -87.6453
4.173227 80.194 -88.2696
4.203468 80.245 -88.8922
4.233928 80.295 -89.5132
4.264609 80.344 -90.1324
4.295512 80.393 -90.7498
4.326639 80.441 -91.3653
4.357992 80.490 -91.9788
4.389572 80.537 -92.5906
4.421380 80.585 -93.2007
4.453419 80.632 -93.8095
4.485691 80.679 -94.4171
4.518196 80.725 -95.0237
4.550936 80.770 -95.6294
4.583914 80.816 -96.2341
4.617131 80.860 -96.8379
4.650589 80.905 -97.4408
4.684289 80.948 -98.0427
4.718233 80.992 -98.6439
4.752424 81.035 -99.2445
4.786862 81.077 -99.8447
4.821549 81.119 -100.4446
4.856488 81.160 -101.0445
4.891680 81.201 -101.6442
4.927127 81.241 -102.2438
4.962831 81.281 -102.8429
4.998794 81.319 -103.4416
5.035017 81.358 -104.0396
5.071503 81.395 -104.6369
5.108253 81.432 -105.2337
5.145270 81.468 -105.8301
5.182555 81.503 -106.4264
5.220110 81.537 -107.0227
5.257937 81.571 -107.6188
5.296038 81.604 -108.2144
5.334415 81.635 -108.8091
5.373071 81.666 -109.4024
5.412006 81.697 -109.9941
5.451224 81.726 -110.5837
5.490725 81.754 -111.1714
5.530514 81.781 -111.7573
5.570590 81.807 -112.3414
5.610957 81.832 -112.9238
5.651616 81.856 -113.5041
5.692570 81.879 -114.0818
5.733821 81.901 -114.6564
5.775370 81.923 -115.2272
5.817221 81.943 -115.7938
5.859375 81.962 -116.3560
5.901834 81.980 -116.9137
5.944602 81.997 -117.4670
5.987679 82.013 -118.0158
6.031068 82.029 -118.5600
6.074771 82.043 -119.0991
6.118792 82.057 -119.6327
6.163131 82.070 -120.1604
6.207792 82.082 -120.6817
6.252776 82.094 -121.1966
6.298086 82.105 -121.7049
6.343725 82.115 -122.2067
6.389694 82.125 -122.7022
6.435996 82.134 -123.1914
6.482634 82.143 -123.6742
6.529610 82.152 -124.1506
6.576926 82.160 -124.6205
6.624585 82.169 -125.0838
6.672590 82.177 -125.5407
