* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:11:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SSR R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.804 -118.6858
20.507813 90.833 -118.7808
20.874023 90.911 -118.9311
21.240234 90.995 -118.7902
21.606445 91.094 -118.3425
21.972656 91.233 -117.8091
22.338867 91.416 -117.5184
22.705078 91.613 -117.7616
23.071289 91.778 -118.5926
23.437500 91.877 -119.7615
23.803711 91.913 -120.8611
24.169922 91.931 -121.5856
24.536133 91.990 -121.9290
24.902344 92.121 -122.1642
25.268555 92.303 -122.6043
25.634766 92.481 -123.3347
26.000977 92.609 -124.1332
26.367188 92.684 -124.6358
26.733399 92.744 -124.6230
27.099610 92.840 -124.2188
27.465821 92.990 -123.8393
27.832032 93.159 -123.9135
28.198243 93.282 -124.5924
28.564454 93.311 -125.6524
28.930665 93.246 -126.6435
29.296876 93.137 -127.1732
29.663087 93.066 -127.1511
30.029298 93.093 -126.8303
30.395509 93.217 -126.6079
30.761720 93.381 -126.7372
31.127931 93.518 -127.1816
31.494142 93.595 -127.7053
31.860353 93.618 -128.0989
32.226563 93.620 -128.3482
32.592774 93.629 -128.6231
32.958985 93.646 -129.1034
33.325196 93.655 -129.7927
33.691407 93.647 -130.4755
34.057618 93.635 -130.8579
34.423829 93.656 -130.7850
34.790040 93.745 -130.3632
35.156251 93.901 -129.8930
35.522462 94.089 -129.6673
35.888673 94.257 -129.7978
36.254884 94.369 -130.1905
36.621095 94.423 -130.6548
36.987306 94.435 -131.0421
37.353517 94.434 -131.3140
37.719728 94.440 -131.5190
38.085939 94.458 -131.7247
38.452150 94.487 -131.9682
38.818361 94.520 -132.2514
39.184572 94.554 -132.5622
39.550783 94.586 -132.8884
39.916994 94.616 -133.2135
40.283205 94.645 -133.5115
40.649416 94.676 -133.7591
41.015627 94.714 -133.9547
41.381838 94.761 -134.1224
41.748049 94.811 -134.2884
42.114260 94.858 -134.4519
42.480471 94.897 -134.5806
42.846682 94.934 -134.6440
43.212893 94.977 -134.6542
43.579103 95.033 -134.6731
43.945314 95.099 -134.7721
44.311525 95.162 -134.9743
44.677736 95.213 -135.2335
45.043947 95.251 -135.4710
45.410158 95.285 -135.6424
45.776369 95.324 -135.7777
46.142580 95.372 -135.9591
46.508791 95.425 -136.2547
46.875002 95.471 -136.6637
47.241213 95.508 -137.1182
47.607424 95.540 -137.5370
47.973635 95.577 -137.8847
48.339846 95.625 -138.1864
48.706057 95.678 -138.4897
49.072268 95.722 -138.8103
49.438479 95.746 -139.1101
49.804690 95.748 -139.3272
50.170901 95.739 -139.4324
50.537112 95.732 -139.4650
50.903323 95.734 -139.5150
51.269534 95.746 -139.6663
51.635745 95.758 -139.9406
52.001956 95.765 -140.2851
52.368167 95.765 -140.6091
52.734378 95.768 -140.8440
53.100589 95.784 -140.9833
53.466800 95.817 -141.0806
53.833011 95.864 -141.2085
54.199222 95.912 -141.4105
54.565432 95.950 -141.6741
54.931643 95.969 -141.9401
55.297854 95.973 -142.1385
55.664065 95.970 -142.2269
56.030276 95.971 -142.2133
56.396487 95.982 -142.1511
56.762698 96.006 -142.1154
57.128909 96.035 -142.1705
57.495120 96.061 -142.3453
57.861331 96.075 -142.6237
58.227542 96.075 -142.9522
58.593753 96.062 -143.2610
58.959964 96.045 -143.4915
59.326175 96.035 -143.6180
59.692386 96.038 -143.6544
60.058597 96.058 -143.6429
60.424808 96.088 -143.6301
60.791019 96.122 -143.6465
61.157230 96.150 -143.7009
61.523441 96.169 -143.7893
61.889652 96.180 -143.9089
62.255863 96.185 -144.0586
62.622074 96.187 -144.2257
62.988285 96.188 -144.3703
63.354496 96.194 -144.4286
63.720707 96.214 -144.3442
64.086918 96.262 -144.1134
64.453129 96.343 -143.8127
64.819340 96.454 -143.5814
65.185551 96.574 -143.5618
65.551762 96.676 -143.8289
65.917972 96.736 -144.3508
66.284183 96.741 -145.0044
66.650394 96.696 -145.6337
67.016605 96.619 -146.1190
67.382816 96.536 -146.4172
67.749027 96.467 -146.5593
68.115238 96.423 -146.6133
68.481449 96.405 -146.6419
68.847660 96.405 -146.6789
69.213871 96.415 -146.7313
69.580082 96.431 -146.7967
69.946293 96.448 -146.8771
70.312504 96.465 -146.9817
70.678715 96.480 -147.1189
71.044926 96.492 -147.2887
71.411137 96.498 -147.4805
71.777348 96.499 -147.6783
72.143559 96.495 -147.8667
72.509770 96.487 -148.0354
72.875981 96.477 -148.1790
73.242192 96.466 -148.2956
73.608403 96.456 -148.3863
73.974614 96.451 -148.4558
74.340825 96.452 -148.5126
74.707036 96.461 -148.5675
75.073247 96.476 -148.6306
75.439458 96.496 -148.7085
75.805669 96.518 -148.8033
76.171880 96.539 -148.9142
76.538091 96.558 -149.0400
76.904301 96.575 -149.1807
77.270512 96.590 -149.3370
77.636723 96.602 -149.5084
78.002934 96.612 -149.6911
78.369145 96.621 -149.8771
78.735356 96.628 -150.0560
79.101567 96.633 -150.2178
79.467778 96.638 -150.3566
79.833989 96.642 -150.4720
80.200200 96.645 -150.5695
80.566411 96.649 -150.6575
80.932622 96.653 -150.7445
81.298833 96.657 -150.8358
81.665044 96.661 -150.9314
82.031255 96.665 -151.0267
82.397466 96.669 -151.1142
82.763677 96.673 -151.1869
83.129888 96.677 -151.2416
83.496099 96.681 -151.2806
83.862310 96.684 -151.3104
84.228521 96.687 -151.3397
84.594732 96.689 -151.3756
84.960943 96.691 -151.4212
85.327154 96.692 -151.4755
85.693365 96.693 -151.5351
86.059576 96.694 -151.5965
86.425787 96.698 -151.6584
86.791998 96.702 -151.7225
87.158209 96.709 -151.7916
87.524420 96.715 -151.8687
87.890631 96.723 -151.9551
88.256841 96.730 -152.0500
88.623052 96.737 -152.1506
88.989263 96.744 -152.2526
89.355474 96.752 -152.3512
89.721685 96.759 -152.4417
90.087896 96.765 -152.5205
90.454107 96.770 -152.5855
90.820318 96.772 -152.6373
91.186529 96.772 -152.6790
91.552740 96.769 -152.7158
91.918951 96.765 -152.7537
92.285162 96.760 -152.7984
92.651373 96.754 -152.8535
93.017584 96.750 -152.9199
93.383795 96.747 -152.9960
93.750006 96.746 -153.0784
94.116217 96.746 -153.1629
94.482428 96.748 -153.2456
94.848639 96.751 -153.3235
95.214850 96.755 -153.3944
95.581061 96.760 -153.4559
95.947272 96.765 -153.5054
96.313483 96.771 -153.5404
96.679694 96.776 -153.5589
97.045905 96.782 -153.5619
97.412116 96.788 -153.5539
97.778327 96.793 -153.5433
98.144538 96.797 -153.5409
98.510749 96.799 -153.5571
98.876960 96.799 -153.5988
99.243170 96.797 -153.6674
99.609381 96.793 -153.7586
99.975592 96.790 -153.8640
100.341803 96.787 -153.9736
100.708014 96.786 -154.0788
101.074225 96.786 -154.1741
101.440436 96.787 -154.2570
101.806647 96.786 -154.3279
102.172858 96.781 -154.3890
102.539069 96.771 -154.4436
102.905280 96.757 -154.4959
103.271491 96.738 -154.5507
103.637702 96.717 -154.6138
104.003913 96.695 -154.6911
104.370124 96.675 -154.7880
104.736335 96.658 -154.9078
105.102546 96.646 -155.0513
105.468757 96.638 -155.2172
105.834968 96.635 -155.4019
106.201179 96.637 -155.6012
106.567390 96.643 -155.8096
106.933601 96.655 -156.0209
107.299812 96.672 -156.2266
107.666023 96.694 -156.4158
108.032234 96.719 -156.5760
108.398445 96.747 -156.6944
108.764656 96.776 -156.7609
109.130867 96.804 -156.7713
109.497078 96.829 -156.7286
109.863289 96.848 -156.6433
110.229500 96.861 -156.5322
110.595710 96.866 -156.4157
110.961921 96.865 -156.3139
111.328132 96.858 -156.2439
111.694343 96.847 -156.2164
112.060554 96.837 -156.2338
112.426765 96.828 -156.2903
112.792976 96.823 -156.3727
113.159187 96.822 -156.4632
113.525398 96.823 -156.5438
113.891609 96.827 -156.6001
114.257820 96.830 -156.6249
114.624031 96.833 -156.6185
114.990242 96.833 -156.5882
115.356453 96.831 -156.5443
115.722664 96.827 -156.4974
116.088875 96.822 -156.4557
116.455086 96.818 -156.4241
116.821297 96.815 -156.4041
117.187508 96.814 -156.3955
117.553719 96.813 -156.3965
117.919930 96.810 -156.4052
118.286141 96.806 -156.4209
118.652352 96.797 -156.4455
119.018563 96.785 -156.4838
119.384774 96.770 -156.5422
119.750985 96.754 -156.6250
120.117196 96.739 -156.7307
120.483407 96.726 -156.8493
120.849618 96.717 -156.9634
121.215829 96.713 -157.0536
121.582040 96.714 -157.1045
121.948250 96.719 -157.1087
122.314461 96.728 -157.0689
122.680672 96.738 -156.9947
123.046883 96.746 -156.8994
123.413094 96.752 -156.7973
123.779305 96.756 -156.7020
124.145516 96.759 -156.6264
124.511727 96.763 -156.5813
124.877938 96.769 -156.5727
125.244149 96.776 -156.5995
125.610360 96.783 -156.6530
125.976571 96.789 -156.7189
126.342782 96.792 -156.7830
126.708993 96.792 -156.8363
127.075204 96.788 -156.8776
127.441415 96.780 -156.9130
127.807626 96.769 -156.9511
128.173837 96.754 -156.9990
128.540048 96.736 -157.0583
128.906259 96.718 -157.1257
129.272470 96.701 -157.1948
129.638681 96.688 -157.2597
130.004892 96.681 -157.3165
130.371103 96.678 -157.3638
130.737314 96.680 -157.4014
131.103525 96.684 -157.4285
131.469736 96.688 -157.4431
131.835947 96.690 -157.4429
132.202158 96.689 -157.4273
132.568369 96.686 -157.3986
132.934579 96.681 -157.3632
133.300790 96.674 -157.3301
133.667001 96.668 -157.3092
134.033212 96.662 -157.3082
134.399423 96.657 -157.3308
134.765634 96.652 -157.3757
135.131845 96.647 -157.4374
135.498056 96.642 -157.5077
135.864267 96.636 -157.5780
136.230478 96.629 -157.6409
136.596689 96.621 -157.6919
136.962900 96.613 -157.7293
137.329111 96.605 -157.7541
137.695322 96.597 -157.7691
138.061533 96.590 -157.7778
138.427744 96.584 -157.7838
138.793955 96.579 -157.7897
139.160166 96.575 -157.7968
139.526377 96.572 -157.8056
139.892588 96.571 -157.8156
140.258799 96.570 -157.8259
140.625010 96.571 -157.8355
140.991221 96.572 -157.8436
141.357432 96.573 -157.8497
141.723643 96.574 -157.8534
142.089854 96.573 -157.8540
142.456065 96.571 -157.8508
142.822276 96.567 -157.8430
143.188487 96.560 -157.8300
143.554698 96.553 -157.8115
143.920909 96.543 -157.7882
144.287119 96.534 -157.7618
144.653330 96.524 -157.7349
145.019541 96.514 -157.7102
145.385752 96.505 -157.6907
145.751963 96.497 -157.6784
146.118174 96.490 -157.6740
146.484385 96.483 -157.6772
146.850596 96.476 -157.6863
147.216807 96.469 -157.6989
147.583018 96.463 -157.7126
147.949229 96.456 -157.7249
148.315440 96.450 -157.7341
148.681651 96.445 -157.7389
149.047862 96.441 -157.7388
149.414073 96.437 -157.7336
149.780284 96.435 -157.7231
150.146495 96.435 -157.7074
150.512706 96.435 -157.6864
150.878917 96.436 -157.6598
151.245128 96.438 -157.6278
151.611339 96.439 -157.5908
151.977550 96.440 -157.5496
152.343761 96.441 -157.5056
152.709972 96.441 -157.4607
153.076183 96.440 -157.4170
153.442394 96.438 -157.3771
153.808605 96.435 -157.3430
154.174816 96.432 -157.3164
154.541027 96.429 -157.2987
154.907238 96.425 -157.2902
155.273448 96.422 -157.2908
155.639659 96.418 -157.2996
156.005870 96.414 -157.3151
156.372081 96.409 -157.3356
156.738292 96.404 -157.3591
157.104503 96.399 -157.3835
157.470714 96.394 -157.4073
157.836925 96.388 -157.4290
158.203136 96.382 -157.4478
158.569347 96.377 -157.4635
158.935558 96.371 -157.4761
159.301769 96.366 -157.4862
159.667980 96.361 -157.4945
160.034191 96.356 -157.5016
160.400402 96.351 -157.5083
160.766613 96.346 -157.5149
161.132824 96.341 -157.5215
161.499035 96.335 -157.5279
161.865246 96.328 -157.5338
162.231457 96.321 -157.5382
162.597668 96.314 -157.5405
