* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 24, 2023 8:52:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield  2 May L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 83.854 49.2819
20.507813 83.901 48.9114
20.874023 84.026 47.9390
21.240234 84.152 46.9920
21.606445 84.261 46.1829
21.972656 84.348 45.5361
22.338867 84.415 45.0883
22.705078 84.474 44.7538
23.071289 84.528 44.3448
23.437500 84.569 43.7132
23.803711 84.588 42.8739
24.169922 84.590 42.0117
24.536133 84.602 41.3396
24.902344 84.662 40.9142
25.268555 84.776 40.5839
25.634766 84.901 40.1392
26.000977 84.964 39.5512
26.367188 84.905 39.0858
26.733399 84.722 39.1636
27.099610 84.486 40.0108
27.465821 84.314 41.3448
27.832032 84.300 42.4064
28.198243 84.440 42.4070
28.564454 84.652 41.0494
28.930665 84.845 38.6985
29.296876 84.975 36.1220
29.663087 85.050 34.0523
30.029298 85.104 32.8592
30.395509 85.167 32.4745
30.761720 85.240 32.5508
31.127931 85.303 32.7087
31.494142 85.331 32.7005
31.860353 85.318 32.4297
32.226563 85.279 31.8955
32.592774 85.239 31.1581
32.958985 85.225 30.3429
33.325196 85.259 29.6256
33.691407 85.357 29.1555
34.057618 85.521 28.9561
34.423829 85.732 28.8955
34.790040 85.942 28.7720
35.156251 86.097 28.4573
35.522462 86.151 27.9859
35.888673 86.095 27.5202
36.254884 85.954 27.2189
36.621095 85.782 27.1078
36.987306 85.634 27.0505
37.353517 85.544 26.8464
37.719728 85.512 26.3784
38.085939 85.513 25.6962
38.452150 85.526 24.9741
38.818361 85.541 24.3891
39.184572 85.559 24.0150
39.550783 85.579 23.8032
39.916994 85.599 23.6431
40.283205 85.609 23.4436
40.649416 85.605 23.1756
41.015627 85.590 22.8616
41.381838 85.574 22.5363
41.748049 85.566 22.2183
42.114260 85.572 21.9081
42.480471 85.589 21.6016
42.846682 85.612 21.3021
43.212893 85.632 21.0182
43.579103 85.645 20.7551
43.945314 85.651 20.5090
44.311525 85.651 20.2693
44.677736 85.648 20.0261
45.043947 85.645 19.7750
45.410158 85.644 19.5177
45.776369 85.646 19.2588
46.142580 85.651 19.0033
46.508791 85.657 18.7561
46.875002 85.661 18.5212
47.241213 85.662 18.3008
47.607424 85.661 18.0927
47.973635 85.658 17.8903
48.339846 85.655 17.6844
48.706057 85.654 17.4676
49.072268 85.654 17.2381
49.438479 85.656 17.0005
49.804690 85.657 16.7638
50.170901 85.658 16.5369
50.537112 85.657 16.3247
50.903323 85.656 16.1258
51.269534 85.656 15.9337
51.635745 85.656 15.7401
52.001956 85.656 15.5393
52.368167 85.657 15.3318
52.734378 85.657 15.1238
53.100589 85.656 14.9241
53.466800 85.654 14.7398
53.833011 85.652 14.5723
54.199222 85.648 14.4179
54.565432 85.644 14.2704
54.931643 85.637 14.1251
55.297854 85.630 13.9810
55.664065 85.622 13.8393
56.030276 85.615 13.7003
56.396487 85.611 13.5608
56.762698 85.610 13.4146
57.128909 85.611 13.2564
57.495120 85.614 13.0849
57.861331 85.616 12.9049
58.227542 85.617 12.7250
58.593753 85.617 12.5529
58.959964 85.616 12.3914
59.326175 85.614 12.2372
59.692386 85.613 12.0837
60.058597 85.612 11.9251
60.424808 85.611 11.7596
60.791019 85.609 11.5903
61.157230 85.607 11.4231
61.523441 85.605 11.2642
61.889652 85.601 11.1185
62.255863 85.595 10.9899
62.622074 85.587 10.8811
62.988285 85.574 10.7930
63.354496 85.559 10.7223
63.720707 85.542 10.6588
64.086918 85.527 10.5868
64.453129 85.514 10.4899
64.819340 85.504 10.3597
65.185551 85.496 10.2013
65.551762 85.490 10.0323
65.917972 85.486 9.8748
66.284183 85.482 9.7434
66.650394 85.480 9.6384
67.016605 85.478 9.5472
67.382816 85.475 9.4529
67.749027 85.470 9.3437
68.115238 85.464 9.2166
68.481449 85.458 9.0741
68.847660 85.455 8.9204
69.213871 85.455 8.7606
69.580082 85.457 8.6065
69.946293 85.455 8.4806
70.312504 85.448 8.4125
70.678715 85.435 8.4239
71.044926 85.418 8.5112
71.411137 85.402 8.6366
71.777348 85.390 8.7391
72.143559 85.380 8.7601
72.509770 85.370 8.6715
72.875981 85.356 8.4881
73.242192 85.337 8.2584
73.608403 85.317 8.0392
73.974614 85.299 7.8697
74.340825 85.288 7.7589
74.707036 85.284 7.6905
75.073247 85.287 7.6379
75.439458 85.290 7.5798
75.805669 85.292 7.5068
76.171880 85.291 7.4196
76.538091 85.287 7.3240
76.904301 85.281 7.2257
77.270512 85.275 7.1299
77.636723 85.269 7.0411
78.002934 85.264 6.9632
78.369145 85.259 6.8978
78.735356 85.255 6.8434
79.101567 85.250 6.7959
79.467778 85.245 6.7510
79.833989 85.239 6.7067
80.200200 85.232 6.6642
80.566411 85.226 6.6262
80.932622 85.220 6.5946
81.298833 85.214 6.5685
81.665044 85.208 6.5440
82.031255 85.202 6.5155
82.397466 85.194 6.4781
82.763677 85.183 6.4288
83.129888 85.170 6.3674
83.496099 85.156 6.2960
83.862310 85.141 6.2185
84.228521 85.126 6.1404
84.594732 85.111 6.0673
84.960943 85.096 6.0039
85.327154 85.081 5.9528
85.693365 85.065 5.9138
86.059576 85.048 5.8849
86.425787 85.030 5.8636
86.791998 85.010 5.8488
87.158209 84.991 5.8421
87.524420 84.971 5.8468
87.890631 84.954 5.8653
88.256841 84.939 5.8962
88.623052 84.927 5.9325
88.989263 84.918 5.9623
89.355474 84.911 5.9724
89.721685 84.904 5.9523
90.087896 84.894 5.8984
90.454107 84.883 5.8149
90.820318 84.869 5.7116
91.186529 84.856 5.5999
91.552740 84.846 5.4895
91.918951 84.841 5.3862
92.285162 84.842 5.2924
92.651373 84.849 5.2096
93.017584 84.859 5.1405
93.383795 84.870 5.0894
93.750006 84.880 5.0609
94.116217 84.888 5.0573
94.482428 84.893 5.0766
94.848639 84.895 5.1125
95.214850 84.893 5.1557
95.581061 84.889 5.1972
95.947272 84.882 5.2309
96.313483 84.873 5.2552
96.679694 84.864 5.2729
97.045905 84.854 5.2890
97.412116 84.846 5.3087
97.778327 84.841 5.3351
98.144538 84.838 5.3681
98.510749 84.838 5.4050
98.876960 84.840 5.4412
99.243170 84.843 5.4718
99.609381 84.845 5.4930
99.975592 84.844 5.5028
100.341803 84.839 5.5011
100.708014 84.831 5.4892
101.074225 84.820 5.4689
101.440436 84.806 5.4418
101.806647 84.790 5.4085
102.172858 84.775 5.3688
102.539069 84.761 5.3225
102.905280 84.749 5.2698
103.271491 84.740 5.2123
103.637702 84.732 5.1532
104.003913 84.727 5.0968
104.370124 84.723 5.0484
104.736335 84.719 5.0129
105.102546 84.715 4.9943
105.468757 84.709 4.9951
105.834968 84.701 5.0152
106.201179 84.690 5.0518
106.567390 84.678 5.0993
106.933601 84.663 5.1503
107.299812 84.647 5.1960
107.666023 84.630 5.2289
108.032234 84.612 5.2436
108.398445 84.594 5.2381
108.764656 84.576 5.2134
109.130867 84.560 5.1727
109.497078 84.546 5.1203
109.863289 84.534 5.0600
110.229500 84.525 4.9953
110.595710 84.519 4.9296
110.961921 84.514 4.8672
111.328132 84.511 4.8133
111.694343 84.508 4.7739
112.060554 84.504 4.7548
112.426765 84.498 4.7598
112.792976 84.491 4.7896
113.159187 84.482 4.8415
113.525398 84.471 4.9099
113.891609 84.459 4.9876
114.257820 84.445 5.0676
114.624031 84.431 5.1443
114.990242 84.416 5.2138
115.356453 84.402 5.2739
115.722664 84.389 5.3237
116.088875 84.376 5.3625
116.455086 84.366 5.3896
116.821297 84.357 5.4047
117.187508 84.349 5.4079
117.553719 84.343 5.4004
117.919930 84.338 5.3845
118.286141 84.332 5.3639
118.652352 84.327 5.3430
119.018563 84.322 5.3266
119.384774 84.316 5.3188
119.750985 84.309 5.3227
120.117196 84.301 5.3399
120.483407 84.292 5.3695
120.849618 84.282 5.4092
121.215829 84.271 5.4548
121.582040 84.259 5.5016
121.948250 84.248 5.5452
122.314461 84.236 5.5823
122.680672 84.225 5.6109
123.046883 84.215 5.6307
123.413094 84.205 5.6425
123.779305 84.197 5.6478
124.145516 84.189 5.6486
124.511727 84.182 5.6473
124.877938 84.174 5.6463
125.244149 84.165 5.6485
125.610360 84.155 5.6563
125.976571 84.144 5.6723
126.342782 84.131 5.6985
126.708993 84.117 5.7363
127.075204 84.103 5.7860
127.441415 84.089 5.8469
127.807626 84.074 5.9172
128.173837 84.061 5.9945
128.540048 84.048 6.0756
128.906259 84.035 6.1575
129.272470 84.024 6.2378
129.638681 84.013 6.3151
130.004892 84.003 6.3888
130.371103 83.992 6.4591
130.737314 83.983 6.5268
131.103525 83.973 6.5923
131.469736 83.963 6.6561
131.835947 83.954 6.7181
132.202158 83.945 6.7783
132.568369 83.935 6.8368
132.934579 83.926 6.8935
133.300790 83.917 6.9490
133.667001 83.908 7.0039
134.033212 83.899 7.0589
134.399423 83.890 7.1148
134.765634 83.881 7.1723
135.131845 83.871 7.2321
135.498056 83.861 7.2947
135.864267 83.850 7.3607
136.230478 83.839 7.4306
136.596689 83.827 7.5048
136.962900 83.815 7.5838
137.329111 83.801 7.6682
137.695322 83.787 7.7580
138.061533 83.772 7.8529
138.427744 83.756 7.9519
138.793955 83.740 8.0532
139.160166 83.724 8.1543
139.526377 83.708 8.2523
139.892588 83.694 8.3447
140.258799 83.682 8.4297
140.625010 83.672 8.5065
140.991221 83.664 8.5760
141.357432 83.658 8.6405
141.723643 83.653 8.7030
142.089854 83.650 8.7667
142.456065 83.648 8.8343
142.822276 83.645 8.9080
143.188487 83.640 8.9884
143.554698 83.635 9.0756
143.920909 83.627 9.1688
144.287119 83.618 9.2671
144.653330 83.606 9.3696
145.019541 83.594 9.4755
145.385752 83.581 9.5842
145.751963 83.568 9.6955
146.118174 83.556 9.8094
146.484385 83.544 9.9264
146.850596 83.534 10.0469
147.216807 83.526 10.1720
147.583018 83.518 10.3022
147.949229 83.512 10.4385
148.315440 83.507 10.5809
148.681651 83.503 10.7293
149.047862 83.499 10.8827
149.414073 83.496 11.0395
149.780284 83.495 11.1976
150.146495 83.494 11.3546
150.512706 83.494 11.5078
150.878917 83.495 11.6548
151.245128 83.497 11.7933
151.611339 83.500 11.9220
151.977550 83.505 12.0403
152.343761 83.511 12.1483
152.709972 83.519 12.2474
153.076183 83.527 12.3396
153.442394 83.536 12.4270
153.808605 83.546 12.5124
154.174816 83.556 12.5976
154.541027 83.565 12.6844
154.907238 83.574 12.7731
155.273448 83.582 12.8636
155.639659 83.590 12.9545
156.005870 83.596 13.0441
156.372081 83.602 13.1303
156.738292 83.607 13.2113
157.104503 83.611 13.2854
157.470714 83.614 13.3515
157.836925 83.617 13.4092
158.203136 83.619 13.4583
158.569347 83.621 13.4994
158.935558 83.623 13.5329
159.301769 83.624 13.5597
159.667980 83.626 13.5806
160.034191 83.628 13.5963
160.400402 83.630 13.6077
160.766613 83.632 13.6157
161.132824 83.634 13.6214
161.499035 83.636 13.6258
161.865246 83.638 13.6303
162.231457 83.639 13.6364
162.597668 83.639 13.6454
162.963879 83.638 13.6588
163.330090 83.637 13.6776
163.696301 83.635 13.7027
164.062512 83.632 13.7345
164.428723 83.629 13.7727
164.794934 83.626 13.8169
165.161145 83.623 13.8660
165.527356 83.619 13.9190
165.893567 83.615 13.9744
166.259778 83.612 14.0310
166.625988 83.607 14.0872
166.992199 83.603 14.1420
167.358410 83.598 14.1941
167.724621 83.593 14.2428
168.090832 83.587 14.2877
168.457043 83.581 14.3288
168.823254 83.574 14.3664
169.189465 83.567 14.4015
169.555676 83.560 14.4352
169.921887 83.552 14.4687
170.288098 83.544 14.5034
170.654309 83.537 14.5403
171.020520 83.529 14.5803
171.386731 83.521 14.6237
171.752942 83.514 14.6706
172.119153 83.507 14.7209
172.485364 83.500 14.7741
172.851575 83.492 14.8300
