* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 3, 25 11:27:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 12.861 26.9105
0.368865 12.941 27.1827
0.371538 13.060 27.5781
0.374230 13.205 28.0550
0.376942 13.367 28.5793
0.379673 13.541 29.1275
0.382424 13.720 29.6849
0.385196 13.904 30.2432
0.387987 14.091 30.7978
0.390798 14.280 31.3465
0.393630 14.471 31.8882
0.396483 14.663 32.4224
0.399356 14.857 32.9488
0.402250 15.052 33.4674
0.405165 15.249 33.9782
0.408101 15.447 34.4811
0.411058 15.647 34.9761
0.414037 15.847 35.4633
0.417037 16.050 35.9425
0.420059 16.254 36.4137
0.423103 16.459 36.8769
0.426169 16.666 37.3320
0.429257 16.875 37.7789
0.432368 17.084 38.2175
0.435501 17.296 38.6478
0.438656 17.509 39.0697
0.441835 17.723 39.4830
0.445037 17.939 39.8876
0.448262 18.157 40.2835
0.451510 18.376 40.6705
0.454782 18.597 41.0486
0.458077 18.820 41.4176
0.461397 19.044 41.7775
0.464740 19.269 42.1281
0.468108 19.497 42.4694
0.471500 19.726 42.8011
0.474917 19.956 43.1234
0.478358 20.189 43.4359
0.481825 20.423 43.7388
0.485316 20.658 44.0318
0.488833 20.896 44.3150
0.492375 21.135 44.5881
0.495943 21.376 44.8512
0.499537 21.619 45.1043
0.503157 21.863 45.3471
0.506803 22.109 45.5798
0.510475 22.357 45.8021
0.514175 22.607 46.0142
0.517900 22.858 46.2159
0.521653 23.112 46.4072
0.525434 23.367 46.5881
0.529241 23.624 46.7586
0.533076 23.883 46.9186
0.536939 24.144 47.0682
0.540830 24.407 47.2074
0.544749 24.672 47.3360
0.548696 24.938 47.4543
0.552673 25.207 47.5621
0.556677 25.477 47.6595
0.560711 25.750 47.7465
0.564774 26.024 47.8232
0.568867 26.301 47.8895
0.572989 26.579 47.9456
0.577141 26.860 47.9915
0.581324 27.142 48.0272
0.585536 27.427 48.0528
0.589779 27.714 48.0684
0.594053 28.002 48.0740
0.598358 28.293 48.0697
0.602694 28.586 48.0557
0.607061 28.881 48.0319
0.611460 29.179 47.9984
0.615891 29.478 47.9555
0.620354 29.780 47.9031
0.624849 30.083 47.8414
0.629377 30.389 47.7705
0.633938 30.698 47.6905
0.638532 31.008 47.6015
0.643159 31.321 47.5037
0.647819 31.636 47.3971
0.652514 31.953 47.2820
0.657242 32.273 47.1585
0.662005 32.595 47.0266
0.666802 32.919 46.8866
0.671634 33.246 46.7385
0.676501 33.574 46.5827
0.681403 33.905 46.4191
0.686341 34.239 46.2481
0.691314 34.574 46.0698
0.696324 34.911 45.8844
0.701370 35.248 45.6924
0.706452 35.585 45.4941
0.711571 35.921 45.2901
0.716728 36.252 45.0815
0.721921 36.576 44.8696
0.727153 36.890 44.6563
0.732422 37.189 44.4439
0.737729 37.474 44.2352
0.743075 37.745 44.0325
0.748460 38.005 43.8375
0.753883 38.257 43.6512
0.759346 38.503 43.4739
0.764849 38.745 43.3053
0.770391 38.982 43.1451
0.775974 39.216 42.9925
0.781597 39.447 42.8469
0.787261 39.674 42.7075
0.792966 39.899 42.5737
0.798712 40.121 42.4446
0.804500 40.340 42.3196
0.810329 40.556 42.1981
0.816201 40.769 42.0794
0.822116 40.980 41.9629
0.828073 41.188 41.8480
0.834074 41.393 41.7342
0.840118 41.596 41.6209
0.846206 41.796 41.5076
0.852338 41.994 41.3939
0.858514 42.189 41.2793
0.864735 42.382 41.1634
0.871001 42.573 41.0457
0.877313 42.762 40.9258
0.883670 42.948 40.8034
0.890074 43.132 40.6781
0.896524 43.315 40.5496
0.903020 43.495 40.4174
0.909564 43.674 40.2814
0.916155 43.851 40.1411
0.922794 44.027 39.9963
0.929481 44.202 39.8468
0.936216 44.375 39.6922
0.943000 44.547 39.5323
0.949834 44.718 39.3669
0.956717 44.888 39.1957
0.963649 45.058 39.0185
0.970632 45.227 38.8351
0.977666 45.395 38.6452
0.984750 45.564 38.4488
0.991886 45.733 38.2456
0.999074 45.902 38.0354
1.006314 46.072 37.8181
1.013606 46.242 37.5935
1.020951 46.413 37.3614
1.028349 46.585 37.1218
1.035801 46.759 36.8745
1.043307 46.934 36.6195
1.050867 47.112 36.3566
1.058482 47.291 36.0861
1.066152 47.473 35.8080
1.073878 47.657 35.5228
1.081660 47.843 35.2312
1.089498 48.031 34.9343
1.097393 48.220 34.6336
1.105345 48.410 34.3310
1.113355 48.601 34.0283
1.121423 48.791 33.7268
1.129549 48.981 33.4277
1.137734 49.170 33.1314
1.145979 49.358 32.8381
1.154283 49.544 32.5478
1.162647 49.730 32.2602
1.171072 49.914 31.9752
1.179558 50.097 31.6924
1.188106 50.279 31.4114
1.196715 50.460 31.1319
1.205387 50.640 30.8536
1.214122 50.818 30.5762
1.222920 50.996 30.2993
1.231782 51.173 30.0225
1.240708 51.349 29.7456
1.249699 51.524 29.4682
1.258754 51.698 29.1900
1.267876 51.871 28.9106
1.277063 52.044 28.6298
1.286318 52.216 28.3473
1.295639 52.387 28.0627
1.305027 52.558 27.7758
1.314484 52.728 27.4862
1.324009 52.898 27.1936
1.333604 53.067 26.8978
1.343268 53.237 26.5984
1.353002 53.406 26.2953
1.362806 53.575 25.9880
1.372681 53.744 25.6764
1.382628 53.913 25.3601
1.392647 54.082 25.0389
1.402739 54.252 24.7127
1.412904 54.421 24.3812
1.423142 54.592 24.0444
1.433455 54.762 23.7024
1.443843 54.933 23.3554
1.454305 55.105 23.0042
1.464844 55.276 22.6496
1.475459 55.447 22.2926
1.486150 55.617 21.9345
1.496920 55.787 21.5759
1.507767 55.956 21.2176
1.518693 56.125 20.8598
1.529698 56.292 20.5025
1.540783 56.458 20.1456
1.551948 56.624 19.7891
1.563194 56.789 19.4327
1.574521 56.952 19.0762
1.585931 57.115 18.7192
1.597423 57.277 18.3615
1.608999 57.438 18.0029
1.620658 57.599 17.6430
1.632402 57.758 17.2815
1.644232 57.918 16.9182
1.656146 58.076 16.5527
1.668147 58.234 16.1849
1.680235 58.391 15.8142
1.692411 58.548 15.4405
1.704675 58.705 15.0635
1.717028 58.861 14.6829
1.729470 59.017 14.2983
1.742003 59.172 13.9095
1.754626 59.328 13.5161
1.767341 59.483 13.1180
1.780147 59.638 12.7149
1.793047 59.793 12.3066
1.806040 59.948 11.8933
1.819128 60.103 11.4748
1.832310 60.258 11.0517
1.845587 60.412 10.6242
1.858961 60.565 10.1931
1.872432 60.718 9.7588
1.886001 60.869 9.3217
1.899667 61.020 8.8824
1.913433 61.170 8.4411
1.927299 61.319 7.9981
1.941265 61.467 7.5536
1.955332 61.614 7.1078
1.969501 61.760 6.6608
1.983773 61.905 6.2128
1.998148 62.050 5.7639
2.012627 62.194 5.3141
2.027212 62.337 4.8635
2.041902 62.480 4.4120
2.056698 62.622 3.9597
2.071602 62.764 3.5065
2.086614 62.905 3.0524
2.101734 63.045 2.5973
2.116964 63.185 2.1410
2.132304 63.325 1.6834
2.147756 63.465 1.2244
2.163320 63.604 0.7637
2.178996 63.743 0.3010
2.194786 63.881 -0.1640
2.210690 64.018 -0.6316
2.226710 64.155 -1.1018
2.242845 64.291 -1.5747
2.259098 64.426 -2.0502
2.275468 64.560 -2.5280
2.291957 64.693 -3.0078
2.308566 64.826 -3.4893
2.325295 64.957 -3.9721
2.342145 65.087 -4.4559
2.359117 65.217 -4.9404
2.376212 65.345 -5.4251
2.393431 65.473 -5.9100
2.410775 65.601 -6.3946
2.428244 65.727 -6.8787
2.445840 65.853 -7.3622
2.463564 65.979 -7.8449
2.481416 66.104 -8.3268
2.499397 66.229 -8.8077
2.517509 66.353 -9.2879
2.535752 66.476 -9.7675
2.554127 66.600 -10.2470
2.572635 66.722 -10.7269
2.591277 66.844 -11.2077
2.610055 66.965 -11.6897
2.628968 67.085 -12.1731
2.648019 67.204 -12.6579
2.667208 67.322 -13.1437
2.686535 67.439 -13.6305
2.706003 67.555 -14.1176
2.725612 67.671 -14.6048
2.745363 67.786 -15.0916
2.765257 67.900 -15.5776
2.785295 68.013 -16.0625
2.805478 68.126 -16.5457
2.825808 68.239 -17.0271
2.846285 68.351 -17.5064
2.866910 68.462 -17.9833
2.887685 68.573 -18.4580
2.908611 68.684 -18.9305
2.929688 68.795 -19.4011
2.950917 68.904 -19.8704
2.972301 69.013 -20.3387
2.993839 69.122 -20.8065
3.015534 69.229 -21.2739
3.037386 69.336 -21.7409
3.059396 69.442 -22.2074
3.081565 69.548 -22.6731
3.103896 69.653 -23.1380
3.126388 69.757 -23.6016
3.149043 69.861 -24.0637
3.171862 69.965 -24.5240
3.194847 70.068 -24.9823
3.217998 70.171 -25.4383
3.241317 70.274 -25.8919
3.264805 70.376 -26.3431
3.288463 70.479 -26.7918
3.312293 70.581 -27.2383
3.336295 70.683 -27.6828
3.360471 70.785 -28.1256
3.384822 70.886 -28.5668
3.409350 70.986 -29.0067
3.434056 71.087 -29.4454
3.458940 71.187 -29.8831
3.484005 71.286 -30.3198
3.509252 71.386 -30.7556
3.534681 71.485 -31.1906
3.560295 71.584 -31.6248
3.586094 71.684 -32.0582
3.612081 71.783 -32.4907
3.638255 71.882 -32.9224
3.664620 71.982 -33.3532
3.691175 72.081 -33.7831
3.717923 72.180 -34.2121
3.744864 72.279 -34.6402
3.772001 72.378 -35.0678
3.799335 72.477 -35.4951
3.826866 72.576 -35.9224
3.854597 72.675 -36.3502
3.882529 72.774 -36.7787
3.910664 72.873 -37.2084
3.939002 72.972 -37.6394
3.967546 73.070 -38.0721
3.996296 73.169 -38.5066
4.025255 73.268 -38.9428
4.054423 73.367 -39.3808
4.083804 73.466 -39.8204
4.113396 73.565 -40.2616
4.143204 73.664 -40.7044
4.173227 73.763 -41.1491
4.203468 73.861 -41.5959
4.233928 73.960 -42.0452
4.264609 74.058 -42.4972
4.295512 74.157 -42.9524
4.326639 74.255 -43.4110
4.357992 74.352 -43.8734
4.389572 74.450 -44.3397
4.421380 74.547 -44.8100
4.453419 74.644 -45.2842
4.485691 74.741 -45.7623
4.518196 74.837 -46.2441
4.550936 74.933 -46.7294
4.583914 75.029 -47.2182
4.617131 75.124 -47.7104
4.650589 75.218 -48.2060
4.684289 75.312 -48.7050
4.718233 75.405 -49.2077
4.752424 75.498 -49.7143
4.786862 75.590 -50.2251
4.821549 75.681 -50.7400
4.856488 75.771 -51.2591
4.891680 75.861 -51.7819
4.927127 75.949 -52.3081
4.962831 76.037 -52.8370
4.998794 76.124 -53.3681
5.035017 76.210 -53.9010
5.071503 76.295 -54.4355
5.108253 76.379 -54.9716
5.145270 76.462 -55.5095
5.182555 76.544 -56.0494
5.220110 76.625 -56.5914
5.257937 76.705 -57.1351
5.296038 76.783 -57.6800
5.334415 76.861 -58.2252
5.373071 76.938 -58.7698
5.412006 77.013 -59.3134
5.451224 77.087 -59.8552
5.490725 77.161 -60.3953
5.530514 77.233 -60.9338
5.570590 77.304 -61.4707
5.610957 77.374 -62.0062
5.651616 77.443 -62.5397
5.692570 77.511 -63.0708
5.733821 77.578 -63.5988
5.775370 77.645 -64.1229
5.817221 77.710 -64.6426
5.859375 77.775 -65.1578
5.901834 77.839 -65.6683
5.944602 77.903 -66.1743
5.987679 77.966 -66.6759
6.031068 78.028 -67.1732
6.074771 78.090 -67.6660
6.118792 78.151 -68.1540
6.163131 78.212 -68.6372
6.207792 78.274 -69.1152
6.252776 78.335 -69.5881
6.298086 78.395 -70.0559
6.343725 78.456 -70.5191
6.389694 78.517 -70.9779
6.435996 78.578 -71.4328
6.482634 78.639 -71.8844
6.529610 78.701 -72.3328
6.576926 78.763 -72.7785
6.624585 78.825 -73.2216
6.672590 78.887 -73.6622
6.720942 78.950 -74.1010
6.769645 79.014 -74.5384
6.818700 79.078 -74.9752
