* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 3, 25 11:58:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.283 -9.9049
0.368865 40.290 -9.8737
0.371538 40.299 -9.8275
0.374230 40.311 -9.7703
0.376942 40.325 -9.7058
0.379673 40.340 -9.6363
0.382424 40.355 -9.5637
0.385196 40.370 -9.4889
0.387987 40.386 -9.4126
0.390798 40.402 -9.3350
0.393630 40.418 -9.2562
0.396483 40.435 -9.1765
0.399356 40.451 -9.0957
0.402250 40.468 -9.0138
0.405165 40.485 -8.9309
0.408101 40.501 -8.8469
0.411058 40.518 -8.7618
0.414037 40.535 -8.6755
0.417037 40.553 -8.5879
0.420059 40.570 -8.4991
0.423103 40.587 -8.4090
0.426169 40.605 -8.3176
0.429257 40.623 -8.2248
0.432368 40.640 -8.1305
0.435501 40.658 -8.0348
0.438656 40.677 -7.9375
0.441835 40.695 -7.8387
0.445037 40.713 -7.7382
0.448262 40.732 -7.6361
0.451510 40.750 -7.5322
0.454782 40.769 -7.4266
0.458077 40.788 -7.3191
0.461397 40.807 -7.2098
0.464740 40.826 -7.0985
0.468108 40.845 -6.9852
0.471500 40.865 -6.8699
0.474917 40.884 -6.7524
0.478358 40.904 -6.6328
0.481825 40.924 -6.5110
0.485316 40.944 -6.3869
0.488833 40.964 -6.2605
0.492375 40.985 -6.1317
0.495943 41.005 -6.0005
0.499537 41.026 -5.8667
0.503157 41.046 -5.7304
0.506803 41.067 -5.5914
0.510475 41.088 -5.4498
0.514175 41.110 -5.3054
0.517900 41.131 -5.1582
0.521653 41.152 -5.0082
0.525434 41.174 -4.8552
0.529241 41.196 -4.6993
0.533076 41.218 -4.5404
0.536939 41.240 -4.3784
0.540830 41.262 -4.2132
0.544749 41.285 -4.0449
0.548696 41.308 -3.8733
0.552673 41.330 -3.6985
0.556677 41.353 -3.5203
0.560711 41.376 -3.3388
0.564774 41.400 -3.1539
0.568867 41.423 -2.9655
0.572989 41.447 -2.7736
0.577141 41.471 -2.5782
0.581324 41.495 -2.3793
0.585536 41.519 -2.1768
0.589779 41.543 -1.9707
0.594053 41.568 -1.7610
0.598358 41.592 -1.5477
0.602694 41.617 -1.3308
0.607061 41.642 -1.1102
0.611460 41.667 -0.8860
0.615891 41.693 -0.6582
0.620354 41.718 -0.4268
0.624849 41.744 -0.1918
0.629377 41.770 0.0467
0.633938 41.796 0.2888
0.638532 41.823 0.5343
0.643159 41.849 0.7833
0.647819 41.876 1.0357
0.652514 41.903 1.2914
0.657242 41.930 1.5503
0.662005 41.957 1.8124
0.666802 41.985 2.0776
0.671634 42.013 2.3458
0.676501 42.040 2.6168
0.681403 42.069 2.8907
0.686341 42.097 3.1673
0.691314 42.126 3.4464
0.696324 42.155 3.7279
0.701370 42.184 4.0117
0.706452 42.215 4.2978
0.711571 42.246 4.5860
0.716728 42.280 4.8764
0.721921 42.316 5.1689
0.727153 42.356 5.4639
0.732422 42.402 5.7614
0.737729 42.453 6.0620
0.743075 42.510 6.3658
0.748460 42.572 6.6733
0.753883 42.638 6.9843
0.759346 42.707 7.2989
0.764849 42.779 7.6168
0.770391 42.854 7.9378
0.775974 42.931 8.2616
0.781597 43.011 8.5879
0.787261 43.092 8.9163
0.792966 43.176 9.2463
0.798712 43.262 9.5777
0.804500 43.351 9.9101
0.810329 43.441 10.2430
0.816201 43.534 10.5760
0.822116 43.628 10.9087
0.828073 43.725 11.2408
0.834074 43.824 11.5718
0.840118 43.925 11.9014
0.846206 44.028 12.2290
0.852338 44.133 12.5542
0.858514 44.239 12.8768
0.864735 44.348 13.1962
0.871001 44.459 13.5120
0.877313 44.571 13.8239
0.883670 44.686 14.1314
0.890074 44.802 14.4342
0.896524 44.920 14.7318
0.903020 45.039 15.0238
0.909564 45.160 15.3100
0.916155 45.283 15.5898
0.922794 45.407 15.8629
0.929481 45.533 16.1291
0.936216 45.660 16.3878
0.943000 45.789 16.6389
0.949834 45.919 16.8819
0.956717 46.050 17.1165
0.963649 46.182 17.3424
0.970632 46.315 17.5594
0.977666 46.449 17.7670
0.984750 46.585 17.9652
0.991886 46.720 18.1535
0.999074 46.857 18.3317
1.006314 46.994 18.4997
1.013606 47.132 18.6571
1.020951 47.270 18.8037
1.028349 47.409 18.9394
1.035801 47.547 19.0640
1.043307 47.686 19.1774
1.050867 47.825 19.2795
1.058482 47.963 19.3703
1.066152 48.102 19.4499
1.073878 48.240 19.5188
1.081660 48.378 19.5775
1.089498 48.516 19.6271
1.097393 48.654 19.6690
1.105345 48.793 19.7050
1.113355 48.932 19.7366
1.121423 49.072 19.7653
1.129549 49.214 19.7919
1.137734 49.357 19.8167
1.145979 49.501 19.8399
1.154283 49.646 19.8612
1.162647 49.793 19.8805
1.171072 49.941 19.8974
1.179558 50.091 19.9114
1.188106 50.242 19.9223
1.196715 50.394 19.9296
1.205387 50.547 19.9329
1.214122 50.701 19.9320
1.222920 50.856 19.9264
1.231782 51.013 19.9158
1.240708 51.170 19.8998
1.249699 51.329 19.8781
1.258754 51.488 19.8505
1.267876 51.648 19.8166
1.277063 51.809 19.7761
1.286318 51.970 19.7288
1.295639 52.132 19.6743
1.305027 52.295 19.6124
1.314484 52.458 19.5429
1.324009 52.622 19.4654
1.333604 52.786 19.3798
1.343268 52.950 19.2857
1.353002 53.114 19.1830
1.362806 53.279 19.0715
1.372681 53.443 18.9508
1.382628 53.607 18.8208
1.392647 53.771 18.6814
1.402739 53.935 18.5324
1.412904 54.098 18.3737
1.423142 54.261 18.2054
1.433455 54.423 18.0277
1.443843 54.584 17.8411
1.454305 54.745 17.6464
1.464844 54.905 17.4449
1.475459 55.065 17.2378
1.486150 55.225 17.0266
1.496920 55.383 16.8122
1.507767 55.542 16.5955
1.518693 55.700 16.3767
1.529698 55.858 16.1559
1.540783 56.016 15.9331
1.551948 56.174 15.7080
1.563194 56.331 15.4804
1.574521 56.488 15.2501
1.585931 56.645 15.0167
1.597423 56.801 14.7800
1.608999 56.958 14.5396
1.620658 57.114 14.2953
1.632402 57.269 14.0467
1.644232 57.425 13.7936
1.656146 57.580 13.5356
1.668147 57.735 13.2725
1.680235 57.890 13.0040
1.692411 58.045 12.7297
1.704675 58.199 12.4494
1.717028 58.354 12.1628
1.729470 58.508 11.8696
1.742003 58.661 11.5695
1.754626 58.815 11.2623
1.767341 58.969 10.9478
1.780147 59.122 10.6258
1.793047 59.275 10.2962
1.806040 59.428 9.9593
1.819128 59.580 9.6152
1.832310 59.732 9.2644
1.845587 59.884 8.9078
1.858961 60.035 8.5460
1.872432 60.186 8.1797
1.886001 60.335 7.8095
1.899667 60.484 7.4358
1.913433 60.633 7.0589
1.927299 60.781 6.6790
1.941265 60.928 6.2964
1.955332 61.074 5.9111
1.969501 61.220 5.5231
1.983773 61.365 5.1327
1.998148 61.509 4.7397
2.012627 61.653 4.3443
2.027212 61.796 3.9464
2.041902 61.939 3.5459
2.056698 62.082 3.1428
2.071602 62.224 2.7370
2.086614 62.365 2.3285
2.101734 62.506 1.9170
2.116964 62.647 1.5025
2.132304 62.787 1.0848
2.147756 62.927 0.6637
2.163320 63.067 0.2391
2.178996 63.206 -0.1894
2.194786 63.345 -0.6218
2.210690 63.483 -1.0582
2.226710 63.621 -1.4987
2.242845 63.758 -1.9430
2.259098 63.894 -2.3911
2.275468 64.029 -2.8424
2.291957 64.163 -3.2968
2.308566 64.296 -3.7538
2.325295 64.428 -4.2131
2.342145 64.560 -4.6742
2.359117 64.691 -5.1370
2.376212 64.821 -5.6011
2.393431 64.950 -6.0662
2.410775 65.079 -6.5321
2.428244 65.207 -6.9985
2.445840 65.335 -7.4654
2.463564 65.462 -7.9325
2.481416 65.589 -8.3998
2.499397 65.715 -8.8673
2.517509 65.840 -9.3351
2.535752 65.966 -9.8036
2.554127 66.090 -10.2731
2.572635 66.214 -10.7440
2.591277 66.337 -11.2169
2.610055 66.460 -11.6921
2.628968 66.581 -12.1697
2.648019 66.702 -12.6495
2.667208 66.821 -13.1312
2.686535 66.940 -13.6144
2.706003 67.058 -14.0988
2.725612 67.175 -14.5837
2.745363 67.291 -15.0688
2.765257 67.406 -15.5535
2.785295 67.521 -16.0373
2.805478 67.636 -16.5199
2.825808 67.750 -17.0009
2.846285 67.863 -17.4800
2.866910 67.976 -17.9570
2.887685 68.088 -18.4318
2.908611 68.201 -18.9048
2.929688 68.312 -19.3763
2.950917 68.423 -19.8467
2.972301 68.533 -20.3167
2.993839 68.643 -20.7865
3.015534 68.751 -21.2563
3.037386 68.859 -21.7261
3.059396 68.966 -22.1956
3.081565 69.072 -22.6645
3.103896 69.178 -23.1325
3.126388 69.283 -23.5992
3.149043 69.388 -24.0642
3.171862 69.492 -24.5271
3.194847 69.596 -24.9874
3.217998 69.700 -25.4450
3.241317 69.804 -25.8996
3.264805 69.907 -26.3511
3.288463 70.011 -26.7996
3.312293 70.114 -27.2452
3.336295 70.216 -27.6884
3.360471 70.318 -28.1293
3.384822 70.420 -28.5684
3.409350 70.521 -29.0057
3.434056 70.622 -29.4414
3.458940 70.723 -29.8756
3.484005 70.823 -30.3083
3.509252 70.923 -30.7394
3.534681 71.023 -31.1689
3.560295 71.123 -31.5969
3.586094 71.223 -32.0230
3.612081 71.324 -32.4474
3.638255 71.424 -32.8698
3.664620 71.525 -33.2901
3.691175 71.625 -33.7083
3.717923 71.726 -34.1244
3.744864 71.827 -34.5387
3.772001 71.928 -34.9513
3.799335 72.029 -35.3628
3.826866 72.129 -35.7736
3.854597 72.230 -36.1842
3.882529 72.332 -36.5950
3.910664 72.433 -37.0064
3.939002 72.534 -37.4189
3.967546 72.636 -37.8326
3.996296 72.738 -38.2477
4.025255 72.841 -38.6639
4.054423 72.944 -39.0812
4.083804 73.047 -39.4994
4.113396 73.150 -39.9184
4.143204 73.253 -40.3384
4.173227 73.357 -40.7599
4.203468 73.461 -41.1834
4.233928 73.565 -41.6096
4.264609 73.669 -42.0389
4.295512 73.774 -42.4722
4.326639 73.878 -42.9098
4.357992 73.982 -43.3521
4.389572 74.087 -43.7991
4.421380 74.191 -44.2510
4.453419 74.296 -44.7073
4.485691 74.401 -45.1681
4.518196 74.505 -45.6332
4.550936 74.610 -46.1027
4.583914 74.714 -46.5767
4.617131 74.818 -47.0556
4.650589 74.922 -47.5396
4.684289 75.025 -48.0291
4.718233 75.128 -48.5245
4.752424 75.230 -49.0259
4.786862 75.331 -49.5337
4.821549 75.433 -50.0478
4.856488 75.533 -50.5679
4.891680 75.633 -51.0936
4.927127 75.732 -51.6245
4.962831 75.831 -52.1602
4.998794 75.928 -52.7002
5.035017 76.025 -53.2444
5.071503 76.120 -53.7926
5.108253 76.215 -54.3450
5.145270 76.308 -54.9018
5.182555 76.400 -55.4633
5.220110 76.491 -56.0294
5.257937 76.581 -56.5995
5.296038 76.669 -57.1729
5.334415 76.756 -57.7485
5.373071 76.842 -58.3255
5.412006 76.927 -58.9030
5.451224 77.010 -59.4807
5.490725 77.092 -60.0584
5.530514 77.172 -60.6363
5.570590 77.251 -61.2146
5.610957 77.328 -61.7930
5.651616 77.404 -62.3710
5.692570 77.479 -62.9476
5.733821 77.552 -63.5217
5.775370 77.625 -64.0923
5.817221 77.695 -64.6586
5.859375 77.765 -65.2203
5.901834 77.834 -65.7774
5.944602 77.901 -66.3300
5.987679 77.967 -66.8781
6.031068 78.032 -67.4214
6.074771 78.096 -67.9594
6.118792 78.160 -68.4914
6.163131 78.223 -69.0169
6.207792 78.285 -69.5353
6.252776 78.347 -70.0465
6.298086 78.408 -70.5506
6.343725 78.469 -71.0479
6.389694 78.529 -71.5387
6.435996 78.590 -72.0234
6.482634 78.650 -72.5021
6.529610 78.711 -72.9750
6.576926 78.771 -73.4422
