* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 29, 2023 2:52:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield no plug L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.658 -178.1719
20.507813 99.656 -178.3419
20.874023 99.651 -178.7791
21.240234 99.645 -179.1888
21.606445 99.641 -179.5559
21.972656 99.641 -179.9303
22.338867 99.645 179.6787
22.705078 99.653 179.2800
23.071289 99.663 178.8836
23.437500 99.675 178.4976
23.803711 99.687 178.1270
24.169922 99.699 177.7750
24.536133 99.710 177.4409
24.902344 99.720 177.1221
25.268555 99.728 176.8169
25.634766 99.733 176.5243
26.000977 99.737 176.2429
26.367188 99.740 175.9709
26.733399 99.741 175.7071
27.099610 99.742 175.4494
27.465821 99.740 175.1949
27.832032 99.737 174.9418
28.198243 99.732 174.6896
28.564454 99.724 174.4382
28.930665 99.717 174.1849
29.296876 99.710 173.9252
29.663087 99.705 173.6564
30.029298 99.700 173.3777
30.395509 99.696 173.0900
30.761720 99.692 172.7966
31.127931 99.690 172.5035
31.494142 99.688 172.2175
31.860353 99.688 171.9445
32.226563 99.688 171.6879
32.592774 99.688 171.4485
32.958985 99.687 171.2248
33.325196 99.687 171.0127
33.691407 99.685 170.8058
34.057618 99.684 170.5974
34.423829 99.682 170.3843
34.790040 99.679 170.1683
35.156251 99.676 169.9528
35.522462 99.673 169.7397
35.888673 99.670 169.5294
36.254884 99.666 169.3217
36.621095 99.661 169.1189
36.987306 99.656 168.9240
37.353517 99.650 168.7383
37.719728 99.644 168.5594
38.085939 99.639 168.3818
38.452150 99.635 168.2000
38.818361 99.632 168.0104
39.184572 99.629 167.8133
39.550783 99.624 167.6123
39.916994 99.619 167.4138
40.283205 99.613 167.2230
40.649416 99.607 167.0417
41.015627 99.602 166.8684
41.381838 99.597 166.7001
41.748049 99.592 166.5338
42.114260 99.588 166.3672
42.480471 99.584 166.2000
42.846682 99.579 166.0335
43.212893 99.574 165.8698
43.579103 99.567 165.7102
43.945314 99.561 165.5546
44.311525 99.554 165.4014
44.677736 99.549 165.2474
45.043947 99.544 165.0901
45.410158 99.539 164.9294
45.776369 99.534 164.7688
46.142580 99.527 164.6134
46.508791 99.520 164.4672
46.875002 99.513 164.3308
47.241213 99.505 164.2014
47.607424 99.497 164.0741
47.973635 99.490 163.9446
48.339846 99.484 163.8105
48.706057 99.481 163.6710
49.072268 99.478 163.5269
49.438479 99.474 163.3820
49.804690 99.469 163.2440
50.170901 99.460 163.1237
50.537112 99.448 163.0303
50.903323 99.435 162.9651
51.269534 99.423 162.9162
51.635745 99.415 162.8611
52.001956 99.409 162.7748
52.368167 99.406 162.6420
52.734378 99.403 162.4644
53.100589 99.398 162.2598
53.466800 99.391 162.0527
53.833011 99.383 161.8630
54.199222 99.376 161.6986
54.565432 99.370 161.5561
54.931643 99.366 161.4263
55.297854 99.361 161.3019
55.664065 99.355 161.1806
56.030276 99.348 161.0638
56.396487 99.339 160.9536
56.762698 99.331 160.8494
57.128909 99.323 160.7486
57.495120 99.315 160.6484
57.861331 99.308 160.5469
58.227542 99.302 160.4437
58.593753 99.296 160.3386
58.959964 99.290 160.2316
59.326175 99.283 160.1227
59.692386 99.275 160.0126
60.058597 99.267 159.9026
60.424808 99.258 159.7940
60.791019 99.249 159.6884
61.157230 99.240 159.5864
61.523441 99.231 159.4879
61.889652 99.223 159.3923
62.255863 99.215 159.2988
62.622074 99.207 159.2063
62.988285 99.199 159.1143
63.354496 99.191 159.0229
63.720707 99.183 158.9332
64.086918 99.176 158.8463
64.453129 99.169 158.7630
64.819340 99.163 158.6833
65.185551 99.157 158.6065
65.551762 99.151 158.5312
65.917972 99.144 158.4562
66.284183 99.138 158.3800
66.650394 99.131 158.3017
67.016605 99.123 158.2206
67.382816 99.114 158.1373
67.749027 99.106 158.0527
68.115238 99.097 157.9681
68.481449 99.088 157.8846
68.847660 99.080 157.8022
69.213871 99.071 157.7207
69.580082 99.063 157.6398
69.946293 99.055 157.5594
70.312504 99.047 157.4799
70.678715 99.038 157.4013
71.044926 99.030 157.3237
71.411137 99.022 157.2468
71.777348 99.014 157.1704
72.143559 99.006 157.0941
72.509770 98.998 157.0179
72.875981 98.990 156.9418
73.242192 98.981 156.8662
73.608403 98.972 156.7913
73.974614 98.963 156.7171
74.340825 98.954 156.6436
74.707036 98.945 156.5709
75.073247 98.937 156.4989
75.439458 98.928 156.4276
75.805669 98.919 156.3571
76.171880 98.910 156.2878
76.538091 98.901 156.2197
76.904301 98.892 156.1528
77.270512 98.883 156.0872
77.636723 98.874 156.0225
78.002934 98.864 155.9583
78.369145 98.855 155.8945
78.735356 98.845 155.8312
79.101567 98.835 155.7686
79.467778 98.826 155.7073
79.833989 98.816 155.6476
80.200200 98.806 155.5897
80.566411 98.796 155.5336
80.932622 98.786 155.4792
81.298833 98.777 155.4261
81.665044 98.768 155.3740
82.031255 98.759 155.3226
82.397466 98.751 155.2722
82.763677 98.742 155.2228
83.129888 98.734 155.1748
83.496099 98.726 155.1284
83.862310 98.718 155.0834
84.228521 98.710 155.0398
84.594732 98.702 154.9975
84.960943 98.694 154.9565
85.327154 98.685 154.9166
85.693365 98.677 154.8781
86.059576 98.669 154.8409
86.425787 98.660 154.8051
86.791998 98.651 154.7707
87.158209 98.643 154.7380
87.524420 98.634 154.7067
87.890631 98.625 154.6766
88.256841 98.616 154.6475
88.623052 98.608 154.6191
88.989263 98.599 154.5914
89.355474 98.590 154.5646
89.721685 98.582 154.5389
90.087896 98.573 154.5146
90.454107 98.565 154.4916
90.820318 98.557 154.4697
91.186529 98.549 154.4484
91.552740 98.540 154.4273
91.918951 98.532 154.4060
92.285162 98.523 154.3842
92.651373 98.514 154.3619
93.017584 98.504 154.3391
93.383795 98.495 154.3162
93.750006 98.486 154.2933
94.116217 98.477 154.2709
94.482428 98.468 154.2492
94.848639 98.460 154.2288
95.214850 98.451 154.2099
95.581061 98.442 154.1927
95.947272 98.433 154.1774
96.313483 98.425 154.1634
96.679694 98.416 154.1504
97.045905 98.407 154.1380
97.412116 98.399 154.1260
97.778327 98.390 154.1143
98.144538 98.382 154.1031
98.510749 98.373 154.0928
98.876960 98.364 154.0833
99.243170 98.356 154.0750
99.609381 98.347 154.0678
99.975592 98.338 154.0617
100.341803 98.329 154.0564
100.708014 98.320 154.0517
101.074225 98.311 154.0471
101.440436 98.302 154.0422
101.806647 98.294 154.0366
102.172858 98.285 154.0300
102.539069 98.275 154.0224
102.905280 98.266 154.0141
103.271491 98.256 154.0057
103.637702 98.247 153.9975
104.003913 98.237 153.9901
104.370124 98.227 153.9838
104.736335 98.218 153.9786
105.102546 98.209 153.9746
105.468757 98.200 153.9717
105.834968 98.191 153.9701
106.201179 98.182 153.9698
106.567390 98.173 153.9712
106.933601 98.165 153.9743
107.299812 98.156 153.9793
107.666023 98.148 153.9860
108.032234 98.140 153.9940
108.398445 98.131 154.0028
108.764656 98.123 154.0121
109.130867 98.115 154.0215
109.497078 98.106 154.0308
109.863289 98.098 154.0397
110.229500 98.089 154.0483
110.595710 98.081 154.0564
110.961921 98.072 154.0640
111.328132 98.062 154.0713
111.694343 98.053 154.0784
112.060554 98.044 154.0856
112.426765 98.034 154.0932
112.792976 98.024 154.1013
113.159187 98.014 154.1096
113.525398 98.004 154.1180
113.891609 97.993 154.1264
114.257820 97.983 154.1345
114.624031 97.972 154.1423
114.990242 97.961 154.1500
115.356453 97.949 154.1579
115.722664 97.937 154.1663
116.088875 97.926 154.1754
116.455086 97.914 154.1855
116.821297 97.902 154.1970
117.187508 97.891 154.2102
117.553719 97.881 154.2255
117.919930 97.872 154.2430
118.286141 97.864 154.2623
118.652352 97.858 154.2828
119.018563 97.852 154.3032
119.384774 97.848 154.3226
119.750985 97.843 154.3406
120.117196 97.837 154.3575
120.483407 97.831 154.3747
120.849618 97.825 154.3936
121.215829 97.817 154.4156
121.582040 97.810 154.4411
121.948250 97.802 154.4695
122.314461 97.794 154.4997
122.680672 97.786 154.5304
123.046883 97.778 154.5609
123.413094 97.770 154.5911
123.779305 97.762 154.6218
124.145516 97.753 154.6537
124.511727 97.744 154.6870
124.877938 97.736 154.7215
125.244149 97.727 154.7562
125.610360 97.719 154.7902
125.976571 97.710 154.8227
126.342782 97.701 154.8537
126.708993 97.692 154.8835
127.075204 97.683 154.9127
127.441415 97.674 154.9420
127.807626 97.664 154.9715
128.173837 97.655 155.0015
128.540048 97.646 155.0319
128.906259 97.637 155.0624
129.272470 97.629 155.0930
129.638681 97.620 155.1234
130.004892 97.612 155.1533
130.371103 97.604 155.1826
130.737314 97.596 155.2112
131.103525 97.588 155.2392
131.469736 97.579 155.2670
131.835947 97.571 155.2951
132.202158 97.563 155.3242
132.568369 97.554 155.3549
132.934579 97.545 155.3876
133.300790 97.537 155.4226
133.667001 97.529 155.4596
134.033212 97.521 155.4982
134.399423 97.513 155.5375
134.765634 97.506 155.5770
135.131845 97.499 155.6158
135.498056 97.491 155.6534
135.864267 97.483 155.6899
136.230478 97.475 155.7254
136.596689 97.467 155.7604
136.962900 97.458 155.7954
137.329111 97.449 155.8312
137.695322 97.439 155.8685
138.061533 97.430 155.9079
138.427744 97.420 155.9496
138.793955 97.411 155.9938
139.160166 97.401 156.0402
139.526377 97.392 156.0884
139.892588 97.384 156.1376
140.258799 97.376 156.1871
140.625010 97.368 156.2359
140.991221 97.361 156.2832
141.357432 97.354 156.3282
141.723643 97.348 156.3704
142.089854 97.341 156.4092
142.456065 97.335 156.4448
142.822276 97.328 156.4770
143.188487 97.321 156.5063
143.554698 97.313 156.5332
143.920909 97.305 156.5582
144.287119 97.297 156.5820
144.653330 97.288 156.6053
145.019541 97.279 156.6288
145.385752 97.269 156.6531
145.751963 97.259 156.6787
146.118174 97.249 156.7062
146.484385 97.239 156.7361
146.850596 97.228 156.7688
147.216807 97.217 156.8047
147.583018 97.207 156.8441
147.949229 97.196 156.8871
148.315440 97.186 156.9339
148.681651 97.176 156.9841
149.047862 97.166 157.0373
149.414073 97.156 157.0930
149.780284 97.146 157.1503
150.146495 97.137 157.2085
150.512706 97.127 157.2667
150.878917 97.118 157.3240
151.245128 97.109 157.3795
151.611339 97.100 157.4328
151.977550 97.092 157.4833
152.343761 97.084 157.5308
152.709972 97.076 157.5752
153.076183 97.069 157.6169
153.442394 97.063 157.6566
153.808605 97.057 157.6953
154.174816 97.052 157.7343
154.541027 97.047 157.7751
154.907238 97.043 157.8194
155.273448 97.040 157.8687
155.639659 97.037 157.9241
156.005870 97.033 157.9862
156.372081 97.030 158.0548
156.738292 97.025 158.1292
157.104503 97.020 158.2080
157.470714 97.013 158.2895
157.836925 97.006 158.3717
158.203136 96.998 158.4528
158.569347 96.989 158.5316
158.935558 96.980 158.6069
159.301769 96.970 158.6785
159.667980 96.960 158.7465
160.034191 96.950 158.8113
160.400402 96.940 158.8735
160.766613 96.931 158.9336
161.132824 96.921 158.9921
161.499035 96.912 159.0492
161.865246 96.903 159.1052
162.231457 96.895 159.1600
162.597668 96.886 159.2137
162.963879 96.877 159.2666
163.330090 96.869 159.3190
163.696301 96.861 159.3712
164.062512 96.853 159.4241
164.428723 96.845 159.4780
164.794934 96.837 159.5335
165.161145 96.829 159.5909
165.527356 96.821 159.6502
165.893567 96.814 159.7114
166.259778 96.806 159.7741
166.625988 96.798 159.8380
166.992199 96.790 159.9026
167.358410 96.783 159.9678
167.724621 96.775 160.0334
168.090832 96.767 160.0992
168.457043 96.759 160.1652
168.823254 96.751 160.2314
169.189465 96.743 160.2980
169.555676 96.735 160.3648
169.921887 96.727 160.4319
170.288098 96.719 160.4994
170.654309 96.711 160.5671
171.020520 96.703 160.6351
171.386731 96.695 160.7032
171.752942 96.688 160.7715
172.119153 96.680 160.8398
172.485364 96.673 160.9081
