* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 29, 2023 2:52:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield no plug R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 100.997 -176.6456
20.507813 100.992 -176.8743
20.874023 100.980 -177.4723
21.240234 100.973 -178.0572
21.606445 100.972 -178.5955
21.972656 100.978 -179.1289
22.338867 100.991 -179.6534
22.705078 101.005 179.8430
23.071289 101.019 179.3630
23.437500 101.031 178.9003
23.803711 101.042 178.4454
24.169922 101.050 177.9907
24.536133 101.057 177.5316
24.902344 101.063 177.0687
25.268555 101.069 176.6096
25.634766 101.074 176.1666
26.000977 101.078 175.7516
26.367188 101.080 175.3718
26.733399 101.081 175.0260
27.099610 101.080 174.7020
27.465821 101.077 174.3809
27.832032 101.073 174.0452
28.198243 101.067 173.6868
28.564454 101.060 173.3080
28.930665 101.052 172.9165
29.296876 101.046 172.5212
29.663087 101.042 172.1296
30.029298 101.040 171.7449
30.395509 101.039 171.3658
30.761720 101.038 170.9902
31.127931 101.037 170.6175
31.494142 101.036 170.2485
31.860353 101.036 169.8851
32.226563 101.035 169.5287
32.592774 101.034 169.1809
32.958985 101.034 168.8429
33.325196 101.033 168.5150
33.691407 101.032 168.1945
34.057618 101.030 167.8769
34.423829 101.029 167.5586
34.790040 101.026 167.2392
35.156251 101.024 166.9198
35.522462 101.021 166.6007
35.888673 101.017 166.2812
36.254884 101.012 165.9613
36.621095 101.006 165.6430
36.987306 100.998 165.3296
37.353517 100.990 165.0230
37.719728 100.981 164.7219
38.085939 100.973 164.4225
38.452150 100.966 164.1215
38.818361 100.960 163.8162
39.184572 100.954 163.5061
39.550783 100.949 163.1926
39.916994 100.943 162.8793
40.283205 100.938 162.5690
40.649416 100.932 162.2626
41.015627 100.927 161.9595
41.381838 100.922 161.6588
41.748049 100.916 161.3597
42.114260 100.910 161.0620
42.480471 100.904 160.7659
42.846682 100.897 160.4723
43.212893 100.890 160.1819
43.579103 100.883 159.8954
43.945314 100.876 159.6126
44.311525 100.870 159.3330
44.677736 100.864 159.0549
45.043947 100.859 158.7760
45.410158 100.853 158.4947
45.776369 100.847 158.2118
46.142580 100.839 157.9297
46.508791 100.831 157.6510
46.875002 100.822 157.3761
47.241213 100.814 157.1030
47.607424 100.807 156.8287
47.973635 100.800 156.5520
48.339846 100.794 156.2748
48.706057 100.789 156.0005
49.072268 100.783 155.7307
49.438479 100.776 155.4626
49.804690 100.767 155.1914
50.170901 100.754 154.9139
50.537112 100.737 154.6325
50.903323 100.717 154.3554
51.269534 100.694 154.0915
51.635745 100.673 153.8436
52.001956 100.658 153.6054
52.368167 100.649 153.3641
52.734378 100.647 153.1082
53.100589 100.648 152.8345
53.466800 100.650 152.5496
53.833011 100.649 152.2651
54.199222 100.646 151.9913
54.565432 100.640 151.7312
54.931643 100.633 151.4811
55.297854 100.625 151.2351
55.664065 100.617 150.9897
56.030276 100.608 150.7460
56.396487 100.598 150.5076
56.762698 100.589 150.2768
57.128909 100.580 150.0534
57.495120 100.572 149.8350
57.861331 100.565 149.6184
58.227542 100.558 149.4016
58.593753 100.551 149.1841
58.959964 100.543 148.9662
59.326175 100.535 148.7485
59.692386 100.527 148.5314
60.058597 100.518 148.3154
60.424808 100.509 148.1011
60.791019 100.500 147.8896
61.157230 100.490 147.6821
61.523441 100.482 147.4787
61.889652 100.473 147.2787
62.255863 100.465 147.0810
62.622074 100.457 146.8840
62.988285 100.449 146.6873
63.354496 100.441 146.4914
63.720707 100.433 146.2978
64.086918 100.424 146.1082
64.453129 100.416 145.9232
64.819340 100.408 145.7424
65.185551 100.400 145.5646
65.551762 100.391 145.3888
65.917972 100.383 145.2139
66.284183 100.374 145.0394
66.650394 100.365 144.8646
67.016605 100.355 144.6886
67.382816 100.345 144.5109
67.749027 100.335 144.3317
68.115238 100.325 144.1516
68.481449 100.314 143.9710
68.847660 100.304 143.7907
69.213871 100.294 143.6108
69.580082 100.284 143.4316
69.946293 100.274 143.2531
70.312504 100.265 143.0758
70.678715 100.256 142.9000
71.044926 100.247 142.7263
71.411137 100.239 142.5548
71.777348 100.230 142.3859
72.143559 100.221 142.2193
72.509770 100.212 142.0547
72.875981 100.203 141.8914
73.242192 100.194 141.7288
73.608403 100.184 141.5663
73.974614 100.174 141.4037
74.340825 100.164 141.2408
74.707036 100.154 141.0777
75.073247 100.144 140.9147
75.439458 100.134 140.7520
75.805669 100.124 140.5898
76.171880 100.114 140.4282
76.538091 100.104 140.2674
76.904301 100.095 140.1075
77.270512 100.085 139.9485
77.636723 100.076 139.7905
78.002934 100.067 139.6332
78.369145 100.058 139.4766
78.735356 100.049 139.3206
79.101567 100.040 139.1649
79.467778 100.031 139.0091
79.833989 100.021 138.8527
80.200200 100.011 138.6954
80.566411 100.001 138.5369
80.932622 99.990 138.3773
81.298833 99.980 138.2173
81.665044 99.969 138.0577
82.031255 99.959 137.8991
82.397466 99.949 137.7424
82.763677 99.939 137.5879
83.129888 99.929 137.4360
83.496099 99.919 137.2863
83.862310 99.909 137.1385
84.228521 99.899 136.9919
84.594732 99.888 136.8458
84.960943 99.878 136.6995
85.327154 99.867 136.5527
85.693365 99.857 136.4053
86.059576 99.846 136.2574
86.425787 99.835 136.1097
86.791998 99.824 135.9628
87.158209 99.813 135.8171
87.524420 99.802 135.6730
87.890631 99.791 135.5305
88.256841 99.780 135.3893
88.623052 99.769 135.2495
88.989263 99.759 135.1108
89.355474 99.748 134.9733
89.721685 99.738 134.8370
90.087896 99.729 134.7019
90.454107 99.719 134.5678
90.820318 99.709 134.4342
91.186529 99.700 134.3005
91.552740 99.690 134.1662
91.918951 99.680 134.0307
92.285162 99.670 133.8936
92.651373 99.659 133.7550
93.017584 99.649 133.6151
93.383795 99.638 133.4745
93.750006 99.628 133.3339
94.116217 99.618 133.1941
94.482428 99.608 133.0557
94.848639 99.598 132.9193
95.214850 99.588 132.7852
95.581061 99.578 132.6533
95.947272 99.568 132.5232
96.313483 99.558 132.3947
96.679694 99.548 132.2674
97.045905 99.539 132.1409
97.412116 99.529 132.0150
97.778327 99.520 131.8900
98.144538 99.511 131.7658
98.510749 99.501 131.6428
98.876960 99.492 131.5210
99.243170 99.483 131.4006
99.609381 99.473 131.2814
99.975592 99.464 131.1632
100.341803 99.454 131.0456
100.708014 99.444 130.9283
101.074225 99.433 130.8112
101.440436 99.422 130.6940
101.806647 99.411 130.5771
102.172858 99.400 130.4605
102.539069 99.389 130.3445
102.905280 99.378 130.2292
103.271491 99.367 130.1146
103.637702 99.356 130.0006
104.003913 99.344 129.8871
104.370124 99.333 129.7737
104.736335 99.321 129.6603
105.102546 99.310 129.5465
105.468757 99.299 129.4324
105.834968 99.288 129.3182
106.201179 99.277 129.2043
106.567390 99.266 129.0912
106.933601 99.256 128.9796
107.299812 99.245 128.8700
107.666023 99.235 128.7627
108.032234 99.226 128.6577
108.398445 99.216 128.5547
108.764656 99.207 128.4531
109.130867 99.197 128.3522
109.497078 99.188 128.2513
109.863289 99.179 128.1501
110.229500 99.169 128.0482
110.595710 99.159 127.9458
110.961921 99.149 127.8430
111.328132 99.139 127.7402
111.694343 99.129 127.6378
112.060554 99.118 127.5361
112.426765 99.108 127.4354
112.792976 99.097 127.3354
113.159187 99.086 127.2360
113.525398 99.076 127.1370
113.891609 99.065 127.0383
114.257820 99.054 126.9396
114.624031 99.042 126.8410
114.990242 99.031 126.7424
115.356453 99.019 126.6440
115.722664 99.006 126.5460
116.088875 98.993 126.4485
116.455086 98.980 126.3522
116.821297 98.967 126.2571
117.187508 98.954 126.1635
117.553719 98.943 126.0715
117.919930 98.932 125.9809
118.286141 98.923 125.8914
118.652352 98.914 125.8027
119.018563 98.907 125.7145
119.384774 98.900 125.6267
119.750985 98.894 125.5394
120.117196 98.887 125.4527
120.483407 98.880 125.3671
120.849618 98.873 125.2828
121.215829 98.865 125.1999
121.582040 98.856 125.1184
121.948250 98.847 125.0381
122.314461 98.838 124.9586
122.680672 98.829 124.8792
123.046883 98.819 124.7997
123.413094 98.809 124.7197
123.779305 98.799 124.6390
124.145516 98.789 124.5578
124.511727 98.778 124.4761
124.877938 98.768 124.3940
125.244149 98.757 124.3116
125.610360 98.747 124.2292
125.976571 98.737 124.1468
126.342782 98.727 124.0645
126.708993 98.717 123.9823
127.075204 98.707 123.9005
127.441415 98.697 123.8191
127.807626 98.688 123.7383
128.173837 98.678 123.6581
128.540048 98.669 123.5786
128.906259 98.659 123.4999
129.272470 98.650 123.4219
129.638681 98.640 123.3447
130.004892 98.631 123.2681
130.371103 98.621 123.1921
130.737314 98.611 123.1168
131.103525 98.601 123.0419
131.469736 98.591 122.9675
131.835947 98.580 122.8933
132.202158 98.570 122.8193
132.568369 98.560 122.7451
132.934579 98.550 122.6707
133.300790 98.540 122.5960
133.667001 98.530 122.5210
134.033212 98.520 122.4458
134.399423 98.510 122.3708
134.765634 98.501 122.2962
135.131845 98.491 122.2224
135.498056 98.482 122.1496
135.864267 98.473 122.0780
136.230478 98.464 122.0077
136.596689 98.455 121.9384
136.962900 98.445 121.8699
137.329111 98.436 121.8021
137.695322 98.427 121.7343
138.061533 98.418 121.6663
138.427744 98.409 121.5979
138.793955 98.400 121.5288
139.160166 98.391 121.4590
139.526377 98.382 121.3884
139.892588 98.373 121.3171
140.258799 98.364 121.2453
140.625010 98.355 121.1732
140.991221 98.345 121.1009
141.357432 98.336 121.0287
141.723643 98.326 120.9568
142.089854 98.316 120.8853
142.456065 98.307 120.8142
142.822276 98.297 120.7437
143.188487 98.287 120.6736
143.554698 98.277 120.6041
143.920909 98.268 120.5349
144.287119 98.258 120.4660
144.653330 98.248 120.3973
145.019541 98.239 120.3289
145.385752 98.230 120.2605
145.751963 98.220 120.1924
146.118174 98.211 120.1245
146.484385 98.201 120.0572
146.850596 98.192 119.9905
147.216807 98.182 119.9247
147.583018 98.173 119.8600
147.949229 98.163 119.7964
148.315440 98.153 119.7339
148.681651 98.144 119.6725
149.047862 98.134 119.6122
149.414073 98.124 119.5527
149.780284 98.115 119.4939
150.146495 98.105 119.4357
150.512706 98.096 119.3778
150.878917 98.087 119.3201
151.245128 98.078 119.2626
151.611339 98.069 119.2052
151.977550 98.059 119.1477
152.343761 98.051 119.0901
152.709972 98.042 119.0323
153.076183 98.033 118.9742
153.442394 98.023 118.9158
153.808605 98.014 118.8570
154.174816 98.005 118.7978
154.541027 97.996 118.7381
154.907238 97.986 118.6779
155.273448 97.977 118.6172
155.639659 97.968 118.5561
156.005870 97.958 118.4945
156.372081 97.948 118.4326
156.738292 97.938 118.3704
157.104503 97.928 118.3080
157.470714 97.918 118.2456
157.836925 97.908 118.1834
158.203136 97.898 118.1215
158.569347 97.888 118.0599
158.935558 97.879 117.9989
159.301769 97.869 117.9384
159.667980 97.859 117.8785
160.034191 97.850 117.8192
160.400402 97.840 117.7605
160.766613 97.831 117.7023
161.132824 97.822 117.6446
161.499035 97.813 117.5873
161.865246 97.805 117.5305
162.231457 97.796 117.4742
162.597668 97.788 117.4183
162.963879 97.779 117.3631
163.330090 97.771 117.3086
163.696301 97.762 117.2550
164.062512 97.754 117.2026
164.428723 97.745 117.1514
164.794934 97.737 117.1015
165.161145 97.728 117.0530
165.527356 97.720 117.0057
165.893567 97.711 116.9595
166.259778 97.703 116.9141
166.625988 97.694 116.8693
166.992199 97.686 116.8248
167.358410 97.677 116.7803
167.724621 97.669 116.7358
168.090832 97.660 116.6911
168.457043 97.652 116.6462
168.823254 97.643 116.6011
169.189465 97.635 116.5560
169.555676 97.626 116.5109
169.921887 97.617 116.4658
170.288098 97.609 116.4210
170.654309 97.600 116.3763
171.020520 97.592 116.3321
171.386731 97.583 116.2881
171.752942 97.574 116.2446
172.119153 97.565 116.2015
172.485364 97.557 116.1588
