* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 1, 24 7:46:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Stellaris R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.654 -168.9120
20.287556 91.661 -168.9030
20.434568 91.671 -168.9407
20.582645 91.683 -169.0162
20.731796 91.695 -169.1232
20.882027 91.708 -169.2594
21.033346 91.718 -169.4263
21.185762 91.727 -169.6299
21.339283 91.732 -169.8632
21.493916 91.734 -170.1252
21.649670 91.732 -170.4136
21.806553 91.726 -170.7246
21.964573 91.717 -171.0532
22.123737 91.704 -171.4006
22.284056 91.690 -171.7558
22.445536 91.675 -172.1109
22.608185 91.659 -172.4603
22.772013 91.644 -172.7995
22.937029 91.631 -173.1244
23.103241 91.620 -173.4374
23.270657 91.611 -173.7348
23.439285 91.606 -174.0133
23.609137 91.604 -174.2730
23.780218 91.604 -174.5148
23.952539 91.606 -174.7402
24.126110 91.610 -174.9564
24.300938 91.614 -175.1610
24.477032 91.617 -175.3531
24.654402 91.619 -175.5329
24.833057 91.619 -175.7005
25.013008 91.616 -175.8557
25.194263 91.610 -176.0041
25.376831 91.601 -176.1389
25.560722 91.588 -176.2607
25.745945 91.572 -176.3714
25.932510 91.555 -176.4745
26.120428 91.536 -176.5804
26.309708 91.517 -176.6937
26.500359 91.497 -176.8198
26.692390 91.478 -176.9665
26.885815 91.460 -177.1406
27.080641 91.443 -177.3496
27.276878 91.426 -177.5965
27.474539 91.410 -177.8764
27.673630 91.395 -178.1849
27.874165 91.381 -178.5155
28.076153 91.368 -178.8622
28.279604 91.359 -179.2183
28.484529 91.352 -179.5733
28.690941 91.350 -179.9221
28.898848 91.351 179.7385
29.108261 91.357 179.4069
29.319191 91.365 179.0831
29.531651 91.375 178.7687
29.745649 91.386 178.4629
29.961199 91.395 178.1656
30.178310 91.401 177.8729
30.396996 91.404 177.5882
30.617264 91.403 177.3118
30.839128 91.399 177.0419
31.062601 91.393 176.7733
31.287693 91.386 176.4986
31.514416 91.379 176.2148
31.742783 91.374 175.9164
31.972803 91.370 175.6000
32.204491 91.368 175.2627
32.437859 91.367 174.9117
32.672916 91.367 174.5568
32.909679 91.366 174.2102
33.148155 91.364 173.8827
33.388359 91.361 173.5882
33.630306 91.355 173.3381
33.874004 91.348 173.1369
34.119469 91.339 172.9807
34.366711 91.328 172.8617
34.615746 91.317 172.7690
34.866585 91.303 172.6873
35.119244 91.288 172.5991
35.373734 91.270 172.4909
35.630066 91.250 172.3558
35.888256 91.227 172.1903
36.148315 91.201 171.9936
36.410259 91.174 171.7721
36.674103 91.146 171.5355
36.939857 91.120 171.2916
37.207539 91.095 171.0447
37.477161 91.074 170.7996
37.748737 91.056 170.5576
38.022282 91.041 170.3179
38.297806 91.028 170.0760
38.575329 91.014 169.8357
38.854862 90.999 169.5982
39.136421 90.982 169.3651
39.420021 90.962 169.1392
39.705673 90.940 168.9234
39.993397 90.917 168.7182
40.283207 90.893 168.5199
40.575115 90.870 168.3289
40.869141 90.847 168.1431
41.165295 90.827 167.9587
41.463596 90.807 167.7755
41.764057 90.789 167.5951
42.066696 90.772 167.4167
42.371529 90.755 167.2385
42.678570 90.739 167.0597
42.987835 90.722 166.8778
43.299343 90.704 166.6874
43.613110 90.684 166.4891
43.929150 90.664 166.2821
44.247478 90.641 166.0645
44.568115 90.618 165.8402
44.891075 90.595 165.6147
45.216373 90.572 165.3931
45.544029 90.549 165.1822
45.874062 90.529 164.9871
46.206486 90.511 164.8072
46.541317 90.495 164.6387
46.878574 90.481 164.4749
47.218277 90.466 164.3070
47.560440 90.449 164.1317
47.905083 90.426 163.9524
48.252224 90.397 163.7750
48.601879 90.362 163.6083
48.954067 90.323 163.4574
49.308807 90.284 163.3195
49.666119 90.247 163.1873
50.026020 90.213 163.0514
50.388531 90.182 162.9034
50.753666 90.153 162.7455
51.121449 90.127 162.5815
51.491894 90.101 162.4172
51.865025 90.077 162.2582
52.240860 90.053 162.1043
52.619419 90.030 161.9534
53.000721 90.006 161.8031
53.384785 89.982 161.6498
53.771633 89.956 161.4957
54.161285 89.929 161.3414
54.553761 89.902 161.1878
54.949081 89.874 161.0356
55.347263 89.847 160.8829
55.748333 89.820 160.7302
56.152309 89.795 160.5774
56.559212 89.770 160.4247
56.969063 89.745 160.2740
57.381886 89.721 160.1240
57.797699 89.696 159.9788
58.216526 89.670 159.8401
58.638386 89.642 159.7087
59.063305 89.613 159.5843
59.491302 89.583 159.4635
59.922401 89.553 159.3445
60.356625 89.521 159.2227
60.793995 89.490 159.0972
61.234531 89.458 158.9684
61.678261 89.426 158.8384
62.125206 89.395 158.7103
62.575390 89.365 158.5851
63.028835 89.336 158.4626
63.485569 89.309 158.3408
63.945610 89.281 158.2220
64.408989 89.252 158.1062
64.875725 89.223 157.9947
65.345840 89.192 157.8850
65.819366 89.160 157.7738
66.296318 89.129 157.6568
66.776726 89.099 157.5348
67.260620 89.069 157.4108
67.748016 89.039 157.2849
68.238945 89.011 157.1512
68.733429 88.983 157.0005
69.231499 88.958 156.8217
69.733177 88.936 156.6028
70.238495 88.917 156.3422
70.747475 88.897 156.0611
71.260139 88.873 155.8048
71.776520 88.843 155.6277
72.296638 88.808 155.5642
72.820526 88.770 155.6057
73.348213 88.732 155.7050
73.879723 88.695 155.8057
74.415085 88.658 155.8662
74.954330 88.622 155.8752
75.497482 88.587 155.8406
76.044571 88.553 155.7783
76.595619 88.521 155.7042
77.150665 88.488 155.6298
77.709732 88.455 155.5594
78.272850 88.422 155.4918
78.840050 88.388 155.4232
79.411354 88.355 155.3521
79.986801 88.322 155.2786
80.566422 88.289 155.2051
81.150238 88.257 155.1365
81.738289 88.225 155.0765
82.330597 88.193 155.0239
82.927200 88.162 154.9764
83.528122 88.132 154.9306
84.133400 88.101 154.8795
84.743065 88.070 154.8185
85.357147 88.037 154.7502
85.975677 88.003 154.6809
86.598694 87.968 154.6205
87.226227 87.933 154.5714
87.858307 87.898 154.5332
88.494965 87.863 154.5036
89.136238 87.829 154.4744
89.782158 87.797 154.4374
90.432755 87.767 154.3864
91.088066 87.737 154.3220
91.748131 87.707 154.2499
92.412979 87.678 154.1748
93.082642 87.648 154.1015
93.757156 87.619 154.0321
94.436562 87.590 153.9706
95.120888 87.561 153.9196
95.810173 87.531 153.8813
96.504456 87.499 153.8585
97.203766 87.464 153.8465
97.908142 87.427 153.8364
98.617622 87.390 153.8246
99.332245 87.353 153.8058
100.052048 87.317 153.7791
100.777069 87.284 153.7430
101.507339 87.251 153.7003
102.242905 87.217 153.6536
102.983795 87.183 153.6096
103.730057 87.147 153.5735
104.481728 87.110 153.5545
105.238846 87.074 153.5508
106.001450 87.039 153.5556
106.769577 87.006 153.5595
107.543274 86.974 153.5626
108.322578 86.944 153.5662
109.107529 86.913 153.5714
109.898170 86.881 153.5747
110.694534 86.849 153.5756
111.496674 86.816 153.5732
112.304626 86.782 153.5648
113.118431 86.749 153.5485
113.938133 86.716 153.5253
114.763779 86.682 153.4973
115.595406 86.647 153.4710
116.433060 86.611 153.4487
117.276779 86.574 153.4349
118.126617 86.537 153.4329
118.982613 86.502 153.4322
119.844810 86.472 153.4300
120.713257 86.448 153.4193
121.587997 86.430 153.3918
122.469070 86.412 153.3439
123.356529 86.391 153.2784
124.250420 86.366 153.2053
125.150787 86.339 153.1437
126.057678 86.308 153.1242
126.971146 86.276 153.1660
127.891228 86.243 153.2563
128.817978 86.209 153.3683
129.751450 86.174 153.4667
130.691681 86.137 153.5297
131.638733 86.097 153.5558
132.592636 86.055 153.5598
133.553452 86.010 153.5638
134.521240 85.966 153.5903
135.496033 85.925 153.6493
136.477890 85.886 153.7379
137.466858 85.849 153.8547
138.462997 85.811 153.9999
139.466354 85.773 154.1704
140.476990 85.736 154.3586
141.494949 85.701 154.5457
142.520279 85.667 154.7086
143.553040 85.634 154.8257
144.593277 85.601 154.8868
145.641052 85.568 154.9055
146.696426 85.533 154.9031
147.759445 85.496 154.8970
148.830170 85.458 154.8963
149.908661 85.421 154.9131
150.994965 85.384 154.9558
152.089142 85.348 155.0178
153.191238 85.313 155.0953
154.301331 85.278 155.1827
155.419464 85.245 155.2766
156.545700 85.214 155.3836
157.680099 85.183 155.5128
158.822708 85.152 155.6745
159.973602 85.122 155.8783
161.132843 85.094 156.1149
162.300476 85.071 156.3720
163.476578 85.053 156.6370
164.661194 85.043 156.8990
165.854401 85.041 157.1450
167.056244 85.044 157.3578
168.266800 85.053 157.5163
169.486130 85.063 157.6181
170.714294 85.073 157.6740
171.951355 85.078 157.6938
173.197388 85.079 157.6853
174.452454 85.075 157.6548
175.716614 85.067 157.6107
176.989929 85.057 157.5609
178.272476 85.041 157.5042
179.564316 85.021 157.4504
180.865509 84.997 157.4099
182.176132 84.970 157.3797
183.496262 84.942 157.3718
184.825958 84.912 157.3848
186.165283 84.882 157.4138
187.514313 84.849 157.4467
188.873123 84.816 157.4667
190.241776 84.783 157.4801
191.620346 84.751 157.4807
193.008911 84.720 157.4841
194.407532 84.689 157.4800
195.816284 84.660 157.4860
197.235245 84.631 157.4993
198.664490 84.604 157.5252
200.104095 84.576 157.5664
201.554138 84.549 157.6233
203.014679 84.522 157.6960
204.485809 84.493 157.7816
205.967590 84.464 157.8789
207.460114 84.435 157.9843
208.963455 84.407 158.0997
210.477692 84.382 158.2190
212.002899 84.361 158.3424
213.539154 84.341 158.4730
215.086548 84.319 158.6011
216.645157 84.292 158.7100
218.215057 84.262 158.7784
219.796341 84.228 158.8141
221.389069 84.194 158.8409
222.993347 84.161 158.8804
224.609253 84.130 158.9449
226.236862 84.102 159.0260
227.876266 84.077 159.1081
229.527557 84.054 159.1793
231.190811 84.030 159.2333
232.866119 84.003 159.2746
234.553558 83.971 159.3049
236.253235 83.932 159.3416
237.965225 83.889 159.3998
239.689621 83.842 159.4909
241.426514 83.795 159.6282
243.175995 83.751 159.8047
244.938141 83.714 159.9998
246.713058 83.687 160.1854
248.500839 83.670 160.3467
250.301575 83.662 160.4739
252.115356 83.662 160.5859
253.942291 83.665 160.7086
255.782455 83.666 160.8547
257.635956 83.661 161.0289
259.502899 83.647 161.2095
261.383362 83.626 161.3802
263.277466 83.601 161.5398
265.185272 83.575 161.6823
267.106903 83.549 161.8185
269.042480 83.525 161.9520
270.992065 83.501 162.0905
272.955780 83.479 162.2290
274.933716 83.458 162.3663
276.925995 83.436 162.5048
278.932709 83.415 162.6359
280.953979 83.394 162.7671
282.989899 83.372 162.9013
285.040558 83.352 163.0300
287.106079 83.332 163.1595
289.186554 83.312 163.2912
291.282104 83.294 163.4263
293.392853 83.276 163.5643
295.518890 83.257 163.7068
297.660339 83.238 163.8491
299.817322 83.219 163.9916
301.989929 83.200 164.1382
304.178284 83.181 164.2842
306.382477 83.162 164.4308
308.602661 83.143 164.5820
310.838928 83.125 164.7359
313.091400 83.107 164.8900
315.360199 83.089 165.0447
317.645416 83.071 165.1961
319.947205 83.054 165.3489
322.265686 83.036 165.4994
324.600952 83.019 165.6501
326.953156 83.002 165.8047
329.322388 82.985 165.9605
331.708801 82.969 166.1174
334.112488 82.952 166.2756
336.533600 82.936 166.4361
338.972260 82.919 166.5970
341.428589 82.903 166.7598
343.902710 82.887 166.9229
346.394775 82.871 167.0886
348.904907 82.855 167.2549
351.433228 82.840 167.4243
353.979858 82.825 167.5899
356.544952 82.810 167.7538
359.128632 82.795 167.9153
361.731018 82.780 168.0740
364.352264 82.766 168.2345
366.992523 82.751 168.3964
369.651917 82.737 168.5667
372.330566 82.724 168.7334
375.028625 82.710 168.9104
377.746246 82.697 169.0851
380.483551 82.683 169.2620
383.240692 82.670 169.4360
386.017822 82.658 169.6105
388.815063 82.645 169.7884
391.632568 82.633 169.9619
394.470490 82.621 170.1393
397.328979 82.609 170.3191
