* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2024 11:32:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop x Crinicle DUSK R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.019 19.6085
20.507813 98.987 19.0452
20.874023 98.908 17.5612
21.240234 98.844 16.1411
21.606445 98.814 15.0384
21.972656 98.822 14.3026
22.338867 98.868 13.9273
22.705078 98.939 13.7681
23.071289 99.009 13.6133
23.437500 99.051 13.3002
23.803711 99.047 12.7702
24.169922 98.996 12.0654
24.536133 98.917 11.2807
24.902344 98.839 10.5044
25.268555 98.786 9.7819
25.634766 98.768 9.1170
26.000977 98.776 8.4992
26.367188 98.789 7.9323
26.733399 98.787 7.4412
27.099610 98.758 7.0545
27.465821 98.705 6.7787
27.832032 98.643 6.5803
28.198243 98.590 6.3894
28.564454 98.562 6.1241
28.930665 98.562 5.7269
29.296876 98.582 5.1971
29.663087 98.607 4.6013
30.029298 98.622 4.0526
30.395509 98.621 3.6603
30.761720 98.607 3.4718
31.127931 98.589 3.4397
31.494142 98.575 3.4422
31.860353 98.561 3.3495
32.226563 98.543 3.0948
32.592774 98.515 2.6992
32.958985 98.483 2.2320
33.325196 98.457 1.7449
33.691407 98.444 1.2382
34.057618 98.439 0.6907
34.423829 98.428 0.1253
34.790040 98.397 -0.3606
35.156251 98.350 -0.6427
35.522462 98.306 -0.6758
35.888673 98.291 -0.5682
36.254884 98.311 -0.5470
36.621095 98.350 -0.8197
36.987306 98.372 -1.4302
37.353517 98.351 -2.2208
37.719728 98.286 -2.9342
38.085939 98.204 -3.3854
38.452150 98.139 -3.5782
38.818361 98.109 -3.6828
39.184572 98.102 -3.8894
39.550783 98.089 -4.2533
39.916994 98.044 -4.6520
40.283205 97.971 -4.8847
40.649416 97.899 -4.8377
41.015627 97.869 -4.5903
41.381838 97.901 -4.3774
41.748049 97.981 -4.4378
42.114260 98.070 -4.8566
42.480471 98.130 -5.5135
42.846682 98.140 -6.1595
43.212893 98.108 -6.5637
43.579103 98.056 -6.6353
43.945314 98.008 -6.4570
44.311525 97.976 -6.2206
44.677736 97.953 -6.1162
45.043947 97.926 -6.2412
45.410158 97.882 -6.5744
45.776369 97.821 -7.0149
46.142580 97.752 -7.4469
46.508791 97.692 -7.7926
46.875002 97.653 -8.0298
47.241213 97.637 -8.1792
47.607424 97.640 -8.2791
47.973635 97.649 -8.3652
48.339846 97.654 -8.4631
48.706057 97.645 -8.5888
49.072268 97.621 -8.7510
49.438479 97.584 -8.9496
49.804690 97.537 -9.1741
50.170901 97.488 -9.4033
50.537112 97.446 -9.6114
50.903323 97.415 -9.7754
51.269534 97.400 -9.8837
51.635745 97.399 -9.9399
52.001956 97.410 -9.9634
52.368167 97.426 -9.9845
52.734378 97.441 -10.0362
53.100589 97.448 -10.1449
53.466800 97.443 -10.3212
53.833011 97.423 -10.5567
54.199222 97.390 -10.8268
54.565432 97.347 -11.0993
54.931643 97.300 -11.3455
55.297854 97.254 -11.5468
55.664065 97.212 -11.6964
56.030276 97.176 -11.7954
56.396487 97.144 -11.8481
56.762698 97.115 -11.8588
57.128909 97.086 -11.8315
57.495120 97.057 -11.7720
57.861331 97.028 -11.6895
58.227542 97.000 -11.5982
58.593753 96.973 -11.5162
58.959964 96.948 -11.4640
59.326175 96.927 -11.4621
59.692386 96.909 -11.5279
60.058597 96.894 -11.6724
60.424808 96.881 -11.8970
60.791019 96.869 -12.1927
61.157230 96.858 -12.5406
61.523441 96.848 -12.9144
61.889652 96.840 -13.2846
62.255863 96.833 -13.6220
62.622074 96.829 -13.9004
62.988285 96.825 -14.1000
63.354496 96.819 -14.2086
63.720707 96.809 -14.2247
64.086918 96.792 -14.1587
64.453129 96.766 -14.0336
64.819340 96.731 -13.8819
65.185551 96.687 -13.7400
65.551762 96.637 -13.6393
65.917972 96.584 -13.5985
66.284183 96.534 -13.6188
66.650394 96.492 -13.6856
67.016605 96.462 -13.7741
67.382816 96.446 -13.8582
67.749027 96.442 -13.9178
68.115238 96.448 -13.9431
68.481449 96.456 -13.9351
68.847660 96.461 -13.9042
69.213871 96.460 -13.8670
69.580082 96.449 -13.8420
69.946293 96.430 -13.8443
70.312504 96.405 -13.8810
70.678715 96.378 -13.9484
71.044926 96.350 -14.0330
71.411137 96.327 -14.1171
71.777348 96.308 -14.1855
72.143559 96.294 -14.2314
72.509770 96.283 -14.2572
72.875981 96.272 -14.2715
73.242192 96.259 -14.2844
73.608403 96.243 -14.3038
73.974614 96.224 -14.3347
74.340825 96.203 -14.3812
74.707036 96.183 -14.4476
75.073247 96.166 -14.5388
75.439458 96.152 -14.6574
75.805669 96.139 -14.8006
76.171880 96.126 -14.9593
76.538091 96.111 -15.1186
76.904301 96.092 -15.2619
77.270512 96.070 -15.3754
77.636723 96.047 -15.4521
78.002934 96.025 -15.4940
78.369145 96.003 -15.5100
78.735356 95.984 -15.5132
79.101567 95.966 -15.5159
79.467778 95.949 -15.5255
79.833989 95.931 -15.5423
80.200200 95.912 -15.5593
80.566411 95.891 -15.5654
80.932622 95.871 -15.5489
81.298833 95.850 -15.5026
81.665044 95.830 -15.4274
82.031255 95.810 -15.3343
82.397466 95.790 -15.2430
82.763677 95.767 -15.1761
83.129888 95.738 -15.1516
83.496099 95.703 -15.1756
83.862310 95.661 -15.2388
84.228521 95.613 -15.3191
84.594732 95.566 -15.3903
84.960943 95.524 -15.4333
85.327154 95.495 -15.4439
85.693365 95.481 -15.4337
86.059576 95.484 -15.4234
86.425787 95.500 -15.4312
86.791998 95.524 -15.4628
87.158209 95.551 -15.5084
87.524420 95.577 -15.5473
87.890631 95.603 -15.5595
88.256841 95.630 -15.5362
88.623052 95.656 -15.4856
88.989263 95.682 -15.4294
89.355474 95.702 -15.3927
89.721685 95.712 -15.3933
90.087896 95.705 -15.4342
90.454107 95.679 -15.5044
90.820318 95.636 -15.5858
91.186529 95.581 -15.6617
91.552740 95.520 -15.7234
91.918951 95.461 -15.7706
92.285162 95.408 -15.8073
92.651373 95.366 -15.8375
93.017584 95.333 -15.8611
93.383795 95.307 -15.8747
93.750006 95.288 -15.8752
94.116217 95.270 -15.8625
94.482428 95.255 -15.8416
94.848639 95.239 -15.8214
95.214850 95.224 -15.8112
95.581061 95.208 -15.8179
95.947272 95.193 -15.8437
96.313483 95.178 -15.8857
96.679694 95.164 -15.9378
97.045905 95.150 -15.9922
97.412116 95.137 -16.0423
97.778327 95.124 -16.0834
98.144538 95.111 -16.1131
98.510749 95.098 -16.1309
98.876960 95.086 -16.1367
99.243170 95.074 -16.1297
99.609381 95.062 -16.1077
99.975592 95.051 -16.0676
100.341803 95.041 -16.0063
100.708014 95.030 -15.9225
101.074225 95.018 -15.8191
101.440436 95.005 -15.7038
101.806647 94.992 -15.5905
102.172858 94.977 -15.4964
102.539069 94.962 -15.4395
102.905280 94.945 -15.4328
103.271491 94.928 -15.4803
103.637702 94.909 -15.5750
104.003913 94.888 -15.6998
104.370124 94.867 -15.8322
104.736335 94.844 -15.9505
105.102546 94.822 -16.0387
105.468757 94.802 -16.0896
105.834968 94.782 -16.1042
106.201179 94.764 -16.0896
106.567390 94.747 -16.0555
106.933601 94.730 -16.0117
107.299812 94.715 -15.9660
107.666023 94.701 -15.9237
108.032234 94.688 -15.8877
108.398445 94.678 -15.8586
108.764656 94.668 -15.8353
109.130867 94.661 -15.8161
109.497078 94.654 -15.7994
109.863289 94.649 -15.7848
110.229500 94.644 -15.7732
110.595710 94.638 -15.7664
110.961921 94.633 -15.7655
111.328132 94.627 -15.7703
111.694343 94.619 -15.7785
112.060554 94.610 -15.7859
112.426765 94.600 -15.7877
112.792976 94.589 -15.7796
113.159187 94.576 -15.7591
113.525398 94.562 -15.7261
113.891609 94.547 -15.6827
114.257820 94.531 -15.6324
114.624031 94.514 -15.5796
114.990242 94.495 -15.5283
115.356453 94.475 -15.4817
115.722664 94.454 -15.4422
116.088875 94.433 -15.4114
116.455086 94.411 -15.3897
116.821297 94.390 -15.3767
117.187508 94.370 -15.3712
117.553719 94.350 -15.3711
117.919930 94.331 -15.3738
118.286141 94.313 -15.3768
118.652352 94.296 -15.3782
119.018563 94.281 -15.3766
119.384774 94.266 -15.3713
119.750985 94.254 -15.3618
120.117196 94.243 -15.3474
120.483407 94.234 -15.3270
120.849618 94.227 -15.2991
121.215829 94.222 -15.2631
121.582040 94.219 -15.2191
121.948250 94.218 -15.1691
122.314461 94.218 -15.1164
122.680672 94.218 -15.0655
123.046883 94.216 -15.0204
123.413094 94.213 -14.9841
123.779305 94.206 -14.9573
124.145516 94.195 -14.9386
124.511727 94.182 -14.9245
124.877938 94.165 -14.9107
125.244149 94.146 -14.8926
125.610360 94.127 -14.8667
125.976571 94.108 -14.8313
126.342782 94.090 -14.7865
126.708993 94.073 -14.7346
127.075204 94.058 -14.6790
127.441415 94.044 -14.6239
127.807626 94.030 -14.5728
128.173837 94.017 -14.5280
128.540048 94.003 -14.4900
128.906259 93.989 -14.4577
129.272470 93.974 -14.4292
129.638681 93.958 -14.4022
130.004892 93.944 -14.3751
130.371103 93.930 -14.3472
130.737314 93.917 -14.3186
131.103525 93.906 -14.2900
131.469736 93.897 -14.2621
131.835947 93.889 -14.2353
132.202158 93.883 -14.2094
132.568369 93.879 -14.1839
132.934579 93.875 -14.1577
133.300790 93.871 -14.1296
133.667001 93.867 -14.0987
134.033212 93.862 -14.0639
134.399423 93.856 -14.0248
134.765634 93.848 -13.9812
135.131845 93.838 -13.9332
135.498056 93.825 -13.8815
135.864267 93.810 -13.8269
136.230478 93.794 -13.7703
136.596689 93.777 -13.7129
136.962900 93.760 -13.6556
137.329111 93.742 -13.5990
137.695322 93.725 -13.5436
138.061533 93.708 -13.4894
138.427744 93.691 -13.4362
138.793955 93.675 -13.3836
139.160166 93.659 -13.3310
139.526377 93.643 -13.2780
139.892588 93.628 -13.2238
140.258799 93.612 -13.1682
140.625010 93.596 -13.1108
140.991221 93.580 -13.0514
141.357432 93.564 -12.9900
141.723643 93.548 -12.9270
142.089854 93.532 -12.8629
142.456065 93.515 -12.7983
142.822276 93.498 -12.7341
143.188487 93.481 -12.6709
143.554698 93.463 -12.6094
143.920909 93.446 -12.5499
144.287119 93.428 -12.4925
144.653330 93.412 -12.4370
145.019541 93.396 -12.3830
145.385752 93.381 -12.3302
145.751963 93.367 -12.2778
146.118174 93.354 -12.2255
146.484385 93.342 -12.1727
146.850596 93.331 -12.1189
147.216807 93.322 -12.0639
147.583018 93.313 -12.0070
147.949229 93.306 -11.9478
148.315440 93.299 -11.8855
148.681651 93.294 -11.8193
149.047862 93.291 -11.7484
149.414073 93.289 -11.6726
149.780284 93.288 -11.5925
150.146495 93.289 -11.5106
150.512706 93.290 -11.4307
150.878917 93.293 -11.3587
151.245128 93.297 -11.3015
151.611339 93.302 -11.2667
151.977550 93.309 -11.2610
152.343761 93.317 -11.2890
152.709972 93.328 -11.3520
153.076183 93.340 -11.4466
153.442394 93.354 -11.5645
153.808605 93.369 -11.6920
154.174816 93.383 -11.8112
154.541027 93.395 -11.9012
154.907238 93.403 -11.9414
155.273448 93.405 -11.9138
155.639659 93.401 -11.8067
156.005870 93.391 -11.6165
156.372081 93.377 -11.3489
156.738292 93.358 -11.0181
157.104503 93.339 -10.6443
157.470714 93.319 -10.2507
157.836925 93.302 -9.8593
158.203136 93.289 -9.4883
158.569347 93.280 -9.1499
158.935558 93.277 -8.8497
159.301769 93.279 -8.5877
159.667980 93.285 -8.3596
160.034191 93.294 -8.1583
160.400402 93.307 -7.9760
160.766613 93.320 -7.8057
161.132824 93.334 -7.6417
161.499035 93.347 -7.4804
161.865246 93.360 -7.3206
162.231457 93.370 -7.1630
162.597668 93.379 -7.0101
162.963879 93.387 -6.8654
163.330090 93.394 -6.7329
