* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2024 11:21:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pula PA02 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.876 -169.7542
20.507813 92.874 -170.0499
20.874023 92.865 -170.8351
21.240234 92.842 -171.6328
21.606445 92.810 -172.3830
21.972656 92.777 -173.1108
22.338867 92.753 -173.8107
22.705078 92.743 -174.4992
23.071289 92.747 -175.2041
23.437500 92.758 -175.9314
23.803711 92.769 -176.6605
24.169922 92.775 -177.3568
24.536133 92.774 -177.9940
24.902344 92.769 -178.5700
25.268555 92.762 -179.1054
25.634766 92.753 -179.6279
26.000977 92.741 179.8438
26.367188 92.726 179.3055
26.733399 92.709 178.7628
27.099610 92.692 178.2208
27.465821 92.676 177.6803
27.832032 92.660 177.1402
28.198243 92.644 176.6017
28.564454 92.628 176.0704
28.930665 92.611 175.5527
29.296876 92.594 175.0519
29.663087 92.577 174.5659
30.029298 92.562 174.0891
30.395509 92.548 173.6161
30.761720 92.534 173.1447
31.127931 92.518 172.6752
31.494142 92.501 172.2104
31.860353 92.481 171.7528
32.226563 92.459 171.3043
32.592774 92.436 170.8647
32.958985 92.414 170.4323
33.325196 92.392 170.0039
33.691407 92.372 169.5771
34.057618 92.352 169.1522
34.423829 92.332 168.7325
34.790040 92.312 168.3231
35.156251 92.292 167.9271
35.522462 92.271 167.5438
35.888673 92.250 167.1682
36.254884 92.229 166.7938
36.621095 92.208 166.4166
36.987306 92.186 166.0369
37.353517 92.163 165.6594
37.719728 92.138 165.2908
38.085939 92.112 164.9356
38.452150 92.086 164.5942
38.818361 92.060 164.2623
39.184572 92.036 163.9333
39.550783 92.012 163.6014
39.916994 91.990 163.2640
40.283205 91.969 162.9222
40.649416 91.948 162.5800
41.015627 91.927 162.2425
41.381838 91.906 161.9148
41.748049 91.883 161.6006
42.114260 91.859 161.3007
42.480471 91.834 161.0114
42.846682 91.807 160.7245
43.212893 91.780 160.4310
43.579103 91.753 160.1269
43.945314 91.725 159.8182
44.311525 91.698 159.5194
44.677736 91.672 159.2463
45.043947 91.650 159.0061
45.410158 91.630 158.7921
45.776369 91.611 158.5889
46.142580 91.590 158.3837
46.508791 91.562 158.1771
46.875002 91.527 157.9823
47.241213 91.488 157.8137
47.607424 91.452 157.6705
47.973635 91.426 157.5301
48.339846 91.412 157.3554
48.706057 91.410 157.1142
49.072268 91.412 156.7978
49.438479 91.412 156.4258
49.804690 91.405 156.0368
50.170901 91.389 155.6690
50.537112 91.366 155.3444
50.903323 91.339 155.0637
51.269534 91.313 154.8126
51.635745 91.289 154.5726
52.001956 91.268 154.3307
52.368167 91.250 154.0817
52.734378 91.235 153.8268
53.100589 91.221 153.5695
53.466800 91.208 153.3139
53.833011 91.193 153.0640
54.199222 91.174 152.8235
54.565432 91.152 152.5954
54.931643 91.127 152.3806
55.297854 91.100 152.1763
55.664065 91.073 151.9768
56.030276 91.048 151.7751
56.396487 91.024 151.5665
56.762698 91.003 151.3500
57.128909 90.981 151.1295
57.495120 90.960 150.9114
57.861331 90.938 150.7011
58.227542 90.915 150.5002
58.593753 90.892 150.3057
58.959964 90.868 150.1117
59.326175 90.845 149.9131
59.692386 90.822 149.7085
60.058597 90.800 149.5003
60.424808 90.777 149.2935
60.791019 90.755 149.0923
61.157230 90.734 148.8983
61.523441 90.712 148.7104
61.889652 90.690 148.5266
62.255863 90.667 148.3448
62.622074 90.643 148.1638
62.988285 90.619 147.9822
63.354496 90.595 147.7985
63.720707 90.571 147.6113
64.086918 90.549 147.4214
64.453129 90.529 147.2322
64.819340 90.508 147.0494
65.185551 90.489 146.8774
65.551762 90.469 146.7176
65.917972 90.449 146.5664
66.284183 90.427 146.4173
66.650394 90.403 146.2643
67.016605 90.378 146.1041
67.382816 90.350 145.9369
67.749027 90.322 145.7652
68.115238 90.295 145.5915
68.481449 90.271 145.4173
68.847660 90.251 145.2437
69.213871 90.234 145.0720
69.580082 90.220 144.9044
69.946293 90.207 144.7430
70.312504 90.194 144.5884
70.678715 90.180 144.4391
71.044926 90.163 144.2918
71.411137 90.144 144.1429
71.777348 90.122 143.9905
72.143559 90.099 143.8349
72.509770 90.075 143.6776
72.875981 90.051 143.5201
73.242192 90.029 143.3636
73.608403 90.008 143.2084
73.974614 89.988 143.0553
74.340825 89.968 142.9055
74.707036 89.948 142.7605
75.073247 89.926 142.6205
75.439458 89.904 142.4828
75.805669 89.882 142.3419
76.171880 89.860 142.1912
76.538091 89.838 142.0262
76.904301 89.817 141.8474
77.270512 89.795 141.6617
77.636723 89.773 141.4801
78.002934 89.750 141.3145
78.369145 89.729 141.1726
78.735356 89.708 141.0560
79.101567 89.689 140.9595
79.467778 89.672 140.8743
79.833989 89.655 140.7909
80.200200 89.638 140.7028
80.566411 89.620 140.6071
80.932622 89.601 140.5041
81.298833 89.581 140.3959
81.665044 89.561 140.2845
82.031255 89.541 140.1712
82.397466 89.521 140.0563
82.763677 89.502 139.9395
83.129888 89.484 139.8205
83.496099 89.465 139.6996
83.862310 89.447 139.5772
84.228521 89.428 139.4545
84.594732 89.409 139.3323
84.960943 89.390 139.2113
85.327154 89.371 139.0915
85.693365 89.352 138.9724
86.059576 89.333 138.8535
86.425787 89.314 138.7342
86.791998 89.294 138.6148
87.158209 89.275 138.4962
87.524420 89.256 138.3799
87.890631 89.237 138.2672
88.256841 89.218 138.1586
88.623052 89.200 138.0537
88.989263 89.183 137.9510
89.355474 89.167 137.8484
89.721685 89.151 137.7440
90.087896 89.135 137.6366
90.454107 89.119 137.5266
90.820318 89.102 137.4150
91.186529 89.085 137.3032
91.552740 89.068 137.1925
91.918951 89.051 137.0840
92.285162 89.034 136.9779
92.651373 89.017 136.8747
93.017584 89.001 136.7744
93.383795 88.984 136.6766
93.750006 88.968 136.5804
94.116217 88.953 136.4837
94.482428 88.937 136.3845
94.848639 88.921 136.2810
95.214850 88.905 136.1729
95.581061 88.889 136.0613
95.947272 88.871 135.9488
96.313483 88.854 135.8384
96.679694 88.836 135.7326
97.045905 88.818 135.6324
97.412116 88.800 135.5376
97.778327 88.782 135.4466
98.144538 88.765 135.3577
98.510749 88.748 135.2693
98.876960 88.731 135.1801
99.243170 88.714 135.0893
99.609381 88.697 134.9968
99.975592 88.680 134.9028
100.341803 88.663 134.8079
100.708014 88.647 134.7134
101.074225 88.631 134.6209
101.440436 88.615 134.5316
101.806647 88.599 134.4460
102.172858 88.584 134.3640
102.539069 88.568 134.2841
102.905280 88.553 134.2047
103.271491 88.537 134.1240
103.637702 88.521 134.0410
104.003913 88.504 133.9553
104.370124 88.487 133.8672
104.736335 88.470 133.7773
105.102546 88.453 133.6862
105.468757 88.437 133.5944
105.834968 88.421 133.5020
106.201179 88.406 133.4093
106.567390 88.391 133.3163
106.933601 88.377 133.2233
107.299812 88.362 133.1304
107.666023 88.348 133.0380
108.032234 88.333 132.9461
108.398445 88.318 132.8552
108.764656 88.303 132.7659
109.130867 88.288 132.6788
109.497078 88.272 132.5948
109.863289 88.255 132.5142
110.229500 88.238 132.4374
110.595710 88.219 132.3641
110.961921 88.198 132.2939
111.328132 88.177 132.2262
111.694343 88.154 132.1604
112.060554 88.132 132.0961
112.426765 88.111 132.0325
112.792976 88.092 131.9687
113.159187 88.076 131.9041
113.525398 88.064 131.8378
113.891609 88.054 131.7701
114.257820 88.047 131.7018
114.624031 88.041 131.6342
114.990242 88.034 131.5687
115.356453 88.027 131.5059
115.722664 88.019 131.4455
116.088875 88.008 131.3854
116.455086 87.996 131.3226
116.821297 87.984 131.2540
117.187508 87.970 131.1772
117.553719 87.956 131.0915
117.919930 87.942 130.9982
118.286141 87.928 130.9005
118.652352 87.913 130.8026
119.018563 87.898 130.7083
119.384774 87.883 130.6204
119.750985 87.868 130.5397
120.117196 87.853 130.4655
120.483407 87.839 130.3958
120.849618 87.826 130.3286
121.215829 87.812 130.2628
121.582040 87.799 130.1982
121.948250 87.785 130.1356
122.314461 87.772 130.0759
122.680672 87.758 130.0198
123.046883 87.745 129.9669
123.413094 87.732 129.9159
123.779305 87.719 129.8647
124.145516 87.707 129.8114
124.511727 87.696 129.7541
124.877938 87.685 129.6920
125.244149 87.674 129.6251
125.610360 87.663 129.5545
125.976571 87.652 129.4813
126.342782 87.640 129.4072
126.708993 87.628 129.3333
127.075204 87.616 129.2606
127.441415 87.603 129.1898
127.807626 87.589 129.1209
128.173837 87.575 129.0540
128.540048 87.561 128.9886
128.906259 87.547 128.9247
129.272470 87.533 128.8619
129.638681 87.519 128.7999
130.004892 87.506 128.7386
130.371103 87.493 128.6781
130.737314 87.481 128.6183
131.103525 87.469 128.5593
131.469736 87.457 128.5011
131.835947 87.446 128.4436
132.202158 87.435 128.3868
132.568369 87.424 128.3305
132.934579 87.413 128.2746
133.300790 87.403 128.2189
133.667001 87.392 128.1634
134.033212 87.382 128.1078
134.399423 87.371 128.0522
134.765634 87.360 127.9962
135.131845 87.349 127.9397
135.498056 87.338 127.8825
135.864267 87.326 127.8244
136.230478 87.315 127.7653
136.596689 87.303 127.7051
136.962900 87.291 127.6440
137.329111 87.278 127.5823
137.695322 87.266 127.5204
138.061533 87.254 127.4586
138.427744 87.242 127.3975
138.793955 87.230 127.3371
139.160166 87.218 127.2775
139.526377 87.207 127.2185
139.892588 87.195 127.1596
140.258799 87.184 127.1004
140.625010 87.174 127.0403
140.991221 87.163 126.9789
141.357432 87.152 126.9163
141.723643 87.141 126.8523
142.089854 87.131 126.7872
142.456065 87.120 126.7216
142.822276 87.110 126.6559
143.188487 87.099 126.5909
143.554698 87.088 126.5270
143.920909 87.078 126.4647
144.287119 87.067 126.4043
144.653330 87.057 126.3458
145.019541 87.047 126.2890
145.385752 87.037 126.2338
145.751963 87.026 126.1797
146.118174 87.016 126.1265
146.484385 87.007 126.0739
146.850596 86.997 126.0216
147.216807 86.987 125.9694
147.583018 86.977 125.9171
147.949229 86.967 125.8646
148.315440 86.956 125.8118
148.681651 86.946 125.7587
149.047862 86.936 125.7052
149.414073 86.925 125.6515
149.780284 86.914 125.5976
150.146495 86.904 125.5435
150.512706 86.893 125.4893
150.878917 86.882 125.4351
151.245128 86.870 125.3807
151.611339 86.859 125.3260
151.977550 86.848 125.2711
152.343761 86.836 125.2156
152.709972 86.824 125.1596
153.076183 86.813 125.1031
153.442394 86.802 125.0463
153.808605 86.790 124.9891
154.174816 86.780 124.9317
154.541027 86.769 124.8740
154.907238 86.759 124.8162
155.273448 86.749 124.7582
155.639659 86.740 124.7003
156.005870 86.731 124.6424
156.372081 86.722 124.5850
156.738292 86.713 124.5281
157.104503 86.704 124.4724
157.470714 86.695 124.4182
157.836925 86.686 124.3658
158.203136 86.678 124.3155
158.569347 86.669 124.2676
158.935558 86.660 124.2219
159.301769 86.652 124.1783
159.667980 86.643 124.1364
160.034191 86.634 124.0956
160.400402 86.625 124.0556
160.766613 86.616 124.0159
161.132824 86.608 123.9759
161.499035 86.599 123.9354
161.865246 86.591 123.8940
162.231457 86.582 123.8515
162.597668 86.574 123.8076
162.963879 86.566 123.7621
163.330090 86.558 123.7148
163.696301 86.550 123.6660
164.062512 86.542 123.6157
164.428723 86.534 123.5645
164.794934 86.525 123.5126
165.161145 86.517 123.4607
165.527356 86.508 123.4094
165.893567 86.498 123.3591
166.259778 86.489 123.3100
166.625988 86.480 123.2625
166.992199 86.471 123.2167
167.358410 86.461 123.1730
167.724621 86.452 123.1315
168.090832 86.442 123.0930
168.457043 86.433 123.0577
168.823254 86.424 123.0262
169.189465 86.414 122.9988
169.555676 86.406 122.9751
169.921887 86.398 122.9545
170.288098 86.391 122.9357
170.654309 86.385 122.9169
171.020520 86.380 122.8961
171.386731 86.376 122.8709
171.752942 86.372 122.8396
172.119153 86.370 122.8004
172.485364 86.367 122.7525
