* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2023 9:00:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 106.212 -162.0719
20.507813 106.213 -162.3156
20.874023 106.216 -162.9568
21.240234 106.217 -163.5976
21.606445 106.217 -164.2062
21.972656 106.219 -164.8217
22.338867 106.225 -165.4311
22.705078 106.234 -166.0149
23.071289 106.247 -166.5686
23.437500 106.264 -167.0977
23.803711 106.280 -167.6088
24.169922 106.294 -168.1019
24.536133 106.305 -168.5729
24.902344 106.312 -169.0178
25.268555 106.317 -169.4359
25.634766 106.320 -169.8311
26.000977 106.322 -170.2100
26.367188 106.323 -170.5773
26.733399 106.323 -170.9331
27.099610 106.321 -171.2766
27.465821 106.318 -171.6093
27.832032 106.314 -171.9359
28.198243 106.310 -172.2620
28.564454 106.306 -172.5924
28.930665 106.303 -172.9299
29.296876 106.302 -173.2744
29.663087 106.300 -173.6213
30.029298 106.297 -173.9659
30.395509 106.293 -174.3065
30.761720 106.288 -174.6440
31.127931 106.283 -174.9793
31.494142 106.278 -175.3125
31.860353 106.274 -175.6414
32.226563 106.269 -175.9627
32.592774 106.264 -176.2725
32.958985 106.259 -176.5683
33.325196 106.254 -176.8502
33.691407 106.248 -177.1228
34.057618 106.242 -177.3926
34.423829 106.235 -177.6641
34.790040 106.227 -177.9378
35.156251 106.218 -178.2123
35.522462 106.208 -178.4866
35.888673 106.197 -178.7608
36.254884 106.184 -179.0344
36.621095 106.171 -179.3051
36.987306 106.158 -179.5696
37.353517 106.145 -179.8271
37.719728 106.133 179.9197
38.085939 106.121 179.6663
38.452150 106.111 179.4092
38.818361 106.101 179.1481
39.184572 106.091 178.8848
39.550783 106.081 178.6238
39.916994 106.070 178.3703
40.283205 106.059 178.1280
40.649416 106.049 177.8972
41.015627 106.039 177.6758
41.381838 106.029 177.4605
41.748049 106.019 177.2479
42.114260 106.009 177.0353
42.480471 105.999 176.8217
42.846682 105.987 176.6080
43.212893 105.976 176.3961
43.579103 105.963 176.1875
43.945314 105.951 175.9828
44.311525 105.938 175.7819
44.677736 105.926 175.5832
45.043947 105.913 175.3853
45.410158 105.900 175.1874
45.776369 105.887 174.9902
46.142580 105.874 174.7955
46.508791 105.860 174.6054
46.875002 105.845 174.4215
47.241213 105.831 174.2443
47.607424 105.816 174.0729
47.973635 105.803 173.9052
48.339846 105.790 173.7390
48.706057 105.777 173.5724
49.072268 105.765 173.4046
49.438479 105.752 173.2357
49.804690 105.740 173.0667
50.170901 105.727 172.8992
50.537112 105.714 172.7341
50.903323 105.700 172.5714
51.269534 105.687 172.4107
51.635745 105.674 172.2514
52.001956 105.660 172.0931
52.368167 105.646 171.9358
52.734378 105.632 171.7803
53.100589 105.617 171.6273
53.466800 105.603 171.4767
53.833011 105.589 171.3279
54.199222 105.575 171.1799
54.565432 105.562 171.0316
54.931643 105.549 170.8833
55.297854 105.536 170.7365
55.664065 105.523 170.5938
56.030276 105.509 170.4580
56.396487 105.496 170.3305
56.762698 105.482 170.2101
57.128909 105.468 170.0942
57.495120 105.454 169.9799
57.861331 105.440 169.8650
58.227542 105.426 169.7489
58.593753 105.412 169.6315
58.959964 105.399 169.5136
59.326175 105.384 169.3958
59.692386 105.370 169.2787
60.058597 105.355 169.1628
60.424808 105.339 169.0482
60.791019 105.322 168.9354
61.157230 105.306 168.8244
61.523441 105.289 168.7153
61.889652 105.273 168.6078
62.255863 105.258 168.5020
62.622074 105.242 168.3975
62.988285 105.227 168.2947
63.354496 105.213 168.1940
63.720707 105.198 168.0959
64.086918 105.185 168.0006
64.453129 105.172 167.9078
64.819340 105.159 167.8167
65.185551 105.145 167.7268
65.551762 105.132 167.6381
65.917972 105.118 167.5509
66.284183 105.104 167.4651
66.650394 105.089 167.3804
67.016605 105.075 167.2962
67.382816 105.059 167.2124
67.749027 105.044 167.1294
68.115238 105.028 167.0480
68.481449 105.012 166.9688
68.847660 104.997 166.8915
69.213871 104.981 166.8158
69.580082 104.965 166.7408
69.946293 104.950 166.6666
70.312504 104.935 166.5932
70.678715 104.920 166.5215
71.044926 104.905 166.4519
71.411137 104.891 166.3849
71.777348 104.876 166.3202
72.143559 104.862 166.2573
72.509770 104.847 166.1954
72.875981 104.832 166.1333
73.242192 104.818 166.0705
73.608403 104.803 166.0067
73.974614 104.788 165.9420
74.340825 104.774 165.8772
74.707036 104.759 165.8129
75.073247 104.745 165.7498
75.439458 104.730 165.6884
75.805669 104.716 165.6290
76.171880 104.702 165.5717
76.538091 104.688 165.5167
76.904301 104.674 165.4638
77.270512 104.659 165.4130
77.636723 104.645 165.3640
78.002934 104.630 165.3161
78.369145 104.616 165.2690
78.735356 104.601 165.2225
79.101567 104.586 165.1768
79.467778 104.571 165.1318
79.833989 104.555 165.0878
80.200200 104.539 165.0447
80.566411 104.523 165.0021
80.932622 104.507 164.9597
81.298833 104.492 164.9174
81.665044 104.477 164.8747
82.031255 104.462 164.8318
82.397466 104.447 164.7891
82.763677 104.433 164.7469
83.129888 104.419 164.7059
83.496099 104.405 164.6664
83.862310 104.392 164.6283
84.228521 104.378 164.5915
84.594732 104.364 164.5555
84.960943 104.351 164.5198
85.327154 104.337 164.4839
85.693365 104.323 164.4478
86.059576 104.308 164.4114
86.425787 104.294 164.3750
86.791998 104.279 164.3391
87.158209 104.265 164.3042
87.524420 104.250 164.2704
87.890631 104.235 164.2380
88.256841 104.221 164.2067
88.623052 104.206 164.1760
88.989263 104.191 164.1459
89.355474 104.176 164.1161
89.721685 104.161 164.0867
90.087896 104.146 164.0579
90.454107 104.131 164.0296
90.820318 104.115 164.0022
91.186529 104.100 163.9755
91.552740 104.084 163.9493
91.918951 104.069 163.9235
92.285162 104.054 163.8977
92.651373 104.039 163.8716
93.017584 104.024 163.8454
93.383795 104.010 163.8189
93.750006 103.995 163.7927
94.116217 103.981 163.7668
94.482428 103.967 163.7416
94.848639 103.953 163.7172
95.214850 103.939 163.6937
95.581061 103.925 163.6708
95.947272 103.911 163.6485
96.313483 103.897 163.6266
96.679694 103.883 163.6049
97.045905 103.870 163.5833
97.412116 103.856 163.5620
97.778327 103.842 163.5411
98.144538 103.829 163.5209
98.510749 103.815 163.5016
98.876960 103.801 163.4835
99.243170 103.787 163.4665
99.609381 103.772 163.4506
99.975592 103.758 163.4355
100.341803 103.744 163.4210
100.708014 103.729 163.4069
101.074225 103.715 163.3929
101.440436 103.701 163.3789
101.806647 103.686 163.3650
102.172858 103.672 163.3513
102.539069 103.658 163.3378
102.905280 103.644 163.3246
103.271491 103.630 163.3118
103.637702 103.616 163.2994
104.003913 103.602 163.2875
104.370124 103.588 163.2761
104.736335 103.574 163.2654
105.102546 103.560 163.2555
105.468757 103.546 163.2465
105.834968 103.532 163.2387
106.201179 103.518 163.2324
106.567390 103.504 163.2277
106.933601 103.490 163.2248
107.299812 103.477 163.2238
107.666023 103.463 163.2243
108.032234 103.450 163.2262
108.398445 103.437 163.2290
108.764656 103.423 163.2323
109.130867 103.410 163.2358
109.497078 103.397 163.2394
109.863289 103.384 163.2430
110.229500 103.371 163.2466
110.595710 103.358 163.2503
110.961921 103.345 163.2541
111.328132 103.331 163.2579
111.694343 103.317 163.2617
112.060554 103.303 163.2654
112.426765 103.289 163.2687
112.792976 103.275 163.2714
113.159187 103.261 163.2733
113.525398 103.246 163.2742
113.891609 103.232 163.2744
114.257820 103.217 163.2741
114.624031 103.203 163.2739
114.990242 103.188 163.2744
115.356453 103.173 163.2763
115.722664 103.158 163.2802
116.088875 103.143 163.2863
116.455086 103.127 163.2952
116.821297 103.112 163.3068
117.187508 103.097 163.3211
117.553719 103.083 163.3378
117.919930 103.070 163.3568
118.286141 103.058 163.3777
118.652352 103.047 163.4003
119.018563 103.037 163.4240
119.384774 103.028 163.4487
119.750985 103.018 163.4739
120.117196 103.008 163.4993
120.483407 102.999 163.5245
120.849618 102.988 163.5493
121.215829 102.978 163.5736
121.582040 102.967 163.5972
121.948250 102.956 163.6202
122.314461 102.944 163.6428
122.680672 102.933 163.6650
123.046883 102.921 163.6871
123.413094 102.908 163.7094
123.779305 102.896 163.7321
124.145516 102.883 163.7555
124.511727 102.870 163.7796
124.877938 102.857 163.8044
125.244149 102.844 163.8297
125.610360 102.831 163.8555
125.976571 102.818 163.8814
126.342782 102.805 163.9072
126.708993 102.792 163.9327
127.075204 102.779 163.9580
127.441415 102.766 163.9831
127.807626 102.753 164.0081
128.173837 102.741 164.0331
128.540048 102.728 164.0586
128.906259 102.716 164.0848
129.272470 102.703 164.1121
129.638681 102.691 164.1405
130.004892 102.679 164.1703
130.371103 102.666 164.2016
130.737314 102.653 164.2342
131.103525 102.640 164.2681
131.469736 102.627 164.3029
131.835947 102.614 164.3386
132.202158 102.601 164.3748
132.568369 102.588 164.4113
132.934579 102.576 164.4479
133.300790 102.563 164.4845
133.667001 102.551 164.5210
134.033212 102.539 164.5573
134.399423 102.527 164.5933
134.765634 102.515 164.6291
135.131845 102.503 164.6646
135.498056 102.492 164.6999
135.864267 102.481 164.7349
136.230478 102.469 164.7700
136.596689 102.458 164.8052
136.962900 102.447 164.8407
137.329111 102.436 164.8766
137.695322 102.425 164.9130
138.061533 102.413 164.9500
138.427744 102.402 164.9875
138.793955 102.391 165.0256
139.160166 102.379 165.0642
139.526377 102.368 165.1033
139.892588 102.356 165.1427
140.258799 102.345 165.1826
140.625010 102.334 165.2229
140.991221 102.322 165.2636
141.357432 102.311 165.3049
141.723643 102.300 165.3466
142.089854 102.289 165.3888
142.456065 102.278 165.4313
142.822276 102.267 165.4740
143.188487 102.256 165.5166
143.554698 102.245 165.5590
143.920909 102.234 165.6008
144.287119 102.223 165.6419
144.653330 102.212 165.6821
145.019541 102.202 165.7215
145.385752 102.191 165.7601
145.751963 102.180 165.7981
146.118174 102.169 165.8358
146.484385 102.158 165.8735
146.850596 102.146 165.9115
147.216807 102.135 165.9501
147.583018 102.124 165.9895
147.949229 102.112 166.0300
148.315440 102.101 166.0715
148.681651 102.089 166.1141
149.047862 102.078 166.1578
149.414073 102.066 166.2025
149.780284 102.055 166.2481
150.146495 102.044 166.2946
150.512706 102.032 166.3419
150.878917 102.021 166.3898
151.245128 102.010 166.4384
151.611339 101.999 166.4875
151.977550 101.988 166.5370
152.343761 101.977 166.5867
152.709972 101.966 166.6364
153.076183 101.955 166.6860
153.442394 101.944 166.7353
153.808605 101.933 166.7841
154.174816 101.921 166.8323
154.541027 101.910 166.8801
154.907238 101.899 166.9273
155.273448 101.888 166.9741
155.639659 101.877 167.0207
156.005870 101.866 167.0672
156.372081 101.855 167.1137
156.738292 101.844 167.1603
157.104503 101.832 167.2071
157.470714 101.821 167.2541
157.836925 101.811 167.3014
158.203136 101.800 167.3489
158.569347 101.789 167.3967
158.935558 101.779 167.4448
159.301769 101.768 167.4932
159.667980 101.758 167.5417
160.034191 101.748 167.5905
160.400402 101.738 167.6396
160.766613 101.728 167.6887
161.132824 101.719 167.7379
161.499035 101.709 167.7872
161.865246 101.700 167.8364
162.231457 101.691 167.8856
162.597668 101.681 167.9348
162.963879 101.672 167.9841
163.330090 101.662 168.0336
163.696301 101.653 168.0836
164.062512 101.644 168.1343
164.428723 101.634 168.1859
164.794934 101.624 168.2384
165.161145 101.615 168.2921
165.527356 101.605 168.3467
165.893567 101.595 168.4022
166.259778 101.585 168.4584
166.625988 101.576 168.5149
166.992199 101.566 168.5715
167.358410 101.556 168.6278
167.724621 101.547 168.6836
168.090832 101.537 168.7389
168.457043 101.527 168.7935
168.823254 101.518 168.8474
169.189465 101.509 168.9007
169.555676 101.499 168.9536
169.921887 101.490 169.0060
170.288098 101.480 169.0583
170.654309 101.471 169.1105
171.020520 101.462 169.1628
171.386731 101.453 169.2151
