* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2023 9:00:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 108.328 -175.2766
20.507813 108.310 -175.5832
20.874023 108.266 -176.3893
21.240234 108.226 -177.1930
21.606445 108.195 -177.9572
21.972656 108.172 -178.7373
22.338867 108.157 -179.5216
22.705078 108.148 179.7142
23.071289 108.145 178.9833
23.437500 108.146 178.2886
23.803711 108.149 177.6262
24.169922 108.152 176.9923
24.536133 108.153 176.3849
24.902344 108.150 175.8035
25.268555 108.145 175.2487
25.634766 108.136 174.7193
26.000977 108.126 174.2109
26.367188 108.115 173.7179
26.733399 108.104 173.2363
27.099610 108.091 172.7632
27.465821 108.076 172.2955
27.832032 108.061 171.8304
28.198243 108.045 171.3660
28.564454 108.029 170.9010
28.930665 108.013 170.4337
29.296876 107.999 169.9633
29.663087 107.987 169.4922
30.029298 107.975 169.0239
30.395509 107.963 168.5609
30.761720 107.951 168.1044
31.127931 107.939 167.6554
31.494142 107.927 167.2143
31.860353 107.916 166.7813
32.226563 107.905 166.3564
32.592774 107.894 165.9397
32.958985 107.883 165.5327
33.325196 107.871 165.1368
33.691407 107.860 164.7516
34.057618 107.849 164.3749
34.423829 107.838 164.0050
34.790040 107.828 163.6415
35.156251 107.816 163.2841
35.522462 107.804 162.9305
35.888673 107.791 162.5782
36.254884 107.775 162.2260
36.621095 107.759 161.8754
36.987306 107.742 161.5298
37.353517 107.724 161.1912
37.719728 107.707 160.8583
38.085939 107.692 160.5284
38.452150 107.677 160.1991
38.818361 107.664 159.8696
39.184572 107.650 159.5404
39.550783 107.636 159.2139
39.916994 107.622 158.8936
40.283205 107.607 158.5823
40.649416 107.592 158.2808
41.015627 107.577 157.9877
41.381838 107.562 157.7009
41.748049 107.547 157.4177
42.114260 107.533 157.1359
42.480471 107.518 156.8547
42.846682 107.504 156.5748
43.212893 107.489 156.2975
43.579103 107.474 156.0235
43.945314 107.459 155.7527
44.311525 107.444 155.4847
44.677736 107.429 155.2186
45.043947 107.413 154.9538
45.410158 107.398 154.6902
45.776369 107.382 154.4288
46.142580 107.365 154.1708
46.508791 107.348 153.9176
46.875002 107.331 153.6700
47.241213 107.314 153.4280
47.607424 107.297 153.1906
47.973635 107.280 152.9559
48.339846 107.265 152.7224
48.706057 107.250 152.4891
49.072268 107.235 152.2563
49.438479 107.219 152.0251
49.804690 107.203 151.7967
50.170901 107.186 151.5720
50.537112 107.170 151.3505
50.903323 107.153 151.1307
51.269534 107.135 150.9112
51.635745 107.118 150.6909
52.001956 107.101 150.4700
52.368167 107.083 150.2495
52.734378 107.065 150.0308
53.100589 107.048 149.8152
53.466800 107.031 149.6029
53.833011 107.014 149.3928
54.199222 106.998 149.1834
54.565432 106.982 148.9735
54.931643 106.965 148.7629
55.297854 106.949 148.5532
55.664065 106.932 148.3470
56.030276 106.915 148.1473
56.396487 106.898 147.9554
56.762698 106.881 147.7705
57.128909 106.864 147.5903
57.495120 106.847 147.4123
57.861331 106.831 147.2351
58.227542 106.815 147.0582
58.593753 106.799 146.8820
58.959964 106.783 146.7068
59.326175 106.768 146.5330
59.692386 106.751 146.3602
60.058597 106.734 146.1881
60.424808 106.717 146.0167
60.791019 106.698 145.8463
61.157230 106.680 145.6775
61.523441 106.661 145.5108
61.889652 106.642 145.3465
62.255863 106.624 145.1841
62.622074 106.606 145.0229
62.988285 106.588 144.8629
63.354496 106.570 144.7047
63.720707 106.553 144.5493
64.086918 106.535 144.3979
64.453129 106.519 144.2506
64.819340 106.503 144.1066
65.185551 106.487 143.9644
65.551762 106.471 143.8228
65.917972 106.456 143.6815
66.284183 106.440 143.5402
66.650394 106.424 143.3990
67.016605 106.408 143.2584
67.382816 106.391 143.1183
67.749027 106.373 142.9795
68.115238 106.355 142.8422
68.481449 106.337 142.7068
68.847660 106.319 142.5733
69.213871 106.300 142.4413
69.580082 106.282 142.3111
69.946293 106.264 142.1827
70.312504 106.247 142.0564
70.678715 106.229 141.9323
71.044926 106.212 141.8102
71.411137 106.195 141.6897
71.777348 106.178 141.5703
72.143559 106.161 141.4515
72.509770 106.144 141.3328
72.875981 106.127 141.2141
73.242192 106.110 141.0950
73.608403 106.092 140.9760
73.974614 106.075 140.8570
74.340825 106.058 140.7386
74.707036 106.040 140.6212
75.073247 106.023 140.5053
75.439458 106.007 140.3917
75.805669 105.990 140.2809
76.171880 105.974 140.1734
76.538091 105.958 140.0693
76.904301 105.942 139.9686
77.270512 105.925 139.8708
77.636723 105.909 139.7753
78.002934 105.893 139.6811
78.369145 105.877 139.5874
78.735356 105.860 139.4938
79.101567 105.844 139.4002
79.467778 105.827 139.3065
79.833989 105.809 139.2128
80.200200 105.791 139.1193
80.566411 105.774 139.0264
80.932622 105.756 138.9344
81.298833 105.738 138.8434
81.665044 105.721 138.7537
82.031255 105.704 138.6654
82.397466 105.687 138.5787
82.763677 105.670 138.4937
83.129888 105.654 138.4104
83.496099 105.637 138.3289
83.862310 105.621 138.2488
84.228521 105.605 138.1698
84.594732 105.588 138.0916
84.960943 105.572 138.0135
85.327154 105.555 137.9357
85.693365 105.539 137.8579
86.059576 105.522 137.7805
86.425787 105.505 137.7039
86.791998 105.488 137.6289
87.158209 105.472 137.5561
87.524420 105.455 137.4859
87.890631 105.438 137.4185
88.256841 105.422 137.3537
88.623052 105.405 137.2908
88.989263 105.389 137.2295
89.355474 105.373 137.1692
89.721685 105.356 137.1098
90.087896 105.340 137.0511
90.454107 105.324 136.9933
90.820318 105.307 136.9363
91.186529 105.291 136.8800
91.552740 105.274 136.8241
91.918951 105.258 136.7682
92.285162 105.241 136.7119
92.651373 105.225 136.6552
93.017584 105.208 136.5981
93.383795 105.192 136.5410
93.750006 105.176 136.4844
94.116217 105.160 136.4290
94.482428 105.144 136.3750
94.848639 105.129 136.3226
95.214850 105.114 136.2717
95.581061 105.098 136.2220
95.947272 105.083 136.1734
96.313483 105.068 136.1255
96.679694 105.053 136.0783
97.045905 105.038 136.0319
97.412116 105.023 135.9865
97.778327 105.008 135.9423
98.144538 104.993 135.8996
98.510749 104.978 135.8585
98.876960 104.963 135.8190
99.243170 104.948 135.7810
99.609381 104.932 135.7440
99.975592 104.916 135.7078
100.341803 104.900 135.6719
100.708014 104.884 135.6361
101.074225 104.868 135.6004
101.440436 104.852 135.5647
101.806647 104.835 135.5291
102.172858 104.819 135.4939
102.539069 104.803 135.4593
102.905280 104.788 135.4256
103.271491 104.772 135.3930
103.637702 104.756 135.3617
104.003913 104.740 135.3317
104.370124 104.724 135.3031
104.736335 104.708 135.2756
105.102546 104.692 135.2491
105.468757 104.676 135.2233
105.834968 104.660 135.1980
106.201179 104.644 135.1731
106.567390 104.629 135.1488
106.933601 104.614 135.1252
107.299812 104.599 135.1024
107.666023 104.584 135.0809
108.032234 104.569 135.0606
108.398445 104.555 135.0416
108.764656 104.540 135.0238
109.130867 104.526 135.0071
109.497078 104.511 134.9912
109.863289 104.497 134.9760
110.229500 104.483 134.9612
110.595710 104.468 134.9466
110.961921 104.454 134.9320
111.328132 104.440 134.9177
111.694343 104.425 134.9036
112.060554 104.410 134.8899
112.426765 104.396 134.8767
112.792976 104.381 134.8642
113.159187 104.366 134.8521
113.525398 104.351 134.8404
113.891609 104.336 134.8288
114.257820 104.320 134.8173
114.624031 104.305 134.8058
114.990242 104.289 134.7945
115.356453 104.272 134.7835
115.722664 104.255 134.7731
116.088875 104.238 134.7638
116.455086 104.220 134.7559
116.821297 104.203 134.7496
117.187508 104.186 134.7452
117.553719 104.170 134.7426
117.919930 104.155 134.7419
118.286141 104.141 134.7427
118.652352 104.129 134.7449
119.018563 104.117 134.7482
119.384774 104.105 134.7526
119.750985 104.094 134.7581
120.117196 104.083 134.7646
120.483407 104.071 134.7720
120.849618 104.059 134.7803
121.215829 104.047 134.7892
121.582040 104.035 134.7988
121.948250 104.022 134.8087
122.314461 104.009 134.8190
122.680672 103.996 134.8296
123.046883 103.983 134.8405
123.413094 103.970 134.8518
123.779305 103.956 134.8636
124.145516 103.943 134.8757
124.511727 103.929 134.8881
124.877938 103.915 134.9005
125.244149 103.901 134.9125
125.610360 103.887 134.9243
125.976571 103.873 134.9355
126.342782 103.860 134.9463
126.708993 103.846 134.9568
127.075204 103.833 134.9675
127.441415 103.819 134.9783
127.807626 103.806 134.9897
128.173837 103.793 135.0017
128.540048 103.780 135.0145
128.906259 103.767 135.0284
129.272470 103.754 135.0433
129.638681 103.740 135.0594
130.004892 103.727 135.0768
130.371103 103.714 135.0955
130.737314 103.700 135.1154
131.103525 103.687 135.1364
131.469736 103.673 135.1582
131.835947 103.660 135.1807
132.202158 103.646 135.2036
132.568369 103.633 135.2269
132.934579 103.619 135.2504
133.300790 103.606 135.2740
133.667001 103.593 135.2977
134.033212 103.581 135.3215
134.399423 103.568 135.3453
134.765634 103.556 135.3692
135.131845 103.544 135.3931
135.498056 103.532 135.4171
135.864267 103.520 135.4412
136.230478 103.507 135.4655
136.596689 103.495 135.4899
136.962900 103.483 135.5146
137.329111 103.471 135.5394
137.695322 103.459 135.5644
138.061533 103.447 135.5895
138.427744 103.435 135.6146
138.793955 103.422 135.6398
139.160166 103.410 135.6649
139.526377 103.398 135.6901
139.892588 103.386 135.7152
140.258799 103.373 135.7404
140.625010 103.361 135.7657
140.991221 103.348 135.7913
141.357432 103.336 135.8171
141.723643 103.323 135.8434
142.089854 103.310 135.8702
142.456065 103.298 135.8976
142.822276 103.285 135.9256
143.188487 103.273 135.9540
143.554698 103.260 135.9829
143.920909 103.248 136.0120
144.287119 103.235 136.0411
144.653330 103.223 136.0702
145.019541 103.211 136.0992
145.385752 103.198 136.1281
145.751963 103.186 136.1572
146.118174 103.174 136.1865
146.484385 103.162 136.2162
146.850596 103.149 136.2468
147.216807 103.137 136.2783
147.583018 103.125 136.3110
147.949229 103.112 136.3448
148.315440 103.100 136.3799
148.681651 103.088 136.4161
149.047862 103.076 136.4534
149.414073 103.064 136.4916
149.780284 103.052 136.5306
150.146495 103.040 136.5703
150.512706 103.029 136.6103
150.878917 103.017 136.6508
151.245128 103.006 136.6915
151.611339 102.994 136.7325
151.977550 102.983 136.7736
152.343761 102.972 136.8146
152.709972 102.960 136.8556
153.076183 102.949 136.8964
153.442394 102.937 136.9369
153.808605 102.926 136.9769
154.174816 102.915 137.0165
154.541027 102.903 137.0556
154.907238 102.891 137.0942
155.273448 102.880 137.1323
155.639659 102.868 137.1700
156.005870 102.857 137.2074
156.372081 102.845 137.2447
156.738292 102.833 137.2819
157.104503 102.822 137.3192
157.470714 102.810 137.3569
157.836925 102.799 137.3948
158.203136 102.788 137.4333
158.569347 102.777 137.4723
158.935558 102.766 137.5118
159.301769 102.755 137.5519
159.667980 102.744 137.5925
160.034191 102.734 137.6335
160.400402 102.723 137.6748
160.766613 102.713 137.7163
161.132824 102.703 137.7579
161.499035 102.693 137.7994
161.865246 102.682 137.8409
162.231457 102.672 137.8822
162.597668 102.662 137.9234
162.963879 102.652 137.9647
163.330090 102.642 138.0062
163.696301 102.632 138.0482
164.062512 102.622 138.0909
164.428723 102.611 138.1346
164.794934 102.601 138.1796
165.161145 102.590 138.2258
165.527356 102.580 138.2734
165.893567 102.569 138.3220
166.259778 102.558 138.3716
166.625988 102.547 138.4219
166.992199 102.535 138.4724
167.358410 102.524 138.5229
167.724621 102.513 138.5731
168.090832 102.502 138.6227
168.457043 102.491 138.6717
168.823254 102.480 138.7200
169.189465 102.468 138.7675
169.555676 102.457 138.8145
169.921887 102.446 138.8610
170.288098 102.435 138.9070
170.654309 102.425 138.9530
171.020520 102.414 138.9988
171.386731 102.403 139.0447
171.752942 102.393 139.0908
172.119153 102.382 139.1371
172.485364 102.372 139.1836
