* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 15, 2023 3:20:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QoA Gimlet R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.201 -146.3114
20.507813 102.263 -146.5150
20.874023 102.451 -147.1266
21.240234 102.679 -147.9488
21.606445 102.851 -148.8590
21.972656 102.893 -149.5202
22.338867 102.810 -149.5743
22.705078 102.690 -149.1258
23.071289 102.639 -148.9099
23.437500 102.693 -149.8401
23.803711 102.793 -152.2052
24.169922 102.858 -155.1722
24.536133 102.881 -157.0797
24.902344 102.993 -156.5055
25.268555 103.405 -153.4639
25.634766 104.166 -149.6153
26.000977 105.037 -147.0753
26.367188 105.703 -146.9540
26.733399 105.960 -148.9483
27.099610 105.745 -151.9073
27.465821 105.111 -154.5424
27.832032 104.229 -155.9881
28.198243 103.391 -156.2341
28.564454 102.901 -156.1109
28.930665 102.840 -156.6023
29.296876 103.025 -158.0193
29.663087 103.234 -159.8222
30.029298 103.353 -161.1653
30.395509 103.383 -161.5676
30.761720 103.376 -161.1879
31.127931 103.375 -160.6172
31.494142 103.381 -160.4267
31.860353 103.374 -160.8218
32.226563 103.344 -161.6167
32.592774 103.310 -162.4653
32.958985 103.298 -163.1176
33.325196 103.326 -163.5242
33.691407 103.382 -163.7752
34.057618 103.438 -163.9810
34.423829 103.470 -164.2021
34.790040 103.474 -164.4547
35.156251 103.457 -164.7466
35.522462 103.436 -165.0892
35.888673 103.424 -165.4803
36.254884 103.424 -165.8892
36.621095 103.439 -166.2709
36.987306 103.462 -166.5970
37.353517 103.489 -166.8781
37.719728 103.512 -167.1544
38.085939 103.522 -167.4662
38.452150 103.518 -167.8275
38.818361 103.500 -168.2216
39.184572 103.477 -168.6156
39.550783 103.458 -168.9819
39.916994 103.449 -169.3090
40.283205 103.452 -169.6010
40.649416 103.461 -169.8693
41.015627 103.471 -170.1268
41.381838 103.477 -170.3839
41.748049 103.475 -170.6475
42.114260 103.466 -170.9204
42.480471 103.452 -171.2008
42.846682 103.437 -171.4843
43.212893 103.425 -171.7673
43.579103 103.418 -172.0495
43.945314 103.417 -172.3351
44.311525 103.419 -172.6300
44.677736 103.422 -172.9377
45.043947 103.422 -173.2554
45.410158 103.418 -173.5735
45.776369 103.410 -173.8799
46.142580 103.401 -174.1677
46.508791 103.394 -174.4410
46.875002 103.393 -174.7140
47.241213 103.398 -175.0025
47.607424 103.404 -175.3116
47.973635 103.408 -175.6285
48.339846 103.407 -175.9260
48.706057 103.400 -176.1759
49.072268 103.388 -176.3643
49.438479 103.376 -176.5007
49.804690 103.365 -176.6148
50.170901 103.356 -176.7434
50.537112 103.351 -176.9134
50.903323 103.348 -177.1309
51.269534 103.347 -177.3803
51.635745 103.349 -177.6355
52.001956 103.356 -177.8744
52.368167 103.366 -178.0901
52.734378 103.378 -178.2908
53.100589 103.384 -178.4898
53.466800 103.379 -178.6945
53.833011 103.360 -178.9037
54.199222 103.330 -179.1160
54.565432 103.295 -179.3436
54.931643 103.264 -179.6159
55.297854 103.243 -179.9661
55.664065 103.230 179.5962
56.030276 103.219 179.1071
56.396487 103.206 178.6470
56.762698 103.188 178.3088
57.128909 103.170 178.1524
57.495120 103.158 178.1717
57.861331 103.158 178.2945
58.227542 103.166 178.4169
58.593753 103.175 178.4504
58.959964 103.176 178.3554
59.326175 103.166 178.1437
59.692386 103.145 177.8577
60.058597 103.119 177.5411
60.424808 103.095 177.2224
60.791019 103.077 176.9137
61.157230 103.067 176.6214
61.523441 103.061 176.3542
61.889652 103.056 176.1243
62.255863 103.050 175.9401
62.622074 103.042 175.7999
62.988285 103.034 175.6891
63.354496 103.026 175.5848
63.720707 103.018 175.4630
64.086918 103.010 175.3067
64.453129 103.001 175.1109
64.819340 102.989 174.8829
65.185551 102.973 174.6390
65.551762 102.955 174.3995
65.917972 102.935 174.1816
66.284183 102.914 173.9946
66.650394 102.894 173.8385
67.016605 102.877 173.7059
67.382816 102.863 173.5860
67.749027 102.852 173.4688
68.115238 102.845 173.3474
68.481449 102.839 173.2178
68.847660 102.834 173.0781
69.213871 102.829 172.9275
69.580082 102.823 172.7669
69.946293 102.814 172.5994
70.312504 102.802 172.4300
70.678715 102.787 172.2643
71.044926 102.769 172.1065
71.411137 102.749 171.9574
71.777348 102.729 171.8141
72.143559 102.710 171.6718
72.509770 102.693 171.5251
72.875981 102.677 171.3708
73.242192 102.663 171.2076
73.608403 102.650 171.0364
73.974614 102.638 170.8591
74.340825 102.627 170.6782
74.707036 102.615 170.4975
75.073247 102.603 170.3217
75.439458 102.589 170.1559
75.805669 102.575 170.0040
76.171880 102.560 169.8659
76.538091 102.545 169.7374
76.904301 102.531 169.6110
77.270512 102.517 169.4788
77.636723 102.504 169.3354
78.002934 102.492 169.1805
78.369145 102.479 169.0169
78.735356 102.467 168.8500
79.101567 102.456 168.6848
79.467778 102.446 168.5255
79.833989 102.436 168.3759
80.200200 102.425 168.2394
80.566411 102.413 168.1192
80.932622 102.398 168.0162
81.298833 102.382 167.9275
81.665044 102.364 167.8452
82.031255 102.347 167.7583
82.397466 102.331 167.6547
82.763677 102.317 167.5258
83.129888 102.305 167.3688
83.496099 102.295 167.1881
83.862310 102.285 166.9946
84.228521 102.276 166.8024
84.594732 102.267 166.6251
84.960943 102.257 166.4717
85.327154 102.246 166.3435
85.693365 102.236 166.2344
86.059576 102.226 166.1328
86.425787 102.215 166.0272
86.791998 102.203 165.9109
87.158209 102.189 165.7853
87.524420 102.173 165.6595
87.890631 102.153 165.5458
88.256841 102.132 165.4537
88.623052 102.112 165.3849
88.989263 102.092 165.3311
89.355474 102.076 165.2762
89.721685 102.061 165.2026
90.087896 102.047 165.0970
90.454107 102.033 164.9549
90.820318 102.017 164.7813
91.186529 102.000 164.5883
91.552740 101.982 164.3900
91.918951 101.964 164.1984
92.285162 101.947 164.0201
92.651373 101.932 163.8558
93.017584 101.920 163.7019
93.383795 101.909 163.5528
93.750006 101.899 163.4037
94.116217 101.888 163.2522
94.482428 101.877 163.0990
94.848639 101.863 162.9470
95.214850 101.849 162.7993
95.581061 101.834 162.6579
95.947272 101.819 162.5225
96.313483 101.805 162.3908
96.679694 101.791 162.2602
97.045905 101.778 162.1286
97.412116 101.765 161.9958
97.778327 101.752 161.8632
98.144538 101.738 161.7326
98.510749 101.724 161.6050
98.876960 101.710 161.4796
99.243170 101.696 161.3542
99.609381 101.682 161.2258
99.975592 101.668 161.0929
100.341803 101.653 160.9559
100.708014 101.638 160.8174
101.074225 101.623 160.6823
101.440436 101.608 160.5555
101.806647 101.594 160.4412
102.172858 101.581 160.3410
102.539069 101.569 160.2537
102.905280 101.559 160.1749
103.271491 101.550 160.0980
103.637702 101.542 160.0155
104.003913 101.533 159.9210
104.370124 101.523 159.8102
104.736335 101.512 159.6821
105.102546 101.499 159.5385
105.468757 101.485 159.3834
105.834968 101.469 159.2222
106.201179 101.451 159.0606
106.567390 101.434 158.9037
106.933601 101.415 158.7557
107.299812 101.396 158.6188
107.666023 101.377 158.4934
108.032234 101.358 158.3779
108.398445 101.340 158.2697
108.764656 101.321 158.1658
109.130867 101.303 158.0642
109.497078 101.285 157.9638
109.863289 101.269 157.8644
110.229500 101.254 157.7665
110.595710 101.243 157.6705
110.961921 101.234 157.5767
111.328132 101.230 157.4852
111.694343 101.229 157.3960
112.060554 101.230 157.3085
112.426765 101.234 157.2219
112.792976 101.239 157.1351
113.159187 101.243 157.0469
113.525398 101.243 156.9570
113.891609 101.240 156.8656
114.257820 101.232 156.7733
114.624031 101.218 156.6800
114.990242 101.201 156.5845
115.356453 101.180 156.4843
115.722664 101.158 156.3757
116.088875 101.135 156.2563
116.455086 101.113 156.1251
116.821297 101.092 155.9842
117.187508 101.072 155.8381
117.553719 101.053 155.6929
117.919930 101.034 155.5546
118.286141 101.015 155.4276
118.652352 100.994 155.3135
119.018563 100.971 155.2109
119.384774 100.947 155.1163
119.750985 100.921 155.0246
120.117196 100.894 154.9312
120.483407 100.867 154.8328
120.849618 100.841 154.7274
121.215829 100.817 154.6149
121.582040 100.796 154.4958
121.948250 100.778 154.3711
122.314461 100.764 154.2420
122.680672 100.753 154.1097
123.046883 100.743 153.9758
123.413094 100.734 153.8427
123.779305 100.724 153.7134
124.145516 100.712 153.5919
124.511727 100.699 153.4821
124.877938 100.684 153.3881
125.244149 100.669 153.3120
125.610360 100.654 153.2540
125.976571 100.640 153.2115
126.342782 100.628 153.1793
126.708993 100.617 153.1502
127.075204 100.607 153.1169
127.441415 100.597 153.0728
127.807626 100.585 153.0136
128.173837 100.572 152.9373
128.540048 100.556 152.8438
128.906259 100.538 152.7348
129.272470 100.519 152.6127
129.638681 100.500 152.4804
130.004892 100.482 152.3411
130.371103 100.465 152.1980
130.737314 100.451 152.0546
131.103525 100.439 151.9142
131.469736 100.429 151.7798
131.835947 100.419 151.6537
132.202158 100.411 151.5370
132.568369 100.401 151.4299
132.934579 100.392 151.3313
133.300790 100.382 151.2392
133.667001 100.371 151.1514
134.033212 100.360 151.0661
134.399423 100.347 150.9820
134.765634 100.335 150.8987
135.131845 100.322 150.8164
135.498056 100.308 150.7357
135.864267 100.295 150.6568
136.230478 100.281 150.5795
136.596689 100.268 150.5026
136.962900 100.255 150.4245
137.329111 100.243 150.3433
137.695322 100.231 150.2577
138.061533 100.221 150.1671
138.427744 100.211 150.0723
138.793955 100.202 149.9750
139.160166 100.192 149.8775
139.526377 100.183 149.7823
139.892588 100.172 149.6914
140.258799 100.161 149.6057
140.625010 100.148 149.5249
140.991221 100.135 149.4480
141.357432 100.121 149.3734
141.723643 100.106 149.2994
142.089854 100.091 149.2245
142.456065 100.076 149.1484
142.822276 100.061 149.0712
143.188487 100.045 148.9939
143.554698 100.030 148.9178
143.920909 100.015 148.8444
144.287119 100.001 148.7747
144.653330 99.987 148.7092
145.019541 99.973 148.6478
145.385752 99.961 148.5893
145.751963 99.950 148.5323
146.118174 99.941 148.4750
146.484385 99.933 148.4158
146.850596 99.926 148.3534
147.216807 99.919 148.2870
147.583018 99.913 148.2163
147.949229 99.907 148.1412
148.315440 99.900 148.0620
148.681651 99.893 147.9786
149.047862 99.885 147.8910
149.414073 99.876 147.7987
149.780284 99.866 147.7012
150.146495 99.855 147.5978
150.512706 99.843 147.4883
150.878917 99.830 147.3723
151.245128 99.817 147.2502
151.611339 99.802 147.1223
151.977550 99.787 146.9894
152.343761 99.771 146.8523
152.709972 99.756 146.7123
153.076183 99.740 146.5708
153.442394 99.726 146.4298
153.808605 99.711 146.2915
154.174816 99.697 146.1585
154.541027 99.684 146.0336
154.907238 99.671 145.9195
155.273448 99.658 145.8184
155.639659 99.645 145.7316
156.005870 99.630 145.6595
156.372081 99.615 145.6011
156.738292 99.599 145.5544
157.104503 99.581 145.5165
157.470714 99.562 145.4840
157.836925 99.543 145.4536
158.203136 99.523 145.4224
158.569347 99.502 145.3883
158.935558 99.481 145.3498
159.301769 99.461 145.3064
159.667980 99.441 145.2581
160.034191 99.421 145.2051
160.400402 99.403 145.1484
160.766613 99.386 145.0883
161.132824 99.371 145.0255
161.499035 99.358 144.9604
161.865246 99.346 144.8933
162.231457 99.337 144.8245
162.597668 99.330 144.7541
162.963879 99.324 144.6823
163.330090 99.319 144.6093
163.696301 99.314 144.5353
164.062512 99.310 144.4608
164.428723 99.305 144.3858
164.794934 99.299 144.3105
165.161145 99.293 144.2347
165.527356 99.285 144.1584
165.893567 99.278 144.0815
166.259778 99.270 144.0037
166.625988 99.262 143.9250
166.992199 99.254 143.8452
167.358410 99.246 143.7646
167.724621 99.238 143.6831
168.090832 99.231 143.6008
168.457043 99.223 143.5180
168.823254 99.214 143.4347
169.189465 99.205 143.3513
169.555676 99.195 143.2681
169.921887 99.184 143.1858
170.288098 99.172 143.1048
