* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 20, 25 1:30:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks2 FinchPreset L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.519 26.4994
0.368865 57.548 26.3886
0.371538 57.591 26.2245
0.374230 57.644 26.0220
0.376942 57.704 25.7937
0.379673 57.767 25.5487
0.382424 57.833 25.2931
0.385196 57.901 25.0308
0.387987 57.970 24.7639
0.390798 58.040 24.4937
0.393630 58.111 24.2209
0.396483 58.182 23.9459
0.399356 58.254 23.6690
0.402250 58.326 23.3903
0.405165 58.399 23.1099
0.408101 58.472 22.8280
0.411058 58.546 22.5447
0.414037 58.620 22.2600
0.417037 58.695 21.9740
0.420059 58.771 21.6867
0.423103 58.847 21.3984
0.426169 58.923 21.1090
0.429257 59.000 20.8186
0.432368 59.078 20.5273
0.435501 59.156 20.2351
0.438656 59.235 19.9421
0.441835 59.314 19.6484
0.445037 59.394 19.3541
0.448262 59.475 19.0591
0.451510 59.556 18.7636
0.454782 59.638 18.4675
0.458077 59.720 18.1710
0.461397 59.803 17.8741
0.464740 59.886 17.5768
0.468108 59.971 17.2791
0.471500 60.055 16.9812
0.474917 60.141 16.6830
0.478358 60.227 16.3845
0.481825 60.313 16.0858
0.485316 60.400 15.7869
0.488833 60.488 15.4878
0.492375 60.577 15.1885
0.495943 60.666 14.8890
0.499537 60.756 14.5894
0.503157 60.846 14.2896
0.506803 60.937 13.9896
0.510475 61.029 13.6894
0.514175 61.121 13.3890
0.517900 61.214 13.0884
0.521653 61.308 12.7876
0.525434 61.402 12.4865
0.529241 61.497 12.1851
0.533076 61.593 11.8834
0.536939 61.690 11.5814
0.540830 61.787 11.2790
0.544749 61.885 10.9761
0.548696 61.983 10.6727
0.552673 62.083 10.3689
0.556677 62.183 10.0644
0.560711 62.284 9.7593
0.564774 62.385 9.4535
0.568867 62.487 9.1469
0.572989 62.590 8.8395
0.577141 62.694 8.5312
0.581324 62.799 8.2219
0.585536 62.904 7.9116
0.589779 63.010 7.6000
0.594053 63.117 7.2873
0.598358 63.224 6.9733
0.602694 63.332 6.6578
0.607061 63.442 6.3408
0.611460 63.551 6.0222
0.615891 63.662 5.7019
0.620354 63.774 5.3797
0.624849 63.886 5.0557
0.629377 63.999 4.7296
0.633938 64.113 4.4013
0.638532 64.228 4.0707
0.643159 64.344 3.7377
0.647819 64.460 3.4021
0.652514 64.577 3.0639
0.657242 64.695 2.7229
0.662005 64.814 2.3789
0.666802 64.934 2.0317
0.671634 65.055 1.6814
0.676501 65.177 1.3276
0.681403 65.299 0.9703
0.686341 65.422 0.6092
0.691314 65.547 0.2442
0.696324 65.671 -0.1247
0.701370 65.797 -0.4979
0.706452 65.923 -0.8754
0.711571 66.049 -1.2572
0.716728 66.174 -1.6434
0.721921 66.299 -2.0339
0.727153 66.421 -2.4284
0.732422 66.540 -2.8265
0.737729 66.656 -3.2276
0.743075 66.769 -3.6310
0.748460 66.880 -4.0362
0.753883 66.989 -4.4427
0.759346 67.097 -4.8500
0.764849 67.204 -5.2578
0.770391 67.310 -5.6660
0.775974 67.416 -6.0744
0.781597 67.522 -6.4828
0.787261 67.627 -6.8911
0.792966 67.732 -7.2991
0.798712 67.837 -7.7068
0.804500 67.942 -8.1141
0.810329 68.046 -8.5210
0.816201 68.150 -8.9272
0.822116 68.254 -9.3329
0.828073 68.358 -9.7380
0.834074 68.461 -10.1424
0.840118 68.565 -10.5462
0.846206 68.668 -10.9492
0.852338 68.770 -11.3516
0.858514 68.873 -11.7533
0.864735 68.975 -12.1543
0.871001 69.077 -12.5547
0.877313 69.179 -12.9545
0.883670 69.281 -13.3537
0.890074 69.383 -13.7525
0.896524 69.484 -14.1508
0.903020 69.586 -14.5488
0.909564 69.687 -14.9465
0.916155 69.788 -15.3440
0.922794 69.889 -15.7415
0.929481 69.990 -16.1389
0.936216 70.091 -16.5365
0.943000 70.192 -16.9344
0.949834 70.292 -17.3326
0.956717 70.393 -17.7313
0.963649 70.494 -18.1308
0.970632 70.595 -18.5310
0.977666 70.695 -18.9322
0.984750 70.796 -19.3346
0.991886 70.897 -19.7383
0.999074 70.998 -20.1435
1.006314 71.099 -20.5505
1.013606 71.201 -20.9593
1.020951 71.302 -21.3702
1.028349 71.404 -21.7835
1.035801 71.506 -22.1994
1.043307 71.608 -22.6181
1.050867 71.711 -23.0398
1.058482 71.814 -23.4648
1.066152 71.917 -23.8935
1.073878 72.021 -24.3259
1.081660 72.125 -24.7625
1.089498 72.229 -25.2035
1.097393 72.334 -25.6491
1.105345 72.438 -26.0994
1.113355 72.543 -26.5546
1.121423 72.647 -27.0145
1.129549 72.751 -27.4789
1.137734 72.855 -27.9478
1.145979 72.958 -28.4207
1.154283 73.061 -28.8975
1.162647 73.164 -29.3778
1.171072 73.266 -29.8613
1.179558 73.368 -30.3478
1.188106 73.469 -30.8370
1.196715 73.570 -31.3285
1.205387 73.671 -31.8222
1.214122 73.772 -32.3178
1.222920 73.872 -32.8150
1.231782 73.972 -33.3136
1.240708 74.071 -33.8133
1.249699 74.170 -34.3140
1.258754 74.269 -34.8154
1.267876 74.368 -35.3174
1.277063 74.466 -35.8197
1.286318 74.564 -36.3221
1.295639 74.662 -36.8246
1.305027 74.759 -37.3269
1.314484 74.857 -37.8290
1.324009 74.954 -38.3306
1.333604 75.051 -38.8316
1.343268 75.148 -39.3321
1.353002 75.245 -39.8317
1.362806 75.342 -40.3306
1.372681 75.439 -40.8285
1.382628 75.535 -41.3255
1.392647 75.632 -41.8215
1.402739 75.729 -42.3164
1.412904 75.826 -42.8104
1.423142 75.922 -43.3035
1.433455 76.019 -43.7959
1.443843 76.116 -44.2878
1.454305 76.213 -44.7796
1.464844 76.310 -45.2718
1.475459 76.406 -45.7649
1.486150 76.503 -46.2596
1.496920 76.599 -46.7562
1.507767 76.694 -47.2548
1.518693 76.789 -47.7556
1.529698 76.883 -48.2586
1.540783 76.977 -48.7636
1.551948 77.071 -49.2706
1.563194 77.164 -49.7794
1.574521 77.256 -50.2898
1.585931 77.348 -50.8018
1.597423 77.440 -51.3153
1.608999 77.531 -51.8300
1.620658 77.621 -52.3459
1.632402 77.712 -52.8629
1.644232 77.801 -53.3809
1.656146 77.891 -53.8998
1.668147 77.980 -54.4195
1.680235 78.068 -54.9401
1.692411 78.157 -55.4613
1.704675 78.245 -55.9833
1.717028 78.333 -56.5059
1.729470 78.420 -57.0292
1.742003 78.507 -57.5532
1.754626 78.594 -58.0779
1.767341 78.681 -58.6035
1.780147 78.768 -59.1300
1.793047 78.854 -59.6578
1.806040 78.941 -60.1873
1.819128 79.027 -60.7190
1.832310 79.113 -61.2535
1.845587 79.198 -61.7917
1.858961 79.283 -62.3340
1.872432 79.367 -62.8809
1.886001 79.451 -63.4325
1.899667 79.534 -63.9886
1.913433 79.617 -64.5491
1.927299 79.698 -65.1135
1.941265 79.780 -65.6814
1.955332 79.860 -66.2523
1.969501 79.940 -66.8259
1.983773 80.020 -67.4017
1.998148 80.099 -67.9791
2.012627 80.177 -68.5579
2.027212 80.255 -69.1374
2.041902 80.332 -69.7172
2.056698 80.409 -70.2971
2.071602 80.485 -70.8765
2.086614 80.562 -71.4551
2.101734 80.637 -72.0326
2.116964 80.712 -72.6087
2.132304 80.787 -73.1832
2.147756 80.862 -73.7561
2.163320 80.936 -74.3277
2.178996 81.010 -74.8983
2.194786 81.084 -75.4688
2.210690 81.157 -76.0402
2.226710 81.229 -76.6133
2.242845 81.301 -77.1890
2.259098 81.372 -77.7677
2.275468 81.442 -78.3494
2.291957 81.512 -78.9341
2.308566 81.581 -79.5215
2.325295 81.649 -80.1111
2.342145 81.716 -80.7026
2.359117 81.783 -81.2953
2.376212 81.849 -81.8889
2.393431 81.915 -82.4828
2.410775 81.980 -83.0765
2.428244 82.044 -83.6694
2.445840 82.108 -84.2611
2.463564 82.172 -84.8512
2.481416 82.235 -85.4392
2.499397 82.298 -86.0248
2.517509 82.360 -86.6081
2.535752 82.422 -87.1891
2.554127 82.484 -87.7684
2.572635 82.545 -88.3467
2.591277 82.605 -88.9249
2.610055 82.664 -89.5038
2.628968 82.723 -90.0839
2.648019 82.782 -90.6655
2.667208 82.839 -91.2486
2.686535 82.896 -91.8329
2.706003 82.952 -92.4183
2.725612 83.007 -93.0042
2.745363 83.062 -93.5904
2.765257 83.116 -94.1763
2.785295 83.170 -94.7615
2.805478 83.223 -95.3454
2.825808 83.276 -95.9277
2.846285 83.328 -96.5080
2.866910 83.380 -97.0860
2.887685 83.432 -97.6616
2.908611 83.483 -98.2349
2.929688 83.534 -98.8063
2.950917 83.584 -99.3765
2.972301 83.633 -99.9461
2.993839 83.682 -100.5156
3.015534 83.731 -101.0853
3.037386 83.778 -101.6552
3.059396 83.826 -102.2254
3.081565 83.872 -102.7955
3.103896 83.918 -103.3653
3.126388 83.963 -103.9345
3.149043 84.008 -104.5026
3.171862 84.053 -105.0692
3.194847 84.097 -105.6341
3.217998 84.141 -106.1968
3.241317 84.185 -106.7572
3.264805 84.228 -107.3152
3.288463 84.271 -107.8708
3.312293 84.313 -108.4244
3.336295 84.355 -108.9765
3.360471 84.397 -109.5273
3.384822 84.438 -110.0772
3.409350 84.479 -110.6264
3.434056 84.519 -111.1748
3.458940 84.559 -111.7226
3.484005 84.598 -112.2696
3.509252 84.637 -112.8157
3.534681 84.676 -113.3608
3.560295 84.714 -113.9047
3.586094 84.752 -114.4473
3.612081 84.790 -114.9886
3.638255 84.827 -115.5287
3.664620 84.864 -116.0676
3.691175 84.901 -116.6055
3.717923 84.938 -117.1426
3.744864 84.974 -117.6792
3.772001 85.010 -118.2154
3.799335 85.045 -118.7512
3.826866 85.080 -119.2865
3.854597 85.115 -119.8214
3.882529 85.150 -120.3557
3.910664 85.184 -120.8894
3.939002 85.217 -121.4224
3.967546 85.251 -121.9547
3.996296 85.284 -122.4863
4.025255 85.317 -123.0173
4.054423 85.349 -123.5480
4.083804 85.381 -124.0784
4.113396 85.413 -124.6087
4.143204 85.444 -125.1390
4.173227 85.475 -125.6692
4.203468 85.506 -126.1994
4.233928 85.536 -126.7295
4.264609 85.566 -127.2593
4.295512 85.595 -127.7887
4.326639 85.624 -128.3179
4.357992 85.653 -128.8467
4.389572 85.681 -129.3754
4.421380 85.709 -129.9041
4.453419 85.736 -130.4330
4.485691 85.762 -130.9621
4.518196 85.789 -131.4915
4.550936 85.814 -132.0211
4.583914 85.839 -132.5505
4.617131 85.864 -133.0797
4.650589 85.888 -133.6084
4.684289 85.912 -134.1363
4.718233 85.935 -134.6635
4.752424 85.957 -135.1899
4.786862 85.979 -135.7158
4.821549 86.001 -136.2412
4.856488 86.021 -136.7662
4.891680 86.042 -137.2909
4.927127 86.061 -137.8150
4.962831 86.080 -138.3385
4.998794 86.099 -138.8609
5.035017 86.116 -139.3820
5.071503 86.134 -139.9016
5.108253 86.150 -140.4196
5.145270 86.167 -140.9362
5.182555 86.182 -141.4512
5.220110 86.197 -141.9649
5.257937 86.212 -142.4773
5.296038 86.225 -142.9884
5.334415 86.239 -143.4979
5.373071 86.251 -144.0057
5.412006 86.264 -144.5116
5.451224 86.275 -145.0156
5.490725 86.287 -145.5174
5.530514 86.298 -146.0171
5.570590 86.308 -146.5148
5.610957 86.318 -147.0106
5.651616 86.327 -147.5045
5.692570 86.336 -147.9965
5.733821 86.345 -148.4868
5.775370 86.353 -148.9752
5.817221 86.360 -149.4617
5.859375 86.368 -149.9464
5.901834 86.375 -150.4292
5.944602 86.382 -150.9102
5.987679 86.388 -151.3895
6.031068 86.394 -151.8672
6.074771 86.399 -152.3435
6.118792 86.405 -152.8185
6.163131 86.409 -153.2923
6.207792 86.414 -153.7651
6.252776 86.418 -154.2368
6.298086 86.422 -154.7075
6.343725 86.425 -155.1774
