* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 20, 25 11:20:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks2 No DSP L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.315 12.6244
0.368865 62.344 12.5378
0.371538 62.385 12.4097
0.374230 62.437 12.2519
0.376942 62.495 12.0744
0.379673 62.557 11.8843
0.382424 62.622 11.6866
0.385196 62.688 11.4842
0.387987 62.756 11.2788
0.390798 62.824 11.0713
0.393630 62.893 10.8624
0.396483 62.963 10.6524
0.399356 63.033 10.4413
0.402250 63.103 10.2293
0.405165 63.174 10.0166
0.408101 63.246 9.8030
0.411058 63.318 9.5887
0.414037 63.391 9.3738
0.417037 63.464 9.1582
0.420059 63.538 8.9419
0.423103 63.612 8.7251
0.426169 63.687 8.5077
0.429257 63.762 8.2897
0.432368 63.838 8.0713
0.435501 63.915 7.8523
0.438656 63.992 7.6329
0.441835 64.069 7.4130
0.445037 64.147 7.1927
0.448262 64.226 6.9719
0.451510 64.305 6.7508
0.454782 64.385 6.5292
0.458077 64.466 6.3073
0.461397 64.547 6.0850
0.464740 64.628 5.8622
0.468108 64.711 5.6391
0.471500 64.793 5.4157
0.474917 64.877 5.1918
0.478358 64.961 4.9675
0.481825 65.045 4.7428
0.485316 65.131 4.5178
0.488833 65.216 4.2922
0.492375 65.303 4.0663
0.495943 65.390 3.8399
0.499537 65.478 3.6130
0.503157 65.566 3.3855
0.506803 65.655 3.1576
0.510475 65.745 2.9291
0.514175 65.835 2.7000
0.517900 65.926 2.4703
0.521653 66.018 2.2399
0.525434 66.110 2.0088
0.529241 66.203 1.7770
0.533076 66.296 1.5444
0.536939 66.391 1.3110
0.540830 66.486 1.0767
0.544749 66.581 0.8415
0.548696 66.678 0.6053
0.552673 66.775 0.3680
0.556677 66.873 0.1297
0.560711 66.971 -0.1098
0.564774 67.070 -0.3504
0.568867 67.170 -0.5924
0.572989 67.271 -0.8357
0.577141 67.372 -1.0804
0.581324 67.474 -1.3267
0.585536 67.577 -1.5744
0.589779 67.681 -1.8238
0.594053 67.785 -2.0750
0.598358 67.890 -2.3279
0.602694 67.996 -2.5827
0.607061 68.103 -2.8395
0.611460 68.210 -3.0983
0.615891 68.318 -3.3593
0.620354 68.427 -3.6226
0.624849 68.537 -3.8882
0.629377 68.648 -4.1562
0.633938 68.759 -4.4268
0.638532 68.871 -4.7000
0.643159 68.984 -4.9760
0.647819 69.098 -5.2549
0.652514 69.213 -5.5367
0.657242 69.328 -5.8217
0.662005 69.444 -6.1099
0.666802 69.562 -6.4014
0.671634 69.680 -6.6964
0.676501 69.798 -6.9950
0.681403 69.918 -7.2973
0.686341 70.039 -7.6035
0.691314 70.160 -7.9137
0.696324 70.282 -8.2280
0.701370 70.405 -8.5466
0.706452 70.528 -8.8694
0.711571 70.651 -9.1966
0.716728 70.774 -9.5282
0.721921 70.895 -9.8639
0.727153 71.015 -10.2035
0.732422 71.132 -10.5465
0.737729 71.246 -10.8923
0.743075 71.357 -11.2403
0.748460 71.466 -11.5898
0.753883 71.573 -11.9404
0.759346 71.680 -12.2917
0.764849 71.785 -12.6435
0.770391 71.890 -12.9956
0.775974 71.995 -13.3479
0.781597 72.099 -13.7001
0.787261 72.203 -14.0523
0.792966 72.307 -14.4044
0.798712 72.411 -14.7563
0.804500 72.514 -15.1080
0.810329 72.618 -15.4594
0.816201 72.721 -15.8105
0.822116 72.824 -16.1612
0.828073 72.927 -16.5116
0.834074 73.029 -16.8617
0.840118 73.132 -17.2114
0.846206 73.234 -17.5608
0.852338 73.336 -17.9099
0.858514 73.438 -18.2586
0.864735 73.540 -18.6071
0.871001 73.641 -18.9554
0.877313 73.743 -19.3035
0.883670 73.844 -19.6514
0.890074 73.946 -19.9993
0.896524 74.047 -20.3472
0.903020 74.148 -20.6952
0.909564 74.248 -21.0433
0.916155 74.349 -21.3916
0.922794 74.450 -21.7403
0.929481 74.551 -22.0894
0.936216 74.651 -22.4391
0.943000 74.752 -22.7894
0.949834 74.852 -23.1405
0.956717 74.953 -23.4925
0.963649 75.053 -23.8456
0.970632 75.154 -24.1998
0.977666 75.254 -24.5554
0.984750 75.355 -24.9124
0.991886 75.456 -25.2711
0.999074 75.557 -25.6315
1.006314 75.658 -25.9940
1.013606 75.759 -26.3586
1.020951 75.860 -26.7256
1.028349 75.962 -27.0951
1.035801 76.063 -27.4674
1.043307 76.165 -27.8426
1.050867 76.268 -28.2211
1.058482 76.370 -28.6029
1.066152 76.473 -28.9884
1.073878 76.576 -29.3777
1.081660 76.680 -29.7711
1.089498 76.784 -30.1688
1.097393 76.887 -30.5709
1.105345 76.991 -30.9775
1.113355 77.095 -31.3885
1.121423 77.199 -31.8040
1.129549 77.302 -32.2236
1.137734 77.405 -32.6472
1.145979 77.508 -33.0746
1.154283 77.610 -33.5055
1.162647 77.712 -33.9396
1.171072 77.813 -34.3768
1.179558 77.914 -34.8167
1.188106 78.015 -35.2590
1.196715 78.116 -35.7037
1.205387 78.216 -36.1504
1.214122 78.316 -36.5990
1.222920 78.415 -37.0491
1.231782 78.514 -37.5007
1.240708 78.613 -37.9535
1.249699 78.711 -38.4074
1.258754 78.809 -38.8621
1.267876 78.907 -39.3175
1.277063 79.005 -39.7734
1.286318 79.102 -40.2298
1.295639 79.199 -40.6864
1.305027 79.296 -41.1431
1.314484 79.393 -41.5998
1.324009 79.490 -42.0564
1.333604 79.586 -42.5128
1.343268 79.682 -42.9689
1.353002 79.779 -43.4246
1.362806 79.875 -43.8799
1.372681 79.971 -44.3347
1.382628 80.067 -44.7889
1.392647 80.162 -45.2425
1.402739 80.258 -45.6955
1.412904 80.354 -46.1480
1.423142 80.450 -46.5999
1.433455 80.547 -47.0516
1.443843 80.643 -47.5031
1.454305 80.739 -47.9548
1.464844 80.835 -48.4072
1.475459 80.930 -48.8607
1.486150 81.026 -49.3159
1.496920 81.121 -49.7729
1.507767 81.215 -50.2321
1.518693 81.309 -50.6935
1.529698 81.403 -51.1570
1.540783 81.496 -51.6226
1.551948 81.588 -52.0902
1.563194 81.680 -52.5596
1.574521 81.772 -53.0307
1.585931 81.863 -53.5034
1.597423 81.954 -53.9775
1.608999 82.044 -54.4530
1.620658 82.133 -54.9297
1.632402 82.222 -55.4075
1.644232 82.311 -55.8864
1.656146 82.400 -56.3663
1.668147 82.488 -56.8470
1.680235 82.575 -57.3285
1.692411 82.662 -57.8108
1.704675 82.749 -58.2938
1.717028 82.836 -58.7775
1.729470 82.923 -59.2619
1.742003 83.009 -59.7469
1.754626 83.095 -60.2327
1.767341 83.181 -60.7192
1.780147 83.266 -61.2066
1.793047 83.352 -61.6952
1.806040 83.437 -62.1852
1.819128 83.522 -62.6773
1.832310 83.606 -63.1720
1.845587 83.691 -63.6699
1.858961 83.774 -64.1718
1.872432 83.858 -64.6778
1.886001 83.940 -65.1882
1.899667 84.022 -65.7027
1.913433 84.103 -66.2213
1.927299 84.184 -66.7435
1.941265 84.264 -67.2690
1.955332 84.344 -67.7973
1.969501 84.422 -68.3280
1.983773 84.500 -68.8607
1.998148 84.578 -69.3950
2.012627 84.655 -69.9304
2.027212 84.732 -70.4666
2.041902 84.808 -71.0030
2.056698 84.884 -71.5394
2.071602 84.959 -72.0752
2.086614 85.033 -72.6103
2.101734 85.108 -73.1441
2.116964 85.182 -73.6766
2.132304 85.256 -74.2074
2.147756 85.329 -74.7366
2.163320 85.402 -75.2643
2.178996 85.475 -75.7909
2.194786 85.547 -76.3172
2.210690 85.619 -76.8439
2.226710 85.690 -77.3720
2.242845 85.760 -77.9023
2.259098 85.830 -78.4350
2.275468 85.899 -78.9704
2.291957 85.967 -79.5082
2.308566 86.035 -80.0483
2.325295 86.102 -80.5903
2.342145 86.168 -81.1337
2.359117 86.234 -81.6781
2.376212 86.299 -82.2231
2.393431 86.363 -82.7681
2.410775 86.427 -83.3128
2.428244 86.491 -83.8565
2.445840 86.553 -84.3988
2.463564 86.616 -84.9394
2.481416 86.678 -85.4777
2.499397 86.740 -86.0136
2.517509 86.801 -86.5470
2.535752 86.862 -87.0778
2.554127 86.922 -87.6067
2.572635 86.982 -88.1341
2.591277 87.042 -88.6609
2.610055 87.101 -89.1877
2.628968 87.159 -89.7152
2.648019 87.216 -90.2434
2.667208 87.273 -90.7724
2.686535 87.329 -91.3022
2.706003 87.384 -91.8323
2.725612 87.439 -92.3626
2.745363 87.493 -92.8927
2.765257 87.547 -93.4221
2.785295 87.600 -93.9506
2.805478 87.653 -94.4775
2.825808 87.705 -95.0027
2.846285 87.757 -95.5257
2.866910 87.809 -96.0462
2.887685 87.860 -96.5643
2.908611 87.911 -97.0798
2.929688 87.962 -97.5932
2.950917 88.012 -98.1048
2.972301 88.062 -98.6153
2.993839 88.111 -99.1249
3.015534 88.160 -99.6341
3.037386 88.208 -100.1428
3.059396 88.255 -100.6511
3.081565 88.302 -101.1588
3.103896 88.349 -101.6657
3.126388 88.395 -102.1717
3.149043 88.441 -102.6763
3.171862 88.487 -103.1794
3.194847 88.532 -103.6807
3.217998 88.577 -104.1799
3.241317 88.622 -104.6768
3.264805 88.667 -105.1714
3.288463 88.711 -105.6637
3.312293 88.755 -106.1539
3.336295 88.799 -106.6422
3.360471 88.843 -107.1288
3.384822 88.886 -107.6142
3.409350 88.929 -108.0983
3.434056 88.971 -108.5814
3.458940 89.013 -109.0635
3.484005 89.055 -109.5447
3.509252 89.097 -110.0249
3.534681 89.139 -110.5042
3.560295 89.180 -110.9826
3.586094 89.221 -111.4601
3.612081 89.262 -111.9367
3.638255 89.303 -112.4124
3.664620 89.343 -112.8873
3.691175 89.384 -113.3615
3.717923 89.424 -113.8351
3.744864 89.464 -114.3082
3.772001 89.504 -114.7810
3.799335 89.544 -115.2534
3.826866 89.583 -115.7255
3.854597 89.623 -116.1973
3.882529 89.662 -116.6690
3.910664 89.700 -117.1404
3.939002 89.739 -117.6117
3.967546 89.777 -118.0829
3.996296 89.815 -118.5541
4.025255 89.853 -119.0253
4.054423 89.891 -119.4968
4.083804 89.928 -119.9686
4.113396 89.965 -120.4408
4.143204 90.002 -120.9134
4.173227 90.039 -121.3864
4.203468 90.075 -121.8597
4.233928 90.111 -122.3334
4.264609 90.146 -122.8073
4.295512 90.182 -123.2815
4.326639 90.216 -123.7559
4.357992 90.251 -124.2307
4.389572 90.285 -124.7059
4.421380 90.319 -125.1818
4.453419 90.352 -125.6584
4.485691 90.385 -126.1359
4.518196 90.417 -126.6142
4.550936 90.449 -127.0931
4.583914 90.480 -127.5723
4.617131 90.511 -128.0516
4.650589 90.542 -128.5308
4.684289 90.571 -129.0096
4.718233 90.601 -129.4880
4.752424 90.630 -129.9659
4.786862 90.658 -130.4436
4.821549 90.686 -130.9212
4.856488 90.713 -131.3987
4.891680 90.739 -131.8761
4.927127 90.765 -132.3532
4.962831 90.790 -132.8297
4.998794 90.815 -133.3053
5.035017 90.839 -133.7796
5.071503 90.863 -134.2523
5.108253 90.886 -134.7235
5.145270 90.909 -135.1930
5.182555 90.931 -135.6610
5.220110 90.952 -136.1275
5.257937 90.973 -136.5927
5.296038 90.994 -137.0562
5.334415 91.013 -137.5182
5.373071 91.033 -137.9781
5.412006 91.052 -138.4360
5.451224 91.070 -138.8915
5.490725 91.088 -139.3446
5.530514 91.106 -139.7953
5.570590 91.123 -140.2435
5.610957 91.140 -140.6895
5.651616 91.157 -141.1333
5.692570 91.173 -141.5748
5.733821 91.189 -142.0143
5.775370 91.204 -142.4515
5.817221 91.220 -142.8866
5.859375 91.235 -143.3194
5.901834 91.250 -143.7501
5.944602 91.264 -144.1785
5.987679 91.279 -144.6050
6.031068 91.293 -145.0296
6.074771 91.307 -145.4525
6.118792 91.321 -145.8740
6.163131 91.335 -146.2942
6.207792 91.349 -146.7132
6.252776 91.362 -147.1311
