* Measurement data measured by REW V5.30.4
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 27, 24 4:26:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Samsung Galaxy Buds2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.931 -136.8015
20.287556 92.933 -137.1726
20.434568 92.934 -137.6961
20.582645 92.936 -138.3114
20.731796 92.937 -138.9627
20.882027 92.941 -139.6059
21.033346 92.947 -140.2103
21.185762 92.959 -140.7587
21.339283 92.978 -141.2447
21.493916 93.004 -141.6705
21.649670 93.038 -142.0436
21.806553 93.076 -142.3740
21.964573 93.118 -142.6717
22.123737 93.160 -142.9446
22.284056 93.200 -143.1981
22.445536 93.235 -143.4350
22.608185 93.264 -143.6568
22.772013 93.286 -143.8647
22.937029 93.300 -144.0616
23.103241 93.308 -144.2523
23.270657 93.309 -144.4443
23.439285 93.304 -144.6472
23.609137 93.294 -144.8715
23.780218 93.279 -145.1261
23.952539 93.259 -145.4171
24.126110 93.234 -145.7460
24.300938 93.205 -146.1090
24.477032 93.172 -146.4970
24.654402 93.137 -146.8974
24.833057 93.103 -147.2960
25.013008 93.074 -147.6792
25.194263 93.053 -148.0374
25.376831 93.046 -148.3661
25.560722 93.055 -148.6672
25.745945 93.082 -148.9482
25.932510 93.127 -149.2198
26.120428 93.187 -149.4937
26.309708 93.260 -149.7795
26.500359 93.339 -150.0831
26.692390 93.418 -150.4056
26.885815 93.491 -150.7437
27.080641 93.552 -151.0908
27.276878 93.595 -151.4383
27.474539 93.618 -151.7772
27.673630 93.618 -152.0992
27.874165 93.594 -152.3975
28.076153 93.547 -152.6681
28.279604 93.482 -152.9111
28.484529 93.405 -153.1324
28.690941 93.323 -153.3454
28.898848 93.247 -153.5727
29.108261 93.187 -153.8449
29.319191 93.151 -154.1964
29.531651 93.145 -154.6575
29.745649 93.168 -155.2436
29.961199 93.215 -155.9454
30.178310 93.277 -156.7222
30.396996 93.342 -157.5014
30.617264 93.399 -158.1858
30.839128 93.439 -158.6651
31.062601 93.462 -158.8347
31.287693 93.469 -158.6153
31.514416 93.470 -157.9770
31.742783 93.477 -156.9574
31.972803 93.499 -155.6689
32.204491 93.541 -154.2831
32.437859 93.600 -152.9939
32.672916 93.663 -151.9701
32.909679 93.713 -151.3175
33.148155 93.737 -151.0642
33.388359 93.724 -151.1670
33.630306 93.674 -151.5315
33.874004 93.596 -152.0381
34.119469 93.511 -152.5710
34.366711 93.442 -153.0437
34.615746 93.416 -153.4179
34.866585 93.448 -153.7076
35.119244 93.543 -153.9649
35.373734 93.690 -154.2512
35.630066 93.867 -154.6095
35.888256 94.049 -155.0495
36.148315 94.217 -155.5497
36.410259 94.355 -156.0721
36.674103 94.459 -156.5796
36.939857 94.530 -157.0503
37.207539 94.575 -157.4850
37.477161 94.604 -157.9063
37.748737 94.623 -158.3499
38.022282 94.640 -158.8509
38.297806 94.657 -159.4310
38.575329 94.675 -160.0901
38.854862 94.693 -160.8057
39.136421 94.710 -161.5402
39.420021 94.726 -162.2513
39.705673 94.739 -162.9032
39.993397 94.751 -163.4754
40.283207 94.761 -163.9651
40.575115 94.770 -164.3860
40.869141 94.778 -164.7624
41.165295 94.783 -165.1207
41.463596 94.785 -165.4820
41.764057 94.784 -165.8578
42.066696 94.780 -166.2479
42.371529 94.773 -166.6445
42.678570 94.767 -167.0374
42.987835 94.763 -167.4199
43.299343 94.763 -167.7918
43.613110 94.765 -168.1583
43.929150 94.768 -168.5264
44.247478 94.770 -168.9003
44.568115 94.768 -169.2795
44.891075 94.762 -169.6609
45.216373 94.755 -170.0421
45.544029 94.749 -170.4244
45.874062 94.746 -170.8098
46.206486 94.748 -171.1959
46.541317 94.754 -171.5710
46.878574 94.764 -171.9158
47.218277 94.779 -172.2127
47.560440 94.800 -172.4606
47.905083 94.830 -172.6833
48.252224 94.866 -172.9244
48.601879 94.906 -173.2273
48.954067 94.943 -173.6130
49.308807 94.974 -174.0688
49.666119 95.000 -174.5569
50.026020 95.025 -175.0376
50.388531 95.055 -175.4927
50.753666 95.092 -175.9317
51.121449 95.129 -176.3772
51.491894 95.154 -176.8389
51.865025 95.153 -177.2991
52.240860 95.119 -177.7190
52.619419 95.054 -178.0645
53.000721 94.968 -178.3319
53.384785 94.876 -178.5555
53.771633 94.791 -178.7903
54.161285 94.721 -179.0797
54.553761 94.670 -179.4319
54.949081 94.636 -179.8205
55.347263 94.615 179.7947
55.748333 94.604 179.4447
56.152309 94.594 179.1415
56.559212 94.582 178.8798
56.969063 94.562 178.6431
57.381886 94.537 178.4062
57.797699 94.512 178.1362
58.216526 94.492 177.7999
58.638386 94.482 177.3779
59.063305 94.481 176.8776
59.491302 94.485 176.3356
59.922401 94.491 175.8076
60.356625 94.495 175.3491
60.793995 94.495 174.9984
61.234531 94.491 174.7629
61.678261 94.485 174.6140
62.125206 94.479 174.4934
62.575390 94.473 174.3338
63.028835 94.464 174.0878
63.485569 94.449 173.7485
63.945610 94.426 173.3476
64.408989 94.398 172.9335
64.875725 94.371 172.5431
65.345840 94.348 172.1870
65.819366 94.330 171.8553
66.296318 94.315 171.5325
66.776726 94.300 171.2087
67.260620 94.284 170.8807
67.748016 94.268 170.5464
68.238945 94.252 170.2037
68.733429 94.237 169.8520
69.231499 94.222 169.4940
69.733177 94.209 169.1342
70.238495 94.195 168.7759
70.747475 94.181 168.4211
71.260139 94.163 168.0723
71.776520 94.142 167.7351
72.296638 94.117 167.4146
72.820526 94.091 167.1103
73.348213 94.066 166.8140
73.879723 94.044 166.5141
74.415085 94.024 166.2040
74.954330 94.004 165.8869
75.497482 93.982 165.5735
76.044571 93.955 165.2760
76.595619 93.926 165.0022
77.150665 93.898 164.7507
77.709732 93.876 164.5093
78.272850 93.862 164.2616
78.840050 93.855 163.9996
79.411354 93.851 163.7346
79.986801 93.845 163.4915
80.566422 93.835 163.2862
81.150238 93.823 163.1086
81.738289 93.810 162.9236
82.330597 93.795 162.6925
82.927200 93.776 162.3946
83.528122 93.749 162.0363
84.133400 93.714 161.6444
84.743065 93.671 161.2521
85.357147 93.622 160.8849
85.975677 93.573 160.5544
86.598694 93.526 160.2571
87.226227 93.485 159.9807
87.858307 93.449 159.7120
88.494965 93.419 159.4438
89.136238 93.393 159.1730
89.782158 93.369 158.8946
90.432755 93.345 158.6003
91.088066 93.318 158.2850
91.748131 93.288 157.9534
92.412979 93.256 157.6181
93.082642 93.224 157.2918
93.757156 93.191 156.9817
94.436562 93.159 156.6891
95.120888 93.128 156.4125
95.810173 93.096 156.1499
96.504456 93.064 155.8991
97.203766 93.032 155.6572
97.908142 92.999 155.4209
98.617622 92.964 155.1855
99.332245 92.929 154.9460
100.052048 92.893 154.6983
100.777069 92.858 154.4415
101.507339 92.823 154.1790
102.242905 92.789 153.9158
102.983795 92.754 153.6575
103.730057 92.719 153.4079
104.481728 92.683 153.1693
105.238846 92.646 152.9408
106.001450 92.610 152.7189
106.769577 92.574 152.4996
107.543274 92.539 152.2800
108.322578 92.504 152.0585
109.107529 92.469 151.8340
109.898170 92.434 151.6063
110.694534 92.398 151.3772
111.496674 92.362 151.1491
112.304626 92.325 150.9229
113.118431 92.287 150.6971
113.938133 92.247 150.4698
114.763779 92.206 150.2416
115.595406 92.164 150.0156
116.433060 92.122 149.7942
117.276779 92.079 149.5759
118.126617 92.037 149.3553
118.982613 91.995 149.1276
119.844810 91.955 148.8933
120.713257 91.918 148.6580
121.587997 91.884 148.4297
122.469070 91.850 148.2166
123.356529 91.816 148.0240
124.250420 91.780 147.8534
125.150787 91.740 147.6999
126.057678 91.696 147.5526
126.971146 91.651 147.3992
127.891228 91.606 147.2332
128.817978 91.562 147.0566
129.751450 91.521 146.8760
130.691681 91.482 146.6961
131.638733 91.443 146.5183
132.592636 91.404 146.3433
133.553452 91.363 146.1739
134.521240 91.322 146.0152
135.496033 91.279 145.8702
136.477890 91.237 145.7368
137.466858 91.195 145.6091
138.462997 91.154 145.4819
139.466354 91.113 145.3537
140.476990 91.073 145.2246
141.494949 91.031 145.0955
142.520279 90.988 144.9670
143.553040 90.945 144.8396
144.593277 90.902 144.7133
145.641052 90.860 144.5892
146.696426 90.818 144.4687
147.759445 90.775 144.3502
148.830170 90.731 144.2291
149.908661 90.687 144.1005
150.994965 90.643 143.9641
152.089142 90.600 143.8240
153.191238 90.559 143.6866
154.301331 90.519 143.5578
155.419464 90.480 143.4412
156.545700 90.440 143.3375
157.680099 90.401 143.2448
158.822708 90.361 143.1590
159.973602 90.321 143.0750
161.132843 90.280 142.9893
162.300476 90.239 142.9028
163.476578 90.197 142.8200
164.661194 90.155 142.7454
165.854401 90.112 142.6813
167.056244 90.068 142.6281
168.266800 90.024 142.5847
169.486130 89.979 142.5475
170.714294 89.934 142.5089
171.951355 89.889 142.4599
173.197388 89.844 142.3977
174.452454 89.802 142.3275
175.716614 89.763 142.2605
176.989929 89.728 142.2067
178.272476 89.696 142.1694
179.564316 89.662 142.1470
180.865509 89.626 142.1331
182.176132 89.585 142.1174
183.496262 89.541 142.0931
184.825958 89.496 142.0621
186.165283 89.452 142.0377
187.514313 89.413 142.0411
188.873123 89.382 142.0864
190.241776 89.360 142.1707
191.620346 89.343 142.2834
193.008911 89.327 142.4214
194.407532 89.307 142.5865
195.816284 89.279 142.7759
197.235245 89.248 142.9778
198.664490 89.219 143.1742
200.104095 89.200 143.3567
201.554138 89.197 143.5363
203.014679 89.212 143.7248
204.485809 89.244 143.9129
205.967590 89.283 144.0800
207.460114 89.318 144.1915
208.963455 89.340 144.1970
210.477692 89.351 144.0736
212.002899 89.358 143.8616
213.539154 89.369 143.6395
215.086548 89.390 143.4667
216.645157 89.424 143.3588
218.215057 89.471 143.2899
219.796341 89.524 143.1991
221.389069 89.572 143.0154
222.993347 89.606 142.6935
224.609253 89.620 142.2531
226.236862 89.615 141.7848
227.876266 89.597 141.3934
229.527557 89.571 141.1453
231.190811 89.541 141.0458
232.866119 89.513 141.0497
234.553558 89.488 141.0975
236.253235 89.468 141.1315
237.965225 89.450 141.0896
239.689621 89.432 140.9244
241.426514 89.411 140.6375
243.175995 89.387 140.2677
244.938141 89.363 139.8608
246.713058 89.340 139.4579
248.500839 89.321 139.0870
250.301575 89.304 138.7589
252.115356 89.289 138.4725
253.942291 89.276 138.2220
255.782455 89.262 138.0009
257.635956 89.250 137.8044
259.502899 89.238 137.6254
261.383362 89.228 137.4548
263.277466 89.219 137.2842
265.185272 89.211 137.1091
267.106903 89.203 136.9268
269.042480 89.195 136.7348
270.992065 89.186 136.5314
272.955780 89.175 136.3167
274.933716 89.164 136.0914
276.925995 89.151 135.8566
278.932709 89.139 135.6151
280.953979 89.127 135.3708
282.989899 89.115 135.1254
285.040558 89.105 134.8786
287.106079 89.097 134.6288
289.186554 89.090 134.3746
291.282104 89.083 134.1166
293.392853 89.078 133.8573
295.518890 89.073 133.5995
297.660339 89.067 133.3459
299.817322 89.062 133.0974
301.989929 89.056 132.8506
304.178284 89.050 132.5988
306.382477 89.044 132.3363
308.602661 89.037 132.0638
310.838928 89.030 131.7865
313.091400 89.023 131.5095
315.360199 89.016 131.2346
317.645416 89.011 130.9595
319.947205 89.006 130.6792
322.265686 89.002 130.3883
324.600952 88.997 130.0844
326.953156 88.992 129.7701
329.322388 88.986 129.4520
331.708801 88.978 129.1378
334.112488 88.969 128.8321
336.533600 88.959 128.5339
338.972260 88.950 128.2377
341.428589 88.941 127.9383
343.902710 88.933 127.6327
346.394775 88.924 127.3203
348.904907 88.917 126.9996
351.433228 88.911 126.6695
353.979858 88.907 126.3305
356.544952 88.905 125.9857
359.128632 88.907 125.6387
361.731018 88.910 125.2910
364.352264 88.913 124.9409
366.992523 88.917 124.5844
369.651917 88.918 124.2170
372.330566 88.917 123.8337
375.028625 88.914 123.4313
377.746246 88.909 123.0119
380.483551 88.903 122.5843
