* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2024 7:17:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser IE 600 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.367 -176.6481
20.507813 102.352 -176.8863
20.874023 102.316 -177.6046
21.240234 102.277 -178.5847
21.606445 102.222 -179.7752
21.972656 102.137 178.9861
22.338867 102.031 177.9449
22.705078 101.933 177.2429
23.071289 101.870 176.8308
23.437500 101.850 176.5197
23.803711 101.858 176.1118
24.169922 101.866 175.5166
24.536133 101.852 174.7730
24.902344 101.816 173.9809
25.268555 101.770 173.2181
25.634766 101.729 172.5034
26.000977 101.701 171.8195
26.367188 101.681 171.1580
26.733399 101.663 170.5401
27.099610 101.640 169.9984
27.465821 101.608 169.5418
27.832032 101.568 169.1408
28.198243 101.518 168.7433
28.564454 101.460 168.3076
28.930665 101.394 167.8208
29.296876 101.325 167.2953
29.663087 101.261 166.7502
30.029298 101.205 166.2005
30.395509 101.159 165.6597
30.761720 101.120 165.1474
31.127931 101.083 164.6877
31.494142 101.045 164.2949
31.860353 101.007 163.9610
32.226563 100.966 163.6560
32.592774 100.923 163.3457
32.958985 100.875 163.0111
33.325196 100.821 162.6554
33.691407 100.763 162.2934
34.057618 100.705 161.9355
34.423829 100.651 161.5793
34.790040 100.601 161.2136
35.156251 100.555 160.8309
35.522462 100.511 160.4338
35.888673 100.466 160.0347
36.254884 100.421 159.6505
36.621095 100.376 159.2969
36.987306 100.333 158.9846
37.353517 100.293 158.7148
37.719728 100.257 158.4747
38.085939 100.225 158.2382
38.452150 100.192 157.9774
38.818361 100.154 157.6809
39.184572 100.106 157.3649
39.550783 100.047 157.0668
39.916994 99.985 156.8198
40.283205 99.927 156.6271
40.649416 99.883 156.4544
41.015627 99.852 156.2497
41.381838 99.828 155.9775
41.748049 99.803 155.6417
42.114260 99.768 155.2827
42.480471 99.722 154.9534
42.846682 99.668 154.6907
43.212893 99.612 154.5010
43.579103 99.560 154.3633
43.945314 99.515 154.2434
44.311525 99.477 154.1078
44.677736 99.444 153.9332
45.043947 99.412 153.7141
45.410158 99.376 153.4650
45.776369 99.335 153.2160
46.142580 99.290 152.9975
46.508791 99.244 152.8218
46.875002 99.203 152.6738
47.241213 99.165 152.5225
47.607424 99.128 152.3470
47.973635 99.086 152.1573
48.339846 99.036 151.9916
48.706057 98.981 151.8882
49.072268 98.929 151.8519
49.438479 98.887 151.8433
49.804690 98.857 151.8006
50.170901 98.833 151.6785
50.537112 98.809 151.4758
50.903323 98.781 151.2295
51.269534 98.749 150.9833
51.635745 98.719 150.7563
52.001956 98.691 150.5362
52.368167 98.662 150.3008
52.734378 98.626 150.0480
53.100589 98.575 149.8087
53.466800 98.508 149.6318
53.833011 98.434 149.5532
54.199222 98.361 149.5713
54.565432 98.300 149.6465
54.931643 98.255 149.7243
55.297854 98.226 149.7622
55.664065 98.206 149.7464
56.030276 98.190 149.6877
56.396487 98.174 149.6058
56.762698 98.155 149.5146
57.128909 98.131 149.4179
57.495120 98.102 149.3128
57.861331 98.068 149.1964
58.227542 98.030 149.0694
58.593753 97.991 148.9350
58.959964 97.954 148.7969
59.326175 97.921 148.6586
59.692386 97.893 148.5240
60.058597 97.869 148.3970
60.424808 97.847 148.2804
60.791019 97.825 148.1733
61.157230 97.802 148.0697
61.523441 97.776 147.9612
61.889652 97.745 147.8413
62.255863 97.710 147.7090
62.622074 97.671 147.5692
62.988285 97.630 147.4293
63.354496 97.589 147.2955
63.720707 97.549 147.1713
64.086918 97.510 147.0590
64.453129 97.471 146.9642
64.819340 97.431 146.8967
65.185551 97.391 146.8674
65.551762 97.352 146.8809
65.917972 97.316 146.9295
66.284183 97.287 146.9918
66.650394 97.263 147.0390
67.016605 97.245 147.0452
67.382816 97.228 146.9973
67.749027 97.209 146.8990
68.115238 97.186 146.7682
68.481449 97.159 146.6295
68.847660 97.128 146.5051
69.213871 97.096 146.4098
69.580082 97.065 146.3480
69.946293 97.036 146.3152
70.312504 97.009 146.3016
70.678715 96.984 146.2953
71.044926 96.958 146.2856
71.411137 96.931 146.2654
71.777348 96.901 146.2316
72.143559 96.868 146.1856
72.509770 96.832 146.1320
72.875981 96.793 146.0784
73.242192 96.752 146.0344
73.608403 96.711 146.0099
73.974614 96.669 146.0125
74.340825 96.629 146.0433
74.707036 96.593 146.0947
75.073247 96.561 146.1503
75.439458 96.534 146.1895
75.805669 96.509 146.1943
76.171880 96.486 146.1568
76.538091 96.460 146.0820
76.904301 96.432 145.9869
77.270512 96.400 145.8940
77.636723 96.367 145.8232
78.002934 96.334 145.7867
78.369145 96.303 145.7856
78.735356 96.277 145.8116
79.101567 96.256 145.8512
79.467778 96.238 145.8893
79.833989 96.224 145.9130
80.200200 96.211 145.9137
80.566411 96.197 145.8883
80.932622 96.180 145.8389
81.298833 96.160 145.7723
81.665044 96.136 145.6979
82.031255 96.107 145.6253
82.397466 96.076 145.5620
82.763677 96.042 145.5121
83.129888 96.008 145.4764
83.496099 95.974 145.4531
83.862310 95.943 145.4391
84.228521 95.914 145.4316
84.594732 95.887 145.4286
84.960943 95.862 145.4283
85.327154 95.839 145.4296
85.693365 95.817 145.4312
86.059576 95.795 145.4325
86.425787 95.773 145.4333
86.791998 95.749 145.4341
87.158209 95.725 145.4359
87.524420 95.699 145.4399
87.890631 95.672 145.4472
88.256841 95.646 145.4584
88.623052 95.619 145.4734
88.989263 95.594 145.4906
89.355474 95.571 145.5078
89.721685 95.550 145.5221
90.087896 95.531 145.5311
90.454107 95.513 145.5334
90.820318 95.497 145.5297
91.186529 95.480 145.5222
91.552740 95.463 145.5137
91.918951 95.445 145.5069
92.285162 95.425 145.5028
92.651373 95.403 145.5007
93.017584 95.380 145.4982
93.383795 95.355 145.4919
93.750006 95.328 145.4784
94.116217 95.301 145.4554
94.482428 95.273 145.4222
94.848639 95.245 145.3801
95.214850 95.217 145.3322
95.581061 95.190 145.2824
95.947272 95.162 145.2352
96.313483 95.135 145.1942
96.679694 95.108 145.1617
97.045905 95.081 145.1386
97.412116 95.053 145.1241
97.778327 95.025 145.1169
98.144538 94.998 145.1154
98.510749 94.971 145.1187
98.876960 94.946 145.1264
99.243170 94.922 145.1391
99.609381 94.900 145.1574
99.975592 94.880 145.1821
100.341803 94.862 145.2131
100.708014 94.845 145.2499
101.074225 94.829 145.2910
101.440436 94.813 145.3344
101.806647 94.796 145.3781
102.172858 94.779 145.4205
102.539069 94.761 145.4603
102.905280 94.743 145.4971
103.271491 94.724 145.5307
103.637702 94.704 145.5613
104.003913 94.685 145.5889
104.370124 94.665 145.6132
104.736335 94.646 145.6334
105.102546 94.626 145.6486
105.468757 94.607 145.6581
105.834968 94.587 145.6622
106.201179 94.569 145.6621
106.567390 94.551 145.6608
106.933601 94.533 145.6625
107.299812 94.517 145.6724
107.666023 94.501 145.6956
108.032234 94.486 145.7364
108.398445 94.470 145.7973
108.764656 94.453 145.8784
109.130867 94.434 145.9771
109.497078 94.413 146.0882
109.863289 94.388 146.2039
110.229500 94.361 146.3141
110.595710 94.332 146.4074
110.961921 94.302 146.4728
111.328132 94.271 146.5019
111.694343 94.242 146.4907
112.060554 94.214 146.4420
112.426765 94.189 146.3647
112.792976 94.167 146.2729
113.159187 94.148 146.1826
113.525398 94.134 146.1087
113.891609 94.125 146.0624
114.257820 94.118 146.0496
114.624031 94.115 146.0707
114.990242 94.113 146.1215
115.356453 94.110 146.1943
115.722664 94.105 146.2797
116.088875 94.098 146.3674
116.455086 94.086 146.4478
116.821297 94.070 146.5125
117.187508 94.051 146.5547
117.553719 94.029 146.5707
117.919930 94.006 146.5597
118.286141 93.983 146.5247
118.652352 93.960 146.4725
119.018563 93.940 146.4135
119.384774 93.922 146.3599
119.750985 93.906 146.3244
120.117196 93.891 146.3172
120.483407 93.878 146.3449
120.849618 93.865 146.4087
121.215829 93.851 146.5043
121.582040 93.835 146.6224
121.948250 93.818 146.7507
122.314461 93.799 146.8754
122.680672 93.778 146.9843
123.046883 93.758 147.0689
123.413094 93.737 147.1254
123.779305 93.718 147.1552
124.145516 93.700 147.1637
124.511727 93.684 147.1585
124.877938 93.670 147.1470
125.244149 93.657 147.1353
125.610360 93.644 147.1262
125.976571 93.632 147.1204
126.342782 93.618 147.1158
126.708993 93.603 147.1094
127.075204 93.586 147.0982
127.441415 93.568 147.0800
127.807626 93.548 147.0547
128.173837 93.529 147.0241
128.540048 93.510 146.9921
128.906259 93.493 146.9637
129.272470 93.476 146.9437
129.638681 93.461 146.9362
130.004892 93.446 146.9435
130.371103 93.432 146.9656
130.737314 93.417 147.0012
131.103525 93.403 147.0474
131.469736 93.387 147.1008
131.835947 93.372 147.1585
132.202158 93.356 147.2183
132.568369 93.340 147.2793
132.934579 93.325 147.3416
133.300790 93.309 147.4057
133.667001 93.295 147.4716
134.033212 93.280 147.5385
134.399423 93.265 147.6045
134.765634 93.250 147.6667
135.131845 93.235 147.7222
135.498056 93.220 147.7686
135.864267 93.204 147.8049
136.230478 93.188 147.8324
136.596689 93.173 147.8540
136.962900 93.157 147.8741
137.329111 93.141 147.8977
137.695322 93.126 147.9292
138.061533 93.110 147.9713
138.427744 93.094 148.0240
138.793955 93.078 148.0853
139.160166 93.063 148.1509
139.526377 93.048 148.2159
139.892588 93.035 148.2760
140.258799 93.023 148.3283
140.625010 93.013 148.3723
140.991221 93.004 148.4099
141.357432 92.997 148.4444
141.723643 92.991 148.4799
142.089854 92.985 148.5199
142.456065 92.979 148.5669
142.822276 92.972 148.6217
143.188487 92.964 148.6831
143.554698 92.954 148.7486
143.920909 92.943 148.8146
144.287119 92.931 148.8775
144.653330 92.918 148.9341
145.019541 92.903 148.9823
145.385752 92.889 149.0209
145.751963 92.873 149.0497
146.118174 92.858 149.0696
146.484385 92.843 149.0814
146.850596 92.827 149.0862
147.216807 92.812 149.0852
147.583018 92.798 149.0795
147.949229 92.784 149.0703
148.315440 92.772 149.0590
148.681651 92.760 149.0471
149.047862 92.749 149.0360
149.414073 92.739 149.0273
149.780284 92.730 149.0218
150.146495 92.721 149.0200
150.512706 92.712 149.0220
150.878917 92.703 149.0272
151.245128 92.693 149.0346
151.611339 92.684 149.0427
151.977550 92.675 149.0498
152.343761 92.667 149.0544
152.709972 92.660 149.0553
153.076183 92.656 149.0518
153.442394 92.653 149.0442
153.808605 92.653 149.0341
154.174816 92.655 149.0237
154.541027 92.658 149.0159
154.907238 92.660 149.0143
155.273448 92.661 149.0217
155.639659 92.659 149.0410
156.005870 92.654 149.0736
156.372081 92.644 149.1199
156.738292 92.630 149.1792
157.104503 92.612 149.2491
157.470714 92.590 149.3267
157.836925 92.567 149.4086
158.203136 92.542 149.4914
158.569347 92.518 149.5723
158.935558 92.495 149.6493
159.301769 92.473 149.7215
159.667980 92.453 149.7886
160.034191 92.434 149.8510
160.400402 92.418 149.9092
160.766613 92.403 149.9639
161.132824 92.389 150.0156
161.499035 92.375 150.0648
161.865246 92.362 150.1116
162.231457 92.350 150.1566
162.597668 92.338 150.1998
162.963879 92.326 150.2416
163.330090 92.314 150.2826
163.696301 92.302 150.3229
164.062512 92.291 150.3631
164.428723 92.280 150.4033
164.794934 92.269 150.4438
165.161145 92.259 150.4847
165.527356 92.248 150.5258
165.893567 92.238 150.5671
166.259778 92.228 150.6085
166.625988 92.217 150.6498
166.992199 92.206 150.6907
167.358410 92.195 150.7312
167.724621 92.184 150.7711
168.090832 92.173 150.8105
168.457043 92.162 150.8495
168.823254 92.151 150.8882
169.189465 92.139 150.9269
169.555676 92.128 150.9659
169.921887 92.116 151.0055
170.288098 92.104 151.0459
170.654309 92.092 151.0872
171.020520 92.080 151.1295
171.386731 92.068 151.1726
171.752942 92.056 151.2162
172.119153 92.044 151.2602
172.485364 92.032 151.3040
