* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:54:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser IE200 UC tips L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.178 -156.9792
20.507813 90.198 -157.1488
20.874023 90.252 -157.5531
21.240234 90.309 -157.8375
21.606445 90.363 -157.9720
21.972656 90.408 -158.0189
22.338867 90.440 -158.0136
22.705078 90.455 -157.9945
23.071289 90.454 -158.0070
23.437500 90.441 -158.0901
23.803711 90.426 -158.2667
24.169922 90.412 -158.5343
24.536133 90.405 -158.8654
24.902344 90.407 -159.2160
25.268555 90.417 -159.5382
25.634766 90.434 -159.7975
26.000977 90.454 -159.9836
26.367188 90.473 -160.1102
26.733399 90.489 -160.2040
27.099610 90.498 -160.2928
27.465821 90.500 -160.3947
27.832032 90.495 -160.5132
28.198243 90.487 -160.6433
28.564454 90.478 -160.7784
28.930665 90.470 -160.9132
29.296876 90.464 -161.0450
29.663087 90.459 -161.1726
30.029298 90.454 -161.2971
30.395509 90.450 -161.4217
30.761720 90.444 -161.5499
31.127931 90.437 -161.6834
31.494142 90.427 -161.8205
31.860353 90.417 -161.9551
32.226563 90.407 -162.0813
32.592774 90.397 -162.1976
32.958985 90.388 -162.3076
33.325196 90.379 -162.4163
33.691407 90.371 -162.5269
34.057618 90.362 -162.6404
34.423829 90.354 -162.7571
34.790040 90.345 -162.8791
35.156251 90.337 -163.0085
35.522462 90.328 -163.1440
35.888673 90.316 -163.2763
36.254884 90.300 -163.3903
36.621095 90.282 -163.4728
36.987306 90.264 -163.5240
37.353517 90.249 -163.5624
37.719728 90.238 -163.6188
38.085939 90.230 -163.7219
38.452150 90.221 -163.8836
38.818361 90.208 -164.0932
39.184572 90.190 -164.3237
39.550783 90.168 -164.5460
39.916994 90.145 -164.7415
40.283205 90.122 -164.9064
40.649416 90.101 -165.0470
41.015627 90.081 -165.1730
41.381838 90.061 -165.2925
41.748049 90.040 -165.4117
42.114260 90.020 -165.5360
42.480471 90.002 -165.6710
42.846682 89.984 -165.8207
43.212893 89.968 -165.9857
43.579103 89.953 -166.1627
43.945314 89.937 -166.3451
44.311525 89.920 -166.5269
44.677736 89.902 -166.7047
45.043947 89.882 -166.8795
45.410158 89.861 -167.0550
45.776369 89.840 -167.2359
46.142580 89.819 -167.4259
46.508791 89.797 -167.6257
46.875002 89.775 -167.8321
47.241213 89.753 -168.0394
47.607424 89.731 -168.2408
47.973635 89.710 -168.4318
48.339846 89.689 -168.6125
48.706057 89.669 -168.7877
49.072268 89.649 -168.9636
49.438479 89.628 -169.1449
49.804690 89.606 -169.3320
50.170901 89.583 -169.5227
50.537112 89.560 -169.7142
50.903323 89.538 -169.9059
51.269534 89.515 -170.0992
51.635745 89.494 -170.2961
52.001956 89.473 -170.4976
52.368167 89.451 -170.7026
52.734378 89.429 -170.9089
53.100589 89.406 -171.1152
53.466800 89.383 -171.3221
53.833011 89.360 -171.5312
54.199222 89.338 -171.7438
54.565432 89.315 -171.9592
54.931643 89.293 -172.1750
55.297854 89.271 -172.3873
55.664065 89.249 -172.5934
56.030276 89.227 -172.7924
56.396487 89.206 -172.9860
56.762698 89.186 -173.1773
57.128909 89.167 -173.3700
57.495120 89.148 -173.5670
57.861331 89.128 -173.7696
58.227542 89.107 -173.9767
58.593753 89.086 -174.1856
58.959964 89.064 -174.3924
59.326175 89.041 -174.5943
59.692386 89.019 -174.7903
60.058597 88.998 -174.9815
60.424808 88.978 -175.1705
60.791019 88.959 -175.3597
61.157230 88.939 -175.5496
61.523441 88.919 -175.7389
61.889652 88.897 -175.9256
62.255863 88.875 -176.1086
62.622074 88.851 -176.2882
62.988285 88.828 -176.4667
63.354496 88.804 -176.6469
63.720707 88.782 -176.8312
64.086918 88.759 -177.0207
64.453129 88.738 -177.2157
64.819340 88.718 -177.4156
65.185551 88.699 -177.6195
65.551762 88.681 -177.8257
65.917972 88.662 -178.0323
66.284183 88.643 -178.2369
66.650394 88.623 -178.4374
67.016605 88.603 -178.6328
67.382816 88.582 -178.8238
67.749027 88.561 -179.0120
68.115238 88.540 -179.1993
68.481449 88.520 -179.3866
68.847660 88.499 -179.5738
69.213871 88.478 -179.7602
69.580082 88.457 -179.9447
69.946293 88.436 179.8728
70.312504 88.415 179.6914
70.678715 88.395 179.5098
71.044926 88.375 179.3264
71.411137 88.355 179.1399
71.777348 88.334 178.9501
72.143559 88.314 178.7576
72.509770 88.294 178.5637
72.875981 88.273 178.3700
73.242192 88.252 178.1784
73.608403 88.231 177.9900
73.974614 88.211 177.8052
74.340825 88.190 177.6237
74.707036 88.170 177.4446
75.073247 88.151 177.2667
75.439458 88.131 177.0887
75.805669 88.111 176.9099
76.171880 88.091 176.7296
76.538091 88.070 176.5476
76.904301 88.049 176.3637
77.270512 88.028 176.1775
77.636723 88.006 175.9888
78.002934 87.985 175.7975
78.369145 87.964 175.6039
78.735356 87.943 175.4089
79.101567 87.924 175.2136
79.467778 87.904 175.0192
79.833989 87.885 174.8267
80.200200 87.866 174.6369
80.566411 87.847 174.4498
80.932622 87.827 174.2649
81.298833 87.807 174.0815
81.665044 87.786 173.8985
82.031255 87.766 173.7153
82.397466 87.746 173.5315
82.763677 87.727 173.3469
83.129888 87.708 173.1619
83.496099 87.690 172.9767
83.862310 87.673 172.7914
84.228521 87.655 172.6057
84.594732 87.637 172.4197
84.960943 87.619 172.2337
85.327154 87.600 172.0482
85.693365 87.580 171.8648
86.059576 87.561 171.6855
86.425787 87.542 171.5131
86.791998 87.524 171.3502
87.158209 87.507 171.1989
87.524420 87.491 171.0590
87.890631 87.475 170.9275
88.256841 87.460 170.7974
88.623052 87.445 170.6596
88.989263 87.429 170.5049
89.355474 87.412 170.3275
89.721685 87.393 170.1264
90.087896 87.373 169.9064
90.454107 87.351 169.6754
90.820318 87.330 169.4424
91.186529 87.310 169.2141
91.552740 87.291 168.9940
91.918951 87.274 168.7830
92.285162 87.258 168.5805
92.651373 87.242 168.3854
93.017584 87.226 168.1966
93.383795 87.209 168.0125
93.750006 87.192 167.8307
94.116217 87.174 167.6485
94.482428 87.155 167.4630
94.848639 87.137 167.2727
95.214850 87.120 167.0784
95.581061 87.102 166.8821
95.947272 87.084 166.6867
96.313483 87.067 166.4946
96.679694 87.050 166.3066
97.045905 87.033 166.1219
97.412116 87.017 165.9384
97.778327 87.001 165.7537
98.144538 86.985 165.5655
98.510749 86.969 165.3727
98.876960 86.953 165.1749
99.243170 86.936 164.9727
99.609381 86.919 164.7672
99.975592 86.901 164.5596
100.341803 86.884 164.3511
100.708014 86.866 164.1425
101.074225 86.848 163.9348
101.440436 86.830 163.7287
101.806647 86.812 163.5253
102.172858 86.794 163.3258
102.539069 86.777 163.1309
102.905280 86.759 162.9407
103.271491 86.742 162.7545
103.637702 86.726 162.5710
104.003913 86.710 162.3881
104.370124 86.694 162.2040
104.736335 86.678 162.0171
105.102546 86.662 161.8265
105.468757 86.646 161.6320
105.834968 86.630 161.4337
106.201179 86.613 161.2321
106.567390 86.595 161.0279
106.933601 86.577 160.8213
107.299812 86.559 160.6125
107.666023 86.540 160.4012
108.032234 86.522 160.1870
108.398445 86.504 159.9698
108.764656 86.487 159.7495
109.130867 86.470 159.5268
109.497078 86.453 159.3026
109.863289 86.437 159.0781
110.229500 86.421 158.8546
110.595710 86.406 158.6329
110.961921 86.390 158.4139
111.328132 86.374 158.1981
111.694343 86.358 157.9859
112.060554 86.341 157.7772
112.426765 86.325 157.5717
112.792976 86.309 157.3689
113.159187 86.293 157.1683
113.525398 86.278 156.9697
113.891609 86.263 156.7730
114.257820 86.250 156.5787
114.624031 86.237 156.3870
114.990242 86.224 156.1978
115.356453 86.213 156.0101
115.722664 86.203 155.8220
116.088875 86.192 155.6309
116.455086 86.182 155.4342
116.821297 86.172 155.2294
117.187508 86.160 155.0147
117.553719 86.148 154.7892
117.919930 86.134 154.5525
118.286141 86.119 154.3052
118.652352 86.103 154.0486
119.018563 86.088 153.7850
119.384774 86.073 153.5178
119.750985 86.060 153.2513
120.117196 86.049 152.9907
120.483407 86.039 152.7413
120.849618 86.030 152.5079
121.215829 86.022 152.2940
121.582040 86.014 152.1008
121.948250 86.006 151.9274
122.314461 85.995 151.7706
122.680672 85.983 151.6248
123.046883 85.969 151.4834
123.413094 85.953 151.3392
123.779305 85.936 151.1857
124.145516 85.919 151.0176
124.511727 85.902 150.8322
124.877938 85.886 150.6289
125.244149 85.871 150.4097
125.610360 85.858 150.1782
125.976571 85.846 149.9391
126.342782 85.834 149.6973
126.708993 85.823 149.4569
127.075204 85.812 149.2208
127.441415 85.799 148.9907
127.807626 85.786 148.7670
128.173837 85.772 148.5493
128.540048 85.756 148.3365
128.906259 85.739 148.1280
129.272470 85.721 147.9227
129.638681 85.703 147.7202
130.004892 85.685 147.5196
130.371103 85.667 147.3201
130.737314 85.649 147.1205
131.103525 85.631 146.9193
131.469736 85.614 146.7147
131.835947 85.597 146.5056
132.202158 85.581 146.2910
132.568369 85.565 146.0712
132.934579 85.550 145.8469
133.300790 85.535 145.6196
133.667001 85.520 145.3911
134.033212 85.505 145.1633
134.399423 85.491 144.9374
134.765634 85.477 144.7142
135.131845 85.464 144.4938
135.498056 85.451 144.2761
135.864267 85.438 144.0603
136.230478 85.425 143.8456
136.596689 85.412 143.6313
136.962900 85.400 143.4166
137.329111 85.387 143.2012
137.695322 85.374 142.9847
138.061533 85.361 142.7673
138.427744 85.349 142.5492
138.793955 85.336 142.3308
139.160166 85.323 142.1127
139.526377 85.311 141.8957
139.892588 85.298 141.6805
140.258799 85.285 141.4676
140.625010 85.273 141.2573
140.991221 85.260 141.0496
141.357432 85.248 140.8441
141.723643 85.236 140.6403
142.089854 85.225 140.4376
142.456065 85.213 140.2359
142.822276 85.201 140.0352
143.188487 85.189 139.8359
143.554698 85.176 139.6388
143.920909 85.163 139.4445
144.287119 85.150 139.2536
144.653330 85.137 139.0662
145.019541 85.123 138.8820
145.385752 85.110 138.7003
145.751963 85.097 138.5201
146.118174 85.084 138.3401
146.484385 85.071 138.1594
146.850596 85.058 137.9771
147.216807 85.045 137.7928
147.583018 85.033 137.6065
147.949229 85.021 137.4186
148.315440 85.009 137.2300
148.681651 84.998 137.0414
149.047862 84.987 136.8542
149.414073 84.977 136.6692
149.780284 84.966 136.4873
150.146495 84.956 136.3093
150.512706 84.946 136.1356
150.878917 84.936 135.9666
151.245128 84.926 135.8022
151.611339 84.915 135.6424
151.977550 84.904 135.4872
152.343761 84.893 135.3362
152.709972 84.881 135.1891
153.076183 84.868 135.0453
153.442394 84.855 134.9041
153.808605 84.843 134.7646
154.174816 84.830 134.6258
154.541027 84.818 134.4869
154.907238 84.806 134.3470
155.273448 84.794 134.2057
155.639659 84.784 134.0628
156.005870 84.774 133.9186
156.372081 84.765 133.7734
156.738292 84.756 133.6279
157.104503 84.747 133.4829
157.470714 84.739 133.3389
157.836925 84.731 133.1964
158.203136 84.722 133.0557
158.569347 84.713 132.9166
158.935558 84.704 132.7788
159.301769 84.693 132.6421
159.667980 84.683 132.5060
160.034191 84.672 132.3703
160.400402 84.660 132.2350
160.766613 84.649 132.1003
161.132824 84.637 131.9667
161.499035 84.625 131.8347
161.865246 84.612 131.7052
162.231457 84.600 131.5786
162.597668 84.588 131.4551
162.963879 84.575 131.3346
163.330090 84.563 131.2166
163.696301 84.552 131.1002
164.062512 84.541 130.9844
164.428723 84.530 130.8680
164.794934 84.521 130.7498
165.161145 84.512 130.6293
165.527356 84.504 130.5058
165.893567 84.496 130.3793
166.259778 84.490 130.2501
166.625988 84.484 130.1186
166.992199 84.478 129.9856
167.358410 84.473 129.8518
167.724621 84.468 129.7181
168.090832 84.463 129.5852
168.457043 84.458 129.4539
168.823254 84.452 129.3246
169.189465 84.446 129.1978
