* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:54:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser IE200 UC tips R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.989 -161.5667
20.507813 91.005 -161.7305
20.874023 91.042 -162.1482
21.240234 91.064 -162.5344
21.606445 91.066 -162.8828
21.972656 91.058 -163.2509
22.338867 91.043 -163.6634
22.705078 91.027 -164.1385
23.071289 91.011 -164.6870
23.437500 90.999 -165.2979
23.803711 90.990 -165.9362
24.169922 90.986 -166.5545
24.536133 90.987 -167.1136
24.902344 90.996 -167.5990
25.268555 91.011 -168.0221
25.634766 91.028 -168.4086
26.000977 91.043 -168.7831
26.367188 91.048 -169.1564
26.733399 91.042 -169.5252
27.099610 91.025 -169.8828
27.465821 91.004 -170.2287
27.832032 90.982 -170.5708
28.198243 90.964 -170.9212
28.564454 90.949 -171.2875
28.930665 90.936 -171.6651
29.296876 90.924 -172.0389
29.663087 90.912 -172.3915
30.029298 90.899 -172.7147
30.395509 90.888 -173.0133
30.761720 90.876 -173.3005
31.127931 90.864 -173.5895
31.494142 90.850 -173.8853
31.860353 90.835 -174.1837
32.226563 90.819 -174.4757
32.592774 90.803 -174.7548
32.958985 90.789 -175.0196
33.325196 90.775 -175.2710
33.691407 90.761 -175.5100
34.057618 90.746 -175.7368
34.423829 90.729 -175.9532
34.790040 90.712 -176.1637
35.156251 90.694 -176.3739
35.522462 90.678 -176.5874
35.888673 90.661 -176.8011
36.254884 90.644 -177.0053
36.621095 90.627 -177.1893
36.987306 90.610 -177.3489
37.353517 90.593 -177.4908
37.719728 90.577 -177.6311
38.085939 90.558 -177.7883
38.452150 90.537 -177.9751
38.818361 90.513 -178.1937
39.184572 90.485 -178.4368
39.550783 90.457 -178.6922
39.916994 90.428 -178.9472
40.283205 90.402 -179.1900
40.649416 90.377 -179.4103
41.015627 90.353 -179.6001
41.381838 90.329 -179.7556
41.748049 90.306 -179.8803
42.114260 90.284 -179.9846
42.480471 90.263 179.9174
42.846682 90.241 179.8124
43.212893 90.220 179.6930
43.579103 90.198 179.5589
43.945314 90.175 179.4161
44.311525 90.151 179.2734
44.677736 90.126 179.1380
45.043947 90.102 179.0132
45.410158 90.077 178.8975
45.776369 90.053 178.7863
46.142580 90.029 178.6753
46.508791 90.004 178.5630
46.875002 89.978 178.4525
47.241213 89.951 178.3491
47.607424 89.925 178.2567
47.973635 89.900 178.1741
48.339846 89.878 178.0947
48.706057 89.858 178.0100
49.072268 89.839 177.9152
49.438479 89.819 177.8129
49.804690 89.797 177.7118
50.170901 89.774 177.6217
50.537112 89.749 177.5479
50.903323 89.725 177.4884
51.269534 89.701 177.4366
51.635745 89.678 177.3859
52.001956 89.654 177.3329
52.368167 89.631 177.2781
52.734378 89.606 177.2236
53.100589 89.582 177.1711
53.466800 89.558 177.1206
53.833011 89.535 177.0712
54.199222 89.511 177.0229
54.565432 89.488 176.9764
54.931643 89.465 176.9326
55.297854 89.441 176.8912
55.664065 89.418 176.8506
56.030276 89.395 176.8088
56.396487 89.372 176.7647
56.762698 89.349 176.7192
57.128909 89.325 176.6746
57.495120 89.302 176.6336
57.861331 89.279 176.5983
58.227542 89.255 176.5692
58.593753 89.232 176.5460
58.959964 89.210 176.5275
59.326175 89.187 176.5126
59.692386 89.165 176.4993
60.058597 89.142 176.4854
60.424808 89.120 176.4687
60.791019 89.097 176.4487
61.157230 89.074 176.4270
61.523441 89.049 176.4067
61.889652 89.024 176.3916
62.255863 88.998 176.3842
62.622074 88.972 176.3843
62.988285 88.947 176.3895
63.354496 88.923 176.3962
63.720707 88.899 176.4014
64.086918 88.877 176.4036
64.453129 88.854 176.4031
64.819340 88.831 176.4013
65.185551 88.809 176.3997
65.551762 88.787 176.3989
65.917972 88.765 176.3990
66.284183 88.743 176.4002
66.650394 88.721 176.4028
67.016605 88.699 176.4075
67.382816 88.677 176.4150
67.749027 88.656 176.4252
68.115238 88.635 176.4376
68.481449 88.615 176.4509
68.847660 88.594 176.4639
69.213871 88.573 176.4762
69.580082 88.551 176.4883
69.946293 88.528 176.5011
70.312504 88.504 176.5159
70.678715 88.479 176.5331
71.044926 88.455 176.5529
71.411137 88.430 176.5747
71.777348 88.407 176.5983
72.143559 88.384 176.6237
72.509770 88.363 176.6514
72.875981 88.342 176.6818
73.242192 88.321 176.7150
73.608403 88.300 176.7506
73.974614 88.279 176.7880
74.340825 88.258 176.8260
74.707036 88.236 176.8643
75.073247 88.215 176.9021
75.439458 88.193 176.9393
75.805669 88.171 176.9758
76.171880 88.150 177.0117
76.538091 88.129 177.0469
76.904301 88.108 177.0814
77.270512 88.087 177.1151
77.636723 88.066 177.1479
78.002934 88.044 177.1801
78.369145 88.022 177.2125
78.735356 88.000 177.2458
79.101567 87.978 177.2805
79.467778 87.956 177.3166
79.833989 87.934 177.3533
80.200200 87.913 177.3898
80.566411 87.892 177.4260
80.932622 87.870 177.4629
81.298833 87.849 177.5022
81.665044 87.828 177.5460
82.031255 87.807 177.5952
82.397466 87.787 177.6497
82.763677 87.767 177.7082
83.129888 87.748 177.7687
83.496099 87.729 177.8293
83.862310 87.709 177.8889
84.228521 87.690 177.9466
84.594732 87.671 178.0021
84.960943 87.651 178.0553
85.327154 87.632 178.1065
85.693365 87.612 178.1564
86.059576 87.593 178.2063
86.425787 87.573 178.2576
86.791998 87.553 178.3111
87.158209 87.533 178.3671
87.524420 87.512 178.4252
87.890631 87.489 178.4851
88.256841 87.465 178.5472
88.623052 87.440 178.6122
88.989263 87.415 178.6812
89.355474 87.391 178.7542
89.721685 87.369 178.8301
90.087896 87.350 178.9068
90.454107 87.333 178.9821
90.820318 87.318 179.0549
91.186529 87.303 179.1254
91.552740 87.289 179.1949
91.918951 87.274 179.2647
92.285162 87.259 179.3350
92.651373 87.244 179.4044
93.017584 87.229 179.4702
93.383795 87.214 179.5294
93.750006 87.200 179.5804
94.116217 87.186 179.6235
94.482428 87.172 179.6616
94.848639 87.156 179.6993
95.214850 87.139 179.7416
95.581061 87.119 179.7928
95.947272 87.098 179.8547
96.313483 87.076 179.9264
96.679694 87.053 -179.9952
97.045905 87.032 -179.9146
97.412116 87.011 -179.8360
97.778327 86.992 -179.7616
98.144538 86.974 -179.6920
98.510749 86.957 -179.6257
98.876960 86.940 -179.5606
99.243170 86.924 -179.4946
99.609381 86.907 -179.4268
99.975592 86.891 -179.3570
100.341803 86.874 -179.2861
100.708014 86.857 -179.2150
101.074225 86.840 -179.1448
101.440436 86.823 -179.0758
101.806647 86.806 -179.0080
102.172858 86.789 -178.9412
102.539069 86.772 -178.8752
102.905280 86.756 -178.8101
103.271491 86.740 -178.7457
103.637702 86.723 -178.6823
104.003913 86.707 -178.6195
104.370124 86.690 -178.5567
104.736335 86.674 -178.4930
105.102546 86.657 -178.4272
105.468757 86.640 -178.3582
105.834968 86.624 -178.2853
106.201179 86.607 -178.2089
106.567390 86.592 -178.1298
106.933601 86.577 -178.0495
107.299812 86.562 -177.9697
107.666023 86.548 -177.8919
108.032234 86.533 -177.8170
108.398445 86.519 -177.7451
108.764656 86.504 -177.6753
109.130867 86.489 -177.6061
109.497078 86.473 -177.5353
109.863289 86.456 -177.4611
110.229500 86.440 -177.3819
110.595710 86.423 -177.2971
110.961921 86.407 -177.2070
111.328132 86.390 -177.1125
111.694343 86.373 -177.0151
112.060554 86.356 -176.9163
112.426765 86.339 -176.8172
112.792976 86.322 -176.7187
113.159187 86.304 -176.6214
113.525398 86.285 -176.5258
113.891609 86.267 -176.4327
114.257820 86.248 -176.3431
114.624031 86.229 -176.2580
114.990242 86.210 -176.1787
115.356453 86.192 -176.1065
115.722664 86.173 -176.0420
116.088875 86.154 -175.9857
116.455086 86.135 -175.9373
116.821297 86.116 -175.8959
117.187508 86.097 -175.8599
117.553719 86.078 -175.8271
117.919930 86.060 -175.7945
118.286141 86.042 -175.7589
118.652352 86.026 -175.7170
119.018563 86.012 -175.6659
119.384774 85.999 -175.6035
119.750985 85.988 -175.5292
120.117196 85.980 -175.4435
120.483407 85.973 -175.3480
120.849618 85.968 -175.2447
121.215829 85.963 -175.1358
121.582040 85.958 -175.0229
121.948250 85.953 -174.9072
122.314461 85.945 -174.7894
122.680672 85.935 -174.6700
123.046883 85.923 -174.5492
123.413094 85.906 -174.4276
123.779305 85.887 -174.3056
124.145516 85.865 -174.1834
124.511727 85.840 -174.0607
124.877938 85.814 -173.9365
125.244149 85.787 -173.8095
125.610360 85.761 -173.6778
125.976571 85.737 -173.5403
126.342782 85.716 -173.3968
126.708993 85.700 -173.2486
127.075204 85.688 -173.0985
127.441415 85.680 -172.9504
127.807626 85.677 -172.8087
128.173837 85.677 -172.6771
128.540048 85.678 -172.5585
128.906259 85.680 -172.4537
129.272470 85.680 -172.3621
129.638681 85.678 -172.2815
130.004892 85.673 -172.2087
130.371103 85.664 -172.1397
130.737314 85.651 -172.0711
131.103525 85.635 -171.9998
131.469736 85.616 -171.9237
131.835947 85.597 -171.8419
132.202158 85.576 -171.7541
132.568369 85.556 -171.6609
132.934579 85.537 -171.5632
133.300790 85.519 -171.4617
133.667001 85.502 -171.3570
134.033212 85.486 -171.2496
134.399423 85.471 -171.1399
134.765634 85.456 -171.0282
135.131845 85.442 -170.9149
135.498056 85.427 -170.8007
135.864267 85.412 -170.6862
136.230478 85.397 -170.5720
136.596689 85.382 -170.4587
136.962900 85.367 -170.3469
137.329111 85.352 -170.2367
137.695322 85.338 -170.1283
138.061533 85.324 -170.0217
138.427744 85.310 -169.9171
138.793955 85.297 -169.8144
139.160166 85.283 -169.7137
139.526377 85.270 -169.6149
139.892588 85.256 -169.5174
140.258799 85.243 -169.4206
140.625010 85.229 -169.3236
140.991221 85.216 -169.2253
141.357432 85.203 -169.1250
141.723643 85.191 -169.0218
142.089854 85.179 -168.9159
142.456065 85.168 -168.8076
142.822276 85.158 -168.6978
143.188487 85.149 -168.5877
143.554698 85.140 -168.4785
143.920909 85.131 -168.3712
144.287119 85.123 -168.2661
144.653330 85.114 -168.1631
145.019541 85.106 -168.0613
145.385752 85.096 -167.9594
145.751963 85.087 -167.8559
146.118174 85.077 -167.7493
146.484385 85.067 -167.6388
146.850596 85.056 -167.5239
147.216807 85.044 -167.4049
147.583018 85.033 -167.2826
147.949229 85.021 -167.1582
148.315440 85.009 -167.0332
148.681651 84.997 -166.9086
149.047862 84.985 -166.7854
149.414073 84.973 -166.6641
149.780284 84.962 -166.5448
150.146495 84.950 -166.4273
150.512706 84.939 -166.3112
150.878917 84.928 -166.1959
151.245128 84.917 -166.0810
151.611339 84.906 -165.9660
151.977550 84.895 -165.8508
152.343761 84.883 -165.7354
152.709972 84.871 -165.6199
153.076183 84.859 -165.5047
153.442394 84.847 -165.3901
153.808605 84.834 -165.2765
154.174816 84.821 -165.1642
154.541027 84.808 -165.0535
154.907238 84.795 -164.9445
155.273448 84.782 -164.8371
155.639659 84.769 -164.7313
156.005870 84.756 -164.6264
156.372081 84.743 -164.5221
156.738292 84.730 -164.4176
157.104503 84.717 -164.3122
157.470714 84.704 -164.2050
157.836925 84.692 -164.0955
158.203136 84.679 -163.9831
158.569347 84.668 -163.8675
158.935558 84.656 -163.7487
159.301769 84.645 -163.6270
159.667980 84.635 -163.5030
160.034191 84.625 -163.3775
160.400402 84.616 -163.2513
160.766613 84.608 -163.1253
161.132824 84.599 -163.0004
161.499035 84.591 -162.8773
161.865246 84.583 -162.7567
162.231457 84.575 -162.6391
162.597668 84.567 -162.5246
162.963879 84.558 -162.4134
163.330090 84.549 -162.3055
163.696301 84.540 -162.2006
164.062512 84.530 -162.0985
164.428723 84.519 -161.9988
164.794934 84.509 -161.9011
165.161145 84.497 -161.8049
165.527356 84.485 -161.7097
165.893567 84.473 -161.6150
166.259778 84.460 -161.5201
