* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:14:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EW100P L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.997 -146.8011
20.507813 94.014 -146.8624
20.874023 94.065 -147.0638
21.240234 94.130 -147.3825
21.606445 94.192 -147.8095
21.972656 94.241 -148.2897
22.338867 94.279 -148.7735
22.705078 94.312 -149.2790
23.071289 94.340 -149.8673
23.437500 94.355 -150.5578
23.803711 94.348 -151.2648
24.169922 94.326 -151.8206
24.536133 94.309 -152.0836
24.902344 94.330 -152.0496
25.268555 94.405 -151.8767
25.634766 94.528 -151.7967
26.000977 94.664 -151.9781
26.367188 94.777 -152.4400
26.733399 94.843 -153.0684
27.099610 94.858 -153.7047
27.465821 94.838 -154.2299
27.832032 94.801 -154.6011
28.198243 94.766 -154.8373
28.564454 94.740 -154.9845
28.930665 94.727 -155.0892
29.296876 94.725 -155.1936
29.663087 94.728 -155.3369
30.029298 94.729 -155.5449
30.395509 94.722 -155.8118
30.761720 94.702 -156.0933
31.127931 94.674 -156.3289
31.494142 94.652 -156.4831
31.860353 94.648 -156.5742
32.226563 94.669 -156.6661
32.592774 94.710 -156.8240
32.958985 94.757 -157.0672
33.325196 94.796 -157.3519
33.691407 94.821 -157.5989
34.057618 94.832 -157.7440
34.423829 94.838 -157.7748
34.790040 94.845 -157.7348
35.156251 94.855 -157.6964
35.522462 94.867 -157.7260
35.888673 94.874 -157.8620
36.254884 94.874 -158.1106
36.621095 94.866 -158.4531
36.987306 94.849 -158.8528
37.353517 94.827 -159.2571
37.719728 94.801 -159.6037
38.085939 94.775 -159.8339
38.452150 94.754 -159.9130
38.818361 94.744 -159.8452
39.184572 94.743 -159.6741
39.550783 94.751 -159.4668
39.916994 94.760 -159.2888
40.283205 94.765 -159.1867
40.649416 94.763 -159.1830
41.015627 94.754 -159.2834
41.381838 94.741 -159.4833
41.748049 94.725 -159.7680
42.114260 94.706 -160.1062
42.480471 94.682 -160.4473
42.846682 94.655 -160.7314
43.212893 94.625 -160.9109
43.579103 94.598 -160.9718
43.945314 94.578 -160.9393
44.311525 94.566 -160.8631
44.677736 94.560 -160.7904
45.043947 94.557 -160.7455
45.410158 94.553 -160.7283
45.776369 94.550 -160.7294
46.142580 94.547 -160.7485
46.508791 94.546 -160.7982
46.875002 94.543 -160.8917
47.241213 94.535 -161.0250
47.607424 94.522 -161.1695
47.973635 94.504 -161.2842
48.339846 94.488 -161.3379
48.706057 94.480 -161.3276
49.072268 94.482 -161.2771
49.438479 94.488 -161.2196
49.804690 94.493 -161.1759
50.170901 94.487 -161.1442
50.537112 94.468 -161.1075
50.903323 94.438 -161.0512
51.269534 94.406 -160.9776
51.635745 94.381 -160.9082
52.001956 94.366 -160.8703
52.368167 94.363 -160.8783
52.734378 94.365 -160.9207
53.100589 94.368 -160.9633
53.466800 94.365 -160.9681
53.833011 94.357 -160.9169
54.199222 94.346 -160.8260
54.565432 94.335 -160.7385
54.931643 94.325 -160.6976
55.297854 94.318 -160.7168
55.664065 94.315 -160.7666
56.030276 94.322 -160.7924
56.396487 94.347 -160.7509
56.762698 94.394 -160.6432
57.128909 94.459 -160.5193
57.495120 94.526 -160.4462
57.861331 94.573 -160.4612
58.227542 94.583 -160.5415
58.593753 94.544 -160.6112
58.959964 94.462 -160.5841
59.326175 94.356 -160.4163
59.692386 94.249 -160.1358
60.058597 94.161 -159.8315
60.424808 94.100 -159.6077
60.791019 94.061 -159.5330
61.157230 94.033 -159.6117
61.523441 94.005 -159.7901
61.889652 93.973 -159.9879
62.255863 93.937 -160.1349
62.622074 93.904 -160.1928
62.988285 93.877 -160.1583
63.354496 93.860 -160.0517
63.720707 93.852 -159.9018
64.086918 93.848 -159.7359
64.453129 93.846 -159.5752
64.819340 93.842 -159.4341
65.185551 93.834 -159.3199
65.551762 93.822 -159.2315
65.917972 93.807 -159.1591
66.284183 93.791 -159.0872
66.650394 93.776 -159.0006
67.016605 93.764 -158.8908
67.382816 93.755 -158.7598
67.749027 93.746 -158.6177
68.115238 93.734 -158.4767
68.481449 93.715 -158.3440
68.847660 93.689 -158.2183
69.213871 93.656 -158.0933
69.580082 93.623 -157.9627
69.946293 93.595 -157.8257
70.312504 93.578 -157.6868
70.678715 93.572 -157.5524
71.044926 93.577 -157.4246
71.411137 93.587 -157.2995
71.777348 93.596 -157.1686
72.143559 93.600 -157.0242
72.509770 93.595 -156.8640
72.875981 93.582 -156.6924
73.242192 93.562 -156.5192
73.608403 93.537 -156.3545
73.974614 93.512 -156.2056
74.340825 93.488 -156.0745
74.707036 93.467 -155.9580
75.073247 93.451 -155.8491
75.439458 93.436 -155.7393
75.805669 93.424 -155.6217
76.171880 93.411 -155.4931
76.538091 93.399 -155.3563
76.904301 93.386 -155.2193
77.270512 93.373 -155.0929
77.636723 93.360 -154.9862
78.002934 93.347 -154.9025
78.369145 93.334 -154.8368
78.735356 93.321 -154.7763
79.101567 93.307 -154.7045
79.467778 93.293 -154.6073
79.833989 93.279 -154.4790
80.200200 93.266 -154.3247
80.566411 93.254 -154.1585
80.932622 93.241 -153.9978
81.298833 93.227 -153.8550
81.665044 93.208 -153.7320
82.031255 93.185 -153.6189
82.397466 93.159 -153.4991
82.763677 93.131 -153.3570
83.129888 93.106 -153.1846
83.496099 93.085 -152.9846
83.862310 93.070 -152.7678
84.228521 93.059 -152.5481
84.594732 93.050 -152.3371
84.960943 93.042 -152.1417
85.327154 93.031 -151.9644
85.693365 93.018 -151.8040
86.059576 93.001 -151.6566
86.425787 92.981 -151.5163
86.791998 92.959 -151.3757
87.158209 92.935 -151.2278
87.524420 92.911 -151.0683
87.890631 92.888 -150.8983
88.256841 92.867 -150.7238
88.623052 92.849 -150.5533
88.989263 92.833 -150.3940
89.355474 92.818 -150.2480
89.721685 92.804 -150.1120
90.087896 92.792 -149.9787
90.454107 92.782 -149.8401
90.820318 92.773 -149.6898
91.186529 92.766 -149.5249
91.552740 92.760 -149.3455
91.918951 92.755 -149.1543
92.285162 92.749 -148.9559
92.651373 92.742 -148.7562
93.017584 92.733 -148.5615
93.383795 92.720 -148.3771
93.750006 92.704 -148.2068
94.116217 92.684 -148.0517
94.482428 92.662 -147.9113
94.848639 92.637 -147.7845
95.214850 92.612 -147.6709
95.581061 92.588 -147.5704
95.947272 92.566 -147.4823
96.313483 92.548 -147.4039
96.679694 92.534 -147.3293
97.045905 92.523 -147.2500
97.412116 92.517 -147.1570
97.778327 92.513 -147.0420
98.144538 92.511 -146.8991
98.510749 92.508 -146.7248
98.876960 92.503 -146.5178
99.243170 92.494 -146.2794
99.609381 92.482 -146.0142
99.975592 92.466 -145.7310
100.341803 92.449 -145.4430
100.708014 92.432 -145.1659
101.074225 92.415 -144.9146
101.440436 92.400 -144.6987
101.806647 92.384 -144.5195
102.172858 92.368 -144.3698
102.539069 92.350 -144.2357
102.905280 92.332 -144.1015
103.271491 92.313 -143.9536
103.637702 92.294 -143.7836
104.003913 92.278 -143.5886
104.370124 92.264 -143.3704
104.736335 92.252 -143.1334
105.102546 92.243 -142.8826
105.468757 92.236 -142.6236
105.834968 92.229 -142.3618
106.201179 92.223 -142.1022
106.567390 92.216 -141.8496
106.933601 92.209 -141.6068
107.299812 92.200 -141.3752
107.666023 92.191 -141.1543
108.032234 92.182 -140.9427
108.398445 92.173 -140.7384
108.764656 92.163 -140.5390
109.130867 92.153 -140.3408
109.497078 92.141 -140.1386
109.863289 92.127 -139.9258
110.229500 92.107 -139.6958
110.595710 92.083 -139.4445
110.961921 92.054 -139.1721
111.328132 92.020 -138.8837
111.694343 91.982 -138.5884
112.060554 91.943 -138.2967
112.426765 91.904 -138.0176
112.792976 91.866 -137.7560
113.159187 91.831 -137.5118
113.525398 91.802 -137.2804
113.891609 91.776 -137.0536
114.257820 91.755 -136.8213
114.624031 91.737 -136.5733
114.990242 91.721 -136.3019
115.356453 91.704 -136.0041
115.722664 91.688 -135.6828
116.088875 91.671 -135.3480
116.455086 91.654 -135.0152
116.821297 91.640 -134.7023
117.187508 91.630 -134.4259
117.553719 91.624 -134.1983
117.919930 91.623 -134.0259
118.286141 91.627 -133.9090
118.652352 91.635 -133.8434
119.018563 91.647 -133.8221
119.384774 91.660 -133.8359
119.750985 91.675 -133.8735
120.117196 91.691 -133.9206
120.483407 91.707 -133.9599
120.849618 91.726 -133.9712
121.215829 91.748 -133.9329
121.582040 91.772 -133.8251
121.948250 91.798 -133.6315
122.314461 91.824 -133.3429
122.680672 91.845 -132.9586
123.046883 91.857 -132.4880
123.413094 91.859 -131.9503
123.779305 91.846 -131.3737
124.145516 91.821 -130.7930
124.511727 91.785 -130.2462
124.877938 91.743 -129.7692
125.244149 91.699 -129.3900
125.610360 91.658 -129.1237
125.976571 91.624 -128.9677
126.342782 91.597 -128.9017
126.708993 91.577 -128.8905
127.075204 91.562 -128.8912
127.441415 91.549 -128.8618
127.807626 91.535 -128.7707
128.173837 91.518 -128.6025
128.540048 91.498 -128.3596
128.906259 91.475 -128.0596
129.272470 91.450 -127.7291
129.638681 91.423 -127.3965
130.004892 91.396 -127.0850
130.371103 91.369 -126.8089
130.737314 91.343 -126.5722
131.103525 91.319 -126.3702
131.469736 91.298 -126.1920
131.835947 91.278 -126.0241
132.202158 91.260 -125.8531
132.568369 91.245 -125.6680
132.934579 91.232 -125.4612
133.300790 91.220 -125.2285
133.667001 91.210 -124.9693
134.033212 91.202 -124.6848
134.399423 91.194 -124.3778
134.765634 91.187 -124.0515
135.131845 91.180 -123.7097
135.498056 91.172 -123.3565
135.864267 91.164 -122.9972
136.230478 91.157 -122.6388
136.596689 91.151 -122.2896
136.962900 91.146 -121.9587
137.329111 91.142 -121.6543
137.695322 91.141 -121.3825
138.061533 91.142 -121.1457
138.427744 91.143 -120.9425
138.793955 91.146 -120.7673
139.160166 91.148 -120.6117
139.526377 91.150 -120.4653
139.892588 91.151 -120.3174
140.258799 91.150 -120.1581
140.625010 91.149 -119.9797
140.991221 91.146 -119.7773
141.357432 91.144 -119.5490
141.723643 91.142 -119.2958
142.089854 91.141 -119.0209
142.456065 91.140 -118.7284
142.822276 91.139 -118.4229
143.188487 91.137 -118.1086
143.554698 91.134 -117.7894
143.920909 91.130 -117.4688
144.287119 91.123 -117.1505
144.653330 91.114 -116.8387
145.019541 91.103 -116.5377
145.385752 91.089 -116.2519
145.751963 91.075 -115.9846
146.118174 91.059 -115.7378
146.484385 91.043 -115.5116
146.850596 91.026 -115.3043
147.216807 91.009 -115.1132
147.583018 90.992 -114.9348
147.949229 90.975 -114.7661
148.315440 90.957 -114.6044
148.681651 90.940 -114.4478
149.047862 90.922 -114.2941
149.414073 90.903 -114.1414
149.780284 90.885 -113.9868
150.146495 90.867 -113.8275
150.512706 90.850 -113.6606
150.878917 90.834 -113.4836
151.245128 90.820 -113.2948
151.611339 90.809 -113.0933
151.977550 90.799 -112.8787
152.343761 90.791 -112.6510
152.709972 90.784 -112.4101
153.076183 90.777 -112.1558
153.442394 90.770 -111.8879
153.808605 90.762 -111.6065
154.174816 90.754 -111.3123
154.541027 90.744 -111.0070
154.907238 90.734 -110.6929
155.273448 90.724 -110.3734
155.639659 90.713 -110.0522
156.005870 90.702 -109.7334
156.372081 90.692 -109.4207
156.738292 90.682 -109.1178
157.104503 90.673 -108.8271
157.470714 90.664 -108.5502
157.836925 90.657 -108.2876
158.203136 90.650 -108.0382
158.569347 90.644 -107.7997
158.935558 90.639 -107.5686
159.301769 90.635 -107.3403
159.667980 90.632 -107.1098
160.034191 90.628 -106.8722
160.400402 90.626 -106.6232
160.766613 90.623 -106.3598
161.132824 90.620 -106.0811
161.499035 90.617 -105.7881
161.865246 90.612 -105.4840
162.231457 90.606 -105.1738
162.597668 90.598 -104.8634
