* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:13:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EW100P R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.707 -141.7809
20.507813 93.723 -142.1008
20.874023 93.755 -142.9090
21.240234 93.767 -143.5953
21.606445 93.766 -144.0479
21.972656 93.776 -144.3253
22.338867 93.809 -144.5216
22.705078 93.860 -144.7754
23.071289 93.910 -145.1816
23.437500 93.936 -145.7087
23.803711 93.931 -146.2175
24.169922 93.911 -146.5670
24.536133 93.909 -146.7376
24.902344 93.953 -146.8687
25.268555 94.044 -147.1661
25.634766 94.154 -147.7475
26.000977 94.248 -148.5497
26.367188 94.302 -149.3641
26.733399 94.318 -149.9746
27.099610 94.318 -150.2952
27.465821 94.320 -150.4093
27.832032 94.330 -150.4895
28.198243 94.338 -150.6682
28.564454 94.331 -150.9594
28.930665 94.309 -151.2834
29.296876 94.287 -151.5616
29.663087 94.286 -151.7928
30.029298 94.317 -152.0518
30.395509 94.371 -152.4182
30.761720 94.428 -152.9033
31.127931 94.467 -153.4391
31.494142 94.483 -153.9289
31.860353 94.480 -154.3115
32.226563 94.468 -154.5911
32.592774 94.456 -154.8140
32.958985 94.445 -155.0223
33.325196 94.438 -155.2254
33.691407 94.436 -155.4096
34.057618 94.441 -155.5665
34.423829 94.454 -155.7096
34.790040 94.472 -155.8642
35.156251 94.489 -156.0467
35.522462 94.501 -156.2570
35.888673 94.509 -156.4902
36.254884 94.518 -156.7544
36.621095 94.532 -157.0715
36.987306 94.550 -157.4561
37.353517 94.566 -157.8896
37.719728 94.576 -158.3147
38.085939 94.576 -158.6593
38.452150 94.570 -158.8765
38.818361 94.563 -158.9709
39.184572 94.559 -158.9959
39.550783 94.556 -159.0239
39.916994 94.551 -159.1107
40.283205 94.540 -159.2765
40.649416 94.521 -159.5071
41.015627 94.496 -159.7705
41.381838 94.469 -160.0322
41.748049 94.444 -160.2651
42.114260 94.423 -160.4536
42.480471 94.408 -160.5949
42.846682 94.399 -160.6993
43.212893 94.396 -160.7860
43.579103 94.398 -160.8752
43.945314 94.403 -160.9815
44.311525 94.411 -161.1114
44.677736 94.422 -161.2675
45.043947 94.435 -161.4508
45.410158 94.448 -161.6585
45.776369 94.456 -161.8762
46.142580 94.454 -162.0760
46.508791 94.443 -162.2259
46.875002 94.424 -162.3096
47.241213 94.404 -162.3423
47.607424 94.386 -162.3706
47.973635 94.369 -162.4505
48.339846 94.352 -162.6169
48.706057 94.328 -162.8639
49.072268 94.296 -163.1472
49.438479 94.259 -163.4085
49.804690 94.224 -163.6048
50.170901 94.198 -163.7251
50.537112 94.183 -163.7876
50.903323 94.177 -163.8216
51.269534 94.173 -163.8484
51.635745 94.165 -163.8748
52.001956 94.149 -163.9001
52.368167 94.128 -163.9286
52.734378 94.104 -163.9764
53.100589 94.082 -164.0650
53.466800 94.065 -164.2046
53.833011 94.053 -164.3788
54.199222 94.044 -164.5451
54.565432 94.039 -164.6549
54.931643 94.038 -164.6841
55.297854 94.039 -164.6540
55.664065 94.034 -164.6242
56.030276 94.011 -164.6567
56.396487 93.957 -164.7732
56.762698 93.868 -164.9346
57.128909 93.750 -165.0605
57.495120 93.628 -165.0824
57.861331 93.535 -164.9940
58.227542 93.498 -164.8634
58.593753 93.525 -164.7939
58.959964 93.599 -164.8588
59.326175 93.691 -165.0538
59.692386 93.773 -165.2992
60.058597 93.826 -165.4898
60.424808 93.849 -165.5566
60.791019 93.849 -165.5026
61.157230 93.834 -165.3943
61.523441 93.814 -165.3198
61.889652 93.792 -165.3424
62.255863 93.770 -165.4756
62.622074 93.751 -165.6863
62.988285 93.737 -165.9185
63.354496 93.730 -166.1178
63.720707 93.728 -166.2490
64.086918 93.730 -166.3019
64.453129 93.734 -166.2894
64.819340 93.736 -166.2412
65.185551 93.733 -166.1919
65.551762 93.723 -166.1681
65.917972 93.705 -166.1774
66.284183 93.680 -166.2082
66.650394 93.650 -166.2386
67.016605 93.620 -166.2518
67.382816 93.594 -166.2463
67.749027 93.572 -166.2339
68.115238 93.552 -166.2289
68.481449 93.532 -166.2351
68.847660 93.507 -166.2420
69.213871 93.480 -166.2317
69.580082 93.453 -166.1920
69.946293 93.430 -166.1255
70.312504 93.415 -166.0494
70.678715 93.409 -165.9858
71.044926 93.407 -165.9502
71.411137 93.407 -165.9465
71.777348 93.405 -165.9684
72.143559 93.399 -166.0071
72.509770 93.389 -166.0572
72.875981 93.376 -166.1178
73.242192 93.361 -166.1896
73.608403 93.344 -166.2698
73.974614 93.327 -166.3514
74.340825 93.310 -166.4246
74.707036 93.295 -166.4821
75.073247 93.283 -166.5223
75.439458 93.274 -166.5487
75.805669 93.265 -166.5667
76.171880 93.255 -166.5787
76.538091 93.241 -166.5824
76.904301 93.222 -166.5723
77.270512 93.197 -166.5450
77.636723 93.168 -166.5020
78.002934 93.138 -166.4511
78.369145 93.109 -166.4023
78.735356 93.081 -166.3633
79.101567 93.057 -166.3364
79.467778 93.036 -166.3192
79.833989 93.020 -166.3067
80.200200 93.009 -166.2944
80.566411 93.001 -166.2783
80.932622 92.996 -166.2539
81.298833 92.991 -166.2155
81.665044 92.985 -166.1583
82.031255 92.979 -166.0827
82.397466 92.973 -165.9972
82.763677 92.969 -165.9165
83.129888 92.965 -165.8560
83.496099 92.961 -165.8235
83.862310 92.953 -165.8150
84.228521 92.942 -165.8158
84.594732 92.927 -165.8085
84.960943 92.908 -165.7807
85.327154 92.888 -165.7309
85.693365 92.867 -165.6670
86.059576 92.846 -165.6012
86.425787 92.825 -165.5436
86.791998 92.803 -165.4979
87.158209 92.780 -165.4623
87.524420 92.757 -165.4318
87.890631 92.735 -165.4022
88.256841 92.716 -165.3717
88.623052 92.700 -165.3407
88.989263 92.685 -165.3102
89.355474 92.672 -165.2810
89.721685 92.659 -165.2529
90.087896 92.646 -165.2254
90.454107 92.631 -165.1979
90.820318 92.616 -165.1693
91.186529 92.600 -165.1367
91.552740 92.583 -165.0958
91.918951 92.566 -165.0404
92.285162 92.549 -164.9656
92.651373 92.531 -164.8692
93.017584 92.514 -164.7542
93.383795 92.496 -164.6280
93.750006 92.478 -164.5016
94.116217 92.460 -164.3861
94.482428 92.442 -164.2904
94.848639 92.425 -164.2204
95.214850 92.410 -164.1780
95.581061 92.398 -164.1623
95.947272 92.390 -164.1698
96.313483 92.385 -164.1954
96.679694 92.381 -164.2319
97.045905 92.376 -164.2717
97.412116 92.368 -164.3070
97.778327 92.357 -164.3319
98.144538 92.342 -164.3429
98.510749 92.324 -164.3393
98.876960 92.303 -164.3223
99.243170 92.282 -164.2933
99.609381 92.261 -164.2519
99.975592 92.242 -164.1964
100.341803 92.226 -164.1246
100.708014 92.213 -164.0365
101.074225 92.203 -163.9367
101.440436 92.195 -163.8341
101.806647 92.188 -163.7399
102.172858 92.180 -163.6628
102.539069 92.170 -163.6056
102.905280 92.155 -163.5627
103.271491 92.135 -163.5220
103.637702 92.111 -163.4692
104.003913 92.084 -163.3932
104.370124 92.055 -163.2896
104.736335 92.025 -163.1625
105.102546 91.997 -163.0229
105.468757 91.971 -162.8860
105.834968 91.946 -162.7674
106.201179 91.924 -162.6801
106.567390 91.904 -162.6313
106.933601 91.887 -162.6210
107.299812 91.873 -162.6409
107.666023 91.861 -162.6767
108.032234 91.852 -162.7116
108.398445 91.847 -162.7311
108.764656 91.845 -162.7277
109.130867 91.846 -162.7023
109.497078 91.850 -162.6628
109.863289 91.854 -162.6198
110.229500 91.855 -162.5819
110.595710 91.853 -162.5523
110.961921 91.845 -162.5274
111.328132 91.830 -162.4985
111.694343 91.809 -162.4547
112.060554 91.781 -162.3858
112.426765 91.748 -162.2849
112.792976 91.710 -162.1501
113.159187 91.668 -161.9847
113.525398 91.624 -161.7975
113.891609 91.579 -161.6009
114.257820 91.534 -161.4081
114.624031 91.492 -161.2304
114.990242 91.455 -161.0737
115.356453 91.426 -160.9376
115.722664 91.405 -160.8171
116.088875 91.395 -160.7063
116.455086 91.395 -160.6035
116.821297 91.404 -160.5154
117.187508 91.419 -160.4583
117.553719 91.436 -160.4553
117.919930 91.448 -160.5297
118.286141 91.451 -160.6977
118.652352 91.441 -160.9611
119.018563 91.415 -161.3050
119.384774 91.375 -161.6986
119.750985 91.325 -162.1013
120.117196 91.271 -162.4706
120.483407 91.221 -162.7695
120.849618 91.183 -162.9728
121.215829 91.160 -163.0689
121.582040 91.154 -163.0593
121.948250 91.164 -162.9552
122.314461 91.185 -162.7721
122.680672 91.209 -162.5245
123.046883 91.230 -162.2210
123.413094 91.242 -161.8627
123.779305 91.241 -161.4450
124.145516 91.228 -160.9631
124.511727 91.205 -160.4186
124.877938 91.177 -159.8257
125.244149 91.151 -159.2119
125.610360 91.132 -158.6141
125.976571 91.124 -158.0704
126.342782 91.127 -157.6119
126.708993 91.141 -157.2556
127.075204 91.161 -157.0037
127.441415 91.185 -156.8456
127.807626 91.210 -156.7627
128.173837 91.232 -156.7343
128.540048 91.248 -156.7408
128.906259 91.258 -156.7666
129.272470 91.261 -156.8008
129.638681 91.256 -156.8374
130.004892 91.244 -156.8748
130.371103 91.226 -156.9140
130.737314 91.204 -156.9574
131.103525 91.180 -157.0061
131.469736 91.154 -157.0587
131.835947 91.127 -157.1106
132.202158 91.100 -157.1545
132.568369 91.075 -157.1814
132.934579 91.052 -157.1824
133.300790 91.032 -157.1503
133.667001 91.018 -157.0807
134.033212 91.010 -156.9723
134.399423 91.009 -156.8270
134.765634 91.014 -156.6494
135.131845 91.024 -156.4456
135.498056 91.039 -156.2226
135.864267 91.055 -155.9870
136.230478 91.072 -155.7444
136.596689 91.086 -155.4995
136.962900 91.097 -155.2558
137.329111 91.103 -155.0164
137.695322 91.104 -154.7841
138.061533 91.100 -154.5619
138.427744 91.092 -154.3533
138.793955 91.080 -154.1615
139.160166 91.067 -153.9893
139.526377 91.052 -153.8385
139.892588 91.037 -153.7094
140.258799 91.024 -153.6009
140.625010 91.013 -153.5099
140.991221 91.005 -153.4325
141.357432 91.001 -153.3641
141.723643 91.000 -153.3000
142.089854 91.001 -153.2368
142.456065 91.004 -153.1722
142.822276 91.008 -153.1059
143.188487 91.011 -153.0390
143.554698 91.012 -152.9741
143.920909 91.010 -152.9140
144.287119 91.004 -152.8612
144.653330 90.994 -152.8169
145.019541 90.979 -152.7803
145.385752 90.959 -152.7480
145.751963 90.936 -152.7147
146.118174 90.910 -152.6737
146.484385 90.882 -152.6181
146.850596 90.854 -152.5426
147.216807 90.826 -152.4443
147.583018 90.801 -152.3239
147.949229 90.779 -152.1857
148.315440 90.759 -152.0367
148.681651 90.743 -151.8856
149.047862 90.730 -151.7415
149.414073 90.718 -151.6121
149.780284 90.708 -151.5025
150.146495 90.698 -151.4149
150.512706 90.688 -151.3479
150.878917 90.677 -151.2972
151.245128 90.665 -151.2562
151.611339 90.652 -151.2172
151.977550 90.638 -151.1728
152.343761 90.624 -151.1167
152.709972 90.611 -151.0449
153.076183 90.598 -150.9561
153.442394 90.586 -150.8512
153.808605 90.576 -150.7332
154.174816 90.567 -150.6063
154.541027 90.558 -150.4749
154.907238 90.551 -150.3431
155.273448 90.545 -150.2140
155.639659 90.538 -150.0896
156.005870 90.532 -149.9702
156.372081 90.524 -149.8554
156.738292 90.515 -149.7436
157.104503 90.505 -149.6330
157.470714 90.493 -149.5216
157.836925 90.479 -149.4080
158.203136 90.464 -149.2915
158.569347 90.448 -149.1719
158.935558 90.432 -149.0497
159.301769 90.415 -148.9259
159.667980 90.400 -148.8020
160.034191 90.385 -148.6793
160.400402 90.371 -148.5598
160.766613 90.360 -148.4451
161.132824 90.349 -148.3372
161.499035 90.341 -148.2375
161.865246 90.333 -148.1474
162.231457 90.326 -148.0672
162.597668 90.319 -147.9958
