* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 27, 2023 3:52:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EW200 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.483 -168.0511
20.507813 93.484 -168.3155
20.874023 93.482 -169.0141
21.240234 93.467 -169.7060
21.606445 93.442 -170.3166
21.972656 93.411 -170.8459
22.338867 93.377 -171.2488
22.705078 93.345 -171.4832
23.071289 93.327 -171.5546
23.437500 93.337 -171.5470
23.803711 93.381 -171.6141
24.169922 93.448 -171.9084
24.536133 93.512 -172.4910
24.902344 93.549 -173.2837
25.268555 93.545 -174.0995
25.634766 93.508 -174.7388
26.000977 93.459 -175.0969
26.367188 93.425 -175.2180
26.733399 93.420 -175.2626
27.099610 93.437 -175.4092
27.465821 93.457 -175.7527
27.832032 93.460 -176.2610
28.198243 93.438 -176.8115
28.564454 93.395 -177.2688
28.930665 93.349 -177.5557
29.296876 93.315 -177.6812
29.663087 93.301 -177.7212
30.029298 93.305 -177.7710
30.395509 93.316 -177.8994
30.761720 93.323 -178.1276
31.127931 93.318 -178.4359
31.494142 93.300 -178.7840
31.860353 93.274 -179.1288
32.226563 93.246 -179.4362
32.592774 93.223 -179.6849
32.958985 93.210 -179.8678
33.325196 93.207 -179.9915
33.691407 93.212 179.9246
34.057618 93.219 179.8543
34.423829 93.222 179.7737
34.790040 93.213 179.6715
35.156251 93.191 179.5515
35.522462 93.158 179.4250
35.888673 93.121 179.2996
36.254884 93.089 179.1705
36.621095 93.067 179.0220
36.987306 93.057 178.8378
37.353517 93.055 178.6145
37.719728 93.055 178.3665
38.085939 93.051 178.1208
38.452150 93.040 177.9034
38.818361 93.021 177.7269
39.184572 93.000 177.5861
39.550783 92.977 177.4633
39.916994 92.957 177.3401
40.283205 92.940 177.2079
40.649416 92.926 177.0712
41.015627 92.914 176.9434
41.381838 92.901 176.8380
41.748049 92.888 176.7603
42.114260 92.871 176.7041
42.480471 92.850 176.6543
42.846682 92.824 176.5912
43.212893 92.795 176.4956
43.579103 92.764 176.3540
43.945314 92.733 176.1613
44.311525 92.705 175.9232
44.677736 92.680 175.6560
45.043947 92.660 175.3839
45.410158 92.643 175.1342
45.776369 92.630 174.9304
46.142580 92.618 174.7869
46.508791 92.605 174.7054
46.875002 92.591 174.6755
47.241213 92.575 174.6785
47.607424 92.555 174.6913
47.973635 92.531 174.6910
48.339846 92.505 174.6584
48.706057 92.478 174.5804
49.072268 92.450 174.4525
49.438479 92.423 174.2801
49.804690 92.398 174.0779
50.170901 92.377 173.8661
50.537112 92.359 173.6660
50.903323 92.344 173.4954
51.269534 92.332 173.3654
51.635745 92.319 173.2791
52.001956 92.305 173.2321
52.368167 92.288 173.2132
52.734378 92.268 173.2078
53.100589 92.245 173.2004
53.466800 92.221 173.1784
53.833011 92.198 173.1354
54.199222 92.176 173.0724
54.565432 92.157 172.9970
54.931643 92.141 172.9199
55.297854 92.126 172.8508
55.664065 92.113 172.7949
56.030276 92.098 172.7507
56.396487 92.082 172.7120
56.762698 92.064 172.6707
57.128909 92.043 172.6200
57.495120 92.020 172.5572
57.861331 91.997 172.4833
58.227542 91.975 172.4025
58.593753 91.955 172.3198
58.959964 91.938 172.2402
59.326175 91.923 172.1677
59.692386 91.909 172.1057
60.058597 91.895 172.0568
60.424808 91.881 172.0217
60.791019 91.865 171.9995
61.157230 91.847 171.9863
61.523441 91.827 171.9771
61.889652 91.806 171.9662
62.255863 91.782 171.9491
62.622074 91.758 171.9228
62.988285 91.733 171.8861
63.354496 91.709 171.8391
63.720707 91.687 171.7830
64.086918 91.667 171.7211
64.453129 91.649 171.6586
64.819340 91.634 171.6027
65.185551 91.621 171.5603
65.551762 91.608 171.5362
65.917972 91.594 171.5303
66.284183 91.578 171.5375
66.650394 91.559 171.5491
67.016605 91.537 171.5554
67.382816 91.513 171.5493
67.749027 91.489 171.5280
68.115238 91.465 171.4935
68.481449 91.443 171.4517
68.847660 91.425 171.4107
69.213871 91.409 171.3777
69.580082 91.396 171.3582
69.946293 91.383 171.3539
70.312504 91.369 171.3629
70.678715 91.353 171.3805
71.044926 91.334 171.4004
71.411137 91.312 171.4164
71.777348 91.289 171.4238
72.143559 91.266 171.4207
72.509770 91.244 171.4074
72.875981 91.223 171.3870
73.242192 91.204 171.3643
73.608403 91.187 171.3442
73.974614 91.171 171.3315
74.340825 91.154 171.3284
74.707036 91.136 171.3344
75.073247 91.118 171.3464
75.439458 91.099 171.3596
75.805669 91.080 171.3694
76.171880 91.060 171.3733
76.538091 91.041 171.3711
76.904301 91.023 171.3650
77.270512 91.004 171.3583
77.636723 90.986 171.3542
78.002934 90.969 171.3554
78.369145 90.951 171.3630
78.735356 90.933 171.3765
79.101567 90.915 171.3939
79.467778 90.897 171.4123
79.833989 90.880 171.4288
80.200200 90.862 171.4418
80.566411 90.844 171.4515
80.932622 90.826 171.4595
81.298833 90.808 171.4674
81.665044 90.790 171.4766
82.031255 90.773 171.4873
82.397466 90.756 171.4990
82.763677 90.739 171.5116
83.129888 90.721 171.5249
83.496099 90.704 171.5384
83.862310 90.687 171.5510
84.228521 90.669 171.5612
84.594732 90.652 171.5681
84.960943 90.635 171.5725
85.327154 90.617 171.5770
85.693365 90.599 171.5847
86.059576 90.582 171.5976
86.425787 90.565 171.6160
86.791998 90.550 171.6384
87.158209 90.534 171.6629
87.524420 90.519 171.6885
87.890631 90.503 171.7155
88.256841 90.487 171.7444
88.623052 90.470 171.7746
88.989263 90.454 171.8037
89.355474 90.437 171.8289
89.721685 90.420 171.8483
90.087896 90.403 171.8624
90.454107 90.385 171.8740
90.820318 90.367 171.8868
91.186529 90.349 171.9036
91.552740 90.331 171.9249
91.918951 90.313 171.9498
92.285162 90.296 171.9764
92.651373 90.278 172.0037
93.017584 90.260 172.0312
93.383795 90.242 172.0591
93.750006 90.224 172.0872
94.116217 90.207 172.1150
94.482428 90.190 172.1414
94.848639 90.174 172.1661
95.214850 90.158 172.1900
95.581061 90.143 172.2147
95.947272 90.127 172.2418
96.313483 90.111 172.2719
96.679694 90.096 172.3040
97.045905 90.080 172.3363
97.412116 90.064 172.3667
97.778327 90.048 172.3939
98.144538 90.031 172.4180
98.510749 90.014 172.4403
98.876960 89.998 172.4629
99.243170 89.981 172.4876
99.609381 89.965 172.5157
99.975592 89.950 172.5478
100.341803 89.935 172.5831
100.708014 89.920 172.6206
101.074225 89.905 172.6588
101.440436 89.890 172.6964
101.806647 89.875 172.7328
102.172858 89.858 172.7682
102.539069 89.842 172.8029
102.905280 89.826 172.8375
103.271491 89.810 172.8719
103.637702 89.795 172.9059
104.003913 89.781 172.9389
104.370124 89.768 172.9711
104.736335 89.755 173.0035
105.102546 89.741 173.0377
105.468757 89.726 173.0751
105.834968 89.710 173.1158
106.201179 89.694 173.1583
106.567390 89.677 173.1995
106.933601 89.661 173.2365
107.299812 89.645 173.2673
107.666023 89.629 173.2923
108.032234 89.614 173.3139
108.398445 89.600 173.3363
108.764656 89.586 173.3636
109.130867 89.571 173.3991
109.497078 89.557 173.4438
109.863289 89.543 173.4969
110.229500 89.528 173.5554
110.595710 89.514 173.6158
110.961921 89.500 173.6749
111.328132 89.486 173.7305
111.694343 89.473 173.7822
112.060554 89.461 173.8310
112.426765 89.449 173.8792
112.792976 89.438 173.9291
113.159187 89.427 173.9828
113.525398 89.417 174.0410
113.891609 89.407 174.1030
114.257820 89.397 174.1673
114.624031 89.387 174.2321
114.990242 89.377 174.2961
115.356453 89.366 174.3588
115.722664 89.355 174.4212
116.088875 89.343 174.4847
116.455086 89.332 174.5515
116.821297 89.319 174.6224
117.187508 89.306 174.6978
117.553719 89.292 174.7763
117.919930 89.278 174.8556
118.286141 89.262 174.9330
118.652352 89.246 175.0060
119.018563 89.228 175.0728
119.384774 89.210 175.1329
119.750985 89.192 175.1866
120.117196 89.173 175.2350
120.483407 89.154 175.2795
120.849618 89.135 175.3217
121.215829 89.116 175.3620
121.582040 89.097 175.4007
121.948250 89.079 175.4369
122.314461 89.061 175.4696
122.680672 89.044 175.4977
123.046883 89.027 175.5206
123.413094 89.011 175.5384
123.779305 88.997 175.5526
124.145516 88.983 175.5651
124.511727 88.971 175.5789
124.877938 88.959 175.5966
125.244149 88.948 175.6209
125.610360 88.938 175.6534
125.976571 88.928 175.6948
126.342782 88.918 175.7448
126.708993 88.909 175.8022
127.075204 88.899 175.8651
127.441415 88.890 175.9316
127.807626 88.880 176.0000
128.173837 88.869 176.0689
128.540048 88.857 176.1377
128.906259 88.845 176.2064
129.272470 88.831 176.2751
129.638681 88.815 176.3445
130.004892 88.799 176.4148
130.371103 88.783 176.4861
130.737314 88.766 176.5580
131.103525 88.749 176.6296
131.469736 88.732 176.7000
131.835947 88.717 176.7679
132.202158 88.703 176.8324
132.568369 88.690 176.8927
132.934579 88.678 176.9486
133.300790 88.667 177.0004
133.667001 88.657 177.0486
134.033212 88.646 177.0943
134.399423 88.636 177.1388
134.765634 88.625 177.1835
135.131845 88.614 177.2298
135.498056 88.602 177.2792
135.864267 88.590 177.3330
136.230478 88.577 177.3921
136.596689 88.564 177.4569
136.962900 88.550 177.5273
137.329111 88.537 177.6029
137.695322 88.525 177.6824
138.061533 88.513 177.7644
138.427744 88.501 177.8475
138.793955 88.491 177.9300
139.160166 88.481 178.0107
139.526377 88.471 178.0885
139.892588 88.462 178.1628
140.258799 88.452 178.2333
140.625010 88.443 178.3001
140.991221 88.433 178.3636
141.357432 88.423 178.4246
141.723643 88.413 178.4840
142.089854 88.402 178.5430
142.456065 88.390 178.6024
142.822276 88.378 178.6633
143.188487 88.366 178.7263
143.554698 88.353 178.7921
143.920909 88.340 178.8610
144.287119 88.328 178.9332
144.653330 88.315 179.0085
145.019541 88.303 179.0870
145.385752 88.291 179.1684
145.751963 88.279 179.2523
146.118174 88.268 179.3381
146.484385 88.257 179.4254
146.850596 88.246 179.5134
147.216807 88.235 179.6016
147.583018 88.225 179.6893
147.949229 88.214 179.7761
148.315440 88.204 179.8618
148.681651 88.194 179.9462
149.047862 88.184 -179.9705
149.414073 88.174 -179.8884
149.780284 88.164 -179.8070
150.146495 88.154 -179.7262
150.512706 88.144 -179.6457
150.878917 88.134 -179.5653
151.245128 88.125 -179.4849
151.611339 88.115 -179.4043
151.977550 88.106 -179.3235
152.343761 88.096 -179.2426
152.709972 88.086 -179.1617
153.076183 88.076 -179.0807
153.442394 88.066 -178.9999
153.808605 88.056 -178.9193
154.174816 88.046 -178.8388
154.541027 88.036 -178.7582
154.907238 88.025 -178.6770
155.273448 88.015 -178.5948
155.639659 88.005 -178.5110
156.005870 87.995 -178.4250
156.372081 87.985 -178.3363
156.738292 87.975 -178.2448
157.104503 87.965 -178.1506
157.470714 87.956 -178.0541
157.836925 87.946 -177.9560
158.203136 87.936 -177.8573
158.569347 87.926 -177.7590
158.935558 87.916 -177.6621
159.301769 87.906 -177.5674
159.667980 87.896 -177.4753
160.034191 87.885 -177.3863
160.400402 87.874 -177.3003
160.766613 87.863 -177.2170
161.132824 87.852 -177.1362
161.499035 87.842 -177.0573
161.865246 87.831 -176.9798
162.231457 87.820 -176.9033
162.597668 87.810 -176.8274
162.963879 87.800 -176.7516
163.330090 87.790 -176.6758
163.696301 87.781 -176.5996
164.062512 87.772 -176.5230
164.428723 87.763 -176.4458
164.794934 87.755 -176.3681
165.161145 87.746 -176.2899
165.527356 87.738 -176.2112
165.893567 87.730 -176.1320
166.259778 87.722 -176.0525
166.625988 87.714 -175.9727
166.992199 87.706 -175.8929
167.358410 87.698 -175.8130
167.724621 87.690 -175.7332
168.090832 87.682 -175.6535
168.457043 87.673 -175.5739
168.823254 87.665 -175.4943
169.189465 87.657 -175.4145
169.555676 87.648 -175.3346
169.921887 87.639 -175.2544
170.288098 87.631 -175.1739
