* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:47:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Softears Volume S high R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.079 -40.5472
0.368865 38.091 -40.6992
0.371538 38.107 -40.9271
0.374230 38.128 -41.2138
0.376942 38.151 -41.5445
0.379673 38.175 -41.9084
0.382424 38.201 -42.2984
0.385196 38.227 -42.7103
0.387987 38.254 -43.1417
0.390798 38.282 -43.5915
0.393630 38.309 -44.0596
0.396483 38.337 -44.5458
0.399356 38.365 -45.0507
0.402250 38.393 -45.5745
0.405165 38.421 -46.1179
0.408101 38.450 -46.6814
0.411058 38.478 -47.2657
0.414037 38.507 -47.8714
0.417037 38.536 -48.4992
0.420059 38.566 -49.1497
0.423103 38.595 -49.8236
0.426169 38.625 -50.5217
0.429257 38.655 -51.2446
0.432368 38.686 -51.9931
0.435501 38.716 -52.7679
0.438656 38.747 -53.5697
0.441835 38.778 -54.3993
0.445037 38.809 -55.2573
0.448262 38.840 -56.1444
0.451510 38.872 -57.0614
0.454782 38.904 -58.0089
0.458077 38.936 -58.9874
0.461397 38.968 -59.9977
0.464740 39.000 -61.0403
0.468108 39.033 -62.1156
0.471500 39.066 -63.2240
0.474917 39.099 -64.3659
0.478358 39.133 -65.5416
0.481825 39.167 -66.7512
0.485316 39.200 -67.9948
0.488833 39.235 -69.2722
0.492375 39.269 -70.5833
0.495943 39.304 -71.9277
0.499537 39.339 -73.3049
0.503157 39.374 -74.7141
0.506803 39.409 -76.1547
0.510475 39.445 -77.6254
0.514175 39.481 -79.1251
0.517900 39.517 -80.6523
0.521653 39.554 -82.2055
0.525434 39.591 -83.7827
0.529241 39.628 -85.3822
0.533076 39.665 -87.0016
0.536939 39.702 -88.6387
0.540830 39.740 -90.2911
0.544749 39.778 -91.9562
0.548696 39.817 -93.6312
0.552673 39.855 -95.3136
0.556677 39.894 -97.0005
0.560711 39.934 -98.6891
0.564774 39.973 -100.3767
0.568867 40.013 -102.0605
0.572989 40.053 -103.7379
0.577141 40.093 -105.4062
0.581324 40.134 -107.0630
0.585536 40.175 -108.7060
0.589779 40.216 -110.3331
0.594053 40.258 -111.9421
0.598358 40.300 -113.5314
0.602694 40.342 -115.0992
0.607061 40.384 -116.6441
0.611460 40.427 -118.1650
0.615891 40.470 -119.6606
0.620354 40.514 -121.1302
0.624849 40.557 -122.5730
0.629377 40.601 -123.9884
0.633938 40.646 -125.3763
0.638532 40.691 -126.7362
0.643159 40.736 -128.0682
0.647819 40.781 -129.3722
0.652514 40.827 -130.6484
0.657242 40.872 -131.8971
0.662005 40.919 -133.1185
0.666802 40.965 -134.3132
0.671634 41.013 -135.4816
0.676501 41.060 -136.6243
0.681403 41.108 -137.7418
0.686341 41.156 -138.8348
0.691314 41.205 -139.9039
0.696324 41.254 -140.9498
0.701370 41.304 -141.9731
0.706452 41.356 -142.9745
0.711571 41.409 -143.9545
0.716728 41.466 -144.9134
0.721921 41.527 -145.8515
0.727153 41.595 -146.7688
0.732422 41.672 -147.6649
0.737729 41.758 -148.5392
0.743075 41.854 -149.3913
0.748460 41.959 -150.2206
0.753883 42.070 -151.0271
0.759346 42.187 -151.8111
0.764849 42.310 -152.5728
0.770391 42.437 -153.3128
0.775974 42.569 -154.0317
0.781597 42.706 -154.7301
0.787261 42.846 -155.4088
0.792966 42.991 -156.0685
0.798712 43.139 -156.7099
0.804500 43.292 -157.3337
0.810329 43.448 -157.9406
0.816201 43.608 -158.5313
0.822116 43.772 -159.1065
0.828073 43.940 -159.6670
0.834074 44.111 -160.2133
0.840118 44.286 -160.7461
0.846206 44.464 -161.2661
0.852338 44.645 -161.7739
0.858514 44.830 -162.2701
0.864735 45.018 -162.7552
0.871001 45.208 -163.2299
0.877313 45.402 -163.6947
0.883670 45.598 -164.1502
0.890074 45.797 -164.5968
0.896524 45.998 -165.0352
0.903020 46.202 -165.4656
0.909564 46.408 -165.8888
0.916155 46.615 -166.3050
0.922794 46.825 -166.7148
0.929481 47.036 -167.1186
0.936216 47.249 -167.5168
0.943000 47.463 -167.9099
0.949834 47.677 -168.2982
0.956717 47.893 -168.6820
0.963649 48.109 -169.0619
0.970632 48.326 -169.4381
0.977666 48.543 -169.8110
0.984750 48.759 -170.1809
0.991886 48.976 -170.5482
0.999074 49.191 -170.9132
1.006314 49.406 -171.2761
1.013606 49.619 -171.6374
1.020951 49.831 -171.9973
1.028349 50.041 -172.3561
1.035801 50.249 -172.7141
1.043307 50.454 -173.0714
1.050867 50.657 -173.4284
1.058482 50.856 -173.7853
1.066152 51.052 -174.1421
1.073878 51.245 -174.4989
1.081660 51.434 -174.8557
1.089498 51.619 -175.2120
1.097393 51.801 -175.5674
1.105345 51.979 -175.9213
1.113355 52.155 -176.2730
1.121423 52.329 -176.6220
1.129549 52.501 -176.9679
1.137734 52.671 -177.3105
1.145979 52.839 -177.6498
1.154283 53.005 -177.9857
1.162647 53.170 -178.3186
1.171072 53.334 -178.6484
1.179558 53.496 -178.9753
1.188106 53.657 -179.2995
1.196715 53.816 -179.6212
1.205387 53.974 -179.9406
1.214122 54.130 179.7423
1.222920 54.286 179.4271
1.231782 54.440 179.1138
1.240708 54.593 178.8021
1.249699 54.745 178.4919
1.258754 54.896 178.1829
1.267876 55.046 177.8752
1.277063 55.196 177.5684
1.286318 55.344 177.2623
1.295639 55.492 176.9570
1.305027 55.639 176.6520
1.314484 55.786 176.3475
1.324009 55.932 176.0430
1.333604 56.078 175.7385
1.343268 56.223 175.4338
1.353002 56.369 175.1288
1.362806 56.514 174.8233
1.372681 56.660 174.5172
1.382628 56.805 174.2102
1.392647 56.951 173.9023
1.402739 57.098 173.5933
1.412904 57.245 173.2833
1.423142 57.393 172.9720
1.433455 57.541 172.6596
1.443843 57.690 172.3463
1.454305 57.839 172.0324
1.464844 57.989 171.7184
1.475459 58.139 171.4048
1.486150 58.288 171.0923
1.496920 58.437 170.7812
1.507767 58.586 170.4717
1.518693 58.733 170.1639
1.529698 58.880 169.8577
1.540783 59.026 169.5528
1.551948 59.172 169.2490
1.563194 59.316 168.9460
1.574521 59.460 168.6436
1.585931 59.603 168.3415
1.597423 59.745 168.0393
1.608999 59.887 167.7368
1.620658 60.028 167.4335
1.632402 60.169 167.1294
1.644232 60.309 166.8240
1.656146 60.448 166.5170
1.668147 60.588 166.2083
1.680235 60.726 165.8973
1.692411 60.865 165.5840
1.704675 61.003 165.2679
1.717028 61.141 164.9489
1.729470 61.279 164.6266
1.742003 61.417 164.3008
1.754626 61.555 163.9712
1.767341 61.693 163.6376
1.780147 61.830 163.2999
1.793047 61.968 162.9579
1.806040 62.107 162.6117
1.819128 62.245 162.2616
1.832310 62.383 161.9078
1.845587 62.520 161.5510
1.858961 62.658 161.1917
1.872432 62.795 160.8302
1.886001 62.931 160.4671
1.899667 63.067 160.1024
1.913433 63.202 159.7363
1.927299 63.336 159.3688
1.941265 63.470 159.0000
1.955332 63.603 158.6298
1.969501 63.736 158.2581
1.983773 63.868 157.8849
1.998148 64.000 157.5100
2.012627 64.131 157.1334
2.027212 64.262 156.7550
2.041902 64.392 156.3745
2.056698 64.522 155.9919
2.071602 64.651 155.6070
2.086614 64.780 155.2197
2.101734 64.909 154.8297
2.116964 65.038 154.4368
2.132304 65.167 154.0410
2.147756 65.295 153.6421
2.163320 65.423 153.2398
2.178996 65.551 152.8343
2.194786 65.678 152.4254
2.210690 65.806 152.0132
2.226710 65.932 151.5979
2.242845 66.058 151.1797
2.259098 66.184 150.7588
2.275468 66.309 150.3353
2.291957 66.433 149.9094
2.308566 66.556 149.4813
2.325295 66.679 149.0510
2.342145 66.802 148.6186
2.359117 66.923 148.1842
2.376212 67.044 147.7478
2.393431 67.165 147.3094
2.410775 67.285 146.8691
2.428244 67.404 146.4268
2.445840 67.523 145.9823
2.463564 67.641 145.5357
2.481416 67.759 145.0869
2.499397 67.877 144.6357
2.517509 67.994 144.1818
2.535752 68.111 143.7252
2.554127 68.227 143.2654
2.572635 68.343 142.8024
2.591277 68.458 142.3359
2.610055 68.573 141.8658
2.628968 68.686 141.3922
2.648019 68.799 140.9153
2.667208 68.911 140.4352
2.686535 69.023 139.9523
2.706003 69.133 139.4667
2.725612 69.243 138.9789
2.745363 69.352 138.4888
2.765257 69.461 137.9969
2.785295 69.568 137.5034
2.805478 69.675 137.0082
2.825808 69.782 136.5115
2.846285 69.888 136.0135
2.866910 69.993 135.5139
2.887685 70.097 135.0126
2.908611 70.201 134.5092
2.929688 70.305 134.0034
2.950917 70.407 133.4945
2.972301 70.509 132.9823
2.993839 70.609 132.4665
3.015534 70.709 131.9471
3.037386 70.808 131.4245
3.059396 70.906 130.8989
3.081565 71.003 130.3709
3.103896 71.099 129.8409
3.126388 71.195 129.3094
3.149043 71.289 128.7768
3.171862 71.383 128.2435
3.194847 71.476 127.7099
3.217998 71.568 127.1761
3.241317 71.659 126.6422
3.264805 71.750 126.1080
3.288463 71.840 125.5729
3.312293 71.929 125.0365
3.336295 72.017 124.4980
3.360471 72.103 123.9572
3.384822 72.189 123.4137
3.409350 72.274 122.8679
3.434056 72.358 122.3201
3.458940 72.441 121.7709
3.484005 72.523 121.2208
3.509252 72.604 120.6704
3.534681 72.684 120.1203
3.560295 72.763 119.5711
3.586094 72.841 119.0229
3.612081 72.918 118.4761
3.638255 72.995 117.9303
3.664620 73.071 117.3852
3.691175 73.145 116.8400
3.717923 73.219 116.2943
3.744864 73.291 115.7477
3.772001 73.363 115.2002
3.799335 73.433 114.6520
3.826866 73.503 114.1038
3.854597 73.571 113.5561
3.882529 73.639 113.0095
3.910664 73.705 112.4648
3.939002 73.771 111.9224
3.967546 73.836 111.3828
3.996296 73.901 110.8461
4.025255 73.964 110.3120
4.054423 74.027 109.7802
4.083804 74.088 109.2502
4.113396 74.149 108.7216
4.143204 74.209 108.1943
4.173227 74.268 107.6684
4.203468 74.326 107.1442
4.233928 74.383 106.6222
4.264609 74.439 106.1029
4.295512 74.495 105.5867
4.326639 74.551 105.0740
4.357992 74.605 104.5651
4.389572 74.660 104.0601
4.421380 74.713 103.5586
4.453419 74.766 103.0605
4.485691 74.819 102.5654
4.518196 74.870 102.0732
4.550936 74.922 101.5838
4.583914 74.972 101.0972
4.617131 75.023 100.6135
4.650589 75.073 100.1329
4.684289 75.122 99.6555
4.718233 75.172 99.1816
4.752424 75.221 98.7112
4.786862 75.271 98.2443
4.821549 75.320 97.7808
4.856488 75.368 97.3204
4.891680 75.417 96.8629
4.927127 75.465 96.4079
4.962831 75.514 95.9551
4.998794 75.562 95.5042
5.035017 75.611 95.0548
5.071503 75.659 94.6068
5.108253 75.708 94.1602
5.145270 75.757 93.7148
5.182555 75.806 93.2708
5.220110 75.855 92.8278
5.257937 75.904 92.3857
5.296038 75.953 91.9439
5.334415 76.002 91.5020
5.373071 76.052 91.0593
5.412006 76.102 90.6155
5.451224 76.151 90.1701
5.490725 76.201 89.7228
5.530514 76.251 89.2735
5.570590 76.301 88.8221
5.610957 76.352 88.3687
5.651616 76.402 87.9128
5.692570 76.452 87.4544
5.733821 76.502 86.9930
5.775370 76.552 86.5284
5.817221 76.601 86.0600
5.859375 76.651 85.5877
5.901834 76.700 85.1112
5.944602 76.748 84.6306
5.987679 76.796 84.1460
6.031068 76.844 83.6577
6.074771 76.891 83.1658
6.118792 76.938 82.6708
6.163131 76.984 82.1726
6.207792 77.028 81.6712
6.252776 77.072 81.1667
6.298086 77.115 80.6590
6.343725 77.157 80.1484
6.389694 77.198 79.6356
6.435996 77.238 79.1214
6.482634 77.277 78.6068
6.529610 77.314 78.0926
6.576926 77.350 77.5792
6.624585 77.385 77.0668
6.672590 77.418 76.5558
6.720942 77.451 76.0468
6.769645 77.481 75.5404
6.818700 77.511 75.0381
