* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:03:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 2.5K MAX L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.287 150.2773
0.368865 33.303 150.2837
0.371538 33.327 150.2930
0.374230 33.357 150.3040
0.376942 33.391 150.3159
0.379673 33.427 150.3280
0.382424 33.464 150.3399
0.385196 33.502 150.3513
0.387987 33.541 150.3621
0.390798 33.581 150.3722
0.393630 33.621 150.3815
0.396483 33.661 150.3901
0.399356 33.701 150.3980
0.402250 33.742 150.4052
0.405165 33.783 150.4117
0.408101 33.825 150.4175
0.411058 33.866 150.4227
0.414037 33.909 150.4273
0.417037 33.951 150.4313
0.420059 33.994 150.4347
0.423103 34.036 150.4376
0.426169 34.080 150.4400
0.429257 34.123 150.4420
0.432368 34.167 150.4435
0.435501 34.211 150.4446
0.438656 34.256 150.4454
0.441835 34.301 150.4458
0.445037 34.346 150.4460
0.448262 34.392 150.4459
0.451510 34.437 150.4456
0.454782 34.484 150.4451
0.458077 34.530 150.4446
0.461397 34.577 150.4440
0.464740 34.624 150.4433
0.468108 34.672 150.4427
0.471500 34.720 150.4421
0.474917 34.768 150.4417
0.478358 34.816 150.4415
0.481825 34.865 150.4415
0.485316 34.915 150.4417
0.488833 34.964 150.4423
0.492375 35.014 150.4433
0.495943 35.065 150.4448
0.499537 35.115 150.4468
0.503157 35.166 150.4493
0.506803 35.218 150.4525
0.510475 35.270 150.4563
0.514175 35.322 150.4609
0.517900 35.374 150.4664
0.521653 35.427 150.4727
0.525434 35.481 150.4800
0.529241 35.535 150.4883
0.533076 35.589 150.4977
0.536939 35.643 150.5082
0.540830 35.698 150.5200
0.544749 35.753 150.5331
0.548696 35.809 150.5475
0.552673 35.865 150.5634
0.556677 35.922 150.5808
0.560711 35.979 150.5998
0.564774 36.036 150.6205
0.568867 36.094 150.6430
0.572989 36.152 150.6672
0.577141 36.211 150.6934
0.581324 36.270 150.7215
0.585536 36.329 150.7518
0.589779 36.389 150.7841
0.594053 36.449 150.8187
0.598358 36.510 150.8556
0.602694 36.571 150.8949
0.607061 36.633 150.9367
0.611460 36.695 150.9810
0.615891 36.758 151.0280
0.620354 36.821 151.0777
0.624849 36.884 151.1302
0.629377 36.948 151.1856
0.633938 37.013 151.2440
0.638532 37.077 151.3054
0.643159 37.143 151.3700
0.647819 37.208 151.4379
0.652514 37.275 151.5091
0.657242 37.342 151.5837
0.662005 37.409 151.6618
0.666802 37.476 151.7436
0.671634 37.545 151.8290
0.676501 37.613 151.9182
0.681403 37.683 152.0112
0.686341 37.752 152.1082
0.691314 37.823 152.2092
0.696324 37.893 152.3143
0.701370 37.964 152.4235
0.706452 38.036 152.5370
0.711571 38.108 152.6546
0.716728 38.181 152.7763
0.721921 38.254 152.9020
0.727153 38.327 153.0313
0.732422 38.401 153.1638
0.737729 38.474 153.2991
0.743075 38.548 153.4366
0.748460 38.623 153.5758
0.753883 38.697 153.7165
0.759346 38.772 153.8585
0.764849 38.848 154.0016
0.770391 38.923 154.1458
0.775974 39.000 154.2910
0.781597 39.076 154.4373
0.787261 39.154 154.5848
0.792966 39.231 154.7333
0.798712 39.310 154.8829
0.804500 39.388 155.0337
0.810329 39.467 155.1857
0.816201 39.547 155.3388
0.822116 39.627 155.4931
0.828073 39.708 155.6487
0.834074 39.789 155.8056
0.840118 39.871 155.9637
0.846206 39.953 156.1231
0.852338 40.035 156.2838
0.858514 40.119 156.4459
0.864735 40.202 156.6093
0.871001 40.287 156.7741
0.877313 40.372 156.9403
0.883670 40.457 157.1079
0.890074 40.543 157.2769
0.896524 40.630 157.4473
0.903020 40.717 157.6192
0.909564 40.804 157.7925
0.916155 40.893 157.9673
0.922794 40.982 158.1436
0.929481 41.071 158.3214
0.936216 41.161 158.5006
0.943000 41.252 158.6814
0.949834 41.343 158.8637
0.956717 41.435 159.0475
0.963649 41.528 159.2328
0.970632 41.621 159.4196
0.977666 41.715 159.6080
0.984750 41.810 159.7979
0.991886 41.905 159.9893
0.999074 42.001 160.1823
1.006314 42.098 160.3767
1.013606 42.195 160.5727
1.020951 42.293 160.7702
1.028349 42.392 160.9691
1.035801 42.491 161.1696
1.043307 42.592 161.3716
1.050867 42.693 161.5751
1.058482 42.794 161.7800
1.066152 42.897 161.9865
1.073878 43.000 162.1945
1.081660 43.105 162.4041
1.089498 43.210 162.6153
1.097393 43.316 162.8283
1.105345 43.422 163.0432
1.113355 43.530 163.2600
1.121423 43.638 163.4788
1.129549 43.748 163.6994
1.137734 43.858 163.9219
1.145979 43.969 164.1460
1.154283 44.081 164.3715
1.162647 44.194 164.5981
1.171072 44.307 164.8257
1.179558 44.422 165.0540
1.188106 44.537 165.2827
1.196715 44.653 165.5115
1.205387 44.770 165.7403
1.214122 44.888 165.9688
1.222920 45.007 166.1967
1.231782 45.127 166.4237
1.240708 45.247 166.6496
1.249699 45.368 166.8742
1.258754 45.491 167.0971
1.267876 45.613 167.3182
1.277063 45.737 167.5372
1.286318 45.861 167.7538
1.295639 45.987 167.9679
1.305027 46.112 168.1791
1.314484 46.239 168.3871
1.324009 46.366 168.5919
1.333604 46.495 168.7931
1.343268 46.623 168.9905
1.353002 46.753 169.1839
1.362806 46.883 169.3730
1.372681 47.014 169.5577
1.382628 47.145 169.7377
1.392647 47.277 169.9129
1.402739 47.410 170.0831
1.412904 47.543 170.2482
1.423142 47.677 170.4082
1.433455 47.811 170.5631
1.443843 47.946 170.7134
1.454305 48.082 170.8593
1.464844 48.218 171.0017
1.475459 48.355 171.1414
1.486150 48.492 171.2792
1.496920 48.631 171.4155
1.507767 48.770 171.5508
1.518693 48.910 171.6850
1.529698 49.051 171.8179
1.540783 49.193 171.9494
1.551948 49.335 172.0791
1.563194 49.478 172.2066
1.574521 49.622 172.3316
1.585931 49.767 172.4535
1.597423 49.912 172.5722
1.608999 50.058 172.6871
1.620658 50.205 172.7979
1.632402 50.352 172.9043
1.644232 50.500 173.0058
1.656146 50.648 173.1021
1.668147 50.797 173.1929
1.680235 50.947 173.2777
1.692411 51.097 173.3564
1.704675 51.247 173.4286
1.717028 51.398 173.4939
1.729470 51.549 173.5521
1.742003 51.701 173.6030
1.754626 51.853 173.6463
1.767341 52.005 173.6819
1.780147 52.157 173.7099
1.793047 52.309 173.7303
1.806040 52.462 173.7436
1.819128 52.615 173.7504
1.832310 52.768 173.7517
1.845587 52.921 173.7487
1.858961 53.075 173.7423
1.872432 53.229 173.7332
1.886001 53.383 173.7218
1.899667 53.538 173.7080
1.913433 53.692 173.6917
1.927299 53.848 173.6724
1.941265 54.003 173.6498
1.955332 54.158 173.6234
1.969501 54.314 173.5927
1.983773 54.470 173.5571
1.998148 54.626 173.5163
2.012627 54.783 173.4697
2.027212 54.939 173.4168
2.041902 55.096 173.3573
2.056698 55.252 173.2906
2.071602 55.409 173.2165
2.086614 55.566 173.1344
2.101734 55.722 173.0441
2.116964 55.879 172.9453
2.132304 56.035 172.8378
2.147756 56.192 172.7215
2.163320 56.348 172.5967
2.178996 56.504 172.4637
2.194786 56.660 172.3234
2.210690 56.816 172.1767
2.226710 56.972 172.0246
2.242845 57.127 171.8678
2.259098 57.283 171.7069
2.275468 57.438 171.5421
2.291957 57.592 171.3734
2.308566 57.747 171.2005
2.325295 57.901 171.0234
2.342145 58.055 170.8417
2.359117 58.209 170.6551
2.376212 58.362 170.4632
2.393431 58.515 170.2658
2.410775 58.668 170.0624
2.428244 58.821 169.8528
2.445840 58.973 169.6367
2.463564 59.125 169.4137
2.481416 59.276 169.1837
2.499397 59.427 168.9463
2.517509 59.578 168.7015
2.535752 59.728 168.4494
2.554127 59.878 168.1902
2.572635 60.027 167.9244
2.591277 60.176 167.6525
2.610055 60.324 167.3749
2.628968 60.471 167.0923
2.648019 60.618 166.8049
2.667208 60.764 166.5129
2.686535 60.910 166.2166
2.706003 61.055 165.9160
2.725612 61.199 165.6110
2.745363 61.342 165.3019
2.765257 61.485 164.9884
2.785295 61.627 164.6706
2.805478 61.769 164.3483
2.825808 61.910 164.0216
2.846285 62.050 163.6902
2.866910 62.190 163.3541
2.887685 62.329 163.0131
2.908611 62.467 162.6671
2.929688 62.605 162.3160
2.950917 62.742 161.9598
2.972301 62.878 161.5985
2.993839 63.013 161.2325
3.015534 63.147 160.8619
3.037386 63.280 160.4871
3.059396 63.412 160.1085
3.081565 63.543 159.7264
3.103896 63.673 159.3412
3.126388 63.802 158.9532
3.149043 63.931 158.5628
3.171862 64.059 158.1701
3.194847 64.185 157.7753
3.217998 64.312 157.3785
3.241317 64.437 156.9798
3.264805 64.561 156.5789
3.288463 64.685 156.1755
3.312293 64.807 155.7694
3.336295 64.929 155.3602
3.360471 65.049 154.9479
3.384822 65.169 154.5324
3.409350 65.287 154.1141
3.434056 65.404 153.6934
3.458940 65.520 153.2709
3.484005 65.636 152.8472
3.509252 65.750 152.4226
3.534681 65.863 151.9979
3.560295 65.976 151.5733
3.586094 66.087 151.1492
3.612081 66.198 150.7256
3.638255 66.308 150.3026
3.664620 66.418 149.8799
3.691175 66.526 149.4569
3.717923 66.633 149.0333
3.744864 66.739 148.6090
3.772001 66.844 148.1840
3.799335 66.948 147.7586
3.826866 67.052 147.3331
3.854597 67.154 146.9080
3.882529 67.255 146.4839
3.910664 67.356 146.0612
3.939002 67.456 145.6404
3.967546 67.556 145.2217
3.996296 67.655 144.8053
4.025255 67.753 144.3911
4.054423 67.850 143.9788
4.083804 67.947 143.5681
4.113396 68.043 143.1587
4.143204 68.139 142.7506
4.173227 68.233 142.3437
4.203468 68.327 141.9382
4.233928 68.420 141.5343
4.264609 68.513 141.1322
4.295512 68.606 140.7321
4.326639 68.698 140.3343
4.357992 68.789 139.9387
4.389572 68.881 139.5456
4.421380 68.972 139.1547
4.453419 69.063 138.7659
4.485691 69.153 138.3791
4.518196 69.243 137.9940
4.550936 69.333 137.6103
4.583914 69.422 137.2280
4.617131 69.512 136.8468
4.650589 69.601 136.4667
4.684289 69.689 136.0874
4.718233 69.778 135.7091
4.752424 69.867 135.3316
4.786862 69.956 134.9549
4.821549 70.044 134.5790
4.856488 70.133 134.2038
4.891680 70.221 133.8289
4.927127 70.309 133.4543
4.962831 70.397 133.0795
4.998794 70.485 132.7043
5.035017 70.573 132.3283
5.071503 70.661 131.9513
5.108253 70.749 131.5731
5.145270 70.837 131.1937
5.182555 70.924 130.8129
5.220110 71.012 130.4309
5.257937 71.099 130.0476
5.296038 71.186 129.6628
5.334415 71.273 129.2764
5.373071 71.360 128.8883
5.412006 71.446 128.4984
5.451224 71.532 128.1064
5.490725 71.618 127.7122
5.530514 71.704 127.3157
5.570590 71.789 126.9170
5.610957 71.874 126.5161
5.651616 71.958 126.1132
5.692570 72.042 125.7085
5.733821 72.126 125.3022
5.775370 72.209 124.8944
5.817221 72.292 124.4853
5.859375 72.374 124.0748
5.901834 72.455 123.6629
5.944602 72.536 123.2496
5.987679 72.617 122.8350
6.031068 72.697 122.4195
6.074771 72.776 122.0035
6.118792 72.855 121.5873
6.163131 72.933 121.1713
6.207792 73.011 120.7556
6.252776 73.088 120.3404
6.298086 73.164 119.9256
6.343725 73.241 119.5114
6.389694 73.316 119.0977
6.435996 73.392 118.6848
6.482634 73.466 118.2730
6.529610 73.541 117.8626
6.576926 73.615 117.4536
6.624585 73.689 117.0461
6.672590 73.763 116.6401
6.720942 73.837 116.2355
6.769645 73.911 115.8320
6.818700 73.984 115.4295
6.868111 74.057 115.0278
6.917881 74.131 114.6268
6.968010 74.204 114.2264
7.018504 74.278 113.8265
7.069362 74.352 113.4268
7.120590 74.426 113.0270
7.172189 74.500 112.6266
7.224161 74.574 112.2250
7.276511 74.648 111.8219
7.329239 74.723 111.4169
7.382350 74.797 111.0098
7.435845 74.872 110.6003
