* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:01:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 400 MIN L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.531 131.6428
0.368865 31.516 131.6581
0.371538 31.494 131.6795
0.374230 31.466 131.7035
0.376942 31.435 131.7270
0.379673 31.402 131.7478
0.382424 31.367 131.7644
0.385196 31.331 131.7757
0.387987 31.294 131.7811
0.390798 31.257 131.7802
0.393630 31.220 131.7727
0.396483 31.182 131.7585
0.399356 31.144 131.7375
0.402250 31.105 131.7093
0.405165 31.067 131.6741
0.408101 31.028 131.6316
0.411058 30.989 131.5816
0.414037 30.949 131.5242
0.417037 30.909 131.4590
0.420059 30.869 131.3860
0.423103 30.829 131.3050
0.426169 30.788 131.2158
0.429257 30.747 131.1183
0.432368 30.706 131.0121
0.435501 30.665 130.8972
0.438656 30.623 130.7733
0.441835 30.581 130.6402
0.445037 30.538 130.4976
0.448262 30.495 130.3451
0.451510 30.452 130.1826
0.454782 30.409 130.0096
0.458077 30.365 129.8259
0.461397 30.321 129.6310
0.464740 30.277 129.4245
0.468108 30.232 129.2060
0.471500 30.187 128.9750
0.474917 30.142 128.7309
0.478358 30.096 128.4731
0.481825 30.051 128.2010
0.485316 30.004 127.9138
0.488833 29.958 127.6107
0.492375 29.911 127.2908
0.495943 29.863 126.9530
0.499537 29.816 126.5963
0.503157 29.768 126.2193
0.506803 29.719 125.8206
0.510475 29.671 125.3983
0.514175 29.622 124.9506
0.517900 29.572 124.4752
0.521653 29.523 123.9694
0.525434 29.473 123.4300
0.529241 29.422 122.8533
0.533076 29.371 122.2348
0.536939 29.320 121.5691
0.540830 29.268 120.8496
0.544749 29.217 120.0679
0.548696 29.164 119.2136
0.552673 29.111 118.2738
0.556677 29.058 117.2311
0.560711 29.005 116.0631
0.564774 28.951 114.7396
0.568867 28.897 113.2187
0.572989 28.842 111.4416
0.577141 28.787 109.3222
0.581324 28.732 106.7308
0.585536 28.676 103.4632
0.589779 28.620 99.1836
0.594053 28.563 93.3131
0.598358 28.506 84.8188
0.602694 28.449 71.9124
0.607061 28.391 52.3292
0.611460 28.332 26.8244
0.615891 28.274 2.8431
0.620354 28.214 -14.2299
0.624849 28.155 -25.3962
0.629377 28.095 -32.9100
0.633938 28.034 -38.2630
0.638532 27.974 -42.2961
0.643159 27.912 -45.4841
0.647819 27.851 -48.1075
0.652514 27.788 -50.3392
0.657242 27.726 -52.2910
0.662005 27.663 -54.0377
0.666802 27.599 -55.6311
0.671634 27.535 -57.1084
0.676501 27.471 -58.4966
0.681403 27.406 -59.8158
0.686341 27.341 -61.0814
0.691314 27.276 -62.3049
0.696324 27.211 -63.4954
0.701370 27.147 -64.6597
0.706452 27.085 -65.8025
0.711571 27.028 -66.9267
0.716728 26.979 -68.0332
0.721921 26.942 -69.1206
0.727153 26.924 -70.1849
0.732422 26.931 -71.2200
0.737729 26.968 -72.2184
0.743075 27.033 -73.1738
0.748460 27.124 -74.0819
0.753883 27.236 -74.9414
0.759346 27.365 -75.7532
0.764849 27.509 -76.5194
0.770391 27.666 -77.2434
0.775974 27.835 -77.9287
0.781597 28.016 -78.5787
0.787261 28.208 -79.1970
0.792966 28.411 -79.7868
0.798712 28.624 -80.3511
0.804500 28.848 -80.8927
0.810329 29.081 -81.4143
0.816201 29.325 -81.9182
0.822116 29.579 -82.4065
0.828073 29.842 -82.8813
0.834074 30.114 -83.3444
0.840118 30.396 -83.7975
0.846206 30.686 -84.2421
0.852338 30.985 -84.6798
0.858514 31.292 -85.1118
0.864735 31.606 -85.5395
0.871001 31.929 -85.9640
0.877313 32.258 -86.3863
0.883670 32.595 -86.8075
0.890074 32.937 -87.2285
0.896524 33.286 -87.6504
0.903020 33.640 -88.0738
0.909564 34.000 -88.4997
0.916155 34.364 -88.9287
0.922794 34.732 -89.3617
0.929481 35.104 -89.7994
0.936216 35.479 -90.2423
0.943000 35.857 -90.6913
0.949834 36.236 -91.1468
0.956717 36.617 -91.6096
0.963649 36.998 -92.0801
0.970632 37.380 -92.5591
0.977666 37.761 -93.0471
0.984750 38.140 -93.5446
0.991886 38.518 -94.0523
0.999074 38.892 -94.5705
1.006314 39.263 -95.0999
1.013606 39.630 -95.6411
1.020951 39.991 -96.1944
1.028349 40.346 -96.7605
1.035801 40.694 -97.3398
1.043307 41.034 -97.9327
1.050867 41.366 -98.5398
1.058482 41.688 -99.1612
1.066152 42.000 -99.7972
1.073878 42.301 -100.4475
1.081660 42.591 -101.1118
1.089498 42.871 -101.7889
1.097393 43.141 -102.4771
1.105345 43.402 -103.1742
1.113355 43.655 -103.8777
1.121423 43.902 -104.5852
1.129549 44.142 -105.2947
1.137734 44.376 -106.0045
1.145979 44.606 -106.7134
1.154283 44.830 -107.4206
1.162647 45.049 -108.1252
1.171072 45.264 -108.8268
1.179558 45.475 -109.5248
1.188106 45.681 -110.2191
1.196715 45.882 -110.9093
1.205387 46.080 -111.5954
1.214122 46.274 -112.2771
1.222920 46.464 -112.9546
1.231782 46.650 -113.6278
1.240708 46.833 -114.2968
1.249699 47.012 -114.9618
1.258754 47.188 -115.6229
1.267876 47.362 -116.2804
1.277063 47.533 -116.9345
1.286318 47.701 -117.5856
1.295639 47.867 -118.2339
1.305027 48.031 -118.8799
1.314484 48.194 -119.5238
1.324009 48.355 -120.1663
1.333604 48.515 -120.8075
1.343268 48.674 -121.4482
1.353002 48.833 -122.0886
1.362806 48.991 -122.7295
1.372681 49.150 -123.3711
1.382628 49.310 -124.0143
1.392647 49.470 -124.6594
1.402739 49.631 -125.3070
1.412904 49.795 -125.9578
1.423142 49.960 -126.6122
1.433455 50.126 -127.2708
1.443843 50.295 -127.9338
1.454305 50.466 -128.6015
1.464844 50.638 -129.2737
1.475459 50.810 -129.9501
1.486150 50.983 -130.6301
1.496920 51.154 -131.3132
1.507767 51.325 -131.9986
1.518693 51.494 -132.6857
1.529698 51.663 -133.3740
1.540783 51.829 -134.0632
1.551948 51.994 -134.7527
1.563194 52.158 -135.4424
1.574521 52.320 -136.1320
1.585931 52.481 -136.8213
1.597423 52.641 -137.5101
1.608999 52.799 -138.1984
1.620658 52.956 -138.8862
1.632402 53.112 -139.5735
1.644232 53.267 -140.2603
1.656146 53.421 -140.9467
1.668147 53.574 -141.6329
1.680235 53.726 -142.3190
1.692411 53.877 -143.0053
1.704675 54.028 -143.6920
1.717028 54.178 -144.3794
1.729470 54.328 -145.0678
1.742003 54.477 -145.7576
1.754626 54.626 -146.4492
1.767341 54.775 -147.1432
1.780147 54.924 -147.8400
1.793047 55.072 -148.5403
1.806040 55.221 -149.2448
1.819128 55.369 -149.9543
1.832310 55.517 -150.6697
1.845587 55.664 -151.3914
1.858961 55.810 -152.1198
1.872432 55.955 -152.8548
1.886001 56.099 -153.5960
1.899667 56.242 -154.3425
1.913433 56.384 -155.0936
1.927299 56.525 -155.8483
1.941265 56.664 -156.6057
1.955332 56.802 -157.3648
1.969501 56.939 -158.1248
1.983773 57.075 -158.8849
1.998148 57.210 -159.6443
2.012627 57.344 -160.4024
2.027212 57.477 -161.1585
2.041902 57.608 -161.9122
2.056698 57.740 -162.6630
2.071602 57.870 -163.4105
2.086614 58.000 -164.1545
2.101734 58.128 -164.8947
2.116964 58.257 -165.6312
2.132304 58.384 -166.3640
2.147756 58.512 -167.0936
2.163320 58.638 -167.8207
2.178996 58.764 -168.5464
2.194786 58.889 -169.2721
2.210690 59.013 -169.9995
2.226710 59.137 -170.7301
2.242845 59.259 -171.4647
2.259098 59.380 -172.2036
2.275468 59.499 -172.9466
2.291957 59.617 -173.6930
2.308566 59.734 -174.4420
2.325295 59.850 -175.1925
2.342145 59.964 -175.9433
2.359117 60.078 -176.6935
2.376212 60.190 -177.4418
2.393431 60.301 -178.1872
2.410775 60.411 -178.9288
2.428244 60.521 -179.6654
2.445840 60.629 179.6038
2.463564 60.737 178.8795
2.481416 60.844 178.1622
2.499397 60.950 177.4525
2.517509 61.055 176.7500
2.535752 61.160 176.0543
2.554127 61.263 175.3643
2.572635 61.366 174.6782
2.591277 61.468 173.9941
2.610055 61.568 173.3108
2.628968 61.667 172.6272
2.648019 61.765 171.9431
2.667208 61.862 171.2590
2.686535 61.957 170.5754
2.706003 62.051 169.8934
2.725612 62.144 169.2141
2.745363 62.236 168.5387
2.765257 62.326 167.8685
2.785295 62.417 167.2047
2.805478 62.506 166.5486
2.825808 62.595 165.9014
2.846285 62.683 165.2642
2.866910 62.771 164.6376
2.887685 62.858 164.0220
2.908611 62.945 163.4175
2.929688 63.031 162.8231
2.950917 63.116 162.2378
2.972301 63.200 161.6602
2.993839 63.284 161.0892
3.015534 63.366 160.5242
3.037386 63.448 159.9650
3.059396 63.528 159.4116
3.081565 63.608 158.8644
3.103896 63.688 158.3242
3.126388 63.767 157.7914
3.149043 63.845 157.2670
3.171862 63.924 156.7517
3.194847 64.003 156.2464
3.217998 64.082 155.7520
3.241317 64.161 155.2691
3.264805 64.241 154.7983
3.288463 64.321 154.3399
3.312293 64.401 153.8939
3.336295 64.481 153.4597
3.360471 64.562 153.0370
3.384822 64.642 152.6249
3.409350 64.723 152.2229
3.434056 64.804 151.8300
3.458940 64.885 151.4458
3.484005 64.967 151.0696
3.509252 65.049 150.7009
3.534681 65.132 150.3393
3.560295 65.217 149.9845
3.586094 65.302 149.6365
3.612081 65.389 149.2953
3.638255 65.478 148.9615
3.664620 65.568 148.6355
3.691175 65.659 148.3181
3.717923 65.752 148.0093
3.744864 65.847 147.7090
3.772001 65.942 147.4163
3.799335 66.039 147.1299
3.826866 66.138 146.8481
3.854597 66.238 146.5692
3.882529 66.339 146.2914
3.910664 66.442 146.0131
3.939002 66.546 145.7329
3.967546 66.652 145.4499
3.996296 66.760 145.1638
4.025255 66.869 144.8747
4.054423 66.980 144.5834
4.083804 67.093 144.2907
4.113396 67.207 143.9968
4.143204 67.324 143.7012
4.173227 67.442 143.4030
4.203468 67.561 143.1007
4.233928 67.681 142.7926
4.264609 67.803 142.4771
4.295512 67.925 142.1525
4.326639 68.048 141.8176
4.357992 68.172 141.4717
4.389572 68.296 141.1146
4.421380 68.421 140.7466
4.453419 68.547 140.3685
4.485691 68.673 139.9810
4.518196 68.800 139.5842
4.550936 68.928 139.1784
4.583914 69.055 138.7631
4.617131 69.183 138.3380
4.650589 69.310 137.9024
4.684289 69.437 137.4558
4.718233 69.563 136.9975
4.752424 69.688 136.5273
4.786862 69.813 136.0450
4.821549 69.937 135.5509
4.856488 70.059 135.0458
4.891680 70.181 134.5305
4.927127 70.302 134.0059
4.962831 70.422 133.4732
4.998794 70.541 132.9330
5.035017 70.658 132.3860
5.071503 70.773 131.8323
5.108253 70.887 131.2719
5.145270 70.999 130.7045
5.182555 71.109 130.1298
5.220110 71.217 129.5480
5.257937 71.323 128.9603
5.296038 71.427 128.3678
5.334415 71.529 127.7722
5.373071 71.630 127.1751
5.412006 71.728 126.5778
5.451224 71.824 125.9810
5.490725 71.918 125.3848
5.530514 72.010 124.7892
5.570590 72.099 124.1937
5.610957 72.186 123.5988
5.651616 72.272 123.0055
5.692570 72.355 122.4151
5.733821 72.436 121.8294
5.775370 72.515 121.2499
5.817221 72.592 120.6777
5.859375 72.667 120.1133
5.901834 72.741 119.5567
5.944602 72.812 119.0077
5.987679 72.882 118.4666
6.031068 72.950 117.9338
6.074771 73.016 117.4103
6.118792 73.081 116.8971
6.163131 73.145 116.3954
6.207792 73.208 115.9057
6.252776 73.270 115.4286
6.298086 73.331 114.9637
6.343725 73.391 114.5111
6.389694 73.451 114.0705
6.435996 73.510 113.6419
6.482634 73.568 113.2253
6.529610 73.627 112.8209
6.576926 73.685 112.4288
6.624585 73.744 112.0492
6.672590 73.803 111.6817
6.720942 73.862 111.3258
