* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:07:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Ambient L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.643 -53.9013
0.368865 32.658 -54.0165
0.371538 32.679 -54.1880
0.374230 32.706 -54.4013
0.376942 32.736 -54.6439
0.379673 32.768 -54.9068
0.382424 32.802 -55.1839
0.385196 32.836 -55.4716
0.387987 32.871 -55.7678
0.390798 32.906 -56.0712
0.393630 32.942 -56.3812
0.396483 32.978 -56.6975
0.399356 33.014 -57.0199
0.402250 33.051 -57.3484
0.405165 33.088 -57.6830
0.408101 33.125 -58.0236
0.411058 33.162 -58.3703
0.414037 33.200 -58.7231
0.417037 33.238 -59.0819
0.420059 33.276 -59.4468
0.423103 33.314 -59.8178
0.426169 33.353 -60.1949
0.429257 33.392 -60.5781
0.432368 33.431 -60.9674
0.435501 33.471 -61.3628
0.438656 33.511 -61.7642
0.441835 33.551 -62.1717
0.445037 33.591 -62.5853
0.448262 33.632 -63.0049
0.451510 33.673 -63.4304
0.454782 33.715 -63.8619
0.458077 33.756 -64.2994
0.461397 33.798 -64.7428
0.464740 33.840 -65.1920
0.468108 33.883 -65.6471
0.471500 33.926 -66.1079
0.474917 33.969 -66.5745
0.478358 34.012 -67.0468
0.481825 34.056 -67.5247
0.485316 34.100 -68.0081
0.488833 34.145 -68.4971
0.492375 34.190 -68.9915
0.495943 34.235 -69.4912
0.499537 34.280 -69.9963
0.503157 34.326 -70.5066
0.506803 34.372 -71.0221
0.510475 34.418 -71.5426
0.514175 34.465 -72.0681
0.517900 34.512 -72.5985
0.521653 34.560 -73.1338
0.525434 34.607 -73.6738
0.529241 34.655 -74.2184
0.533076 34.704 -74.7675
0.536939 34.753 -75.3212
0.540830 34.802 -75.8792
0.544749 34.851 -76.4414
0.548696 34.901 -77.0078
0.552673 34.952 -77.5783
0.556677 35.002 -78.1527
0.560711 35.053 -78.7310
0.564774 35.105 -79.3131
0.568867 35.156 -79.8989
0.572989 35.208 -80.4882
0.577141 35.261 -81.0810
0.581324 35.314 -81.6772
0.585536 35.367 -82.2766
0.589779 35.421 -82.8792
0.594053 35.475 -83.4848
0.598358 35.529 -84.0935
0.602694 35.584 -84.7051
0.607061 35.639 -85.3194
0.611460 35.695 -85.9365
0.615891 35.751 -86.5561
0.620354 35.807 -87.1784
0.624849 35.864 -87.8030
0.629377 35.921 -88.4301
0.633938 35.979 -89.0594
0.638532 36.037 -89.6910
0.643159 36.095 -90.3246
0.647819 36.154 -90.9604
0.652514 36.213 -91.5982
0.657242 36.273 -92.2380
0.662005 36.333 -92.8796
0.666802 36.394 -93.5231
0.671634 36.455 -94.1683
0.676501 36.517 -94.8153
0.681403 36.579 -95.4640
0.686341 36.641 -96.1143
0.691314 36.704 -96.7662
0.696324 36.768 -97.4197
0.701370 36.832 -98.0746
0.706452 36.897 -98.7309
0.711571 36.963 -99.3884
0.716728 37.030 -100.0470
0.721921 37.099 -100.7062
0.727153 37.171 -101.3656
0.732422 37.245 -102.0245
0.737729 37.324 -102.6821
0.743075 37.405 -103.3374
0.748460 37.490 -103.9899
0.753883 37.577 -104.6387
0.759346 37.666 -105.2835
0.764849 37.758 -105.9240
0.770391 37.851 -106.5599
0.775974 37.947 -107.1910
0.781597 38.044 -107.8171
0.787261 38.142 -108.4383
0.792966 38.243 -109.0544
0.798712 38.345 -109.6654
0.804500 38.448 -110.2712
0.810329 38.554 -110.8718
0.816201 38.661 -111.4673
0.822116 38.769 -112.0576
0.828073 38.879 -112.6428
0.834074 38.991 -113.2229
0.840118 39.104 -113.7979
0.846206 39.219 -114.3680
0.852338 39.335 -114.9332
0.858514 39.453 -115.4936
0.864735 39.572 -116.0494
0.871001 39.692 -116.6005
0.877313 39.814 -117.1472
0.883670 39.937 -117.6896
0.890074 40.061 -118.2277
0.896524 40.187 -118.7619
0.903020 40.314 -119.2921
0.909564 40.442 -119.8186
0.916155 40.571 -120.3414
0.922794 40.701 -120.8609
0.929481 40.832 -121.3771
0.936216 40.965 -121.8903
0.943000 41.098 -122.4006
0.949834 41.231 -122.9081
0.956717 41.366 -123.4132
0.963649 41.502 -123.9159
0.970632 41.638 -124.4165
0.977666 41.774 -124.9151
0.984750 41.911 -125.4120
0.991886 42.049 -125.9073
0.999074 42.187 -126.4013
1.006314 42.325 -126.8941
1.013606 42.464 -127.3860
1.020951 42.602 -127.8771
1.028349 42.741 -128.3677
1.035801 42.879 -128.8578
1.043307 43.017 -129.3479
1.050867 43.155 -129.8379
1.058482 43.293 -130.3280
1.066152 43.430 -130.8182
1.073878 43.567 -131.3087
1.081660 43.703 -131.7991
1.089498 43.839 -132.2892
1.097393 43.974 -132.7785
1.105345 44.109 -133.2662
1.113355 44.244 -133.7516
1.121423 44.380 -134.2340
1.129549 44.515 -134.7132
1.137734 44.651 -135.1887
1.145979 44.787 -135.6605
1.154283 44.923 -136.1286
1.162647 45.060 -136.5930
1.171072 45.197 -137.0537
1.179558 45.335 -137.5109
1.188106 45.473 -137.9647
1.196715 45.611 -138.4153
1.205387 45.750 -138.8627
1.214122 45.889 -139.3072
1.222920 46.028 -139.7488
1.231782 46.168 -140.1878
1.240708 46.308 -140.6242
1.249699 46.448 -141.0582
1.258754 46.588 -141.4900
1.267876 46.729 -141.9197
1.277063 46.870 -142.3475
1.286318 47.012 -142.7736
1.295639 47.153 -143.1982
1.305027 47.295 -143.6212
1.314484 47.437 -144.0431
1.324009 47.580 -144.4639
1.333604 47.722 -144.8837
1.343268 47.865 -145.3028
1.353002 48.008 -145.7213
1.362806 48.151 -146.1394
1.372681 48.295 -146.5572
1.382628 48.438 -146.9749
1.392647 48.582 -147.3926
1.402739 48.726 -147.8105
1.412904 48.870 -148.2287
1.423142 49.014 -148.6471
1.433455 49.158 -149.0657
1.443843 49.302 -149.4844
1.454305 49.447 -149.9027
1.464844 49.591 -150.3201
1.475459 49.735 -150.7360
1.486150 49.879 -151.1497
1.496920 50.023 -151.5607
1.507767 50.167 -151.9689
1.518693 50.311 -152.3742
1.529698 50.454 -152.7767
1.540783 50.598 -153.1765
1.551948 50.741 -153.5741
1.563194 50.884 -153.9695
1.574521 51.027 -154.3631
1.585931 51.170 -154.7554
1.597423 51.312 -155.1465
1.608999 51.455 -155.5367
1.620658 51.598 -155.9266
1.632402 51.740 -156.3162
1.644232 51.882 -156.7060
1.656146 52.025 -157.0963
1.668147 52.167 -157.4874
1.680235 52.309 -157.8795
1.692411 52.451 -158.2731
1.704675 52.594 -158.6685
1.717028 52.736 -159.0658
1.729470 52.878 -159.4655
1.742003 53.021 -159.8677
1.754626 53.163 -160.2728
1.767341 53.306 -160.6810
1.780147 53.448 -161.0923
1.793047 53.591 -161.5070
1.806040 53.734 -161.9249
1.819128 53.876 -162.3458
1.832310 54.019 -162.7693
1.845587 54.162 -163.1947
1.858961 54.304 -163.6214
1.872432 54.446 -164.0491
1.886001 54.588 -164.4772
1.899667 54.730 -164.9055
1.913433 54.871 -165.3340
1.927299 55.012 -165.7625
1.941265 55.152 -166.1911
1.955332 55.292 -166.6199
1.969501 55.432 -167.0488
1.983773 55.572 -167.4780
1.998148 55.711 -167.9076
2.012627 55.851 -168.3377
2.027212 55.990 -168.7684
2.041902 56.128 -169.1999
2.056698 56.267 -169.6322
2.071602 56.406 -170.0657
2.086614 56.544 -170.5003
2.101734 56.682 -170.9364
2.116964 56.820 -171.3740
2.132304 56.958 -171.8134
2.147756 57.097 -172.2545
2.163320 57.235 -172.6977
2.178996 57.372 -173.1427
2.194786 57.510 -173.5896
2.210690 57.648 -174.0381
2.226710 57.785 -174.4881
2.242845 57.922 -174.9394
2.259098 58.058 -175.3916
2.275468 58.194 -175.8447
2.291957 58.329 -176.2985
2.308566 58.464 -176.7530
2.325295 58.599 -177.2081
2.342145 58.733 -177.6638
2.359117 58.867 -178.1201
2.376212 59.001 -178.5770
2.393431 59.134 -179.0346
2.410775 59.267 -179.4928
2.428244 59.399 -179.9518
2.445840 59.532 179.5883
2.463564 59.664 179.1275
2.481416 59.795 178.6656
2.499397 59.927 178.2025
2.517509 60.058 177.7382
2.535752 60.190 177.2724
2.554127 60.321 176.8051
2.572635 60.451 176.3362
2.591277 60.581 175.8657
2.610055 60.711 175.3936
2.628968 60.840 174.9201
2.648019 60.969 174.4453
2.667208 61.097 173.9693
2.686535 61.225 173.4923
2.706003 61.352 173.0144
2.725612 61.479 172.5357
2.745363 61.605 172.0563
2.765257 61.731 171.5764
2.785295 61.856 171.0959
2.805478 61.981 170.6150
2.825808 62.106 170.1336
2.846285 62.230 169.6517
2.866910 62.354 169.1692
2.887685 62.478 168.6860
2.908611 62.601 168.2019
2.929688 62.724 167.7168
2.950917 62.847 167.2304
2.972301 62.969 166.7426
2.993839 63.090 166.2534
3.015534 63.211 165.7627
3.037386 63.331 165.2709
3.059396 63.451 164.7780
3.081565 63.570 164.2844
3.103896 63.689 163.7902
3.126388 63.807 163.2957
3.149043 63.924 162.8011
3.171862 64.041 162.3065
3.194847 64.158 161.8122
3.217998 64.274 161.3181
3.241317 64.390 160.8243
3.264805 64.506 160.3307
3.288463 64.621 159.8369
3.312293 64.735 159.3428
3.336295 64.849 158.8481
3.360471 64.962 158.3525
3.384822 65.075 157.8561
3.409350 65.187 157.3591
3.434056 65.298 156.8615
3.458940 65.409 156.3637
3.484005 65.520 155.8660
3.509252 65.629 155.3686
3.534681 65.739 154.8717
3.560295 65.847 154.3757
3.586094 65.956 153.8806
3.612081 66.064 153.3864
3.638255 66.171 152.8929
3.664620 66.278 152.4001
3.691175 66.384 151.9075
3.717923 66.490 151.4149
3.744864 66.595 150.9222
3.772001 66.699 150.4294
3.799335 66.803 149.9366
3.826866 66.907 149.4443
3.854597 67.009 148.9527
3.882529 67.111 148.4620
3.910664 67.213 147.9727
3.939002 67.314 147.4850
3.967546 67.415 146.9989
3.996296 67.515 146.5146
4.025255 67.615 146.0318
4.054423 67.715 145.5503
4.083804 67.814 145.0699
4.113396 67.912 144.5904
4.143204 68.009 144.1118
4.173227 68.107 143.6341
4.203468 68.203 143.1576
4.233928 68.299 142.6826
4.264609 68.395 142.2092
4.295512 68.490 141.7379
4.326639 68.585 141.2685
4.357992 68.680 140.8014
4.389572 68.774 140.3363
4.421380 68.868 139.8732
4.453419 68.961 139.4119
4.485691 69.054 138.9521
4.518196 69.146 138.4940
4.550936 69.238 138.0373
4.583914 69.330 137.5824
4.617131 69.421 137.1293
4.650589 69.512 136.6781
4.684289 69.603 136.2290
4.718233 69.693 135.7821
4.752424 69.784 135.3373
4.786862 69.873 134.8945
4.821549 69.963 134.4537
4.856488 70.053 134.0147
4.891680 70.142 133.5774
4.927127 70.231 133.1417
4.962831 70.319 132.7076
4.998794 70.408 132.2749
5.035017 70.496 131.8438
5.071503 70.584 131.4141
5.108253 70.672 130.9858
5.145270 70.760 130.5590
5.182555 70.848 130.1334
5.220110 70.936 129.7091
5.257937 71.023 129.2859
5.296038 71.110 128.8636
5.334415 71.197 128.4420
5.373071 71.284 128.0212
5.412006 71.371 127.6008
5.451224 71.458 127.1809
5.490725 71.545 126.7612
5.530514 71.631 126.3418
5.570590 71.718 125.9225
5.610957 71.804 125.5034
5.651616 71.890 125.0842
5.692570 71.976 124.6650
5.733821 72.061 124.2455
5.775370 72.147 123.8258
5.817221 72.232 123.4056
5.859375 72.317 122.9848
5.901834 72.402 122.5634
5.944602 72.486 122.1414
5.987679 72.570 121.7187
6.031068 72.654 121.2954
6.074771 72.737 120.8715
6.118792 72.820 120.4471
6.163131 72.903 120.0223
6.207792 72.985 119.5969
6.252776 73.067 119.1709
6.298086 73.149 118.7443
6.343725 73.229 118.3171
6.389694 73.310 117.8896
6.435996 73.390 117.4619
6.482634 73.469 117.0343
