* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:58:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB CB -5 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 28.355 -90.4304
0.368865 28.383 -90.5728
0.371538 28.424 -90.7838
0.374230 28.475 -91.0447
0.376942 28.532 -91.3392
0.379673 28.593 -91.6558
0.382424 28.657 -91.9865
0.385196 28.722 -92.3267
0.387987 28.788 -92.6735
0.390798 28.856 -93.0254
0.393630 28.924 -93.3814
0.396483 28.992 -93.7411
0.399356 29.061 -94.1041
0.402250 29.130 -94.4702
0.405165 29.200 -94.8394
0.408101 29.271 -95.2115
0.411058 29.342 -95.5865
0.414037 29.414 -95.9641
0.417037 29.486 -96.3444
0.420059 29.558 -96.7273
0.423103 29.631 -97.1126
0.426169 29.705 -97.5002
0.429257 29.779 -97.8902
0.432368 29.854 -98.2823
0.435501 29.929 -98.6766
0.438656 30.005 -99.0728
0.441835 30.081 -99.4709
0.445037 30.158 -99.8709
0.448262 30.236 -100.2727
0.451510 30.314 -100.6760
0.454782 30.392 -101.0810
0.458077 30.471 -101.4874
0.461397 30.551 -101.8952
0.464740 30.631 -102.3043
0.468108 30.712 -102.7147
0.471500 30.794 -103.1262
0.474917 30.876 -103.5387
0.478358 30.959 -103.9523
0.481825 31.042 -104.3668
0.485316 31.126 -104.7821
0.488833 31.210 -105.1982
0.492375 31.295 -105.6150
0.495943 31.381 -106.0325
0.499537 31.467 -106.4505
0.503157 31.554 -106.8691
0.506803 31.642 -107.2881
0.510475 31.730 -107.7076
0.514175 31.819 -108.1274
0.517900 31.909 -108.5475
0.521653 31.999 -108.9679
0.525434 32.090 -109.3886
0.529241 32.181 -109.8094
0.533076 32.273 -110.2304
0.536939 32.366 -110.6515
0.540830 32.459 -111.0727
0.544749 32.554 -111.4941
0.548696 32.648 -111.9154
0.552673 32.744 -112.3368
0.556677 32.840 -112.7582
0.560711 32.937 -113.1796
0.564774 33.035 -113.6011
0.568867 33.133 -114.0225
0.572989 33.232 -114.4439
0.577141 33.332 -114.8653
0.581324 33.432 -115.2867
0.585536 33.534 -115.7081
0.589779 33.636 -116.1295
0.594053 33.738 -116.5509
0.598358 33.842 -116.9724
0.602694 33.946 -117.3939
0.607061 34.051 -117.8155
0.611460 34.157 -118.2372
0.615891 34.263 -118.6590
0.620354 34.370 -119.0810
0.624849 34.478 -119.5031
0.629377 34.587 -119.9255
0.633938 34.697 -120.3482
0.638532 34.807 -120.7711
0.643159 34.918 -121.1944
0.647819 35.030 -121.6180
0.652514 35.143 -122.0420
0.657242 35.257 -122.4665
0.662005 35.371 -122.8916
0.666802 35.487 -123.3171
0.671634 35.603 -123.7433
0.676501 35.720 -124.1701
0.681403 35.838 -124.5977
0.686341 35.956 -125.0260
0.691314 36.076 -125.4551
0.696324 36.196 -125.8850
0.701370 36.317 -126.3158
0.706452 36.439 -126.7474
0.711571 36.561 -127.1797
0.716728 36.683 -127.6126
0.721921 36.805 -128.0456
0.727153 36.927 -128.4783
0.732422 37.048 -128.9100
0.737729 37.168 -129.3397
0.743075 37.287 -129.7666
0.748460 37.405 -130.1899
0.753883 37.524 -130.6092
0.759346 37.642 -131.0242
0.764849 37.760 -131.4346
0.770391 37.879 -131.8405
0.775974 37.998 -132.2419
0.781597 38.118 -132.6389
0.787261 38.238 -133.0314
0.792966 38.359 -133.4197
0.798712 38.480 -133.8038
0.804500 38.602 -134.1839
0.810329 38.724 -134.5602
0.816201 38.847 -134.9326
0.822116 38.970 -135.3014
0.828073 39.094 -135.6668
0.834074 39.218 -136.0288
0.840118 39.342 -136.3876
0.846206 39.467 -136.7435
0.852338 39.593 -137.0964
0.858514 39.719 -137.4467
0.864735 39.845 -137.7944
0.871001 39.972 -138.1397
0.877313 40.099 -138.4828
0.883670 40.227 -138.8239
0.890074 40.355 -139.1631
0.896524 40.483 -139.5005
0.903020 40.612 -139.8364
0.909564 40.741 -140.1710
0.916155 40.871 -140.5043
0.922794 41.001 -140.8365
0.929481 41.132 -141.1679
0.936216 41.262 -141.4986
0.943000 41.394 -141.8288
0.949834 41.525 -142.1585
0.956717 41.657 -142.4881
0.963649 41.789 -142.8176
0.970632 41.922 -143.1473
0.977666 42.055 -143.4773
0.984750 42.188 -143.8078
0.991886 42.321 -144.1389
0.999074 42.455 -144.4708
1.006314 42.589 -144.8036
1.013606 42.723 -145.1376
1.020951 42.858 -145.4730
1.028349 42.992 -145.8097
1.035801 43.127 -146.1481
1.043307 43.263 -146.4883
1.050867 43.398 -146.8303
1.058482 43.534 -147.1742
1.066152 43.669 -147.5202
1.073878 43.805 -147.8682
1.081660 43.941 -148.2180
1.089498 44.077 -148.5693
1.097393 44.213 -148.9215
1.105345 44.349 -149.2740
1.113355 44.486 -149.6262
1.121423 44.622 -149.9774
1.129549 44.758 -150.3272
1.137734 44.894 -150.6754
1.145979 45.030 -151.0219
1.154283 45.165 -151.3667
1.162647 45.301 -151.7097
1.171072 45.437 -152.0510
1.179558 45.572 -152.3907
1.188106 45.708 -152.7290
1.196715 45.844 -153.0658
1.205387 45.979 -153.4013
1.214122 46.114 -153.7356
1.222920 46.250 -154.0689
1.231782 46.385 -154.4012
1.240708 46.520 -154.7326
1.249699 46.656 -155.0633
1.258754 46.791 -155.3933
1.267876 46.926 -155.7229
1.277063 47.062 -156.0521
1.286318 47.197 -156.3810
1.295639 47.332 -156.7098
1.305027 47.468 -157.0386
1.314484 47.603 -157.3675
1.324009 47.739 -157.6966
1.333604 47.875 -158.0261
1.343268 48.011 -158.3561
1.353002 48.147 -158.6867
1.362806 48.283 -159.0180
1.372681 48.419 -159.3502
1.382628 48.556 -159.6834
1.392647 48.692 -160.0177
1.402739 48.829 -160.3532
1.412904 48.967 -160.6900
1.423142 49.104 -161.0281
1.433455 49.242 -161.3673
1.443843 49.380 -161.7077
1.454305 49.518 -162.0488
1.464844 49.656 -162.3902
1.475459 49.795 -162.7313
1.486150 49.933 -163.0717
1.496920 50.071 -163.4109
1.507767 50.209 -163.7488
1.518693 50.347 -164.0852
1.529698 50.484 -164.4202
1.540783 50.621 -164.7540
1.551948 50.758 -165.0867
1.563194 50.895 -165.4186
1.574521 51.032 -165.7499
1.585931 51.168 -166.0807
1.597423 51.304 -166.4115
1.608999 51.440 -166.7423
1.620658 51.576 -167.0735
1.632402 51.712 -167.4053
1.644232 51.848 -167.7380
1.656146 51.983 -168.0717
1.668147 52.118 -168.4068
1.680235 52.254 -168.7434
1.692411 52.389 -169.0818
1.704675 52.524 -169.4223
1.717028 52.659 -169.7651
1.729470 52.794 -170.1105
1.742003 52.929 -170.4585
1.754626 53.065 -170.8096
1.767341 53.200 -171.1637
1.780147 53.335 -171.5212
1.793047 53.471 -171.8820
1.806040 53.606 -172.2462
1.819128 53.742 -172.6135
1.832310 53.877 -172.9837
1.845587 54.012 -173.3564
1.858961 54.147 -173.7311
1.872432 54.282 -174.1075
1.886001 54.417 -174.4851
1.899667 54.551 -174.8638
1.913433 54.684 -175.2435
1.927299 54.818 -175.6240
1.941265 54.951 -176.0053
1.955332 55.083 -176.3873
1.969501 55.216 -176.7701
1.983773 55.348 -177.1536
1.998148 55.479 -177.5379
2.012627 55.611 -177.9230
2.027212 55.742 -178.3088
2.041902 55.873 -178.6956
2.056698 56.004 -179.0833
2.071602 56.135 -179.4720
2.086614 56.265 -179.8618
2.101734 56.395 179.7473
2.116964 56.526 179.3550
2.132304 56.656 178.9614
2.147756 56.786 178.5663
2.163320 56.916 178.1697
2.178996 57.046 177.7715
2.194786 57.175 177.3716
2.210690 57.305 176.9701
2.226710 57.434 176.5670
2.242845 57.563 176.1625
2.259098 57.691 175.7567
2.275468 57.819 175.3497
2.291957 57.946 174.9417
2.308566 58.073 174.5327
2.325295 58.199 174.1229
2.342145 58.325 173.7123
2.359117 58.451 173.3012
2.376212 58.576 172.8895
2.393431 58.701 172.4773
2.410775 58.826 172.0646
2.428244 58.950 171.6516
2.445840 59.074 171.2381
2.463564 59.198 170.8243
2.481416 59.321 170.4101
2.499397 59.445 169.9954
2.517509 59.568 169.5803
2.535752 59.691 169.1646
2.554127 59.814 168.7481
2.572635 59.937 168.3307
2.591277 60.059 167.9125
2.610055 60.181 167.4931
2.628968 60.302 167.0728
2.648019 60.423 166.6515
2.667208 60.543 166.2293
2.686535 60.663 165.8064
2.706003 60.782 165.3829
2.725612 60.901 164.9589
2.745363 61.019 164.5347
2.765257 61.138 164.1102
2.785295 61.255 163.6857
2.805478 61.373 163.2613
2.825808 61.490 162.8369
2.846285 61.607 162.4128
2.866910 61.724 161.9888
2.887685 61.841 161.5650
2.908611 61.958 161.1413
2.929688 62.074 160.7175
2.950917 62.190 160.2936
2.972301 62.305 159.8693
2.993839 62.420 159.4445
3.015534 62.535 159.0193
3.037386 62.649 158.5937
3.059396 62.763 158.1677
3.081565 62.877 157.7415
3.103896 62.990 157.3152
3.126388 63.102 156.8889
3.149043 63.215 156.4628
3.171862 63.327 156.0369
3.194847 63.439 155.6113
3.217998 63.551 155.1861
3.241317 63.663 154.7614
3.264805 63.774 154.3372
3.288463 63.886 153.9134
3.312293 63.997 153.4899
3.336295 64.108 153.0667
3.360471 64.218 152.6436
3.384822 64.329 152.2206
3.409350 64.439 151.7975
3.434056 64.548 151.3744
3.458940 64.658 150.9512
3.484005 64.767 150.5280
3.509252 64.876 150.1046
3.534681 64.985 149.6811
3.560295 65.094 149.2574
3.586094 65.202 148.8336
3.612081 65.311 148.4095
3.638255 65.419 147.9854
3.664620 65.528 147.5610
3.691175 65.636 147.1364
3.717923 65.744 146.7116
3.744864 65.852 146.2866
3.772001 65.959 145.8611
3.799335 66.067 145.4353
3.826866 66.174 145.0089
3.854597 66.281 144.5818
3.882529 66.388 144.1539
3.910664 66.495 143.7252
3.939002 66.602 143.2953
3.967546 66.709 142.8645
3.996296 66.815 142.4324
4.025255 66.922 141.9992
4.054423 67.029 141.5649
4.083804 67.135 141.1295
4.113396 67.241 140.6929
4.143204 67.347 140.2551
4.173227 67.453 139.8160
4.203468 67.559 139.3755
4.233928 67.664 138.9334
4.264609 67.770 138.4896
4.295512 67.875 138.0438
4.326639 67.980 137.5959
4.357992 68.085 137.1458
4.389572 68.189 136.6933
4.421380 68.294 136.2385
4.453419 68.398 135.7814
4.485691 68.502 135.3221
4.518196 68.606 134.8604
4.550936 68.709 134.3965
4.583914 68.813 133.9303
4.617131 68.915 133.4617
4.650589 69.018 132.9907
4.684289 69.120 132.5172
4.718233 69.222 132.0410
4.752424 69.323 131.5620
4.786862 69.424 131.0801
4.821549 69.525 130.5953
4.856488 69.625 130.1076
4.891680 69.725 129.6171
4.927127 69.824 129.1240
4.962831 69.922 128.6284
4.998794 70.021 128.1304
5.035017 70.118 127.6302
5.071503 70.215 127.1276
5.108253 70.311 126.6227
5.145270 70.407 126.1153
5.182555 70.502 125.6053
5.220110 70.597 125.0926
5.257937 70.690 124.5775
5.296038 70.783 124.0602
5.334415 70.875 123.5410
5.373071 70.967 123.0204
5.412006 71.057 122.4985
5.451224 71.147 121.9755
5.490725 71.236 121.4512
5.530514 71.325 120.9257
5.570590 71.412 120.3988
5.610957 71.499 119.8706
5.651616 71.584 119.3414
5.692570 71.669 118.8116
5.733821 71.753 118.2816
5.775370 71.836 117.7520
5.817221 71.919 117.2228
5.859375 72.000 116.6943
5.901834 72.080 116.1662
5.944602 72.160 115.6387
5.987679 72.239 115.1117
6.031068 72.317 114.5855
6.074771 72.394 114.0605
6.118792 72.470 113.5373
6.163131 72.545 113.0160
6.207792 72.620 112.4971
6.252776 72.694 111.9804
6.298086 72.767 111.4660
6.343725 72.839 110.9538
6.389694 72.911 110.4439
6.435996 72.982 109.9366
6.482634 73.052 109.4322
6.529610 73.122 108.9308
6.576926 73.192 108.4327
