* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:54:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Bright L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.433 -114.1411
0.368865 39.453 -114.1832
0.371538 39.482 -114.2457
0.374230 39.517 -114.3231
0.376942 39.558 -114.4108
0.379673 39.601 -114.5051
0.382424 39.646 -114.6040
0.385196 39.693 -114.7060
0.387987 39.740 -114.8103
0.390798 39.787 -114.9165
0.393630 39.835 -115.0243
0.396483 39.884 -115.1335
0.399356 39.933 -115.2441
0.402250 39.982 -115.3561
0.405165 40.031 -115.4693
0.408101 40.081 -115.5839
0.411058 40.132 -115.6998
0.414037 40.182 -115.8169
0.417037 40.233 -115.9353
0.420059 40.285 -116.0549
0.423103 40.337 -116.1758
0.426169 40.389 -116.2979
0.429257 40.441 -116.4212
0.432368 40.494 -116.5456
0.435501 40.548 -116.6713
0.438656 40.601 -116.7981
0.441835 40.655 -116.9261
0.445037 40.710 -117.0553
0.448262 40.765 -117.1855
0.451510 40.820 -117.3169
0.454782 40.876 -117.4494
0.458077 40.932 -117.5829
0.461397 40.988 -117.7176
0.464740 41.045 -117.8533
0.468108 41.102 -117.9901
0.471500 41.160 -118.1279
0.474917 41.218 -118.2667
0.478358 41.277 -118.4066
0.481825 41.336 -118.5475
0.485316 41.395 -118.6894
0.488833 41.455 -118.8323
0.492375 41.515 -118.9762
0.495943 41.576 -119.1210
0.499537 41.637 -119.2669
0.503157 41.699 -119.4137
0.506803 41.761 -119.5614
0.510475 41.823 -119.7102
0.514175 41.886 -119.8598
0.517900 41.950 -120.0105
0.521653 42.014 -120.1621
0.525434 42.078 -120.3146
0.529241 42.143 -120.4681
0.533076 42.208 -120.6226
0.536939 42.274 -120.7780
0.540830 42.340 -120.9343
0.544749 42.407 -121.0917
0.548696 42.474 -121.2500
0.552673 42.541 -121.4093
0.556677 42.610 -121.5695
0.560711 42.678 -121.7308
0.564774 42.747 -121.8931
0.568867 42.817 -122.0564
0.572989 42.887 -122.2207
0.577141 42.958 -122.3861
0.581324 43.029 -122.5525
0.585536 43.101 -122.7200
0.589779 43.173 -122.8887
0.594053 43.246 -123.0585
0.598358 43.319 -123.2294
0.602694 43.393 -123.4015
0.607061 43.467 -123.5748
0.611460 43.542 -123.7494
0.615891 43.617 -123.9252
0.620354 43.693 -124.1023
0.624849 43.770 -124.2807
0.629377 43.847 -124.4606
0.633938 43.925 -124.6418
0.638532 44.003 -124.8245
0.643159 44.082 -125.0087
0.647819 44.161 -125.1944
0.652514 44.241 -125.3817
0.657242 44.321 -125.5706
0.662005 44.402 -125.7613
0.666802 44.484 -125.9537
0.671634 44.566 -126.1479
0.676501 44.649 -126.3440
0.681403 44.733 -126.5420
0.686341 44.817 -126.7420
0.691314 44.901 -126.9441
0.696324 44.986 -127.1484
0.701370 45.072 -127.3548
0.706452 45.157 -127.5635
0.711571 45.243 -127.7745
0.716728 45.329 -127.9880
0.721921 45.413 -128.2038
0.727153 45.497 -128.4220
0.732422 45.578 -128.6425
0.737729 45.656 -128.8652
0.743075 45.733 -129.0900
0.748460 45.808 -129.3167
0.753883 45.881 -129.5452
0.759346 45.953 -129.7754
0.764849 46.025 -130.0073
0.770391 46.096 -130.2408
0.775974 46.167 -130.4757
0.781597 46.237 -130.7121
0.787261 46.308 -130.9499
0.792966 46.377 -131.1891
0.798712 46.447 -131.4295
0.804500 46.516 -131.6711
0.810329 46.586 -131.9140
0.816201 46.654 -132.1580
0.822116 46.723 -132.4032
0.828073 46.791 -132.6494
0.834074 46.860 -132.8966
0.840118 46.928 -133.1449
0.846206 46.995 -133.3941
0.852338 47.063 -133.6442
0.858514 47.130 -133.8952
0.864735 47.198 -134.1472
0.871001 47.265 -134.3999
0.877313 47.332 -134.6535
0.883670 47.398 -134.9079
0.890074 47.465 -135.1631
0.896524 47.532 -135.4191
0.903020 47.598 -135.6758
0.909564 47.664 -135.9332
0.916155 47.731 -136.1914
0.922794 47.797 -136.4503
0.929481 47.863 -136.7100
0.936216 47.929 -136.9704
0.943000 47.996 -137.2314
0.949834 48.062 -137.4933
0.956717 48.128 -137.7558
0.963649 48.195 -138.0191
0.970632 48.261 -138.2832
0.977666 48.328 -138.5480
0.984750 48.395 -138.8136
0.991886 48.462 -139.0801
0.999074 48.529 -139.3474
1.006314 48.596 -139.6155
1.013606 48.664 -139.8846
1.020951 48.732 -140.1546
1.028349 48.801 -140.4256
1.035801 48.870 -140.6976
1.043307 48.939 -140.9706
1.050867 49.009 -141.2449
1.058482 49.079 -141.5202
1.066152 49.150 -141.7969
1.073878 49.221 -142.0750
1.081660 49.293 -142.3546
1.089498 49.365 -142.6358
1.097393 49.438 -142.9189
1.105345 49.511 -143.2040
1.113355 49.584 -143.4913
1.121423 49.657 -143.7810
1.129549 49.731 -144.0731
1.137734 49.804 -144.3677
1.145979 49.877 -144.6646
1.154283 49.950 -144.9639
1.162647 50.024 -145.2656
1.171072 50.097 -145.5694
1.179558 50.170 -145.8754
1.188106 50.242 -146.1834
1.196715 50.315 -146.4933
1.205387 50.388 -146.8051
1.214122 50.461 -147.1186
1.222920 50.534 -147.4337
1.231782 50.607 -147.7502
1.240708 50.680 -148.0682
1.249699 50.753 -148.3874
1.258754 50.826 -148.7077
1.267876 50.899 -149.0290
1.277063 50.972 -149.3512
1.286318 51.046 -149.6741
1.295639 51.119 -149.9976
1.305027 51.193 -150.3215
1.314484 51.267 -150.6457
1.324009 51.341 -150.9700
1.333604 51.415 -151.2943
1.343268 51.490 -151.6184
1.353002 51.565 -151.9421
1.362806 51.640 -152.2653
1.372681 51.715 -152.5879
1.382628 51.791 -152.9096
1.392647 51.868 -153.2302
1.402739 51.944 -153.5497
1.412904 52.021 -153.8677
1.423142 52.099 -154.1843
1.433455 52.177 -154.4991
1.443843 52.256 -154.8122
1.454305 52.335 -155.1235
1.464844 52.414 -155.4328
1.475459 52.494 -155.7404
1.486150 52.574 -156.0463
1.496920 52.654 -156.3507
1.507767 52.734 -156.6536
1.518693 52.815 -156.9553
1.529698 52.896 -157.2558
1.540783 52.976 -157.5555
1.551948 53.057 -157.8543
1.563194 53.139 -158.1525
1.574521 53.220 -158.4501
1.585931 53.302 -158.7474
1.597423 53.383 -159.0444
1.608999 53.465 -159.3414
1.620658 53.548 -159.6384
1.632402 53.630 -159.9356
1.644232 53.713 -160.2330
1.656146 53.797 -160.5309
1.668147 53.880 -160.8294
1.680235 53.964 -161.1285
1.692411 54.049 -161.4284
1.704675 54.133 -161.7292
1.717028 54.219 -162.0311
1.729470 54.304 -162.3340
1.742003 54.391 -162.6382
1.754626 54.478 -162.9437
1.767341 54.565 -163.2505
1.780147 54.653 -163.5587
1.793047 54.742 -163.8681
1.806040 54.831 -164.1788
1.819128 54.921 -164.4903
1.832310 55.011 -164.8025
1.845587 55.102 -165.1148
1.858961 55.194 -165.4270
1.872432 55.286 -165.7387
1.886001 55.378 -166.0499
1.899667 55.471 -166.3607
1.913433 55.564 -166.6710
1.927299 55.658 -166.9810
1.941265 55.752 -167.2909
1.955332 55.847 -167.6009
1.969501 55.942 -167.9113
1.983773 56.038 -168.2222
1.998148 56.134 -168.5338
2.012627 56.231 -168.8463
2.027212 56.329 -169.1600
2.041902 56.426 -169.4751
2.056698 56.525 -169.7917
2.071602 56.624 -170.1101
2.086614 56.724 -170.4304
2.101734 56.824 -170.7528
2.116964 56.925 -171.0773
2.132304 57.027 -171.4041
2.147756 57.129 -171.7332
2.163320 57.232 -172.0643
2.178996 57.336 -172.3971
2.194786 57.441 -172.7311
2.210690 57.546 -173.0659
2.226710 57.652 -173.4006
2.242845 57.759 -173.7350
2.259098 57.866 -174.0690
2.275468 57.974 -174.4024
2.291957 58.083 -174.7357
2.308566 58.192 -175.0691
2.325295 58.303 -175.4030
2.342145 58.413 -175.7379
2.359117 58.525 -176.0742
2.376212 58.637 -176.4125
2.393431 58.750 -176.7531
2.410775 58.863 -177.0966
2.428244 58.977 -177.4434
2.445840 59.091 -177.7939
2.463564 59.207 -178.1486
2.481416 59.322 -178.5077
2.499397 59.438 -178.8715
2.517509 59.555 -179.2400
2.535752 59.673 -179.6130
2.554127 59.791 -179.9902
2.572635 59.909 179.6293
2.591277 60.028 179.2461
2.610055 60.148 178.8609
2.628968 60.269 178.4741
2.648019 60.390 178.0857
2.667208 60.512 177.6957
2.686535 60.634 177.3037
2.706003 60.757 176.9094
2.725612 60.881 176.5121
2.745363 61.004 176.1115
2.765257 61.129 175.7069
2.785295 61.254 175.2979
2.805478 61.379 174.8839
2.825808 61.504 174.4644
2.846285 61.630 174.0389
2.866910 61.756 173.6072
2.887685 61.882 173.1691
2.908611 62.009 172.7246
2.929688 62.136 172.2741
2.950917 62.263 171.8182
2.972301 62.390 171.3574
2.993839 62.517 170.8923
3.015534 62.645 170.4232
3.037386 62.773 169.9503
3.059396 62.901 169.4737
3.081565 63.030 168.9932
3.103896 63.159 168.5087
3.126388 63.287 168.0201
3.149043 63.416 167.5270
3.171862 63.545 167.0292
3.194847 63.673 166.5265
3.217998 63.802 166.0185
3.241317 63.930 165.5049
3.264805 64.058 164.9857
3.288463 64.186 164.4607
3.312293 64.313 163.9301
3.336295 64.441 163.3940
3.360471 64.568 162.8527
3.384822 64.695 162.3067
3.409350 64.822 161.7562
3.434056 64.948 161.2017
3.458940 65.074 160.6433
3.484005 65.200 160.0813
3.509252 65.325 159.5159
3.534681 65.450 158.9471
3.560295 65.574 158.3750
3.586094 65.698 157.7994
3.612081 65.822 157.2201
3.638255 65.944 156.6369
3.664620 66.066 156.0493
3.691175 66.187 155.4572
3.717923 66.308 154.8603
3.744864 66.428 154.2589
3.772001 66.547 153.6534
3.799335 66.666 153.0444
3.826866 66.784 152.4326
3.854597 66.901 151.8187
3.882529 67.017 151.2033
3.910664 67.132 150.5870
3.939002 67.247 149.9701
3.967546 67.360 149.3528
3.996296 67.473 148.7350
4.025255 67.585 148.1162
4.054423 67.696 147.4960
4.083804 67.806 146.8738
4.113396 67.915 146.2496
4.143204 68.023 145.6236
4.173227 68.130 144.9965
4.203468 68.235 144.3691
4.233928 68.340 143.7422
4.264609 68.444 143.1167
4.295512 68.547 142.4933
4.326639 68.649 141.8726
4.357992 68.750 141.2546
4.389572 68.850 140.6391
4.421380 68.949 140.0256
4.453419 69.047 139.4136
4.485691 69.143 138.8029
4.518196 69.239 138.1937
4.550936 69.333 137.5864
4.583914 69.427 136.9818
4.617131 69.520 136.3807
4.650589 69.611 135.7841
4.684289 69.702 135.1926
4.718233 69.792 134.6065
4.752424 69.882 134.0261
4.786862 69.970 133.4508
4.821549 70.057 132.8805
4.856488 70.144 132.3147
4.891680 70.230 131.7535
4.927127 70.315 131.1971
4.962831 70.399 130.6458
4.998794 70.482 130.1002
5.035017 70.565 129.5608
5.071503 70.648 129.0280
5.108253 70.730 128.5021
5.145270 70.811 127.9829
5.182555 70.893 127.4704
5.220110 70.973 126.9641
5.257937 71.053 126.4639
5.296038 71.133 125.9696
5.334415 71.213 125.4811
5.373071 71.292 124.9984
5.412006 71.371 124.5217
5.451224 71.450 124.0508
5.490725 71.529 123.5859
5.530514 71.608 123.1268
5.570590 71.687 122.6734
5.610957 71.766 122.2255
5.651616 71.844 121.7826
5.692570 71.923 121.3443
5.733821 72.002 120.9103
5.775370 72.081 120.4802
5.817221 72.160 120.0537
5.859375 72.239 119.6307
5.901834 72.318 119.2110
5.944602 72.397 118.7945
5.987679 72.476 118.3810
6.031068 72.556 117.9702
6.074771 72.635 117.5616
6.118792 72.715 117.1548
6.163131 72.794 116.7496
6.207792 72.873 116.3455
6.252776 72.952 115.9423
6.298086 73.031 115.5401
6.343725 73.110 115.1387
6.389694 73.189 114.7382
6.435996 73.268 114.3383
