* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Speech L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.042 -27.9706
0.368865 35.048 -28.0472
0.371538 35.057 -28.1614
0.374230 35.069 -28.3034
0.376942 35.083 -28.4651
0.379673 35.097 -28.6403
0.382424 35.112 -28.8252
0.385196 35.127 -29.0173
0.387987 35.142 -29.2152
0.390798 35.158 -29.4181
0.393630 35.174 -29.6256
0.396483 35.190 -29.8375
0.399356 35.206 -30.0538
0.402250 35.222 -30.2745
0.405165 35.238 -30.4995
0.408101 35.255 -30.7289
0.411058 35.271 -30.9627
0.414037 35.288 -31.2010
0.417037 35.305 -31.4439
0.420059 35.322 -31.6913
0.423103 35.339 -31.9434
0.426169 35.356 -32.2001
0.429257 35.373 -32.4615
0.432368 35.391 -32.7277
0.435501 35.408 -32.9987
0.438656 35.426 -33.2745
0.441835 35.444 -33.5553
0.445037 35.462 -33.8410
0.448262 35.480 -34.1317
0.451510 35.498 -34.4275
0.454782 35.517 -34.7283
0.458077 35.535 -35.0343
0.461397 35.554 -35.3455
0.464740 35.572 -35.6620
0.468108 35.591 -35.9837
0.471500 35.610 -36.3108
0.474917 35.629 -36.6432
0.478358 35.649 -36.9811
0.481825 35.668 -37.3245
0.485316 35.688 -37.6734
0.488833 35.707 -38.0278
0.492375 35.727 -38.3880
0.495943 35.747 -38.7538
0.499537 35.767 -39.1253
0.503157 35.788 -39.5027
0.506803 35.808 -39.8859
0.510475 35.829 -40.2750
0.514175 35.849 -40.6701
0.517900 35.870 -41.0711
0.521653 35.891 -41.4783
0.525434 35.913 -41.8915
0.529241 35.934 -42.3110
0.533076 35.955 -42.7366
0.536939 35.977 -43.1686
0.540830 35.999 -43.6070
0.544749 36.021 -44.0517
0.548696 36.043 -44.5030
0.552673 36.065 -44.9608
0.556677 36.088 -45.4252
0.560711 36.110 -45.8963
0.564774 36.133 -46.3742
0.568867 36.156 -46.8589
0.572989 36.179 -47.3505
0.577141 36.202 -47.8491
0.581324 36.226 -48.3547
0.585536 36.250 -48.8674
0.589779 36.273 -49.3873
0.594053 36.297 -49.9146
0.598358 36.321 -50.4492
0.602694 36.346 -50.9912
0.607061 36.370 -51.5408
0.611460 36.395 -52.0980
0.615891 36.420 -52.6629
0.620354 36.445 -53.2356
0.624849 36.470 -53.8162
0.629377 36.495 -54.4048
0.633938 36.521 -55.0015
0.638532 36.547 -55.6063
0.643159 36.573 -56.2195
0.647819 36.599 -56.8410
0.652514 36.625 -57.4711
0.657242 36.652 -58.1097
0.662005 36.678 -58.7570
0.666802 36.705 -59.4132
0.671634 36.732 -60.0783
0.676501 36.760 -60.7523
0.681403 36.787 -61.4356
0.686341 36.815 -62.1280
0.691314 36.843 -62.8298
0.696324 36.871 -63.5410
0.701370 36.900 -64.2617
0.706452 36.930 -64.9919
0.711571 36.960 -65.7317
0.716728 36.993 -66.4808
0.721921 37.028 -67.2391
0.727153 37.066 -68.0062
0.732422 37.109 -68.7812
0.737729 37.157 -69.5634
0.743075 37.210 -70.3516
0.748460 37.268 -71.1450
0.753883 37.329 -71.9426
0.759346 37.393 -72.7437
0.764849 37.460 -73.5476
0.770391 37.529 -74.3537
0.775974 37.600 -75.1616
0.781597 37.673 -75.9707
0.787261 37.748 -76.7806
0.792966 37.826 -77.5909
0.798712 37.905 -78.4012
0.804500 37.986 -79.2111
0.810329 38.068 -80.0203
0.816201 38.153 -80.8284
0.822116 38.240 -81.6353
0.828073 38.328 -82.4405
0.834074 38.419 -83.2440
0.840118 38.511 -84.0454
0.846206 38.605 -84.8446
0.852338 38.701 -85.6414
0.858514 38.798 -86.4357
0.864735 38.897 -87.2273
0.871001 38.998 -88.0162
0.877313 39.101 -88.8024
0.883670 39.205 -89.5857
0.890074 39.311 -90.3663
0.896524 39.419 -91.1440
0.903020 39.528 -91.9189
0.909564 39.638 -92.6911
0.916155 39.750 -93.4607
0.922794 39.864 -94.2277
0.929481 39.979 -94.9922
0.936216 40.095 -95.7545
0.943000 40.212 -96.5146
0.949834 40.331 -97.2727
0.956717 40.451 -98.0290
0.963649 40.571 -98.7836
0.970632 40.693 -99.5368
0.977666 40.816 -100.2889
0.984750 40.940 -101.0399
0.991886 41.065 -101.7903
0.999074 41.190 -102.5401
1.006314 41.316 -103.2898
1.013606 41.443 -104.0395
1.020951 41.570 -104.7895
1.028349 41.698 -105.5401
1.035801 41.826 -106.2916
1.043307 41.954 -107.0442
1.050867 42.082 -107.7982
1.058482 42.211 -108.5537
1.066152 42.339 -109.3110
1.073878 42.468 -110.0699
1.081660 42.596 -110.8303
1.089498 42.725 -111.5916
1.097393 42.854 -112.3531
1.105345 42.984 -113.1137
1.113355 43.114 -113.8722
1.121423 43.246 -114.6274
1.129549 43.379 -115.3785
1.137734 43.513 -116.1248
1.145979 43.648 -116.8659
1.154283 43.786 -117.6014
1.162647 43.924 -118.3312
1.171072 44.064 -119.0551
1.179558 44.205 -119.7732
1.188106 44.348 -120.4853
1.196715 44.491 -121.1916
1.205387 44.636 -121.8921
1.214122 44.783 -122.5868
1.222920 44.930 -123.2760
1.231782 45.079 -123.9597
1.240708 45.228 -124.6381
1.249699 45.379 -125.3114
1.258754 45.531 -125.9798
1.267876 45.683 -126.6434
1.277063 45.837 -127.3026
1.286318 45.991 -127.9576
1.295639 46.146 -128.6086
1.305027 46.301 -129.2558
1.314484 46.457 -129.8997
1.324009 46.614 -130.5404
1.333604 46.771 -131.1783
1.343268 46.928 -131.8137
1.353002 47.086 -132.4469
1.362806 47.244 -133.0782
1.372681 47.401 -133.7080
1.382628 47.559 -134.3365
1.392647 47.717 -134.9641
1.402739 47.875 -135.5911
1.412904 48.032 -136.2177
1.423142 48.189 -136.8441
1.433455 48.345 -137.4704
1.443843 48.501 -138.0965
1.454305 48.657 -138.7220
1.464844 48.812 -139.3463
1.475459 48.966 -139.9686
1.486150 49.121 -140.5881
1.496920 49.275 -141.2042
1.507767 49.429 -141.8164
1.518693 49.583 -142.4246
1.529698 49.737 -143.0286
1.540783 49.891 -143.6286
1.551948 50.045 -144.2247
1.563194 50.199 -144.8173
1.574521 50.353 -145.4066
1.585931 50.507 -145.9929
1.597423 50.661 -146.5765
1.608999 50.814 -147.1578
1.620658 50.968 -147.7371
1.632402 51.121 -148.3148
1.644232 51.275 -148.8912
1.656146 51.428 -149.4668
1.668147 51.582 -150.0420
1.680235 51.735 -150.6171
1.692411 51.888 -151.1925
1.704675 52.041 -151.7687
1.717028 52.194 -152.3461
1.729470 52.347 -152.9250
1.742003 52.500 -153.5059
1.754626 52.652 -154.0892
1.767341 52.805 -154.6752
1.780147 52.958 -155.2643
1.793047 53.110 -155.8566
1.806040 53.262 -156.4524
1.819128 53.414 -157.0515
1.832310 53.566 -157.6537
1.845587 53.717 -158.2584
1.858961 53.868 -158.8651
1.872432 54.019 -159.4732
1.886001 54.169 -160.0822
1.899667 54.318 -160.6915
1.913433 54.467 -161.3010
1.927299 54.615 -161.9103
1.941265 54.763 -162.5191
1.955332 54.911 -163.1275
1.969501 55.058 -163.7351
1.983773 55.204 -164.3420
1.998148 55.350 -164.9481
2.012627 55.496 -165.5535
2.027212 55.641 -166.1581
2.041902 55.786 -166.7620
2.056698 55.931 -167.3653
2.071602 56.075 -167.9681
2.086614 56.219 -168.5706
2.101734 56.363 -169.1730
2.116964 56.506 -169.7754
2.132304 56.649 -170.3781
2.147756 56.792 -170.9814
2.163320 56.935 -171.5856
2.178996 57.077 -172.1909
2.194786 57.219 -172.7976
2.210690 57.361 -173.4059
2.226710 57.502 -174.0159
2.242845 57.643 -174.6274
2.259098 57.782 -175.2404
2.275468 57.922 -175.8544
2.291957 58.060 -176.4694
2.308566 58.198 -177.0848
2.325295 58.335 -177.7005
2.342145 58.471 -178.3162
2.359117 58.607 -178.9315
2.376212 58.742 -179.5464
2.393431 58.877 179.8393
2.410775 59.011 179.2259
2.428244 59.145 178.6134
2.445840 59.278 178.0019
2.463564 59.411 177.3914
2.481416 59.544 176.7818
2.499397 59.676 176.1730
2.517509 59.807 175.5648
2.535752 59.939 174.9570
2.554127 60.070 174.3490
2.572635 60.200 173.7404
2.591277 60.330 173.1308
2.610055 60.459 172.5199
2.628968 60.587 171.9076
2.648019 60.715 171.2942
2.667208 60.842 170.6797
2.686535 60.968 170.0647
2.706003 61.093 169.4494
2.725612 61.218 168.8342
2.745363 61.342 168.2196
2.765257 61.465 167.6058
2.785295 61.588 166.9932
2.805478 61.711 166.3820
2.825808 61.833 165.7725
2.846285 61.954 165.1647
2.866910 62.075 164.5588
2.887685 62.196 163.9546
2.908611 62.316 163.3517
2.929688 62.435 162.7498
2.950917 62.554 162.1483
2.972301 62.673 161.5466
2.993839 62.791 160.9445
3.015534 62.907 160.3420
3.037386 63.024 159.7392
3.059396 63.139 159.1364
3.081565 63.254 158.5339
3.103896 63.368 157.9321
3.126388 63.482 157.3315
3.149043 63.594 156.7324
3.171862 63.707 156.1351
3.194847 63.819 155.5401
3.217998 63.931 154.9475
3.241317 64.042 154.3574
3.264805 64.153 153.7697
3.288463 64.263 153.1840
3.312293 64.373 152.6001
3.336295 64.482 152.0174
3.360471 64.591 151.4355
3.384822 64.699 150.8544
3.409350 64.807 150.2739
3.434056 64.914 149.6943
3.458940 65.020 149.1157
3.484005 65.126 148.5384
3.509252 65.231 147.9628
3.534681 65.336 147.3890
3.560295 65.440 146.8174
3.586094 65.545 146.2480
3.612081 65.649 145.6811
3.638255 65.752 145.1164
3.664620 65.855 144.5538
3.691175 65.958 143.9930
3.717923 66.060 143.4337
3.744864 66.162 142.8756
3.772001 66.264 142.3188
3.799335 66.365 141.7630
3.826866 66.465 141.2085
3.854597 66.565 140.6554
3.882529 66.665 140.1038
3.910664 66.765 139.5538
3.939002 66.864 139.0056
3.967546 66.963 138.4591
3.996296 67.061 137.9145
4.025255 67.160 137.3715
4.054423 67.258 136.8300
4.083804 67.356 136.2899
4.113396 67.453 135.7508
4.143204 67.550 135.2127
4.173227 67.647 134.6757
4.203468 67.743 134.1396
4.233928 67.839 133.6045
4.264609 67.935 133.0704
4.295512 68.031 132.5373
4.326639 68.126 132.0052
4.357992 68.221 131.4740
4.389572 68.315 130.9436
4.421380 68.410 130.4138
4.453419 68.504 129.8846
4.485691 68.598 129.3558
4.518196 68.691 128.8274
4.550936 68.784 128.2994
4.583914 68.877 127.7718
4.617131 68.969 127.2446
4.650589 69.061 126.7180
4.684289 69.153 126.1918
4.718233 69.244 125.6660
4.752424 69.335 125.1404
4.786862 69.426 124.6151
4.821549 69.516 124.0897
4.856488 69.606 123.5642
4.891680 69.695 123.0387
4.927127 69.784 122.5132
4.962831 69.873 121.9879
4.998794 69.961 121.4629
5.035017 70.048 120.9382
5.071503 70.135 120.4139
5.108253 70.222 119.8899
5.145270 70.308 119.3660
5.182555 70.394 118.8422
5.220110 70.479 118.3184
5.257937 70.564 117.7945
5.296038 70.648 117.2707
5.334415 70.732 116.7472
5.373071 70.815 116.2242
5.412006 70.897 115.7017
5.451224 70.979 115.1799
5.490725 71.061 114.6588
5.530514 71.142 114.1381
5.570590 71.222 113.6179
5.610957 71.302 113.0979
5.651616 71.381 112.5784
5.692570 71.460 112.0594
5.733821 71.538 111.5410
5.775370 71.616 111.0234
5.817221 71.693 110.5068
5.859375 71.770 109.9910
5.901834 71.846 109.4759
5.944602 71.921 108.9615
5.987679 71.996 108.4477
6.031068 72.071 107.9345
6.074771 72.145 107.4218
6.118792 72.219 106.9098
6.163131 72.292 106.3984
6.207792 72.364 105.8877
6.252776 72.436 105.3775
6.298086 72.508 104.8678
6.343725 72.579 104.3584
6.389694 72.649 103.8492
6.435996 72.720 103.3403
6.482634 72.789 102.8315
