* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:56:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Treble Boost L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.571 -40.0980
0.368865 38.573 -40.1694
0.371538 38.577 -40.2761
0.374230 38.581 -40.4093
0.376942 38.586 -40.5617
0.379673 38.592 -40.7279
0.382424 38.597 -40.9042
0.385196 38.603 -41.0886
0.387987 38.609 -41.2797
0.390798 38.615 -41.4770
0.393630 38.621 -41.6799
0.396483 38.627 -41.8885
0.399356 38.634 -42.1027
0.402250 38.640 -42.3225
0.405165 38.646 -42.5479
0.408101 38.652 -42.7790
0.411058 38.659 -43.0159
0.414037 38.665 -43.2586
0.417037 38.671 -43.5072
0.420059 38.678 -43.7618
0.423103 38.684 -44.0225
0.426169 38.691 -44.2892
0.429257 38.698 -44.5622
0.432368 38.704 -44.8413
0.435501 38.711 -45.1268
0.438656 38.718 -45.4187
0.441835 38.725 -45.7171
0.445037 38.731 -46.0219
0.448262 38.738 -46.3334
0.451510 38.745 -46.6515
0.454782 38.752 -46.9763
0.458077 38.759 -47.3079
0.461397 38.766 -47.6463
0.464740 38.774 -47.9916
0.468108 38.781 -48.3439
0.471500 38.788 -48.7032
0.474917 38.795 -49.0695
0.478358 38.803 -49.4429
0.481825 38.810 -49.8235
0.485316 38.818 -50.2113
0.488833 38.825 -50.6063
0.492375 38.833 -51.0086
0.495943 38.840 -51.4183
0.499537 38.848 -51.8353
0.503157 38.856 -52.2597
0.506803 38.864 -52.6915
0.510475 38.872 -53.1307
0.514175 38.879 -53.5775
0.517900 38.887 -54.0317
0.521653 38.895 -54.4934
0.525434 38.904 -54.9627
0.529241 38.912 -55.4395
0.533076 38.920 -55.9238
0.536939 38.928 -56.4156
0.540830 38.937 -56.9150
0.544749 38.945 -57.4218
0.548696 38.953 -57.9362
0.552673 38.962 -58.4581
0.556677 38.971 -58.9874
0.560711 38.979 -59.5242
0.564774 38.988 -60.0683
0.568867 38.997 -60.6198
0.572989 39.005 -61.1786
0.577141 39.014 -61.7447
0.581324 39.023 -62.3181
0.585536 39.032 -62.8986
0.589779 39.041 -63.4862
0.594053 39.051 -64.0808
0.598358 39.060 -64.6824
0.602694 39.069 -65.2908
0.607061 39.078 -65.9061
0.611460 39.088 -66.5281
0.615891 39.097 -67.1567
0.620354 39.107 -67.7919
0.624849 39.117 -68.4335
0.629377 39.126 -69.0814
0.633938 39.136 -69.7356
0.638532 39.146 -70.3959
0.643159 39.156 -71.0622
0.647819 39.166 -71.7344
0.652514 39.176 -72.4124
0.657242 39.186 -73.0960
0.662005 39.196 -73.7852
0.666802 39.206 -74.4798
0.671634 39.217 -75.1797
0.676501 39.227 -75.8847
0.681403 39.238 -76.5948
0.686341 39.248 -77.3099
0.691314 39.259 -78.0297
0.696324 39.270 -78.7542
0.701370 39.282 -79.4834
0.706452 39.294 -80.2170
0.711571 39.306 -80.9550
0.716728 39.321 -81.6975
0.721921 39.338 -82.4444
0.727153 39.358 -83.1958
0.732422 39.382 -83.9517
0.737729 39.412 -84.7124
0.743075 39.446 -85.4778
0.748460 39.485 -86.2480
0.753883 39.527 -87.0228
0.759346 39.572 -87.8019
0.764849 39.620 -88.5851
0.770391 39.669 -89.3720
0.775974 39.721 -90.1624
0.781597 39.774 -90.9557
0.787261 39.829 -91.7516
0.792966 39.886 -92.5498
0.798712 39.945 -93.3499
0.804500 40.005 -94.1514
0.810329 40.067 -94.9541
0.816201 40.131 -95.7574
0.822116 40.197 -96.5611
0.828073 40.264 -97.3648
0.834074 40.333 -98.1681
0.840118 40.403 -98.9707
0.846206 40.475 -99.7723
0.852338 40.549 -100.5725
0.858514 40.625 -101.3710
0.864735 40.702 -102.1675
0.871001 40.780 -102.9617
0.877313 40.860 -103.7534
0.883670 40.942 -104.5423
0.890074 41.025 -105.3281
0.896524 41.110 -106.1106
0.903020 41.196 -106.8896
0.909564 41.283 -107.6649
0.916155 41.372 -108.4363
0.922794 41.462 -109.2037
0.929481 41.553 -109.9668
0.936216 41.646 -110.7255
0.943000 41.740 -111.4798
0.949834 41.835 -112.2295
0.956717 41.931 -112.9746
0.963649 42.028 -113.7148
0.970632 42.126 -114.4503
0.977666 42.225 -115.1809
0.984750 42.325 -115.9066
0.991886 42.426 -116.6274
0.999074 42.527 -117.3432
1.006314 42.630 -118.0542
1.013606 42.732 -118.7602
1.020951 42.836 -119.4614
1.028349 42.940 -120.1578
1.035801 43.044 -120.8494
1.043307 43.148 -121.5363
1.050867 43.253 -122.2185
1.058482 43.358 -122.8961
1.066152 43.463 -123.5692
1.073878 43.568 -124.2377
1.081660 43.673 -124.9016
1.089498 43.779 -125.5608
1.097393 43.885 -126.2152
1.105345 43.991 -126.8643
1.113355 44.099 -127.5081
1.121423 44.208 -128.1463
1.129549 44.317 -128.7787
1.137734 44.429 -129.4052
1.145979 44.541 -130.0260
1.154283 44.655 -130.6410
1.162647 44.771 -131.2503
1.171072 44.887 -131.8540
1.179558 45.006 -132.4523
1.188106 45.125 -133.0452
1.196715 45.246 -133.6328
1.205387 45.368 -134.2152
1.214122 45.492 -134.7927
1.222920 45.616 -135.3652
1.231782 45.742 -135.9329
1.240708 45.869 -136.4959
1.249699 45.997 -137.0543
1.258754 46.126 -137.6083
1.267876 46.256 -138.1579
1.277063 46.387 -138.7032
1.286318 46.519 -139.2444
1.295639 46.652 -139.7815
1.305027 46.786 -140.3146
1.314484 46.920 -140.8439
1.324009 47.055 -141.3695
1.333604 47.190 -141.8914
1.343268 47.326 -142.4097
1.353002 47.463 -142.9246
1.362806 47.600 -143.4361
1.372681 47.737 -143.9442
1.382628 47.874 -144.4491
1.392647 48.012 -144.9509
1.402739 48.149 -145.4495
1.412904 48.287 -145.9449
1.423142 48.425 -146.4372
1.433455 48.562 -146.9261
1.443843 48.699 -147.4114
1.454305 48.836 -147.8926
1.464844 48.973 -148.3692
1.475459 49.110 -148.8405
1.486150 49.247 -149.3060
1.496920 49.385 -149.7652
1.507767 49.522 -150.2182
1.518693 49.660 -150.6649
1.529698 49.798 -151.1058
1.540783 49.937 -151.5411
1.551948 50.075 -151.9714
1.563194 50.214 -152.3970
1.574521 50.354 -152.8186
1.585931 50.494 -153.2365
1.597423 50.634 -153.6513
1.608999 50.774 -154.0634
1.620658 50.915 -154.4734
1.632402 51.056 -154.8817
1.644232 51.197 -155.2888
1.656146 51.339 -155.6951
1.668147 51.480 -156.1011
1.680235 51.622 -156.5072
1.692411 51.765 -156.9138
1.704675 51.907 -157.3214
1.717028 52.050 -157.7304
1.729470 52.193 -158.1411
1.742003 52.337 -158.5538
1.754626 52.480 -158.9690
1.767341 52.624 -159.3869
1.780147 52.768 -159.8075
1.793047 52.912 -160.2310
1.806040 53.056 -160.6571
1.819128 53.201 -161.0852
1.832310 53.345 -161.5147
1.845587 53.490 -161.9446
1.858961 53.635 -162.3740
1.872432 53.780 -162.8022
1.886001 53.924 -163.2289
1.899667 54.069 -163.6538
1.913433 54.214 -164.0771
1.927299 54.359 -164.4988
1.941265 54.504 -164.9193
1.955332 54.649 -165.3389
1.969501 54.794 -165.7578
1.983773 54.940 -166.1765
1.998148 55.085 -166.5953
2.012627 55.230 -167.0145
2.027212 55.375 -167.4345
2.041902 55.520 -167.8557
2.056698 55.665 -168.2785
2.071602 55.811 -168.7033
2.086614 55.956 -169.1304
2.101734 56.101 -169.5601
2.116964 56.247 -169.9928
2.132304 56.392 -170.4287
2.147756 56.537 -170.8680
2.163320 56.683 -171.3107
2.178996 56.828 -171.7566
2.194786 56.973 -172.2054
2.210690 57.118 -172.6564
2.226710 57.263 -173.1091
2.242845 57.408 -173.5629
2.259098 57.553 -174.0173
2.275468 57.698 -174.4723
2.291957 57.842 -174.9277
2.308566 57.986 -175.3836
2.325295 58.130 -175.8401
2.342145 58.274 -176.2974
2.359117 58.417 -176.7556
2.376212 58.560 -177.2150
2.393431 58.703 -177.6759
2.410775 58.846 -178.1385
2.428244 58.988 -178.6032
2.445840 59.130 -179.0701
2.463564 59.272 -179.5397
2.481416 59.414 179.9878
2.499397 59.555 179.5121
2.517509 59.696 179.0331
2.535752 59.837 178.5505
2.554127 59.977 178.0642
2.572635 60.117 177.5745
2.591277 60.257 177.0815
2.610055 60.396 176.5854
2.628968 60.535 176.0868
2.648019 60.673 175.5858
2.667208 60.811 175.0827
2.686535 60.948 174.5778
2.706003 61.084 174.0712
2.725612 61.220 173.5630
2.745363 61.355 173.0535
2.765257 61.490 172.5427
2.785295 61.625 172.0306
2.805478 61.758 171.5171
2.825808 61.892 171.0023
2.846285 62.024 170.4859
2.866910 62.156 169.9679
2.887685 62.288 169.4479
2.908611 62.419 168.9256
2.929688 62.549 168.4007
2.950917 62.679 167.8728
2.972301 62.808 167.3418
2.993839 62.936 166.8077
3.015534 63.063 166.2707
3.037386 63.189 165.7312
3.059396 63.315 165.1898
3.081565 63.439 164.6469
3.103896 63.563 164.1031
3.126388 63.686 163.5588
3.149043 63.809 163.0147
3.171862 63.930 162.4710
3.194847 64.051 161.9280
3.217998 64.171 161.3861
3.241317 64.290 160.8451
3.264805 64.409 160.3047
3.288463 64.527 159.7647
3.312293 64.644 159.2244
3.336295 64.760 158.6831
3.360471 64.875 158.1407
3.384822 64.988 157.5970
3.409350 65.101 157.0524
3.434056 65.213 156.5074
3.458940 65.324 155.9626
3.484005 65.434 155.4187
3.509252 65.544 154.8764
3.534681 65.652 154.3364
3.560295 65.760 153.7991
3.586094 65.867 153.2651
3.612081 65.973 152.7345
3.638255 66.079 152.2072
3.664620 66.183 151.6827
3.691175 66.287 151.1606
3.717923 66.390 150.6402
3.744864 66.492 150.1213
3.772001 66.593 149.6038
3.799335 66.693 149.0880
3.826866 66.793 148.5744
3.854597 66.891 148.0636
3.882529 66.989 147.5563
3.910664 67.086 147.0530
3.939002 67.183 146.5544
3.967546 67.280 146.0608
3.996296 67.376 145.5724
4.025255 67.471 145.0893
4.054423 67.566 144.6110
4.083804 67.660 144.1373
4.113396 67.754 143.6676
4.143204 67.847 143.2019
4.173227 67.940 142.7400
4.203468 68.032 142.2819
4.233928 68.124 141.8279
4.264609 68.216 141.3780
4.295512 68.308 140.9324
4.326639 68.399 140.4915
4.357992 68.491 140.0554
4.389572 68.582 139.6241
4.421380 68.674 139.1976
4.453419 68.766 138.7758
4.485691 68.857 138.3585
4.518196 68.949 137.9452
4.550936 69.040 137.5355
4.583914 69.132 137.1290
4.617131 69.224 136.7252
4.650589 69.316 136.3239
4.684289 69.408 135.9247
4.718233 69.500 135.5276
4.752424 69.593 135.1326
4.786862 69.687 134.7396
4.821549 69.780 134.3486
4.856488 69.874 133.9596
4.891680 69.969 133.5721
4.927127 70.063 133.1855
4.962831 70.158 132.7992
4.998794 70.253 132.4125
5.035017 70.349 132.0247
5.071503 70.445 131.6353
5.108253 70.541 131.2441
5.145270 70.637 130.8510
5.182555 70.734 130.4560
5.220110 70.831 130.0591
5.257937 70.928 129.6602
5.296038 71.025 129.2589
5.334415 71.123 128.8549
5.373071 71.220 128.4476
5.412006 71.317 128.0367
5.451224 71.414 127.6216
5.490725 71.511 127.2021
5.530514 71.608 126.7781
5.570590 71.704 126.3498
5.610957 71.801 125.9171
5.651616 71.897 125.4804
5.692570 71.992 125.0397
5.733821 72.087 124.5952
5.775370 72.181 124.1468
5.817221 72.275 123.6945
5.859375 72.368 123.2380
5.901834 72.460 122.7775
5.944602 72.551 122.3130
5.987679 72.641 121.8447
6.031068 72.731 121.3732
6.074771 72.819 120.8991
6.118792 72.907 120.4229
6.163131 72.993 119.9450
6.207792 73.078 119.4657
6.252776 73.163 118.9850
6.298086 73.245 118.5030
6.343725 73.327 118.0199
6.389694 73.408 117.5362
6.435996 73.487 117.0527
6.482634 73.565 116.5701
