* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:55:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Vocal L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 16.713 -95.8386
0.368865 16.763 -96.0320
0.371538 16.837 -96.3143
0.374230 16.929 -96.6558
0.376942 17.031 -97.0318
0.379673 17.140 -97.4244
0.382424 17.254 -97.8221
0.385196 17.371 -98.2182
0.387987 17.489 -98.6089
0.390798 17.609 -98.9924
0.393630 17.730 -99.3676
0.396483 17.852 -99.7344
0.399356 17.975 -100.0926
0.402250 18.099 -100.4424
0.405165 18.224 -100.7840
0.408101 18.350 -101.1176
0.411058 18.477 -101.4436
0.414037 18.604 -101.7621
0.417037 18.733 -102.0735
0.420059 18.862 -102.3780
0.423103 18.992 -102.6760
0.426169 19.124 -102.9677
0.429257 19.256 -103.2534
0.432368 19.389 -103.5334
0.435501 19.524 -103.8080
0.438656 19.659 -104.0775
0.441835 19.795 -104.3421
0.445037 19.932 -104.6021
0.448262 20.070 -104.8579
0.451510 20.209 -105.1096
0.454782 20.350 -105.3576
0.458077 20.491 -105.6021
0.461397 20.633 -105.8433
0.464740 20.776 -106.0817
0.468108 20.920 -106.3173
0.471500 21.066 -106.5504
0.474917 21.212 -106.7814
0.478358 21.360 -107.0105
0.481825 21.508 -107.2378
0.485316 21.658 -107.4636
0.488833 21.808 -107.6882
0.492375 21.960 -107.9118
0.495943 22.113 -108.1347
0.499537 22.267 -108.3569
0.503157 22.422 -108.5788
0.506803 22.578 -108.8005
0.510475 22.736 -109.0223
0.514175 22.894 -109.2443
0.517900 23.054 -109.4668
0.521653 23.215 -109.6899
0.525434 23.377 -109.9138
0.529241 23.540 -110.1387
0.533076 23.704 -110.3648
0.536939 23.870 -110.5922
0.540830 24.037 -110.8211
0.544749 24.205 -111.0516
0.548696 24.374 -111.2839
0.552673 24.544 -111.5181
0.556677 24.716 -111.7544
0.560711 24.889 -111.9928
0.564774 25.063 -112.2336
0.568867 25.238 -112.4769
0.572989 25.415 -112.7227
0.577141 25.593 -112.9712
0.581324 25.772 -113.2224
0.585536 25.953 -113.4765
0.589779 26.135 -113.7336
0.594053 26.318 -113.9937
0.598358 26.502 -114.2569
0.602694 26.688 -114.5234
0.607061 26.876 -114.7931
0.611460 27.064 -115.0661
0.615891 27.254 -115.3425
0.620354 27.445 -115.6224
0.624849 27.638 -115.9057
0.629377 27.832 -116.1926
0.633938 28.028 -116.4830
0.638532 28.225 -116.7770
0.643159 28.423 -117.0746
0.647819 28.623 -117.3758
0.652514 28.824 -117.6806
0.657242 29.027 -117.9892
0.662005 29.231 -118.3013
0.666802 29.437 -118.6171
0.671634 29.644 -118.9365
0.676501 29.853 -119.2595
0.681403 30.063 -119.5861
0.686341 30.275 -119.9162
0.691314 30.488 -120.2497
0.696324 30.702 -120.5866
0.701370 30.917 -120.9267
0.706452 31.133 -121.2698
0.711571 31.348 -121.6153
0.716728 31.563 -121.9626
0.721921 31.775 -122.3107
0.727153 31.984 -122.6581
0.732422 32.187 -123.0028
0.737729 32.385 -123.3427
0.743075 32.577 -123.6758
0.748460 32.765 -124.0007
0.753883 32.951 -124.3165
0.759346 33.134 -124.6227
0.764849 33.316 -124.9196
0.770391 33.497 -125.2075
0.775974 33.677 -125.4867
0.781597 33.857 -125.7578
0.787261 34.036 -126.0214
0.792966 34.215 -126.2781
0.798712 34.393 -126.5284
0.804500 34.570 -126.7728
0.810329 34.747 -127.0120
0.816201 34.924 -127.2465
0.822116 35.100 -127.4768
0.828073 35.276 -127.7034
0.834074 35.451 -127.9268
0.840118 35.626 -128.1474
0.846206 35.801 -128.3657
0.852338 35.975 -128.5822
0.858514 36.148 -128.7972
0.864735 36.322 -129.0113
0.871001 36.495 -129.2247
0.877313 36.667 -129.4379
0.883670 36.839 -129.6512
0.890074 37.011 -129.8650
0.896524 37.183 -130.0797
0.903020 37.354 -130.2956
0.909564 37.525 -130.5129
0.916155 37.696 -130.7321
0.922794 37.867 -130.9534
0.929481 38.037 -131.1771
0.936216 38.208 -131.4035
0.943000 38.378 -131.6329
0.949834 38.548 -131.8655
0.956717 38.719 -132.1016
0.963649 38.889 -132.3414
0.970632 39.059 -132.5851
0.977666 39.229 -132.8330
0.984750 39.400 -133.0853
0.991886 39.570 -133.3422
0.999074 39.741 -133.6039
1.006314 39.912 -133.8706
1.013606 40.084 -134.1425
1.020951 40.256 -134.4197
1.028349 40.428 -134.7024
1.035801 40.601 -134.9907
1.043307 40.774 -135.2848
1.050867 40.948 -135.5847
1.058482 41.123 -135.8904
1.066152 41.299 -136.2018
1.073878 41.475 -136.5184
1.081660 41.651 -136.8398
1.089498 41.828 -137.1649
1.097393 42.006 -137.4923
1.105345 42.183 -137.8206
1.113355 42.361 -138.1480
1.121423 42.538 -138.4733
1.129549 42.715 -138.7957
1.137734 42.891 -139.1147
1.145979 43.066 -139.4301
1.154283 43.241 -139.7420
1.162647 43.415 -140.0507
1.171072 43.589 -140.3564
1.179558 43.762 -140.6595
1.188106 43.934 -140.9601
1.196715 44.106 -141.2588
1.205387 44.277 -141.5558
1.214122 44.448 -141.8514
1.222920 44.618 -142.1461
1.231782 44.787 -142.4400
1.240708 44.956 -142.7337
1.249699 45.125 -143.0273
1.258754 45.293 -143.3212
1.267876 45.461 -143.6157
1.277063 45.629 -143.9111
1.286318 45.796 -144.2077
1.295639 45.962 -144.5059
1.305027 46.129 -144.8058
1.314484 46.295 -145.1079
1.324009 46.462 -145.4123
1.333604 46.628 -145.7193
1.343268 46.794 -146.0293
1.353002 46.960 -146.3425
1.362806 47.126 -146.6592
1.372681 47.292 -146.9795
1.382628 47.458 -147.3039
1.392647 47.625 -147.6324
1.402739 47.791 -147.9653
1.412904 47.958 -148.3027
1.423142 48.126 -148.6446
1.433455 48.294 -148.9908
1.443843 48.462 -149.3411
1.454305 48.630 -149.6946
1.464844 48.798 -150.0504
1.475459 48.966 -150.4075
1.486150 49.134 -150.7645
1.496920 49.301 -151.1207
1.507767 49.468 -151.4755
1.518693 49.634 -151.8287
1.529698 49.800 -152.1804
1.540783 49.965 -152.5308
1.551948 50.130 -152.8801
1.563194 50.293 -153.2286
1.574521 50.457 -153.5768
1.585931 50.619 -153.9250
1.597423 50.781 -154.2735
1.608999 50.943 -154.6228
1.620658 51.104 -154.9733
1.632402 51.264 -155.3252
1.644232 51.425 -155.6791
1.656146 51.584 -156.0352
1.668147 51.744 -156.3940
1.680235 51.903 -156.7558
1.692411 52.062 -157.1209
1.704675 52.220 -157.4897
1.717028 52.378 -157.8626
1.729470 52.537 -158.2399
1.742003 52.695 -158.6219
1.754626 52.853 -159.0090
1.767341 53.011 -159.4013
1.780147 53.169 -159.7991
1.793047 53.327 -160.2024
1.806040 53.485 -160.6112
1.819128 53.642 -161.0250
1.832310 53.800 -161.4434
1.845587 53.957 -161.8655
1.858961 54.114 -162.2907
1.872432 54.270 -162.7181
1.886001 54.426 -163.1473
1.899667 54.581 -163.5780
1.913433 54.735 -164.0098
1.927299 54.889 -164.4427
1.941265 55.041 -164.8766
1.955332 55.194 -165.3114
1.969501 55.345 -165.7473
1.983773 55.496 -166.1841
1.998148 55.646 -166.6221
2.012627 55.796 -167.0613
2.027212 55.946 -167.5018
2.041902 56.094 -167.9438
2.056698 56.243 -168.3873
2.071602 56.391 -168.8327
2.086614 56.538 -169.2800
2.101734 56.686 -169.7294
2.116964 56.833 -170.1811
2.132304 56.980 -170.6354
2.147756 57.126 -171.0925
2.163320 57.272 -171.5524
2.178996 57.418 -172.0154
2.194786 57.564 -172.4814
2.210690 57.709 -172.9504
2.226710 57.854 -173.4223
2.242845 57.997 -173.8967
2.259098 58.140 -174.3735
2.275468 58.283 -174.8523
2.291957 58.424 -175.3329
2.308566 58.565 -175.8151
2.325295 58.705 -176.2985
2.342145 58.844 -176.7831
2.359117 58.983 -177.2685
2.376212 59.120 -177.7548
2.393431 59.258 -178.2418
2.410775 59.394 -178.7294
2.428244 59.530 -179.2175
2.445840 59.666 -179.7061
2.463564 59.801 179.8047
2.481416 59.935 179.3149
2.499397 60.070 178.8245
2.517509 60.203 178.3332
2.535752 60.337 177.8407
2.554127 60.470 177.3468
2.572635 60.602 176.8512
2.591277 60.733 176.3535
2.610055 60.864 175.8536
2.628968 60.994 175.3515
2.648019 61.123 174.8475
2.667208 61.251 174.3417
2.686535 61.379 173.8346
2.706003 61.505 173.3265
2.725612 61.631 172.8178
2.745363 61.756 172.3088
2.765257 61.881 171.7999
2.785295 62.004 171.2914
2.805478 62.127 170.7836
2.825808 62.250 170.2766
2.846285 62.372 169.7707
2.866910 62.493 169.2657
2.887685 62.614 168.7618
2.908611 62.735 168.2585
2.929688 62.855 167.7556
2.950917 62.974 167.2524
2.972301 63.092 166.7485
2.993839 63.210 166.2437
3.015534 63.327 165.7380
3.037386 63.443 165.2317
3.059396 63.558 164.7249
3.081565 63.672 164.2180
3.103896 63.785 163.7116
3.126388 63.898 163.2060
3.149043 64.010 162.7018
3.171862 64.122 162.1992
3.194847 64.233 161.6987
3.217998 64.344 161.2005
3.241317 64.454 160.7047
3.264805 64.563 160.2113
3.288463 64.673 159.7200
3.312293 64.781 159.2305
3.336295 64.889 158.7421
3.360471 64.996 158.2547
3.384822 65.103 157.7681
3.409350 65.209 157.2822
3.434056 65.314 156.7972
3.458940 65.418 156.3134
3.484005 65.522 155.8312
3.509252 65.625 155.3508
3.534681 65.728 154.8727
3.560295 65.831 154.3970
3.586094 65.933 153.9241
3.612081 66.035 153.4542
3.638255 66.137 152.9871
3.664620 66.238 152.5228
3.691175 66.339 152.0611
3.717923 66.439 151.6016
3.744864 66.539 151.1440
3.772001 66.639 150.6884
3.799335 66.738 150.2344
3.826866 66.837 149.7823
3.854597 66.935 149.3321
3.882529 67.033 148.8838
3.910664 67.131 148.4375
3.939002 67.229 147.9934
3.967546 67.326 147.5516
3.996296 67.424 147.1120
4.025255 67.521 146.6747
4.054423 67.619 146.2397
4.083804 67.716 145.8069
4.113396 67.813 145.3759
4.143204 67.910 144.9467
4.173227 68.006 144.5191
4.203468 68.103 144.0928
4.233928 68.199 143.6676
4.264609 68.296 143.2433
4.295512 68.392 142.8198
4.326639 68.488 142.3968
4.357992 68.585 141.9744
4.389572 68.681 141.5526
4.421380 68.777 141.1313
4.453419 68.874 140.7104
4.485691 68.970 140.2901
4.518196 69.067 139.8700
4.550936 69.163 139.4500
4.583914 69.259 139.0297
4.617131 69.355 138.6090
4.650589 69.452 138.1874
4.684289 69.548 137.7648
4.718233 69.644 137.3409
4.752424 69.740 136.9156
4.786862 69.835 136.4888
4.821549 69.931 136.0606
4.856488 70.027 135.6310
4.891680 70.122 135.1999
4.927127 70.217 134.7673
4.962831 70.313 134.3331
4.998794 70.407 133.8971
5.035017 70.502 133.4593
5.071503 70.596 133.0194
5.108253 70.690 132.5772
5.145270 70.783 132.1327
5.182555 70.876 131.6857
5.220110 70.969 131.2364
5.257937 71.061 130.7848
5.296038 71.152 130.3313
5.334415 71.243 129.8760
5.373071 71.334 129.4192
5.412006 71.424 128.9610
5.451224 71.513 128.5014
5.490725 71.602 128.0404
5.530514 71.689 127.5779
5.570590 71.776 127.1137
5.610957 71.863 126.6482
5.651616 71.948 126.1817
5.692570 72.033 125.7147
5.733821 72.116 125.2477
5.775370 72.199 124.7813
5.817221 72.282 124.3156
5.859375 72.363 123.8508
5.901834 72.443 123.3870
5.944602 72.523 122.9240
5.987679 72.601 122.4620
6.031068 72.679 122.0016
6.074771 72.756 121.5432
6.118792 72.832 121.0875
6.163131 72.907 120.6350
6.207792 72.982 120.1860
6.252776 73.056 119.7407
6.298086 73.129 119.2990
6.343725 73.201 118.8611
6.389694 73.273 118.4269
6.435996 73.344 117.9969
6.482634 73.415 117.5714
