* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:53:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony Linkbuds Fit L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.261 -65.5599
0.368865 39.277 -65.6521
0.371538 39.301 -65.7892
0.374230 39.330 -65.9596
0.376942 39.363 -66.1535
0.379673 39.398 -66.3635
0.382424 39.435 -66.5847
0.385196 39.472 -66.8143
0.387987 39.511 -67.0505
0.390798 39.550 -67.2924
0.393630 39.589 -67.5393
0.396483 39.628 -67.7911
0.399356 39.668 -68.0476
0.402250 39.708 -68.3086
0.405165 39.749 -68.5743
0.408101 39.789 -68.8444
0.411058 39.830 -69.1191
0.414037 39.872 -69.3982
0.417037 39.913 -69.6818
0.420059 39.955 -69.9698
0.423103 39.998 -70.2622
0.426169 40.040 -70.5589
0.429257 40.083 -70.8600
0.432368 40.126 -71.1654
0.435501 40.170 -71.4750
0.438656 40.213 -71.7889
0.441835 40.257 -72.1069
0.445037 40.302 -72.4291
0.448262 40.347 -72.7553
0.451510 40.392 -73.0856
0.454782 40.437 -73.4199
0.458077 40.483 -73.7580
0.461397 40.529 -74.1001
0.464740 40.575 -74.4460
0.468108 40.622 -74.7957
0.471500 40.669 -75.1490
0.474917 40.716 -75.5060
0.478358 40.764 -75.8666
0.481825 40.812 -76.2307
0.485316 40.861 -76.5982
0.488833 40.910 -76.9691
0.492375 40.959 -77.3433
0.495943 41.008 -77.7208
0.499537 41.058 -78.1015
0.503157 41.108 -78.4852
0.506803 41.159 -78.8720
0.510475 41.210 -79.2618
0.514175 41.261 -79.6544
0.517900 41.313 -80.0499
0.521653 41.365 -80.4481
0.525434 41.417 -80.8490
0.529241 41.470 -81.2526
0.533076 41.524 -81.6586
0.536939 41.577 -82.0672
0.540830 41.631 -82.4782
0.544749 41.686 -82.8915
0.548696 41.740 -83.3071
0.552673 41.795 -83.7249
0.556677 41.851 -84.1448
0.560711 41.907 -84.5668
0.564774 41.963 -84.9909
0.568867 42.020 -85.4170
0.572989 42.077 -85.8450
0.577141 42.135 -86.2748
0.581324 42.193 -86.7065
0.585536 42.252 -87.1399
0.589779 42.310 -87.5751
0.594053 42.370 -88.0120
0.598358 42.430 -88.4505
0.602694 42.490 -88.8906
0.607061 42.550 -89.3323
0.611460 42.611 -89.7756
0.615891 42.673 -90.2204
0.620354 42.735 -90.6667
0.624849 42.797 -91.1144
0.629377 42.860 -91.5637
0.633938 42.923 -92.0144
0.638532 42.987 -92.4665
0.643159 43.051 -92.9201
0.647819 43.116 -93.3752
0.652514 43.181 -93.8317
0.657242 43.247 -94.2897
0.662005 43.313 -94.7491
0.666802 43.379 -95.2101
0.671634 43.447 -95.6726
0.676501 43.514 -96.1366
0.681403 43.582 -96.6022
0.686341 43.651 -97.0694
0.691314 43.720 -97.5382
0.696324 43.789 -98.0088
0.701370 43.859 -98.4811
0.706452 43.930 -98.9551
0.711571 44.001 -99.4310
0.716728 44.073 -99.9086
0.721921 44.145 -100.3880
0.727153 44.217 -100.8691
0.732422 44.291 -101.3517
0.737729 44.365 -101.8355
0.743075 44.439 -102.3203
0.748460 44.514 -102.8058
0.753883 44.590 -103.2918
0.759346 44.667 -103.7779
0.764849 44.744 -104.2641
0.770391 44.822 -104.7502
0.775974 44.900 -105.2360
0.781597 44.979 -105.7213
0.787261 45.059 -106.2062
0.792966 45.140 -106.6903
0.798712 45.221 -107.1738
0.804500 45.303 -107.6563
0.810329 45.386 -108.1380
0.816201 45.469 -108.6186
0.822116 45.553 -109.0982
0.828073 45.638 -109.5766
0.834074 45.723 -110.0538
0.840118 45.809 -110.5298
0.846206 45.895 -111.0046
0.852338 45.983 -111.4780
0.858514 46.070 -111.9501
0.864735 46.159 -112.4209
0.871001 46.248 -112.8903
0.877313 46.338 -113.3583
0.883670 46.428 -113.8251
0.890074 46.519 -114.2905
0.896524 46.610 -114.7546
0.903020 46.702 -115.2175
0.909564 46.795 -115.6791
0.916155 46.888 -116.1395
0.922794 46.982 -116.5988
0.929481 47.076 -117.0571
0.936216 47.171 -117.5143
0.943000 47.266 -117.9706
0.949834 47.362 -118.4260
0.956717 47.458 -118.8807
0.963649 47.555 -119.3346
0.970632 47.652 -119.7880
0.977666 47.749 -120.2408
0.984750 47.847 -120.6933
0.991886 47.945 -121.1455
0.999074 48.044 -121.5976
1.006314 48.143 -122.0496
1.013606 48.243 -122.5017
1.020951 48.342 -122.9541
1.028349 48.442 -123.4068
1.035801 48.542 -123.8600
1.043307 48.643 -124.3139
1.050867 48.743 -124.7687
1.058482 48.844 -125.2243
1.066152 48.945 -125.6810
1.073878 49.046 -126.1390
1.081660 49.148 -126.5981
1.089498 49.249 -127.0585
1.097393 49.351 -127.5200
1.105345 49.453 -127.9826
1.113355 49.555 -128.4459
1.121423 49.658 -128.9099
1.129549 49.760 -129.3742
1.137734 49.863 -129.8388
1.145979 49.967 -130.3035
1.154283 50.071 -130.7682
1.162647 50.175 -131.2329
1.171072 50.279 -131.6974
1.179558 50.384 -132.1617
1.188106 50.489 -132.6256
1.196715 50.594 -133.0892
1.205387 50.700 -133.5524
1.214122 50.806 -134.0151
1.222920 50.913 -134.4773
1.231782 51.020 -134.9389
1.240708 51.127 -135.3999
1.249699 51.234 -135.8603
1.258754 51.342 -136.3200
1.267876 51.449 -136.7790
1.277063 51.558 -137.2373
1.286318 51.666 -137.6948
1.295639 51.775 -138.1515
1.305027 51.884 -138.6074
1.314484 51.993 -139.0625
1.324009 52.103 -139.5167
1.333604 52.213 -139.9701
1.343268 52.323 -140.4227
1.353002 52.433 -140.8745
1.362806 52.544 -141.3254
1.372681 52.655 -141.7755
1.382628 52.766 -142.2248
1.392647 52.877 -142.6732
1.402739 52.989 -143.1209
1.412904 53.101 -143.5677
1.423142 53.213 -144.0138
1.433455 53.325 -144.4590
1.443843 53.437 -144.9034
1.454305 53.549 -145.3468
1.464844 53.662 -145.7893
1.475459 53.775 -146.2306
1.486150 53.887 -146.6706
1.496920 54.000 -147.1093
1.507767 54.113 -147.5465
1.518693 54.226 -147.9825
1.529698 54.339 -148.4171
1.540783 54.452 -148.8505
1.551948 54.565 -149.2827
1.563194 54.678 -149.7139
1.574521 54.791 -150.1441
1.585931 54.904 -150.5735
1.597423 55.018 -151.0023
1.608999 55.131 -151.4304
1.620658 55.245 -151.8581
1.632402 55.358 -152.2855
1.644232 55.472 -152.7127
1.656146 55.585 -153.1399
1.668147 55.699 -153.5672
1.680235 55.813 -153.9948
1.692411 55.927 -154.4227
1.704675 56.041 -154.8513
1.717028 56.155 -155.2805
1.729470 56.269 -155.7106
1.742003 56.384 -156.1417
1.754626 56.498 -156.5739
1.767341 56.613 -157.0075
1.780147 56.728 -157.4425
1.793047 56.843 -157.8790
1.806040 56.958 -158.3171
1.819128 57.073 -158.7567
1.832310 57.188 -159.1979
1.845587 57.303 -159.6404
1.858961 57.418 -160.0840
1.872432 57.533 -160.5286
1.886001 57.648 -160.9740
1.899667 57.763 -161.4200
1.913433 57.878 -161.8665
1.927299 57.993 -162.3134
1.941265 58.107 -162.7606
1.955332 58.221 -163.2081
1.969501 58.336 -163.6558
1.983773 58.450 -164.1036
1.998148 58.564 -164.5514
2.012627 58.678 -164.9993
2.027212 58.792 -165.4472
2.041902 58.906 -165.8952
2.056698 59.020 -166.3431
2.071602 59.135 -166.7909
2.086614 59.249 -167.2388
2.101734 59.363 -167.6867
2.116964 59.477 -168.1346
2.132304 59.591 -168.5825
2.147756 59.706 -169.0305
2.163320 59.820 -169.4786
2.178996 59.935 -169.9268
2.194786 60.050 -170.3752
2.210690 60.164 -170.8237
2.226710 60.279 -171.2723
2.242845 60.393 -171.7211
2.259098 60.507 -172.1700
2.275468 60.621 -172.6189
2.291957 60.735 -173.0679
2.308566 60.849 -173.5171
2.325295 60.963 -173.9663
2.342145 61.076 -174.4157
2.359117 61.189 -174.8652
2.376212 61.303 -175.3149
2.393431 61.416 -175.7649
2.410775 61.529 -176.2152
2.428244 61.642 -176.6658
2.445840 61.755 -177.1169
2.463564 61.868 -177.5685
2.481416 61.981 -178.0206
2.499397 62.094 -178.4734
2.517509 62.207 -178.9269
2.535752 62.320 -179.3810
2.554127 62.433 -179.8359
2.572635 62.546 179.7085
2.591277 62.659 179.2523
2.610055 62.772 178.7956
2.628968 62.885 178.3383
2.648019 62.997 177.8806
2.667208 63.110 177.4223
2.686535 63.222 176.9634
2.706003 63.334 176.5039
2.725612 63.446 176.0437
2.745363 63.558 175.5826
2.765257 63.669 175.1206
2.785295 63.781 174.6575
2.805478 63.892 174.1932
2.825808 64.003 173.7275
2.846285 64.114 173.2603
2.866910 64.225 172.7915
2.887685 64.336 172.3209
2.908611 64.447 171.8483
2.929688 64.558 171.3737
2.950917 64.668 170.8970
2.972301 64.778 170.4183
2.993839 64.888 169.9377
3.015534 64.998 169.4552
3.037386 65.107 168.9709
3.059396 65.216 168.4851
3.081565 65.325 167.9979
3.103896 65.434 167.5092
3.126388 65.542 167.0191
3.149043 65.650 166.5278
3.171862 65.757 166.0352
3.194847 65.865 165.5412
3.217998 65.971 165.0458
3.241317 66.078 164.5488
3.264805 66.184 164.0499
3.288463 66.289 163.5489
3.312293 66.394 163.0454
3.336295 66.498 162.5393
3.360471 66.602 162.0304
3.384822 66.706 161.5190
3.409350 66.809 161.0052
3.434056 66.911 160.4895
3.458940 67.013 159.9724
3.484005 67.114 159.4542
3.509252 67.214 158.9353
3.534681 67.314 158.4162
3.560295 67.413 157.8970
3.586094 67.511 157.3779
3.612081 67.608 156.8587
3.638255 67.705 156.3392
3.664620 67.801 155.8188
3.691175 67.896 155.2969
3.717923 67.990 154.7731
3.744864 68.083 154.2474
3.772001 68.175 153.7200
3.799335 68.266 153.1918
3.826866 68.357 152.6635
3.854597 68.446 152.1362
3.882529 68.534 151.6107
3.910664 68.622 151.0880
3.939002 68.709 150.5689
3.967546 68.794 150.0538
3.996296 68.879 149.5427
4.025255 68.962 149.0353
4.054423 69.045 148.5311
4.083804 69.126 148.0293
4.113396 69.207 147.5297
4.143204 69.286 147.0325
4.173227 69.364 146.5385
4.203468 69.441 146.0483
4.233928 69.517 145.5635
4.264609 69.593 145.0850
4.295512 69.668 144.6140
4.326639 69.742 144.1516
4.357992 69.815 143.6982
4.389572 69.888 143.2541
4.421380 69.961 142.8189
4.453419 70.032 142.3923
4.485691 70.103 141.9739
4.518196 70.173 141.5635
4.550936 70.243 141.1614
4.583914 70.312 140.7679
4.617131 70.382 140.3837
4.650589 70.452 140.0094
4.684289 70.522 139.6458
4.718233 70.593 139.2937
4.752424 70.664 138.9535
4.786862 70.736 138.6255
4.821549 70.809 138.3094
4.856488 70.882 138.0049
4.891680 70.956 137.7109
4.927127 71.031 137.4264
4.962831 71.108 137.1503
4.998794 71.185 136.8815
5.035017 71.265 136.6193
5.071503 71.346 136.3633
5.108253 71.430 136.1133
5.145270 71.516 135.8698
5.182555 71.605 135.6325
5.220110 71.695 135.4009
5.257937 71.788 135.1736
5.296038 71.883 134.9481
5.334415 71.981 134.7219
5.373071 72.081 134.4924
5.412006 72.184 134.2572
5.451224 72.289 134.0148
5.490725 72.396 133.7645
5.530514 72.507 133.5062
5.570590 72.620 133.2398
5.610957 72.736 132.9645
5.651616 72.854 132.6788
5.692570 72.974 132.3801
5.733821 73.095 132.0661
5.775370 73.219 131.7343
5.817221 73.343 131.3828
5.859375 73.469 131.0109
5.901834 73.596 130.6185
5.944602 73.724 130.2059
5.987679 73.852 129.7736
6.031068 73.981 129.3213
6.074771 74.111 128.8485
6.118792 74.240 128.3546
6.163131 74.368 127.8387
6.207792 74.495 127.3002
6.252776 74.621 126.7389
6.298086 74.745 126.1553
6.343725 74.868 125.5507
6.389694 74.989 124.9265
6.435996 75.108 124.2845
