* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:17:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T 4U Atmosphere R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.184 -151.5464
20.287556 95.185 -151.6750
20.434568 95.187 -151.8608
20.582645 95.190 -152.0853
20.731796 95.194 -152.3341
20.882027 95.199 -152.5977
21.033346 95.206 -152.8713
21.185762 95.214 -153.1535
21.339283 95.224 -153.4446
21.493916 95.235 -153.7456
21.649670 95.246 -154.0573
21.806553 95.258 -154.3796
21.964573 95.270 -154.7115
22.123737 95.281 -155.0511
22.284056 95.291 -155.3956
22.445536 95.299 -155.7418
22.608185 95.306 -156.0866
22.772013 95.311 -156.4272
22.937029 95.316 -156.7616
23.103241 95.319 -157.0887
23.270657 95.322 -157.4083
23.439285 95.325 -157.7213
23.609137 95.328 -158.0291
23.780218 95.331 -158.3335
23.952539 95.334 -158.6361
24.126110 95.337 -158.9382
24.300938 95.340 -159.2403
24.477032 95.343 -159.5422
24.654402 95.346 -159.8429
24.833057 95.349 -160.1412
25.013008 95.351 -160.4354
25.194263 95.354 -160.7242
25.376831 95.356 -161.0069
25.560722 95.360 -161.2833
25.745945 95.363 -161.5544
25.932510 95.368 -161.8215
26.120428 95.374 -162.0867
26.309708 95.380 -162.3521
26.500359 95.386 -162.6194
26.692390 95.392 -162.8901
26.885815 95.398 -163.1647
27.080641 95.403 -163.4432
27.276878 95.407 -163.7252
27.474539 95.410 -164.0098
27.673630 95.412 -164.2965
27.874165 95.413 -164.5849
28.076153 95.413 -164.8751
28.279604 95.414 -165.1675
28.484529 95.414 -165.4627
28.690941 95.414 -165.7612
28.898848 95.413 -166.0625
29.108261 95.412 -166.3659
29.319191 95.411 -166.6692
29.531651 95.409 -166.9700
29.745649 95.406 -167.2654
29.961199 95.403 -167.5528
30.178310 95.399 -167.8306
30.396996 95.396 -168.0982
30.617264 95.393 -168.3565
30.839128 95.391 -168.6076
31.062601 95.389 -168.8546
31.287693 95.388 -169.1006
31.514416 95.387 -169.3485
31.742783 95.387 -169.6002
31.972803 95.386 -169.8568
32.204491 95.386 -170.1184
32.437859 95.385 -170.3842
32.672916 95.384 -170.6536
32.909679 95.383 -170.9257
33.148155 95.382 -171.2001
33.388359 95.382 -171.4763
33.630306 95.381 -171.7539
33.874004 95.380 -172.0317
34.119469 95.379 -172.3082
34.366711 95.376 -172.5812
34.615746 95.372 -172.8481
34.866585 95.367 -173.1065
35.119244 95.360 -173.3547
35.373734 95.351 -173.5917
35.630066 95.342 -173.8176
35.888256 95.331 -174.0334
36.148315 95.318 -174.2402
36.410259 95.303 -174.4394
36.674103 95.286 -174.6320
36.939857 95.267 -174.8190
37.207539 95.246 -175.0018
37.477161 95.224 -175.1830
37.748737 95.200 -175.3667
38.022282 95.178 -175.5593
38.297806 95.158 -175.7684
38.575329 95.141 -176.0020
38.854862 95.129 -176.2663
39.136421 95.122 -176.5634
39.420021 95.121 -176.8893
39.705673 95.124 -177.2332
39.993397 95.130 -177.5775
40.283207 95.139 -177.9012
40.575115 95.149 -178.1833
40.869141 95.160 -178.4081
41.165295 95.171 -178.5689
41.463596 95.180 -178.6711
41.764057 95.188 -178.7315
42.066696 95.193 -178.7757
42.371529 95.193 -178.8328
42.678570 95.186 -178.9292
42.987835 95.173 -179.0835
43.299343 95.154 -179.3031
43.613110 95.129 -179.5834
43.929150 95.100 -179.9097
44.247478 95.072 179.7383
44.568115 95.047 179.3823
44.891075 95.026 179.0396
45.216373 95.013 178.7203
45.544029 95.005 178.4267
45.874062 95.001 178.1544
46.206486 94.998 177.8954
46.541317 94.995 177.6412
46.878574 94.989 177.3849
47.218277 94.981 177.1225
47.560440 94.972 176.8528
47.905083 94.964 176.5767
48.252224 94.957 176.2974
48.601879 94.951 176.0198
48.954067 94.947 175.7500
49.308807 94.944 175.4944
49.666119 94.939 175.2574
50.026020 94.932 175.0398
50.388531 94.922 174.8378
50.753666 94.909 174.6442
51.121449 94.895 174.4501
51.491894 94.880 174.2482
51.865025 94.866 174.0345
52.240860 94.853 173.8092
52.619419 94.841 173.5757
53.000721 94.830 173.3389
53.384785 94.819 173.1036
53.771633 94.807 172.8727
54.161285 94.793 172.6473
54.553761 94.777 172.4265
54.949081 94.761 172.2085
55.347263 94.744 171.9921
55.748333 94.727 171.7770
56.152309 94.712 171.5648
56.559212 94.697 171.3583
56.969063 94.682 171.1602
57.381886 94.667 170.9714
57.797699 94.651 170.7907
58.216526 94.633 170.6140
58.638386 94.613 170.4363
59.063305 94.592 170.2537
59.491302 94.571 170.0649
59.922401 94.549 169.8712
60.356625 94.529 169.6754
60.793995 94.510 169.4787
61.234531 94.495 169.2798
61.678261 94.481 169.0746
62.125206 94.469 168.8576
62.575390 94.456 168.6255
63.028835 94.441 168.3795
63.485569 94.424 168.1257
63.945610 94.403 167.8743
64.408989 94.380 167.6362
64.875725 94.357 167.4196
65.345840 94.334 167.2287
65.819366 94.312 167.0624
66.296318 94.291 166.9159
66.776726 94.270 166.7819
67.260620 94.250 166.6520
67.748016 94.230 166.5187
68.238945 94.213 166.3775
68.733429 94.199 166.2289
69.231499 94.189 166.0796
69.733177 94.184 165.9387
70.238495 94.183 165.8112
70.747475 94.183 165.6909
71.260139 94.181 165.5603
71.776520 94.171 165.4011
72.296638 94.150 165.2062
72.820526 94.118 164.9825
73.348213 94.080 164.7426
73.879723 94.039 164.4958
74.415085 94.001 164.2479
74.954330 93.967 164.0058
75.497482 93.937 163.7777
76.044571 93.909 163.5668
76.595619 93.883 163.3683
77.150665 93.858 163.1764
77.709732 93.833 162.9907
78.272850 93.807 162.8147
78.840050 93.782 162.6482
79.411354 93.757 162.4857
79.986801 93.733 162.3224
80.566422 93.707 162.1588
81.150238 93.682 161.9984
81.738289 93.656 161.8418
82.330597 93.631 161.6857
82.927200 93.608 161.5257
83.528122 93.585 161.3610
84.133400 93.561 161.1953
84.743065 93.538 161.0340
85.357147 93.514 160.8809
85.975677 93.490 160.7352
86.598694 93.466 160.5921
87.226227 93.441 160.4466
87.858307 93.415 160.2971
88.494965 93.388 160.1453
89.136238 93.359 159.9930
89.782158 93.330 159.8409
90.432755 93.303 159.6877
91.088066 93.276 159.5328
91.748131 93.250 159.3781
92.412979 93.224 159.2278
93.082642 93.198 159.0851
93.757156 93.171 158.9499
94.436562 93.143 158.8190
95.120888 93.115 158.6885
95.810173 93.087 158.5565
96.504456 93.060 158.4234
97.203766 93.032 158.2913
97.908142 93.005 158.1616
98.617622 92.977 158.0336
99.332245 92.949 157.9055
100.052048 92.919 157.7768
100.777069 92.890 157.6502
101.507339 92.860 157.5304
102.242905 92.830 157.4194
102.983795 92.800 157.3142
103.730057 92.770 157.2072
104.481728 92.739 157.0916
105.238846 92.708 156.9656
106.001450 92.677 156.8352
106.769577 92.647 156.7092
107.543274 92.618 156.5938
108.322578 92.590 156.4907
109.107529 92.564 156.3970
109.898170 92.538 156.3084
110.694534 92.510 156.2203
111.496674 92.477 156.1298
112.304626 92.441 156.0366
113.118431 92.402 155.9427
113.938133 92.365 155.8531
114.763779 92.329 155.7752
115.595406 92.296 155.7166
116.433060 92.264 155.6837
117.276779 92.234 155.6774
118.126617 92.204 155.6909
118.982613 92.178 155.7100
119.844810 92.155 155.7125
120.713257 92.136 155.6727
121.587997 92.120 155.5763
122.469070 92.104 155.4327
123.356529 92.087 155.2710
124.250420 92.068 155.1227
125.150787 92.046 155.0052
126.057678 92.022 154.9162
126.971146 91.997 154.8419
127.891228 91.971 154.7715
128.817978 91.941 154.7038
129.751450 91.907 154.6433
130.691681 91.870 154.5885
131.638733 91.831 154.5231
132.592636 91.790 154.4243
133.553452 91.746 154.2820
134.521240 91.697 154.1078
135.496033 91.643 153.9283
136.477890 91.585 153.7717
137.466858 91.526 153.6583
138.462997 91.468 153.5983
139.466354 91.415 153.5880
140.476990 91.370 153.6065
141.494949 91.336 153.6235
142.520279 91.310 153.6143
143.553040 91.292 153.5692
144.593277 91.275 153.4896
145.641052 91.255 153.3821
146.696426 91.227 153.2579
147.759445 91.193 153.1328
148.830170 91.151 153.0230
149.908661 91.107 152.9397
150.994965 91.061 152.8856
152.089142 91.016 152.8578
153.191238 90.971 152.8534
154.301331 90.928 152.8759
155.419464 90.885 152.9344
156.545700 90.842 153.0371
157.680099 90.796 153.1835
158.822708 90.748 153.3611
159.973602 90.698 153.5515
161.132843 90.649 153.7363
162.300476 90.607 153.9032
163.476578 90.575 154.0489
164.661194 90.556 154.1813
165.854401 90.548 154.3146
167.056244 90.548 154.4562
168.266800 90.550 154.5981
169.486130 90.550 154.7196
170.714294 90.548 154.8016
171.951355 90.546 154.8422
173.197388 90.545 154.8576
174.452454 90.545 154.8627
175.716614 90.545 154.8596
176.989929 90.547 154.8463
178.272476 90.549 154.8239
179.564316 90.549 154.7876
180.865509 90.547 154.7234
182.176132 90.543 154.6257
183.496262 90.538 154.5037
184.825958 90.531 154.3665
186.165283 90.521 154.2160
187.514313 90.507 154.0567
188.873123 90.489 153.8969
190.241776 90.467 153.7412
191.620346 90.444 153.5898
193.008911 90.418 153.4426
194.407532 90.392 153.3027
195.816284 90.364 153.1757
197.235245 90.334 153.0668
198.664490 90.302 152.9766
200.104095 90.268 152.9013
201.554138 90.234 152.8357
203.014679 90.200 152.7758
204.485809 90.166 152.7206
205.967590 90.132 152.6701
207.460114 90.099 152.6245
208.963455 90.066 152.5833
210.477692 90.033 152.5464
212.002899 90.001 152.5142
213.539154 89.968 152.4873
215.086548 89.936 152.4666
216.645157 89.904 152.4532
218.215057 89.872 152.4460
219.796341 89.840 152.4416
221.389069 89.807 152.4367
222.993347 89.774 152.4304
224.609253 89.742 152.4232
226.236862 89.710 152.4158
227.876266 89.680 152.4095
229.527557 89.650 152.4057
231.190811 89.620 152.4052
232.866119 89.590 152.4072
234.553558 89.560 152.4105
236.253235 89.530 152.4146
237.965225 89.501 152.4200
239.689621 89.471 152.4288
241.426514 89.442 152.4419
243.175995 89.412 152.4590
244.938141 89.383 152.4788
246.713058 89.354 152.4997
248.500839 89.325 152.5208
250.301575 89.296 152.5430
252.115356 89.268 152.5680
253.942291 89.240 152.5969
255.782455 89.212 152.6295
257.635956 89.185 152.6639
259.502899 89.158 152.6984
261.383362 89.131 152.7325
263.277466 89.104 152.7670
265.185272 89.078 152.8032
267.106903 89.051 152.8417
269.042480 89.025 152.8826
270.992065 88.998 152.9252
272.955780 88.971 152.9689
274.933716 88.945 153.0123
276.925995 88.918 153.0538
278.932709 88.891 153.0920
280.953979 88.864 153.1270
282.989899 88.836 153.1605
285.040558 88.808 153.1957
287.106079 88.780 153.2360
289.186554 88.753 153.2826
291.282104 88.727 153.3346
293.392853 88.702 153.3899
295.518890 88.677 153.4467
297.660339 88.653 153.5033
299.817322 88.628 153.5594
301.989929 88.602 153.6170
304.178284 88.576 153.6786
306.382477 88.550 153.7447
308.602661 88.524 153.8128
310.838928 88.499 153.8796
313.091400 88.475 153.9431
315.360199 88.452 154.0027
317.645416 88.430 154.0597
319.947205 88.407 154.1163
322.265686 88.385 154.1749
324.600952 88.363 154.2368
326.953156 88.341 154.3013
329.322388 88.320 154.3674
331.708801 88.299 154.4348
334.112488 88.279 154.5037
336.533600 88.261 154.5751
338.972260 88.242 154.6497
341.428589 88.224 154.7261
343.902710 88.205 154.8007
346.394775 88.185 154.8710
348.904907 88.165 154.9366
351.433228 88.145 154.9983
353.979858 88.125 155.0568
356.544952 88.106 155.1125
359.128632 88.087 155.1654
361.731018 88.069 155.2162
364.352264 88.050 155.2659
366.992523 88.031 155.3163
369.651917 88.012 155.3681
372.330566 87.993 155.4213
375.028625 87.974 155.4751
377.746246 87.955 155.5290
380.483551 87.937 155.5832
383.240692 87.918 155.6379
386.017822 87.900 155.6940
