* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:14:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T 4U Natural R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.106 -80.2326
20.287556 85.131 -80.4200
20.434568 85.167 -80.6971
20.582645 85.213 -81.0411
20.731796 85.263 -81.4318
20.882027 85.317 -81.8535
21.033346 85.372 -82.2946
21.185762 85.428 -82.7466
21.339283 85.485 -83.2030
21.493916 85.542 -83.6592
21.649670 85.601 -84.1119
21.806553 85.661 -84.5592
21.964573 85.723 -85.0006
22.123737 85.788 -85.4364
22.284056 85.854 -85.8681
22.445536 85.923 -86.2977
22.608185 85.992 -86.7272
22.772013 86.063 -87.1588
22.937029 86.133 -87.5935
23.103241 86.203 -88.0321
23.270657 86.271 -88.4740
23.439285 86.337 -88.9181
23.609137 86.399 -89.3624
23.780218 86.459 -89.8047
23.952539 86.515 -90.2430
24.126110 86.568 -90.6755
24.300938 86.619 -91.1011
24.477032 86.668 -91.5200
24.654402 86.717 -91.9329
24.833057 86.765 -92.3419
25.013008 86.813 -92.7496
25.194263 86.863 -93.1591
25.376831 86.914 -93.5736
25.560722 86.967 -93.9958
25.745945 87.022 -94.4280
25.932510 87.078 -94.8711
26.120428 87.135 -95.3252
26.309708 87.192 -95.7891
26.500359 87.250 -96.2604
26.692390 87.307 -96.7358
26.885815 87.364 -97.2117
27.080641 87.420 -97.6842
27.276878 87.475 -98.1504
27.474539 87.529 -98.6078
27.673630 87.583 -99.0559
27.874165 87.637 -99.4956
28.076153 87.691 -99.9294
28.279604 87.746 -100.3612
28.484529 87.801 -100.7952
28.690941 87.857 -101.2356
28.898848 87.912 -101.6852
29.108261 87.967 -102.1451
29.319191 88.021 -102.6139
29.531651 88.072 -103.0881
29.745649 88.122 -103.5625
29.961199 88.170 -104.0310
30.178310 88.216 -104.4883
30.396996 88.261 -104.9304
30.617264 88.306 -105.3556
30.839128 88.351 -105.7645
31.062601 88.397 -106.1602
31.287693 88.443 -106.5467
31.514416 88.489 -106.9286
31.742783 88.536 -107.3098
31.972803 88.581 -107.6931
32.204491 88.625 -108.0799
32.437859 88.667 -108.4712
32.672916 88.709 -108.8675
32.909679 88.750 -109.2699
33.148155 88.791 -109.6798
33.388359 88.833 -110.0988
33.630306 88.875 -110.5281
33.874004 88.919 -110.9678
34.119469 88.964 -111.4160
34.366711 89.009 -111.8693
34.615746 89.055 -112.3233
34.866585 89.101 -112.7730
35.119244 89.147 -113.2140
35.373734 89.191 -113.6430
35.630066 89.234 -114.0579
35.888256 89.274 -114.4575
36.148315 89.312 -114.8417
36.410259 89.347 -115.2108
36.674103 89.379 -115.5670
36.939857 89.411 -115.9145
37.207539 89.443 -116.2603
37.477161 89.477 -116.6141
37.748737 89.514 -116.9862
38.022282 89.554 -117.3856
38.297806 89.597 -117.8165
38.575329 89.641 -118.2770
38.854862 89.685 -118.7589
39.136421 89.729 -119.2496
39.420021 89.770 -119.7361
39.705673 89.810 -120.2085
39.993397 89.849 -120.6628
40.283207 89.887 -121.1009
40.575115 89.924 -121.5295
40.869141 89.959 -121.9563
41.165295 89.993 -122.3870
41.463596 90.024 -122.8240
41.764057 90.054 -123.2665
42.066696 90.083 -123.7116
42.371529 90.113 -124.1563
42.678570 90.143 -124.5982
42.987835 90.175 -125.0358
43.299343 90.207 -125.4672
43.613110 90.239 -125.8906
43.929150 90.271 -126.3041
44.247478 90.301 -126.7076
44.568115 90.331 -127.1037
44.891075 90.359 -127.4977
45.216373 90.388 -127.8963
45.544029 90.416 -128.3058
45.874062 90.445 -128.7290
46.206486 90.474 -129.1650
46.541317 90.503 -129.6088
46.878574 90.533 -130.0537
47.218277 90.562 -130.4930
47.560440 90.591 -130.9216
47.905083 90.619 -131.3372
48.252224 90.646 -131.7400
48.601879 90.673 -132.1331
48.954067 90.698 -132.5211
49.308807 90.723 -132.9098
49.666119 90.747 -133.3039
50.026020 90.771 -133.7063
50.388531 90.794 -134.1170
50.753666 90.816 -134.5337
51.121449 90.839 -134.9530
51.491894 90.862 -135.3721
51.865025 90.885 -135.7891
52.240860 90.908 -136.2033
52.619419 90.931 -136.6142
53.000721 90.953 -137.0213
53.384785 90.973 -137.4246
53.771633 90.991 -137.8251
54.161285 91.008 -138.2252
54.553761 91.023 -138.6277
54.949081 91.038 -139.0345
55.347263 91.052 -139.4444
55.748333 91.068 -139.8537
56.152309 91.085 -140.2570
56.559212 91.105 -140.6496
56.969063 91.125 -141.0292
57.381886 91.147 -141.3980
57.797699 91.169 -141.7625
58.216526 91.190 -142.1327
58.638386 91.209 -142.5195
59.063305 91.228 -142.9315
59.491302 91.245 -143.3718
59.922401 91.261 -143.8351
60.356625 91.275 -144.3091
60.793995 91.288 -144.7770
61.234531 91.300 -145.2233
61.678261 91.311 -145.6397
62.125206 91.322 -146.0288
62.575390 91.335 -146.4033
63.028835 91.349 -146.7800
63.485569 91.365 -147.1717
63.945610 91.381 -147.5795
64.408989 91.396 -147.9927
64.875725 91.409 -148.3934
65.345840 91.420 -148.7637
65.819366 91.430 -149.0918
66.296318 91.439 -149.3759
66.776726 91.449 -149.6255
67.260620 91.463 -149.8613
67.748016 91.478 -150.1079
68.238945 91.493 -150.3839
68.733429 91.506 -150.6943
69.231499 91.513 -151.0330
69.733177 91.514 -151.3919
70.238495 91.511 -151.7688
70.747475 91.506 -152.1677
71.260139 91.499 -152.5928
71.776520 91.490 -153.0437
72.296638 91.480 -153.5140
72.820526 91.469 -153.9915
73.348213 91.457 -154.4611
73.879723 91.446 -154.9107
74.415085 91.438 -155.3358
74.954330 91.435 -155.7407
75.497482 91.437 -156.1318
76.044571 91.444 -156.5129
76.595619 91.454 -156.8853
77.150665 91.465 -157.2514
77.709732 91.475 -157.6138
78.272850 91.482 -157.9719
78.840050 91.484 -158.3221
79.411354 91.482 -158.6630
79.986801 91.478 -159.0001
80.566422 91.473 -159.3415
81.150238 91.466 -159.6902
81.738289 91.459 -160.0414
82.330597 91.452 -160.3881
82.927200 91.444 -160.7272
83.528122 91.437 -161.0619
84.133400 91.430 -161.3978
84.743065 91.422 -161.7405
85.357147 91.414 -162.0943
85.975677 91.405 -162.4586
86.598694 91.395 -162.8256
87.226227 91.384 -163.1862
87.858307 91.374 -163.5392
88.494965 91.364 -163.8922
89.136238 91.352 -164.2488
89.782158 91.338 -164.6008
90.432755 91.320 -164.9368
91.088066 91.301 -165.2543
91.748131 91.280 -165.5592
92.412979 91.257 -165.8539
93.082642 91.229 -166.1310
93.757156 91.197 -166.3805
94.436562 91.164 -166.5981
95.120888 91.130 -166.7839
95.810173 91.096 -166.9354
96.504456 91.062 -167.0464
97.203766 91.025 -167.1150
97.908142 90.986 -167.1528
98.617622 90.947 -167.1835
99.332245 90.910 -167.2257
100.052048 90.880 -167.2765
100.777069 90.862 -167.3128
101.507339 90.862 -167.3144
102.242905 90.881 -167.2858
102.983795 90.918 -167.2568
103.730057 90.968 -167.2651
104.481728 91.023 -167.3372
105.238846 91.074 -167.4862
106.001450 91.116 -167.7221
106.769577 91.145 -168.0559
107.543274 91.163 -168.4853
108.322578 91.172 -168.9798
109.107529 91.175 -169.4886
109.898170 91.171 -169.9730
110.694534 91.160 -170.4312
111.496674 91.143 -170.8896
112.304626 91.119 -171.3728
113.118431 91.090 -171.8828
113.938133 91.057 -172.3954
114.763779 91.022 -172.8652
115.595406 90.987 -173.2373
116.433060 90.954 -173.4682
117.276779 90.923 -173.5453
118.126617 90.904 -173.4820
118.982613 90.910 -173.2857
119.844810 90.942 -172.9520
120.713257 90.988 -172.5361
121.587997 91.026 -172.2166
122.469070 91.048 -172.2057
123.356529 91.062 -172.5638
124.250420 91.080 -173.1484
125.150787 91.103 -173.7628
126.057678 91.123 -174.3131
126.971146 91.127 -174.8094
127.891228 91.113 -175.2774
128.817978 91.084 -175.7187
129.751450 91.043 -176.1345
130.691681 90.997 -176.5301
131.638733 90.954 -176.8895
132.592636 90.921 -177.1814
133.553452 90.900 -177.4033
134.521240 90.888 -177.5963
135.496033 90.880 -177.8076
136.477890 90.874 -178.0516
137.466858 90.869 -178.3128
138.462997 90.866 -178.5708
139.466354 90.867 -178.8134
140.476990 90.870 -179.0361
141.494949 90.870 -179.2395
142.520279 90.866 -179.4276
143.553040 90.858 -179.6053
144.593277 90.844 -179.7784
145.641052 90.828 -179.9551
146.696426 90.809 179.8581
147.759445 90.787 179.6584
148.830170 90.764 179.4463
149.908661 90.738 179.2242
150.994965 90.712 178.9953
152.089142 90.684 178.7641
153.191238 90.656 178.5361
154.301331 90.627 178.3178
155.419464 90.597 178.1149
156.545700 90.569 177.9301
157.680099 90.542 177.7613
158.822708 90.519 177.6030
159.973602 90.498 177.4489
161.132843 90.480 177.2955
162.300476 90.463 177.1422
163.476578 90.445 176.9902
164.661194 90.425 176.8419
165.854401 90.403 176.6995
167.056244 90.378 176.5636
168.266800 90.350 176.4316
169.486130 90.319 176.2957
170.714294 90.285 176.1431
171.951355 90.249 175.9619
173.197388 90.213 175.7486
174.452454 90.178 175.5120
175.716614 90.147 175.2710
176.989929 90.120 175.0469
178.272476 90.096 174.8533
179.564316 90.072 174.6895
180.865509 90.047 174.5436
182.176132 90.021 174.4032
183.496262 89.995 174.2636
184.825958 89.969 174.1285
186.165283 89.943 174.0030
187.514313 89.918 173.8880
188.873123 89.892 173.7794
190.241776 89.865 173.6708
191.620346 89.837 173.5576
193.008911 89.810 173.4403
194.407532 89.782 173.3224
195.816284 89.754 173.2056
197.235245 89.726 173.0899
198.664490 89.697 172.9761
200.104095 89.668 172.8640
201.554138 89.638 172.7521
203.014679 89.609 172.6452
204.485809 89.579 172.5483
205.967590 89.549 172.4619
207.460114 89.519 172.3873
208.963455 89.488 172.3240
210.477692 89.458 172.2703
212.002899 89.427 172.2275
213.539154 89.396 172.1974
215.086548 89.366 172.1810
216.645157 89.335 172.1800
218.215057 89.305 172.1959
219.796341 89.277 172.2256
221.389069 89.251 172.2603
222.993347 89.228 172.2901
224.609253 89.209 172.3127
226.236862 89.193 172.3351
227.876266 89.180 172.3646
229.527557 89.170 172.4031
231.190811 89.162 172.4467
232.866119 89.158 172.4898
234.553558 89.156 172.5265
236.253235 89.154 172.5482
237.965225 89.151 172.5421
239.689621 89.148 172.4932
241.426514 89.143 172.3938
243.175995 89.136 172.2536
244.938141 89.127 172.0907
246.713058 89.115 171.9203
248.500839 89.098 171.7546
250.301575 89.078 171.6035
252.115356 89.054 171.4698
253.942291 89.029 171.3506
255.782455 89.003 171.2415
257.635956 88.977 171.1395
259.502899 88.951 171.0438
261.383362 88.926 170.9540
263.277466 88.901 170.8705
265.185272 88.876 170.7942
267.106903 88.851 170.7256
269.042480 88.827 170.6652
270.992065 88.802 170.6133
272.955780 88.778 170.5698
274.933716 88.754 170.5334
276.925995 88.731 170.5008
278.932709 88.708 170.4704
280.953979 88.685 170.4422
282.989899 88.662 170.4164
285.040558 88.639 170.3921
287.106079 88.616 170.3681
289.186554 88.594 170.3439
291.282104 88.572 170.3200
293.392853 88.549 170.2975
295.518890 88.526 170.2774
297.660339 88.504 170.2611
299.817322 88.481 170.2501
301.989929 88.460 170.2448
304.178284 88.438 170.2433
306.382477 88.417 170.2424
308.602661 88.395 170.2403
310.838928 88.374 170.2369
313.091400 88.351 170.2328
315.360199 88.329 170.2295
317.645416 88.306 170.2281
319.947205 88.283 170.2296
322.265686 88.261 170.2350
324.600952 88.238 170.2448
326.953156 88.216 170.2585
329.322388 88.194 170.2755
331.708801 88.172 170.2949
334.112488 88.151 170.3162
336.533600 88.129 170.3386
338.972260 88.108 170.3611
341.428589 88.088 170.3825
343.902710 88.068 170.4023
346.394775 88.048 170.4213
348.904907 88.029 170.4409
351.433228 88.010 170.4633
353.979858 87.992 170.4902
