* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 10, 24 11:00:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Origin Kadenz L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.557 72.3651
0.368865 31.592 72.3194
0.371538 31.644 72.2528
0.374230 31.708 72.1725
0.376942 31.780 72.0847
0.379673 31.857 71.9937
0.382424 31.937 71.9023
0.385196 32.019 71.8123
0.387987 32.102 71.7245
0.390798 32.186 71.6395
0.393630 32.271 71.5574
0.396483 32.357 71.4783
0.399356 32.443 71.4022
0.402250 32.531 71.3289
0.405165 32.618 71.2583
0.408101 32.707 71.1905
0.411058 32.796 71.1252
0.414037 32.886 71.0622
0.417037 32.976 71.0016
0.420059 33.067 70.9431
0.423103 33.159 70.8867
0.426169 33.251 70.8321
0.429257 33.344 70.7792
0.432368 33.438 70.7280
0.435501 33.532 70.6782
0.438656 33.627 70.6298
0.441835 33.723 70.5825
0.445037 33.819 70.5362
0.448262 33.916 70.4908
0.451510 34.014 70.4462
0.454782 34.113 70.4021
0.458077 34.212 70.3585
0.461397 34.312 70.3152
0.464740 34.413 70.2720
0.468108 34.514 70.2287
0.471500 34.616 70.1853
0.474917 34.719 70.1416
0.478358 34.823 70.0974
0.481825 34.927 70.0526
0.485316 35.032 70.0070
0.488833 35.138 69.9605
0.492375 35.245 69.9128
0.495943 35.352 69.8640
0.499537 35.461 69.8138
0.503157 35.570 69.7620
0.506803 35.680 69.7086
0.510475 35.790 69.6533
0.514175 35.902 69.5961
0.517900 36.014 69.5367
0.521653 36.127 69.4751
0.525434 36.241 69.4111
0.529241 36.355 69.3445
0.533076 36.471 69.2752
0.536939 36.587 69.2031
0.540830 36.705 69.1281
0.544749 36.823 69.0499
0.548696 36.942 68.9685
0.552673 37.061 68.8838
0.556677 37.182 68.7955
0.560711 37.304 68.7036
0.564774 37.426 68.6079
0.568867 37.549 68.5084
0.572989 37.674 68.4048
0.577141 37.799 68.2971
0.581324 37.925 68.1852
0.585536 38.052 68.0689
0.589779 38.179 67.9481
0.594053 38.308 67.8227
0.598358 38.438 67.6926
0.602694 38.569 67.5576
0.607061 38.700 67.4178
0.611460 38.833 67.2729
0.615891 38.966 67.1229
0.620354 39.101 66.9676
0.624849 39.236 66.8070
0.629377 39.373 66.6410
0.633938 39.510 66.4695
0.638532 39.649 66.2924
0.643159 39.788 66.1095
0.647819 39.928 65.9209
0.652514 40.070 65.7264
0.657242 40.212 65.5260
0.662005 40.356 65.3195
0.666802 40.501 65.1070
0.671634 40.646 64.8883
0.676501 40.793 64.6634
0.681403 40.941 64.4322
0.686341 41.089 64.1947
0.691314 41.239 63.9508
0.696324 41.390 63.7006
0.701370 41.541 63.4441
0.706452 41.693 63.1814
0.711571 41.846 62.9128
0.716728 41.998 62.6387
0.721921 42.149 62.3600
0.727153 42.299 62.0777
0.732422 42.446 61.7934
0.737729 42.590 61.5088
0.743075 42.732 61.2257
0.748460 42.872 60.9454
0.753883 43.011 60.6689
0.759346 43.149 60.3965
0.764849 43.287 60.1284
0.770391 43.424 59.8647
0.775974 43.561 59.6051
0.781597 43.699 59.3495
0.787261 43.836 59.0975
0.792966 43.974 58.8488
0.798712 44.111 58.6032
0.804500 44.249 58.3603
0.810329 44.387 58.1199
0.816201 44.524 57.8815
0.822116 44.662 57.6450
0.828073 44.800 57.4099
0.834074 44.939 57.1761
0.840118 45.077 56.9431
0.846206 45.215 56.7106
0.852338 45.354 56.4785
0.858514 45.492 56.2464
0.864735 45.631 56.0139
0.871001 45.770 55.7809
0.877313 45.909 55.5470
0.883670 46.048 55.3119
0.890074 46.187 55.0754
0.896524 46.326 54.8373
0.903020 46.466 54.5971
0.909564 46.606 54.3547
0.916155 46.745 54.1098
0.922794 46.885 53.8622
0.929481 47.026 53.6115
0.936216 47.166 53.3575
0.943000 47.307 53.1001
0.949834 47.447 52.8389
0.956717 47.588 52.5736
0.963649 47.730 52.3041
0.970632 47.871 52.0302
0.977666 48.013 51.7515
0.984750 48.155 51.4678
0.991886 48.297 51.1790
0.999074 48.440 50.8848
1.006314 48.583 50.5849
1.013606 48.726 50.2791
1.020951 48.870 49.9673
1.028349 49.014 49.6492
1.035801 49.158 49.3246
1.043307 49.303 48.9934
1.050867 49.448 48.6553
1.058482 49.594 48.3104
1.066152 49.740 47.9586
1.073878 49.886 47.6001
1.081660 50.033 47.2353
1.089498 50.181 46.8648
1.097393 50.328 46.4898
1.105345 50.476 46.1114
1.113355 50.624 45.7309
1.121423 50.772 45.3496
1.129549 50.919 44.9682
1.137734 51.067 44.5873
1.145979 51.215 44.2071
1.154283 51.362 43.8279
1.162647 51.509 43.4496
1.171072 51.656 43.0722
1.179558 51.803 42.6955
1.188106 51.950 42.3197
1.196715 52.096 41.9444
1.205387 52.243 41.5696
1.214122 52.389 41.1951
1.222920 52.535 40.8208
1.231782 52.681 40.4465
1.240708 52.827 40.0720
1.249699 52.973 39.6972
1.258754 53.119 39.3220
1.267876 53.264 38.9460
1.277063 53.410 38.5692
1.286318 53.555 38.1913
1.295639 53.701 37.8122
1.305027 53.846 37.4316
1.314484 53.991 37.0493
1.324009 54.137 36.6652
1.333604 54.282 36.2789
1.343268 54.428 35.8904
1.353002 54.573 35.4993
1.362806 54.719 35.1055
1.372681 54.864 34.7086
1.382628 55.010 34.3086
1.392647 55.156 33.9051
1.402739 55.302 33.4981
1.412904 55.448 33.0872
1.423142 55.595 32.6725
1.433455 55.741 32.2538
1.443843 55.888 31.8315
1.454305 56.035 31.4058
1.464844 56.182 30.9774
1.475459 56.328 30.5470
1.486150 56.475 30.1153
1.496920 56.621 29.6831
1.507767 56.767 29.2507
1.518693 56.913 28.8183
1.529698 57.058 28.3862
1.540783 57.202 27.9543
1.551948 57.347 27.5224
1.563194 57.491 27.0904
1.574521 57.634 26.6583
1.585931 57.777 26.2258
1.597423 57.920 25.7927
1.608999 58.062 25.3587
1.620658 58.204 24.9238
1.632402 58.346 24.4877
1.644232 58.488 24.0500
1.656146 58.629 23.6107
1.668147 58.770 23.1694
1.680235 58.911 22.7258
1.692411 59.051 22.2798
1.704675 59.191 21.8309
1.717028 59.331 21.3791
1.729470 59.471 20.9238
1.742003 59.611 20.4650
1.754626 59.751 20.0022
1.767341 59.890 19.5353
1.780147 60.030 19.0639
1.793047 60.170 18.5879
1.806040 60.309 18.1072
1.819128 60.448 17.6216
1.832310 60.587 17.1314
1.845587 60.726 16.6369
1.858961 60.864 16.1383
1.872432 61.002 15.6362
1.886001 61.139 15.1309
1.899667 61.275 14.6229
1.913433 61.411 14.1125
1.927299 61.547 13.6001
1.941265 61.682 13.0860
1.955332 61.816 12.5704
1.969501 61.949 12.0536
1.983773 62.082 11.5357
1.998148 62.215 11.0170
2.012627 62.347 10.4975
2.027212 62.479 9.9774
2.041902 62.610 9.4568
2.056698 62.740 8.9357
2.071602 62.871 8.4141
2.086614 63.001 7.8921
2.101734 63.130 7.3695
2.116964 63.260 6.8464
2.132304 63.389 6.3226
2.147756 63.518 5.7978
2.163320 63.646 5.2719
2.178996 63.774 4.7445
2.194786 63.902 4.2151
2.210690 64.030 3.6834
2.226710 64.156 3.1491
2.242845 64.282 2.6120
2.259098 64.408 2.0724
2.275468 64.532 1.5303
2.291957 64.656 0.9860
2.308566 64.779 0.4401
2.325295 64.901 -0.1072
2.342145 65.023 -0.6554
2.359117 65.144 -1.2042
2.376212 65.264 -1.7532
2.393431 65.384 -2.3021
2.410775 65.503 -2.8505
2.428244 65.622 -3.3982
2.445840 65.740 -3.9449
2.463564 65.858 -4.4904
2.481416 65.975 -5.0347
2.499397 66.092 -5.5777
2.517509 66.208 -6.1196
2.535752 66.325 -6.6605
2.554127 66.440 -7.2010
2.572635 66.555 -7.7417
2.591277 66.670 -8.2832
2.610055 66.784 -8.8259
2.628968 66.896 -9.3700
2.648019 67.009 -9.9155
2.667208 67.120 -10.4622
2.686535 67.231 -11.0097
2.706003 67.340 -11.5576
2.725612 67.450 -12.1055
2.745363 67.558 -12.6529
2.765257 67.666 -13.1992
2.785295 67.773 -13.7442
2.805478 67.880 -14.2873
2.825808 67.987 -14.8282
2.846285 68.093 -15.3666
2.866910 68.198 -15.9024
2.887685 68.303 -16.4355
2.908611 68.408 -16.9662
2.929688 68.513 -17.4948
2.950917 68.617 -18.0220
2.972301 68.720 -18.5482
2.993839 68.823 -19.0739
3.015534 68.924 -19.5993
3.037386 69.026 -20.1243
3.059396 69.126 -20.6487
3.081565 69.226 -21.1722
3.103896 69.326 -21.6945
3.126388 69.425 -22.2153
3.149043 69.523 -22.7341
3.171862 69.621 -23.2506
3.194847 69.719 -23.7645
3.217998 69.817 -24.2754
3.241317 69.914 -24.7832
3.264805 70.011 -25.2878
3.288463 70.108 -25.7894
3.312293 70.205 -26.2882
3.336295 70.301 -26.7847
3.360471 70.397 -27.2791
3.384822 70.492 -27.7717
3.409350 70.587 -28.2626
3.434056 70.682 -28.7519
3.458940 70.776 -29.2396
3.484005 70.870 -29.7255
3.509252 70.964 -30.2098
3.534681 71.057 -30.6921
3.560295 71.150 -31.1725
3.586094 71.244 -31.6508
3.612081 71.337 -32.1269
3.638255 71.430 -32.6009
3.664620 71.524 -33.0728
3.691175 71.617 -33.5426
3.717923 71.710 -34.0105
3.744864 71.803 -34.4767
3.772001 71.896 -34.9413
3.799335 71.988 -35.4045
3.826866 72.081 -35.8666
3.854597 72.173 -36.3277
3.882529 72.266 -36.7880
3.910664 72.358 -37.2477
3.939002 72.450 -37.7068
3.967546 72.543 -38.1655
3.996296 72.635 -38.6239
4.025255 72.728 -39.0819
4.054423 72.820 -39.5397
4.083804 72.913 -39.9971
4.113396 73.005 -40.4543
4.143204 73.098 -40.9113
4.173227 73.190 -41.3683
4.203468 73.282 -41.8256
4.233928 73.374 -42.2832
4.264609 73.467 -42.7416
4.295512 73.559 -43.2008
4.326639 73.651 -43.6612
4.357992 73.742 -44.1229
4.389572 73.834 -44.5860
4.421380 73.926 -45.0507
4.453419 74.017 -45.5169
4.485691 74.109 -45.9845
4.518196 74.200 -46.4537
4.550936 74.291 -46.9242
4.583914 74.381 -47.3961
4.617131 74.472 -47.8694
4.650589 74.562 -48.3441
4.684289 74.652 -48.8203
4.718233 74.741 -49.2983
4.752424 74.830 -49.7780
4.786862 74.919 -50.2597
4.821549 75.007 -50.7435
4.856488 75.095 -51.2292
4.891680 75.182 -51.7168
4.927127 75.269 -52.2060
4.962831 75.355 -52.6965
4.998794 75.441 -53.1880
5.035017 75.526 -53.6802
5.071503 75.610 -54.1732
5.108253 75.694 -54.6669
5.145270 75.777 -55.1615
5.182555 75.860 -55.6571
5.220110 75.942 -56.1537
5.257937 76.023 -56.6512
5.296038 76.104 -57.1491
5.334415 76.184 -57.6472
5.373071 76.263 -58.1449
5.412006 76.341 -58.6418
5.451224 76.419 -59.1377
5.490725 76.496 -59.6325
5.530514 76.573 -60.1265
5.570590 76.648 -60.6195
5.610957 76.723 -61.1117
5.651616 76.798 -61.6028
5.692570 76.871 -62.0924
5.733821 76.944 -62.5803
5.775370 77.017 -63.0660
5.817221 77.089 -63.5493
5.859375 77.160 -64.0299
5.901834 77.231 -64.5080
5.944602 77.301 -64.9837
5.987679 77.370 -65.4569
6.031068 77.439 -65.9277
6.074771 77.508 -66.3960
6.118792 77.576 -66.8614
6.163131 77.644 -67.3240
6.207792 77.712 -67.7836
6.252776 77.779 -68.2402
6.298086 77.846 -68.6938
6.343725 77.913 -69.1447
6.389694 77.980 -69.5929
6.435996 78.046 -70.0385
6.482634 78.112 -70.4817
6.529610 78.178 -70.9225
6.576926 78.244 -71.3610
6.624585 78.310 -71.7972
6.672590 78.375 -72.2313
6.720942 78.441 -72.6635
6.769645 78.507 -73.0939
6.818700 78.572 -73.5228
6.868111 78.638 -73.9503
