* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2024 4:31:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tang Zu Xuan Nv 01 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.529 164.0117
20.507813 88.474 162.7326
20.874023 88.297 159.5011
21.240234 88.049 156.8638
21.606445 87.808 155.5071
21.972656 87.684 155.3218
22.338867 87.739 155.8664
22.705078 87.941 156.4945
23.071289 88.191 156.7432
23.437500 88.398 156.5173
23.803711 88.507 155.9349
24.169922 88.498 155.1463
24.536133 88.369 154.2929
24.902344 88.129 153.5708
25.268555 87.811 153.2497
25.634766 87.487 153.5281
26.000977 87.261 154.2922
26.367188 87.215 155.0266
26.733399 87.348 155.0586
27.099610 87.570 153.9851
27.465821 87.771 151.9251
27.832032 87.885 149.4217
28.198243 87.902 147.1176
28.564454 87.862 145.4351
28.930665 87.818 144.4235
29.296876 87.804 143.8294
29.663087 87.817 143.3222
30.029298 87.827 142.7073
30.395509 87.812 141.9849
30.761720 87.770 141.2554
31.127931 87.717 140.5864
31.494142 87.672 139.9568
31.860353 87.643 139.2984
32.226563 87.623 138.5730
32.592774 87.599 137.8066
32.958985 87.569 137.0596
33.325196 87.534 136.3707
33.691407 87.500 135.7321
34.057618 87.469 135.1092
34.423829 87.440 134.4801
34.790040 87.410 133.8530
35.156251 87.380 133.2506
35.522462 87.352 132.6805
35.888673 87.326 132.1255
36.254884 87.299 131.5591
36.621095 87.268 130.9704
36.987306 87.230 130.3712
37.353517 87.188 129.7822
37.719728 87.147 129.2119
38.085939 87.114 128.6514
38.452150 87.088 128.0866
38.818361 87.067 127.5116
39.184572 87.051 126.9278
39.550783 87.036 126.3289
39.916994 87.022 125.6947
40.283205 87.004 125.0105
40.649416 86.977 124.3012
41.015627 86.939 123.6489
41.381838 86.897 123.1625
41.748049 86.868 122.9064
42.114260 86.869 122.8357
42.480471 86.905 122.7934
42.846682 86.959 122.5852
43.212893 86.999 122.0880
43.579103 86.993 121.3189
43.945314 86.927 120.4182
44.311525 86.814 119.5606
44.677736 86.686 118.8553
45.043947 86.582 118.2982
45.410158 86.527 117.8055
45.776369 86.520 117.2980
46.142580 86.540 116.7719
46.508791 86.561 116.3021
46.875002 86.570 115.9795
47.241213 86.565 115.8287
47.607424 86.553 115.7666
47.973635 86.539 115.6316
48.339846 86.520 115.2686
48.706057 86.489 114.6179
49.072268 86.440 113.7549
49.438479 86.376 112.8563
49.804690 86.313 112.1087
50.170901 86.275 111.6076
50.537112 86.279 111.3042
50.903323 86.322 111.0342
51.269534 86.382 110.6160
51.635745 86.423 109.9646
52.001956 86.417 109.1532
52.368167 86.356 108.3853
52.734378 86.255 107.8886
53.100589 86.153 107.7883
53.466800 86.088 108.0303
53.833011 86.079 108.4042
54.199222 86.114 108.6512
54.565432 86.155 108.5892
54.931643 86.166 108.1823
55.297854 86.125 107.5208
55.664065 86.037 106.7416
56.030276 85.924 105.9480
56.396487 85.817 105.1746
56.762698 85.742 104.4073
57.128909 85.706 103.6295
57.495120 85.700 102.8564
57.861331 85.705 102.1363
58.227542 85.703 101.5262
58.593753 85.679 101.0665
58.959964 85.626 100.7720
59.326175 85.543 100.6380
59.692386 85.441 100.6469
60.058597 85.336 100.7660
60.424808 85.249 100.9402
60.791019 85.196 101.0937
61.157230 85.184 101.1493
61.523441 85.207 101.0543
61.889652 85.252 100.7980
62.255863 85.301 100.4066
62.622074 85.341 99.9237
62.988285 85.364 99.3912
63.354496 85.363 98.8433
63.720707 85.340 98.3094
64.086918 85.297 97.8147
64.453129 85.246 97.3693
64.819340 85.203 96.9548
65.185551 85.181 96.5226
65.551762 85.192 96.0134
65.917972 85.238 95.3876
66.284183 85.319 94.6428
66.650394 85.429 93.8059
67.016605 85.559 92.9042
67.382816 85.699 91.9440
67.749027 85.827 90.9184
68.115238 85.917 89.8431
68.481449 85.946 88.7956
68.847660 85.896 87.9244
69.213871 85.765 87.4138
69.580082 85.570 87.4160
69.946293 85.339 87.9872
70.312504 85.110 89.0607
70.678715 84.915 90.4688
71.044926 84.770 91.9985
71.411137 84.677 93.4472
71.777348 84.625 94.6572
72.143559 84.600 95.5230
72.509770 84.591 95.9849
72.875981 84.592 96.0222
73.242192 84.603 95.6507
73.608403 84.627 94.9205
73.974614 84.666 93.9138
74.340825 84.718 92.7420
74.707036 84.776 91.5431
75.073247 84.829 90.4738
75.439458 84.870 89.6866
75.805669 84.897 89.2892
76.171880 84.920 89.2958
76.538091 84.954 89.5967
76.904301 85.012 89.9705
77.270512 85.099 90.1478
77.636723 85.206 89.9039
78.002934 85.315 89.1435
78.369145 85.405 87.9363
78.735356 85.463 86.4927
79.101567 85.482 85.0925
79.467778 85.465 84.0002
79.833989 85.418 83.3979
80.200200 85.346 83.3538
80.566411 85.256 83.8236
80.932622 85.152 84.6719
81.298833 85.038 85.7017
81.665044 84.920 86.6851
82.031255 84.802 87.3990
82.397466 84.685 87.6655
82.763677 84.568 87.3894
83.129888 84.448 86.5779
83.496099 84.329 85.3281
83.862310 84.220 83.7840
84.228521 84.137 82.0835
84.594732 84.096 80.3227
84.960943 84.104 78.5568
85.327154 84.154 76.8338
85.693365 84.227 75.2358
86.059576 84.297 73.8934
86.425787 84.342 72.9594
86.791998 84.350 72.5536
87.158209 84.312 72.7130
87.524420 84.222 73.3784
87.890631 84.076 74.4240
88.256841 83.870 75.7078
88.623052 83.609 77.1059
88.989263 83.313 78.5096
89.355474 83.023 79.7938
89.721685 82.793 80.7963
90.087896 82.674 81.3362
90.454107 82.685 81.2765
90.820318 82.808 80.5935
91.186529 82.996 79.4086
91.552740 83.200 77.9574
91.918951 83.384 76.5105
92.285162 83.529 75.2871
92.651373 83.631 74.3993
93.017584 83.695 73.8466
93.383795 83.728 73.5512
93.750006 83.740 73.4076
94.116217 83.737 73.3223
94.482428 83.728 73.2328
94.848639 83.717 73.1066
95.214850 83.708 72.9330
95.581061 83.702 72.7143
95.947272 83.697 72.4612
96.313483 83.689 72.1891
96.679694 83.675 71.9142
97.045905 83.656 71.6493
97.412116 83.633 71.4008
97.778327 83.607 71.1695
98.144538 83.580 70.9546
98.510749 83.553 70.7572
98.876960 83.525 70.5821
99.243170 83.497 70.4356
99.609381 83.466 70.3218
99.975592 83.433 70.2395
100.341803 83.399 70.1807
100.708014 83.366 70.1330
101.074225 83.336 70.0814
101.440436 83.312 70.0133
101.806647 83.298 69.9213
102.172858 83.294 69.8082
102.539069 83.298 69.6885
102.905280 83.308 69.5876
103.271491 83.321 69.5351
103.637702 83.332 69.5541
104.003913 83.337 69.6501
104.370124 83.335 69.8045
104.736335 83.323 69.9765
105.102546 83.301 70.1125
105.468757 83.270 70.1595
105.834968 83.232 70.0774
106.201179 83.190 69.8458
106.567390 83.152 69.4653
106.933601 83.122 68.9552
107.299812 83.104 68.3498
107.666023 83.099 67.6940
108.032234 83.104 67.0376
108.398445 83.114 66.4282
108.764656 83.124 65.9031
109.130867 83.130 65.4825
109.497078 83.129 65.1674
109.863289 83.120 64.9423
110.229500 83.104 64.7820
110.595710 83.082 64.6590
110.961921 83.058 64.5501
111.328132 83.034 64.4384
111.694343 83.011 64.3136
112.060554 82.992 64.1701
112.426765 82.976 64.0061
112.792976 82.963 63.8223
113.159187 82.951 63.6212
113.525398 82.938 63.4076
113.891609 82.924 63.1870
114.257820 82.907 62.9657
114.624031 82.890 62.7497
114.990242 82.871 62.5437
115.356453 82.853 62.3506
115.722664 82.836 62.1713
116.088875 82.820 62.0041
116.455086 82.806 61.8456
116.821297 82.793 61.6913
117.187508 82.779 61.5370
117.553719 82.764 61.3797
117.919930 82.748 61.2182
118.286141 82.730 61.0532
118.652352 82.710 60.8877
119.018563 82.688 60.7257
119.384774 82.665 60.5725
119.750985 82.641 60.4328
120.117196 82.616 60.3103
120.483407 82.592 60.2059
120.849618 82.570 60.1165
121.215829 82.549 60.0352
121.582040 82.532 59.9512
121.948250 82.518 59.8523
122.314461 82.506 59.7267
122.680672 82.496 59.5666
123.046883 82.486 59.3695
123.413094 82.476 59.1392
123.779305 82.464 58.8846
124.145516 82.451 58.6180
124.511727 82.438 58.3520
124.877938 82.423 58.0971
125.244149 82.410 57.8601
125.610360 82.398 57.6440
125.976571 82.387 57.4486
126.342782 82.377 57.2717
126.708993 82.368 57.1112
127.075204 82.359 56.9651
127.441415 82.350 56.8326
127.807626 82.340 56.7138
128.173837 82.328 56.6086
128.540048 82.315 56.5167
128.906259 82.301 56.4366
129.272470 82.286 56.3656
129.638681 82.270 56.2993
130.004892 82.253 56.2323
130.371103 82.235 56.1587
130.737314 82.218 56.0728
131.103525 82.200 55.9696
131.469736 82.183 55.8465
131.835947 82.168 55.7026
132.202158 82.153 55.5396
132.568369 82.139 55.3609
132.934579 82.127 55.1710
133.300790 82.115 54.9749
133.667001 82.105 54.7773
134.033212 82.094 54.5820
134.399423 82.083 54.3923
134.765634 82.072 54.2107
135.131845 82.060 54.0389
135.498056 82.047 53.8785
135.864267 82.033 53.7302
136.230478 82.019 53.5942
136.596689 82.005 53.4698
136.962900 81.991 53.3551
137.329111 81.978 53.2475
137.695322 81.964 53.1435
138.061533 81.951 53.0391
138.427744 81.938 52.9309
138.793955 81.925 52.8160
139.160166 81.911 52.6929
139.526377 81.898 52.5617
139.892588 81.884 52.4239
140.258799 81.870 52.2822
140.625010 81.856 52.1401
140.991221 81.842 52.0013
141.357432 81.828 51.8690
141.723643 81.815 51.7453
142.089854 81.802 51.6309
142.456065 81.790 51.5254
142.822276 81.778 51.4271
143.188487 81.767 51.3335
143.554698 81.757 51.2419
143.920909 81.747 51.1494
144.287119 81.738 51.0541
144.653330 81.730 50.9546
145.019541 81.722 50.8505
145.385752 81.714 50.7424
145.751963 81.706 50.6313
146.118174 81.698 50.5186
146.484385 81.689 50.4057
146.850596 81.679 50.2936
147.216807 81.668 50.1830
147.583018 81.657 50.0741
147.949229 81.644 49.9665
148.315440 81.631 49.8599
148.681651 81.617 49.7535
149.047862 81.602 49.6465
149.414073 81.587 49.5384
149.780284 81.572 49.4286
150.146495 81.556 49.3170
150.512706 81.540 49.2034
150.878917 81.523 49.0883
151.245128 81.506 48.9720
151.611339 81.488 48.8552
151.977550 81.469 48.7388
152.343761 81.449 48.6232
152.709972 81.428 48.5091
153.076183 81.405 48.3969
153.442394 81.382 48.2865
153.808605 81.359 48.1779
154.174816 81.335 48.0708
154.541027 81.312 47.9645
154.907238 81.292 47.8586
155.273448 81.274 47.7525
155.639659 81.259 47.6456
156.005870 81.248 47.5377
156.372081 81.241 47.4290
156.738292 81.237 47.3200
157.104503 81.235 47.2115
157.470714 81.236 47.1043
157.836925 81.237 46.9994
158.203136 81.238 46.8974
158.569347 81.238 46.7985
158.935558 81.237 46.7025
159.301769 81.235 46.6091
159.667980 81.231 46.5179
160.034191 81.226 46.4285
160.400402 81.219 46.3409
160.766613 81.210 46.2552
161.132824 81.201 46.1716
161.499035 81.191 46.0907
161.865246 81.179 46.0127
162.231457 81.168 45.9378
162.597668 81.155 45.8657
162.963879 81.143 45.7957
163.330090 81.130 45.7269
163.696301 81.117 45.6579
164.062512 81.104 45.5870
164.428723 81.092 45.5129
164.794934 81.081 45.4340
165.161145 81.070 45.3496
165.527356 81.060 45.2591
165.893567 81.050 45.1628
166.259778 81.040 45.0616
166.625988 81.031 44.9567
166.992199 81.022 44.8498
167.358410 81.013 44.7424
167.724621 81.004 44.6361
168.090832 80.994 44.5324
168.457043 80.985 44.4321
168.823254 80.975 44.3360
169.189465 80.964 44.2443
169.555676 80.954 44.1570
169.921887 80.943 44.0737
170.288098 80.932 43.9943
170.654309 80.921 43.9180
171.020520 80.910 43.8445
171.386731 80.898 43.7733
171.752942 80.887 43.7040
172.119153 80.875 43.6363
172.485364 80.864 43.5703
