* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2024 4:16:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tang Zu Xuan Nv L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.933 160.1417
20.507813 96.924 159.7574
20.874023 96.900 158.7459
21.240234 96.877 157.7248
21.606445 96.857 156.7233
21.972656 96.839 155.6720
22.338867 96.821 154.5960
22.705078 96.805 153.5251
23.071289 96.789 152.4692
23.437500 96.772 151.4338
23.803711 96.751 150.4254
24.169922 96.723 149.4583
24.536133 96.690 148.5480
24.902344 96.656 147.6945
25.268555 96.627 146.8731
25.634766 96.606 146.0431
26.000977 96.589 145.1722
26.367188 96.573 144.2579
26.733399 96.552 143.3299
27.099610 96.527 142.4298
27.465821 96.500 141.5848
27.832032 96.475 140.7923
28.198243 96.455 140.0269
28.564454 96.437 139.2607
28.930665 96.418 138.4823
29.296876 96.395 137.6986
29.663087 96.369 136.9236
30.029298 96.343 136.1642
30.395509 96.319 135.4147
30.761720 96.297 134.6631
31.127931 96.275 133.9018
31.494142 96.253 133.1338
31.860353 96.229 132.3698
32.226563 96.202 131.6211
32.592774 96.174 130.8934
32.958985 96.146 130.1852
33.325196 96.119 129.4907
33.691407 96.092 128.8031
34.057618 96.066 128.1171
34.423829 96.042 127.4299
34.790040 96.018 126.7412
35.156251 95.995 126.0532
35.522462 95.973 125.3691
35.888673 95.951 124.6916
36.254884 95.929 124.0214
36.621095 95.906 123.3580
36.987306 95.882 122.7021
37.353517 95.856 122.0562
37.719728 95.829 121.4236
38.085939 95.803 120.8056
38.452150 95.778 120.1988
38.818361 95.757 119.5958
39.184572 95.738 118.9898
39.550783 95.719 118.3782
39.916994 95.700 117.7643
40.283205 95.678 117.1534
40.649416 95.654 116.5484
41.015627 95.630 115.9468
41.381838 95.605 115.3434
41.748049 95.580 114.7350
42.114260 95.556 114.1245
42.480471 95.532 113.5207
42.846682 95.507 112.9330
43.212893 95.482 112.3655
43.579103 95.457 111.8136
43.945314 95.430 111.2666
44.311525 95.400 110.7127
44.677736 95.368 110.1443
45.043947 95.333 109.5601
45.410158 95.298 108.9628
45.776369 95.265 108.3560
46.142580 95.234 107.7426
46.508791 95.207 107.1272
46.875002 95.179 106.5201
47.241213 95.148 105.9396
47.607424 95.114 105.4081
47.973635 95.077 104.9422
48.339846 95.043 104.5405
48.706057 95.018 104.1768
49.072268 95.007 103.8044
49.438479 95.010 103.3730
49.804690 95.020 102.8508
50.170901 95.030 102.2408
50.537112 95.029 101.5821
50.903323 95.013 100.9353
51.269534 94.982 100.3580
51.635745 94.941 99.8828
52.001956 94.899 99.5076
52.368167 94.861 99.2013
52.734378 94.833 98.9204
53.100589 94.816 98.6255
53.466800 94.808 98.2908
53.833011 94.808 97.9040
54.199222 94.811 97.4601
54.565432 94.813 96.9568
54.931643 94.810 96.3943
55.297854 94.798 95.7799
55.664065 94.773 95.1322
56.030276 94.736 94.4814
56.396487 94.688 93.8645
56.762698 94.635 93.3154
57.128909 94.581 92.8569
57.495120 94.533 92.4938
57.861331 94.496 92.2124
58.227542 94.470 91.9839
58.593753 94.455 91.7716
58.959964 94.449 91.5394
59.326175 94.449 91.2594
59.692386 94.450 90.9173
60.058597 94.450 90.5142
60.424808 94.448 90.0640
60.791019 94.442 89.5877
61.157230 94.432 89.1067
61.523441 94.418 88.6369
61.889652 94.400 88.1861
62.255863 94.375 87.7540
62.622074 94.345 87.3351
62.988285 94.310 86.9230
63.354496 94.273 86.5132
63.720707 94.236 86.1046
64.086918 94.204 85.6994
64.453129 94.179 85.3009
64.819340 94.164 84.9125
65.185551 94.157 84.5363
65.551762 94.155 84.1735
65.917972 94.156 83.8242
66.284183 94.154 83.4872
66.650394 94.146 83.1583
67.016605 94.132 82.8310
67.382816 94.112 82.4964
67.749027 94.087 82.1463
68.115238 94.061 81.7754
68.481449 94.036 81.3831
68.847660 94.015 80.9740
69.213871 93.997 80.5563
69.580082 93.981 80.1405
69.946293 93.966 79.7378
70.312504 93.949 79.3582
70.678715 93.928 79.0081
71.044926 93.904 78.6875
71.411137 93.878 78.3879
71.777348 93.852 78.0937
72.143559 93.827 77.7868
72.509770 93.807 77.4535
72.875981 93.788 77.0909
73.242192 93.772 76.7086
73.608403 93.756 76.3249
73.974614 93.738 75.9596
74.340825 93.718 75.6265
74.707036 93.696 75.3292
75.073247 93.672 75.0616
75.439458 93.644 74.8113
75.805669 93.615 74.5642
76.171880 93.585 74.3076
76.538091 93.555 74.0320
76.904301 93.529 73.7314
77.270512 93.507 73.4045
77.636723 93.491 73.0551
78.002934 93.478 72.6913
78.369145 93.470 72.3242
78.735356 93.463 71.9641
79.101567 93.457 71.6171
79.467778 93.450 71.2839
79.833989 93.441 70.9604
80.200200 93.430 70.6405
80.566411 93.415 70.3196
80.932622 93.396 69.9968
81.298833 93.373 69.6745
81.665044 93.349 69.3574
82.031255 93.325 69.0498
82.397466 93.301 68.7549
82.763677 93.280 68.4739
83.129888 93.262 68.2062
83.496099 93.247 67.9500
83.862310 93.234 67.7032
84.228521 93.224 67.4635
84.594732 93.213 67.2282
84.960943 93.203 66.9945
85.327154 93.192 66.7586
85.693365 93.179 66.5156
86.059576 93.165 66.2602
86.425787 93.147 65.9884
86.791998 93.126 65.6986
87.158209 93.103 65.3927
87.524420 93.078 65.0742
87.890631 93.055 64.7459
88.256841 93.033 64.4082
88.623052 93.016 64.0595
88.989263 93.003 63.6995
89.355474 92.993 63.3327
89.721685 92.983 62.9704
90.087896 92.973 62.6286
90.454107 92.961 62.3228
90.820318 92.948 62.0617
91.186529 92.935 61.8442
91.552740 92.921 61.6604
91.918951 92.907 61.4962
92.285162 92.893 61.3384
92.651373 92.876 61.1774
93.017584 92.858 61.0071
93.383795 92.838 60.8225
93.750006 92.817 60.6186
94.116217 92.797 60.3907
94.482428 92.776 60.1369
94.848639 92.756 59.8611
95.214850 92.736 59.5731
95.581061 92.718 59.2869
95.947272 92.700 59.0166
96.313483 92.685 58.7722
96.679694 92.672 58.5570
97.045905 92.660 58.3676
97.412116 92.649 58.1949
97.778327 92.638 58.0274
98.144538 92.625 57.8531
98.510749 92.609 57.6624
98.876960 92.591 57.4497
99.243170 92.571 57.2147
99.609381 92.549 56.9622
99.975592 92.529 56.7009
100.341803 92.509 56.4411
100.708014 92.493 56.1915
101.074225 92.478 55.9577
101.440436 92.466 55.7409
101.806647 92.456 55.5390
102.172858 92.446 55.3474
102.539069 92.435 55.1606
102.905280 92.422 54.9731
103.271491 92.409 54.7809
103.637702 92.395 54.5823
104.003913 92.381 54.3781
104.370124 92.367 54.1718
104.736335 92.355 53.9679
105.102546 92.344 53.7696
105.468757 92.336 53.5774
105.834968 92.328 53.3888
106.201179 92.321 53.1992
106.567390 92.312 53.0052
106.933601 92.300 52.8054
107.299812 92.283 52.6019
107.666023 92.263 52.3984
108.032234 92.240 52.1983
108.398445 92.217 52.0036
108.764656 92.194 51.8146
109.130867 92.173 51.6303
109.497078 92.156 51.4501
109.863289 92.142 51.2738
110.229500 92.132 51.1013
110.595710 92.124 50.9317
110.961921 92.117 50.7624
111.328132 92.112 50.5898
111.694343 92.106 50.4095
112.060554 92.099 50.2182
112.426765 92.090 50.0134
112.792976 92.080 49.7949
113.159187 92.069 49.5640
113.525398 92.056 49.3237
113.891609 92.042 49.0789
114.257820 92.027 48.8355
114.624031 92.011 48.6003
114.990242 91.994 48.3794
115.356453 91.976 48.1774
115.722664 91.957 47.9960
116.088875 91.937 47.8342
116.455086 91.917 47.6889
116.821297 91.897 47.5561
117.187508 91.878 47.4325
117.553719 91.859 47.3161
117.919930 91.841 47.2062
118.286141 91.824 47.1028
118.652352 91.809 47.0062
119.018563 91.796 46.9161
119.384774 91.785 46.8317
119.750985 91.775 46.7516
120.117196 91.766 46.6740
120.483407 91.758 46.5965
120.849618 91.750 46.5162
121.215829 91.743 46.4290
121.582040 91.736 46.3300
121.948250 91.730 46.2146
122.314461 91.724 46.0787
122.680672 91.717 45.9206
123.046883 91.710 45.7410
123.413094 91.702 45.5432
123.779305 91.692 45.3316
124.145516 91.682 45.1112
124.511727 91.671 44.8858
124.877938 91.659 44.6582
125.244149 91.647 44.4303
125.610360 91.634 44.2036
125.976571 91.621 43.9800
126.342782 91.607 43.7615
126.708993 91.592 43.5501
127.075204 91.576 43.3465
127.441415 91.560 43.1505
127.807626 91.544 42.9600
128.173837 91.528 42.7723
128.540048 91.513 42.5848
128.906259 91.499 42.3962
129.272470 91.484 42.2069
129.638681 91.470 42.0191
130.004892 91.456 41.8363
130.371103 91.441 41.6622
130.737314 91.427 41.4995
131.103525 91.413 41.3499
131.469736 91.399 41.2132
131.835947 91.384 41.0882
132.202158 91.369 40.9733
132.568369 91.353 40.8666
132.934579 91.335 40.7664
133.300790 91.317 40.6710
133.667001 91.298 40.5785
134.033212 91.280 40.4862
134.399423 91.261 40.3916
134.765634 91.244 40.2922
135.131845 91.227 40.1865
135.498056 91.211 40.0743
135.864267 91.195 39.9571
136.230478 91.180 39.8376
136.596689 91.164 39.7189
136.962900 91.148 39.6037
137.329111 91.133 39.4937
137.695322 91.119 39.3893
138.061533 91.105 39.2901
138.427744 91.092 39.1948
138.793955 91.080 39.1024
139.160166 91.069 39.0120
139.526377 91.059 38.9237
139.892588 91.048 38.8380
140.258799 91.038 38.7557
140.625010 91.027 38.6776
140.991221 91.017 38.6039
141.357432 91.007 38.5343
141.723643 90.998 38.4679
142.089854 90.989 38.4035
142.456065 90.982 38.3400
142.822276 90.976 38.2766
143.188487 90.972 38.2136
143.554698 90.968 38.1520
143.920909 90.964 38.0933
144.287119 90.960 38.0397
144.653330 90.956 37.9930
145.019541 90.952 37.9545
145.385752 90.948 37.9242
145.751963 90.943 37.9006
146.118174 90.939 37.8813
146.484385 90.935 37.8630
146.850596 90.931 37.8424
147.216807 90.929 37.8168
147.583018 90.928 37.7845
147.949229 90.928 37.7451
148.315440 90.928 37.6990
148.681651 90.929 37.6472
149.047862 90.930 37.5902
149.414073 90.932 37.5277
149.780284 90.932 37.4581
150.146495 90.932 37.3784
150.512706 90.931 37.2848
150.878917 90.930 37.1729
151.245128 90.929 37.0391
151.611339 90.927 36.8810
151.977550 90.927 36.6984
152.343761 90.927 36.4935
152.709972 90.928 36.2708
153.076183 90.931 36.0373
153.442394 90.933 35.8011
153.808605 90.936 35.5714
154.174816 90.938 35.3565
154.541027 90.940 35.1638
154.907238 90.939 34.9982
155.273448 90.937 34.8618
155.639659 90.932 34.7539
156.005870 90.926 34.6707
156.372081 90.917 34.6064
156.738292 90.906 34.5536
157.104503 90.894 34.5048
157.470714 90.881 34.4533
157.836925 90.867 34.3936
158.203136 90.853 34.3220
158.569347 90.839 34.2367
158.935558 90.826 34.1375
159.301769 90.814 34.0253
159.667980 90.802 33.9019
160.034191 90.792 33.7694
160.400402 90.782 33.6298
160.766613 90.774 33.4852
161.132824 90.766 33.3372
161.499035 90.758 33.1873
161.865246 90.751 33.0371
162.231457 90.743 32.8876
162.597668 90.735 32.7400
162.963879 90.728 32.5955
163.330090 90.720 32.4547
163.696301 90.712 32.3185
164.062512 90.704 32.1874
164.428723 90.695 32.0618
164.794934 90.685 31.9417
165.161145 90.675 31.8271
165.527356 90.664 31.7180
165.893567 90.652 31.6139
166.259778 90.639 31.5141
166.625988 90.625 31.4177
166.992199 90.611 31.3234
167.358410 90.598 31.2294
167.724621 90.585 31.1340
168.090832 90.572 31.0352
168.457043 90.560 30.9315
168.823254 90.549 30.8216
169.189465 90.539 30.7049
169.555676 90.530 30.5821
169.921887 90.521 30.4545
170.288098 90.514 30.3245
170.654309 90.507 30.1953
171.020520 90.501 30.0704
171.386731 90.496 29.9536
171.752942 90.491 29.8483
172.119153 90.486 29.7571
172.485364 90.481 29.6816
