* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 9:50:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Chang Le HDF R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 104.659 176.5784
20.507813 104.644 176.2809
20.874023 104.603 175.4982
21.240234 104.559 174.7191
21.606445 104.518 173.9906
21.972656 104.483 173.2719
22.338867 104.455 172.5761
22.705078 104.433 171.9168
23.071289 104.414 171.2948
23.437500 104.397 170.7057
23.803711 104.377 170.1409
24.169922 104.354 169.5923
24.536133 104.325 169.0548
24.902344 104.291 168.5268
25.268555 104.252 168.0093
25.634766 104.212 167.5019
26.000977 104.173 166.9972
26.367188 104.136 166.4834
26.733399 104.100 165.9522
27.099610 104.062 165.4057
27.465821 104.021 164.8610
27.832032 103.975 164.3448
28.198243 103.926 163.8786
28.564454 103.878 163.4633
28.930665 103.833 163.0775
29.296876 103.792 162.6891
29.663087 103.753 162.2730
30.029298 103.712 161.8250
30.395509 103.667 161.3624
30.761720 103.619 160.9120
31.127931 103.570 160.4930
31.494142 103.524 160.1078
31.860353 103.483 159.7453
32.226563 103.445 159.3914
32.592774 103.409 159.0390
32.958985 103.371 158.6913
33.325196 103.332 158.3561
33.691407 103.290 158.0380
34.057618 103.249 157.7331
34.423829 103.207 157.4317
34.790040 103.166 157.1259
35.156251 103.125 156.8148
35.522462 103.082 156.5031
35.888673 103.038 156.1972
36.254884 102.993 155.9004
36.621095 102.948 155.6122
36.987306 102.903 155.3303
37.353517 102.858 155.0535
37.719728 102.812 154.7824
38.085939 102.765 154.5184
38.452150 102.719 154.2607
38.818361 102.673 154.0066
39.184572 102.629 153.7521
39.550783 102.586 153.4936
39.916994 102.543 153.2300
40.283205 102.501 152.9632
40.649416 102.458 152.6983
41.015627 102.413 152.4421
41.381838 102.368 152.2005
41.748049 102.322 151.9757
42.114260 102.276 151.7650
42.480471 102.232 151.5612
42.846682 102.189 151.3557
43.212893 102.147 151.1419
43.579103 102.105 150.9187
43.945314 102.061 150.6902
44.311525 102.018 150.4641
44.677736 101.974 150.2479
45.043947 101.932 150.0462
45.410158 101.891 149.8595
45.776369 101.852 149.6855
46.142580 101.815 149.5196
46.508791 101.778 149.3570
46.875002 101.740 149.1940
47.241213 101.700 149.0298
47.607424 101.658 148.8667
47.973635 101.614 148.7088
48.339846 101.569 148.5592
48.706057 101.525 148.4170
49.072268 101.482 148.2769
49.438479 101.441 148.1320
49.804690 101.400 147.9785
50.170901 101.358 147.8189
50.537112 101.315 147.6612
50.903323 101.270 147.5151
51.269534 101.225 147.3857
51.635745 101.182 147.2709
52.001956 101.142 147.1618
52.368167 101.105 147.0480
52.734378 101.069 146.9238
53.100589 101.033 146.7917
53.466800 100.994 146.6607
53.833011 100.954 146.5414
54.199222 100.913 146.4397
54.565432 100.872 146.3531
54.931643 100.834 146.2716
55.297854 100.797 146.1830
55.664065 100.762 146.0791
56.030276 100.727 145.9594
56.396487 100.690 145.8316
56.762698 100.651 145.7068
57.128909 100.612 145.5928
57.495120 100.573 145.4897
57.861331 100.535 145.3893
58.227542 100.499 145.2806
58.593753 100.463 145.1569
58.959964 100.425 145.0207
59.326175 100.387 144.8828
59.692386 100.346 144.7568
60.058597 100.306 144.6518
60.424808 100.268 144.5680
60.791019 100.231 144.4983
61.157230 100.196 144.4333
61.523441 100.161 144.3669
61.889652 100.125 144.2978
62.255863 100.087 144.2283
62.622074 100.049 144.1599
62.988285 100.012 144.0913
63.354496 99.976 144.0192
63.720707 99.942 143.9408
64.086918 99.908 143.8565
64.453129 99.875 143.7697
64.819340 99.841 143.6849
65.185551 99.807 143.6052
65.551762 99.772 143.5305
65.917972 99.736 143.4588
66.284183 99.700 143.3877
66.650394 99.663 143.3158
67.016605 99.626 143.2431
67.382816 99.590 143.1699
67.749027 99.557 143.0966
68.115238 99.525 143.0235
68.481449 99.496 142.9512
68.847660 99.468 142.8810
69.213871 99.440 142.8145
69.580082 99.410 142.7531
69.946293 99.380 142.6971
70.312504 99.347 142.6447
70.678715 99.313 142.5934
71.044926 99.277 142.5398
71.411137 99.241 142.4817
71.777348 99.205 142.4186
72.143559 99.170 142.3528
72.509770 99.135 142.2885
72.875981 99.101 142.2314
73.242192 99.069 142.1855
73.608403 99.038 142.1524
73.974614 99.008 142.1299
74.340825 98.979 142.1125
74.707036 98.950 142.0937
75.073247 98.921 142.0680
75.439458 98.890 142.0328
75.805669 98.858 141.9890
76.171880 98.825 141.9397
76.538091 98.791 141.8894
76.904301 98.757 141.8414
77.270512 98.724 141.7972
77.636723 98.693 141.7565
78.002934 98.662 141.7178
78.369145 98.633 141.6796
78.735356 98.603 141.6411
79.101567 98.573 141.6025
79.467778 98.542 141.5651
79.833989 98.510 141.5301
80.200200 98.477 141.4985
80.566411 98.445 141.4710
80.932622 98.413 141.4471
81.298833 98.382 141.4264
81.665044 98.352 141.4078
82.031255 98.323 141.3907
82.397466 98.296 141.3745
82.763677 98.269 141.3588
83.129888 98.243 141.3433
83.496099 98.216 141.3275
83.862310 98.190 141.3112
84.228521 98.164 141.2943
84.594732 98.138 141.2769
84.960943 98.113 141.2594
85.327154 98.087 141.2420
85.693365 98.062 141.2249
86.059576 98.036 141.2078
86.425787 98.011 141.1906
86.791998 97.984 141.1735
87.158209 97.958 141.1565
87.524420 97.930 141.1393
87.890631 97.903 141.1206
88.256841 97.876 141.0986
88.623052 97.849 141.0715
88.989263 97.822 141.0394
89.355474 97.795 141.0047
89.721685 97.767 140.9723
90.087896 97.738 140.9480
90.454107 97.708 140.9360
90.820318 97.678 140.9376
91.186529 97.648 140.9498
91.552740 97.619 140.9666
91.918951 97.591 140.9812
92.285162 97.563 140.9881
92.651373 97.535 140.9844
93.017584 97.506 140.9706
93.383795 97.478 140.9490
93.750006 97.450 140.9229
94.116217 97.422 140.8950
94.482428 97.395 140.8674
94.848639 97.369 140.8417
95.214850 97.343 140.8193
95.581061 97.318 140.8017
95.947272 97.295 140.7902
96.313483 97.272 140.7854
96.679694 97.250 140.7864
97.045905 97.228 140.7909
97.412116 97.207 140.7961
97.778327 97.186 140.7989
98.144538 97.165 140.7974
98.510749 97.143 140.7911
98.876960 97.119 140.7807
99.243170 97.095 140.7674
99.609381 97.070 140.7526
99.975592 97.045 140.7377
100.341803 97.020 140.7240
100.708014 96.996 140.7135
101.074225 96.970 140.7083
101.440436 96.945 140.7109
101.806647 96.918 140.7229
102.172858 96.891 140.7451
102.539069 96.864 140.7759
102.905280 96.837 140.8127
103.271491 96.812 140.8510
103.637702 96.788 140.8865
104.003913 96.766 140.9155
104.370124 96.746 140.9361
104.736335 96.727 140.9485
105.102546 96.709 140.9548
105.468757 96.692 140.9588
105.834968 96.673 140.9644
106.201179 96.654 140.9750
106.567390 96.633 140.9925
106.933601 96.611 141.0170
107.299812 96.589 141.0466
107.666023 96.565 141.0785
108.032234 96.541 141.1094
108.398445 96.516 141.1366
108.764656 96.492 141.1587
109.130867 96.467 141.1758
109.497078 96.442 141.1890
109.863289 96.418 141.2004
110.229500 96.395 141.2120
110.595710 96.372 141.2256
110.961921 96.350 141.2424
111.328132 96.329 141.2630
111.694343 96.308 141.2871
112.060554 96.287 141.3137
112.426765 96.265 141.3411
112.792976 96.242 141.3671
113.159187 96.219 141.3899
113.525398 96.195 141.4080
113.891609 96.171 141.4210
114.257820 96.147 141.4300
114.624031 96.123 141.4372
114.990242 96.100 141.4456
115.356453 96.079 141.4582
115.722664 96.058 141.4773
116.088875 96.039 141.5034
116.455086 96.021 141.5352
116.821297 96.004 141.5694
117.187508 95.986 141.6018
117.553719 95.969 141.6285
117.919930 95.951 141.6466
118.286141 95.933 141.6552
118.652352 95.913 141.6554
119.018563 95.893 141.6499
119.384774 95.871 141.6425
119.750985 95.850 141.6366
120.117196 95.829 141.6352
120.483407 95.807 141.6401
120.849618 95.785 141.6522
121.215829 95.764 141.6719
121.582040 95.742 141.6988
121.948250 95.720 141.7325
122.314461 95.698 141.7722
122.680672 95.676 141.8170
123.046883 95.654 141.8657
123.413094 95.633 141.9169
123.779305 95.612 141.9687
124.145516 95.593 142.0195
124.511727 95.574 142.0675
124.877938 95.556 142.1113
125.244149 95.538 142.1502
125.610360 95.521 142.1838
125.976571 95.504 142.2126
126.342782 95.486 142.2378
126.708993 95.468 142.2610
127.075204 95.451 142.2838
127.441415 95.433 142.3079
127.807626 95.414 142.3341
128.173837 95.396 142.3627
128.540048 95.378 142.3932
128.906259 95.361 142.4244
129.272470 95.343 142.4551
129.638681 95.326 142.4841
130.004892 95.309 142.5108
130.371103 95.291 142.5348
130.737314 95.274 142.5568
131.103525 95.257 142.5775
131.469736 95.239 142.5979
131.835947 95.222 142.6193
132.202158 95.205 142.6423
132.568369 95.187 142.6676
132.934579 95.170 142.6956
133.300790 95.152 142.7261
133.667001 95.134 142.7590
134.033212 95.115 142.7938
134.399423 95.096 142.8299
134.765634 95.076 142.8667
135.131845 95.057 142.9034
135.498056 95.037 142.9392
135.864267 95.017 142.9733
136.230478 94.997 143.0052
136.596689 94.978 143.0347
136.962900 94.959 143.0618
137.329111 94.941 143.0872
137.695322 94.923 143.1117
138.061533 94.905 143.1363
138.427744 94.888 143.1619
138.793955 94.871 143.1892
139.160166 94.854 143.2187
139.526377 94.837 143.2503
139.892588 94.820 143.2840
140.258799 94.802 143.3193
140.625010 94.784 143.3558
140.991221 94.766 143.3929
141.357432 94.748 143.4301
141.723643 94.729 143.4671
142.089854 94.711 143.5038
142.456065 94.693 143.5402
142.822276 94.676 143.5766
143.188487 94.659 143.6131
143.554698 94.643 143.6501
143.920909 94.627 143.6874
144.287119 94.612 143.7249
144.653330 94.598 143.7622
145.019541 94.584 143.7990
145.385752 94.570 143.8350
145.751963 94.557 143.8698
146.118174 94.543 143.9033
146.484385 94.529 143.9353
146.850596 94.515 143.9659
147.216807 94.500 143.9953
147.583018 94.486 144.0238
147.949229 94.470 144.0517
148.315440 94.455 144.0794
148.681651 94.439 144.1073
149.047862 94.424 144.1357
149.414073 94.408 144.1648
149.780284 94.392 144.1948
150.146495 94.377 144.2255
150.512706 94.361 144.2568
150.878917 94.346 144.2884
151.245128 94.331 144.3198
151.611339 94.316 144.3508
151.977550 94.302 144.3811
152.343761 94.287 144.4108
152.709972 94.273 144.4398
153.076183 94.258 144.4686
153.442394 94.244 144.4974
153.808605 94.229 144.5267
154.174816 94.214 144.5570
154.541027 94.200 144.5887
154.907238 94.185 144.6222
155.273448 94.170 144.6576
155.639659 94.156 144.6951
156.005870 94.141 144.7348
156.372081 94.126 144.7764
156.738292 94.110 144.8197
157.104503 94.094 144.8640
157.470714 94.078 144.9085
157.836925 94.061 144.9524
158.203136 94.044 144.9946
158.569347 94.026 145.0343
158.935558 94.009 145.0706
159.301769 93.991 145.1033
159.667980 93.974 145.1324
160.034191 93.956 145.1582
160.400402 93.939 145.1813
160.766613 93.923 145.2026
161.132824 93.907 145.2231
161.499035 93.892 145.2436
161.865246 93.877 145.2649
162.231457 93.862 145.2876
162.597668 93.848 145.3123
162.963879 93.834 145.3390
163.330090 93.821 145.3681
163.696301 93.808 145.3994
164.062512 93.795 145.4330
164.428723 93.782 145.4687
164.794934 93.769 145.5063
165.161145 93.756 145.5456
165.527356 93.743 145.5863
165.893567 93.730 145.6282
166.259778 93.717 145.6707
166.625988 93.704 145.7137
166.992199 93.690 145.7564
167.358410 93.677 145.7986
167.724621 93.664 145.8397
168.090832 93.650 145.8793
168.457043 93.636 145.9171
168.823254 93.622 145.9530
169.189465 93.608 145.9870
169.555676 93.593 146.0196
169.921887 93.579 146.0509
170.288098 93.564 146.0818
170.654309 93.550 146.1126
171.020520 93.535 146.1439
171.386731 93.521 146.1763
171.752942 93.507 146.2101
172.119153 93.493 146.2455
172.485364 93.479 146.2826
172.851575 93.465 146.3212
