* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 9:54:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Chang Le HDFTape R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 104.571 176.9423
20.507813 104.557 176.6836
20.874023 104.519 176.0076
21.240234 104.483 175.3382
21.606445 104.451 174.6949
21.972656 104.422 174.0301
22.338867 104.392 173.3688
22.705078 104.362 172.7469
23.071289 104.332 172.1825
23.437500 104.304 171.6731
23.803711 104.279 171.2001
24.169922 104.254 170.7433
24.536133 104.227 170.2896
24.902344 104.197 169.8355
25.268555 104.162 169.3842
25.634766 104.125 168.9391
26.000977 104.085 168.4999
26.367188 104.044 168.0657
26.733399 104.002 167.6392
27.099610 103.960 167.2254
27.465821 103.916 166.8292
27.832032 103.873 166.4524
28.198243 103.831 166.0903
28.564454 103.790 165.7331
28.930665 103.747 165.3733
29.296876 103.703 165.0110
29.663087 103.656 164.6544
30.029298 103.608 164.3127
30.395509 103.562 163.9892
30.761720 103.518 163.6790
31.127931 103.477 163.3708
31.494142 103.438 163.0560
31.860353 103.400 162.7353
32.226563 103.359 162.4191
32.592774 103.317 162.1209
32.958985 103.275 161.8487
33.325196 103.234 161.6015
33.691407 103.196 161.3708
34.057618 103.158 161.1460
34.423829 103.120 160.9214
34.790040 103.080 160.6989
35.156251 103.037 160.4843
35.522462 102.991 160.2815
35.888673 102.944 160.0891
36.254884 102.897 159.9007
36.621095 102.850 159.7094
36.987306 102.803 159.5122
37.353517 102.757 159.3117
37.719728 102.711 159.1146
38.085939 102.665 158.9277
38.452150 102.619 158.7553
38.818361 102.574 158.5981
39.184572 102.530 158.4537
39.550783 102.485 158.3173
39.916994 102.440 158.1838
40.283205 102.394 158.0494
40.649416 102.347 157.9132
41.015627 102.298 157.7768
41.381838 102.250 157.6424
41.748049 102.203 157.5109
42.114260 102.158 157.3811
42.480471 102.115 157.2513
42.846682 102.073 157.1218
43.212893 102.032 156.9960
43.579103 101.990 156.8794
43.945314 101.948 156.7763
44.311525 101.905 156.6868
44.677736 101.864 156.6060
45.043947 101.824 156.5268
45.410158 101.785 156.4444
45.776369 101.746 156.3590
46.142580 101.707 156.2757
46.508791 101.667 156.2005
46.875002 101.627 156.1362
47.241213 101.585 156.0804
47.607424 101.543 156.0275
47.973635 101.499 155.9727
48.339846 101.453 155.9157
48.706057 101.405 155.8610
49.072268 101.357 155.8154
49.438479 101.310 155.7829
49.804690 101.267 155.7616
50.170901 101.229 155.7429
50.537112 101.196 155.7161
50.903323 101.165 155.6748
51.269534 101.133 155.6215
51.635745 101.098 155.5675
52.001956 101.059 155.5273
52.368167 101.017 155.5112
52.734378 100.975 155.5202
53.100589 100.933 155.5456
53.466800 100.892 155.5736
53.833011 100.853 155.5924
54.199222 100.814 155.5966
54.565432 100.774 155.5886
54.931643 100.732 155.5756
55.297854 100.689 155.5654
55.664065 100.645 155.5625
56.030276 100.602 155.5673
56.396487 100.561 155.5766
56.762698 100.522 155.5859
57.128909 100.485 155.5917
57.495120 100.450 155.5924
57.861331 100.414 155.5896
58.227542 100.378 155.5869
58.593753 100.342 155.5890
58.959964 100.304 155.5990
59.326175 100.266 155.6176
59.692386 100.227 155.6433
60.058597 100.187 155.6733
60.424808 100.147 155.7064
60.791019 100.108 155.7434
61.157230 100.068 155.7858
61.523441 100.030 155.8334
61.889652 99.995 155.8824
62.255863 99.962 155.9271
62.622074 99.931 155.9623
62.988285 99.899 155.9878
63.354496 99.866 156.0081
63.720707 99.830 156.0306
64.086918 99.791 156.0607
64.453129 99.751 156.0993
64.819340 99.710 156.1423
65.185551 99.669 156.1848
65.551762 99.629 156.2245
65.917972 99.590 156.2633
66.284183 99.552 156.3057
66.650394 99.516 156.3551
67.016605 99.482 156.4120
67.382816 99.451 156.4737
67.749027 99.420 156.5372
68.115238 99.389 156.6011
68.481449 99.357 156.6662
68.847660 99.324 156.7336
69.213871 99.290 156.8022
69.580082 99.257 156.8684
69.946293 99.223 156.9277
70.312504 99.191 156.9773
70.678715 99.158 157.0188
71.044926 99.126 157.0575
71.411137 99.094 157.1009
71.777348 99.062 157.1554
72.143559 99.031 157.2247
72.509770 99.002 157.3094
72.875981 98.975 157.4076
73.242192 98.949 157.5157
73.608403 98.924 157.6295
73.974614 98.899 157.7442
74.340825 98.874 157.8549
74.707036 98.849 157.9576
75.073247 98.821 158.0498
75.439458 98.792 158.1313
75.805669 98.760 158.2044
76.171880 98.726 158.2724
76.538091 98.690 158.3387
76.904301 98.653 158.4061
77.270512 98.616 158.4760
77.636723 98.579 158.5494
78.002934 98.543 158.6275
78.369145 98.508 158.7113
78.735356 98.475 158.8022
79.101567 98.443 158.9003
79.467778 98.413 159.0045
79.833989 98.386 159.1125
80.200200 98.359 159.2207
80.566411 98.333 159.3261
80.932622 98.308 159.4269
81.298833 98.282 159.5228
81.665044 98.255 159.6154
82.031255 98.226 159.7072
82.397466 98.197 159.8003
82.763677 98.167 159.8963
83.129888 98.138 159.9954
83.496099 98.108 160.0966
83.862310 98.078 160.1990
84.228521 98.049 160.3017
84.594732 98.021 160.4050
84.960943 97.993 160.5096
85.327154 97.966 160.6168
85.693365 97.939 160.7276
86.059576 97.914 160.8428
86.425787 97.890 160.9631
86.791998 97.866 161.0894
87.158209 97.842 161.2230
87.524420 97.816 161.3659
87.890631 97.787 161.5198
88.256841 97.756 161.6855
88.623052 97.723 161.8611
88.989263 97.689 162.0407
89.355474 97.655 162.2151
89.721685 97.622 162.3734
90.087896 97.591 162.5063
90.454107 97.561 162.6091
90.820318 97.534 162.6834
91.186529 97.507 162.7370
91.552740 97.481 162.7808
91.918951 97.456 162.8262
92.285162 97.431 162.8816
92.651373 97.408 162.9510
93.017584 97.385 163.0351
93.383795 97.362 163.1320
93.750006 97.339 163.2391
94.116217 97.316 163.3539
94.482428 97.292 163.4745
94.848639 97.266 163.5993
95.214850 97.241 163.7268
95.581061 97.214 163.8557
95.947272 97.188 163.9848
96.313483 97.161 164.1137
96.679694 97.134 164.2421
97.045905 97.108 164.3705
97.412116 97.082 164.4990
97.778327 97.056 164.6281
98.144538 97.031 164.7576
98.510749 97.007 164.8878
98.876960 96.982 165.0184
99.243170 96.958 165.1493
99.609381 96.935 165.2801
99.975592 96.911 165.4102
100.341803 96.889 165.5388
100.708014 96.867 165.6650
101.074225 96.845 165.7883
101.440436 96.824 165.9087
101.806647 96.803 166.0266
102.172858 96.783 166.1426
102.539069 96.762 166.2575
102.905280 96.740 166.3720
103.271491 96.717 166.4870
103.637702 96.693 166.6031
104.003913 96.668 166.7214
104.370124 96.642 166.8430
104.736335 96.616 166.9691
105.102546 96.589 167.1006
105.468757 96.563 167.2378
105.834968 96.537 167.3807
106.201179 96.513 167.5285
106.567390 96.489 167.6801
106.933601 96.466 167.8347
107.299812 96.443 167.9915
107.666023 96.420 168.1499
108.032234 96.397 168.3096
108.398445 96.373 168.4702
108.764656 96.350 168.6309
109.130867 96.327 168.7909
109.497078 96.305 168.9495
109.863289 96.283 169.1059
110.229500 96.264 169.2598
110.595710 96.245 169.4107
110.961921 96.227 169.5583
111.328132 96.210 169.7019
111.694343 96.192 169.8409
112.060554 96.174 169.9748
112.426765 96.154 170.1033
112.792976 96.134 170.2269
113.159187 96.113 170.3468
113.525398 96.092 170.4645
113.891609 96.071 170.5815
114.257820 96.051 170.6999
114.624031 96.033 170.8212
114.990242 96.016 170.9471
115.356453 96.000 171.0792
115.722664 95.983 171.2187
116.088875 95.966 171.3666
116.455086 95.947 171.5230
116.821297 95.925 171.6873
117.187508 95.902 171.8577
117.553719 95.877 172.0321
117.919930 95.850 172.2077
118.286141 95.823 172.3819
118.652352 95.797 172.5525
119.018563 95.772 172.7181
119.384774 95.747 172.8782
119.750985 95.725 173.0332
120.117196 95.703 173.1841
120.483407 95.682 173.3327
120.849618 95.663 173.4808
121.215829 95.643 173.6299
121.582040 95.625 173.7813
121.948250 95.606 173.9359
122.314461 95.588 174.0937
122.680672 95.569 174.2546
123.046883 95.551 174.4181
123.413094 95.532 174.5835
123.779305 95.512 174.7502
124.145516 95.493 174.9174
124.511727 95.472 175.0848
124.877938 95.452 175.2521
125.244149 95.431 175.4193
125.610360 95.411 175.5867
125.976571 95.391 175.7547
126.342782 95.371 175.9239
126.708993 95.353 176.0943
127.075204 95.335 176.2660
127.441415 95.317 176.4384
127.807626 95.300 176.6109
128.173837 95.282 176.7827
128.540048 95.264 176.9529
128.906259 95.245 177.1211
129.272470 95.225 177.2872
129.638681 95.204 177.4515
130.004892 95.183 177.6145
130.371103 95.162 177.7770
130.737314 95.142 177.9399
131.103525 95.122 178.1040
131.469736 95.103 178.2702
131.835947 95.084 178.4390
132.202158 95.066 178.6108
132.568369 95.048 178.7856
132.934579 95.030 178.9633
133.300790 95.012 179.1432
133.667001 94.994 179.3246
134.033212 94.976 179.5066
134.399423 94.958 179.6883
134.765634 94.939 179.8692
135.131845 94.921 -179.9512
135.498056 94.903 -179.7729
135.864267 94.885 -179.5957
136.230478 94.869 -179.4190
136.596689 94.852 -179.2422
136.962900 94.837 -179.0645
137.329111 94.822 -178.8853
137.695322 94.807 -178.7040
138.061533 94.792 -178.5202
138.427744 94.777 -178.3339
138.793955 94.761 -178.1452
139.160166 94.745 -177.9544
139.526377 94.729 -177.7622
139.892588 94.713 -177.5694
140.258799 94.696 -177.3766
140.625010 94.680 -177.1846
140.991221 94.664 -176.9941
141.357432 94.648 -176.8056
141.723643 94.632 -176.6193
142.089854 94.616 -176.4355
142.456065 94.600 -176.2542
142.822276 94.584 -176.0754
143.188487 94.568 -175.8990
143.554698 94.551 -175.7247
143.920909 94.534 -175.5522
144.287119 94.517 -175.3812
144.653330 94.499 -175.2113
145.019541 94.481 -175.0422
145.385752 94.463 -174.8735
145.751963 94.446 -174.7050
146.118174 94.429 -174.5365
146.484385 94.413 -174.3676
146.850596 94.397 -174.1981
147.216807 94.382 -174.0278
147.583018 94.367 -173.8567
147.949229 94.352 -173.6846
148.315440 94.338 -173.5118
148.681651 94.323 -173.3383
149.047862 94.309 -173.1642
149.414073 94.294 -172.9898
149.780284 94.279 -172.8148
150.146495 94.264 -172.6392
150.512706 94.249 -172.4624
150.878917 94.234 -172.2839
151.245128 94.219 -172.1032
151.611339 94.204 -171.9199
151.977550 94.189 -171.7338
152.343761 94.175 -171.5450
152.709972 94.160 -171.3538
153.076183 94.147 -171.1608
153.442394 94.133 -170.9669
153.808605 94.120 -170.7729
154.174816 94.107 -170.5794
154.541027 94.094 -170.3873
154.907238 94.081 -170.1970
155.273448 94.068 -170.0085
155.639659 94.055 -169.8221
156.005870 94.042 -169.6371
156.372081 94.028 -169.4532
156.738292 94.013 -169.2698
157.104503 93.998 -169.0865
157.470714 93.982 -168.9030
157.836925 93.965 -168.7192
158.203136 93.948 -168.5352
158.569347 93.931 -168.3511
158.935558 93.914 -168.1672
159.301769 93.897 -167.9839
159.667980 93.880 -167.8013
160.034191 93.863 -167.6198
160.400402 93.847 -167.4398
160.766613 93.831 -167.2614
161.132824 93.816 -167.0849
161.499035 93.801 -166.9103
161.865246 93.786 -166.7376
162.231457 93.771 -166.5665
162.597668 93.756 -166.3965
162.963879 93.742 -166.2272
163.330090 93.728 -166.0583
163.696301 93.713 -165.8893
164.062512 93.699 -165.7200
164.428723 93.685 -165.5503
164.794934 93.671 -165.3802
165.161145 93.656 -165.2095
165.527356 93.642 -165.0381
165.893567 93.627 -164.8657
166.259778 93.613 -164.6918
166.625988 93.598 -164.5160
166.992199 93.584 -164.3376
167.358410 93.569 -164.1563
167.724621 93.555 -163.9718
168.090832 93.540 -163.7840
168.457043 93.525 -163.5932
168.823254 93.511 -163.3999
169.189465 93.496 -163.2048
169.555676 93.481 -163.0088
169.921887 93.466 -162.8127
