* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 9:57:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Chang Le nofoam R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 106.777 -178.2657
20.507813 106.768 -178.6227
20.874023 106.745 -179.5635
21.240234 106.727 179.4977
21.606445 106.717 178.6252
21.972656 106.710 177.7839
22.338867 106.706 176.9981
22.705078 106.701 176.2780
23.071289 106.695 175.6060
23.437500 106.685 174.9541
23.803711 106.671 174.2953
24.169922 106.653 173.6138
24.536133 106.629 172.9091
24.902344 106.603 172.1929
25.268555 106.574 171.4859
25.634766 106.545 170.8099
26.000977 106.517 170.1784
26.367188 106.492 169.5930
26.733399 106.468 169.0447
27.099610 106.446 168.5174
27.465821 106.423 167.9952
27.832032 106.398 167.4684
28.198243 106.371 166.9330
28.564454 106.340 166.3887
28.930665 106.306 165.8372
29.296876 106.270 165.2826
29.663087 106.233 164.7296
30.029298 106.197 164.1814
30.395509 106.162 163.6387
30.761720 106.129 163.1007
31.127931 106.098 162.5673
31.494142 106.068 162.0420
31.860353 106.038 161.5324
32.226563 106.010 161.0452
32.592774 105.983 160.5807
32.958985 105.956 160.1314
33.325196 105.930 159.6869
33.691407 105.902 159.2398
34.057618 105.870 158.7899
34.423829 105.834 158.3424
34.790040 105.796 157.9035
35.156251 105.756 157.4747
35.522462 105.718 157.0514
35.888673 105.682 156.6270
36.254884 105.647 156.1983
36.621095 105.612 155.7688
36.987306 105.577 155.3454
37.353517 105.541 154.9340
37.719728 105.505 154.5352
38.085939 105.468 154.1446
38.452150 105.432 153.7570
38.818361 105.394 153.3707
39.184572 105.356 152.9877
39.550783 105.318 152.6110
39.916994 105.280 152.2405
40.283205 105.243 151.8729
40.649416 105.207 151.5047
41.015627 105.171 151.1365
41.381838 105.133 150.7737
41.748049 105.095 150.4241
42.114260 105.058 150.0922
42.480471 105.022 149.7755
42.846682 104.990 149.4647
43.212893 104.959 149.1493
43.579103 104.929 148.8231
43.945314 104.896 148.4880
44.311525 104.861 148.1515
44.677736 104.824 147.8210
45.043947 104.785 147.4989
45.410158 104.747 147.1814
45.776369 104.709 146.8630
46.142580 104.670 146.5416
46.508791 104.631 146.2209
46.875002 104.590 145.9089
47.241213 104.548 145.6120
47.607424 104.508 145.3305
47.973635 104.470 145.0576
48.339846 104.434 144.7838
48.706057 104.400 144.5024
49.072268 104.366 144.2137
49.438479 104.332 143.9241
49.804690 104.296 143.6413
50.170901 104.260 143.3689
50.537112 104.224 143.1041
50.903323 104.188 142.8400
51.269534 104.152 142.5701
51.635745 104.116 142.2927
52.001956 104.079 142.0108
52.368167 104.043 141.7296
52.734378 104.008 141.4530
53.100589 103.975 141.1823
53.466800 103.943 140.9160
53.833011 103.912 140.6528
54.199222 103.881 140.3923
54.565432 103.848 140.1356
54.931643 103.814 139.8838
55.297854 103.778 139.6375
55.664065 103.741 139.3960
56.030276 103.705 139.1575
56.396487 103.671 138.9202
56.762698 103.638 138.6825
57.128909 103.607 138.4432
57.495120 103.577 138.2021
57.861331 103.547 137.9594
58.227542 103.516 137.7161
58.593753 103.484 137.4740
58.959964 103.450 137.2347
59.326175 103.414 136.9992
59.692386 103.378 136.7675
60.058597 103.342 136.5392
60.424808 103.306 136.3144
60.791019 103.271 136.0939
61.157230 103.236 135.8789
61.523441 103.202 135.6699
61.889652 103.168 135.4658
62.255863 103.135 135.2640
62.622074 103.102 135.0605
62.988285 103.070 134.8518
63.354496 103.037 134.6356
63.720707 103.004 134.4113
64.086918 102.971 134.1810
64.453129 102.937 133.9478
64.819340 102.903 133.7158
65.185551 102.870 133.4883
65.551762 102.838 133.2670
65.917972 102.806 133.0518
66.284183 102.776 132.8414
66.650394 102.746 132.6342
67.016605 102.717 132.4293
67.382816 102.687 132.2266
67.749027 102.657 132.0264
68.115238 102.627 131.8294
68.481449 102.596 131.6353
68.847660 102.564 131.4437
69.213871 102.533 131.2537
69.580082 102.502 131.0648
69.946293 102.471 130.8769
70.312504 102.440 130.6895
70.678715 102.410 130.5023
71.044926 102.381 130.3143
71.411137 102.352 130.1246
71.777348 102.323 129.9327
72.143559 102.295 129.7385
72.509770 102.266 129.5426
72.875981 102.237 129.3466
73.242192 102.207 129.1523
73.608403 102.177 128.9611
73.974614 102.146 128.7743
74.340825 102.116 128.5915
74.707036 102.085 128.4114
75.073247 102.056 128.2319
75.439458 102.027 128.0504
75.805669 101.998 127.8655
76.171880 101.970 127.6775
76.538091 101.942 127.4879
76.904301 101.913 127.2994
77.270512 101.885 127.1144
77.636723 101.857 126.9341
78.002934 101.829 126.7583
78.369145 101.802 126.5857
78.735356 101.775 126.4140
79.101567 101.748 126.2411
79.467778 101.722 126.0654
79.833989 101.695 125.8862
80.200200 101.667 125.7037
80.566411 101.639 125.5197
80.932622 101.610 125.3362
81.298833 101.582 125.1556
81.665044 101.553 124.9799
82.031255 101.524 124.8100
82.397466 101.496 124.6454
82.763677 101.468 124.4850
83.129888 101.441 124.3264
83.496099 101.415 124.1675
83.862310 101.389 124.0063
84.228521 101.363 123.8415
84.594732 101.338 123.6724
84.960943 101.313 123.4992
85.327154 101.288 123.3228
85.693365 101.264 123.1447
86.059576 101.239 122.9664
86.425787 101.214 122.7896
86.791998 101.189 122.6154
87.158209 101.164 122.4442
87.524420 101.140 122.2752
87.890631 101.116 122.1073
88.256841 101.092 121.9392
88.623052 101.069 121.7703
88.989263 101.045 121.6012
89.355474 101.020 121.4335
89.721685 100.994 121.2695
90.087896 100.967 121.1107
90.454107 100.940 120.9573
90.820318 100.912 120.8073
91.186529 100.886 120.6578
91.552740 100.859 120.5055
91.918951 100.834 120.3481
92.285162 100.808 120.1854
92.651373 100.783 120.0186
93.017584 100.757 119.8504
93.383795 100.732 119.6834
93.750006 100.706 119.5193
94.116217 100.681 119.3587
94.482428 100.656 119.2007
94.848639 100.631 119.0439
95.214850 100.608 118.8864
95.581061 100.585 118.7269
95.947272 100.562 118.5647
96.313483 100.540 118.3998
96.679694 100.519 118.2330
97.045905 100.497 118.0656
97.412116 100.475 117.8991
97.778327 100.453 117.7351
98.144538 100.431 117.5745
98.510749 100.408 117.4176
98.876960 100.386 117.2641
99.243170 100.364 117.1130
99.609381 100.341 116.9633
99.975592 100.319 116.8140
100.341803 100.297 116.6646
100.708014 100.274 116.5152
101.074225 100.250 116.3663
101.440436 100.227 116.2181
101.806647 100.203 116.0703
102.172858 100.179 115.9218
102.539069 100.155 115.7710
102.905280 100.131 115.6162
103.271491 100.107 115.4566
103.637702 100.084 115.2921
104.003913 100.061 115.1238
104.370124 100.038 114.9533
104.736335 100.017 114.7828
105.102546 99.995 114.6143
105.468757 99.975 114.4492
105.834968 99.954 114.2890
106.201179 99.934 114.1342
106.567390 99.914 113.9846
106.933601 99.894 113.8400
107.299812 99.873 113.6992
107.666023 99.851 113.5608
108.032234 99.829 113.4233
108.398445 99.807 113.2850
108.764656 99.784 113.1447
109.130867 99.761 113.0012
109.497078 99.738 112.8543
109.863289 99.715 112.7043
110.229500 99.693 112.5523
110.595710 99.671 112.4000
110.961921 99.650 112.2488
111.328132 99.629 112.1002
111.694343 99.610 111.9545
112.060554 99.590 111.8118
112.426765 99.571 111.6716
112.792976 99.552 111.5329
113.159187 99.532 111.3953
113.525398 99.512 111.2581
113.891609 99.492 111.1214
114.257820 99.471 110.9852
114.624031 99.450 110.8495
114.990242 99.429 110.7148
115.356453 99.409 110.5813
115.722664 99.389 110.4489
116.088875 99.370 110.3177
116.455086 99.352 110.1872
116.821297 99.335 110.0567
117.187508 99.318 109.9250
117.553719 99.301 109.7912
117.919930 99.284 109.6543
118.286141 99.267 109.5139
118.652352 99.249 109.3703
119.018563 99.230 109.2242
119.384774 99.210 109.0767
119.750985 99.190 108.9291
120.117196 99.170 108.7824
120.483407 99.149 108.6376
120.849618 99.129 108.4948
121.215829 99.110 108.3541
121.582040 99.091 108.2149
121.948250 99.073 108.0768
122.314461 99.055 107.9389
122.680672 99.038 107.8011
123.046883 99.021 107.6631
123.413094 99.005 107.5251
123.779305 98.989 107.3875
124.145516 98.972 107.2504
124.511727 98.955 107.1139
124.877938 98.938 106.9778
125.244149 98.921 106.8418
125.610360 98.904 106.7057
125.976571 98.886 106.5690
126.342782 98.867 106.4316
126.708993 98.849 106.2933
127.075204 98.831 106.1540
127.441415 98.812 106.0136
127.807626 98.793 105.8723
128.173837 98.775 105.7301
128.540048 98.756 105.5871
128.906259 98.737 105.4431
129.272470 98.719 105.2983
129.638681 98.700 105.1524
130.004892 98.682 105.0053
130.371103 98.664 104.8569
130.737314 98.646 104.7072
131.103525 98.628 104.5565
131.469736 98.611 104.4049
131.835947 98.593 104.2532
132.202158 98.576 104.1018
132.568369 98.559 103.9513
132.934579 98.541 103.8022
133.300790 98.524 103.6546
133.667001 98.506 103.5089
134.033212 98.489 103.3650
134.399423 98.471 103.2232
134.765634 98.453 103.0836
135.131845 98.435 102.9462
135.498056 98.418 102.8110
135.864267 98.401 102.6781
136.230478 98.384 102.5472
136.596689 98.367 102.4176
136.962900 98.350 102.2889
137.329111 98.334 102.1602
137.695322 98.318 102.0308
138.061533 98.302 101.9000
138.427744 98.287 101.7675
138.793955 98.271 101.6332
139.160166 98.256 101.4973
139.526377 98.241 101.3600
139.892588 98.226 101.2220
140.258799 98.211 101.0834
140.625010 98.196 100.9448
140.991221 98.181 100.8063
141.357432 98.166 100.6682
141.723643 98.151 100.5307
142.089854 98.136 100.3937
142.456065 98.120 100.2575
142.822276 98.105 100.1221
143.188487 98.090 99.9877
143.554698 98.075 99.8545
143.920909 98.060 99.7224
144.287119 98.045 99.5915
144.653330 98.030 99.4615
145.019541 98.016 99.3322
145.385752 98.001 99.2031
145.751963 97.986 99.0740
146.118174 97.972 98.9444
146.484385 97.957 98.8141
146.850596 97.942 98.6829
147.216807 97.927 98.5509
147.583018 97.912 98.4182
147.949229 97.897 98.2850
148.315440 97.882 98.1515
148.681651 97.867 98.0179
149.047862 97.852 97.8847
149.414073 97.836 97.7519
149.780284 97.821 97.6195
150.146495 97.805 97.4877
150.512706 97.790 97.3561
150.878917 97.774 97.2246
151.245128 97.758 97.0927
151.611339 97.742 96.9600
151.977550 97.726 96.8261
152.343761 97.710 96.6905
152.709972 97.694 96.5531
153.076183 97.679 96.4137
153.442394 97.663 96.2726
153.808605 97.647 96.1302
154.174816 97.631 95.9872
154.541027 97.614 95.8445
154.907238 97.598 95.7028
155.273448 97.582 95.5627
155.639659 97.566 95.4248
156.005870 97.551 95.2891
156.372081 97.535 95.1554
156.738292 97.521 95.0230
157.104503 97.506 94.8912
157.470714 97.492 94.7592
157.836925 97.478 94.6262
158.203136 97.465 94.4916
158.569347 97.451 94.3549
158.935558 97.438 94.2159
159.301769 97.425 94.0744
159.667980 97.411 93.9305
160.034191 97.398 93.7842
160.400402 97.385 93.6359
160.766613 97.371 93.4858
161.132824 97.358 93.3347
161.499035 97.344 93.1833
161.865246 97.331 93.0320
162.231457 97.318 92.8818
162.597668 97.305 92.7330
162.963879 97.292 92.5861
163.330090 97.279 92.4410
163.696301 97.267 92.2977
164.062512 97.254 92.1558
164.428723 97.242 92.0149
164.794934 97.230 91.8746
165.161145 97.217 91.7343
165.527356 97.205 91.5935
165.893567 97.193 91.4518
166.259778 97.180 91.3089
166.625988 97.168 91.1646
166.992199 97.156 91.0187
167.358410 97.143 90.8713
167.724621 97.131 90.7228
168.090832 97.118 90.5733
168.457043 97.106 90.4233
168.823254 97.094 90.2733
169.189465 97.081 90.1237
169.555676 97.068 89.9750
169.921887 97.056 89.8273
170.288098 97.043 89.6808
170.654309 97.030 89.5354
171.020520 97.018 89.3909
171.386731 97.005 89.2469
171.752942 96.993 89.1029
172.119153 96.981 88.9587
172.485364 96.969 88.8137
