* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 13, 24 5:47:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er SE L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.710 25.0824
20.287556 95.716 25.0457
20.434568 95.724 24.9412
20.582645 95.734 24.7882
20.731796 95.745 24.6029
20.882027 95.757 24.3974
21.033346 95.769 24.1775
21.185762 95.781 23.9428
21.339283 95.793 23.7040
21.493916 95.806 23.4635
21.649670 95.818 23.2231
21.806553 95.830 22.9843
21.964573 95.843 22.7484
22.123737 95.855 22.5098
22.284056 95.868 22.2739
22.445536 95.881 22.0432
22.608185 95.894 21.8174
22.772013 95.907 21.5963
22.937029 95.921 21.3791
23.103241 95.934 21.1601
23.270657 95.947 20.9405
23.439285 95.959 20.7224
23.609137 95.970 20.5054
23.780218 95.981 20.2895
23.952539 95.991 20.0748
24.126110 95.999 19.8561
24.300938 96.007 19.6374
24.477032 96.014 19.4212
24.654402 96.020 19.2078
24.833057 96.026 18.9971
25.013008 96.032 18.7879
25.194263 96.039 18.5734
25.376831 96.046 18.3589
25.560722 96.053 18.1433
25.745945 96.062 17.9257
25.932510 96.070 17.7054
26.120428 96.079 17.4776
26.309708 96.088 17.2453
26.500359 96.097 17.0121
26.692390 96.105 16.7800
26.885815 96.112 16.5505
27.080641 96.119 16.3227
27.276878 96.125 16.0967
27.474539 96.131 15.8767
27.673630 96.137 15.6624
27.874165 96.143 15.4530
28.076153 96.149 15.2449
28.279604 96.155 15.0349
28.484529 96.161 14.8248
28.690941 96.167 14.6133
28.898848 96.173 14.3997
29.108261 96.179 14.1816
29.319191 96.184 13.9599
29.531651 96.189 13.7382
29.745649 96.193 13.5184
29.961199 96.196 13.3020
30.178310 96.199 13.0862
30.396996 96.202 12.8749
30.617264 96.204 12.6688
30.839128 96.207 12.4672
31.062601 96.209 12.2675
31.287693 96.212 12.0663
31.514416 96.215 11.8653
31.742783 96.217 11.6637
31.972803 96.220 11.4613
32.204491 96.222 11.2553
32.437859 96.225 11.0497
32.672916 96.227 10.8461
32.909679 96.230 10.6457
33.148155 96.233 10.4461
33.388359 96.236 10.2484
33.630306 96.239 10.0539
33.874004 96.242 9.8618
34.119469 96.245 9.6697
34.366711 96.246 9.4774
34.615746 96.245 9.2870
34.866585 96.243 9.0987
35.119244 96.239 8.9098
35.373734 96.236 8.7174
35.630066 96.233 8.5186
35.888256 96.231 8.3070
36.148315 96.232 8.0737
36.410259 96.234 7.8152
36.674103 96.237 7.5336
36.939857 96.241 7.2350
37.207539 96.243 6.9293
37.477161 96.242 6.6336
37.748737 96.240 6.3646
38.022282 96.236 6.1352
38.297806 96.232 5.9484
38.575329 96.228 5.8055
38.854862 96.226 5.6966
39.136421 96.226 5.6054
39.420021 96.226 5.5156
39.705673 96.226 5.4147
39.993397 96.224 5.2947
40.283207 96.221 5.1509
40.575115 96.215 4.9887
40.869141 96.208 4.8135
41.165295 96.200 4.6288
41.463596 96.193 4.4394
41.764057 96.187 4.2498
42.066696 96.182 4.0610
42.371529 96.179 3.8729
42.678570 96.176 3.6873
42.987835 96.174 3.5051
43.299343 96.170 3.3247
43.613110 96.166 3.1493
43.929150 96.161 2.9793
44.247478 96.155 2.8116
44.568115 96.149 2.6469
44.891075 96.143 2.4845
45.216373 96.138 2.3220
45.544029 96.134 2.1588
45.874062 96.129 1.9951
46.206486 96.125 1.8298
46.541317 96.121 1.6636
46.878574 96.117 1.4973
47.218277 96.113 1.3284
47.560440 96.109 1.1560
47.905083 96.104 0.9794
48.252224 96.099 0.7968
48.601879 96.093 0.6097
48.954067 96.087 0.4211
49.308807 96.079 0.2332
49.666119 96.072 0.0494
50.026020 96.064 -0.1290
50.388531 96.056 -0.3039
50.753666 96.048 -0.4739
51.121449 96.040 -0.6408
51.491894 96.032 -0.8065
51.865025 96.024 -0.9702
52.240860 96.016 -1.1334
52.619419 96.007 -1.2961
53.000721 95.998 -1.4579
53.384785 95.989 -1.6203
53.771633 95.979 -1.7812
54.161285 95.969 -1.9406
54.553761 95.959 -2.0990
54.949081 95.949 -2.2565
55.347263 95.940 -2.4153
55.748333 95.930 -2.5751
56.152309 95.920 -2.7360
56.559212 95.910 -2.8980
56.969063 95.900 -3.0597
57.381886 95.890 -3.2232
57.797699 95.880 -3.3853
58.216526 95.870 -3.5446
58.638386 95.859 -3.7000
59.063305 95.849 -3.8514
59.491302 95.838 -4.0005
59.922401 95.826 -4.1474
60.356625 95.814 -4.2952
60.793995 95.802 -4.4440
61.234531 95.789 -4.5943
61.678261 95.776 -4.7457
62.125206 95.764 -4.8969
62.575390 95.752 -5.0475
63.028835 95.741 -5.1972
63.485569 95.729 -5.3471
63.945610 95.717 -5.4946
64.408989 95.704 -5.6404
64.875725 95.692 -5.7832
65.345840 95.678 -5.9231
65.819366 95.665 -6.0604
66.296318 95.651 -6.1974
66.776726 95.637 -6.3346
67.260620 95.624 -6.4720
67.748016 95.610 -6.6104
68.238945 95.596 -6.7513
68.733429 95.582 -6.8938
69.231499 95.568 -7.0353
69.733177 95.554 -7.1748
70.238495 95.539 -7.3121
70.747475 95.525 -7.4473
71.260139 95.510 -7.5815
71.776520 95.495 -7.7148
72.296638 95.480 -7.8465
72.820526 95.466 -7.9767
73.348213 95.451 -8.1060
73.879723 95.437 -8.2345
74.415085 95.422 -8.3639
74.954330 95.407 -8.4929
75.497482 95.392 -8.6204
76.044571 95.377 -8.7453
76.595619 95.362 -8.8667
77.150665 95.346 -8.9837
77.709732 95.330 -9.0969
78.272850 95.314 -9.2072
78.840050 95.297 -9.3167
79.411354 95.279 -9.4264
79.986801 95.259 -9.5392
80.566422 95.240 -9.6575
81.150238 95.220 -9.7811
81.738289 95.201 -9.9078
82.330597 95.182 -10.0356
82.927200 95.164 -10.1603
83.528122 95.145 -10.2781
84.133400 95.127 -10.3916
84.743065 95.109 -10.5048
85.357147 95.091 -10.6183
85.975677 95.072 -10.7310
86.598694 95.054 -10.8387
87.226227 95.036 -10.9434
87.858307 95.017 -11.0464
88.494965 94.999 -11.1466
89.136238 94.980 -11.2457
89.782158 94.961 -11.3451
90.432755 94.941 -11.4470
91.088066 94.922 -11.5507
91.748131 94.902 -11.6537
92.412979 94.882 -11.7553
93.082642 94.861 -11.8539
93.757156 94.841 -11.9503
94.436562 94.821 -12.0444
95.120888 94.801 -12.1382
95.810173 94.781 -12.2327
96.504456 94.761 -12.3259
97.203766 94.740 -12.4189
97.908142 94.719 -12.5135
98.617622 94.698 -12.6051
99.332245 94.677 -12.6946
100.052048 94.657 -12.7818
100.777069 94.636 -12.8682
101.507339 94.615 -12.9513
102.242905 94.594 -13.0314
102.983795 94.573 -13.1086
103.730057 94.552 -13.1866
104.481728 94.531 -13.2625
105.238846 94.510 -13.3379
106.001450 94.488 -13.4135
106.769577 94.467 -13.4911
107.543274 94.444 -13.5660
108.322578 94.422 -13.6358
109.107529 94.399 -13.7009
109.898170 94.377 -13.7670
110.694534 94.354 -13.8367
111.496674 94.332 -13.9102
112.304626 94.310 -13.9873
113.118431 94.287 -14.0649
113.938133 94.263 -14.1369
114.763779 94.240 -14.1990
115.595406 94.216 -14.2474
116.433060 94.193 -14.2858
117.276779 94.171 -14.3152
118.126617 94.150 -14.3364
118.982613 94.131 -14.3651
119.844810 94.111 -14.4092
120.713257 94.090 -14.4722
121.587997 94.068 -14.5495
122.469070 94.045 -14.6321
123.356529 94.022 -14.7100
124.250420 93.998 -14.7767
125.150787 93.973 -14.8326
126.057678 93.946 -14.8794
126.971146 93.920 -14.9232
127.891228 93.894 -14.9720
128.817978 93.869 -15.0206
129.751450 93.846 -15.0655
130.691681 93.824 -15.1059
131.638733 93.801 -15.1429
132.592636 93.777 -15.1788
133.553452 93.751 -15.2157
134.521240 93.724 -15.2514
135.496033 93.697 -15.2815
136.477890 93.670 -15.3048
137.466858 93.645 -15.3201
138.462997 93.620 -15.3295
139.466354 93.596 -15.3379
140.476990 93.571 -15.3488
141.494949 93.545 -15.3674
142.520279 93.518 -15.3918
143.553040 93.490 -15.4159
144.593277 93.462 -15.4378
145.641052 93.435 -15.4576
146.696426 93.408 -15.4768
147.759445 93.382 -15.4946
148.830170 93.356 -15.5130
149.908661 93.332 -15.5297
150.994965 93.307 -15.5421
152.089142 93.282 -15.5551
153.191238 93.257 -15.5667
154.301331 93.232 -15.5781
155.419464 93.206 -15.5907
156.545700 93.180 -15.5996
157.680099 93.154 -15.6037
158.822708 93.129 -15.6057
159.973602 93.103 -15.6031
161.132843 93.077 -15.5998
162.300476 93.050 -15.5943
163.476578 93.024 -15.5858
164.661194 92.998 -15.5753
165.854401 92.972 -15.5632
167.056244 92.946 -15.5479
168.266800 92.920 -15.5326
169.486130 92.894 -15.5160
170.714294 92.868 -15.4976
171.951355 92.841 -15.4787
173.197388 92.814 -15.4597
174.452454 92.787 -15.4422
175.716614 92.759 -15.4260
176.989929 92.730 -15.4070
178.272476 92.702 -15.3889
179.564316 92.674 -15.3681
180.865509 92.646 -15.3425
182.176132 92.619 -15.3207
183.496262 92.592 -15.2937
184.825958 92.563 -15.2636
186.165283 92.534 -15.2294
187.514313 92.504 -15.1906
188.873123 92.474 -15.1523
190.241776 92.443 -15.1067
191.620346 92.412 -15.0670
193.008911 92.381 -15.0226
194.407532 92.350 -14.9840
195.816284 92.319 -14.9340
197.235245 92.287 -14.8773
198.664490 92.255 -14.8102
200.104095 92.222 -14.7301
201.554138 92.188 -14.6356
203.014679 92.155 -14.5266
204.485809 92.120 -14.4056
205.967590 92.086 -14.2732
207.460114 92.051 -14.1303
208.963455 92.017 -13.9697
210.477692 91.983 -13.7923
212.002899 91.951 -13.5956
213.539154 91.922 -13.3770
215.086548 91.898 -13.1363
216.645157 91.878 -12.8722
218.215057 91.863 -12.6009
219.796341 91.854 -12.3323
221.389069 91.852 -12.0760
222.993347 91.855 -11.8461
224.609253 91.863 -11.6506
226.236862 91.873 -11.4953
227.876266 91.885 -11.3804
229.527557 91.896 -11.3024
231.190811 91.904 -11.2596
232.866119 91.910 -11.2469
234.553558 91.911 -11.2627
236.253235 91.909 -11.2897
237.965225 91.902 -11.3197
239.689621 91.891 -11.3524
241.426514 91.877 -11.3801
243.175995 91.861 -11.4011
244.938141 91.842 -11.4144
246.713058 91.822 -11.4206
248.500839 91.801 -11.4154
250.301575 91.779 -11.4057
252.115356 91.757 -11.3868
253.942291 91.734 -11.3561
255.782455 91.712 -11.3176
257.635956 91.690 -11.2681
259.502899 91.667 -11.2159
261.383362 91.645 -11.1599
263.277466 91.622 -11.0919
265.185272 91.599 -11.0204
267.106903 91.576 -10.9436
269.042480 91.553 -10.8651
270.992065 91.529 -10.7792
272.955780 91.505 -10.6889
274.933716 91.481 -10.5921
276.925995 91.456 -10.4853
278.932709 91.432 -10.3784
280.953979 91.407 -10.2655
282.989899 91.382 -10.1445
285.040558 91.358 -10.0250
287.106079 91.335 -9.9013
289.186554 91.314 -9.7727
291.282104 91.293 -9.6380
293.392853 91.273 -9.4988
295.518890 91.255 -9.3547
297.660339 91.238 -9.2103
299.817322 91.222 -9.0657
301.989929 91.207 -8.9170
304.178284 91.193 -8.7701
306.382477 91.180 -8.6247
308.602661 91.169 -8.4798
310.838928 91.159 -8.3404
313.091400 91.149 -8.2108
315.360199 91.140 -8.0907
317.645416 91.131 -7.9842
319.947205 91.121 -7.8865
322.265686 91.110 -7.8001
324.600952 91.098 -7.7211
326.953156 91.084 -7.6432
329.322388 91.068 -7.5656
331.708801 91.052 -7.4854
334.112488 91.034 -7.4007
336.533600 91.016 -7.3101
338.972260 90.998 -7.2145
341.428589 90.979 -7.1104
343.902710 90.961 -6.9973
346.394775 90.942 -6.8726
348.904907 90.924 -6.7401
351.433228 90.905 -6.5998
353.979858 90.887 -6.4615
