* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 13, 24 5:48:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er SE R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.533 27.9081
20.287556 95.540 27.8708
20.434568 95.549 27.7655
20.582645 95.561 27.6118
20.731796 95.575 27.4261
20.882027 95.590 27.2201
21.033346 95.605 26.9991
21.185762 95.621 26.7621
21.339283 95.637 26.5189
21.493916 95.654 26.2711
21.649670 95.670 26.0200
21.806553 95.687 25.7669
21.964573 95.703 25.5133
22.123737 95.719 25.2540
22.284056 95.734 24.9955
22.445536 95.748 24.7414
22.608185 95.762 24.4930
22.772013 95.775 24.2512
22.937029 95.788 24.0163
23.103241 95.801 23.7833
23.270657 95.813 23.5528
23.439285 95.825 23.3265
23.609137 95.838 23.1023
23.780218 95.850 22.8783
23.952539 95.863 22.6523
24.126110 95.876 22.4173
24.300938 95.889 22.1755
24.477032 95.902 21.9289
24.654402 95.915 21.6779
24.833057 95.927 21.4239
25.013008 95.939 21.1681
25.194263 95.950 20.9069
25.376831 95.961 20.6489
25.560722 95.971 20.3965
25.745945 95.982 20.1513
25.932510 95.991 19.9143
26.120428 96.001 19.6811
26.309708 96.011 19.4532
26.500359 96.020 19.2322
26.692390 96.030 19.0165
26.885815 96.039 18.8042
27.080641 96.048 18.5908
27.276878 96.056 18.3736
27.474539 96.063 18.1550
27.673630 96.070 17.9345
27.874165 96.076 17.7119
28.076153 96.081 17.4857
28.279604 96.086 17.2551
28.484529 96.091 17.0243
28.690941 96.095 16.7943
28.898848 96.100 16.5658
29.108261 96.106 16.3365
29.319191 96.112 16.1070
29.531651 96.119 15.8795
29.745649 96.126 15.6543
29.961199 96.134 15.4313
30.178310 96.141 15.2066
30.396996 96.148 14.9837
30.617264 96.154 14.7638
30.839128 96.159 14.5467
31.062601 96.163 14.3309
31.287693 96.167 14.1134
31.514416 96.171 13.8963
31.742783 96.175 13.6782
31.972803 96.178 13.4582
32.204491 96.182 13.2325
32.437859 96.186 13.0049
32.672916 96.190 12.7771
32.909679 96.194 12.5516
33.148155 96.198 12.3277
33.388359 96.202 12.1083
33.630306 96.205 11.8957
33.874004 96.209 11.6892
34.119469 96.211 11.4851
34.366711 96.213 11.2809
34.615746 96.213 11.0766
34.866585 96.213 10.8706
35.119244 96.212 10.6606
35.373734 96.210 10.4459
35.630066 96.210 10.2271
35.888256 96.212 10.0018
36.148315 96.218 9.7637
36.410259 96.227 9.5096
36.674103 96.239 9.2388
36.939857 96.252 8.9525
37.207539 96.265 8.6550
37.477161 96.275 8.3589
37.748737 96.280 8.0790
38.022282 96.279 7.8295
38.297806 96.274 7.6171
38.575329 96.266 7.4482
38.854862 96.256 7.3165
39.136421 96.246 7.2071
39.420021 96.238 7.1022
39.705673 96.231 6.9863
39.993397 96.226 6.8481
40.283207 96.221 6.6818
40.575115 96.217 6.4937
40.869141 96.213 6.2923
41.165295 96.210 6.0846
41.463596 96.207 5.8782
41.764057 96.206 5.6782
42.066696 96.206 5.4843
42.371529 96.205 5.2941
42.678570 96.204 5.1070
42.987835 96.201 4.9217
43.299343 96.196 4.7343
43.613110 96.189 4.5462
43.929150 96.182 4.3556
44.247478 96.175 4.1581
44.568115 96.169 3.9546
44.891075 96.163 3.7469
45.216373 96.158 3.5375
45.544029 96.152 3.3318
45.874062 96.147 3.1346
46.206486 96.142 2.9467
46.541317 96.137 2.7677
46.878574 96.132 2.5946
47.218277 96.127 2.4209
47.560440 96.122 2.2432
47.905083 96.117 2.0605
48.252224 96.110 1.8719
48.601879 96.104 1.6807
48.954067 96.097 1.4901
49.308807 96.090 1.3015
49.666119 96.083 1.1165
50.026020 96.076 0.9348
50.388531 96.069 0.7535
50.753666 96.062 0.5740
51.121449 96.054 0.3950
51.491894 96.046 0.2156
51.865025 96.037 0.0372
52.240860 96.028 -0.1411
52.619419 96.020 -0.3188
53.000721 96.011 -0.4954
53.384785 96.002 -0.6727
53.771633 95.994 -0.8484
54.161285 95.985 -1.0229
54.553761 95.976 -1.1962
54.949081 95.967 -1.3677
55.347263 95.957 -1.5389
55.748333 95.947 -1.7090
56.152309 95.936 -1.8782
56.559212 95.926 -2.0468
56.969063 95.915 -2.2140
57.381886 95.905 -2.3827
57.797699 95.894 -2.5503
58.216526 95.883 -2.7166
58.638386 95.872 -2.8812
59.063305 95.861 -3.0443
59.491302 95.849 -3.2069
59.922401 95.837 -3.3676
60.356625 95.825 -3.5278
60.793995 95.813 -3.6863
61.234531 95.801 -3.8435
61.678261 95.790 -4.0003
62.125206 95.779 -4.1578
62.575390 95.769 -4.3181
63.028835 95.758 -4.4815
63.485569 95.746 -4.6477
63.945610 95.732 -4.8118
64.408989 95.718 -4.9727
64.875725 95.703 -5.1291
65.345840 95.689 -5.2831
65.819366 95.674 -5.4365
66.296318 95.660 -5.5916
66.776726 95.646 -5.7472
67.260620 95.632 -5.9009
67.748016 95.618 -6.0519
68.238945 95.604 -6.2020
68.733429 95.590 -6.3514
69.231499 95.576 -6.4982
69.733177 95.563 -6.6421
70.238495 95.551 -6.7833
70.747475 95.539 -6.9229
71.260139 95.526 -7.0634
71.776520 95.512 -7.2060
72.296638 95.496 -7.3498
72.820526 95.479 -7.4936
73.348213 95.460 -7.6356
73.879723 95.441 -7.7746
74.415085 95.424 -7.9123
74.954330 95.406 -8.0489
75.497482 95.390 -8.1856
76.044571 95.374 -8.3232
76.595619 95.357 -8.4616
77.150665 95.340 -8.5994
77.709732 95.322 -8.7350
78.272850 95.303 -8.8658
78.840050 95.284 -8.9903
79.411354 95.265 -9.1078
79.986801 95.246 -9.2215
80.566422 95.228 -9.3368
81.150238 95.209 -9.4571
81.738289 95.191 -9.5830
82.330597 95.173 -9.7153
82.927200 95.155 -9.8504
83.528122 95.138 -9.9827
84.133400 95.120 -10.1102
84.743065 95.101 -10.2322
85.357147 95.083 -10.3485
85.975677 95.064 -10.4609
86.598694 95.044 -10.5686
87.226227 95.025 -10.6747
87.858307 95.005 -10.7807
88.494965 94.985 -10.8856
89.136238 94.964 -10.9914
89.782158 94.943 -11.0982
90.432755 94.921 -11.2060
91.088066 94.899 -11.3132
91.748131 94.878 -11.4184
92.412979 94.857 -11.5231
93.082642 94.837 -11.6271
93.757156 94.817 -11.7309
94.436562 94.797 -11.8329
95.120888 94.776 -11.9330
95.810173 94.755 -12.0311
96.504456 94.733 -12.1253
97.203766 94.711 -12.2173
97.908142 94.688 -12.3094
98.617622 94.666 -12.3978
99.332245 94.643 -12.4837
100.052048 94.620 -12.5675
100.777069 94.598 -12.6502
101.507339 94.576 -12.7282
102.242905 94.554 -12.8004
102.983795 94.533 -12.8678
103.730057 94.511 -12.9373
104.481728 94.489 -13.0109
105.238846 94.467 -13.0937
106.001450 94.445 -13.1861
106.769577 94.422 -13.2862
107.543274 94.399 -13.3852
108.322578 94.376 -13.4789
109.107529 94.352 -13.5675
109.898170 94.329 -13.6559
110.694534 94.306 -13.7429
111.496674 94.282 -13.8249
112.304626 94.260 -13.9004
113.118431 94.236 -13.9697
113.938133 94.212 -14.0329
114.763779 94.187 -14.0917
115.595406 94.160 -14.1461
116.433060 94.132 -14.2034
117.276779 94.103 -14.2670
118.126617 94.074 -14.3350
118.982613 94.045 -14.4116
119.844810 94.018 -14.4871
120.713257 93.995 -14.5538
121.587997 93.975 -14.6103
122.469070 93.958 -14.6579
123.356529 93.942 -14.6980
124.250420 93.926 -14.7342
125.150787 93.907 -14.7729
126.057678 93.885 -14.8147
126.971146 93.859 -14.8588
127.891228 93.830 -14.9069
128.817978 93.800 -14.9512
129.751450 93.771 -14.9888
130.691681 93.744 -15.0184
131.638733 93.717 -15.0403
132.592636 93.691 -15.0585
133.553452 93.665 -15.0820
134.521240 93.639 -15.1147
135.496033 93.614 -15.1542
136.477890 93.588 -15.1965
137.466858 93.561 -15.2361
138.462997 93.535 -15.2710
139.466354 93.509 -15.3028
140.476990 93.482 -15.3322
141.494949 93.456 -15.3626
142.520279 93.430 -15.3913
143.553040 93.404 -15.4116
144.593277 93.377 -15.4227
145.641052 93.350 -15.4282
146.696426 93.322 -15.4340
147.759445 93.293 -15.4424
148.830170 93.264 -15.4565
149.908661 93.236 -15.4733
150.994965 93.207 -15.4882
152.089142 93.179 -15.5026
153.191238 93.153 -15.5115
154.301331 93.127 -15.5159
155.419464 93.101 -15.5202
156.545700 93.075 -15.5228
157.680099 93.049 -15.5245
158.822708 93.022 -15.5280
159.973602 92.995 -15.5300
161.132843 92.967 -15.5327
162.300476 92.940 -15.5332
163.476578 92.912 -15.5301
164.661194 92.884 -15.5252
165.854401 92.856 -15.5198
167.056244 92.828 -15.5124
168.266800 92.799 -15.5046
169.486130 92.770 -15.4940
170.714294 92.741 -15.4796
171.951355 92.712 -15.4630
173.197388 92.683 -15.4433
174.452454 92.654 -15.4205
175.716614 92.624 -15.3934
176.989929 92.595 -15.3596
178.272476 92.565 -15.3251
179.564316 92.535 -15.2884
180.865509 92.503 -15.2489
182.176132 92.470 -15.2161
183.496262 92.436 -15.1811
184.825958 92.402 -15.1451
186.165283 92.367 -15.1059
187.514313 92.333 -15.0617
188.873123 92.300 -15.0152
190.241776 92.267 -14.9550
191.620346 92.235 -14.8904
193.008911 92.203 -14.8088
194.407532 92.170 -14.7222
195.816284 92.136 -14.6161
197.235245 92.100 -14.4986
198.664490 92.063 -14.3695
200.104095 92.024 -14.2287
201.554138 91.984 -14.0751
203.014679 91.944 -13.9041
204.485809 91.904 -13.7112
205.967590 91.868 -13.4920
207.460114 91.834 -13.2475
208.963455 91.805 -12.9746
210.477692 91.782 -12.6822
212.002899 91.764 -12.3789
213.539154 91.754 -12.0735
215.086548 91.751 -11.7780
216.645157 91.756 -11.5008
218.215057 91.766 -11.2611
219.796341 91.781 -11.0634
221.389069 91.798 -10.9094
222.993347 91.814 -10.8055
224.609253 91.828 -10.7510
226.236862 91.839 -10.7409
227.876266 91.847 -10.7625
229.527557 91.852 -10.8009
231.190811 91.852 -10.8458
232.866119 91.848 -10.8900
234.553558 91.840 -10.9372
236.253235 91.828 -10.9787
237.965225 91.814 -11.0107
239.689621 91.798 -11.0341
241.426514 91.781 -11.0435
243.175995 91.764 -11.0421
244.938141 91.745 -11.0333
246.713058 91.726 -11.0200
248.500839 91.705 -10.9982
250.301575 91.682 -10.9740
252.115356 91.659 -10.9428
253.942291 91.635 -10.9017
255.782455 91.611 -10.8541
257.635956 91.586 -10.7962
259.502899 91.561 -10.7361
261.383362 91.536 -10.6730
263.277466 91.510 -10.5989
265.185272 91.485 -10.5212
267.106903 91.459 -10.4369
269.042480 91.434 -10.3490
270.992065 91.408 -10.2524
272.955780 91.383 -10.1524
274.933716 91.357 -10.0488
276.925995 91.331 -9.9381
278.932709 91.306 -9.8292
280.953979 91.281 -9.7159
282.989899 91.258 -9.5958
285.040558 91.236 -9.4772
287.106079 91.216 -9.3523
289.186554 91.197 -9.2196
291.282104 91.180 -9.0791
293.392853 91.163 -8.9338
295.518890 91.148 -8.7848
297.660339 91.133 -8.6381
299.817322 91.118 -8.4954
301.989929 91.104 -8.3541
304.178284 91.089 -8.2210
306.382477 91.075 -8.0968
308.602661 91.060 -7.9782
310.838928 91.045 -7.8658
313.091400 91.031 -7.7590
315.360199 91.016 -7.6548
317.645416 91.000 -7.5562
319.947205 90.984 -7.4581
322.265686 90.967 -7.3632
324.600952 90.949 -7.2674
326.953156 90.931 -7.1660
329.322388 90.912 -7.0617
331.708801 90.893 -6.9544
334.112488 90.874 -6.8428
336.533600 90.855 -6.7249
338.972260 90.836 -6.6023
341.428589 90.817 -6.4739
343.902710 90.797 -6.3420
346.394775 90.778 -6.2049
348.904907 90.759 -6.0647
351.433228 90.739 -5.9186
353.979858 90.720 -5.7726
356.544952 90.700 -5.6252
