* Measurement data measured by REW V5.30.4
* Source: EXCL: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), 0, volume: 0.350
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 19, 24 2:29:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Hype4 R
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.004 19.2178
20.287556 98.004 19.1150
20.434568 98.004 18.9922
20.582645 98.004 18.8504
20.731796 98.004 18.6907
20.882027 98.005 18.5140
21.033346 98.005 18.3214
21.185762 98.006 18.1140
21.339283 98.007 17.8928
21.493916 98.008 17.6586
21.649670 98.010 17.4124
21.806553 98.012 17.1549
21.964573 98.014 16.8868
22.123737 98.017 16.6088
22.284056 98.019 16.3215
22.445536 98.022 16.0256
22.608185 98.024 15.7215
22.772013 98.027 15.4099
22.937029 98.029 15.0913
23.103241 98.031 14.7663
23.270657 98.033 14.4354
23.439285 98.035 14.0993
23.609137 98.036 13.7585
23.780218 98.037 13.4138
23.952539 98.037 13.0657
24.126110 98.037 12.7149
24.300938 98.036 12.3621
24.477032 98.035 12.0081
24.654402 98.034 11.6535
24.833057 98.032 11.2990
25.013008 98.029 10.9454
25.194263 98.026 10.5932
25.376831 98.023 10.2431
25.560722 98.019 9.8955
25.745945 98.015 9.5511
25.932510 98.011 9.2100
26.120428 98.007 8.8727
26.309708 98.002 8.5394
26.500359 97.997 8.2101
26.692390 97.992 7.8850
26.885815 97.987 7.5640
27.080641 97.982 7.2469
27.276878 97.977 6.9337
27.474539 97.972 6.6241
27.673630 97.967 6.3179
27.874165 97.962 6.0148
28.076153 97.957 5.7143
28.279604 97.953 5.4163
28.484529 97.948 5.1203
28.690941 97.943 4.8261
28.898848 97.939 4.5335
29.108261 97.934 4.2421
29.319191 97.930 3.9519
29.531651 97.925 3.6627
29.745649 97.921 3.3745
29.961199 97.916 3.0870
30.178310 97.912 2.8003
30.396996 97.907 2.5144
30.617264 97.902 2.2289
30.839128 97.897 1.9440
31.062601 97.892 1.6594
31.287693 97.886 1.3750
31.514416 97.880 1.0908
31.742783 97.875 0.8065
31.972803 97.868 0.5221
32.204491 97.862 0.2375
32.437859 97.855 -0.0474
32.672916 97.848 -0.3328
32.909679 97.841 -0.6188
33.148155 97.833 -0.9056
33.388359 97.826 -1.1934
33.630306 97.818 -1.4825
33.874004 97.809 -1.7731
34.119469 97.801 -2.0654
34.366711 97.792 -2.3597
34.615746 97.784 -2.6560
34.866585 97.774 -2.9544
35.119244 97.765 -3.2550
35.373734 97.756 -3.5578
35.630066 97.746 -3.8627
35.888256 97.736 -4.1696
36.148315 97.726 -4.4785
36.410259 97.715 -4.7891
36.674103 97.705 -5.1014
36.939857 97.694 -5.4150
37.207539 97.683 -5.7298
37.477161 97.673 -6.0456
37.748737 97.662 -6.3621
38.022282 97.650 -6.6790
38.297806 97.639 -6.9960
38.575329 97.628 -7.3128
38.854862 97.616 -7.6292
39.136421 97.604 -7.9448
39.420021 97.591 -8.2596
39.705673 97.578 -8.5733
39.993397 97.565 -8.8858
40.283207 97.551 -9.1971
40.575115 97.537 -9.5069
40.869141 97.522 -9.8153
41.165295 97.507 -10.1221
41.463596 97.492 -10.4274
41.764057 97.476 -10.7309
42.066696 97.460 -11.0327
42.371529 97.443 -11.3327
42.678570 97.427 -11.6310
42.987835 97.410 -11.9274
43.299343 97.392 -12.2223
43.613110 97.375 -12.5158
43.929150 97.357 -12.8083
44.247478 97.339 -13.1000
44.568115 97.321 -13.3915
44.891075 97.302 -13.6831
45.216373 97.284 -13.9751
45.544029 97.265 -14.2681
45.874062 97.246 -14.5621
46.206486 97.227 -14.8575
46.541317 97.207 -15.1542
46.878574 97.187 -15.4524
47.218277 97.167 -15.7519
47.560440 97.146 -16.0524
47.905083 97.125 -16.3539
48.252224 97.103 -16.6559
48.601879 97.080 -16.9581
48.954067 97.057 -17.2601
49.308807 97.034 -17.5615
49.666119 97.010 -17.8619
50.026020 96.985 -18.1608
50.388531 96.960 -18.4579
50.753666 96.934 -18.7528
51.121449 96.908 -19.0453
51.491894 96.881 -19.3352
51.865025 96.855 -19.6224
52.240860 96.828 -19.9070
52.619419 96.801 -20.1892
53.000721 96.773 -20.4692
53.384785 96.746 -20.7472
53.771633 96.719 -21.0238
54.161285 96.691 -21.2991
54.553761 96.664 -21.5737
54.949081 96.637 -21.8479
55.347263 96.609 -22.1219
55.748333 96.581 -22.3961
56.152309 96.554 -22.6704
56.559212 96.526 -22.9452
56.969063 96.498 -23.2203
57.381886 96.470 -23.4957
57.797699 96.441 -23.7713
58.216526 96.412 -24.0471
58.638386 96.383 -24.3228
59.063305 96.354 -24.5982
59.491302 96.325 -24.8733
59.922401 96.295 -25.1479
60.356625 96.265 -25.4217
60.793995 96.235 -25.6945
61.234531 96.205 -25.9663
61.678261 96.175 -26.2367
62.125206 96.144 -26.5055
62.575390 96.113 -26.7727
63.028835 96.082 -27.0380
63.485569 96.051 -27.3012
63.945610 96.019 -27.5624
64.408989 95.987 -27.8213
64.875725 95.955 -28.0781
65.345840 95.922 -28.3328
65.819366 95.889 -28.5853
66.296318 95.855 -28.8359
66.776726 95.821 -29.0846
67.260620 95.786 -29.3317
67.748016 95.751 -29.5773
68.238945 95.715 -29.8216
68.733429 95.678 -30.0647
69.231499 95.640 -30.3067
69.733177 95.602 -30.5478
70.238495 95.563 -30.7879
70.747475 95.524 -31.0270
71.260139 95.484 -31.2650
71.776520 95.443 -31.5018
72.296638 95.402 -31.7372
72.820526 95.360 -31.9711
73.348213 95.319 -32.2032
73.879723 95.276 -32.4333
74.415085 95.234 -32.6614
74.954330 95.191 -32.8874
75.497482 95.148 -33.1111
76.044571 95.104 -33.3328
76.595619 95.060 -33.5524
77.150665 95.016 -33.7701
77.709732 94.971 -33.9859
78.272850 94.926 -34.2001
78.840050 94.881 -34.4127
79.411354 94.835 -34.6239
79.986801 94.788 -34.8336
80.566422 94.741 -35.0420
81.150238 94.694 -35.2489
81.738289 94.646 -35.4543
82.330597 94.597 -35.6582
82.927200 94.549 -35.8603
83.528122 94.500 -36.0604
84.133400 94.450 -36.2585
84.743065 94.400 -36.4543
85.357147 94.350 -36.6477
85.975677 94.300 -36.8386
86.598694 94.249 -37.0269
87.226227 94.199 -37.2126
87.858307 94.148 -37.3956
88.494965 94.096 -37.5760
89.136238 94.045 -37.7538
89.782158 93.993 -37.9290
90.432755 93.942 -38.1015
91.088066 93.890 -38.2714
91.748131 93.838 -38.4385
92.412979 93.786 -38.6029
93.082642 93.734 -38.7643
93.757156 93.681 -38.9228
94.436562 93.629 -39.0782
95.120888 93.576 -39.2304
95.810173 93.523 -39.3794
96.504456 93.470 -39.5251
97.203766 93.417 -39.6676
97.908142 93.364 -39.8068
98.617622 93.311 -39.9428
99.332245 93.257 -40.0756
100.052048 93.203 -40.2053
100.777069 93.149 -40.3318
101.507339 93.095 -40.4553
102.242905 93.040 -40.5758
102.983795 92.985 -40.6933
103.730057 92.930 -40.8080
104.481728 92.875 -40.9200
105.238846 92.819 -41.0292
106.001450 92.763 -41.1358
106.769577 92.707 -41.2397
107.543274 92.650 -41.3409
108.322578 92.594 -41.4393
109.107529 92.537 -41.5348
109.898170 92.479 -41.6272
110.694534 92.421 -41.7162
111.496674 92.363 -41.8016
112.304626 92.305 -41.8831
113.118431 92.246 -41.9605
113.938133 92.187 -42.0334
114.763779 92.127 -42.1014
115.595406 92.067 -42.1643
116.433060 92.007 -42.2219
117.276779 91.946 -42.2738
118.126617 91.885 -42.3198
118.982613 91.824 -42.3598
119.844810 91.763 -42.3935
120.713257 91.701 -42.4208
121.587997 91.640 -42.4417
122.469070 91.578 -42.4560
123.356529 91.516 -42.4636
124.250420 91.453 -42.4645
125.150787 91.391 -42.4588
126.057678 91.329 -42.4463
126.971146 91.266 -42.4273
127.891228 91.204 -42.4019
128.817978 91.141 -42.3702
129.751450 91.079 -42.3325
130.691681 91.016 -42.2892
131.638733 90.954 -42.2404
132.592636 90.892 -42.1868
133.553452 90.830 -42.1285
134.521240 90.769 -42.0662
135.496033 90.707 -42.0000
136.477890 90.646 -41.9304
137.466858 90.586 -41.8577
138.462997 90.526 -41.7821
139.466354 90.466 -41.7039
140.476990 90.407 -41.6231
141.494949 90.348 -41.5399
142.520279 90.289 -41.4545
143.553040 90.231 -41.3668
144.593277 90.174 -41.2768
145.641052 90.117 -41.1846
146.696426 90.060 -41.0901
147.759445 90.004 -40.9932
148.830170 89.948 -40.8937
149.908661 89.893 -40.7916
150.994965 89.838 -40.6867
152.089142 89.784 -40.5790
153.191238 89.730 -40.4681
154.301331 89.676 -40.3541
155.419464 89.623 -40.2367
156.545700 89.570 -40.1159
157.680099 89.517 -39.9915
158.822708 89.465 -39.8635
159.973602 89.413 -39.7319
161.132843 89.361 -39.5967
162.300476 89.310 -39.4578
163.476578 89.260 -39.3153
164.661194 89.209 -39.1694
165.854401 89.159 -39.0201
167.056244 89.110 -38.8675
168.266800 89.061 -38.7118
169.486130 89.012 -38.5531
170.714294 88.964 -38.3915
171.951355 88.916 -38.2271
173.197388 88.868 -38.0601
174.452454 88.821 -37.8906
175.716614 88.774 -37.7186
176.989929 88.728 -37.5443
178.272476 88.682 -37.3675
179.564316 88.636 -37.1885
180.865509 88.591 -37.0072
182.176132 88.546 -36.8235
183.496262 88.501 -36.6375
184.825958 88.456 -36.4490
186.165283 88.412 -36.2581
187.514313 88.368 -36.0647
188.873123 88.325 -35.8685
190.241776 88.282 -35.6696
191.620346 88.239 -35.4677
193.008911 88.197 -35.2629
194.407532 88.154 -35.0548
195.816284 88.113 -34.8435
197.235245 88.071 -34.6288
198.664490 88.031 -34.4104
200.104095 87.990 -34.1885
201.554138 87.950 -33.9627
203.014679 87.910 -33.7330
204.485809 87.871 -33.4993
205.967590 87.833 -33.2615
207.460114 87.795 -33.0195
208.963455 87.758 -32.7734
210.477692 87.721 -32.5229
212.002899 87.685 -32.2682
213.539154 87.650 -32.0093
215.086548 87.615 -31.7461
216.645157 87.582 -31.4788
218.215057 87.549 -31.2075
219.796341 87.517 -30.9324
221.389069 87.487 -30.6538
222.993347 87.457 -30.3719
224.609253 87.429 -30.0871
226.236862 87.402 -29.8000
227.876266 87.376 -29.5110
229.527557 87.352 -29.2208
231.190811 87.329 -28.9302
232.866119 87.308 -28.6399
234.553558 87.288 -28.3508
236.253235 87.269 -28.0639
237.965225 87.252 -27.7800
239.689621 87.237 -27.5002
241.426514 87.223 -27.2254
243.175995 87.210 -26.9564
244.938141 87.198 -26.6941
246.713058 87.187 -26.4392
248.500839 87.178 -26.1922
250.301575 87.169 -25.9535
252.115356 87.160 -25.7234
253.942291 87.153 -25.5019
255.782455 87.145 -25.2890
257.635956 87.138 -25.0842
259.502899 87.131 -24.8874
261.383362 87.124 -24.6978
263.277466 87.117 -24.5149
265.185272 87.110 -24.3381
267.106903 87.102 -24.1665
269.042480 87.094 -23.9994
270.992065 87.085 -23.8361
272.955780 87.076 -23.6759
274.933716 87.067 -23.5182
276.925995 87.057 -23.3623
278.932709 87.047 -23.2077
280.953979 87.037 -23.0539
282.989899 87.026 -22.9005
285.040558 87.015 -22.7473
287.106079 87.004 -22.5939
289.186554 86.992 -22.4401
291.282104 86.981 -22.2858
293.392853 86.969 -22.1310
295.518890 86.958 -21.9754
297.660339 86.946 -21.8192
299.817322 86.935 -21.6623
301.989929 86.923 -21.5048
304.178284 86.912 -21.3467
306.382477 86.901 -21.1882
308.602661 86.890 -21.0292
310.838928 86.880 -20.8700
313.091400 86.869 -20.7107
315.360199 86.859 -20.5512
317.645416 86.849 -20.3918
319.947205 86.839 -20.2324
322.265686 86.830 -20.0732
324.600952 86.820 -19.9143
326.953156 86.811 -19.7555
329.322388 86.802 -19.5971
331.708801 86.794 -19.4391
334.112488 86.785 -19.2813
336.533600 86.777 -19.1240
338.972260 86.769 -18.9671
341.428589 86.761 -18.8106
343.902710 86.753 -18.6546
