* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 12, 24 1:31:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Oracle R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.961 -157.1786
20.287556 96.968 -157.3343
20.434568 96.977 -157.5592
20.582645 96.987 -157.8334
20.731796 96.997 -158.1391
20.882027 97.007 -158.4625
21.033346 97.016 -158.7934
21.185762 97.023 -159.1248
21.339283 97.030 -159.4525
21.493916 97.035 -159.7740
21.649670 97.041 -160.0887
21.806553 97.047 -160.3977
21.964573 97.053 -160.7030
22.123737 97.060 -161.0077
22.284056 97.068 -161.3147
22.445536 97.076 -161.6267
22.608185 97.083 -161.9454
22.772013 97.090 -162.2710
22.937029 97.095 -162.6019
23.103241 97.097 -162.9349
23.270657 97.097 -163.2651
23.439285 97.094 -163.5872
23.609137 97.089 -163.8956
23.780218 97.082 -164.1857
23.952539 97.075 -164.4544
24.126110 97.068 -164.7013
24.300938 97.063 -164.9286
24.477032 97.062 -165.1413
24.654402 97.064 -165.3466
24.833057 97.070 -165.5530
25.013008 97.080 -165.7691
25.194263 97.093 -166.0024
25.376831 97.107 -166.2579
25.560722 97.122 -166.5380
25.745945 97.136 -166.8418
25.932510 97.147 -167.1657
26.120428 97.156 -167.5036
26.309708 97.160 -167.8487
26.500359 97.161 -168.1938
26.692390 97.158 -168.5328
26.885815 97.153 -168.8613
27.080641 97.146 -169.1770
27.276878 97.139 -169.4804
27.474539 97.132 -169.7735
27.673630 97.127 -170.0600
27.874165 97.123 -170.3442
28.076153 97.121 -170.6301
28.279604 97.121 -170.9208
28.484529 97.122 -171.2179
28.690941 97.124 -171.5215
28.898848 97.126 -171.8299
29.108261 97.127 -172.1404
29.319191 97.129 -172.4494
29.531651 97.129 -172.7531
29.745649 97.128 -173.0484
29.961199 97.126 -173.3331
30.178310 97.124 -173.6067
30.396996 97.120 -173.8698
30.617264 97.117 -174.1251
30.839128 97.113 -174.3762
31.062601 97.110 -174.6272
31.287693 97.106 -174.8825
31.514416 97.102 -175.1456
31.742783 97.099 -175.4187
31.972803 97.094 -175.7023
32.204491 97.090 -175.9957
32.437859 97.084 -176.2965
32.672916 97.078 -176.6019
32.909679 97.072 -176.9090
33.148155 97.066 -177.2150
33.388359 97.060 -177.5182
33.630306 97.053 -177.8179
33.874004 97.047 -178.1140
34.119469 97.041 -178.4069
34.366711 97.035 -178.6973
34.615746 97.029 -178.9853
34.866585 97.022 -179.2709
35.119244 97.016 -179.5536
35.373734 97.009 -179.8325
35.630066 97.002 179.8932
35.888256 96.995 179.6239
36.148315 96.989 179.3596
36.410259 96.983 179.0995
36.674103 96.976 178.8423
36.939857 96.969 178.5862
37.207539 96.962 178.3293
37.477161 96.953 178.0695
37.748737 96.944 177.8055
38.022282 96.933 177.5360
38.297806 96.921 177.2607
38.575329 96.910 176.9797
38.854862 96.899 176.6935
39.136421 96.890 176.4034
39.420021 96.883 176.1109
39.705673 96.878 175.8182
39.993397 96.875 175.5275
40.283207 96.873 175.2411
40.575115 96.870 174.9607
40.869141 96.867 174.6870
41.165295 96.861 174.4194
41.463596 96.851 174.1564
41.764057 96.837 173.8958
42.066696 96.819 173.6354
42.371529 96.798 173.3738
42.678570 96.774 173.1104
42.987835 96.749 172.8450
43.299343 96.727 172.5781
43.613110 96.708 172.3094
43.929150 96.693 172.0383
44.247478 96.684 171.7643
44.568115 96.679 171.4870
44.891075 96.676 171.2075
45.216373 96.674 170.9279
45.544029 96.670 170.6510
45.874062 96.664 170.3802
46.206486 96.654 170.1175
46.541317 96.640 169.8637
46.878574 96.624 169.6177
47.218277 96.605 169.3771
47.560440 96.586 169.1386
47.905083 96.568 168.8991
48.252224 96.550 168.6562
48.601879 96.533 168.4088
48.954067 96.517 168.1569
49.308807 96.501 167.9015
49.666119 96.485 167.6441
50.026020 96.468 167.3860
50.388531 96.450 167.1279
50.753666 96.431 166.8699
51.121449 96.412 166.6117
51.491894 96.394 166.3529
51.865025 96.375 166.0933
52.240860 96.356 165.8337
52.619419 96.338 165.5751
53.000721 96.319 165.3192
53.384785 96.300 165.0673
53.771633 96.280 164.8203
54.161285 96.260 164.5780
54.553761 96.239 164.3393
54.949081 96.219 164.1018
55.347263 96.199 163.8630
55.748333 96.179 163.6210
56.152309 96.158 163.3756
56.559212 96.138 163.1284
56.969063 96.118 162.8820
57.381886 96.097 162.6381
57.797699 96.077 162.3962
58.216526 96.058 162.1532
58.638386 96.038 161.9055
59.063305 96.018 161.6516
59.491302 95.996 161.3932
59.922401 95.973 161.1348
60.356625 95.948 160.8809
60.793995 95.923 160.6337
61.234531 95.898 160.3925
61.678261 95.873 160.1552
62.125206 95.849 159.9196
62.575390 95.825 159.6848
63.028835 95.800 159.4498
63.485569 95.775 159.2136
63.945610 95.749 158.9750
64.408989 95.722 158.7337
64.875725 95.696 158.4915
65.345840 95.668 158.2527
65.819366 95.640 158.0223
66.296318 95.610 157.8029
66.776726 95.577 157.5918
67.260620 95.539 157.3831
67.748016 95.497 157.1721
68.238945 95.453 156.9583
68.733429 95.409 156.7447
69.231499 95.372 156.5315
69.733177 95.344 156.3142
70.238495 95.325 156.0871
70.747475 95.313 155.8500
71.260139 95.302 155.6100
71.776520 95.289 155.3762
72.296638 95.270 155.1523
72.820526 95.247 154.9359
73.348213 95.220 154.7216
73.879723 95.190 154.5070
74.415085 95.160 154.2925
74.954330 95.129 154.0804
75.497482 95.098 153.8720
76.044571 95.067 153.6669
76.595619 95.036 153.4637
77.150665 95.004 153.2605
77.709732 94.972 153.0567
78.272850 94.939 152.8528
78.840050 94.907 152.6505
79.411354 94.874 152.4508
79.986801 94.841 152.2541
80.566422 94.807 152.0599
81.150238 94.774 151.8674
81.738289 94.740 151.6757
82.330597 94.706 151.4845
82.927200 94.672 151.2936
83.528122 94.637 151.1032
84.133400 94.602 150.9138
84.743065 94.567 150.7260
85.357147 94.532 150.5405
85.975677 94.496 150.3580
86.598694 94.460 150.1784
87.226227 94.424 150.0012
87.858307 94.388 149.8255
88.494965 94.350 149.6508
89.136238 94.312 149.4767
89.782158 94.274 149.3029
90.432755 94.234 149.1295
91.088066 94.193 148.9575
91.748131 94.153 148.7886
92.412979 94.114 148.6247
93.082642 94.076 148.4658
93.757156 94.041 148.3106
94.436562 94.006 148.1581
95.120888 93.971 148.0079
95.810173 93.935 147.8594
96.504456 93.898 147.7123
97.203766 93.859 147.5662
97.908142 93.820 147.4215
98.617622 93.781 147.2789
99.332245 93.742 147.1395
100.052048 93.704 147.0035
100.777069 93.665 146.8704
101.507339 93.627 146.7392
102.242905 93.587 146.6096
102.983795 93.546 146.4811
103.730057 93.504 146.3528
104.481728 93.462 146.2239
105.238846 93.419 146.0940
106.001450 93.378 145.9630
106.769577 93.338 145.8306
107.543274 93.298 145.6970
108.322578 93.258 145.5643
109.107529 93.219 145.4376
109.898170 93.180 145.3240
110.694534 93.141 145.2283
111.496674 93.102 145.1481
112.304626 93.062 145.0725
113.118431 93.021 144.9855
113.938133 92.980 144.8723
114.763779 92.938 144.7239
115.595406 92.898 144.5368
116.433060 92.862 144.3103
117.276779 92.830 144.0502
118.126617 92.803 143.7784
118.982613 92.776 143.5374
119.844810 92.742 143.3776
120.713257 92.698 143.3248
121.587997 92.645 143.3573
122.469070 92.586 143.4225
123.356529 92.526 143.4771
124.250420 92.468 143.5027
125.150787 92.414 143.4966
126.057678 92.364 143.4628
126.971146 92.318 143.4106
127.891228 92.275 143.3535
128.817978 92.234 143.3033
129.751450 92.191 143.2655
130.691681 92.146 143.2381
131.638733 92.098 143.2150
132.592636 92.048 143.1910
133.553452 91.998 143.1620
134.521240 91.949 143.1236
135.496033 91.903 143.0748
136.477890 91.858 143.0247
137.466858 91.816 142.9897
138.462997 91.775 142.9865
139.466354 91.732 143.0297
140.476990 91.685 143.1234
141.494949 91.635 143.2426
142.520279 91.582 143.3327
143.553040 91.529 143.3461
144.593277 91.477 143.2832
145.641052 91.425 143.1902
146.696426 91.376 143.1174
147.759445 91.328 143.0912
148.830170 91.280 143.1146
149.908661 91.231 143.1798
150.994965 91.181 143.2751
152.089142 91.129 143.3874
153.191238 91.077 143.5043
154.301331 91.026 143.6206
155.419464 90.976 143.7441
156.545700 90.927 143.8926
157.680099 90.880 144.0824
158.822708 90.835 144.3202
159.973602 90.795 144.6052
161.132843 90.760 144.9322
162.300476 90.730 145.2892
163.476578 90.706 145.6537
164.661194 90.691 145.9935
165.854401 90.686 146.2728
167.056244 90.690 146.4679
168.266800 90.702 146.5826
169.486130 90.719 146.6387
170.714294 90.738 146.6553
171.951355 90.757 146.6403
173.197388 90.772 146.5919
174.452454 90.784 146.5065
175.716614 90.790 146.3883
176.989929 90.790 146.2515
178.272476 90.785 146.1092
179.564316 90.775 145.9653
180.865509 90.759 145.8187
182.176132 90.739 145.6693
183.496262 90.716 145.5198
184.825958 90.689 145.3725
186.165283 90.659 145.2303
187.514313 90.627 145.1003
188.873123 90.594 144.9935
190.241776 90.561 144.9172
191.620346 90.528 144.8691
193.008911 90.496 144.8391
194.407532 90.465 144.8160
195.816284 90.433 144.7943
197.235245 90.400 144.7721
198.664490 90.366 144.7489
200.104095 90.332 144.7266
201.554138 90.299 144.7087
203.014679 90.266 144.6982
204.485809 90.234 144.6968
205.967590 90.203 144.7037
207.460114 90.172 144.7159
208.963455 90.143 144.7312
210.477692 90.113 144.7495
212.002899 90.085 144.7711
213.539154 90.056 144.7953
215.086548 90.029 144.8200
216.645157 90.003 144.8419
218.215057 89.977 144.8591
219.796341 89.951 144.8730
221.389069 89.926 144.8881
222.993347 89.900 144.9076
224.609253 89.875 144.9326
226.236862 89.850 144.9618
227.876266 89.826 144.9934
229.527557 89.802 145.0248
231.190811 89.779 145.0534
232.866119 89.755 145.0782
234.553558 89.732 145.0997
236.253235 89.708 145.1202
237.965225 89.685 145.1439
239.689621 89.662 145.1764
241.426514 89.640 145.2200
243.175995 89.618 145.2704
244.938141 89.597 145.3213
246.713058 89.576 145.3674
248.500839 89.555 145.4062
250.301575 89.534 145.4371
252.115356 89.513 145.4610
253.942291 89.493 145.4803
255.782455 89.474 145.4969
257.635956 89.455 145.5121
259.502899 89.437 145.5271
261.383362 89.419 145.5450
263.277466 89.401 145.5703
265.185272 89.381 145.6047
267.106903 89.362 145.6457
269.042480 89.342 145.6904
270.992065 89.321 145.7383
272.955780 89.302 145.7899
274.933716 89.282 145.8445
276.925995 89.264 145.9007
278.932709 89.246 145.9570
280.953979 89.228 146.0131
282.989899 89.209 146.0683
285.040558 89.190 146.1202
287.106079 89.171 146.1658
289.186554 89.150 146.2063
291.282104 89.129 146.2495
293.392853 89.109 146.3050
295.518890 89.090 146.3773
297.660339 89.073 146.4655
299.817322 89.057 146.5657
301.989929 89.042 146.6733
304.178284 89.031 146.7840
306.382477 89.025 146.8960
308.602661 89.023 147.0113
310.838928 89.024 147.1297
313.091400 89.028 147.2423
315.360199 89.034 147.3379
317.645416 89.041 147.4114
319.947205 89.050 147.4639
322.265686 89.060 147.4987
324.600952 89.073 147.5199
326.953156 89.088 147.5301
329.322388 89.104 147.5280
331.708801 89.122 147.5068
334.112488 89.140 147.4551
336.533600 89.156 147.3646
338.972260 89.169 147.2370
341.428589 89.178 147.0815
343.902710 89.184 146.9116
346.394775 89.186 146.7406
348.904907 89.184 146.5780
351.433228 89.178 146.4266
353.979858 89.169 146.2850
356.544952 89.159 146.1505
359.128632 89.147 146.0218
361.731018 89.134 145.8987
364.352264 89.121 145.7826
366.992523 89.108 145.6754
369.651917 89.095 145.5773
372.330566 89.082 145.4876
375.028625 89.069 145.4048
377.746246 89.056 145.3268
380.483551 89.043 145.2521
383.240692 89.031 145.1793
386.017822 89.018 145.1071
388.815063 89.006 145.0345
391.632568 88.995 144.9609
