* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:28:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Oracle mk3 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.922 -44.1206
0.368865 57.927 -44.2138
0.371538 57.933 -44.3531
0.374230 57.941 -44.5272
0.376942 57.950 -44.7265
0.379673 57.960 -44.9441
0.382424 57.970 -45.1752
0.385196 57.981 -45.4170
0.387987 57.991 -45.6679
0.390798 58.002 -45.9270
0.393630 58.013 -46.1939
0.396483 58.024 -46.4685
0.399356 58.035 -46.7506
0.402250 58.046 -47.0403
0.405165 58.058 -47.3377
0.408101 58.069 -47.6428
0.411058 58.080 -47.9557
0.414037 58.092 -48.2766
0.417037 58.103 -48.6055
0.420059 58.115 -48.9424
0.423103 58.127 -49.2876
0.426169 58.139 -49.6410
0.429257 58.150 -50.0028
0.432368 58.162 -50.3731
0.435501 58.175 -50.7519
0.438656 58.187 -51.1394
0.441835 58.199 -51.5355
0.445037 58.211 -51.9405
0.448262 58.224 -52.3543
0.451510 58.236 -52.7770
0.454782 58.249 -53.2088
0.458077 58.262 -53.6496
0.461397 58.274 -54.0996
0.464740 58.287 -54.5588
0.468108 58.300 -55.0272
0.471500 58.313 -55.5050
0.474917 58.327 -55.9921
0.478358 58.340 -56.4886
0.481825 58.353 -56.9946
0.485316 58.367 -57.5101
0.488833 58.380 -58.0350
0.492375 58.394 -58.5696
0.495943 58.408 -59.1136
0.499537 58.421 -59.6673
0.503157 58.435 -60.2305
0.506803 58.449 -60.8033
0.510475 58.464 -61.3857
0.514175 58.478 -61.9776
0.517900 58.492 -62.5791
0.521653 58.507 -63.1901
0.525434 58.521 -63.8106
0.529241 58.536 -64.4405
0.533076 58.551 -65.0799
0.536939 58.566 -65.7286
0.540830 58.581 -66.3866
0.544749 58.596 -67.0539
0.548696 58.611 -67.7303
0.552673 58.626 -68.4157
0.556677 58.642 -69.1102
0.560711 58.657 -69.8136
0.564774 58.673 -70.5257
0.568867 58.689 -71.2466
0.572989 58.705 -71.9760
0.577141 58.721 -72.7138
0.581324 58.737 -73.4600
0.585536 58.753 -74.2143
0.589779 58.769 -74.9768
0.594053 58.786 -75.7471
0.598358 58.803 -76.5251
0.602694 58.819 -77.3108
0.607061 58.836 -78.1040
0.611460 58.853 -78.9044
0.615891 58.870 -79.7119
0.620354 58.887 -80.5265
0.624849 58.905 -81.3478
0.629377 58.922 -82.1757
0.633938 58.940 -83.0101
0.638532 58.957 -83.8508
0.643159 58.975 -84.6976
0.647819 58.993 -85.5503
0.652514 59.011 -86.4089
0.657242 59.030 -87.2731
0.662005 59.048 -88.1427
0.666802 59.066 -89.0176
0.671634 59.085 -89.8977
0.676501 59.104 -90.7828
0.681403 59.123 -91.6728
0.686341 59.142 -92.5675
0.691314 59.161 -93.4667
0.696324 59.181 -94.3705
0.701370 59.201 -95.2786
0.706452 59.222 -96.1909
0.711571 59.245 -97.1074
0.716728 59.269 -98.0280
0.721921 59.297 -98.9524
0.727153 59.329 -99.8806
0.732422 59.367 -100.8122
0.737729 59.412 -101.7469
0.743075 59.463 -102.6841
0.748460 59.520 -103.6233
0.753883 59.582 -104.5638
0.759346 59.647 -105.5048
0.764849 59.717 -106.4457
0.770391 59.789 -107.3856
0.775974 59.864 -108.3241
0.781597 59.941 -109.2602
0.787261 60.022 -110.1936
0.792966 60.104 -111.1234
0.798712 60.190 -112.0492
0.804500 60.277 -112.9705
0.810329 60.368 -113.8868
0.816201 60.460 -114.7976
0.822116 60.555 -115.7024
0.828073 60.653 -116.6010
0.834074 60.752 -117.4929
0.840118 60.854 -118.3779
0.846206 60.959 -119.2557
0.852338 61.065 -120.1261
0.858514 61.174 -120.9889
0.864735 61.284 -121.8439
0.871001 61.397 -122.6911
0.877313 61.512 -123.5304
0.883670 61.629 -124.3616
0.890074 61.748 -125.1848
0.896524 61.868 -126.0000
0.903020 61.990 -126.8073
0.909564 62.114 -127.6066
0.916155 62.240 -128.3981
0.922794 62.367 -129.1820
0.929481 62.496 -129.9583
0.936216 62.626 -130.7272
0.943000 62.757 -131.4889
0.949834 62.890 -132.2435
0.956717 63.023 -132.9914
0.963649 63.158 -133.7328
0.970632 63.293 -134.4677
0.977666 63.430 -135.1967
0.984750 63.567 -135.9198
0.991886 63.704 -136.6374
0.999074 63.842 -137.3498
1.006314 63.980 -138.0573
1.013606 64.118 -138.7602
1.020951 64.256 -139.4588
1.028349 64.394 -140.1534
1.035801 64.532 -140.8444
1.043307 64.669 -141.5320
1.050867 64.806 -142.2166
1.058482 64.942 -142.8986
1.066152 65.077 -143.5780
1.073878 65.211 -144.2552
1.081660 65.344 -144.9303
1.089498 65.476 -145.6031
1.097393 65.608 -146.2735
1.105345 65.739 -146.9410
1.113355 65.870 -147.6051
1.121423 66.002 -148.2655
1.129549 66.134 -148.9217
1.137734 66.267 -149.5734
1.145979 66.400 -150.2205
1.154283 66.534 -150.8629
1.162647 66.669 -151.5004
1.171072 66.805 -152.1331
1.179558 66.941 -152.7610
1.188106 67.078 -153.3840
1.196715 67.216 -154.0023
1.205387 67.354 -154.6158
1.214122 67.493 -155.2247
1.222920 67.633 -155.8289
1.231782 67.773 -156.4287
1.240708 67.914 -157.0240
1.249699 68.055 -157.6151
1.258754 68.197 -158.2019
1.267876 68.339 -158.7847
1.277063 68.482 -159.3636
1.286318 68.625 -159.9386
1.295639 68.768 -160.5100
1.305027 68.911 -161.0779
1.314484 69.055 -161.6425
1.324009 69.200 -162.2039
1.333604 69.344 -162.7623
1.343268 69.488 -163.3179
1.353002 69.633 -163.8708
1.362806 69.777 -164.4213
1.372681 69.922 -164.9695
1.382628 70.067 -165.5156
1.392647 70.211 -166.0598
1.402739 70.355 -166.6022
1.412904 70.499 -167.1431
1.423142 70.643 -167.6824
1.433455 70.786 -168.2204
1.443843 70.929 -168.7569
1.454305 71.072 -169.2917
1.464844 71.215 -169.8247
1.475459 71.356 -170.3552
1.486150 71.498 -170.8830
1.496920 71.639 -171.4078
1.507767 71.780 -171.9294
1.518693 71.920 -172.4476
1.529698 72.060 -172.9627
1.540783 72.200 -173.4748
1.551948 72.340 -173.9840
1.563194 72.479 -174.4906
1.574521 72.618 -174.9949
1.585931 72.756 -175.4971
1.597423 72.894 -175.9976
1.608999 73.032 -176.4965
1.620658 73.170 -176.9942
1.632402 73.307 -177.4911
1.644232 73.444 -177.9874
1.656146 73.581 -178.4835
1.668147 73.718 -178.9796
1.680235 73.855 -179.4762
1.692411 73.991 -179.9735
1.704675 74.127 179.5280
1.717028 74.263 179.0281
1.729470 74.399 178.5265
1.742003 74.535 178.0226
1.754626 74.671 177.5163
1.767341 74.806 177.0072
1.780147 74.942 176.4950
1.793047 75.077 175.9795
1.806040 75.213 175.4605
1.819128 75.348 174.9381
1.832310 75.483 174.4123
1.845587 75.618 173.8835
1.858961 75.752 173.3521
1.872432 75.886 172.8185
1.886001 76.020 172.2831
1.899667 76.153 171.7462
1.913433 76.285 171.2080
1.927299 76.417 170.6689
1.941265 76.548 170.1290
1.955332 76.679 169.5884
1.969501 76.809 169.0473
1.983773 76.939 168.5057
1.998148 77.068 167.9637
2.012627 77.197 167.4214
2.027212 77.325 166.8787
2.041902 77.453 166.3355
2.056698 77.581 165.7920
2.071602 77.708 165.2479
2.086614 77.835 164.7031
2.101734 77.961 164.1576
2.116964 78.088 163.6111
2.132304 78.214 163.0635
2.147756 78.339 162.5145
2.163320 78.465 161.9639
2.178996 78.590 161.4111
2.194786 78.715 160.8561
2.210690 78.839 160.2984
2.226710 78.963 159.7379
2.242845 79.086 159.1744
2.259098 79.208 158.6083
2.275468 79.330 158.0396
2.291957 79.451 157.4687
2.308566 79.571 156.8958
2.325295 79.691 156.3214
2.342145 79.810 155.7457
2.359117 79.928 155.1690
2.376212 80.045 154.5916
2.393431 80.162 154.0136
2.410775 80.279 153.4353
2.428244 80.395 152.8569
2.445840 80.510 152.2784
2.463564 80.625 151.6999
2.481416 80.739 151.1213
2.499397 80.853 150.5427
2.517509 80.966 149.9636
2.535752 81.079 149.3838
2.554127 81.191 148.8026
2.572635 81.302 148.2195
2.591277 81.413 147.6339
2.610055 81.523 147.0452
2.628968 81.632 146.4534
2.648019 81.740 145.8587
2.667208 81.848 145.2614
2.686535 81.954 144.6617
2.706003 82.060 144.0604
2.725612 82.165 143.4579
2.745363 82.269 142.8547
2.765257 82.372 142.2513
2.785295 82.474 141.6481
2.805478 82.576 141.0457
2.825808 82.677 140.4442
2.846285 82.778 139.8439
2.866910 82.877 139.2448
2.887685 82.976 138.6469
2.908611 83.075 138.0496
2.929688 83.172 137.4522
2.950917 83.269 136.8539
2.972301 83.365 136.2539
2.993839 83.460 135.6518
3.015534 83.554 135.0475
3.037386 83.647 134.4412
3.059396 83.739 133.8334
3.081565 83.830 133.2247
3.103896 83.920 132.6158
3.126388 84.009 132.0074
3.149043 84.097 131.4003
3.171862 84.185 130.7950
3.194847 84.272 130.1923
3.217998 84.358 129.5924
3.241317 84.443 128.9957
3.264805 84.528 128.4020
3.288463 84.612 127.8109
3.312293 84.695 127.2216
3.336295 84.778 126.6334
3.360471 84.859 126.0456
3.384822 84.939 125.4579
3.409350 85.019 124.8704
3.434056 85.097 124.2834
3.458940 85.175 123.6972
3.484005 85.251 123.1127
3.509252 85.327 122.5302
3.534681 85.403 121.9507
3.560295 85.477 121.3745
3.586094 85.552 120.8023
3.612081 85.625 120.2342
3.638255 85.698 119.6704
3.664620 85.771 119.1105
3.691175 85.843 118.5541
3.717923 85.914 118.0006
3.744864 85.984 117.4496
3.772001 86.054 116.9008
3.799335 86.123 116.3543
3.826866 86.191 115.8103
3.854597 86.259 115.2689
3.882529 86.327 114.7307
3.910664 86.394 114.1958
3.939002 86.461 113.6648
3.967546 86.527 113.1379
3.996296 86.594 112.6154
4.025255 86.660 112.0973
4.054423 86.726 111.5835
4.083804 86.792 111.0736
4.113396 86.857 110.5675
4.143204 86.922 110.0647
4.173227 86.987 109.5650
4.203468 87.052 109.0680
4.233928 87.117 108.5735
4.264609 87.181 108.0814
4.295512 87.246 107.5914
4.326639 87.311 107.1036
4.357992 87.376 106.6180
4.389572 87.441 106.1346
4.421380 87.507 105.6534
4.453419 87.572 105.1745
4.485691 87.638 104.6976
4.518196 87.704 104.2224
4.550936 87.770 103.7484
4.583914 87.836 103.2750
4.617131 87.903 102.8018
4.650589 87.969 102.3280
4.684289 88.036 101.8533
4.718233 88.103 101.3773
4.752424 88.171 100.8998
4.786862 88.238 100.4209
4.821549 88.306 99.9405
4.856488 88.374 99.4586
4.891680 88.443 98.9750
4.927127 88.511 98.4894
4.962831 88.580 98.0012
4.998794 88.648 97.5098
5.035017 88.717 97.0148
5.071503 88.786 96.5156
5.108253 88.854 96.0119
5.145270 88.922 95.5034
5.182555 88.991 94.9901
5.220110 89.059 94.4720
5.257937 89.127 93.9492
5.296038 89.194 93.4218
5.334415 89.262 92.8898
5.373071 89.328 92.3532
5.412006 89.394 91.8118
5.451224 89.460 91.2654
5.490725 89.525 90.7137
5.530514 89.589 90.1564
5.570590 89.652 89.5936
5.610957 89.714 89.0254
5.651616 89.776 88.4524
5.692570 89.837 87.8752
5.733821 89.896 87.2944
5.775370 89.954 86.7104
5.817221 90.011 86.1236
5.859375 90.067 85.5339
5.901834 90.122 84.9412
5.944602 90.175 84.3454
5.987679 90.226 83.7470
6.031068 90.277 83.1466
6.074771 90.326 82.5453
6.118792 90.373 81.9442
6.163131 90.419 81.3439
6.207792 90.463 80.7452
6.252776 90.506 80.1481
6.298086 90.547 79.5526
6.343725 90.587 78.9590
6.389694 90.625 78.3679
6.435996 90.662 77.7800
6.482634 90.697 77.1966
6.529610 90.731 76.6186
6.576926 90.764 76.0466
6.624585 90.795 75.4811
