* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:08:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 Y4 Front Vent L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.998 -160.9982
20.507813 90.992 -161.2286
20.874023 90.970 -161.8812
21.240234 90.932 -162.6017
21.606445 90.879 -163.1803
21.972656 90.828 -163.4541
22.338867 90.813 -163.4119
22.705078 90.852 -163.2533
23.071289 90.931 -163.2547
23.437500 91.010 -163.5715
23.803711 91.052 -164.1408
24.169922 91.044 -164.7466
24.536133 91.004 -165.1806
24.902344 90.967 -165.3752
25.268555 90.960 -165.4215
25.634766 90.987 -165.4755
26.000977 91.031 -165.6390
26.367188 91.071 -165.9053
26.733399 91.096 -166.1998
27.099610 91.109 -166.4626
27.465821 91.119 -166.6969
27.832032 91.131 -166.9509
28.198243 91.145 -167.2652
28.564454 91.153 -167.6328
28.930665 91.154 -168.0044
29.296876 91.151 -168.3270
29.663087 91.149 -168.5826
30.029298 91.152 -168.7952
30.395509 91.160 -169.0070
30.761720 91.166 -169.2456
31.127931 91.165 -169.5091
31.494142 91.155 -169.7757
31.860353 91.139 -170.0225
32.226563 91.122 -170.2415
32.592774 91.107 -170.4409
32.958985 91.096 -170.6363
33.325196 91.088 -170.8394
33.691407 91.082 -171.0549
34.057618 91.077 -171.2825
34.423829 91.071 -171.5195
34.790040 91.065 -171.7611
35.156251 91.058 -172.0002
35.522462 91.051 -172.2283
35.888673 91.044 -172.4380
36.254884 91.038 -172.6258
36.621095 91.031 -172.7939
36.987306 91.024 -172.9483
37.353517 91.015 -173.0959
37.719728 91.004 -173.2417
38.085939 90.989 -173.3880
38.452150 90.971 -173.5358
38.818361 90.952 -173.6861
39.184572 90.933 -173.8404
39.550783 90.917 -174.0002
39.916994 90.903 -174.1657
40.283205 90.891 -174.3345
40.649416 90.881 -174.5015
41.015627 90.872 -174.6609
41.381838 90.861 -174.8084
41.748049 90.851 -174.9436
42.114260 90.839 -175.0699
42.480471 90.827 -175.1936
42.846682 90.814 -175.3207
43.212893 90.800 -175.4543
43.579103 90.786 -175.5927
43.945314 90.771 -175.7295
44.311525 90.756 -175.8565
44.677736 90.742 -175.9692
45.043947 90.729 -176.0698
45.410158 90.718 -176.1661
45.776369 90.707 -176.2674
46.142580 90.695 -176.3783
46.508791 90.681 -176.4963
46.875002 90.665 -176.6144
47.241213 90.647 -176.7253
47.607424 90.631 -176.8255
47.973635 90.616 -176.9153
48.339846 90.602 -176.9956
48.706057 90.589 -177.0670
49.072268 90.576 -177.1311
49.438479 90.561 -177.1938
49.804690 90.545 -177.2672
50.170901 90.526 -177.3645
50.537112 90.504 -177.4917
50.903323 90.477 -177.6404
51.269534 90.446 -177.7884
51.635745 90.416 -177.9106
52.001956 90.390 -177.9913
52.368167 90.372 -178.0326
52.734378 90.362 -178.0509
53.100589 90.360 -178.0668
53.466800 90.359 -178.0934
53.833011 90.356 -178.1327
54.199222 90.348 -178.1793
54.565432 90.334 -178.2274
54.931643 90.316 -178.2760
55.297854 90.296 -178.3282
55.664065 90.276 -178.3868
56.030276 90.256 -178.4516
56.396487 90.238 -178.5189
56.762698 90.221 -178.5841
57.128909 90.205 -178.6441
57.495120 90.190 -178.6984
57.861331 90.174 -178.7471
58.227542 90.157 -178.7901
58.593753 90.138 -178.8269
58.959964 90.118 -178.8580
59.326175 90.098 -178.8857
59.692386 90.079 -178.9140
60.058597 90.060 -178.9467
60.424808 90.041 -178.9850
60.791019 90.023 -179.0271
61.157230 90.005 -179.0688
61.523441 89.987 -179.1061
61.889652 89.969 -179.1368
62.255863 89.951 -179.1607
62.622074 89.933 -179.1791
62.988285 89.915 -179.1933
63.354496 89.896 -179.2043
63.720707 89.876 -179.2135
64.086918 89.855 -179.2238
64.453129 89.834 -179.2404
64.819340 89.814 -179.2689
65.185551 89.794 -179.3132
65.551762 89.775 -179.3718
65.917972 89.756 -179.4369
66.284183 89.735 -179.4958
66.650394 89.715 -179.5358
67.016605 89.694 -179.5491
67.382816 89.674 -179.5366
67.749027 89.656 -179.5067
68.115238 89.639 -179.4720
68.481449 89.624 -179.4439
68.847660 89.608 -179.4297
69.213871 89.592 -179.4317
69.580082 89.575 -179.4482
69.946293 89.557 -179.4757
70.312504 89.537 -179.5093
70.678715 89.515 -179.5442
71.044926 89.491 -179.5763
71.411137 89.467 -179.6038
71.777348 89.442 -179.6277
72.143559 89.419 -179.6507
72.509770 89.397 -179.6744
72.875981 89.378 -179.6960
73.242192 89.361 -179.7074
73.608403 89.346 -179.6978
73.974614 89.333 -179.6594
74.340825 89.322 -179.5931
74.707036 89.313 -179.5106
75.073247 89.303 -179.4308
75.439458 89.291 -179.3725
75.805669 89.274 -179.3473
76.171880 89.251 -179.3558
76.538091 89.223 -179.3891
76.904301 89.190 -179.4338
77.270512 89.156 -179.4779
77.636723 89.124 -179.5147
78.002934 89.096 -179.5430
78.369145 89.070 -179.5655
78.735356 89.048 -179.5857
79.101567 89.026 -179.6061
79.467778 89.003 -179.6271
79.833989 88.978 -179.6475
80.200200 88.953 -179.6654
80.566411 88.926 -179.6795
80.932622 88.900 -179.6894
81.298833 88.874 -179.6956
81.665044 88.848 -179.6992
82.031255 88.822 -179.7009
82.397466 88.794 -179.7012
82.763677 88.765 -179.7009
83.129888 88.733 -179.7014
83.496099 88.701 -179.7043
83.862310 88.667 -179.7098
84.228521 88.633 -179.7150
84.594732 88.599 -179.7141
84.960943 88.567 -179.7005
85.327154 88.536 -179.6698
85.693365 88.509 -179.6216
86.059576 88.485 -179.5584
86.425787 88.463 -179.4819
86.791998 88.443 -179.3905
87.158209 88.426 -179.2799
87.524420 88.411 -179.1479
87.890631 88.403 -179.0011
88.256841 88.399 -178.8569
88.623052 88.400 -178.7392
88.989263 88.400 -178.6680
89.355474 88.394 -178.6486
89.721685 88.377 -178.6665
90.087896 88.347 -178.6906
90.454107 88.306 -178.6842
90.820318 88.258 -178.6158
91.186529 88.211 -178.4686
91.552740 88.170 -178.2423
91.918951 88.140 -177.9510
92.285162 88.120 -177.6186
92.651373 88.109 -177.2729
93.017584 88.098 -176.9405
93.383795 88.082 -176.6413
93.750006 88.053 -176.3846
94.116217 88.008 -176.1669
94.482428 87.944 -175.9748
94.848639 87.866 -175.7900
95.214850 87.779 -175.5957
95.581061 87.692 -175.3812
95.947272 87.613 -175.1422
96.313483 87.548 -174.8786
96.679694 87.501 -174.5920
97.045905 87.473 -174.2831
97.412116 87.461 -173.9527
97.778327 87.462 -173.6028
98.144538 87.473 -173.2367
98.510749 87.491 -172.8588
98.876960 87.511 -172.4731
99.243170 87.533 -172.0822
99.609381 87.555 -171.6888
99.975592 87.578 -171.2965
100.341803 87.602 -170.9121
100.708014 87.627 -170.5455
101.074225 87.654 -170.2080
101.440436 87.681 -169.9102
101.806647 87.708 -169.6594
102.172858 87.734 -169.4583
102.539069 87.758 -169.3056
102.905280 87.781 -169.1962
103.271491 87.803 -169.1230
103.637702 87.824 -169.0781
104.003913 87.844 -169.0528
104.370124 87.862 -169.0392
104.736335 87.879 -169.0304
105.102546 87.893 -169.0211
105.468757 87.905 -169.0087
105.834968 87.914 -168.9921
106.201179 87.919 -168.9721
106.567390 87.921 -168.9496
106.933601 87.920 -168.9251
107.299812 87.917 -168.8981
107.666023 87.914 -168.8669
108.032234 87.909 -168.8291
108.398445 87.905 -168.7823
108.764656 87.902 -168.7247
109.130867 87.900 -168.6564
109.497078 87.900 -168.5801
109.863289 87.901 -168.5023
110.229500 87.905 -168.4328
110.595710 87.911 -168.3829
110.961921 87.919 -168.3639
111.328132 87.928 -168.3830
111.694343 87.938 -168.4413
112.060554 87.947 -168.5327
112.426765 87.956 -168.6449
112.792976 87.962 -168.7616
113.159187 87.967 -168.8664
113.525398 87.970 -168.9453
113.891609 87.972 -168.9889
114.257820 87.973 -168.9934
114.624031 87.973 -168.9602
114.990242 87.974 -168.8951
115.356453 87.976 -168.8062
115.722664 87.979 -168.7032
116.088875 87.983 -168.5951
116.455086 87.988 -168.4901
116.821297 87.994 -168.3946
117.187508 88.000 -168.3138
117.553719 88.005 -168.2521
117.919930 88.008 -168.2131
118.286141 88.009 -168.1996
118.652352 88.007 -168.2129
119.018563 88.002 -168.2518
119.384774 87.993 -168.3120
119.750985 87.981 -168.3860
120.117196 87.967 -168.4645
120.483407 87.952 -168.5378
120.849618 87.936 -168.5984
121.215829 87.922 -168.6423
121.582040 87.911 -168.6706
121.948250 87.903 -168.6879
122.314461 87.898 -168.7014
122.680672 87.895 -168.7180
123.046883 87.894 -168.7427
123.413094 87.893 -168.7767
123.779305 87.891 -168.8178
124.145516 87.888 -168.8615
124.511727 87.882 -168.9017
124.877938 87.875 -168.9328
125.244149 87.866 -168.9500
125.610360 87.855 -168.9505
125.976571 87.842 -168.9334
126.342782 87.829 -168.8998
126.708993 87.815 -168.8526
127.075204 87.801 -168.7961
127.441415 87.786 -168.7352
127.807626 87.771 -168.6752
128.173837 87.757 -168.6201
128.540048 87.742 -168.5729
128.906259 87.729 -168.5346
129.272470 87.715 -168.5045
129.638681 87.701 -168.4807
130.004892 87.688 -168.4604
130.371103 87.675 -168.4406
130.737314 87.662 -168.4182
131.103525 87.649 -168.3907
131.469736 87.636 -168.3563
131.835947 87.623 -168.3138
132.202158 87.610 -168.2630
132.568369 87.597 -168.2043
132.934579 87.585 -168.1387
133.300790 87.573 -168.0679
133.667001 87.561 -167.9938
134.033212 87.549 -167.9182
134.399423 87.538 -167.8428
134.765634 87.526 -167.7693
135.131845 87.515 -167.6984
135.498056 87.503 -167.6306
135.864267 87.491 -167.5660
136.230478 87.479 -167.5040
136.596689 87.467 -167.4443
136.962900 87.453 -167.3862
137.329111 87.440 -167.3293
137.695322 87.426 -167.2737
138.061533 87.412 -167.2191
138.427744 87.397 -167.1659
138.793955 87.382 -167.1140
139.160166 87.367 -167.0634
139.526377 87.352 -167.0139
139.892588 87.337 -166.9650
140.258799 87.322 -166.9163
140.625010 87.307 -166.8669
140.991221 87.293 -166.8162
141.357432 87.279 -166.7635
141.723643 87.265 -166.7079
142.089854 87.251 -166.6488
142.456065 87.237 -166.5856
142.822276 87.223 -166.5182
143.188487 87.208 -166.4465
143.554698 87.193 -166.3706
143.920909 87.178 -166.2912
144.287119 87.162 -166.2088
144.653330 87.146 -166.1241
145.019541 87.130 -166.0383
145.385752 87.115 -165.9522
145.751963 87.100 -165.8672
146.118174 87.086 -165.7844
146.484385 87.074 -165.7047
146.850596 87.062 -165.6288
147.216807 87.051 -165.5571
147.583018 87.041 -165.4893
147.949229 87.032 -165.4246
148.315440 87.023 -165.3620
148.681651 87.014 -165.3001
149.047862 87.004 -165.2376
149.414073 86.995 -165.1733
149.780284 86.985 -165.1064
150.146495 86.974 -165.0361
150.512706 86.963 -164.9624
150.878917 86.952 -164.8849
151.245128 86.940 -164.8040
151.611339 86.928 -164.7199
151.977550 86.916 -164.6331
152.343761 86.904 -164.5441
152.709972 86.891 -164.4539
153.076183 86.879 -164.3634
153.442394 86.866 -164.2737
153.808605 86.854 -164.1860
154.174816 86.841 -164.1013
154.541027 86.829 -164.0204
154.907238 86.816 -163.9438
155.273448 86.804 -163.8713
155.639659 86.791 -163.8022
156.005870 86.779 -163.7354
156.372081 86.766 -163.6691
156.738292 86.753 -163.6014
157.104503 86.740 -163.5305
157.470714 86.727 -163.4551
157.836925 86.714 -163.3742
158.203136 86.701 -163.2878
158.569347 86.688 -163.1962
158.935558 86.675 -163.1005
159.301769 86.663 -163.0018
159.667980 86.650 -162.9014
160.034191 86.637 -162.8006
160.400402 86.623 -162.7002
160.766613 86.610 -162.6012
161.132824 86.597 -162.5037
161.499035 86.583 -162.4081
161.865246 86.570 -162.3141
162.231457 86.557 -162.2217
