* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:02:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 nofilter LDF L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.988 -159.1069
20.507813 90.998 -159.1788
20.874023 91.020 -159.4003
21.240234 91.031 -159.7241
21.606445 91.028 -160.1661
21.972656 91.016 -160.7076
22.338867 91.001 -161.2856
22.705078 90.993 -161.8368
23.071289 91.001 -162.3279
23.437500 91.025 -162.7578
23.803711 91.061 -163.1412
24.169922 91.100 -163.4880
24.536133 91.132 -163.7980
24.902344 91.153 -164.0675
25.268555 91.164 -164.3006
25.634766 91.168 -164.5161
26.000977 91.171 -164.7429
26.367188 91.175 -165.0044
26.733399 91.180 -165.3048
27.099610 91.186 -165.6288
27.465821 91.192 -165.9512
27.832032 91.199 -166.2499
28.198243 91.206 -166.5166
28.564454 91.211 -166.7568
28.930665 91.214 -166.9820
29.296876 91.212 -167.2025
29.663087 91.207 -167.4259
30.029298 91.199 -167.6602
30.395509 91.190 -167.9138
30.761720 91.182 -168.1925
31.127931 91.175 -168.4954
31.494142 91.167 -168.8130
31.860353 91.159 -169.1312
32.226563 91.153 -169.4375
32.592774 91.147 -169.7263
32.958985 91.143 -169.9969
33.325196 91.140 -170.2494
33.691407 91.138 -170.4819
34.057618 91.137 -170.6937
34.423829 91.136 -170.8885
34.790040 91.135 -171.0755
35.156251 91.133 -171.2652
35.522462 91.130 -171.4645
35.888673 91.122 -171.6735
36.254884 91.111 -171.8876
36.621095 91.099 -172.1024
36.987306 91.086 -172.3175
37.353517 91.075 -172.5361
37.719728 91.067 -172.7605
38.085939 91.059 -172.9888
38.452150 91.051 -173.2148
38.818361 91.042 -173.4312
39.184572 91.031 -173.6337
39.550783 91.019 -173.8232
39.916994 91.006 -174.0048
40.283205 90.992 -174.1846
40.649416 90.977 -174.3671
41.015627 90.962 -174.5539
41.381838 90.947 -174.7444
41.748049 90.933 -174.9364
42.114260 90.921 -175.1267
42.480471 90.909 -175.3120
42.846682 90.897 -175.4905
43.212893 90.886 -175.6626
43.579103 90.874 -175.8312
43.945314 90.861 -176.0000
44.311525 90.846 -176.1712
44.677736 90.830 -176.3452
45.043947 90.813 -176.5209
45.410158 90.797 -176.6975
45.776369 90.782 -176.8745
46.142580 90.766 -177.0513
46.508791 90.751 -177.2262
46.875002 90.734 -177.3958
47.241213 90.716 -177.5575
47.607424 90.696 -177.7107
47.973635 90.676 -177.8585
48.339846 90.656 -178.0066
48.706057 90.637 -178.1601
49.072268 90.618 -178.3203
49.438479 90.598 -178.4833
49.804690 90.578 -178.6414
50.170901 90.556 -178.7865
50.537112 90.533 -178.9142
50.903323 90.510 -179.0252
51.269534 90.485 -179.1253
51.635745 90.460 -179.2241
52.001956 90.435 -179.3320
52.368167 90.410 -179.4571
52.734378 90.385 -179.6020
53.100589 90.359 -179.7619
53.466800 90.332 -179.9260
53.833011 90.305 179.9178
54.199222 90.279 179.7773
54.565432 90.253 179.6517
54.931643 90.227 179.5323
55.297854 90.201 179.4070
55.664065 90.172 179.2665
56.030276 90.138 179.1073
56.396487 90.101 178.9321
56.762698 90.060 178.7467
57.128909 90.019 178.5569
57.495120 89.977 178.3686
57.861331 89.937 178.1891
58.227542 89.898 178.0283
58.593753 89.858 177.8970
58.959964 89.816 177.8030
59.326175 89.772 177.7475
59.692386 89.725 177.7239
60.058597 89.672 177.7205
60.424808 89.615 177.7253
60.791019 89.553 177.7311
61.157230 89.487 177.7382
61.523441 89.419 177.7553
61.889652 89.348 177.7979
62.255863 89.278 177.8850
62.622074 89.209 178.0333
62.988285 89.143 178.2506
63.354496 89.080 178.5315
63.720707 89.020 178.8586
64.086918 88.963 179.2117
64.453129 88.906 179.5789
64.819340 88.852 179.9636
65.185551 88.802 -179.6179
65.551762 88.762 -179.1462
65.917972 88.739 -178.6118
66.284183 88.739 -178.0210
66.650394 88.763 -177.3934
67.016605 88.808 -176.7541
67.382816 88.870 -176.1263
67.749027 88.943 -175.5308
68.115238 89.021 -174.9889
68.481449 89.101 -174.5243
68.847660 89.180 -174.1609
69.213871 89.255 -173.9151
69.580082 89.324 -173.7895
69.946293 89.387 -173.7711
70.312504 89.445 -173.8368
70.678715 89.500 -173.9600
71.044926 89.554 -174.1190
71.411137 89.607 -174.2991
71.777348 89.659 -174.4928
72.143559 89.706 -174.6971
72.509770 89.747 -174.9104
72.875981 89.778 -175.1308
73.242192 89.798 -175.3560
73.608403 89.807 -175.5866
73.974614 89.808 -175.8287
74.340825 89.807 -176.0972
74.707036 89.806 -176.4118
75.073247 89.808 -176.7877
75.439458 89.812 -177.2230
75.805669 89.814 -177.6895
76.171880 89.811 -178.1351
76.538091 89.801 -178.4992
76.904301 89.787 -178.7345
77.270512 89.771 -178.8253
77.636723 89.757 -178.7932
78.002934 89.746 -178.6860
78.369145 89.737 -178.5587
78.735356 89.726 -178.4550
79.101567 89.713 -178.3985
79.467778 89.695 -178.3938
79.833989 89.674 -178.4342
80.200200 89.652 -178.5087
80.566411 89.630 -178.6054
80.932622 89.611 -178.7119
81.298833 89.593 -178.8150
81.665044 89.577 -178.9016
82.031255 89.562 -178.9612
82.397466 89.548 -178.9882
82.763677 89.535 -178.9827
83.129888 89.522 -178.9502
83.496099 89.509 -178.9003
83.862310 89.496 -178.8447
84.228521 89.482 -178.7958
84.594732 89.467 -178.7634
84.960943 89.449 -178.7521
85.327154 89.431 -178.7604
85.693365 89.412 -178.7807
86.059576 89.394 -178.8030
86.425787 89.380 -178.8187
86.791998 89.370 -178.8225
87.158209 89.365 -178.8120
87.524420 89.362 -178.7865
87.890631 89.361 -178.7443
88.256841 89.360 -178.6841
88.623052 89.358 -178.6066
88.989263 89.355 -178.5167
89.355474 89.351 -178.4241
89.721685 89.348 -178.3415
90.087896 89.345 -178.2820
90.454107 89.342 -178.2573
90.820318 89.340 -178.2771
91.186529 89.338 -178.3492
91.552740 89.335 -178.4787
91.918951 89.329 -178.6646
92.285162 89.321 -178.8963
92.651373 89.310 -179.1523
93.017584 89.298 -179.4037
93.383795 89.285 -179.6211
93.750006 89.277 -179.7831
94.116217 89.275 -179.8826
94.482428 89.279 -179.9264
94.848639 89.289 -179.9306
95.214850 89.302 -179.9137
95.581061 89.313 -179.8912
95.947272 89.322 -179.8733
96.313483 89.326 -179.8657
96.679694 89.326 -179.8719
97.045905 89.324 -179.8939
97.412116 89.320 -179.9324
97.778327 89.316 -179.9857
98.144538 89.313 179.9503
98.510749 89.309 179.8810
98.876960 89.306 179.8108
99.243170 89.301 179.7422
99.609381 89.296 179.6747
99.975592 89.289 179.6057
100.341803 89.280 179.5319
100.708014 89.271 179.4508
101.074225 89.260 179.3615
101.440436 89.250 179.2650
101.806647 89.240 179.1641
102.172858 89.229 179.0629
102.539069 89.220 178.9657
102.905280 89.210 178.8760
103.271491 89.199 178.7960
103.637702 89.188 178.7262
104.003913 89.176 178.6658
104.370124 89.162 178.6132
104.736335 89.148 178.5665
105.102546 89.133 178.5240
105.468757 89.118 178.4839
105.834968 89.102 178.4440
106.201179 89.087 178.4020
106.567390 89.073 178.3558
106.933601 89.060 178.3037
107.299812 89.046 178.2454
107.666023 89.034 178.1818
108.032234 89.021 178.1147
108.398445 89.009 178.0463
108.764656 88.997 177.9789
109.130867 88.985 177.9142
109.497078 88.973 177.8546
109.863289 88.960 177.8018
110.229500 88.946 177.7580
110.595710 88.931 177.7251
110.961921 88.915 177.7036
111.328132 88.898 177.6929
111.694343 88.880 177.6909
112.060554 88.861 177.6950
112.426765 88.840 177.7021
112.792976 88.819 177.7099
113.159187 88.798 177.7162
113.525398 88.776 177.7197
113.891609 88.755 177.7190
114.257820 88.735 177.7132
114.624031 88.717 177.7021
114.990242 88.700 177.6863
115.356453 88.684 177.6669
115.722664 88.671 177.6460
116.088875 88.658 177.6253
116.455086 88.647 177.6062
116.821297 88.636 177.5895
117.187508 88.626 177.5757
117.553719 88.614 177.5650
117.919930 88.601 177.5573
118.286141 88.588 177.5522
118.652352 88.573 177.5487
119.018563 88.559 177.5443
119.384774 88.545 177.5356
119.750985 88.534 177.5192
120.117196 88.524 177.4920
120.483407 88.517 177.4526
120.849618 88.512 177.4017
121.215829 88.510 177.3422
121.582040 88.508 177.2788
121.948250 88.507 177.2165
122.314461 88.506 177.1602
122.680672 88.504 177.1135
123.046883 88.500 177.0787
123.413094 88.493 177.0566
123.779305 88.482 177.0471
124.145516 88.469 177.0491
124.511727 88.451 177.0609
124.877938 88.430 177.0803
125.244149 88.406 177.1048
125.610360 88.380 177.1318
125.976571 88.353 177.1590
126.342782 88.325 177.1845
126.708993 88.297 177.2072
127.075204 88.269 177.2271
127.441415 88.243 177.2445
127.807626 88.218 177.2606
128.173837 88.194 177.2765
128.540048 88.172 177.2934
128.906259 88.152 177.3119
129.272470 88.132 177.3323
129.638681 88.114 177.3544
130.004892 88.095 177.3774
130.371103 88.077 177.4003
130.737314 88.060 177.4220
131.103525 88.042 177.4415
131.469736 88.024 177.4582
131.835947 88.006 177.4720
132.202158 87.987 177.4835
132.568369 87.968 177.4938
132.934579 87.949 177.5050
133.300790 87.930 177.5193
133.667001 87.910 177.5392
134.033212 87.890 177.5665
134.399423 87.870 177.6026
134.765634 87.850 177.6477
135.131845 87.832 177.7015
135.498056 87.813 177.7627
135.864267 87.795 177.8298
136.230478 87.778 177.9012
136.596689 87.761 177.9756
136.962900 87.744 178.0516
137.329111 87.727 178.1289
137.695322 87.710 178.2070
138.061533 87.694 178.2861
138.427744 87.677 178.3667
138.793955 87.661 178.4492
139.160166 87.646 178.5344
139.526377 87.630 178.6230
139.892588 87.616 178.7156
140.258799 87.602 178.8130
140.625010 87.588 178.9156
140.991221 87.575 179.0241
141.357432 87.562 179.1385
141.723643 87.551 179.2587
142.089854 87.540 179.3845
142.456065 87.530 179.5152
142.822276 87.521 179.6504
143.188487 87.514 179.7893
143.554698 87.508 179.9315
143.920909 87.503 -179.9239
144.287119 87.500 -179.7774
144.653330 87.498 -179.6301
145.019541 87.498 -179.4831
145.385752 87.499 -179.3380
145.751963 87.502 -179.1963
146.118174 87.506 -179.0599
146.484385 87.511 -178.9305
146.850596 87.517 -178.8096
147.216807 87.524 -178.6985
147.583018 87.531 -178.5981
147.949229 87.539 -178.5093
148.315440 87.547 -178.4321
148.681651 87.555 -178.3664
149.047862 87.563 -178.3117
149.414073 87.571 -178.2668
149.780284 87.578 -178.2303
150.146495 87.586 -178.2006
150.512706 87.593 -178.1759
150.878917 87.599 -178.1544
151.245128 87.605 -178.1351
151.611339 87.611 -178.1170
151.977550 87.616 -178.0998
152.343761 87.621 -178.0838
152.709972 87.625 -178.0698
153.076183 87.629 -178.0587
153.442394 87.632 -178.0514
153.808605 87.635 -178.0490
154.174816 87.637 -178.0521
154.541027 87.638 -178.0611
154.907238 87.639 -178.0762
155.273448 87.639 -178.0971
155.639659 87.639 -178.1235
156.005870 87.638 -178.1549
156.372081 87.637 -178.1905
156.738292 87.635 -178.2295
157.104503 87.633 -178.2711
157.470714 87.630 -178.3147
157.836925 87.626 -178.3593
158.203136 87.622 -178.4045
158.569347 87.618 -178.4498
158.935558 87.614 -178.4947
159.301769 87.610 -178.5389
159.667980 87.605 -178.5820
160.034191 87.600 -178.6237
160.400402 87.596 -178.6637
160.766613 87.591 -178.7017
161.132824 87.586 -178.7376
161.499035 87.581 -178.7712
161.865246 87.575 -178.8025
162.231457 87.569 -178.8317
162.597668 87.562 -178.8588
162.963879 87.556 -178.8840
163.330090 87.548 -178.9073
163.696301 87.541 -178.9289
164.062512 87.533 -178.9491
164.428723 87.524 -178.9680
164.794934 87.516 -178.9859
165.161145 87.508 -179.0030
165.527356 87.499 -179.0195
165.893567 87.491 -179.0355
166.259778 87.482 -179.0512
