* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:34:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi P1 Max L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.337 -161.3152
20.507813 88.349 -161.6619
20.874023 88.382 -162.5419
21.240234 88.425 -163.3276
21.606445 88.475 -163.9612
21.972656 88.529 -164.5181
22.338867 88.583 -165.0117
22.705078 88.631 -165.4544
23.071289 88.669 -165.8643
23.437500 88.699 -166.2501
23.803711 88.722 -166.6140
24.169922 88.742 -166.9571
24.536133 88.765 -167.2864
24.902344 88.793 -167.6171
25.268555 88.825 -167.9643
25.634766 88.857 -168.3336
26.000977 88.885 -168.7162
26.367188 88.904 -169.0929
26.733399 88.915 -169.4446
27.099610 88.919 -169.7675
27.465821 88.919 -170.0769
27.832032 88.917 -170.3993
28.198243 88.914 -170.7584
28.564454 88.907 -171.1635
28.930665 88.898 -171.6055
29.296876 88.888 -172.0651
29.663087 88.880 -172.5261
30.029298 88.879 -172.9840
30.395509 88.886 -173.4437
30.761720 88.899 -173.9080
31.127931 88.913 -174.3689
31.494142 88.924 -174.8061
31.860353 88.931 -175.1964
32.226563 88.933 -175.5269
32.592774 88.934 -175.8053
32.958985 88.935 -176.0571
33.325196 88.937 -176.3139
33.691407 88.940 -176.6006
34.057618 88.942 -176.9269
34.423829 88.943 -177.2876
34.790040 88.942 -177.6670
35.156251 88.940 -178.0471
35.522462 88.939 -178.4145
35.888673 88.938 -178.7625
36.254884 88.937 -179.0908
36.621095 88.935 -179.4031
36.987306 88.934 -179.7047
37.353517 88.932 179.9988
37.719728 88.930 179.7022
38.085939 88.928 179.4013
38.452150 88.927 179.0952
38.818361 88.925 178.7871
39.184572 88.922 178.4840
39.550783 88.916 178.1941
39.916994 88.909 177.9217
40.283205 88.900 177.6657
40.649416 88.890 177.4192
41.015627 88.881 177.1723
41.381838 88.874 176.9155
41.748049 88.870 176.6436
42.114260 88.868 176.3580
42.480471 88.868 176.0674
42.846682 88.868 175.7846
43.212893 88.867 175.5211
43.579103 88.864 175.2795
43.945314 88.860 175.0516
44.311525 88.854 174.8218
44.677736 88.847 174.5770
45.043947 88.838 174.3154
45.410158 88.828 174.0482
45.776369 88.820 173.7917
46.142580 88.815 173.5559
46.508791 88.813 173.3376
46.875002 88.811 173.1252
47.241213 88.807 172.9079
47.607424 88.796 172.6819
47.973635 88.780 172.4479
48.339846 88.762 172.2025
48.706057 88.747 171.9368
49.072268 88.738 171.6484
49.438479 88.735 171.3582
49.804690 88.736 171.1163
50.170901 88.743 170.9836
50.537112 88.757 170.9938
50.903323 88.782 171.1208
51.269534 88.816 171.2767
51.635745 88.851 171.3471
52.001956 88.873 171.2463
52.368167 88.870 170.9570
52.734378 88.837 170.5320
53.100589 88.779 170.0601
53.466800 88.712 169.6186
53.833011 88.652 169.2431
54.199222 88.612 168.9275
54.565432 88.591 168.6479
54.931643 88.585 168.3889
55.297854 88.584 168.1526
55.664065 88.582 167.9501
56.030276 88.575 167.7847
56.396487 88.566 167.6436
56.762698 88.555 167.5034
57.128909 88.544 167.3441
57.495120 88.534 167.1594
57.861331 88.523 166.9585
58.227542 88.513 166.7576
58.593753 88.505 166.5698
58.959964 88.496 166.3994
59.326175 88.489 166.2422
59.692386 88.480 166.0905
60.058597 88.469 165.9371
60.424808 88.457 165.7784
60.791019 88.443 165.6130
61.157230 88.429 165.4416
61.523441 88.417 165.2655
61.889652 88.405 165.0864
62.255863 88.394 164.9069
62.622074 88.384 164.7299
62.988285 88.373 164.5583
63.354496 88.361 164.3943
63.720707 88.349 164.2384
64.086918 88.337 164.0895
64.453129 88.324 163.9450
64.819340 88.313 163.8019
65.185551 88.303 163.6578
65.551762 88.294 163.5111
65.917972 88.285 163.3614
66.284183 88.277 163.2091
66.650394 88.268 163.0544
67.016605 88.258 162.8973
67.382816 88.249 162.7375
67.749027 88.238 162.5753
68.115238 88.227 162.4120
68.481449 88.215 162.2502
68.847660 88.202 162.0932
69.213871 88.189 161.9433
69.580082 88.174 161.8014
69.946293 88.160 161.6662
70.312504 88.145 161.5349
70.678715 88.131 161.4043
71.044926 88.117 161.2720
71.411137 88.102 161.1370
71.777348 88.088 160.9998
72.143559 88.074 160.8620
72.509770 88.060 160.7260
72.875981 88.046 160.5936
73.242192 88.033 160.4662
73.608403 88.020 160.3438
73.974614 88.008 160.2256
74.340825 87.996 160.1099
74.707036 87.984 159.9946
75.073247 87.973 159.8785
75.439458 87.961 159.7610
75.805669 87.948 159.6431
76.171880 87.936 159.5258
76.538091 87.923 159.4100
76.904301 87.910 159.2962
77.270512 87.898 159.1838
77.636723 87.886 159.0718
78.002934 87.874 158.9597
78.369145 87.863 158.8470
78.735356 87.852 158.7338
79.101567 87.841 158.6199
79.467778 87.830 158.5052
79.833989 87.818 158.3893
80.200200 87.806 158.2728
80.566411 87.793 158.1572
80.932622 87.780 158.0454
81.298833 87.766 157.9406
81.665044 87.753 157.8448
82.031255 87.740 157.7579
82.397466 87.727 157.6771
82.763677 87.716 157.5977
83.129888 87.705 157.5145
83.496099 87.694 157.4240
83.862310 87.683 157.3256
84.228521 87.671 157.2208
84.594732 87.657 157.1135
84.960943 87.644 157.0073
85.327154 87.630 156.9056
85.693365 87.616 156.8106
86.059576 87.602 156.7234
86.425787 87.588 156.6439
86.791998 87.575 156.5713
87.158209 87.560 156.5035
87.524420 87.545 156.4380
87.890631 87.530 156.3723
88.256841 87.514 156.3044
88.623052 87.499 156.2335
88.989263 87.484 156.1584
89.355474 87.470 156.0785
89.721685 87.458 155.9922
90.087896 87.447 155.8988
90.454107 87.436 155.7988
90.820318 87.424 155.6950
91.186529 87.410 155.5922
91.552740 87.395 155.4957
91.918951 87.377 155.4089
92.285162 87.360 155.3319
92.651373 87.342 155.2612
93.017584 87.326 155.1911
93.383795 87.311 155.1161
93.750006 87.298 155.0326
94.116217 87.286 154.9401
94.482428 87.275 154.8404
94.848639 87.263 154.7368
95.214850 87.251 154.6325
95.581061 87.239 154.5301
95.947272 87.226 154.4308
96.313483 87.212 154.3355
96.679694 87.198 154.2444
97.045905 87.184 154.1576
97.412116 87.169 154.0755
97.778327 87.153 153.9989
98.144538 87.137 153.9286
98.510749 87.121 153.8655
98.876960 87.104 153.8101
99.243170 87.086 153.7619
99.609381 87.068 153.7191
99.975592 87.051 153.6784
100.341803 87.033 153.6362
100.708014 87.016 153.5891
101.074225 86.999 153.5349
101.440436 86.983 153.4738
101.806647 86.966 153.4075
102.172858 86.949 153.3385
102.539069 86.933 153.2694
102.905280 86.917 153.2019
103.271491 86.901 153.1364
103.637702 86.886 153.0720
104.003913 86.871 153.0070
104.370124 86.857 152.9397
104.736335 86.842 152.8687
105.102546 86.828 152.7930
105.468757 86.813 152.7126
105.834968 86.798 152.6275
106.201179 86.783 152.5386
106.567390 86.768 152.4468
106.933601 86.753 152.3533
107.299812 86.738 152.2596
107.666023 86.723 152.1667
108.032234 86.708 152.0753
108.398445 86.692 151.9847
108.764656 86.676 151.8939
109.130867 86.659 151.8007
109.497078 86.642 151.7037
109.863289 86.624 151.6026
110.229500 86.605 151.4990
110.595710 86.585 151.3962
110.961921 86.565 151.2986
111.328132 86.545 151.2104
111.694343 86.524 151.1343
112.060554 86.504 151.0710
112.426765 86.485 151.0188
112.792976 86.467 150.9747
113.159187 86.449 150.9349
113.525398 86.432 150.8958
113.891609 86.415 150.8547
114.257820 86.399 150.8099
114.624031 86.382 150.7612
114.990242 86.364 150.7093
115.356453 86.346 150.6559
115.722664 86.327 150.6036
116.088875 86.307 150.5554
116.455086 86.285 150.5139
116.821297 86.262 150.4811
117.187508 86.237 150.4581
117.553719 86.211 150.4447
117.919930 86.185 150.4398
118.286141 86.158 150.4420
118.652352 86.131 150.4500
119.018563 86.104 150.4631
119.384774 86.078 150.4811
119.750985 86.052 150.5045
120.117196 86.027 150.5334
120.483407 86.001 150.5677
120.849618 85.976 150.6070
121.215829 85.950 150.6495
121.582040 85.924 150.6932
121.948250 85.898 150.7359
122.314461 85.872 150.7748
122.680672 85.846 150.8078
123.046883 85.821 150.8330
123.413094 85.796 150.8495
123.779305 85.771 150.8574
124.145516 85.746 150.8583
124.511727 85.720 150.8555
124.877938 85.694 150.8540
125.244149 85.666 150.8599
125.610360 85.636 150.8798
125.976571 85.605 150.9204
126.342782 85.573 150.9870
126.708993 85.541 151.0835
127.075204 85.509 151.2119
127.441415 85.479 151.3718
127.807626 85.450 151.5614
128.173837 85.424 151.7772
128.540048 85.401 152.0143
128.906259 85.381 152.2673
129.272470 85.366 152.5308
129.638681 85.356 152.7997
130.004892 85.350 153.0698
130.371103 85.349 153.3377
130.737314 85.352 153.6014
131.103525 85.360 153.8591
131.469736 85.372 154.1093
131.835947 85.387 154.3499
132.202158 85.404 154.5778
132.568369 85.424 154.7891
132.934579 85.445 154.9786
133.300790 85.468 155.1412
133.667001 85.492 155.2720
134.033212 85.516 155.3677
134.399423 85.542 155.4269
134.765634 85.568 155.4510
135.131845 85.595 155.4434
135.498056 85.623 155.4091
135.864267 85.650 155.3541
136.230478 85.677 155.2840
136.596689 85.704 155.2037
136.962900 85.731 155.1164
137.329111 85.756 155.0239
137.695322 85.781 154.9265
138.061533 85.804 154.8238
138.427744 85.825 154.7149
138.793955 85.844 154.5990
139.160166 85.861 154.4756
139.526377 85.876 154.3448
139.892588 85.887 154.2075
140.258799 85.896 154.0647
140.625010 85.901 153.9182
140.991221 85.904 153.7698
141.357432 85.905 153.6215
141.723643 85.903 153.4755
142.089854 85.900 153.3338
142.456065 85.896 153.1985
142.822276 85.890 153.0712
143.188487 85.883 152.9532
143.554698 85.875 152.8453
143.920909 85.866 152.7472
144.287119 85.854 152.6582
144.653330 85.841 152.5767
145.019541 85.827 152.5007
145.385752 85.810 152.4286
145.751963 85.791 152.3590
146.118174 85.771 152.2913
146.484385 85.750 152.2258
146.850596 85.728 152.1636
147.216807 85.707 152.1066
147.583018 85.686 152.0563
147.949229 85.667 152.0142
148.315440 85.649 151.9808
148.681651 85.633 151.9557
149.047862 85.619 151.9378
149.414073 85.609 151.9257
149.780284 85.601 151.9179
150.146495 85.596 151.9139
150.512706 85.596 151.9137
150.878917 85.599 151.9176
151.245128 85.605 151.9266
151.611339 85.614 151.9411
151.977550 85.624 151.9611
152.343761 85.635 151.9858
152.709972 85.645 152.0135
153.076183 85.653 152.0417
153.442394 85.658 152.0669
153.808605 85.660 152.0848
154.174816 85.659 152.0905
154.541027 85.656 152.0784
154.907238 85.651 152.0434
155.273448 85.646 151.9811
155.639659 85.642 151.8891
156.005870 85.638 151.7675
156.372081 85.637 151.6194
156.738292 85.636 151.4504
157.104503 85.637 151.2682
157.470714 85.639 151.0809
157.836925 85.641 150.8967
158.203136 85.643 150.7220
158.569347 85.646 150.5617
158.935558 85.648 150.4188
159.301769 85.651 150.2949
159.667980 85.654 150.1906
160.034191 85.658 150.1061
160.400402 85.661 150.0411
160.766613 85.665 149.9951
161.132824 85.668 149.9673
161.499035 85.671 149.9559
161.865246 85.673 149.9580
162.231457 85.672 149.9700
162.597668 85.670 149.9870
162.963879 85.664 150.0039
163.330090 85.656 150.0156
163.696301 85.644 150.0175
164.062512 85.629 150.0062
164.428723 85.612 149.9798
164.794934 85.592 149.9378
165.161145 85.571 149.8814
165.527356 85.548 149.8130
165.893567 85.525 149.7361
166.259778 85.501 149.6545
166.625988 85.477 149.5718
166.992199 85.454 149.4915
167.358410 85.432 149.4160
167.724621 85.411 149.3471
168.090832 85.391 149.2857
168.457043 85.372 149.2324
168.823254 85.355 149.1872
169.189465 85.339 149.1502
169.555676 85.325 149.1214
169.921887 85.311 149.1009
170.288098 85.299 149.0887
170.654309 85.288 149.0850
171.020520 85.279 149.0894
171.386731 85.271 149.1014
