* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:11:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi T2 DLC L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.891 -129.1989
20.287556 92.902 -129.3656
20.434568 92.918 -129.6092
20.582645 92.938 -129.9079
20.731796 92.961 -130.2434
20.882027 92.984 -130.6026
21.033346 93.008 -130.9772
21.185762 93.033 -131.3624
21.339283 93.058 -131.7556
21.493916 93.083 -132.1553
21.649670 93.109 -132.5601
21.806553 93.134 -132.9692
21.964573 93.159 -133.3810
22.123737 93.185 -133.7942
22.284056 93.209 -134.2070
22.445536 93.234 -134.6174
22.608185 93.258 -135.0237
22.772013 93.281 -135.4241
22.937029 93.304 -135.8175
23.103241 93.327 -136.2029
23.270657 93.349 -136.5800
23.439285 93.371 -136.9492
23.609137 93.393 -137.3113
23.780218 93.415 -137.6677
23.952539 93.437 -138.0202
24.126110 93.459 -138.3709
24.300938 93.482 -138.7220
24.477032 93.505 -139.0753
24.654402 93.528 -139.4326
24.833057 93.551 -139.7950
25.013008 93.574 -140.1632
25.194263 93.597 -140.5370
25.376831 93.619 -140.9157
25.560722 93.642 -141.2984
25.745945 93.663 -141.6834
25.932510 93.684 -142.0692
26.120428 93.705 -142.4545
26.309708 93.726 -142.8381
26.500359 93.747 -143.2194
26.692390 93.768 -143.5983
26.885815 93.788 -143.9749
27.080641 93.809 -144.3500
27.276878 93.829 -144.7240
27.474539 93.849 -145.0974
27.673630 93.868 -145.4700
27.874165 93.886 -145.8414
28.076153 93.903 -146.2104
28.279604 93.917 -146.5757
28.484529 93.930 -146.9359
28.690941 93.942 -147.2900
28.898848 93.952 -147.6376
29.108261 93.961 -147.9795
29.319191 93.970 -148.3172
29.531651 93.979 -148.6534
29.745649 93.989 -148.9912
29.961199 93.999 -149.3336
30.178310 94.011 -149.6833
30.396996 94.022 -150.0417
30.617264 94.035 -150.4088
30.839128 94.048 -150.7832
31.062601 94.061 -151.1624
31.287693 94.074 -151.5431
31.514416 94.087 -151.9220
31.742783 94.101 -152.2960
31.972803 94.114 -152.6633
32.204491 94.127 -153.0230
32.437859 94.139 -153.3753
32.672916 94.151 -153.7213
32.909679 94.163 -154.0624
33.148155 94.173 -154.4001
33.388359 94.182 -154.7358
33.630306 94.190 -155.0705
33.874004 94.197 -155.4047
34.119469 94.203 -155.7389
34.366711 94.209 -156.0738
34.615746 94.215 -156.4098
34.866585 94.221 -156.7477
35.119244 94.228 -157.0881
35.373734 94.235 -157.4316
35.630066 94.242 -157.7784
35.888256 94.250 -158.1282
36.148315 94.258 -158.4802
36.410259 94.265 -158.8334
36.674103 94.272 -159.1860
36.939857 94.278 -159.5365
37.207539 94.283 -159.8829
37.477161 94.288 -160.2241
37.748737 94.292 -160.5592
38.022282 94.295 -160.8884
38.297806 94.298 -161.2127
38.575329 94.301 -161.5337
38.854862 94.303 -161.8535
39.136421 94.304 -162.1738
39.420021 94.306 -162.4964
39.705673 94.307 -162.8223
39.993397 94.308 -163.1524
40.283207 94.309 -163.4873
40.575115 94.310 -163.8267
40.869141 94.312 -164.1695
41.165295 94.314 -164.5131
41.463596 94.315 -164.8536
41.764057 94.315 -165.1869
42.066696 94.314 -165.5101
42.371529 94.311 -165.8232
42.678570 94.308 -166.1297
42.987835 94.305 -166.4354
43.299343 94.301 -166.7458
43.613110 94.298 -167.0634
43.929150 94.296 -167.3859
44.247478 94.294 -167.7072
44.568115 94.294 -168.0199
44.891075 94.296 -168.3184
45.216373 94.298 -168.5996
45.544029 94.298 -168.8613
45.874062 94.291 -169.0993
46.206486 94.277 -169.3057
46.541317 94.253 -169.4724
46.878574 94.223 -169.5982
47.218277 94.191 -169.6979
47.560440 94.166 -169.8051
47.905083 94.151 -169.9654
48.252224 94.148 -170.2205
48.601879 94.156 -170.5897
48.954067 94.168 -171.0600
49.308807 94.180 -171.5903
49.666119 94.190 -172.1276
50.026020 94.196 -172.6260
50.388531 94.199 -173.0608
50.753666 94.201 -173.4315
51.121449 94.200 -173.7542
51.491894 94.197 -174.0500
51.865025 94.190 -174.3363
52.240860 94.181 -174.6232
52.619419 94.171 -174.9145
53.000721 94.161 -175.2106
53.384785 94.151 -175.5099
53.771633 94.143 -175.8089
54.161285 94.135 -176.1033
54.553761 94.127 -176.3904
54.949081 94.118 -176.6701
55.347263 94.109 -176.9453
55.748333 94.098 -177.2202
56.152309 94.087 -177.4971
56.559212 94.076 -177.7764
56.969063 94.064 -178.0561
57.381886 94.053 -178.3341
57.797699 94.041 -178.6091
58.216526 94.030 -178.8810
58.638386 94.018 -179.1504
59.063305 94.006 -179.4180
59.491302 93.992 -179.6846
59.922401 93.977 -179.9507
60.356625 93.962 179.7832
60.793995 93.946 179.5172
61.234531 93.931 179.2514
61.678261 93.915 178.9863
62.125206 93.900 178.7223
62.575390 93.886 178.4602
63.028835 93.872 178.2007
63.485569 93.858 177.9442
63.945610 93.844 177.6901
64.408989 93.830 177.4368
64.875725 93.815 177.1823
65.345840 93.800 176.9250
65.819366 93.785 176.6654
66.296318 93.770 176.4056
66.776726 93.755 176.1487
67.260620 93.740 175.8961
67.748016 93.724 175.6460
68.238945 93.709 175.3933
68.733429 93.693 175.1309
69.231499 93.676 174.8517
69.733177 93.660 174.5511
70.238495 93.645 174.2302
70.747475 93.630 173.9001
71.260139 93.613 173.5822
71.776520 93.595 173.3011
72.296638 93.575 173.0714
72.820526 93.554 172.8894
73.348213 93.533 172.7352
73.879723 93.511 172.5850
74.415085 93.489 172.4222
74.954330 93.467 172.2409
75.497482 93.445 172.0433
76.044571 93.423 171.8348
76.595619 93.402 171.6213
77.150665 93.380 171.4074
77.709732 93.358 171.1952
78.272850 93.335 170.9840
78.840050 93.313 170.7711
79.411354 93.290 170.5539
79.986801 93.268 170.3304
80.566422 93.247 170.1015
81.150238 93.226 169.8707
81.738289 93.206 169.6436
82.330597 93.185 169.4255
82.927200 93.163 169.2183
83.528122 93.142 169.0202
84.133400 93.119 168.8268
84.743065 93.096 168.6337
85.357147 93.072 168.4379
85.975677 93.048 168.2384
86.598694 93.024 168.0363
87.226227 93.000 167.8335
87.858307 92.976 167.6314
88.494965 92.951 167.4308
89.136238 92.926 167.2317
89.782158 92.901 167.0341
90.432755 92.876 166.8387
91.088066 92.850 166.6459
91.748131 92.825 166.4561
92.412979 92.799 166.2688
93.082642 92.773 166.0838
93.757156 92.747 165.9007
94.436562 92.721 165.7196
95.120888 92.694 165.5406
95.810173 92.667 165.3637
96.504456 92.639 165.1889
97.203766 92.611 165.0165
97.908142 92.583 164.8471
98.617622 92.554 164.6807
99.332245 92.526 164.5171
100.052048 92.496 164.3555
100.777069 92.467 164.1952
101.507339 92.436 164.0350
102.242905 92.406 163.8744
102.983795 92.376 163.7135
103.730057 92.346 163.5540
104.481728 92.317 163.3985
105.238846 92.287 163.2501
106.001450 92.258 163.1117
106.769577 92.228 162.9835
107.543274 92.197 162.8623
108.322578 92.167 162.7421
109.107529 92.136 162.6173
109.898170 92.106 162.4856
110.694534 92.078 162.3483
111.496674 92.052 162.2097
112.304626 92.027 162.0758
113.118431 92.002 161.9512
113.938133 91.975 161.8376
114.763779 91.945 161.7328
115.595406 91.911 161.6350
116.433060 91.870 161.5463
117.276779 91.824 161.4712
118.126617 91.774 161.4068
118.982613 91.726 161.3360
119.844810 91.686 161.2297
120.713257 91.659 161.0646
121.587997 91.644 160.8471
122.469070 91.633 160.6121
123.356529 91.618 160.3937
124.250420 91.597 160.2042
125.150787 91.569 160.0394
126.057678 91.535 159.8930
126.971146 91.498 159.7632
127.891228 91.459 159.6487
128.817978 91.421 159.5463
129.751450 91.383 159.4527
130.691681 91.346 159.3643
131.638733 91.309 159.2773
132.592636 91.272 159.1896
133.553452 91.233 159.1017
134.521240 91.193 159.0145
135.496033 91.152 158.9289
136.477890 91.109 158.8460
137.466858 91.064 158.7662
138.462997 91.017 158.6910
139.466354 90.968 158.6263
140.476990 90.918 158.5815
141.494949 90.867 158.5612
142.520279 90.817 158.5607
143.553040 90.768 158.5706
144.593277 90.722 158.5846
145.641052 90.678 158.6059
146.696426 90.636 158.6449
147.759445 90.595 158.7124
148.830170 90.554 158.8143
149.908661 90.513 158.9498
150.994965 90.473 159.1122
152.089142 90.436 159.2940
153.191238 90.403 159.4900
154.301331 90.377 159.6953
155.419464 90.356 159.9035
156.545700 90.340 160.1071
157.680099 90.330 160.2990
158.822708 90.326 160.4724
159.973602 90.326 160.6218
161.132843 90.331 160.7430
162.300476 90.338 160.8328
163.476578 90.347 160.8882
164.661194 90.357 160.9083
165.854401 90.367 160.8941
167.056244 90.375 160.8492
168.266800 90.382 160.7780
169.486130 90.387 160.6855
170.714294 90.388 160.5759
171.951355 90.387 160.4520
173.197388 90.383 160.3156
174.452454 90.377 160.1694
175.716614 90.367 160.0181
176.989929 90.355 159.8673
178.272476 90.341 159.7202
179.564316 90.324 159.5778
180.865509 90.306 159.4408
182.176132 90.286 159.3112
183.496262 90.264 159.1912
184.825958 90.241 159.0815
186.165283 90.217 158.9799
187.514313 90.193 158.8817
188.873123 90.167 158.7840
190.241776 90.141 158.6868
191.620346 90.115 158.5918
193.008911 90.087 158.5002
194.407532 90.059 158.4121
195.816284 90.031 158.3275
197.235245 90.002 158.2463
198.664490 89.973 158.1697
200.104095 89.943 158.0981
201.554138 89.914 158.0319
203.014679 89.885 157.9713
204.485809 89.855 157.9160
205.967590 89.826 157.8655
207.460114 89.796 157.8193
208.963455 89.766 157.7771
210.477692 89.735 157.7389
212.002899 89.705 157.7051
213.539154 89.674 157.6765
215.086548 89.643 157.6528
216.645157 89.613 157.6338
218.215057 89.582 157.6198
219.796341 89.552 157.6115
221.389069 89.522 157.6083
222.993347 89.492 157.6092
224.609253 89.462 157.6125
226.236862 89.431 157.6174
227.876266 89.401 157.6238
229.527557 89.372 157.6331
231.190811 89.343 157.6475
232.866119 89.315 157.6710
234.553558 89.288 157.7081
236.253235 89.263 157.7603
237.965225 89.238 157.8221
239.689621 89.214 157.8835
241.426514 89.191 157.9362
243.175995 89.169 157.9774
244.938141 89.148 158.0088
246.713058 89.129 158.0359
248.500839 89.111 158.0660
250.301575 89.093 158.1047
252.115356 89.077 158.1513
253.942291 89.060 158.1997
255.782455 89.044 158.2420
257.635956 89.029 158.2725
259.502899 89.013 158.2878
261.383362 88.996 158.2883
263.277466 88.979 158.2773
265.185272 88.961 158.2592
267.106903 88.943 158.2374
269.042480 88.924 158.2141
270.992065 88.904 158.1909
272.955780 88.884 158.1690
274.933716 88.863 158.1498
276.925995 88.841 158.1339
278.932709 88.818 158.1216
280.953979 88.795 158.1129
282.989899 88.771 158.1065
285.040558 88.747 158.1005
287.106079 88.723 158.0935
289.186554 88.699 158.0866
291.282104 88.675 158.0827
293.392853 88.650 158.0840
295.518890 88.626 158.0907
297.660339 88.601 158.1021
299.817322 88.577 158.1175
301.989929 88.553 158.1378
304.178284 88.528 158.1639
306.382477 88.504 158.1957
308.602661 88.480 158.2321
310.838928 88.456 158.2711
313.091400 88.432 158.3120
315.360199 88.409 158.3542
317.645416 88.385 158.3969
319.947205 88.362 158.4388
322.265686 88.338 158.4788
324.600952 88.315 158.5172
326.953156 88.292 158.5558
329.322388 88.270 158.5970
331.708801 88.249 158.6423
334.112488 88.228 158.6925
336.533600 88.207 158.7471
338.972260 88.186 158.8039
341.428589 88.166 158.8597
343.902710 88.145 158.9118
346.394775 88.124 158.9594
348.904907 88.104 159.0038
351.433228 88.082 159.0478
353.979858 88.060 159.0943
356.544952 88.038 159.1448
359.128632 88.017 159.1998
361.731018 87.998 159.2591
364.352264 87.979 159.3218
366.992523 87.960 159.3870
369.651917 87.942 159.4536
372.330566 87.923 159.5212
375.028625 87.903 159.5895
377.746246 87.883 159.6582
