* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 3:02:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Olina SE Filterless R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.773 -160.0575
20.507813 86.803 -160.3449
20.874023 86.890 -161.1833
21.240234 86.989 -162.2427
21.606445 87.068 -163.4319
21.972656 87.105 -164.5956
22.338867 87.100 -165.5104
22.705078 87.073 -166.0430
23.071289 87.055 -166.2245
23.437500 87.065 -166.2155
23.803711 87.104 -166.1959
24.169922 87.156 -166.2577
24.536133 87.201 -166.3759
24.902344 87.233 -166.4657
25.268555 87.258 -166.4671
25.634766 87.283 -166.3948
26.000977 87.313 -166.3243
26.367188 87.344 -166.3343
26.733399 87.368 -166.4581
27.099610 87.380 -166.6757
27.465821 87.381 -166.9409
27.832032 87.374 -167.2137
28.198243 87.365 -167.4788
28.564454 87.355 -167.7409
28.930665 87.343 -168.0100
29.296876 87.329 -168.2926
29.663087 87.315 -168.5922
30.029298 87.303 -168.9129
30.395509 87.296 -169.2556
30.761720 87.294 -169.6110
31.127931 87.297 -169.9562
31.494142 87.303 -170.2626
31.860353 87.312 -170.5099
32.226563 87.322 -170.6978
32.592774 87.331 -170.8475
32.958985 87.338 -170.9908
33.325196 87.340 -171.1560
33.691407 87.338 -171.3593
34.057618 87.333 -171.6034
34.423829 87.328 -171.8785
34.790040 87.324 -172.1635
35.156251 87.322 -172.4312
35.522462 87.324 -172.6586
35.888673 87.329 -172.8401
36.254884 87.337 -172.9934
36.621095 87.346 -173.1524
36.987306 87.351 -173.3459
37.353517 87.348 -173.5778
37.719728 87.336 -173.8229
38.085939 87.318 -174.0436
38.452150 87.299 -174.2147
38.818361 87.286 -174.3390
39.184572 87.280 -174.4412
39.550783 87.280 -174.5464
39.916994 87.279 -174.6618
40.283205 87.275 -174.7761
40.649416 87.268 -174.8746
41.015627 87.262 -174.9577
41.381838 87.259 -175.0451
41.748049 87.261 -175.1640
42.114260 87.263 -175.3320
42.480471 87.263 -175.5475
42.846682 87.256 -175.7930
43.212893 87.245 -176.0462
43.579103 87.229 -176.2872
43.945314 87.215 -176.5016
44.311525 87.207 -176.6814
44.677736 87.207 -176.8277
45.043947 87.215 -176.9497
45.410158 87.225 -177.0558
45.776369 87.226 -177.1381
46.142580 87.210 -177.1624
46.508791 87.173 -177.0810
46.875002 87.123 -176.8671
47.241213 87.074 -176.5535
47.607424 87.044 -176.2429
47.973635 87.040 -176.0736
48.339846 87.058 -176.1529
48.706057 87.084 -176.5005
49.072268 87.105 -177.0365
49.438479 87.112 -177.6233
49.804690 87.109 -178.1323
50.170901 87.102 -178.4962
50.537112 87.098 -178.7202
50.903323 87.098 -178.8537
51.269534 87.099 -178.9503
51.635745 87.096 -179.0419
52.001956 87.089 -179.1370
52.368167 87.077 -179.2344
52.734378 87.065 -179.3351
53.100589 87.054 -179.4432
53.466800 87.045 -179.5601
53.833011 87.038 -179.6817
54.199222 87.031 -179.8014
54.565432 87.027 -179.9171
54.931643 87.024 179.9678
55.297854 87.023 179.8489
55.664065 87.021 179.7274
56.030276 87.017 179.6123
56.396487 87.011 179.5151
56.762698 87.003 179.4406
57.128909 86.994 179.3830
57.495120 86.986 179.3290
57.861331 86.977 179.2657
58.227542 86.969 179.1876
58.593753 86.962 179.0963
58.959964 86.956 178.9961
59.326175 86.952 178.8885
59.692386 86.950 178.7718
60.058597 86.945 178.6456
60.424808 86.936 178.5150
60.791019 86.918 178.3913
61.157230 86.893 178.2871
61.523441 86.864 178.2082
61.889652 86.834 178.1495
62.255863 86.810 178.0967
62.622074 86.794 178.0329
62.988285 86.787 177.9477
63.354496 86.789 177.8414
63.720707 86.797 177.7253
64.086918 86.806 177.6162
64.453129 86.815 177.5309
64.819340 86.821 177.4808
65.185551 86.820 177.4702
65.551762 86.813 177.4948
65.917972 86.798 177.5423
66.284183 86.777 177.5936
66.650394 86.751 177.6255
67.016605 86.722 177.6161
67.382816 86.691 177.5520
67.749027 86.660 177.4339
68.115238 86.630 177.2782
68.481449 86.604 177.1116
68.847660 86.584 176.9614
69.213871 86.574 176.8456
69.580082 86.575 176.7679
69.946293 86.585 176.7192
70.312504 86.600 176.6849
70.678715 86.616 176.6533
71.044926 86.627 176.6191
71.411137 86.632 176.5832
71.777348 86.629 176.5478
72.143559 86.620 176.5131
72.509770 86.607 176.4761
72.875981 86.592 176.4327
73.242192 86.578 176.3802
73.608403 86.564 176.3191
73.974614 86.552 176.2517
74.340825 86.541 176.1812
74.707036 86.532 176.1102
75.073247 86.523 176.0408
75.439458 86.514 175.9756
75.805669 86.505 175.9176
76.171880 86.495 175.8697
76.538091 86.484 175.8336
76.904301 86.472 175.8087
77.270512 86.460 175.7922
77.636723 86.447 175.7800
78.002934 86.434 175.7676
78.369145 86.422 175.7507
78.735356 86.411 175.7260
79.101567 86.401 175.6915
79.467778 86.393 175.6471
79.833989 86.385 175.5950
80.200200 86.377 175.5393
80.566411 86.368 175.4851
80.932622 86.358 175.4363
81.298833 86.347 175.3949
81.665044 86.335 175.3603
82.031255 86.322 175.3298
82.397466 86.309 175.2998
82.763677 86.297 175.2673
83.129888 86.286 175.2303
83.496099 86.275 175.1887
83.862310 86.265 175.1441
84.228521 86.255 175.0993
84.594732 86.246 175.0577
84.960943 86.236 175.0220
85.327154 86.226 174.9935
85.693365 86.215 174.9713
86.059576 86.203 174.9524
86.425787 86.192 174.9329
86.791998 86.180 174.9087
87.158209 86.169 174.8777
87.524420 86.159 174.8401
87.890631 86.149 174.7989
88.256841 86.140 174.7582
88.623052 86.132 174.7221
88.989263 86.124 174.6936
89.355474 86.117 174.6733
89.721685 86.109 174.6598
90.087896 86.101 174.6497
90.454107 86.092 174.6388
90.820318 86.082 174.6238
91.186529 86.071 174.6029
91.552740 86.060 174.5770
91.918951 86.050 174.5497
92.285162 86.041 174.5263
92.651373 86.034 174.5117
93.017584 86.027 174.5087
93.383795 86.022 174.5167
93.750006 86.018 174.5316
94.116217 86.012 174.5475
94.482428 86.005 174.5583
94.848639 85.995 174.5602
95.214850 85.982 174.5522
95.581061 85.967 174.5358
95.947272 85.951 174.5142
96.313483 85.934 174.4910
96.679694 85.918 174.4690
97.045905 85.904 174.4501
97.412116 85.890 174.4345
97.778327 85.878 174.4210
98.144538 85.867 174.4071
98.510749 85.856 174.3902
98.876960 85.846 174.3682
99.243170 85.835 174.3403
99.609381 85.824 174.3076
99.975592 85.813 174.2729
100.341803 85.802 174.2396
100.708014 85.791 174.2102
101.074225 85.781 174.1862
101.440436 85.772 174.1667
101.806647 85.762 174.1489
102.172858 85.753 174.1296
102.539069 85.743 174.1060
102.905280 85.732 174.0773
103.271491 85.720 174.0451
103.637702 85.707 174.0132
104.003913 85.692 173.9865
104.370124 85.676 173.9687
104.736335 85.661 173.9620
105.102546 85.647 173.9656
105.468757 85.633 173.9767
105.834968 85.622 173.9911
106.201179 85.611 174.0046
106.567390 85.602 174.0145
106.933601 85.593 174.0199
107.299812 85.585 174.0212
107.666023 85.577 174.0202
108.032234 85.569 174.0186
108.398445 85.561 174.0176
108.764656 85.553 174.0179
109.130867 85.546 174.0194
109.497078 85.539 174.0219
109.863289 85.531 174.0253
110.229500 85.524 174.0297
110.595710 85.516 174.0355
110.961921 85.509 174.0435
111.328132 85.501 174.0541
111.694343 85.493 174.0679
112.060554 85.485 174.0849
112.426765 85.477 174.1052
112.792976 85.469 174.1286
113.159187 85.461 174.1542
113.525398 85.453 174.1805
113.891609 85.443 174.2053
114.257820 85.434 174.2256
114.624031 85.423 174.2382
114.990242 85.412 174.2407
115.356453 85.401 174.2318
115.722664 85.390 174.2124
116.088875 85.378 174.1855
116.455086 85.367 174.1553
116.821297 85.355 174.1269
117.187508 85.344 174.1044
117.553719 85.332 174.0903
117.919930 85.320 174.0850
118.286141 85.308 174.0869
118.652352 85.296 174.0930
119.018563 85.284 174.0999
119.384774 85.272 174.1044
119.750985 85.261 174.1051
120.117196 85.252 174.1022
120.483407 85.245 174.0978
120.849618 85.240 174.0960
121.215829 85.236 174.1011
121.582040 85.232 174.1171
121.948250 85.229 174.1456
122.314461 85.225 174.1855
122.680672 85.220 174.2326
123.046883 85.213 174.2800
123.413094 85.205 174.3200
123.779305 85.195 174.3457
124.145516 85.184 174.3526
124.511727 85.172 174.3400
124.877938 85.159 174.3107
125.244149 85.145 174.2707
125.610360 85.131 174.2278
125.976571 85.117 174.1896
126.342782 85.104 174.1625
126.708993 85.091 174.1501
127.075204 85.079 174.1533
127.441415 85.067 174.1708
127.807626 85.057 174.1994
128.173837 85.046 174.2355
128.540048 85.037 174.2762
128.906259 85.027 174.3192
129.272470 85.017 174.3634
129.638681 85.008 174.4086
130.004892 84.998 174.4548
130.371103 84.988 174.5022
130.737314 84.979 174.5506
131.103525 84.969 174.5992
131.469736 84.961 174.6469
131.835947 84.953 174.6928
132.202158 84.946 174.7357
132.568369 84.940 174.7749
132.934579 84.933 174.8102
133.300790 84.927 174.8420
133.667001 84.920 174.8709
134.033212 84.913 174.8976
134.399423 84.905 174.9229
134.765634 84.897 174.9471
135.131845 84.888 174.9707
135.498056 84.878 174.9935
135.864267 84.868 175.0154
136.230478 84.859 175.0360
136.596689 84.849 175.0551
136.962900 84.839 175.0726
137.329111 84.830 175.0884
137.695322 84.821 175.1029
138.061533 84.812 175.1163
138.427744 84.802 175.1290
138.793955 84.793 175.1412
139.160166 84.783 175.1535
139.526377 84.773 175.1661
139.892588 84.763 175.1795
140.258799 84.753 175.1940
140.625010 84.743 175.2102
140.991221 84.733 175.2286
141.357432 84.723 175.2496
141.723643 84.713 175.2736
142.089854 84.704 175.3005
142.456065 84.695 175.3302
142.822276 84.686 175.3619
143.188487 84.678 175.3948
143.554698 84.669 175.4280
143.920909 84.660 175.4609
144.287119 84.650 175.4928
144.653330 84.640 175.5237
145.019541 84.629 175.5540
145.385752 84.618 175.5840
145.751963 84.606 175.6148
146.118174 84.594 175.6470
146.484385 84.583 175.6815
146.850596 84.572 175.7186
147.216807 84.561 175.7582
147.583018 84.550 175.7999
147.949229 84.540 175.8428
148.315440 84.531 175.8856
148.681651 84.523 175.9268
149.047862 84.515 175.9653
149.414073 84.507 176.0002
149.780284 84.499 176.0308
150.146495 84.492 176.0573
150.512706 84.484 176.0799
150.878917 84.477 176.0995
151.245128 84.469 176.1169
151.611339 84.460 176.1328
151.977550 84.452 176.1481
152.343761 84.443 176.1633
152.709972 84.433 176.1790
153.076183 84.424 176.1952
153.442394 84.414 176.2124
153.808605 84.405 176.2307
154.174816 84.395 176.2502
154.541027 84.385 176.2710
154.907238 84.374 176.2935
155.273448 84.364 176.3178
155.639659 84.353 176.3442
156.005870 84.342 176.3731
156.372081 84.331 176.4044
156.738292 84.320 176.4384
157.104503 84.308 176.4744
157.470714 84.297 176.5122
157.836925 84.285 176.5510
158.203136 84.273 176.5899
158.569347 84.262 176.6282
158.935558 84.250 176.6651
159.301769 84.239 176.7003
159.667980 84.229 176.7335
160.034191 84.219 176.7647
160.400402 84.210 176.7942
160.766613 84.201 176.8223
161.132824 84.192 176.8493
161.499035 84.184 176.8756
161.865246 84.176 176.9013
162.231457 84.168 176.9265
162.597668 84.160 176.9513
162.963879 84.152 176.9757
163.330090 84.143 177.0000
163.696301 84.134 177.0245
164.062512 84.124 177.0498
164.428723 84.114 177.0766
164.794934 84.103 177.1057
165.161145 84.093 177.1377
165.527356 84.082 177.1732
165.893567 84.071 177.2124
166.259778 84.060 177.2554
166.625988 84.050 177.3017
166.992199 84.039 177.3509
167.358410 84.029 177.4023
167.724621 84.019 177.4554
168.090832 84.008 177.5096
168.457043 83.998 177.5646
168.823254 83.988 177.6201
169.189465 83.977 177.6759
169.555676 83.966 177.7322
169.921887 83.955 177.7891
170.288098 83.943 177.8469
