* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 3:00:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Olina SE Old filter R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.649 -156.5289
20.507813 86.659 -156.7289
20.874023 86.683 -157.2312
21.240234 86.700 -157.6582
21.606445 86.696 -157.9401
21.972656 86.668 -158.0537
22.338867 86.634 -157.9655
22.705078 86.621 -157.7449
23.071289 86.646 -157.5698
23.437500 86.708 -157.6251
23.803711 86.781 -157.9826
24.169922 86.837 -158.5477
24.536133 86.857 -159.1134
24.902344 86.847 -159.4789
25.268555 86.821 -159.5548
25.634766 86.800 -159.3959
26.000977 86.792 -159.1504
26.367188 86.795 -158.9637
26.733399 86.799 -158.9066
27.099610 86.800 -158.9688
27.465821 86.799 -159.1004
27.832032 86.802 -159.2580
28.198243 86.812 -159.4252
28.564454 86.827 -159.6010
28.930665 86.840 -159.7779
29.296876 86.845 -159.9353
29.663087 86.840 -160.0520
30.029298 86.829 -160.1252
30.395509 86.815 -160.1750
30.761720 86.803 -160.2315
31.127931 86.790 -160.3146
31.494142 86.776 -160.4226
31.860353 86.761 -160.5377
32.226563 86.747 -160.6438
32.592774 86.736 -160.7418
32.958985 86.728 -160.8477
33.325196 86.724 -160.9769
33.691407 86.719 -161.1266
34.057618 86.711 -161.2729
34.423829 86.702 -161.3829
34.790040 86.693 -161.4371
35.156251 86.686 -161.4458
35.522462 86.681 -161.4454
35.888673 86.672 -161.4763
36.254884 86.652 -161.5568
36.621095 86.618 -161.6706
36.987306 86.571 -161.7777
37.353517 86.523 -161.8429
37.719728 86.486 -161.8607
38.085939 86.470 -161.8613
38.452150 86.476 -161.8908
38.818361 86.496 -161.9802
39.184572 86.516 -162.1242
39.550783 86.526 -162.2831
39.916994 86.520 -162.4043
40.283205 86.498 -162.4504
40.649416 86.469 -162.4168
41.015627 86.439 -162.3315
41.381838 86.415 -162.2407
41.748049 86.400 -162.1877
42.114260 86.392 -162.1962
42.480471 86.388 -162.2634
42.846682 86.383 -162.3654
43.212893 86.375 -162.4699
43.579103 86.363 -162.5516
43.945314 86.349 -162.6003
44.311525 86.334 -162.6222
44.677736 86.318 -162.6313
45.043947 86.303 -162.6397
45.410158 86.287 -162.6521
45.776369 86.273 -162.6669
46.142580 86.259 -162.6821
46.508791 86.246 -162.6978
46.875002 86.234 -162.7143
47.241213 86.220 -162.7276
47.607424 86.205 -162.7285
47.973635 86.188 -162.7101
48.339846 86.173 -162.6757
48.706057 86.159 -162.6400
49.072268 86.144 -162.6194
49.438479 86.126 -162.6168
49.804690 86.101 -162.6159
50.170901 86.073 -162.5923
50.537112 86.047 -162.5365
50.903323 86.033 -162.4712
51.269534 86.035 -162.4454
51.635745 86.050 -162.5060
52.001956 86.068 -162.6640
52.368167 86.078 -162.8774
52.734378 86.073 -163.0662
53.100589 86.052 -163.1507
53.466800 86.019 -163.0900
53.833011 85.981 -162.8994
54.199222 85.943 -162.6377
54.565432 85.906 -162.3752
54.931643 85.869 -162.1649
55.297854 85.832 -162.0290
55.664065 85.798 -161.9634
56.030276 85.769 -161.9509
56.396487 85.749 -161.9700
56.762698 85.737 -161.9978
57.128909 85.732 -162.0105
57.495120 85.728 -161.9866
57.861331 85.723 -161.9150
58.227542 85.713 -161.8014
58.593753 85.698 -161.6682
58.959964 85.678 -161.5464
59.326175 85.654 -161.4639
59.692386 85.631 -161.4359
60.058597 85.611 -161.4637
60.424808 85.598 -161.5374
60.791019 85.594 -161.6405
61.157230 85.596 -161.7522
61.523441 85.600 -161.8485
61.889652 85.602 -161.9053
62.255863 85.598 -161.9053
62.622074 85.585 -161.8454
62.988285 85.565 -161.7398
63.354496 85.539 -161.6151
63.720707 85.508 -161.4979
64.086918 85.475 -161.4021
64.453129 85.440 -161.3239
64.819340 85.407 -161.2464
65.185551 85.376 -161.1518
65.551762 85.351 -161.0327
65.917972 85.331 -160.8969
66.284183 85.316 -160.7635
66.650394 85.304 -160.6569
67.016605 85.293 -160.5998
67.382816 85.284 -160.6094
67.749027 85.276 -160.6926
68.115238 85.269 -160.8409
68.481449 85.261 -161.0260
68.847660 85.249 -161.1998
69.213871 85.233 -161.3054
69.580082 85.211 -161.2948
69.946293 85.187 -161.1478
70.312504 85.163 -160.8816
70.678715 85.141 -160.5455
71.044926 85.120 -160.2028
71.411137 85.099 -159.9086
71.777348 85.076 -159.6943
72.143559 85.051 -159.5638
72.509770 85.024 -159.5009
72.875981 84.999 -159.4809
73.242192 84.977 -159.4810
73.608403 84.959 -159.4850
73.974614 84.943 -159.4836
74.340825 84.928 -159.4719
74.707036 84.910 -159.4484
75.073247 84.889 -159.4133
75.439458 84.864 -159.3677
75.805669 84.838 -159.3120
76.171880 84.812 -159.2436
76.538091 84.788 -159.1569
76.904301 84.768 -159.0448
77.270512 84.751 -158.9030
77.636723 84.739 -158.7345
78.002934 84.731 -158.5515
78.369145 84.724 -158.3737
78.735356 84.717 -158.2217
79.101567 84.707 -158.1103
79.467778 84.691 -158.0429
79.833989 84.669 -158.0110
80.200200 84.642 -157.9973
80.566411 84.611 -157.9822
80.932622 84.581 -157.9498
81.298833 84.552 -157.8911
81.665044 84.527 -157.8051
82.031255 84.506 -157.6970
82.397466 84.487 -157.5761
82.763677 84.470 -157.4521
83.129888 84.452 -157.3337
83.496099 84.434 -157.2261
83.862310 84.414 -157.1312
84.228521 84.394 -157.0481
84.594732 84.373 -156.9747
84.960943 84.354 -156.9083
85.327154 84.336 -156.8461
85.693365 84.320 -156.7843
86.059576 84.305 -156.7181
86.425787 84.290 -156.6420
86.791998 84.274 -156.5511
87.158209 84.257 -156.4426
87.524420 84.237 -156.3159
87.890631 84.214 -156.1718
88.256841 84.189 -156.0121
88.623052 84.163 -155.8391
88.989263 84.137 -155.6562
89.355474 84.115 -155.4689
89.721685 84.096 -155.2840
90.087896 84.083 -155.1089
90.454107 84.073 -154.9494
90.820318 84.065 -154.8091
91.186529 84.056 -154.6901
91.552740 84.041 -154.5938
91.918951 84.019 -154.5215
92.285162 83.988 -154.4723
92.651373 83.946 -154.4411
93.017584 83.897 -154.4176
93.383795 83.844 -154.3884
93.750006 83.794 -154.3412
94.116217 83.754 -154.2703
94.482428 83.729 -154.1777
94.848639 83.722 -154.0718
95.214850 83.730 -153.9619
95.581061 83.749 -153.8528
95.947272 83.773 -153.7424
96.313483 83.794 -153.6240
96.679694 83.809 -153.4901
97.045905 83.816 -153.3374
97.412116 83.815 -153.1693
97.778327 83.807 -152.9943
98.144538 83.795 -152.8228
98.510749 83.779 -152.6627
98.876960 83.761 -152.5173
99.243170 83.743 -152.3848
99.609381 83.723 -152.2602
99.975592 83.702 -152.1379
100.341803 83.680 -152.0144
100.708014 83.658 -151.8892
101.074225 83.634 -151.7641
101.440436 83.609 -151.6425
101.806647 83.582 -151.5268
102.172858 83.555 -151.4177
102.539069 83.527 -151.3134
102.905280 83.498 -151.2098
103.271491 83.471 -151.1020
103.637702 83.445 -150.9851
104.003913 83.421 -150.8548
104.370124 83.399 -150.7084
104.736335 83.379 -150.5446
105.102546 83.362 -150.3637
105.468757 83.347 -150.1673
105.834968 83.332 -149.9586
106.201179 83.320 -149.7417
106.567390 83.308 -149.5214
106.933601 83.297 -149.3033
107.299812 83.287 -149.0930
107.666023 83.278 -148.8954
108.032234 83.269 -148.7142
108.398445 83.261 -148.5514
108.764656 83.252 -148.4061
109.130867 83.242 -148.2755
109.497078 83.232 -148.1551
109.863289 83.221 -148.0402
110.229500 83.209 -147.9262
110.595710 83.198 -147.8096
110.961921 83.188 -147.6875
111.328132 83.179 -147.5568
111.694343 83.172 -147.4136
112.060554 83.167 -147.2535
112.426765 83.161 -147.0723
112.792976 83.155 -146.8680
113.159187 83.146 -146.6423
113.525398 83.135 -146.4016
113.891609 83.121 -146.1563
114.257820 83.102 -145.9189
114.624031 83.079 -145.7005
114.990242 83.052 -145.5084
115.356453 83.023 -145.3446
115.722664 82.993 -145.2059
116.088875 82.963 -145.0857
116.455086 82.936 -144.9766
116.821297 82.912 -144.8727
117.187508 82.893 -144.7703
117.553719 82.877 -144.6680
117.919930 82.865 -144.5654
118.286141 82.854 -144.4624
118.652352 82.844 -144.3584
119.018563 82.834 -144.2524
119.384774 82.824 -144.1431
119.750985 82.815 -144.0293
120.117196 82.806 -143.9095
120.483407 82.799 -143.7819
120.849618 82.793 -143.6446
121.215829 82.790 -143.4953
121.582040 82.788 -143.3326
121.948250 82.788 -143.1561
122.314461 82.790 -142.9674
122.680672 82.793 -142.7695
123.046883 82.797 -142.5659
123.413094 82.801 -142.3599
123.779305 82.804 -142.1535
124.145516 82.806 -141.9470
124.511727 82.806 -141.7400
124.877938 82.803 -141.5317
125.244149 82.798 -141.3225
125.610360 82.790 -141.1139
125.976571 82.779 -140.9084
126.342782 82.766 -140.7086
126.708993 82.752 -140.5166
127.075204 82.737 -140.3331
127.441415 82.721 -140.1576
127.807626 82.705 -139.9886
128.173837 82.689 -139.8247
128.540048 82.675 -139.6643
128.906259 82.662 -139.5068
129.272470 82.651 -139.3522
129.638681 82.641 -139.2006
130.004892 82.632 -139.0529
130.371103 82.624 -138.9098
130.737314 82.616 -138.7722
131.103525 82.609 -138.6406
131.469736 82.601 -138.5152
131.835947 82.594 -138.3957
132.202158 82.585 -138.2811
132.568369 82.576 -138.1700
132.934579 82.566 -138.0606
133.300790 82.555 -137.9513
133.667001 82.544 -137.8405
134.033212 82.531 -137.7272
134.399423 82.518 -137.6106
134.765634 82.505 -137.4906
135.131845 82.491 -137.3673
135.498056 82.477 -137.2413
135.864267 82.463 -137.1134
136.230478 82.449 -136.9845
136.596689 82.436 -136.8551
136.962900 82.423 -136.7256
137.329111 82.410 -136.5959
137.695322 82.396 -136.4652
138.061533 82.383 -136.3327
138.427744 82.370 -136.1972
138.793955 82.357 -136.0577
139.160166 82.344 -135.9138
139.526377 82.330 -135.7655
139.892588 82.317 -135.6133
140.258799 82.305 -135.4583
140.625010 82.292 -135.3020
140.991221 82.280 -135.1457
141.357432 82.267 -134.9905
141.723643 82.255 -134.8374
142.089854 82.243 -134.6867
142.456065 82.232 -134.5385
142.822276 82.220 -134.3922
143.188487 82.209 -134.2474
143.554698 82.198 -134.1032
143.920909 82.187 -133.9588
144.287119 82.176 -133.8136
144.653330 82.165 -133.6669
145.019541 82.155 -133.5185
145.385752 82.145 -133.3685
145.751963 82.134 -133.2172
146.118174 82.124 -133.0655
146.484385 82.114 -132.9142
146.850596 82.103 -132.7642
147.216807 82.092 -132.6161
147.583018 82.081 -132.4703
147.949229 82.070 -132.3269
148.315440 82.058 -132.1857
148.681651 82.046 -132.0461
149.047862 82.034 -131.9076
149.414073 82.021 -131.7695
149.780284 82.009 -131.6310
150.146495 81.996 -131.4915
150.512706 81.983 -131.3500
150.878917 81.971 -131.2058
151.245128 81.959 -131.0582
151.611339 81.947 -130.9064
151.977550 81.936 -130.7501
152.343761 81.925 -130.5894
152.709972 81.914 -130.4246
153.076183 81.903 -130.2567
153.442394 81.893 -130.0870
153.808605 81.883 -129.9168
154.174816 81.872 -129.7476
154.541027 81.861 -129.5805
154.907238 81.850 -129.4165
155.273448 81.839 -129.2558
155.639659 81.827 -129.0984
156.005870 81.815 -128.9436
156.372081 81.802 -128.7906
156.738292 81.790 -128.6385
157.104503 81.777 -128.4864
157.470714 81.764 -128.3335
157.836925 81.751 -128.1792
158.203136 81.738 -128.0232
158.569347 81.725 -127.8657
158.935558 81.712 -127.7071
159.301769 81.699 -127.5480
159.667980 81.686 -127.3889
160.034191 81.673 -127.2307
160.400402 81.660 -127.0739
160.766613 81.647 -126.9188
161.132824 81.635 -126.7656
161.499035 81.622 -126.6140
161.865246 81.610 -126.4636
162.231457 81.598 -126.3137
162.597668 81.586 -126.1638
