* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:08:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear GATe L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.450 -147.7802
20.287556 94.451 -147.9239
20.434568 94.452 -148.1334
20.582645 94.454 -148.3878
20.731796 94.457 -148.6696
20.882027 94.460 -148.9667
21.033346 94.464 -149.2723
21.185762 94.470 -149.5831
21.339283 94.476 -149.8979
21.493916 94.484 -150.2168
21.649670 94.492 -150.5401
21.806553 94.500 -150.8678
21.964573 94.509 -151.1998
22.123737 94.517 -151.5352
22.284056 94.525 -151.8731
22.445536 94.532 -152.2124
22.608185 94.539 -152.5524
22.772013 94.545 -152.8924
22.937029 94.552 -153.2328
23.103241 94.559 -153.5743
23.270657 94.567 -153.9182
23.439285 94.577 -154.2665
23.609137 94.588 -154.6212
23.780218 94.600 -154.9842
23.952539 94.615 -155.3569
24.126110 94.631 -155.7401
24.300938 94.648 -156.1335
24.477032 94.667 -156.5356
24.654402 94.685 -156.9442
24.833057 94.703 -157.3556
25.013008 94.719 -157.7657
25.194263 94.734 -158.1695
25.376831 94.745 -158.5618
25.560722 94.753 -158.9373
25.745945 94.757 -159.2910
25.932510 94.756 -159.6187
26.120428 94.752 -159.9172
26.309708 94.743 -160.1848
26.500359 94.732 -160.4216
26.692390 94.718 -160.6300
26.885815 94.703 -160.8146
27.080641 94.689 -160.9822
27.276878 94.676 -161.1415
27.474539 94.665 -161.3024
27.673630 94.658 -161.4747
27.874165 94.654 -161.6673
28.076153 94.654 -161.8869
28.279604 94.656 -162.1371
28.484529 94.661 -162.4181
28.690941 94.666 -162.7265
28.898848 94.671 -163.0561
29.108261 94.676 -163.3987
29.319191 94.679 -163.7457
29.531651 94.680 -164.0891
29.745649 94.679 -164.4229
29.961199 94.676 -164.7437
30.178310 94.672 -165.0511
30.396996 94.666 -165.3473
30.617264 94.660 -165.6365
30.839128 94.653 -165.9241
31.062601 94.645 -166.2153
31.287693 94.637 -166.5143
31.514416 94.629 -166.8233
31.742783 94.620 -167.1422
31.972803 94.611 -167.4682
32.204491 94.602 -167.7968
32.437859 94.593 -168.1215
32.672916 94.584 -168.4353
32.909679 94.577 -168.7318
33.148155 94.571 -169.0060
33.388359 94.567 -169.2556
33.630306 94.565 -169.4815
33.874004 94.566 -169.6880
34.119469 94.569 -169.8823
34.366711 94.573 -170.0731
34.615746 94.579 -170.2692
34.866585 94.584 -170.4777
35.119244 94.588 -170.7026
35.373734 94.589 -170.9437
35.630066 94.586 -171.1974
35.888256 94.578 -171.4572
36.148315 94.567 -171.7158
36.410259 94.552 -171.9672
36.674103 94.535 -172.2079
36.939857 94.518 -172.4383
37.207539 94.502 -172.6621
37.477161 94.488 -172.8851
37.748737 94.476 -173.1130
38.022282 94.466 -173.3497
38.297806 94.458 -173.5963
38.575329 94.452 -173.8513
38.854862 94.447 -174.1115
39.136421 94.442 -174.3743
39.420021 94.438 -174.6383
39.705673 94.433 -174.9032
39.993397 94.426 -175.1692
40.283207 94.417 -175.4347
40.575115 94.405 -175.6959
40.869141 94.392 -175.9475
41.165295 94.377 -176.1852
41.463596 94.365 -176.4081
41.764057 94.357 -176.6197
42.066696 94.353 -176.8261
42.371529 94.353 -177.0324
42.678570 94.353 -177.2388
42.987835 94.350 -177.4405
43.299343 94.341 -177.6323
43.613110 94.327 -177.8158
43.929150 94.310 -178.0044
44.247478 94.291 -178.2233
44.568115 94.273 -178.4985
44.891075 94.259 -178.8425
45.216373 94.254 -179.2434
45.544029 94.261 -179.6660
45.874062 94.289 179.9328
46.206486 94.344 179.5812
46.541317 94.428 179.2761
46.878574 94.532 178.9858
47.218277 94.639 178.6728
47.560440 94.726 178.3232
47.905083 94.769 177.9624
48.252224 94.758 177.6475
48.601879 94.691 177.4399
48.954067 94.582 177.3719
49.308807 94.451 177.4233
49.666119 94.320 177.5237
50.026020 94.208 177.5832
50.388531 94.119 177.5353
50.753666 94.055 177.3665
51.121449 94.011 177.1136
51.491894 93.981 176.8343
51.865025 93.962 176.5754
52.240860 93.951 176.3547
52.619419 93.942 176.1654
53.000721 93.931 175.9905
53.384785 93.916 175.8171
53.771633 93.896 175.6409
54.161285 93.874 175.4621
54.553761 93.852 175.2817
54.949081 93.832 175.0992
55.347263 93.814 174.9147
55.748333 93.796 174.7297
56.152309 93.777 174.5474
56.559212 93.756 174.3701
56.969063 93.735 174.1990
57.381886 93.715 174.0339
57.797699 93.696 173.8750
58.216526 93.681 173.7234
58.638386 93.667 173.5800
59.063305 93.656 173.4432
59.491302 93.644 173.3082
59.922401 93.630 173.1682
60.356625 93.613 173.0189
60.793995 93.593 172.8604
61.234531 93.570 172.6966
61.678261 93.548 172.5298
62.125206 93.527 172.3585
62.575390 93.507 172.1790
63.028835 93.488 171.9916
63.485569 93.467 171.8020
63.945610 93.445 171.6169
64.408989 93.424 171.4369
64.875725 93.402 171.2550
65.345840 93.381 171.0632
65.819366 93.359 170.8599
66.296318 93.336 170.6522
66.776726 93.310 170.4527
67.260620 93.285 170.2754
67.748016 93.263 170.1344
68.238945 93.242 170.0442
68.733429 93.223 170.0181
69.231499 93.203 170.0655
69.733177 93.179 170.1866
70.238495 93.150 170.3622
70.747475 93.120 170.5416
71.260139 93.092 170.6459
71.776520 93.069 170.5963
72.296638 93.050 170.3578
72.820526 93.030 169.9622
73.348213 93.009 169.4909
73.879723 92.987 169.0311
74.415085 92.965 168.6385
74.954330 92.945 168.3281
75.497482 92.925 168.0878
76.044571 92.906 167.8965
76.595619 92.887 167.7366
77.150665 92.870 167.5980
77.709732 92.853 167.4771
78.272850 92.835 167.3721
78.840050 92.814 167.2790
79.411354 92.789 167.1885
79.986801 92.760 167.0885
80.566422 92.730 166.9707
81.150238 92.699 166.8393
81.738289 92.670 166.7097
82.330597 92.643 166.5947
82.927200 92.619 166.4915
83.528122 92.598 166.3846
84.133400 92.577 166.2618
84.743065 92.554 166.1267
85.357147 92.530 165.9941
85.975677 92.506 165.8766
86.598694 92.480 165.7771
87.226227 92.452 165.6918
87.858307 92.423 165.6155
88.494965 92.393 165.5406
89.136238 92.366 165.4592
89.782158 92.341 165.3693
90.432755 92.316 165.2776
91.088066 92.290 165.1912
91.748131 92.261 165.1087
92.412979 92.229 165.0244
93.082642 92.195 164.9351
93.757156 92.163 164.8407
94.436562 92.134 164.7418
95.120888 92.110 164.6413
95.810173 92.088 164.5448
96.504456 92.068 164.4569
97.203766 92.047 164.3768
97.908142 92.025 164.2979
98.617622 92.002 164.2120
99.332245 91.979 164.1153
100.052048 91.956 164.0109
100.777069 91.932 163.9075
101.507339 91.908 163.8132
102.242905 91.883 163.7315
102.983795 91.858 163.6637
103.730057 91.832 163.6125
104.481728 91.806 163.5779
105.238846 91.780 163.5489
106.001450 91.754 163.5049
106.769577 91.724 163.4302
107.543274 91.691 163.3303
108.322578 91.655 163.2307
109.107529 91.618 163.1594
109.898170 91.584 163.1293
110.694534 91.555 163.1354
111.496674 91.532 163.1617
112.304626 91.514 163.1841
113.118431 91.500 163.1705
113.938133 91.489 163.0916
114.763779 91.480 162.9340
115.595406 91.470 162.7017
116.433060 91.450 162.4096
117.276779 91.410 162.0954
118.126617 91.344 161.8428
118.982613 91.248 161.7716
119.844810 91.120 161.9734
120.713257 90.969 162.4439
121.587997 90.816 163.0761
122.469070 90.688 163.7314
123.356529 90.605 164.3271
124.250420 90.563 164.8600
125.150787 90.542 165.3524
126.057678 90.524 165.8040
126.971146 90.506 166.2249
127.891228 90.493 166.6869
128.817978 90.481 167.2693
129.751450 90.457 167.9121
130.691681 90.414 168.3673
131.638733 90.367 168.3625
132.592636 90.334 167.8157
133.553452 90.322 166.8384
134.521240 90.322 165.5577
135.496033 90.335 164.0627
136.477890 90.373 162.5254
137.466858 90.445 161.2237
138.462997 90.540 160.3878
139.466354 90.632 160.0846
140.476990 90.697 160.2355
141.494949 90.716 160.6669
142.520279 90.692 161.1622
143.553040 90.639 161.5536
144.593277 90.579 161.7925
145.641052 90.526 161.9276
146.696426 90.486 162.0290
147.759445 90.453 162.1387
148.830170 90.423 162.2645
149.908661 90.391 162.3941
150.994965 90.354 162.5134
152.089142 90.314 162.6132
153.191238 90.270 162.6877
154.301331 90.227 162.7374
155.419464 90.187 162.7682
156.545700 90.151 162.7836
157.680099 90.118 162.7828
158.822708 90.087 162.7703
159.973602 90.058 162.7589
161.132843 90.030 162.7596
162.300476 90.002 162.7744
163.476578 89.971 162.7947
164.661194 89.936 162.8067
165.854401 89.895 162.7988
167.056244 89.847 162.7736
168.266800 89.795 162.7523
169.486130 89.743 162.7664
170.714294 89.695 162.8399
171.951355 89.647 162.9728
173.197388 89.592 163.1544
174.452454 89.523 163.3972
175.716614 89.441 163.7394
176.989929 89.353 164.1996
178.272476 89.272 164.7432
179.564316 89.212 165.2866
180.865509 89.181 165.7277
182.176132 89.180 165.9840
183.496262 89.209 166.0248
184.825958 89.265 165.8854
186.165283 89.346 165.6656
187.514313 89.443 165.5073
188.873123 89.544 165.5344
190.241776 89.638 165.7994
191.620346 89.713 166.2770
193.008911 89.766 166.8715
194.407532 89.795 167.4362
195.816284 89.796 167.8184
197.235245 89.774 167.9297
198.664490 89.736 167.7964
200.104095 89.693 167.5217
201.554138 89.652 167.2143
203.014679 89.616 166.9468
204.485809 89.586 166.7443
205.967590 89.561 166.6046
207.460114 89.541 166.5204
208.963455 89.524 166.4830
210.477692 89.508 166.4793
212.002899 89.492 166.4931
213.539154 89.475 166.5117
215.086548 89.457 166.5304
216.645157 89.438 166.5494
218.215057 89.419 166.5730
219.796341 89.400 166.6074
221.389069 89.381 166.6556
222.993347 89.361 166.7124
224.609253 89.339 166.7697
226.236862 89.318 166.8266
227.876266 89.298 166.8884
229.527557 89.281 166.9582
231.190811 89.268 167.0324
232.866119 89.260 167.1057
234.553558 89.256 167.1760
236.253235 89.257 167.2464
237.965225 89.262 167.3217
239.689621 89.266 167.3982
241.426514 89.264 167.4633
243.175995 89.255 167.5096
244.938141 89.236 167.5380
246.713058 89.211 167.5519
248.500839 89.181 167.5524
250.301575 89.148 167.5407
252.115356 89.112 167.5208
253.942291 89.075 167.5002
255.782455 89.040 167.4902
257.635956 89.008 167.5023
259.502899 88.980 167.5413
261.383362 88.956 167.6064
263.277466 88.936 167.6986
265.185272 88.919 167.8163
267.106903 88.903 167.9484
269.042480 88.888 168.0779
270.992065 88.874 168.1893
272.955780 88.860 168.2718
274.933716 88.847 168.3235
276.925995 88.834 168.3539
278.932709 88.820 168.3832
280.953979 88.802 168.4356
282.989899 88.781 168.5245
285.040558 88.757 168.6401
287.106079 88.730 168.7585
289.186554 88.702 168.8599
291.282104 88.673 168.9379
293.392853 88.648 169.0015
295.518890 88.625 169.0652
297.660339 88.606 169.1415
299.817322 88.588 169.2371
301.989929 88.571 169.3498
304.178284 88.555 169.4717
306.382477 88.541 169.5960
308.602661 88.530 169.7202
310.838928 88.521 169.8460
313.091400 88.514 169.9793
315.360199 88.505 170.1201
317.645416 88.493 170.2599
319.947205 88.477 170.3913
322.265686 88.459 170.5137
324.600952 88.439 170.6340
326.953156 88.418 170.7640
329.322388 88.396 170.9116
331.708801 88.372 171.0759
334.112488 88.347 171.2455
336.533600 88.321 171.4072
338.972260 88.295 171.5577
341.428589 88.270 171.7046
343.902710 88.246 171.8583
346.394775 88.222 172.0287
348.904907 88.198 172.2249
351.433228 88.177 172.4552
353.979858 88.157 172.7253
356.544952 88.142 173.0321
359.128632 88.133 173.3607
361.731018 88.130 173.6909
364.352264 88.134 174.0063
366.992523 88.143 174.2936
369.651917 88.157 174.5414
372.330566 88.176 174.7433
375.028625 88.199 174.8990
377.746246 88.225 175.0134
380.483551 88.251 175.0958
383.240692 88.276 175.1558
386.017822 88.297 175.1989
